MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06マロン\x021\n\x0E\x03\x02\x08\x06マロン\nYou plot and scheme in service of one. Will you\nfight for their happiness?\x0E\x04\x00\x00
MID_BT11_#006	\x0E\x05\x01\x18\nミスティラ\nSmile\nI think you ought to loosen up a bit. How about\nwe fight it out? Work off some tension?\x0E\x04\x00\x00
MID_BT11_#007	\x0E\x05\x01 \x12E004_Hide\nAngry\n\x0E\x03\x02\x14\x12E004_Hide\nHow about I just kill you instead?\x0E\x04\x00\x00
MID_BT12_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Hide\x02b\n\x0E\x05\x01\x1E\x12E004_Hide\x08Pain\n\x0E\x03\x02\x14\x12E004_Hide\nThis place reeks of the dead. That must be\nwhy I'm seeing phantoms.\x0E\x04\x02\x00
MID_BT12_#002	It's been so long, Fogado... All I want to do\nis run up and embrace you.\x0E\x04\x02\x00
MID_BT12_#003	What a shameful impulse. I am a queen.\x0E\x04\x00\x00
MID_BT12_#004	\x0E\x03\x00\x10\nフォガート\x02t\n\x0E\x05\x01\x14\nフォガート\x06Shy\n\x0E\x03\x02\x0C\nフォガート\nYou're a queen, yes, but you're still human.\x0E\x04\x02\x00
MID_BT12_#005	Go ahead and have a good cry. We can hold off\non fighting till you're done. What do you say?\x0E\x04\x00\x00
MID_BT12_#006	\x0E\x05\x01 \x12E004_Hide\nAngry\n\x0E\x03\x02\x14\x12E004_Hide\nNo... I don't need to cry. And I certainly don't\nneed to be comforted by a ghost.\x0E\x04\x02\x00
MID_BT12_#007	If you really want to make me feel better,\nyou'll disappear.\x0E\x04\x00\x00
MID_BT12_#008	\x0E\x05\x01\x14\nフォガート\x06Sad\n\x0E\x03\x02\x0C\nフォガート\nI figured you'd say something like that...\x0E\x04\x00\x00
MID_BT13_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Hide\x02b\n\x0E\x05\x01&\x12E004_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E004_Hide\nI don't believe it. The Divine Dragon? Did Elusia\nresurrect you?\x0E\x04\x02\x00
MID_BT13_#002	\x0E\x05\x01 \x12E004_Hide\nAngry\nIn any case, Solm needs your help. We have to\nstop them from reviving the Fell Dragon.\x0E\x04\x02\x00
MID_BT13_#003	Please, join forces with us again!\x0E\x04\x00\x00
MID_BT13_#004	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nI'm sorry... I can't ally with your army or Ivy's.\nI'm here to take back the bracelets.\x0E\x04\x00\x00
MID_BT13_#005	\x0E\x05\x01&\x12E004_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E004_Hide\nHow can you talk to me like that?\x0E\x04\x02\x00
MID_BT13_#006	\x0E\x05\x01\x1E\x12E004_Hide\x08Pain\nThey must have warped your spirit with one of\nthose dark Elusian rituals.\x0E\x04\x02\x00
MID_BT13_#007	In that case, I'll do the kind thing and put you\nback to sleep with one quick, painless strike.\x0E\x04\x00\x00
MID_BT14_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06メリン\x02t\n\x0E\x05\x01\x10\x06メリン\x06Shy\n\x0E\x03\x02\x08\x06メリン\nHey there, my princess. I was kind of hoping we\nwouldn't cross paths, but...war is unkind.\x0E\x04\x00\x00
MID_BT14_#002	\x0E\x03\x00\x18\x12E004_Hide\x02b\n\x0E\x05\x01&\x12E004_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E004_Hide\nMerrin?! So Elusia revived you as well?\x0E\x04\x02\x00
MID_BT14_#003	\x0E\x05\x01\x1C\x12E004_Hide\x06Sad\nI'm sorry about what happened. It wasn't fair\nfor you to die right after becoming my knight.\x0E\x04\x02\x00
MID_BT14_#004	\x0E\x05\x01$\x12E004_Hide\x0ESerious\nAnd as if that wasn't cruel enough, now you're\none of the Corrupted. How awful.\x0E\x04\x00\x00
MID_BT14_#005	\x0E\x05\x01\x1C\x12E004_Hide\x06Sad\n\x0E\x03\x02\x08\x06メリン\nNo need for sorrow, my princess. I'm sure the\nMerrin of this world still sleeps peacefully.\x0E\x04\x02\x00
MID_BT14_#006	Snug as a hibernating fluffy-fluff hare. The best\nof endings for a lover of animals like me.\x0E\x04\x00\x00
MID_BT14_#007	\x0E\x03\x02\x14\x12E004_Hide\nMerrin... I can't believe you would joke like that,\neven in death.\x0E\x04\x02\x00
MID_BT14_#008	\x0E\x05\x01$\x12E004_Hide\x0ESerious\nDon't you remember how you hated animals?\x0E\x04\x00\x00
MID_BT15_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08パネトネ\x02t\n\x0E\x05\x01\x12\x08パネトネ\x06Sad\n\x0E\x03\x02\x0A\x08パネトネ\nOh dear. How cruel that I must face in battle\nthe person I most respect and adore.\x0E\x04\x00\x00
MID_BT15_#002	\x0E\x03\x00\x18\x12E004_Hide\x02b\n\x0E\x05\x01\x1E\x12E004_Hide\x08Pain\n\x0E\x03\x02\x14\x12E004_Hide\nPanette. So, Elusia brought you back? They're\nmaking me fight my own retainer?\x0E\x04\x00\x00
MID_BT15_#003	\x0E\x03\x02\x0A\x08パネトネ\nI beg you, Boss, do not look so sad.\x0E\x04\x02\x00
MID_BT15_#004	\x0E\x05\x01\x12\x08パネトネ\x06Shy\nI know! How about we sing a song together?\nOne of your many odes to meat, perhaps?\x0E\x04\x00\x00
MID_BT15_#005	\x0E\x05\x01\x1C\x08パネトネ\x10Surprise\n\x0E\x05\x01\x1C\x12E004_Hide\x06Shy\n\x0E\x03\x02\x14\x12E004_Hide\nHeh, Panette, are you teasing me? I'm a\nvegetarian! And you know I hate music.\x0E\x04\x02\x00
MID_BT15_#006	\x0E\x05\x01\x12\x08パネトネ\x06Sad\n\x0E\x05\x01$\x12E004_Hide\x0ESerious\nAs much as it pains me, I'll send you to the\nheavens─to slumber beside the desert sun.\x0E\x04\x02\x00
MID_BT15_#007	\x0E\x05\x01\x1C\x12E004_Hide\x06Sad\nBut it's too bad you have to die here, of all\nplaces... You always were scared of graveyards.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE004_エル\x021\n\x0E\x03\x00\x18\x12E004_Boss\x022\n\x0E\x03\x00\x18\x12E004_Hide\x023\n\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x14\x12E004_Hide\nUgh...\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x10\x0EE004_エル\nThe battle is decided. Relinquish the bracelets.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x14\x12E004_Boss\nNel... What are you doing?\x0E\x04\x02\x00
MID_ED1_#004	I am on your side. We are bringing our lord─\nyour father─back to life!\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x10\x0EE004_エル\nI never asked you to do so.\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x12\x10M011_モーヴ\nLady Nel. A ritual was indeed taking place in\nthe cathedral.\x0E\x04\x00\x00
MID_ED1_#007	The priest surrendered to our forces, and I have\ndismantled the altar.\x0E\x04\x02\x00
MID_ED1_#008	\x0E\x03\x02\x10\x0EE004_エル\nSplendid work, Mauvier.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x14\x12E004_Boss\nThat ritual was our last hope for Elusia!\nHow could you?!\x0E\x04\x02\x00
MID_ED1_#010	I will never forgive you for this. I don't care\nif you're Lord Sombron's daughter!\x0E\x04\x02\x00
MID_ED1_#011	Soldiers! If there is any strength left in you,\nkill that woman!\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x10\x0EE004_エル\nWe risk them regrouping if we draw this out.\x0E\x04\x02\x00
MID_ED1_#013	This is your final warning. Give us the bracelets.\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x14\x12E004_Boss\nNever!\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x14\x12E004_Hide\nI will never hand over Solm's bracelet. If you\nwant it, you'll have to kill me first.\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x10\x0EE004_エル\nThat is a pity. So be it.\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x00\x0E\x08リュール\x024\n\x0E\x03\x02\x0A\x08リュール\nNel... What are you going to do?\x0E\x04\x00\x00
MID_ED1_#018	\x0E\x03\x02\x10\x0EE004_エル\nAvert your eyes, Divine One, lest this sight\ndisturb you.\x0E\x04\x00\x00
MID_ED1_#019	\x0E\x03\x02\x0A\x08リュール\nWhat?!\x0E\x04\x00\x00
MID_ED1_#020	\x0E\x03\x02\x10\x0EE004_エル\nRAAAGH!\x0E\x04\x00\x00
MID_ED1_#021	\x0E\x03\x02\x14\x12E004_Boss\n*scream*\x0E\x04\x00\x00
MID_ED1_#022	\x0E\x03\x02\x14\x12E004_Hide\nI always knew you were a monster...\x0E\x04\x02\x00
MID_ED1_#023	No! AAAH!\x0E\x04\x00\x00
MID_ED1_#024	\x0E\x0B\x00x
MID_ED1_#025	\x0E\x03\x02\x0A\x08リュール\nHow could you?\x0E\x04\x02\x00
MID_ED1_#026	\x0E\x0B\x01@
MID_ED1_#027	\x0E\x03\x02\x10\x0EE004_エル\nI did warn you to avert your eyes.\x0E\x04\x02\x00
MID_ED1_#028	We are finished here. Let us be on our way.\x0E\x04\x00\x00
MID_ED1_#029	\x0E\x03\x02\x0A\x08リュール\nHow did we get here?\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE004_エル\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x1A\x14E004_敵セネリオ\x023\n\x0E\x06\x000\x14E004_敵セネリオ\x18MPID_Senerio\n\x0E\x03\x00\x18\x12E004_敵カミラ\x024\n\x0E\x06\x00.\x12E004_敵カミラ\x18MPID_Camilla\n\x0E\x03\x02\x10\x0EE004_エル\nRest well, Emblem Soren. Emblem Camilla.\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x16\x14E004_敵セネリオ\nThis world never did interest me much.\x0E\x04\x02\x00
MID_ED2_#003	However, I do wish we were freed from fighting\nthis pointless war.\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x14\x12E004_敵カミラ\nIs this goodbye already? I had a little more\nfight in me.\x0E\x04\x02\x00
MID_ED2_#005	Oh, well. But next time, I hope we can have\na proper chat...\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x10\x0EE004_エル\nThe Emblems are safely in slumber. Only one\nbracelet remains.\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x0A\x08リュール\nNel. Our mission was to take the bracelets.\x0E\x04\x02\x00
MID_ED2_#008	We said nothing─nothing─about killing Ivy\nand Timerra!\x0E\x04\x02\x00
MID_ED2_#009	Two nations' rulers, dead! What will become of\ntheir subjects now?\x0E\x04\x00\x00
MID_ED2_#010	\x0E\x03\x02\x10\x0EE004_エル\nI did not kill them. It is impossible to take a life\nthat has already been lost.\x0E\x04\x00\x00
MID_ED2_#011	\x0E\x03\x02\x0A\x08リュール\nWhat? Explain yourself.\x0E\x04\x00\x00
MID_ED2_#012	\x0E\x03\x02\x10\x0EE004_エル\nThose were no harmless little humans. Those\nwere the Corrupted.\x0E\x04\x00\x00
MID_ED2_#013	\x0E\x03\x02\x0A\x08リュール\nWhat? No...\x0E\x04\x00\x00
MID_ED2_#014	\x0E\x03\x02\x10\x0EE004_エル\nThe royals we fought in Firene and Brodia were\nthe same. Their soldiers as well. All of them.\x0E\x04\x00\x00
MID_ED2_#015	\x0E\x03\x02\x0A\x08リュール\nYou're saying they were all dead?\x0E\x04\x00\x00
MID_ED2_#016	\x0E\x03\x00\x1A\x14E004_グレゴリー\x023\n\x0E\x03\x02\x16\x14E004_グレゴリー\nSo are any other humans still alive? Or is it\njust...us?\x0E\x04\x00\x00
MID_ED2_#017	\x0E\x03\x00\x1C\x16E004_セレスティア\x024\n\x0E\x03\x02\x18\x16E004_セレスティア\nThe commonfolk I spoke to during my mission\nin Firene... Were they all Corrupted?\x0E\x04\x00\x00
MID_ED2_#018	\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x16\x14E004_マデリーン\nWe've been fighting a war we had no hope\nof winning.\x0E\x04\x00\x00
MID_ED2_#019	\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x12\x10M011_モーヴ\nDid you know of this as well, Lord Nil?\x0E\x04\x00\x00
MID_ED2_#020	\x0E\x03\x00\x14\x0EE004_イル\x024\n\x0E\x03\x02\x10\x0EE004_イル\nI had my suspicions, but I was never sure.\x0E\x04\x02\x00
MID_ED2_#021	They seemed much the same as they always\nwere. Who could have done something like this?\x0E\x04\x00\x00
MID_ED2_#022	\x0E\x03\x02\x10\x0EE004_エル\nI do not know when they perished. Nor when\nthey became Corrupted.\x0E\x04\x02\x00
MID_ED2_#023	They did not seem to be aware of their own\ncondition either.\x0E\x04\x00\x00
MID_ED2_#024	\x0E\x03\x02\x0A\x08リュール\nYou should have told us.\x0E\x04\x00\x00
MID_ED2_#025	\x0E\x03\x02\x10\x0EE004_エル\nI thought it would be best to conceal such an\nunpleasant truth.\x0E\x04\x00\x00
MID_ED2_#026	\x0E\x03\x02\x0A\x08リュール\nAlways making decisions for others. Why not\nat least discuss this with Nil? Or the Winds?\x0E\x04\x00\x00
MID_ED2_#027	\x0E\x03\x02\x10\x0EE004_エル\nYou are right. I apologize.\x0E\x04\x02\x00
MID_ED2_#028	But you come from another world. And you will\nreturn to that world when this war is over.\x0E\x04\x02\x00
MID_ED2_#029	I thought to spare you the sight of the corpses\nof your friends and allies.\x0E\x04\x02\x00
MID_ED2_#030	And you should certainly not be expected to kill\nthem with your own hands.\x0E\x04\x00\x00
MID_ED2_#031	\x0E\x03\x02\x0A\x08リュール\nYes...well...\x0E\x04\x00\x00
MID_ED2_#032	\x0E\x03\x02\x10\x0EE004_エル\nI truly did consider confiding in Nil and the\nFour Winds. I weighed the idea often.\x0E\x04\x02\x00
MID_ED2_#033	But had I told them, it would have only been a\nmatter of time until you bore the same burden.\x0E\x04\x02\x00
MID_ED2_#034	You are just like the Divine Dragon of this\nworld. You care deeply for your friends.\x0E\x04\x02\x00
MID_ED2_#035	Such strong bonds deserve consideration.\x0E\x04\x00\x00
MID_ED2_#036	\x0E\x03\x02\x0A\x08リュール\nSo, what, you did all this to protect me?\x0E\x04\x00\x00
MID_ED2_#037	\x0E\x03\x02\x10\x0EE004_エル\nPerhaps I did.\x0E\x04\x02\x00
MID_ED2_#038	Either way, I regret my choice. I hope you can\naccept my apology.\x0E\x04\x00\x00
MID_ED2_#039	\x0E\x03\x02\x0A\x08リュール\nNo. I'm sorry for getting upset.\x0E\x04\x02\x00
MID_ED2_#040	They were your friends, your allies, more than\nthey were mine. You had to watch them die.\x0E\x04\x02\x00
MID_ED2_#041	Not only that, but kill them yourself. That must\nhave been awful.\x0E\x04\x02\x00
MID_ED2_#042	And you put yourself through all that just to\nprotect me. Thank you.\x0E\x04\x02\x00
MID_ED2_#043	I didn't realize...how much you take care of\neveryone, Nel.\x0E\x04\x00\x00
MID_ED2_#044	\x0E\x03\x02\x10\x0EE004_エル\n...\x0E\x04\x02\x00
MID_ED2_#045	Those words...\x0E\x04\x00\x00
MID_ED2_#046	\x0E\x03\x02\x0A\x08リュール\nHm? Nel, what's the matter?\x0E\x04\x00\x00
MID_ED2_#047	\x0E\x03\x02\x10\x0EE004_エル\nDo not touch me!\x0E\x04\x00\x00
MID_ED2_#048	\x0E\x03\x02\x0A\x08リュール\nYou really hate me, don't you?\x0E\x04\x00\x00
MID_ED2_#049	\x0E\x03\x02\x10\x0EE004_エル\n...\x0E\x04\x02\x00
MID_ED2_#050	Yes.\x0E\x04\x02\x00
MID_ED2_#051	I hate that I ever laid eyes on you. Would that\nanyone else had answered our prayer.\x0E\x04\x00\x00
MID_ED2_#052	\x0E\x03\x02\x10\x0EE004_イル\nNel, please. This is too much.\x0E\x04\x00\x00
MID_ED2_#053	\x0E\x03\x00\x1C\x16E004_セレスティア\x023\n\x0E\x03\x02\x18\x16E004_セレスティア\nLord Nil.\x0E\x04\x00\x00
MID_ED2_#054	\x0E\x03\x02\x10\x0EE004_エル\nThe Divine Dragon of this world was more kind\nthan anyone I have ever known.\x0E\x04\x02\x00
MID_ED2_#055	Protective and caring and brave and strong.\nAccepting of us, despite our Fell Dragon blood.\x0E\x04\x02\x00
MID_ED2_#056	We admired the flowers together, and laughed\ntogether, and shared so much of ourselves.\x0E\x04\x02\x00
MID_ED2_#057	Every farewell was pain, no matter how brief.\nAnd every reunion gave me new life.\x0E\x04\x02\x00
MID_ED2_#058	You said you would be coming home! That very\nday! I had finally resolved to tell you!\x0E\x04\x00\x00
MID_ED2_#059	\x0E\x03\x02\x0A\x08リュール\nNel, I'm sorry, I don't...\x0E\x04\x00\x00
MID_ED2_#060	\x0E\x03\x02\x10\x0EE004_エル\nWhy did you have to go and die?!\x0E\x04\x02\x00
MID_ED2_#061	I loved you.\x0E\x04\x00\x00
MID_ED2_#062	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_ED2_#063	\x0E\x03\x02\x10\x0EE004_エル\nYou promised you would return. You promised\nto come home.\x0E\x04\x02\x00
MID_ED2_#064	We sealed the oath with our fingers interlocked.\nYour hand was warm. And next I felt it, cold.\x0E\x04\x02\x00
MID_ED2_#065	Your demeanor, your words, your kind spirit...\nThey are all reminders of what I lost.\x0E\x04\x00\x00
MID_ED2_#066	\x0E\x03\x02\x0A\x08リュール\nI've been causing you pain just by being here.\x0E\x04\x00\x00
MID_ED2_#067	\x0E\x03\x02\x10\x0EE004_エル\nIt is not your fault. Even I know that.\x0E\x04\x02\x00
MID_ED2_#068	But the more time I spend near you, the closer\nmy feelings come to what they once were.\x0E\x04\x02\x00
MID_ED2_#069	And that would be unforgivable, because you\nare not the one I loved.\x0E\x04\x00\x00
MID_ED2_#070	\x0E\x03\x02\x10\x0EE004_イル\nSo that's why you've been so harsh and distant\ntoward the Divine Dragon...\x0E\x04\x00\x00
MID_ED2_#071	\x0E\x03\x02\x10\x0EE004_エル\n...\x0E\x04\x02\x00
MID_ED2_#072	I need to clear my head.\x0E\x04\x00\x00
MID_ED2_#073	\x0E\x03\x02\x18\x16E004_セレスティア\nLady Nel! Wait!\x0E\x04\x00\x00
MID_ED2_#074	\x0E\x03\x02\x10\x0EE004_イル\nIt is dangerous for Nel to be out there alone.\nWinds, would you follow her?\x0E\x04\x02\x00
MID_ED2_#075	I will wait here, where it is safe.\x0E\x04\x00\x00
MID_ED2_#076	\x0E\x03\x02\x18\x16E004_セレスティア\nOf course, Lord Nil.\x0E\x04\x00\x00
MID_ED2_#077	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE004_イル\x022\n\x0E\x03\x02\x10\x0EE004_イル\nNel left the bracelets behind when she\nstormed off.\x0E\x04\x02\x00
MID_ED3_#002	Oh well.\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x02\x0A\x08リュール\nYeah...\x0E\x04\x00\x00
MID_ED3_#004	\x0E\x03\x02\x10\x0EE004_イル\nWill you not be going after her, Divine One?\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x02\x0A\x08リュール\nI think I should probably stay here.\x0E\x04\x02\x00
MID_ED3_#006	\x0E\x03\x02\x10\x0EE004_イル\nPerhaps you're right.\x0E\x04\x02\x00
MID_ED3_#007	It is going to be difficult for Nel to return.\nVulnerability has never come easily to her.\x0E\x04\x02\x00
MID_ED3_#008	And now she has gone and confessed her love\nin front of everyone. I am certain she regrets it.\x0E\x04\x02\x00
MID_ED3_#009	It is a good thing the Four Winds are around\nto coddle her.\x0E\x04\x00\x00
MID_ED3_#010	\x0E\x03\x02\x0A\x08リュール\nYou know her so well.\x0E\x04\x00\x00
MID_ED3_#011	\x0E\x03\x02\x10\x0EE004_イル\nI suppose I do. I am her twin brother, after all.\x0E\x04\x02\x00
MID_ED3_#012	I know all her favorite things, her habits and\npreoccupations. I know how delicate she can be.\x0E\x04\x02\x00
MID_ED3_#013	\x0E\x03\x00\x18\x12E005_Boss\x023\n\x0E\x03\x02\x14\x12E005_Boss\nBut there is one thing I do not know and am\never so curious about.\x0E\x04\x02\x00
MID_ED3_#014	How will she handle losing the one she cares\nfor most a second time?\x0E\x04\x00\x00
MID_ED3_#015	\x0E\x03\x02\x0A\x08リュール\nHuh?\x0E\x04\x00\x00
MID_ED3_#016	\x0E\x03\x02\x14\x12E005_Boss\nI really must find out.\x0E\x04\x02\x00
MID_ED3_#017	I hope that is all right with you.\x0E\x04\x00\x00
MID_ED3_#018	\x0E\x03\x02\x0A\x08リュール\nWhat are you...talking about?\x0E\x04\x00\x00
MID_ED3_#019	\x0E\x03\x02\x14\x12E005_Boss\nLook behind you, Divine One.\x0E\x04\x00\x00
MID_ED3_#020	\x0E\x03\x02\x0A\x08リュール\nEmblem Tiki!\x0E\x04\x00\x00
MID_ED3_#021	\x0E\x03\x02\x14\x12E005_Boss\nI roused her from her slumber.\x0E\x04\x02\x00
MID_ED3_#022	Haha, surprised? That is why I asked whether\nyou intended to follow my sister.\x0E\x04\x02\x00
MID_ED3_#023	A pity you chose to remain here. With me.\x0E\x04\x02\x00
MID_ED3_#024	And now farewell, Divine One.\x0E\x04\x00\x00
MID_ED4_#001	\x0E\x02\x02\x00\n\x0E\x03\x09\x00\n\x0E\x03\x00\x0A\x04イル\x021\n\x0E\x03\x00\x0E\x08ソンブル\x022\n\x0E\x03\x02\x06\x04イル\nI did it!\x0E\x04\x02\x00
MID_ED4_#002	I roused an Emblem from slumber! At last,\nI have a power of my very own!\x0E\x04\x02\x00
MID_ED4_#003	Now I can finally be of use. Now I will no longer\nbe a failure!\x0E\x04\x02\x00
MID_ED4_#004	I must show Nel right away.\x0E\x04\x00\x00
MID_ED4_#005	\x0E\x03\x02\x0A\x08ソンブル\nThat would be ill-advised.\x0E\x04\x00\x00
MID_ED4_#006	\x0E\x03\x02\x06\x04イル\nFather!\x0E\x04\x00\x00
MID_ED4_#007	\x0E\x03\x02\x0A\x08ソンブル\nContinue to play the role of the weakling.\nHide your true strength. Outwit the others.\x0E\x04\x00\x00
MID_ED4_#008	\x0E\x03\x02\x06\x04イル\nBut...\x0E\x04\x00\x00
MID_ED4_#009	\x0E\x03\x02\x0A\x08ソンブル\nYou are capable.\x0E\x04\x02\x00
MID_ED4_#010	Perhaps you are capable of becoming my\ntrue heir...\x0E\x04\x02\x00
MID_ED4_#011	Your power even surpasses your twin sister's.\x0E\x04\x00\x00
MID_ED4_#012	\x0E\x03\x02\x06\x04イル\n...\x0E\x04\x00\x00
