MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nI've never seen a power like yours. The ability\nto manifest Emblems... I want to make it mine.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nI suppose so. I like my people, so I want to\nprotect them. And you too...\x0E\x04\x00\x00
MID_GR_Ivy_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nI feel a certain kinship with you. I am uncertain\nexactly why.\x0E\x04\x00\x00
MID_GR_Ivy_C_#002	\x0E\x03\x02\x0A\x08アイビー\nThe feeling is mutual. I hope that we can\nbecome friends.\x0E\x04\x00\x00
MID_GR_Ivy_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08アイビー\nI grew up entrenched in courtly intrigue. It's left\nme with great difficulty putting trust in others.\x0E\x04\x00\x00
MID_GR_Ivy_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nTrust is difficult for me as well. But the only\nalternative is loneliness.\x0E\x04\x00\x00
MID_GR_Ivy_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nYou seem to be a good princess. I don't know...\nif I was the same.\x0E\x04\x00\x00
MID_GR_Ivy_A_#002	\x0E\x03\x02\x0A\x08アイビー\nI cannot say either. It is up to the people you\ngovern to decide that.\x0E\x04\x00\x00
MID_GR_Ivy_A_#003	\x0E\x03\x02\x0A\x08アイビー\nFor what it's worth, I would like to think you\nvalue your subjects as much as I value mine.\x0E\x04\x00\x00
MID_GR_Ivy_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nI do. I protect them fiercely. Now, tell me more\nabout your time at court...\x0E\x04\x00\x00
MID_GR_Zelkova_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nYou have amassed much power for your age,\nbut do you ever simply *enjoy* your youth?\x0E\x04\x00\x00
MID_GR_Zelkova_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nI am preparing to rule an empire. I have no time\nfor childish things.\x0E\x04\x00\x00
MID_GR_Zelkova_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nI have heard that you enjoy the *aroma* of a\nfine black tea. How does this suit you?\x0E\x04\x00\x00
MID_GR_Zelkova_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nIt does smell lovely. You are a man of\nmany talents.\x0E\x04\x00\x00
MID_GR_Zelkova_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nWhat do you see, Veronica, when you turn\nyour *mind's eye* toward the future?\x0E\x04\x00\x00
MID_GR_Zelkova_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nThe future? I struggle to fathom so much as\ntomorrow. What about you?\x0E\x04\x00\x00
MID_GR_Zelkova_A_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nI seek to become *absorbed* by my pursuits\nprecisely to avoid contemplating such a thing.\x0E\x04\x00\x00
MID_GR_Zelkova_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nThen let us focus simply on preserving this\nstate of affairs. I am glad to have you with me.\x0E\x04\x00\x00
MID_GR_Kagetsu_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06カゲツ\nVeronica! I am eager to begin our friendship.\nWill you go out with me now?\x0E\x04\x00\x00
MID_GR_Kagetsu_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nWhat do you mean? Out where?\x0E\x04\x00\x00
MID_GR_Kagetsu_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06カゲツ\nYou are quite formidable, Veronica. Come, show\nme more of your skill!\x0E\x04\x00\x00
MID_GR_Kagetsu_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nFor your sake, I must refuse.\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nI envy you, Kagetsu. You have so much that\nI don't.\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#002	\x0E\x03\x02\x08\x06カゲツ\nIs that so? What do I have that is so enviable\nto you?\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nA cheerful personality. A carefree smile. And\nfriends to share it with.\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#004	\x0E\x03\x02\x08\x06カゲツ\nI count you among those friends, Veronica. And\nsince I am sharing, you also have these things!\x0E\x04\x00\x00
MID_GR_Hortensia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nYou're pretty quiet, Veronica. I don't mind it,\nthough. It's part of your charm!\x0E\x04\x00\x00
MID_GR_Hortensia_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nMy charm? I don't understand.\x0E\x04\x00\x00
MID_GR_Hortensia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nI wish Emblems could change their clothes.\nI'd buy you so many outfits!\x0E\x04\x00\x00
MID_GR_Hortensia_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nI have no interest in fashion. Though I am\ncurious what you have in mind...\x0E\x04\x00\x00
MID_GR_Hortensia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nI had a tough time growing up in the royal court.\nWhat was it like for you, Veronica?\x0E\x04\x00\x00
MID_GR_Hortensia_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nI had an older brother to look after me. I wish\nthat I could see him again. Even just for tea...\x0E\x04\x00\x00
MID_GR_Hortensia_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nOh no...I made you sad. I'm sorry. I'm no big\nbrother, but I can brew you some tea, at least!\x0E\x04\x00\x00
MID_GR_Hortensia_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nI think I'd like that. Yes, let's sit down to tea,\nand you can tell me more about yourself.\x0E\x04\x00\x00
MID_GR_Rosado_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08ロサード\nYour outfit is so adorable! It really suits you. I'll\nbet it's the trend in the world you're from too.\x0E\x04\x00\x00
MID_GR_Rosado_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nMaybe it is. I wouldn't know.\x0E\x04\x00\x00
MID_GR_Rosado_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08ロサード\nDon't mind me, I'm just admiring your beautiful,\nsilky hair. Have you considered growing it out?\x0E\x04\x00\x00
MID_GR_Rosado_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nI have worn it long before, yes.\x0E\x04\x00\x00
MID_GR_Rosado_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08ロサード\nHey, take a look at this sketch I drew of you.\nI think I captured your cuteness perfectly!\x0E\x04\x00\x00
MID_GR_Rosado_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nStrange. This is not at all what I see when I look\nin the mirror.\x0E\x04\x00\x00
MID_GR_Rosado_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nIf this is how you see me, though...I'm glad.\x0E\x04\x00\x00
MID_GR_Rosado_A_#004	\x0E\x03\x02\x0A\x08ロサード\nAww, that reaction was picture perfect. Let me\nsketch it for you real quick!\x0E\x04\x00\x00
MID_GR_Goldmary_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nI wish I had your royal bearing, Veronica. I only\nhave pure, staggering charisma to fall back on.\x0E\x04\x00\x00
MID_GR_Goldmary_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nSurely you can rely on your confidence as well.\x0E\x04\x00\x00
MID_GR_Goldmary_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nI'm sorry if my scintillating conversation has\nspoiled all other forms of companionship.\x0E\x04\x00\x00
MID_GR_Goldmary_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nI don't know what that means. I have enjoyed\nspeaking with you though.\x0E\x04\x00\x00
MID_GR_Goldmary_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nIt doesn't matter what other people think of\nyou. Why do you care so much?\x0E\x04\x00\x00
MID_GR_Goldmary_A_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOf course it matters. I'd never be popular if\nI had an attitude like that.\x0E\x04\x00\x00
MID_GR_Goldmary_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nHow does one...become popular exactly? Is it\na matter of training?\x0E\x04\x00\x00
MID_GR_Goldmary_A_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nYou could think of it that way. Charm is a skill\nanyone can learn. I'd be happy to teach you.\x0E\x04\x00\x00
MID_GR_Misutira_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nミスティラ\nVeronica, you seem a little down! You know,\nthere's nothing to cheer you up like a song.\x0E\x04\x00\x00
MID_GR_Misutira_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nI am my usual self. Don't mind me. But if you\nhave a song prepared, I would like to hear it.\x0E\x04\x00\x00
MID_GR_Misutira_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nミスティラ\nHave you ever thought about trying on a Solmic\noutfit, Veronica? I think you'd look great in one!\x0E\x04\x00\x00
MID_GR_Misutira_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nDo you? Perhaps I might consider it...\x0E\x04\x00\x00
MID_GR_Misutira_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nミスティラ\nWhere I come from, there's nothing─absolutely\nnothing─more precious than freedom.\x0E\x04\x00\x00
MID_GR_Misutira_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nFreedom? From the beginning, I had none, so\nI'm not sure I really understand it.\x0E\x04\x00\x00
MID_GR_Misutira_A_#003	\x0E\x03\x02\x0C\nミスティラ\nIt can mean a lot of things, like being able to\ntreasure what's really important to you.\x0E\x04\x00\x00
MID_GR_Misutira_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nWhat's important, to me? Yes. Like my people...\nMy friends. That includes you, Timerra.\x0E\x04\x00\x00
MID_GR_Merin_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06メリン\nI am happy to fight alongside someone as sweet\nas you. I will protect you with all my might!\x0E\x04\x00\x00
MID_GR_Merin_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nI see... Thank you. And also, even if it's just\nsometimes, please tell me stories.\x0E\x04\x00\x00
MID_GR_Merin_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06メリン\nI absolutely cannot get enough of rare critters.\nWhat kinds of animals were there in your land?\x0E\x04\x00\x00
MID_GR_Merin_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nAnimals? I'm not sure, but I have seen people\nwith rabbit ears on their heads.\x0E\x04\x00\x00
MID_GR_Merin_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06メリン\nFrom the day I was born, I was set to become a\nvillage matriarch. Call it something like fate.\x0E\x04\x00\x00
MID_GR_Merin_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nIt was the same for me. From birth, it was\ndecided. I never thought about it deeply, but...\x0E\x04\x00\x00
MID_GR_Merin_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nAfter talking to others, I realized it... The thing\nI want... I cannot quite put it into words yet.\x0E\x04\x00\x00
MID_GR_Merin_A_#004	\x0E\x03\x02\x08\x06メリン\nIn that case, we should speak more. If you use\nyour words more, your desire may come clear!\x0E\x04\x00\x00
MID_GR_Panetone_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nYou are quite strong, Panette. I'd like to make\nyou mine.\x0E\x04\x00\x00
MID_GR_Panetone_C_#002	\x0E\x03\x02\x0A\x08パネトネ\nYour interest honors me, but I feel I would\nhave to discuss it with the boss.\x0E\x04\x00\x00
MID_GR_Panetone_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nYou never seem perturbed on the field of battle.\nDoes nothing scare you?\x0E\x04\x00\x00
MID_GR_Panetone_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nWhat scares me is someone going away and\nnot knowing if we'll meet again. That's it.\x0E\x04\x00\x00
MID_GR_Panetone_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nYou are an imperial princess, is that right?\nDo you ever wish you led a more carefree life?\x0E\x04\x00\x00
MID_GR_Panetone_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nI always heard a voice. I simply followed it.\nI had no freedom.\x0E\x04\x00\x00
MID_GR_Panetone_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nBut...it's strange. Sometimes, when we're\ntogether, I think I'd like to be more like you.\x0E\x04\x00\x00
MID_GR_Panetone_A_#004	\x0E\x03\x02\x0A\x08パネトネ\nIn that case, let us frolic together! We can ride\nwolves and stay up all night!\x0E\x04\x00\x00
MID_GR_Fogato_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nフォガート\nI was thinking we should throw you a welcome\nparty. Ready to make a ruckus?\x0E\x04\x00\x00
MID_GR_Fogato_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nYou wish to welcome me? Then...yes. I would\nenjoy making a ruckus...\x0E\x04\x00\x00
MID_GR_Fogato_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nYou throw so many parties. Why? Are they not\nfor when something eventful has happened?\x0E\x04\x00\x00
MID_GR_Fogato_B_#002	\x0E\x03\x02\x0C\nフォガート\nPeople are happier when they're together.\nI want them to be happy. That's all it is.\x0E\x04\x00\x00
MID_GR_Fogato_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nフォガート\nI began fighting for the Sentinels to help my\ncountry. It meant I wasn't at the castle much.\x0E\x04\x00\x00
MID_GR_Fogato_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nMy brother was the same way.\x0E\x04\x00\x00
MID_GR_Fogato_A_#003	\x0E\x03\x02\x0C\nフォガート\nI'm sure he was doing it for the country's\nbenefit. Probably for yours too.\x0E\x04\x00\x00
MID_GR_Fogato_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nFor me? Perhaps you're right. Thank you for\nsaying so, Fogado.\x0E\x04\x00\x00
MID_GR_Pandoro_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nI'm intrigued... You were singing and stomping\nyour feet in such a strange way. What for?\x0E\x04\x00\x00
MID_GR_Pandoro_C_#002	\x0E\x03\x02\x0A\x08パンドロ\nAh, yes... That was a dance I offer up to the\nDivine Dragon. I can teach you, if you want!\x0E\x04\x00\x00
MID_GR_Pandoro_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nAre the clerics in this world all like you? The\nones in my world were...quite different.\x0E\x04\x00\x00
MID_GR_Pandoro_B_#002	\x0E\x03\x02\x0A\x08パンドロ\nNo, I'm kind of an oddball. I'm definitely not\nyour standard priest!\x0E\x04\x00\x00
MID_GR_Pandoro_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nLady Veronica, please let me pray for\nyour protection.\x0E\x04\x00\x00
MID_GR_Pandoro_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nI am deserving of no god's blessings...\x0E\x04\x00\x00
MID_GR_Pandoro_A_#003	\x0E\x03\x02\x0A\x08パンドロ\nNonsense! You fight to save this world. You\ndeserve blessings as much as anyone else.\x0E\x04\x00\x00
MID_GR_Pandoro_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nIf you insist... I will try to believe in your words,\nPandreo. I am slowly learning why I fight...\x0E\x04\x00\x00
MID_GR_Bonet_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x06\x04ボネ\nYour taste in attire is delicious. That outfit suits\nyou like a sugary filigree goes with dessert.\x0E\x04\x00\x00
MID_GR_Bonet_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nAre you...particularly hungry? I'm afraid this\nisn't actually edible...\x0E\x04\x00\x00
MID_GR_Bonet_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x06\x04ボネ\nWhat sort of delicacies did you enjoy in your\ncountry? I'm very curious.\x0E\x04\x00\x00
MID_GR_Bonet_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nI don't remember what I ate. I could tell you\nabout the tea I drank, if that's of interest.\x0E\x04\x00\x00
MID_GR_Bonet_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x06\x04ボネ\nThe reason I became Fogado's retainer was\nbecause he liked my cooking so much.\x0E\x04\x00\x00
MID_GR_Bonet_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nBut food is not useful for fighting... So why did\nhe choose you? Tell me...\x0E\x04\x00\x00
MID_GR_Bonet_A_#003	\x0E\x03\x02\x06\x04ボネ\nGood food is good fuel. It might not make you\nstronger, but it helps you fight for longer.\x0E\x04\x00\x00
MID_GR_Bonet_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nThis thinking is wise. I am curious. Now, tell me\nmore of your stories...\x0E\x04\x00\x00
MID_GR_Anna_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nYou look exactly like the commander of the\nOrder of Heroes. Perhaps you are the same...\x0E\x04\x00\x00
MID_GR_Anna_C_#002	\x0E\x03\x02\x08\x06アンナ\nRight, yeah, sisters can have the same face and\nname! Is there anything you'd wanna buuuy?\x0E\x04\x00\x00
MID_GR_Anna_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06アンナ\nI have many new wares today! If you want\nanything, I'll give you a discount!\x0E\x04\x00\x00
MID_GR_Anna_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nThere's nothing I want, but can we talk? I'm\ncurious about where you get your goods.\x0E\x04\x00\x00
MID_GR_Anna_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06アンナ\nIt's been some time since we first met. To\ncommemorate, I'll make you a present!\x0E\x04\x00\x00
MID_GR_Anna_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nA present... The only gift I want is...I'd like to\ntalk, like we always do.\x0E\x04\x00\x00
MID_GR_Anna_A_#003	\x0E\x03\x02\x08\x06アンナ\nIs that all? Then leave it to me. I'll talk to you\nanytime. Just call on me when you're lonely!\x0E\x04\x00\x00
MID_GR_Anna_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nReally? It's a promise, then. And if you were to\never go away...I'd really hate that.\x0E\x04\x00\x00
MID_GR_Jean_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06ジャン\nYou look about the same age as me, but you're\nso calm on the battlefield. I truly respect that.\x0E\x04\x00\x00
MID_GR_Jean_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nThere's no need for that. And I am not a child.\x0E\x04\x00\x00
MID_GR_Jean_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06ジャン\nAre you getting enough rest? Being well-rested\nis important in order to avoid injury.\x0E\x04\x00\x00
MID_GR_Jean_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nHmm... I'm not sure what I should do to rest.\nWill you take a break with me?\x0E\x04\x00\x00
MID_GR_Jean_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06ジャン\nI want to be stronger on the battlefield. How\ncan I get to be more like you, Veronica?\x0E\x04\x00\x00
MID_GR_Jean_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nYou're strange...wanting to be like me. I think\nyou're stronger with your many friends.\x0E\x04\x00\x00
MID_GR_Jean_A_#003	\x0E\x03\x02\x08\x06ジャン\nBut you have a lot too. I think of you as a friend.\x0E\x04\x00\x00
MID_GR_Jean_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nOh... Then I will call you a friend too. That way,\nwe both become a bit stronger.\x0E\x04\x00\x00
MID_GR_Yunaka_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ユナカ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nI don't mind that you talk a lot, Yunaka, but\ncould you do it a little...slower?\x0E\x04\x00\x00
MID_GR_Yunaka_C_#002	\x0E\x03\x02\x08\x06ユナカ\nOh, sorry! I just feel like I've got so much to\nchat about and so little time to do it in!\x0E\x04\x00\x00
MID_GR_Yunaka_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ユナカ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nHeya, Veronica! I'm feeling especially zappy\ntoday. How 'bout you?\x0E\x04\x00\x00
MID_GR_Yunaka_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nI'm wondering why talking to you sometimes\nfeels like...speaking with an entire crowd.\x0E\x04\x00\x00
MID_GR_Yunaka_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ユナカ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nThe truth is, I'm not too good at solitude or\nsilence. You probably prefer 'em, though, huh?\x0E\x04\x00\x00
MID_GR_Yunaka_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nNot true, actually. I dislike being alone, and I\ndon't mind noise.\x0E\x04\x00\x00
MID_GR_Yunaka_A_#003	\x0E\x03\x02\x08\x06ユナカ\nReally? Well, you should try making a racket\nonce in a while. Try this─zappy!\x0E\x04\x00\x00
MID_GR_Yunaka_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nThat...does seem fun, but I don't think I'm ready\nfor it yet. Maybe we can practice.\x0E\x04\x00\x00
MID_GR_Seadas_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nYou're a dancer, aren't you? When I watch you,\nI recall the performing-arts festival in Askr.\x0E\x04\x00\x00
MID_GR_Seadas_C_#002	\x0E\x03\x02\x0A\x08セアダス\nOh, that sounds like a festival I'd love to see\nwith my own eyes some day.\x0E\x04\x00\x00
MID_GR_Seadas_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nIt's strange, but when you dance, I follow you\nwith my gaze without thinking. Why is that?\x0E\x04\x00\x00
MID_GR_Seadas_B_#002	\x0E\x03\x02\x0A\x08セアダス\nThe rapt attention of another is the highest\ncompliment. It is truly rewarding.\x0E\x04\x00\x00
MID_GR_Seadas_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08セアダス\nAs a thank-you for everything, I will tell your\nfortune. Let's see... "Le Jugement," eh?\x0E\x04\x00\x00
