MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nI am thrilled to be your compatriot. I swore to\nLumera that I would defend you with my life.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nシトリニカ\nI have to thank you, Sigurd. Your power helps\nme protect those I love...and I love so, so many.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#002	\x0E\x03\x02\x0A\x08シグルド\nYour time among our allies has formed lasting\nconnections─some even stronger than blood.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#003	\x0E\x03\x02\x0C\nシトリニカ\nYou're right. I do feel connected to everyone.\nAnd that goes for you too.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#004	\x0E\x03\x02\x0A\x08シグルド\nIndeed! Bonds forged through battle are even\nstronger...and ours will last far into the future.\x0E\x04\x00\x00
MID_GR_Ivy_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nI regret that we could not save your father.\nThe pain of a grieving child is... I know it well.\x0E\x04\x00\x00
MID_GR_Ivy_C_#002	\x0E\x03\x02\x0A\x08アイビー\nYou need not concern yourself. I am the crown\nprincess of Elusia. I know my duty.\x0E\x04\x00\x00
MID_GR_Ivy_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08アイビー\nThough I may not say so as a princess of Elusia,\nI worship the Divine Dragon in my personal life.\x0E\x04\x00\x00
MID_GR_Ivy_B_#002	\x0E\x03\x02\x0A\x08シグルド\nThis may be my first glimpse of your true self.\nI must say, I like what I see.\x0E\x04\x00\x00
MID_GR_Ivy_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nWe know each other rather well by now, and\nyet I do not think I have ever seen you happy.\x0E\x04\x00\x00
MID_GR_Ivy_A_#002	\x0E\x03\x02\x0A\x08アイビー\nHappiness and duty are often mutually\nexclusive for a princess.\x0E\x04\x00\x00
MID_GR_Ivy_A_#003	\x0E\x03\x02\x0A\x08アイビー\nWhen I was a mere student at the academy,\nI had many joyful experiences among friends.\x0E\x04\x00\x00
MID_GR_Ivy_A_#004	\x0E\x03\x02\x0A\x08シグルド\nThen I shall endeavor to be a friend to you,\nthat you might someday recapture that joy.\x0E\x04\x00\x00
MID_GR_Zelkova_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nNo need to keep busy at all times, Zelkov.\nWhy not take rest where you can find it?\x0E\x04\x00\x00
MID_GR_Zelkova_C_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nI find no peace in the idleness you call rest.\nI prefer to *remain* occupied.\x0E\x04\x00\x00
MID_GR_Zelkova_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nAs an Emblem, you do not age. Does the\nprospect of such long life not *frighten* you?\x0E\x04\x00\x00
MID_GR_Zelkova_B_#002	\x0E\x03\x02\x0A\x08シグルド\nI do not fear a long life. But knowing I must bid\nfarewell to so many I care for does unsettle me.\x0E\x04\x00\x00
MID_GR_Zelkova_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nMy son, Seliph, fought to avenge my death, but\nour foe considered his own actions to be just.\x0E\x04\x00\x00
MID_GR_Zelkova_A_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nI often wonder if it is the *same* with the man\nwho killed my father.\x0E\x04\x00\x00
MID_GR_Zelkova_A_#003	\x0E\x03\x02\x0A\x08シグルド\nMoral truth is not simple or objective. We each\nhave our own view of what is right and wrong.\x0E\x04\x00\x00
MID_GR_Zelkova_A_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nYour empathy is *humbling.* I see now why\nthey call you the holy knight.\x0E\x04\x00\x00
MID_GR_Kagetsu_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06カゲツ\nSigurd! I trust you are well? It is important to\nme that all my friends are healthy and happy.\x0E\x04\x00\x00
MID_GR_Kagetsu_C_#002	\x0E\x03\x02\x0A\x08シグルド\nI am quite well, but thank you for the concern.\nI intend to hold fast until this war is won.\x0E\x04\x00\x00
MID_GR_Kagetsu_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06カゲツ\nI did not wish to live all my life seeing only my\nown country. That is why I fled my homeland.\x0E\x04\x00\x00
MID_GR_Kagetsu_B_#002	\x0E\x03\x02\x0A\x08シグルド\nDo you write to your parents, at least? Surely\nthey would appreciate it. They must worry.\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06カゲツ\nYou have such admirable strength. Will you\ncome show it to my homeland after this war?\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#002	\x0E\x03\x02\x0A\x08シグルド\nWhere I journey next is up to the Divine One,\nbut I would be happy to teach you my skills.\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#003	\x0E\x03\x02\x08\x06カゲツ\nI understand and happily accept your offer.\nI have dreamed of studying your technique!\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#004	\x0E\x03\x02\x0A\x08シグルド\nThen it will be my pleasure to teach you\neverything I know.\x0E\x04\x00\x00
MID_GR_Hortensia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nMy deepest condolences for your father. To see\nany child bereft of a parent fills me with grief.\x0E\x04\x00\x00
MID_GR_Hortensia_C_#002	\x0E\x03\x02\x0E\x0Cオルテンシア\nThank you, Sigurd, but it's OK. I'm grown-up\nenough to keep focused on rebuilding Elusia.\x0E\x04\x00\x00
MID_GR_Hortensia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nYou're so dignified and gallant. I'll bet you were\na charmer back in your world.\x0E\x04\x00\x00
MID_GR_Hortensia_B_#002	\x0E\x03\x02\x0A\x08シグルド\nI thought little of such things. There was only\never one woman I was interested in charming.\x0E\x04\x00\x00
MID_GR_Hortensia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nI will do whatever it takes to bring Elusia back\nto its former glory. Consider it an oath.\x0E\x04\x00\x00
MID_GR_Hortensia_A_#002	\x0E\x03\x02\x0A\x08シグルド\nYour father would be proud to see you swear it.\nAnd he would be confident of your success.\x0E\x04\x00\x00
MID_GR_Hortensia_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nThanks. I'd like to ask for your help too, Sigurd.\nBut I guess that's up to the Divine Dragon.\x0E\x04\x00\x00
MID_GR_Hortensia_A_#004	\x0E\x03\x02\x0A\x08シグルド\nIndeed. But wherever our paths may take us,\nI will always think of you as a friend.\x0E\x04\x00\x00
MID_GR_Rosado_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08ロサード\nHold still a second, Sigurd. I'm gonna draw you.\nGive me a nice big smile, OK? Perfect.\x0E\x04\x00\x00
MID_GR_Rosado_C_#002	\x0E\x03\x02\x0A\x08シグルド\nAstonishing! How do you draw with such\naccuracy and speed?\x0E\x04\x00\x00
MID_GR_Rosado_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nI hear you risked your life to return a ring to the\nDivine Dragon. What a brave and selfless act.\x0E\x04\x00\x00
MID_GR_Rosado_B_#002	\x0E\x03\x02\x0A\x08ロサード\nI'm glad I was able to help...and that we all\ngot out of there.\x0E\x04\x00\x00
MID_GR_Rosado_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nI grieve the lost chance of sitting for a portrait\nwith my family. A picture can mean so much.\x0E\x04\x00\x00
MID_GR_Rosado_A_#002	\x0E\x03\x02\x0A\x08ロサード\nIt's nice to have a keepsake, sure. But either\nway, you'll always have your memories.\x0E\x04\x00\x00
MID_GR_Rosado_A_#003	\x0E\x03\x02\x0A\x08シグルド\nTrue. With no portrait to leave my son, I can\nonly trust that the memory of me will endure.\x0E\x04\x00\x00
MID_GR_Rosado_A_#004	\x0E\x03\x02\x0A\x08ロサード\nI'll bet that's much more precious to your family\nthan a picture could ever be.\x0E\x04\x00\x00
MID_GR_Goldmary_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nPlease continue to help us fight the Fell Dragon,\nGoldmary. The people of this world need you.\x0E\x04\x00\x00
MID_GR_Goldmary_C_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nWith a sweet entreaty like that, how could\nI possibly refuse?\x0E\x04\x00\x00
MID_GR_Goldmary_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nBefriending Hortensia at the academy in Elusia\nwas perhaps my life's greatest turning point.\x0E\x04\x00\x00
MID_GR_Goldmary_B_#002	\x0E\x03\x02\x0A\x08シグルド\nI, too, met my dearest friends at an academy.\nOur bonds carried us through a great deal.\x0E\x04\x00\x00
MID_GR_Goldmary_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nAfter all that has transpired, Goldmary, I have\ncome to deeply cherish your friendship.\x0E\x04\x00\x00
MID_GR_Goldmary_A_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nI see. So not even Emblems are immune to my\nstunning charm.\x0E\x04\x00\x00
MID_GR_Goldmary_A_#003	\x0E\x03\x02\x0A\x08シグルド\nYou are indeed graceful and highly skilled in\nbattle. It is a pleasure to have you as an ally.\x0E\x04\x00\x00
MID_GR_Goldmary_A_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOf course. I'm sorry if the standard set by my\ntalent is unfair to all your other friends.\x0E\x04\x00\x00
MID_GR_Misutira_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nミスティラ\nHaving you here is the best, Sigurd. I'd say\nthis calls for one of my ♪signature soooongs!♪\x0E\x04\x00\x00
MID_GR_Misutira_C_#002	\x0E\x03\x02\x0A\x08シグルド\nAhem, that is a most...how to put this...unique\nway of welcoming me. Truly one of a kind.\x0E\x04\x00\x00
MID_GR_Misutira_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nMy younger sister thinks me quite slovenly.\nI have tried to improve myself, alas...\x0E\x04\x00\x00
MID_GR_Misutira_B_#002	\x0E\x03\x02\x0C\nミスティラ\nIf anything, you're too uptight. My dad traipses\naround the queendom without a worry. Try it!\x0E\x04\x00\x00
MID_GR_Misutira_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nI envy the royal family of Solm. You seem so\nclose-knit. Alas, my family was taken from me.\x0E\x04\x00\x00
MID_GR_Misutira_A_#002	\x0E\x03\x02\x0C\nミスティラ\nOh, that's so sad, Sigurd. I can't imagine not\nbeing able to see my family.\x0E\x04\x00\x00
MID_GR_Misutira_A_#003	\x0E\x03\x02\x0C\nミスティラ\nI know it's not the same, but I hope you'll think\nof us as your family now.\x0E\x04\x00\x00
MID_GR_Misutira_A_#004	\x0E\x03\x02\x0A\x08シグルド\nThank you, Timerra. That warms my heart.\nI shall never forget the bonds between us.\x0E\x04\x00\x00
MID_GR_Merin_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nYou have stared at me for some time now.\nIf there is something to say, be out with it.\x0E\x04\x00\x00
MID_GR_Merin_C_#002	\x0E\x03\x02\x08\x06メリン\nI'm sorry, I was just observing how you move.\nSir Sigurd, you are the epitome of cool.\x0E\x04\x00\x00
MID_GR_Merin_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06メリン\nSir Sigurd, please tell me... What should I do to\nbecome a knight as impressive as you?\x0E\x04\x00\x00
MID_GR_Merin_B_#002	\x0E\x03\x02\x0A\x08シグルド\nIt is the duty of a knight to protect their people.\nKeep this fire lit in your heart always.\x0E\x04\x00\x00
MID_GR_Merin_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06メリン\nAll I ever wanted to be was a knight, but it was\nmy princess who made that dream a reality.\x0E\x04\x00\x00
MID_GR_Merin_A_#002	\x0E\x03\x02\x08\x06メリン\nShe asked me once if that's what I truly wanted.\nI nodded and have been in her service since.\x0E\x04\x00\x00
MID_GR_Merin_A_#003	\x0E\x03\x02\x0A\x08シグルド\nTimerra must have seen something in you and\nknown you were meant for the job.\x0E\x04\x00\x00
MID_GR_Merin_A_#004	\x0E\x03\x02\x0A\x08シグルド\nYou must match these expectations. So we shall\nfight side by side, as knights, for all to see.\x0E\x04\x00\x00
MID_GR_Panetone_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08パネトネ\nIt is a great privilege to meet the esteemed\nknight Sir Sigurd. I do hope I may be of service.\x0E\x04\x00\x00
MID_GR_Panetone_C_#002	\x0E\x03\x02\x0A\x08シグルド\nEsteemed? No need for such formality. I am\namong equals. We fight together!\x0E\x04\x00\x00
MID_GR_Panetone_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08パネトネ\nWhen I am unhappy, I find that a ride on my\nwolf clears my head. Care to join me sometime?\x0E\x04\x00\x00
MID_GR_Panetone_B_#002	\x0E\x03\x02\x0A\x08シグルド\nRide a wolf? How intriguing. Were I to possess\na physical body, I would most like to join you.\x0E\x04\x00\x00
MID_GR_Panetone_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nI misunderstood you at first, Panette. I see now\nthat your intentions are quite genuine.\x0E\x04\x00\x00
MID_GR_Panetone_A_#002	\x0E\x03\x02\x0A\x08パネトネ\nWhat do you mean by this? Be warned, flattery\nwill get you nowhere.\x0E\x04\x00\x00
MID_GR_Panetone_A_#003	\x0E\x03\x02\x0A\x08シグルド\nI meant that you do not have to try to impress\nme. You need only be yourself.\x0E\x04\x00\x00
MID_GR_Panetone_A_#004	\x0E\x03\x02\x0A\x08パネトネ\nI-I am not trying to impress you. I simply treat\nyou like a kindly elder brother who I admire.\x0E\x04\x00\x00
MID_GR_Fogato_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nフォガート\nI'm about to throw an epic feast. Nothin' stuffy,\njust good times 'n' good friends. You in, Sigurd?\x0E\x04\x00\x00
MID_GR_Fogato_C_#002	\x0E\x03\x02\x0A\x08シグルド\nThank you, Fogado, I would be happy to attend.\nI am eager to socialize with my compatriots.\x0E\x04\x00\x00
MID_GR_Fogato_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nフォガート\nYou'd never leave someone who was in trouble,\nwould you? The same goes for me, you know?\x0E\x04\x00\x00
MID_GR_Fogato_B_#002	\x0E\x03\x02\x0A\x08シグルド\nThe duty of a knight is to protect their people\nabove all else. I am pleased you feel equally so.\x0E\x04\x00\x00
MID_GR_Fogato_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nI prefer to leave politics to politicians. And on\nthe battlefield, I rely on well-versed strategists.\x0E\x04\x00\x00
MID_GR_Fogato_A_#002	\x0E\x03\x02\x0C\nフォガート\nYeah, I hear you. We all have different strengths,\nright? I myself make an excellent Sentinel.\x0E\x04\x00\x00
MID_GR_Fogato_A_#003	\x0E\x03\x02\x0C\nフォガート\nYou gotta find folks who make up for the skills\nyou lack. That's how you build a good team.\x0E\x04\x00\x00
MID_GR_Fogato_A_#004	\x0E\x03\x02\x0A\x08シグルド\nAgreed. And I shall sharpen my skills and wield\nthem mightily wherever we go, Fogado.\x0E\x04\x00\x00
MID_GR_Pandoro_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08パンドロ\nYou've known the Divine One for a long time,\nright? I'm so glad you're here to fight for us.\x0E\x04\x00\x00
MID_GR_Pandoro_C_#002	\x0E\x03\x02\x0A\x08シグルド\nI am simply protecting those who need it the\nmost. And right now, this world is in great need.\x0E\x04\x00\x00
MID_GR_Pandoro_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08パンドロ\nI thought you'd be more...rigid, since you're a\nholy knight and all, you know? But you're not.\x0E\x04\x00\x00
MID_GR_Pandoro_B_#002	\x0E\x03\x02\x0A\x08シグルド\nMore rigid? Yes, well, my little sister used\nto chastise me for being quite slovenly.\x0E\x04\x00\x00
MID_GR_Pandoro_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08パンドロ\nLord Sigurd, what kind of battles have you been\nin? I'd love to hear some of your war stories.\x0E\x04\x00\x00
MID_GR_Pandoro_A_#002	\x0E\x03\x02\x0A\x08シグルド\nI fought for my people and died for my effort.\nBut my son and his friends saved our world.\x0E\x04\x00\x00
MID_GR_Pandoro_A_#003	\x0E\x03\x02\x0A\x08シグルド\nThe bonds we forged then gave us strength.\nAnd so it is now. We are powerful together.\x0E\x04\x00\x00
MID_GR_Pandoro_A_#004	\x0E\x03\x02\x0A\x08パンドロ\nWe have forged powerful bonds of our own,\nhaven't we? Yeah, we'll win this fight together!\x0E\x04\x00\x00
MID_GR_Bonet_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x06\x04ボネ\nI can imagine you as a splendid ingredient,\nSigurd. Something akin to seafood, perhaps.\x0E\x04\x00\x00
MID_GR_Bonet_C_#002	\x0E\x03\x02\x0A\x08シグルド\nI am...honored? Yet I wonder why you think so.\nPerhaps it is because of my colors?\x0E\x04\x00\x00
MID_GR_Bonet_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x06\x04ボネ\nHave you ever felt regret after a battle? The\nwind tastes and smells bitter to me after a fight.\x0E\x04\x00\x00
MID_GR_Bonet_B_#002	\x0E\x03\x02\x0A\x08シグルド\nI am well familiar with regret. Solace is found in\nremembering why I fought, and for whom.\x0E\x04\x00\x00
MID_GR_Bonet_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nAm I to understand your family restaurant was\ndestroyed by bandits, and your parents killed?\x0E\x04\x00\x00
MID_GR_Bonet_A_#002	\x0E\x03\x02\x06\x04ボネ\nThat's correct. I swear I will rebuild it for them\nand for Fogado, who made me his retainer.\x0E\x04\x00\x00
MID_GR_Bonet_A_#003	\x0E\x03\x02\x06\x04ボネ\nI'm here because he and others supported me.\nI perfect my cuisine and combat skills for them.\x0E\x04\x00\x00
MID_GR_Bonet_A_#004	\x0E\x03\x02\x0A\x08シグルド\nThat is most noble. I am certain your parents\nwould be proud to see you carry on their dream.\x0E\x04\x00\x00
MID_GR_Anna_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nI must say, Anna, I balk at the notion of\nallowing one so young on the battlefield.\x0E\x04\x00\x00
MID_GR_Anna_C_#002	\x0E\x03\x02\x08\x06アンナ\nRelax! I can handle it. And we're way too close\nfor you to call me anything but Lady Anna.\x0E\x04\x00\x00
MID_GR_Anna_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nHaving seen more of your performance in battle,\nI admit my prior mistake. You are a staunch ally.\x0E\x04\x00\x00
MID_GR_Anna_B_#002	\x0E\x03\x02\x08\x06アンナ\nI'm pretty good, huh? Glad you noticed. With\nthat out of the way, wanna see what's for sale?\x0E\x04\x00\x00
MID_GR_Anna_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06アンナ\nHey, Sigurd! Do you know what holiday it is?\x0E\x04\x00\x00
MID_GR_Anna_A_#002	\x0E\x03\x02\x0A\x08シグルド\nIs it a holiday? I suppose my ignorance is\nobvious. None spring to mind, at any rate.\x0E\x04\x00\x00
MID_GR_Anna_A_#003	\x0E\x03\x02\x08\x06アンナ\nDon't feel bad. I just made it up! Today is\nofficially "Anna-Sigurd Friendship Day."\x0E\x04\x00\x00
MID_GR_Anna_A_#004	\x0E\x03\x02\x0A\x08シグルド\nOh? That has a nice ring to it. I shall remember\nto celebrate each time the day arrives.\x0E\x04\x00\x00
MID_GR_Jean_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nWar is a cruel thing. Should one so young as\nyou be exposed to its horrors?\x0E\x04\x00\x00
MID_GR_Jean_C_#002	\x0E\x03\x02\x08\x06ジャン\nYoung or old, it'll touch all our lives anyway.\nI can make a stand, so I will.\x0E\x04\x00\x00
MID_GR_Jean_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06ジャン\nMy father is the only doctor on our island.\nI want to follow in his footsteps.\x0E\x04\x00\x00
MID_GR_Jean_B_#002	\x0E\x03\x02\x0A\x08シグルド\nHe must be proud to know his legacy will\nendure. But do not be so quick to grow up...\x0E\x04\x00\x00
MID_GR_Jean_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06ジャン\nWhat made you become a knight, Sigurd?\nWas your father one too?\x0E\x04\x00\x00
MID_GR_Jean_A_#002	\x0E\x03\x02\x0A\x08シグルド\nMy lineage was a factor, yes. More than that, I\nwished to use my might to protect the people.\x0E\x04\x00\x00
MID_GR_Jean_A_#003	\x0E\x03\x02\x08\x06ジャン\nYeah, that makes sense. I want to help people\ntoo. Medicine is my way of doing that.\x0E\x04\x00\x00
MID_GR_Jean_A_#004	\x0E\x03\x02\x0A\x08シグルド\nYou have a heart noble as any knight. Let us\nswear together to watch over our countrymen.\x0E\x04\x00\x00
MID_GR_Yunaka_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ユナカ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06ユナカ\nZappy! How goes it, Sigurd? Ready to face\nthe day? Show the world who's boss?\x0E\x04\x00\x00
MID_GR_Yunaka_C_#002	\x0E\x03\x02\x0A\x08シグルド\nI have not the faintest idea what you mean, but\nI am in fine spirits, if that is your question.\x0E\x04\x00\x00
MID_GR_Yunaka_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ユナカ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06ユナカ\nSay, Sigurd. Would you mind giving me a teensy\npeek at your priceless treasure of a weapon?!\x0E\x04\x00\x00
MID_GR_Yunaka_B_#002	\x0E\x03\x02\x0A\x08シグルド\nSharp eye─this sword is indeed a treasured\nheirloom, passed down to me by my father.\x0E\x04\x00\x00
MID_GR_Yunaka_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ユナカ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06ユナカ\nI learned to survive from a guy I used to work\nfor. I had no say in it, but I guess I'm grateful.\x0E\x04\x00\x00
MID_GR_Yunaka_A_#002	\x0E\x03\x02\x0A\x08シグルド\nImportant lessons to learn, from the sound of it.\nDid you rise to the standard of your teacher?\x0E\x04\x00\x00
MID_GR_Yunaka_A_#003	\x0E\x03\x02\x08\x06ユナカ\nRose to and exceeded, just like he planned.\nHe was the closest I ever had to a father.\x0E\x04\x00\x00
MID_GR_Yunaka_A_#004	\x0E\x03\x02\x0A\x08シグルド\nI am sure he was proud of you in that moment,\nas any parent would be.\x0E\x04\x00\x00
