MID_TUT_CATEGORY_TITLE_Battle	Battle
MID_TUT_ENGAGE_PLUS_0	When \x0E\x06\x03\x00 is adjacent to an ally and\nhas a full engage meter, you can select Engage+\nto engage with them.
MID_TUT_ENGAGE_PLUS_1	Emblem \x0E\x06\x03\x00 engages with\nthe ally, and \x0E\x06\x03\x00 also enters\nan engaged state.
MID_TUT_ENGAGE_PLUS_2	While Emblem \x0E\x06\x03\x00 and the engaged\nally remain adjacent, Dragon Blast becomes the\neven more powerful Bond Blast.
MID_TUT_BMAP_SORTIE_TITLE	Preparing for Battle
MID_TUT_BMAP_SORTIE_0	Before you begin a battle you can manage\nyour items, Emblem Rings\x0E\x01\x09\x00, and the\nteam of allies who will join you.
MID_TUT_BMAP_SORTIE_1	Once your preparations are complete, select\nFight! to begin battle.
MID_TUT_BMAP_UNIT_SELECT_TITLE	Unit Selection
MID_TUT_BMAP_UNIT_SELECT_0	Use Unit Selection to choose which allies\nwill join you in combat. Press \x0E\x08\x02\x04\x02A to toggle\n\x0E\x08\x02\x16\x14IconSortie on and off.
MID_TUT_BMAP_UNIT_SELECT_1	Allies highlighted in green cannot be excluded.
MID_TUT_BMAP_UNIT_SELECT_2	Each map has a set number of allies\nwho can join the fray.
MID_TUT_BMAP_MAPVERIFICATION_TITLE	Swap Spaces
MID_TUT_BMAP_MAPVERIFICATION_0	Use Swap Spaces to switch allies' positions\nbefore starting the battle.
MID_TUT_BMAP_MAPVERIFICATION_1	Select the ally you want to move with \x0E\x08\x02\x04\x02A.
MID_TUT_BMAP_MAPVERIFICATION_2	Select another ally with \x0E\x08\x02\x04\x02A to swap their\npositions. Some allies cannot be moved.
MID_TUT_BMAP_MAPVERIFICATION_3	Use this time to check terrain information and\nenemy stats with the cursor.
MID_TUT_BMAP_HERALDICCHOICE_TITLE	Emblem Rings\x0E\x01\x09\x00
MID_TUT_BMAP_HERALDICCHOICE_0	Select Emblem Rings\x0E\x01\x09\x00 to partner your\nallies with Emblems. Once partnered, an\nally can sync with an Emblem in battle.
MID_TUT_BMAP_HERALDICCHOICE_1	To pair an ally and an Emblem, select an\nally followed by an Emblem Ring\x0E\x01\x08\x00.
MID_TUT_BMAP_GETTINGDRESSED_TITLE	Inventory
MID_TUT_BMAP_GETTINGDRESSED_0	Select Inventory to choose the weapons\nand items that you will use in battle.
MID_TUT_BMAP_GETTINGDRESSED_1	Organize your allies' equipment using\nManage Items. Units can trade items\nwith the convoy or other allies.
MID_TUT_BMAP_GETTINGDRESSED_2	To automatically outfit your allies from\nthe convoy, select Optimize Equipment.
MID_TUT_BMAP_GETTINGDRESSED_3	Quickly return a given ally's held items to the\nconvoy with Store All.
MID_TUT_BMAP_EQUIP_SKILL_TITLE	Managing Skills
MID_TUT_BMAP_EQUIP_SKILL_0	Select Manage Skills from the Inventory menu to\nsee your allies' skills and equip inherited ones.
MID_TUT_BMAP_EQUIP_SKILL_1	Allies can inherit skills from Emblems in the\nRing Chamber and the Arena on the Somniel.
MID_TUT_BMAP_CLASSCHANGE_TITLE	Class Change
MID_TUT_BMAP_CLASSCHANGE_0	Units level 10 and up can use a Master Seal\nto change to an advanced class.
MID_TUT_BMAP_CLASSCHANGE_1	Changing to an advanced class makes your\nunits more powerful by boosting stats and\ngranting access to new weapons and skills.
MID_TUT_BMAP_CLASSCHANGE_2	You can use a Second Seal to change to a\ndifferent type of class in the same tier.
MID_TUT_BMAP_CLASSCHANGE_3	You can change classes in the Inventory menu.
MID_TUT_BMAP_APTITUDE_TITLE	Proficiencies
MID_TUT_BMAP_APTITUDE_0	Proficiency (Prof.) is required to change a\nunit to a different class.
MID_TUT_BMAP_APTITUDE_1	All units start with innate proficiencies. Units\nhave the strongest potential in those areas.
MID_TUT_BMAP_APTITUDE_2	Units can acquire new proficiencies from\nEmblems. This allows them to change to\nany class.
MID_TUT_GMAP_BASIC_TITLE	World Map
MID_TUT_GMAP_BASIC_0	Use the world map to select a destination\nor move to the next chapter.
MID_TUT_GMAP_BASIC_1	To continue the story, move \x0E\x06\x03\x00\nto your next destination and press \x0E\x08\x02\x04\x02A.
MID_TUT_GMAP_BASIC_2	Manage your inventory or return\nto the Somniel using the menu.
MID_TUT_GMAP_SIDE_TITLE	Paralogues
MID_TUT_GMAP_SIDE_0	As you progress through the story, special\nchapters called paralogues will appear on\nthe world map.
MID_TUT_GMAP_SIDE_1	Paralogues are optional, but they unlock unique\nbenefits. You might even meet new allies!
MID_TUT_GMAP_ENCOUNT_TITLE	Skirmishes
MID_TUT_GMAP_ENCOUNT_0	Enemy soldiers or Corrupted foes sometimes\ngo back to areas that you have already cleared.
MID_TUT_GMAP_ENCOUNT_1	You can return to these locations for\noptional skirmishes.
MID_TUT_GMAP_ENCOUNT_2	Completing skirmishes can earn you experience\nand other rewards like gold and items.
MID_TUT_GMAP_RANKING_TITLE	Rankings
MID_TUT_GMAP_RANKING_0	While connected to the network, you can see\nwhich units and Emblems players commonly\ndeployed on a map.
MID_TUT_GMAP_RANKING_1	This knowledge may be useful as you consider\nwhich units to deploy.
MID_TUT_KR_KIZUNARESULT_TITLE	Exploration
MID_TUT_KR_KIZUNARESULT_0	After battle, you can explore the map freely\nand converse with your allies.
MID_TUT_KR_KIZUNARESULT_1	Keep an eye out for items on the ground.
MID_TUT_KR_KIZUNARESULT_2	To finish exploring, either move to the exit or\npress \x0E\x08\x02\x0A\x08Plus to open the menu and select Depart.
MID_TUT_KR_KIZUNAPIECE_TITLE	Bond Fragments
MID_TUT_KR_KIZUNAPIECE_0	Your allies may give you bond fragments\nif you have conversations while exploring.
MID_TUT_KR_KIZUNAPIECE_1	Use bond fragments on the Somniel to create\nBond Rings or train with Emblems.
MID_TUT_KR_KIZUNAPIECE_2	When you finish exploring, you will receive any\navailable bond fragments that you missed.
MID_TUT_HUB_BASIC_TITLE	The Somniel
MID_TUT_HUB_BASIC_0	The Somniel is your base. Use this area\nto prepare for the next battle and interact\nwith your allies.
MID_TUT_HUB_BASIC_1	Additional activities and areas of the Somniel\nwill unlock as you progress through the story.
MID_TUT_HUB_BASIC_2	Open the world map to continue your\nadventure. Access it from the menu or\nby using the exit in the plaza.
MID_TUT_HUB_CENTRALLOBBY_OPEN	Café Terrace is now open.
MID_TUT_HUB_CENTRALLOBBY_TITLE	Café Terrace
MID_TUT_HUB_CENTRALLOBBY_0	Café Terrace is a relaxing communal space\nwith access points to other facilities.
MID_TUT_HUB_CENTRALLOBBY_1	Use the music box to change the\nbackground music on the Somniel.
MID_TUT_HUB_CENTRALLOBBY_2	The bulletin board is full of useful information.\nYou can use it to invest in Elyos or check\non your achievements.
MID_TUT_HUB_INVESTMENT_TITLE	Donations
MID_TUT_HUB_INVESTMENT_0	If you support countries enough to raise their\ndonation levels, they will reward you with gifts.
MID_TUT_HUB_INVESTMENT_1	With a high donation level, a country will have\nmore rare monsters that you can earn bonus\ngold or experience for defeating.
MID_TUT_HUB_INVESTMENT_2	A high donation level also means you will find\nmore materials while exploring in that country,\namong other things.
MID_TUT_HUB_INFORMATION_TITLE	Somniel Map
MID_TUT_HUB_INFORMATION_0	Consult the Somniel map to view the status of\nits facilities and to see where your allies are.
MID_TUT_HUB_INFORMATION_1	You can select a location to fast travel there.
MID_TUT_HUB_ACHIEVEMENT_TITLE	Achievements
MID_TUT_HUB_ACHIEVEMENT_0	On the Achievements screen, you can claim\nbond fragment rewards for various deeds.
MID_TUT_HUB_ACHIEVEMENT_1	You will be notified when you complete an\nachievement. Remember to collect your\nwell-earned bond fragments!
MID_TUT_HUB_MYROOM_TITLE	My Room
MID_TUT_HUB_MYROOM_0	This is your room─the sacred place where\n\x0E\x06\x03\x00 slept for a thousand years.
MID_TUT_HUB_MYROOM_1	Select Rest to take a nap and\nadvance time on the Somniel.
MID_TUT_HUB_MYROOM_2	You may hear some interesting things while\nresting. Wear headphones for the best sound.
MID_TUT_HUB_MYROOM_3	Select Reminisce to view past support\nconversations and scenes again.
MID_TUT_HUB_MYROOM_4	You can lower the game's difficulty by selecting\nDifficulty Setting. You cannot raise the difficulty\nthis way, however.
MID_TUT_HUB_WEAPONSHOP_OPEN	The armory and item shop are open.
MID_TUT_HUB_WEAPONSHOP_TITLE	Armory
MID_TUT_HUB_WEAPONSHOP_0	Buy or sell weapons here.
MID_TUT_HUB_WEAPONSHOP_1	The armory's inventory will increase as the\nstory progresses and new goods arrive.
MID_TUT_HUB_ITEMSHOP_TITLE	Item Shop
MID_TUT_HUB_ITEMSHOP_0	Here you can buy or sell items used in battle\nlike vulneraries or staves.
MID_TUT_HUB_ITEMSHOP_1	As the story progresses, the shop will stock\nadditional items.
MID_TUT_HUB_HERALDICSPACE_OPEN	You can now enter the Ring Chamber.
MID_TUT_HUB_HERALDICSPACE_TITLE	Ring Chamber
MID_TUT_HUB_HERALDICSPACE_0	The Ring Chamber is a space to interact\nwith Emblems and their rings\x0E\x01\x0B\x00. You\ncan inherit skills from Emblems here.
MID_TUT_HUB_HERALDICSPACE_1	Using bond fragments, you can create Bond\nRings or combine and strengthen existing ones.
MID_TUT_HUB_HERALDICSPACE_2	You can also deepen bonds with Emblems\nby polishing the tarnish of combat off\ntheir rings\x0E\x01\x0B\x00.
MID_TUT_HUB_INHERITSKILL_TITLE	Inheriting Skills
MID_TUT_HUB_INHERITSKILL_0	Allies can acquire certain skills from\nEmblems using Inherit Skills.
MID_TUT_HUB_INHERITSKILL_1	Inheriting skills requires a certain bond level, as\nwell as skill points (SP). Earn SP by battling\nwith synced Emblems and equipping bond rings.
MID_TUT_HUB_INHERITSKILL_2	Equip inherited skills using the Inventory menu.
MID_TUT_HUB_INHERITSKILL_3	You can't benefit from the same skill twice, so\ntry to avoid overlapping.
MID_TUT_HUB_CREATE_RING_TITLE	Creating Bond Rings
MID_TUT_HUB_CREATE_RING_0	You can create Bond Rings\nusing bond fragments.
MID_TUT_HUB_CREATE_RING_1	Bond Rings increase stats and allow units to\nearn SP, though not to the same extent as\nEmblem Rings\x0E\x01\x09\x00 do.
MID_TUT_HUB_ENGWEAPON_REFINE_OPEN	You can now augment your Emblems' engage\nweapons in the Ring Chamber.
MID_TUT_HUB_ENGWEAPON_REFINE_TITLE	Engage Weapons
MID_TUT_HUB_ENGWEAPON_REFINE_0	You can use certain materials to augment your\nengage weapons. Crystals increase stats, while\nbanes add effectiveness against unit types.
MID_TUT_HUB_ENGWEAPON_REFINE_1	You can earn the materials to augment engage\nweapons in Tempest Trials or Relay Trials.
MID_TUT_HUB_ENGWEAPON_REFINE_2	Each engage weapon has an augmentation\ncapacity. You cannot augment a weapon\npast its capacity.
MID_TUT_HUB_ENGWEAPON_REFINE_3	You can strip away augmentations to try out\nnew effects, or increase an engage weapon's\ncapacity by raising the Emblem's bond level.
MID_TUT_HUB_MASCOT_OPEN	The air in the grotto is suffused with a\nmysterious aura.
MID_TUT_HUB_MASCOT_TITLE	\x0E\x06\x05\x00
MID_TUT_HUB_MASCOT_0	The enigmatic \x0E\x06\x05\x00 has watched\nover this land for untold ages.
MID_TUT_HUB_MASCOT_1	If you take good care of \x0E\x06\x05\x00,\nsomething wonderful might happen.
MID_TUT_HUB_MUSCLEEXERCISES_OPEN	Strength Training is now available!
MID_TUT_HUB_MUSCLEEXERCISES_TITLE	Strength Training
MID_TUT_HUB_MUSCLEEXERCISES_0	In Strength Training, you can choose from\nthree different exercises to get temporary\nboosts to \x0E\x06\x03\x00's stats.
MID_TUT_HUB_MUSCLEEXERCISES_1	Each exercise plays differently and affects a\ndifferent stat. Try for top scores in all of them!
MID_TUT_HUB_MUSCLEEXERCISES_2	You will unlock more difficulties for each\nexercise as you progress through the story.
MID_TUT_HUB_ME_PUSHUPS_TITLE	Push-Ups
MID_TUT_HUB_ME_PUSHUPS_0	Push-ups are about timing. Stop the bar at the\nperfect position right when it speeds up. It ends\nif you miss three times.
MID_TUT_HUB_ME_PUSHUPS_1	Do the specified number of push-ups to\ncomplete the activity. The bar will get faster\nover time, so stay focused!
MID_TUT_HUB_ME_PUSHUPS_2	Aim to get fit!
MID_TUT_HUB_ME_SITUP_TITLE	Sit-Ups
MID_TUT_HUB_ME_SITUP_0	Sit-ups are about button-mashing endurance.\nMash quickly to raise the bar to the top. It ends\nif it hits the bottom.
MID_TUT_HUB_ME_SITUP_1	Raising the bar will gradually get more difficult,\nbut doing it quickly will improve your rating.
MID_TUT_HUB_ME_SITUP_2	Aim to get fit!
MID_TUT_HUB_ME_SQUAT_TITLE	Squats
MID_TUT_HUB_ME_SQUAT_0	Squats are about rhythm. Follow the directions\nwith \x0E\x08\x02\x0E\x0CStickL and \x0E\x08\x02\x0E\x0CStickR. It ends after three mistakes.
MID_TUT_HUB_ME_SQUAT_1	Learning to tilt and rotate \x0E\x08\x02\x0E\x0CStickL and \x0E\x08\x02\x0E\x0CStickR in the right\nway will be key to success.
MID_TUT_HUB_ME_SQUAT_2	Aim to get fit!
MID_TUT_HUB_ARENA_OPEN	The doors to the Arena have opened.
MID_TUT_HUB_ARENA_TITLE	Arena
MID_TUT_HUB_ARENA_0	In the Arena, you can have allies train to earn\nexperience and raise bond levels.
MID_TUT_HUB_ARENA_1	In Standard Training, an ally you choose will\nspar with another ally. It costs nothing, but you\ncan only do it a few times between battles.
MID_TUT_HUB_ARENA_2	Emblem Training increases the bond between\nan ally and an Emblem. It costs bond fragments,\nbut you can do it as much as you like.
MID_TUT_HUB_ANIMAL_OPEN	You are now able to adopt animals.
MID_TUT_HUB_ANIMAL_TITLE	Animals
MID_TUT_HUB_ANIMAL_0	You can adopt the animals you encounter while\nexploring and bring them back to the Somniel.
MID_TUT_HUB_ANIMAL_1	After you adopt them, you can let your animals\ngraze in the farmyard. They may even drop\ngoods and ingredients that you can use.
MID_TUT_HUB_ANIMAL_2	If you donate to countries using the bulletin\nboard, you will be able to adopt more animals.
MID_TUT_HUB_AMIIBO_OPEN	The amiibo Gazebo is open.
MID_TUT_HUB_AMIIBO_TITLE	amiibo Gazebo
MID_TUT_HUB_AMIIBO_0	You can scan amiibo to earn items and rewards.
MID_TUT_HUB_AMIIBO_1	You will receive special rewards when you\nscan a Fire Emblem amiibo.
MID_TUT_HUB_DRILLINGSHOP_OPEN	The smithy and boutique are open.
MID_TUT_HUB_DRILLINGSHOP_TITLE	Smithy
MID_TUT_HUB_DRILLINGSHOP_0	Trade materials and gold to strengthen\nyour weapons at the smithy.
MID_TUT_HUB_DRILLINGSHOP_1	Improve or upgrade your weapons by\nrefining and engraving them.
MID_TUT_HUB_DRILLINGSHOP_2	Alter a weapon by engraving it with the power\nof an Emblem. Each Emblem can be applied to\none weapon at a time.
MID_TUT_HUB_DRILLINGSHOP_3	You can also exchange one type of refining\nmaterial for another.
MID_TUT_HUB_ACCESSORYSHOP_TITLE	Boutique
MID_TUT_HUB_ACCESSORYSHOP_0	Trade materials and gold for clothing and\naccessories to wear around the Somniel.
MID_TUT_HUB_ACCESSORYSHOP_1	Once made, most accessories can be worn\nby anyone.
MID_TUT_HUB_ACCESSORYSHOP_2	As the story progresses, more\nitems will become available.
MID_TUT_HUB_COOK_OPEN	Café Terrace is open for dining.
MID_TUT_HUB_COOK_TITLE	Dining
MID_TUT_HUB_COOK_0	Order meals to eat with your allies.
MID_TUT_HUB_COOK_1	If the meal is prepared well, your allies will\nreceive a stat boost in the next battle.
MID_TUT_HUB_COOK_2	Dine with your allies to earn support points.
MID_TUT_HUB_COOK_3	The chef may pack some leftovers for you. \nYou can take this meal into battle and use\nit as an item to recover HP.
MID_TUT_HUB_CAPERIDGE_OPEN	The Tower of Trials has been unlocked.
MID_TUT_HUB_CAPERIDGE_TITLE	Tower of Trials
MID_TUT_HUB_CAPERIDGE_0	Earn rewards by taking on special challenges\nat the Tower of Trials.
MID_TUT_HUB_CAPERIDGE_1	In Tempest Trials, the aim is to clear several\nmaps in a row. You can set the difficulty before\nyou start.
MID_TUT_HUB_CAPERIDGE_2	In Relay Trials, you will team up with players\nonline to take turns battling foes.
MID_TUT_HUB_CAPERIDGE_3	In Outrealm Trials, you can battle other players'\narmies online using maps of your own creation.
MID_TUT_HUB_FISHING_OPEN	You are now able to go fishing!
MID_TUT_HUB_FISHING_TITLE	Fishing
MID_TUT_HUB_FISHING_0	You can now fish in the pond. Press \x0E\x08\x02\x04\x02A\nto cast your line. Keep an eye out for the\nripples big fish make.
MID_TUT_HUB_FISHING_1	Press \x0E\x08\x02\x04\x02A when the fishing float drops\nto its lowest point to hook the fish.
MID_TUT_HUB_FISHING_2	If the fish struggles, tilt \x0E\x08\x02\x0E\x0CStickL opposite to its\nmovement. Reel the fish in, or it will escape!
MID_TUT_HUB_FISHING_3	Once you've reeled the fish in close, press \x0E\x08\x02\x04\x02A\nrepeatedly to reduce its endurance.
MID_TUT_HUB_FISHING_4	When its endurance falls to 0, you'll catch it.\nNew fishing rods can help you catch bigger fish.
MID_TUT_HUB_DRAGONRIDE_OPEN	You are now able to play Wyvern Ride!
MID_TUT_HUB_DRAGONRIDE_TITLE	Wyvern Ride
MID_TUT_HUB_DRAGONRIDE_0	In Wyvern Ride, you fly through a course\nwhile shooting floating targets.
MID_TUT_HUB_DRAGONRIDE_1	Try to hit the special targets and aim for a high\nscore! More courses will unlock as you progress\nin the story.
MID_TUT_HUB_FLEAMARKET_OPEN	The flea market is open.
MID_TUT_HUB_FLEAMARKET_TITLE	Flea Market
MID_TUT_HUB_FLEAMARKET_0	The flea market offers items you might not find\nin regular shops.
MID_TUT_HUB_FLEAMARKET_1	The selection changes, so check in regularly.
MID_TUT_HUB_FORTUNE_OPEN	The fortune-teller is open.
MID_TUT_HUB_FORTUNE_TITLE	Fortune-Teller
MID_TUT_HUB_FORTUNE_0	The fortune-teller, Seadall, uses cards\nto ply his trade.
MID_TUT_HUB_FORTUNE_1	He is only available in the evening,\nso visit once the sun goes down.
MID_TUT_HUB_PROFILE_OPEN	You can now access the Records Hall.
MID_TUT_HUB_CAPERIDGE_DETAIL_TITLE	Trial Battles
MID_TUT_HUB_CAPERIDGE_DETAIL_0	All items you use are restored at the end of a\ntrial. Your allies are also restored to their\npre-trial states.
MID_TUT_HUB_CAPERIDGE_DETAIL_1	You'll get some experience and other rewards\nfor battles you've cleared at the end of the trial.
MID_TUT_HUB_CAPERIDGE_DETAIL_2	Since the changes to your army aren't\npermanent, feel free to hold nothing back!
MID_TUT_CHALLENGE_TITLE	Tempest Trials
MID_TUT_CHALLENGE_0	The goal of a Tempest Trial is to clear several\nbattle maps in succession.
MID_TUT_CHALLENGE_1	For each battle you clear, you'll get materials\nand experience for the allies who took part.
MID_TUT_CHALLENGE_2	Select the trial's difficulty during map selection.\nHigher difficulties yield greater rewards.
MID_TUT_RELAY_TITLE	Relay Trials
MID_TUT_RELAY_0	The goal of a Relay Trial is to clear a map\nwhile taking turns with another player, like\na relay race.
MID_TUT_RELAY_1	Select New Battle to spend a ticket and start\na new Relay Trial.
MID_TUT_RELAY_2	Select Take Over to pick up where\nanother player left off.
MID_TUT_RELAY_3	You will get rewards if any player completes the\nbattle. Select View Results to see a replay of\nany trial you took part in.
MID_TUT_RELAY_ENTRY_PANEL_TITLE	Entryways
MID_TUT_RELAY_ENTRY_PANEL_0	Up to five allies can be deployed on an\nentryway and on the four surrounding tiles.
MID_TUT_RELAY_ENTRY_PANEL_1	Activate dormant entryways by commanding\nan ally to wait on them.
MID_TUT_RELAY_ENTRY_PANEL_2	Once an entryway is activated, any player\ntaking over the battle can use it to deploy.\nActivate as many as you can!
MID_TUT_RELAY_DATA_TAKEOVER_TITLE	Passing It On
MID_TUT_RELAY_DATA_TAKEOVER_0	After playing a predetermined number of turns,\nyou must pass control of a Relay Trial on.\nWho can take over your trial is up to you.
MID_TUT_RELAY_DATA_TAKEOVER_1	There are two ways trials can be taken over.\nPublic: Anyone can take over the trial.\nPrivate: Players must input an ID to take over.
MID_TUT_RELAY_DATA_TAKEOVER_2	Once someone takes over your trial, select\nView Results to see what happened next.
MID_TUT_RELAY_NEWDATA_TITLE	Starting a New Relay Trial
MID_TUT_RELAY_NEWDATA_0	Start a fresh trial to be the first to deploy\nunits to the field.
MID_TUT_RELAY_NEWDATA_1	Select a map from the available options.
MID_TUT_RELAY_NEWDATA_2	Preparations will begin once you choose a map.\nSelect Fight! to spend your relay ticket and\nbegin the trial.
MID_TUT_RELAY_TAKEOVER_TITLE	Taking Over
MID_TUT_RELAY_TAKEOVER_0	You can also resume another player's trial.\nThere are two ways to find a trial to take over.
MID_TUT_RELAY_TAKEOVER_1	Random: Take over a trial selected at random.
MID_TUT_RELAY_TAKEOVER_2	Enter ID: Enter a Takeover ID to take over\nthe trial of a specific player.
MID_TUT_RELAY_TAKEOVER_3	Once you have chosen a trial, select Fight!\nto begin.
MID_TUT_RELAY_FINISH_TITLE	Viewing Results
MID_TUT_RELAY_FINISH_0	Check the results of your Relay Trials and claim\nrewards if a trial is completed.
MID_TUT_RELAY_FINISH_1	You can see the battles of the other players in\nthe trial as well as your own. If a battle is still\nongoing, you can watch up to the present time.
MID_TUT_RELAY_FINISH_2	You will still receive rewards if you lose, but\nvictory brings better prizes.
MID_TUT_MATCH_TITLE	Outrealm Trials
MID_TUT_MATCH_0	In Outrealm Trials, you can challenge other\nplayers' armies on maps you select or design.
MID_TUT_MATCH_1	Select Quick Battle to pick a map you like and\nbegin the battle immediately.
MID_TUT_MATCH_2	Select Custom Battle to create and upload your\nown map. You can then connect this map to\nother players' maps and begin battle.
MID_TUT_MATCH_3	Both modes offer rewards at the end of battle.
MID_TUT_MATCH_EASY_TITLE	Quick Battle
MID_TUT_MATCH_EASY_0	Choose a map, send out a raiding party, and\nbattle another player's army. Select your\nopponent with Random, Friend, or Enter ID.
MID_TUT_MATCH_EASY_1	Random: Start a battle with another player's\narmy selected at random.
MID_TUT_MATCH_EASY_2	Friend: Attack a map that has been uploaded\nby one of your friends.
MID_TUT_MATCH_EASY_3	Enter ID: Battle a specific map for which you\nhave an ID.
MID_TUT_MATCH_SERIOUS_TITLE	Custom Battle
MID_TUT_MATCH_SERIOUS_0	Create and upload your own map, or connect\nyour map to another player's and attack.
MID_TUT_MATCH_SERIOUS_1	Select Edit Map to create your battlefield.
MID_TUT_MATCH_EDIT_ATTACK_TITLE	Taking Your Maps to Battle
MID_TUT_MATCH_EDIT_ATTACK_0	Your maps are ready for battle as soon as\nyou are finished making them.
MID_TUT_MATCH_EDIT_ATTACK_1	Select Start Battle to connect your map to one\nuploaded by another player. You will deploy\nyour raiding party, and the battle will begin.
MID_TUT_MATCH_EDIT_ATTACK_2	If your map comes under attack, you can select\nView Results to see the outcome and replay.
MID_TUT_MATCH_EDIT_ATTACK_3	Test how well you constructed your map\nwith the Mock Battle feature.
MID_TUT_MATCH_ATTACK_TITLE	Start Battle
MID_TUT_MATCH_ATTACK_0	Connect your map to one uploaded by another\nplayer. Send out a raiding party and begin\nthe battle.
MID_TUT_MATCH_ATTACK_1	Random: Battle on another player's map that is\nselected at random.
MID_TUT_MATCH_ATTACK_2	Friend: Choose a map from among those\nuploaded by your friends.
MID_TUT_MATCH_ATTACK_3	Enter ID: Battle a specific player's map by\nentering their ID.
MID_TUT_MATCH_EDIT_TITLE	Editing Maps
MID_TUT_MATCH_EDIT_0	As you create your own battle maps, consider\nhow the terrain you place will shape the flow\nof battle.
MID_TUT_MATCH_EDIT_1	Press \x0E\x08\x02\x04\x02X to open the terrain list. You can place\nterrain with \x0E\x08\x02\x04\x02A and cycle through it with \x0E\x08\x02\x04\x02L\x0E\x08\x02\x04\x02R.
MID_TUT_MATCH_EDIT_2	Consider the defensive strength of your map as\nwell. Foes will begin to advance on your map\nonce you've uploaded it. Good defense is key.
MID_TUT_MATCH_EDIT_3	Finally, to set your defense team, open the\nmenu with \x0E\x08\x02\x0A\x08Plus. You can also save your\nmap there.
MID_TUT_MATCH_EDIT_SAVE_TITLE	Setting Defense Teams
MID_TUT_MATCH_EDIT_SAVE_0	You can customize where the members of your\ndefense team are placed, as well as their\nsettings and equipment.
MID_TUT_MATCH_EDIT_SAVE_1	Change an ally's movement type by placing\nyour cursor on them and pressing \x0E\x08\x02\x04\x02A.
MID_TUT_MATCH_EDIT_SAVE_2	Units committed to your defense team cannot\nbe deployed in your raiding party, so consider\nyour assignments carefully.
MID_TUT_MATCH_EDIT_SAVE_3	When you have finished placing terrain and\nyour defense team, select Save Map.
MID_TUT_MATCH_EDIT_SAVE_4	Select Finish Editing when you are done.
MID_TUT_MATCH_REPLAY_TITLE	View Results
MID_TUT_MATCH_REPLAY_0	If a player launches an attack on a map you\nuploaded, your defense team will take action.
MID_TUT_MATCH_REPLAY_1	If one of these defensive battles occurs,\nyou can see how it went.
MID_TUT_MATCH_REPLAY_2	Observe how the battle unfolded by watching\na replay of combat.
MID_TUT_MATCH_REPLAY_3	You can receive rewards even in defeat,\nbut victory yields a greater prize.
MID_TUT_MATCH_MOCKCOMBAT_TITLE	Mock Battle
MID_TUT_MATCH_MOCKCOMBAT_0	Test the maps you have made to see how well\nthey hold up in battle.
MID_TUT_MATCH_MOCKCOMBAT_1	Send a raiding party to your own map to\ntest the mettle of your defenses.
MID_TUT_MATCH_MOCKCOMBAT_2	If you find something that needs improvement,\nmake adjustments with Edit Map.
MID_TUT_TIPS_Marth	Emblem Marth
MID_TUT_TIPS_Siglud	Emblem Sigurd
MID_TUT_TIPS_Celica	Emblem Celica
MID_TUT_TIPS_Micaiah	Emblem Micaiah
MID_TUT_TIPS_Roy	Emblem Roy
MID_TUT_TIPS_Lin	Emblem Lyn
MID_TUT_TIPS_Ike	Emblem Ike
MID_TUT_TIPS_Lucina	Emblem Lucina
MID_TUT_TIPS_Leaf	Emblem Leif
MID_TUT_TIPS_Kamui	Emblem Corrin
MID_TUT_TIPS_Eirik	Emblem Eirika
MID_TUT_TIPS_Ephraim	Emblem Ephraim
MID_TUT_TIPS_Byleth	Emblem Byleth
MID_TUT_TIPS_TUTORIAL	The Basics
MID_TUT_TIPS_ITEM	Items
MID_TUT_TIPS_WEAPON	Weapons
MID_TUT_TIPS_KIZUNA	Exploration
MID_TUT_TIPS_HUB	The Somniel
MID_TUT_TIPS_GMAP	World Map
MID_TUT_TIPS_ENCOUNTER	Skirmishes
MID_TUT_TIPS_UNIT_SKILL	 (\x0E\x01\x00\x00 Skill)
MID_TUT_TIPS_GOD_SKILL	 (\x0E\x01\x00\x00 Emblem Skill)
MID_TUT_TIPS_UNIT_ITEM	 (\x0E\x01\x00\x00 Unique Weapon)
MID_TUT_TIPS_GOD_ITEM	 (\x0E\x01\x00\x00 Engage Weapon)
MID_TIPS_TUTORIAL_1	Review tutorials in the System menu.
MID_TIPS_TUTORIAL_2	Turn combat animations on and off in the System menu.
MID_TIPS_TUTORIAL_3	Press \x0E\x08\x02\x06\x04ZL on the battle map to see the attack range of all enemies.
MID_TIPS_TUTORIAL_4	Move the cursor to a foe and press \x0E\x08\x02\x04\x02A\nto see their danger radius.
MID_TIPS_TUTORIAL_5	End the player phase at any time by selecting End Turn.
MID_TIPS_TUTORIAL_6	Press and hold \x0E\x08\x02\x04\x02Y during a conversation to fast forward.
MID_TIPS_TUTORIAL_7	At 100 experience points, an ally will level up\nand receive a stat increase.
MID_TIPS_TUTORIAL_8	Press \x0E\x08\x02\x04\x02X to see detailed information about items or skills.
MID_TIPS_TUTORIAL_9	Move the cursor over your units and press \x0E\x08\x02\x0C\nMinus\nto see more information about their abilities.
MID_TIPS_TUTORIAL_10	Hold \x0E\x08\x02\x06\x04ZR on the battle map to change the minimap display\nor the type of unit information that is shown.
MID_TIPS_TUTORIAL_50	Press \x0E\x08\x02\x06\x04ZR on the battle map to display additional unit information.
MID_TIPS_TUTORIAL_11	A unit's speed (Spd) will decrease if their weapon's\nweight (Wt) is higher than their build (Bld).
