MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08リュール\nHey, Claude. I've heard you're called the\n"Master Tactician." I'd love to get some pointers.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#003	\x0E\x03\x02\x0C\nシトリニカ\nI may have taken it a little too far... But I had no\nill intentions, I assure you.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#004	\x0E\x03\x02\x0A\x08クロード\nSo that's what it was... I had a classmate who\nloved food. I thought maybe you were the same.\x0E\x04\x00\x00
MID_GR_Ivy_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0A\x08アイビー\nAs the crown princess of Elusia, I must thank\nyou formally for your aid in this war.\x0E\x04\x00\x00
MID_GR_Ivy_C_#002	\x0E\x03\x02\x0C\nディミトリ\nNo need to stand on ceremony, although I know\nhow you feel. I struggle to relax as well.\x0E\x04\x00\x00
MID_GR_Ivy_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0C\nディミトリ\nI've noticed you staring at the Divine Dragon\nfrom afar. Is there some message I could relay?\x0E\x04\x00\x00
MID_GR_Ivy_B_#002	\x0E\x03\x02\x0A\x08アイビー\nHow sensitive and considerate of you to think\nso much about my private business.\x0E\x04\x00\x00
MID_GR_Ivy_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0C\nディミトリ\nI understand your feelings now, Princess Ivy.\nI apologize for being less than helpful.\x0E\x04\x00\x00
MID_GR_Ivy_A_#002	\x0E\x03\x02\x0C\nディミトリ\nMy academy friends have always been better\nwith this sort of thing than me.\x0E\x04\x00\x00
MID_GR_Ivy_A_#003	\x0E\x03\x02\x0A\x08アイビー\nI never asked for your assistance, but thank you\nfor the apology. And your understanding.\x0E\x04\x00\x00
MID_GR_Ivy_A_#004	\x0E\x03\x02\x0A\x08アイビー\nI will collect my thoughts and express them\nto the Divine Dragon as best I can on my own.\x0E\x04\x00\x00
MID_GR_Zelkova_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nMy work as a retainer is demanding and, at\ntimes, *unscrupulous.* Your aid is appreciated.\x0E\x04\x00\x00
MID_GR_Zelkova_C_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nThe way you said that just now reminds me\na little too much of my own retainer.\x0E\x04\x00\x00
MID_GR_Zelkova_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nI'm glad you work hard for Princess Ivy's sake,\nbut be sure to take care of yourself as well.\x0E\x04\x00\x00
MID_GR_Zelkova_B_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nMy duty *preoccupies* me. That is all the care\nI require.\x0E\x04\x00\x00
MID_GR_Zelkova_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nI relate to your sleeping troubles. I recall when\nmy teacher discovered that I had nightmares...\x0E\x04\x00\x00
MID_GR_Zelkova_A_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nThis *teacher* of yours was no doubt worried.\nIt must have been difficult to be so vulnerable.\x0E\x04\x00\x00
MID_GR_Zelkova_A_#003	\x0E\x03\x02\x10\x0Eエーデルガルト\nActually, talking it over dramatically lightened\nmy burdens. I hope you're able to do the same.\x0E\x04\x00\x00
MID_GR_Zelkova_A_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nThe concern is unnecessary but appreciated.\nYour gift for *empathy* is admirable.\x0E\x04\x00\x00
MID_GR_Kagetsu_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x08\x06カゲツ\nDimitri! From this day forward, I believe our\nbond will grow ever stronger.\x0E\x04\x00\x00
MID_GR_Kagetsu_C_#002	\x0E\x03\x02\x0C\nディミトリ\nYour enthusiasm is refreshing, Kagetsu. It's nice\nto hear my name spoken so informally as well.\x0E\x04\x00\x00
MID_GR_Kagetsu_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0C\nディミトリ\nI have a friend named Dedue. He is unfailingly\nloyal, but always keeps an emotional distance.\x0E\x04\x00\x00
MID_GR_Kagetsu_B_#002	\x0E\x03\x02\x08\x06カゲツ\nThat is sad to hear. Perhaps you should go out\nwith each other more to strengthen your bond.\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0C\nディミトリ\nMy position and my past make it difficult for\nme to befriend anyone. Even those I fully trust.\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#002	\x0E\x03\x02\x08\x06カゲツ\nBonds of friendship are easier to forge than you\nthink. If you wish for them, then you have them.\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#003	\x0E\x03\x02\x0C\nディミトリ\nPerhaps you're right. I do have a tendency\nto overthink things.\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#004	\x0E\x03\x02\x08\x06カゲツ\nAs your good friend, I will lend my ear to your\nthoughts whenever you wish. I am here for you!\x0E\x04\x00\x00
MID_GR_Hortensia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nYou're very charming, Claude, but I get the\nsense you're a bit of a schemer too.\x0E\x04\x00\x00
MID_GR_Hortensia_C_#002	\x0E\x03\x02\x0A\x08クロード\nWho, me? Come on. What kind of scheming\ncould I possibly get up to?\x0E\x04\x00\x00
MID_GR_Hortensia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nUgh... I don't feel well... Do you think someone\ncould take my shift on watch today?\x0E\x04\x00\x00
MID_GR_Hortensia_B_#002	\x0E\x03\x02\x0A\x08クロード\nI think you might be overdoing the waterworks\njust a bit.\x0E\x04\x00\x00
MID_GR_Hortensia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nYou used to do mock battles in your academy\ndays, huh? That sounds like lots of fun!\x0E\x04\x00\x00
MID_GR_Hortensia_A_#002	\x0E\x03\x02\x0A\x08クロード\nGood thing you weren't in my class. I'd rather\nstep down as leader than give you orders.\x0E\x04\x00\x00
MID_GR_Hortensia_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nHey! I know I don't look it, but I'm at the top of\nmy class. Maybe you're just a lousy leader. Hm!\x0E\x04\x00\x00
MID_GR_Hortensia_A_#004	\x0E\x03\x02\x0A\x08クロード\nWow, I take it back. You'd fit right in with some\nof the other Golden Deer. One in particular.\x0E\x04\x00\x00
MID_GR_Rosado_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0A\x08ロサード\nHey, Edelgard! How's my hair today? Perfectly\ncute as usual?\x0E\x04\x00\x00
MID_GR_Rosado_C_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nYes, Rosado. Lovely as always.\x0E\x04\x00\x00
MID_GR_Rosado_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0A\x08ロサード\nI'm hoping to go back to the academy after the\nwar's over. What are your plans, Edelgard?\x0E\x04\x00\x00
MID_GR_Rosado_B_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nOnly to walk a path of my own making, as I\nbelieve everyone should strive to do.\x0E\x04\x00\x00
MID_GR_Rosado_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0A\x08ロサード\nYou're so ambitious, Edelgard. My life goals\nprobably seem kind of silly to you, huh.\x0E\x04\x00\x00
MID_GR_Rosado_A_#002	\x0E\x03\x02\x0A\x08ロサード\nI never feel like you're looking down on me,\nthough. Why is that?\x0E\x04\x00\x00
MID_GR_Rosado_A_#003	\x0E\x03\x02\x10\x0Eエーデルガルト\nMy ambitions don't make me superior to you.\nWhat matters is that you're true to yourself.\x0E\x04\x00\x00
MID_GR_Rosado_A_#004	\x0E\x03\x02\x10\x0Eエーデルガルト\nThat's my perspective, anyway. I can think of at\nleast one person who wouldn't approve.\x0E\x04\x00\x00
MID_GR_Goldmary_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nI'm sorry if I'm an inconvenience to you, Claude.\nMy exceptional skill can be hard to plan around.\x0E\x04\x00\x00
MID_GR_Goldmary_C_#002	\x0E\x03\x02\x0A\x08クロード\nUh, OK. I'll keep that in mind. Y'know, you're\nnothing like the girl you first reminded me of.\x0E\x04\x00\x00
MID_GR_Goldmary_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nWould you like to hear about my village? It's\nhome to the finest hot springs in all Elusia.\x0E\x04\x00\x00
MID_GR_Goldmary_B_#002	\x0E\x03\x02\x0A\x08クロード\nSounds nice. My school had a sauna. I loved\nsitting in that place as long as I could stand it.\x0E\x04\x00\x00
MID_GR_Goldmary_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nTell me more about this sauna at your school.\nElusia's academy doesn't have anything like it.\x0E\x04\x00\x00
MID_GR_Goldmary_A_#002	\x0E\x03\x02\x0A\x08クロード\nIt was basically a steam room. You toss water\non some hot rocks, kick back, and relax.\x0E\x04\x00\x00
MID_GR_Goldmary_A_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nThat sounds lovely...though probably a little\nstifling if you stay in too long.\x0E\x04\x00\x00
MID_GR_Goldmary_A_#004	\x0E\x03\x02\x0A\x08クロード\nThe most refreshing part's actually right when\nyou get out. Feels like you're lighter than air.\x0E\x04\x00\x00
MID_GR_Misutira_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0C\nミスティラ\nClaude! Wanna hear my welcome song? Ahem!\n♪He's a Golden Deer! And now he's here...♪\x0E\x04\x00\x00
MID_GR_Misutira_C_#002	\x0E\x03\x02\x0A\x08クロード\nOh, wow. Is that what music sounds like here?\nI want my ears to know what they're in for.\x0E\x04\x00\x00
MID_GR_Misutira_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nLooking stylish as always, Princess Timerra.\nHow would you describe your fashion sense?\x0E\x04\x00\x00
MID_GR_Misutira_B_#002	\x0E\x03\x02\x0C\nミスティラ\nHahaha, I just pick clothes that are easy to\nmove around in. Glad you like 'em, though!\x0E\x04\x00\x00
MID_GR_Misutira_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nPrincess Timerra, sometimes you remind me of\na particular friend from the Academy.\x0E\x04\x00\x00
MID_GR_Misutira_A_#002	\x0E\x03\x02\x0A\x08クロード\nA girl who sang, um...creative songs. It went\nlike, uh... ♪Creeeepity creep, creepity creep!♪\x0E\x04\x00\x00
MID_GR_Misutira_A_#003	\x0E\x03\x02\x0C\nミスティラ\nWhat is that? Could it be for, like, when you're\nwaiting for meat to finish grilling?\x0E\x04\x00\x00
MID_GR_Misutira_A_#004	\x0E\x03\x02\x0C\nミスティラ\nAnyway, it's my new favorite song, and you\naren't leaving here until you sing me the rest!\x0E\x04\x00\x00
MID_GR_Merin_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x08\x06メリン\nSir Dimitri, would you honor me by joining me\nfor training? Please, hold nothing back!\x0E\x04\x00\x00
MID_GR_Merin_C_#002	\x0E\x03\x02\x0C\nディミトリ\nOf course. Let us become stronger together.\x0E\x04\x00\x00
MID_GR_Merin_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x08\x06メリン\nThe wolves would not balk to die for their pack.\nI, too, would lay down my life for my princess.\x0E\x04\x00\x00
MID_GR_Merin_B_#002	\x0E\x03\x02\x0C\nディミトリ\nYou need to stop thinking of dying as a virtue,\nMerrin. I mean it.\x0E\x04\x00\x00
MID_GR_Merin_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x08\x06メリン\nI must apologize for earlier. It was careless to \nsay something that implied death was a virtue.\x0E\x04\x00\x00
MID_GR_Merin_A_#002	\x0E\x03\x02\x0C\nディミトリ\nNo, I'm the one who should apologize. I got\nemotional that day.\x0E\x04\x00\x00
MID_GR_Merin_A_#003	\x0E\x03\x02\x08\x06メリン\nAs a knight, I wish to continue to live and serve,\njust as my beloved critters also strive to live.\x0E\x04\x00\x00
MID_GR_Merin_A_#004	\x0E\x03\x02\x0C\nディミトリ\nI see. I am relieved to hear it.\x0E\x04\x00\x00
MID_GR_Panetone_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0A\x08パネトネ\nWhat lovely weather today! Perfect for a\nbare-knuckle brawl...ah, civilized duel.\x0E\x04\x00\x00
MID_GR_Panetone_C_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nI don't know about any of that, but the weather\nis indeed auspicious.\x0E\x04\x00\x00
MID_GR_Panetone_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nYou come from a common background, correct?\nIs it difficult for you, living among nobility?\x0E\x04\x00\x00
MID_GR_Panetone_B_#002	\x0E\x03\x02\x0A\x08パネトネ\nIt was at first. Grilling meat outside, camping for\ndays at a time...'twas all very new to me.\x0E\x04\x00\x00
MID_GR_Panetone_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0A\x08パネトネ\nYou are amazing. A flower that bloomed in the\nproper soil. Me, I hated my home and ran away.\x0E\x04\x00\x00
MID_GR_Panetone_A_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nI am more like a poison flower, trying to grow\neven if I make everything around me wither.\x0E\x04\x00\x00
MID_GR_Panetone_A_#003	\x0E\x03\x02\x10\x0Eエーデルガルト\nI am not the kind of person you should be\nlooking up to.\x0E\x04\x00\x00
MID_GR_Panetone_A_#004	\x0E\x03\x02\x0A\x08パネトネ\nIs that not just as grand? I myself love\npoisonous flowers more than normal ones!\x0E\x04\x00\x00
MID_GR_Fogato_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nHey there, I'm Claude. You seem like a guy who\nknows how to throw a party.\x0E\x04\x00\x00
MID_GR_Fogato_C_#002	\x0E\x03\x02\x0C\nフォガート\nYou got that right. Glad to meet you, Claude.\nI think we'll get along famously.\x0E\x04\x00\x00
MID_GR_Fogato_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0C\nフォガート\nYou're a riot, Claude. You must have had lots\nof friends at that school you went to.\x0E\x04\x00\x00
MID_GR_Fogato_B_#002	\x0E\x03\x02\x0A\x08クロード\nSure, tons. But there were just as many people\nwho hated my guts.\x0E\x04\x00\x00
MID_GR_Fogato_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0C\nフォガート\nWhen the fighting is done, I want to travel.\nI guess that's not very princely of me.\x0E\x04\x00\x00
MID_GR_Fogato_A_#002	\x0E\x03\x02\x0A\x08クロード\nNah, It's good to spend time with people in the\nreal world. It'll come in handy when you're king.\x0E\x04\x00\x00
MID_GR_Fogato_A_#003	\x0E\x03\x02\x0C\nフォガート\nYeah, but I won't be king. I guess I can share\nwhat I learn with my sister, though.\x0E\x04\x00\x00
MID_GR_Fogato_A_#004	\x0E\x03\x02\x0A\x08クロード\nDefinitely. And that knowledge will still be\nuseful, no matter what role you have.\x0E\x04\x00\x00
MID_GR_Pandoro_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0C\nディミトリ\nI happened to be present at your service earlier\nand it was... How do I put this? Loud.\x0E\x04\x00\x00
MID_GR_Pandoro_C_#002	\x0E\x03\x02\x0A\x08パンドロ\nGlad you could make it! Feel free to drop by\nwhenever. And howl along with us! AR-AROO!\x0E\x04\x00\x00
MID_GR_Pandoro_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0C\nディミトリ\nThe Officers Academy was established inside a\nmonastery. It attracted all sorts of seekers.\x0E\x04\x00\x00
MID_GR_Pandoro_B_#002	\x0E\x03\x02\x0A\x08パンドロ\nSo you could go and pray between classes?\nSounds like my kinda school!\x0E\x04\x00\x00
MID_GR_Pandoro_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0A\x08パンドロ\nYou know, at first, you seemed pretty strict.\nI thought you'd judge me for being...well, me.\x0E\x04\x00\x00
MID_GR_Pandoro_A_#002	\x0E\x03\x02\x0C\nディミトリ\nI wouldn't judge you. I know you're a hard and\nearnest worker.\x0E\x04\x00\x00
MID_GR_Pandoro_A_#003	\x0E\x03\x02\x0C\nディミトリ\nYour methods may be unorthodox, but you're\nstill helping people. I think it's wonderful.\x0E\x04\x00\x00
MID_GR_Pandoro_A_#004	\x0E\x03\x02\x0A\x08パンドロ\nI appreciate that. You should tell me more about\nyour world so I can pray for it too.\x0E\x04\x00\x00
MID_GR_Bonet_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nWatching you cook is always a delight. Maybe\nI'd be a better chef if I could use my axe for it...\x0E\x04\x00\x00
MID_GR_Bonet_C_#002	\x0E\x03\x02\x06\x04ボネ\nCooking using weapons... That would create a\nwhole new experience. I think it's worth a try.\x0E\x04\x00\x00
MID_GR_Bonet_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x06\x04ボネ\nIt's important to keep in mind that an army's\nfood directly translates to its morale.\x0E\x04\x00\x00
MID_GR_Bonet_B_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nIndeed. I wish I was a better cook. I feel like\nsomeone else told me the same thing...\x0E\x04\x00\x00
MID_GR_Bonet_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nDimitri and Claude and I can't really cook. We'd\nlove it if you could teach us a few things.\x0E\x04\x00\x00
MID_GR_Bonet_A_#002	\x0E\x03\x02\x06\x04ボネ\nFollowing a recipe should teach you the basics.\nI tend to just ramble on about the types of food.\x0E\x04\x00\x00
MID_GR_Bonet_A_#003	\x0E\x03\x02\x10\x0Eエーデルガルト\nThe problem is, recipes don't help much. The\ningredients go flying, the dish turns black...\x0E\x04\x00\x00
MID_GR_Bonet_A_#004	\x0E\x03\x02\x06\x04ボネ\nA blackened dish with flying ingredients?\nPlease, tell me more!\x0E\x04\x00\x00
MID_GR_Anna_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x08\x06アンナ\nSomething wrong, Dimitri? You seem like you\nwant to say something.\x0E\x04\x00\x00
MID_GR_Anna_C_#002	\x0E\x03\x02\x0C\nディミトリ\nOh, sorry. You look so much like someone I\nknow. It is a shock every time I look your way.\x0E\x04\x00\x00
MID_GR_Anna_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x08\x06アンナ\nIt seems like you're fast and efficient at any job.\nIf you minded my store, I bet I'd make a killing!\x0E\x04\x00\x00
MID_GR_Anna_B_#002	\x0E\x03\x02\x0C\nディミトリ\nEspecially since I don't need to be paid. Even\nthat mercantile spirit is identical to her...\x0E\x04\x00\x00
MID_GR_Anna_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x08\x06アンナ\nWhen this fighting's all over, I wonder if I could\nget your bracelet for myself.\x0E\x04\x00\x00
MID_GR_Anna_A_#002	\x0E\x03\x02\x0C\nディミトリ\nI think that is for the Divine Dragon to decide,\nbut... Why do you want it?\x0E\x04\x00\x00
MID_GR_Anna_A_#003	\x0E\x03\x02\x08\x06アンナ\nThen you could mind the shop counter again.\nAlso, it'd be a great nest egg for a rainy day.\x0E\x04\x00\x00
MID_GR_Anna_A_#004	\x0E\x03\x02\x0C\nディミトリ\nA nest egg for a rainy day... Wait! You would\nnever consider selling it, would you?!\x0E\x04\x00\x00
MID_GR_Jean_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x08\x06ジャン\nYou seem to study my treatments carefully.\nAre you interested in medicine?\x0E\x04\x00\x00
MID_GR_Jean_C_#002	\x0E\x03\x02\x0A\x08クロード\nOf course. When it comes to life and death, the\nmore you know, the more helpful you can be.\x0E\x04\x00\x00
MID_GR_Jean_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nYou were up late again last night. If you don't\nsleep properly, you'll never grow tall, you know.\x0E\x04\x00\x00
MID_GR_Jean_B_#002	\x0E\x03\x02\x08\x06ジャン\nI may be small in stature now, but I bet I'll\nbe taller than you one day. You'll see.\x0E\x04\x00\x00
MID_GR_Jean_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nI heard a rumor that a ghost was sighted in the\nroom where you were studying.\x0E\x04\x00\x00
MID_GR_Jean_A_#002	\x0E\x03\x02\x08\x06ジャン\nI don't believe in ghosts, but if there is one, it's\nprobably holding on to some lingering regret.\x0E\x04\x00\x00
MID_GR_Jean_A_#003	\x0E\x03\x02\x08\x06ジャン\nIn order to make sure that more ghosts don't\nappear, I have to save as many as I can.\x0E\x04\x00\x00
MID_GR_Jean_A_#004	\x0E\x03\x02\x0A\x08クロード\nTruly a doctor in training. If I mentioned ghosts\nto a classmate of mine, she'd hide in her bed.\x0E\x04\x00\x00
MID_GR_Yunaka_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ユナカ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nYour impersonations are brilliant. You really\ncapture all the little details in a person's voice.\x0E\x04\x00\x00
MID_GR_Yunaka_C_#002	\x0E\x03\x02\x08\x06ユナカ\nThanks for noticing! I do take requests, by the\nway, if you want to hear anyone in particular.\x0E\x04\x00\x00
MID_GR_Yunaka_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ユナカ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nYou are incredibly observant. That must be why\nimpersonating others comes so easily for you.\x0E\x04\x00\x00
MID_GR_Yunaka_B_#002	\x0E\x03\x02\x08\x06ユナカ\nHehe! Oh, stop! You're gonna make me blush.\nTakes one to notice one, though, doesn't it?\x0E\x04\x00\x00
MID_GR_Yunaka_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ユナカ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nYou remind me of a classmate. She was also\nvery observant and incredibly talented.\x0E\x04\x00\x00
MID_GR_Yunaka_A_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nShe was gifted in battle, but equally so as a\nsongstress in the opera. A remarkable person.\x0E\x04\x00\x00
MID_GR_Yunaka_A_#003	\x0E\x03\x02\x08\x06ユナカ\nI really remind you of someone like that, huh?\nThanks, Edelgard. That's really encouraging.\x0E\x04\x00\x00
MID_GR_Yunaka_A_#004	\x0E\x03\x02\x08\x06ユナカ\nIf I'm gonna live up to that kind of praise, I'd\nbetter work even harder to put my skills to use!\x0E\x04\x00\x00
MID_GR_Seadas_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0A\x08セアダス\nThe Blue Lion card... This one rarely appears.\nEmblem Dimitri, we should get along nicely.\x0E\x04\x00\x00
MID_GR_Seadas_C_#002	\x0E\x03\x02\x0C\nディミトリ\nOh, fortune-telling? What else do the cards have\nto say?\x0E\x04\x00\x00
