MSID_Hp_5	HP +5
MSID_H_SpeedAbsorption	Grants a stacking Spd+2 each time\nunit initiates combat and defeats a\nfoe. Bonus lasts for the rest of the\nbattle. (Max +10)
MSID_LinEngage	Call Doubles
MSID_H_LinEngage	Creates four illusory doubles that\ncan make chain attacks with unit.
MSID_H_LinEngage_Dragon	Creates four illusory doubles that\ncan make chain attacks with unit.\n[Dragon] +1 double created.
MSID_H_LinEngage_Fly	Creates four illusory doubles that\ncan make chain attacks with unit.\n[Flying] Doubles have +10 Avo
MSID_H_LinEngage_CMD	Call chain-attacking doubles.
MSID_LinEngage_Delete_CMD	Dispel Doubles
MSID_H_LinEngage_Delete_CMD	Dispels created doubles.
MSID_LinEngageAtk	Astra Storm
MSID_H_LinEngageAtk	Use to launch 5 bow attacks at 30%\ndamage, up to range 10.
MSID_H_LinEngageAtk_Dragon	Use to launch 5 bow attacks at 30%\ndamage, up to range 10.\n[Dragon] Range +5.
MSID_H_LinEngageAtk_Covert	Use to launch 5 bow attacks at 30%\ndamage, up to range 10.\n[Covert] Range +10.
MSID_H_LinEngageAtk_Prana	Use to launch 5 bow attacks at 30%\ndamage, up to range 10.\n[Qi Adept] Breaks the target.
MSID_H_LinEngageAtk_CMD	Fire bow at extreme range.
MSID_H_LinEngageAtk_Weak	Use to launch 5 bow attacks at 20%\ndamage, up to range 10.
MSID_H_LinEngageAtk_DarkSide_Prana	Use to launch 5 bow attacks at 20%\ndamage, up to range 10.\n[Qi Adept] Breaks the target.
MSID_Ravage	Demolish
MSID_H_Ravage	Break destructible terrain in a single\nblow when using Destroy.
MSID_PullBack	Reposition
MSID_H_PullBack	Use to move an adjacent ally to the\nopposite side of unit.
MSID_H_PullBack_CMD	Move ally to opposite side.
MSID_Anger	Wrath
MSID_H_Anger	At start of combat, for each HP the\nunit has lost, grants Crit+1 during\ncombat. (Max +30)
MSID_BraveGeneral_1	Resolve
MSID_H_BraveGeneral_1	If unit's HP is 75% or less after\ncombat, grants Def/Res+5 as long\nas unit's HP stays below 75%.
MSID_BraveGeneral_2	Resolve+
MSID_H_BraveGeneral_2	If unit's HP is 75% or less after\ncombat, grants Def/Res+7 as long\nas unit's HP stays below 75%.
MSID_IkeEngage	Laguz Friend
MSID_H_IkeEngage	Unit takes 50% less damage, but\nsets unit's Avo to 0.
MSID_H_IkeEngage_Dragon	Unit takes 50% less damage, but\nsets unit's Avo to 0.\n[Dragon] Extra -10% to damage.
MSID_IkeEngageAtk	Great Aether
MSID_H_IkeEngageAtk	Use to grant Def/Res+5, but unit\ncan't counter for 1 turn. Next turn,\nattack a 2-space area, heal HP=30%\nof damage dealt. Sword/axe only.
MSID_H_IkeEngageAtk_Dragon	Use to grant Def/Res+5, but unit\ncan't counter for 1 turn. Next turn,\nattack a 2-space area, heal HP=30%\nof damage dealt. Sword/axe only.\n[Dragon] +1 damage per hit taken.
MSID_H_IkeEngageAtk_Heavy	Use to grant Def/Res+5, but unit\ncan't counter for 1 turn. Next turn,\nattack a 2-space area, heal HP=30%\nof damage dealt. Sword/axe only.\n[Armored] Grants an extra Def+5.
MSID_H_IkeEngageAtk_Fly	Use to grant Def/Res+5, but unit\ncan't counter for 1 turn. Next turn,\nattack a 2-space area, heal HP=30%\nof damage dealt. Sword/axe only.\n[Flying] Grants an extra Res+5.
MSID_H_IkeEngageAtk_CMD	Endure to hit area next turn.
MSID_HeavenBeat_1	Divine Pulse
MSID_H_HeavenBeat_1	May turn a missed attack into a hit.\nTrigger %=30. Chance increases\nwith high Lck.
MSID_HeavenBeat_2	Divine Pulse+
MSID_H_HeavenBeat_2	May turn a missed attack into a hit.\nTrigger %=50. Chance increases\nwith high Lck.
MSID_TeacherGuidance	Mentorship
MSID_H_TeacherGuidance	Grants 1.2× EXP modifier to unit and\nadjacent allies.
MSID_PickUp	Lost & Found
MSID_H_PickUp	If unit finishes an action or waits\nnext to an ally, may find an item and\nincrease support with that ally.\nTrigger %=Lck.
MSID_PickUp_Message	Found \x0E\x01\x00\x00's lost item and\nreturned it.
MSID_BylethEngage	Instruct
MSID_H_BylethEngage	Use to grant allies within 2 spaces\na stat bonus based on user's type.\nBonus lasts for 1 turn.
MSID_H_BylethEngage_Dragon	Use to grant allies within 2 spaces\na stat bonus based on user's type.\nBonus lasts for 1 turn.\n[Dragon] All seven basic stats +3.
MSID_BylethEngage_Dragon_CMD	Instruct (All)
MSID_H_BylethEngage_Dragon_CMD	+3 to all stats of nearby allies.
MSID_H_BylethEngage_Coop	Use to grant allies within 2 spaces\na stat bonus based on user's type.\nBonus lasts for 1 turn.\n[Backup] Str+4.
MSID_BylethEngage_Coop_CMD	Instruct (Str)
MSID_H_BylethEngage_Coop_CMD	Grant Str+4 to nearby allies.
MSID_H_BylethEngage_Horse	Use to grant allies within 2 spaces\na stat bonus based on user's type.\nBonus lasts for 1 turn.\n[Cavalry] Dex+10.
MSID_BylethEngage_Horse_CMD	Instruct (Dex)
MSID_H_BylethEngage_Horse_CMD	Grant Dex+10 to nearby allies.
MSID_H_BylethEngage_Covert	Use to grant allies within 2 spaces\na stat bonus based on user's type.\nBonus lasts for 1 turn.\n[Covert] Spd+5.
MSID_BylethEngage_Covert_CMD	Instruct (Spd)
MSID_H_BylethEngage_Covert_CMD	Grant Spd+5 to nearby allies.
MSID_H_BylethEngage_Heavy	Use to grant allies within 2 spaces\na stat bonus based on user's type.\nBonus lasts for 1 turn.\n[Armored] Def+5.
MSID_BylethEngage_Heavy_CMD	Instruct (Def)
MSID_H_BylethEngage_Heavy_CMD	Grant Def+5 to nearby allies.
MSID_H_BylethEngage_Fly	Use to grant allies within 2 spaces\na stat bonus based on user's type.\nBonus lasts for 1 turn.\n[Flying] Res+5.
MSID_BylethEngage_Fly_CMD	Instruct (Res)
MSID_H_BylethEngage_Fly_CMD	Grant Res+5 to nearby allies.
MSID_H_BylethEngage_Magic	Use to grant allies within 2 spaces\na stat bonus based on user's type.\nBonus lasts for 1 turn.\n[Mystical] Mag+4.
MSID_BylethEngage_Magic_CMD	Instruct (Mag)
MSID_H_BylethEngage_Magic_CMD	Grant Mag+4 to nearby allies.
MSID_H_BylethEngage_Prana	Use to grant allies within 2 spaces\na stat bonus based on user's type.\nBonus lasts for 1 turn.\n[Qi Adept] Lck+10.
MSID_BylethEngage_Prana_CMD	Instruct (Lck)
MSID_H_BylethEngage_Prana_CMD	Grant Lck+10 to nearby allies.
MSID_BylethEngageAtk	Goddess Dance
MSID_H_BylethEngageAtk	Use to grant another action to\nall adjacent allies.
MSID_H_BylethEngageAtk_Dragon	Use to grant another action to\nall adjacent allies.\n[Dragon] Grants +3 to all targets'\nbasic stats for 1 turn.
MSID_H_BylethEngageAtk_Coop	Use to grant another action to\nall adjacent allies.\n[Backup] Grants Str+4 to targets\nfor 1 turn.
MSID_H_BylethEngageAtk_Horse	Use to grant another action to\nall adjacent allies.\n[Cavalry] Grants Dex+10 to targets\nfor 1 turn.
MSID_H_BylethEngageAtk_Covert	Use to grant another action to\nall adjacent allies.\n[Covert] Grants Spd+5 to targets\nfor 1 turn.
MSID_H_BylethEngageAtk_Heavy	Use to grant another action to\nall adjacent allies.\n[Armored] Grants Def+5 to targets\nfor 1 turn.
MSID_H_BylethEngageAtk_Fly	Use to grant another action to\nall adjacent allies.\n[Flying] Grants Res+5 to targets\nfor 1 turn.
MSID_H_BylethEngageAtk_Magic	Use to grant another action to\nall adjacent allies.\n[Mystical] Grants Mag+4 to targets\nfor 1 turn.
MSID_H_BylethEngageAtk_Prana	Use to grant another action to\nall adjacent allies.\n[Qi Adept] Grants Lck+10 to\ntargets for 1 turn.
MSID_H_BylethEngageAtk_CMD	Let adjacent allies act again.
MSID_M014_BylethEngageAtk_DarkSide	Diabolical Dance
MSID_H_M014_BylethEngageAtk_DarkSide	Use to grant another action to allies\nwithin 2 spaces.
MSID_DragonPulse	Dragon Vein
MSID_H_DragonPulse	Use to add a special effect to\ncertain spaces.
MSID_H_DragonPulse_CMD	Add an effect to an area.
MSID_H_DragonPulse_Dragon	Use to add a special effect to\ncertain spaces.\n[Dragon] Choose any Vein effect.
MSID_DragonPulse_DefUp	Vein of Stone
MSID_H_DragonPulse_DefUp	Creates stone pillars that\nincrease Def/Res.
MSID_H_DragonPulse_Coop	Use to add a special effect to\ncertain spaces.\n[Backup] Creates stone pillars that\nincrease Def/Res.
MSID_DragonPulse_AvoDown	Vein of Water
MSID_H_DragonPulse_AvoDown	Creates water that\ndecreases Avo.
MSID_H_DragonPulse_Horse	Use to add a special effect to\ncertain spaces.\n[Cavalry] Creates water that\ndecreases Avo.
MSID_DragonPulse_AvoUp	Vein of Fog
MSID_H_DragonPulse_AvoUp	Creates fog that increases Avo.
MSID_H_DragonPulse_Covert	Use to add a special effect to\ncertain spaces.\n[Covert] Creates fog that\nincreases Avo.
MSID_DragonPulse_NotBreak	Vein of Vines
MSID_H_DragonPulse_NotBreak	Creates vines that grant\nimmunity to break.
MSID_H_DragonPulse_Heavy	Use to add a special effect to\ncertain spaces.\n[Armored] Creates vines that grant\nimmunity to break.
MSID_DragonPulse_Heal	Vein of Succor
MSID_H_DragonPulse_Heal	Creates healing glow that\nrestores HP.
MSID_H_DragonPulse_Fly	Use to add a special effect to\ncertain spaces.\n[Flying] Creates healing glow that\nrestores HP.
MSID_DragonPulse_Damage	Vein of Flame
MSID_H_DragonPulse_Damage	Creates flames that\ninflict damage.
MSID_H_DragonPulse_Magic	Use to add a special effect to\ncertain spaces.\n[Mystical] Creates flames that\ninflict damage.
MSID_DragonPulse_Block	Vein of Ice
MSID_H_DragonPulse_Block	Creates ice pillars that hinder\nmovement.
MSID_H_DragonPulse_Prana	Use to add a special effect to\ncertain spaces.\n[Qi Adept] Creates ice pillars that\nhinder movement.
MSID_DragonCurse	Draconic Hex
MSID_H_DragonCurse	If unit initiates combat, inflicts -4 to\nall of foe's basic stats after combat.\n(Penalties shrink by 1 each turn.)
MSID_DefenseStyle	Pair Up
MSID_H_DefenseStyle	Prevents damage from foes' chain\nattacks against unit.
MSID_PhysicalContact_1	Quality Time
MSID_H_PhysicalContact_1	After unit acts or waits, restores\n5 HP to adjacent allies and slightly\nincreases support with them.
MSID_PhysicalContact_2	Quality Time+
MSID_H_PhysicalContact_2	After unit acts or waits, restores\n10 HP to adjacent allies and slightly\nincreases support with them.
MSID_KamuiEngage	Dreadful Aura
MSID_H_KamuiEngage	If unit initiates combat, target foe\nand all foes within 1 space of it\ncannot move for 1 turn after combat.
MSID_H_KamuiEngage_Covert	If unit initiates combat, target foe\nand all foes within 1 space of it\ncannot move for 1 turn after combat.\n[Covert] Also Avo-20 on target.
MSID_KamuiEngageAtk	Torrential Roar
MSID_H_KamuiEngageAtk	Use to attack 3 spaces in a line,\nturning those spaces into water\nterrain.
MSID_H_KamuiEngageAtk_Dragon	Use to attack 3 spaces in a line,\nturning those spaces into water\nterrain.\n[Dragon] Range +1.
MSID_H_KamuiEngageAtk_CMD	Attack and flood an area.
MSID_God_Change_CMD	Night and Day
MSID_H_God_Change	Use to switch Emblems and swap\nbetween Lunar Brace/Gentility and\nSolar Brace/Bravery for all allies.
MSID_H_God_Change_CMD	Switch between Emblems.
MSID_MoonBracelet_1	Lunar Brace
MSID_H_MoonBracelet_1	If unit initiates combat with a\nphysical attack, deals extra\ndamage=20% of foe's Def.
MSID_MoonBracelet_2	Lunar Brace+
MSID_H_MoonBracelet_2	If unit initiates combat with a\nphysical attack, deals extra\ndamage=30% of foe's Def.
MSID_SunBracelet_1	Solar Brace
MSID_H_SunBracelet_1	If unit initiates combat, unit recovers\nHP=30% of damage dealt.
MSID_SunBracelet_2	Solar Brace+
MSID_H_SunBracelet_2	If unit initiates combat, unit recovers\nHP=50% of damage dealt.
MSID_SunMoonBracelet_1	Eclipse Brace
MSID_H_SunMoonBracelet_1	If unit initiates combat, unit deals\nextra damage=20% of foe's Def\nwith physical attacks and recovers\nHP=30% of damage dealt.
MSID_SunMoonBracelet_2	Eclipse Brace+
MSID_H_SunMoonBracelet_2	If unit initiates combat, unit deals\nextra damage=30% of foe's Def\nwith physical attacks and recovers\nHP=50% of damage dealt.
MSID_GentleWind_1	Gentility
MSID_H_GentleWind_1	Unit takes 3 less damage.
MSID_GentleWind_2	Gentility+
MSID_H_GentleWind_2	Unit takes 5 less damage.
MSID_BraveSky_1	Bravery
MSID_H_BraveSky_1	Unit deals +3 damage.
MSID_BraveSky_2	Bravery+
MSID_H_BraveSky_2	Unit deals +5 damage.
MSID_Azure_1	Blue Skies
MSID_H_Azure_1	Unit takes 3 less damage and deals\n+3 damage.
MSID_Azure_2	Blue Skies+
MSID_H_Azure_2	Unit takes 5 less damage and deals\n+5 damage.
MSID_EirikEngage	Sacred Twins
MSID_H_EirikEngage	While engaged with Eirika, changes\nLunar Brace to Eclipse Brace and\nGentility to Blue Skies for all allies.
MSID_EirikEngageAtk	Twin Strike
MSID_H_EirikEngageAtk	Use to make a sword attack followed\nby a lance attack from Ephraim on\nadjacent foe. Effective: Corrupted.
MSID_H_EirikEngageAtk_Dragon	Use to make a sword attack followed\nby a lance attack from Ephraim on\nadjacent foe. Effective: Corrupted.\n[Dragon] +20% damage.
MSID_H_EirikEngageAtk_Horse	Use to make a sword attack followed\nby a lance attack from Ephraim on\nadjacent foe. Effective: Corrupted.\n[Cavalry] Ephraim deals +50%\ndamage.
MSID_H_EirikEngageAtk_CMD	Make an attack with Ephraim.
MSID_EvilDragonSpecialEffect	Holy Aura
MSID_H_EvilDragonSpecialEffect	Unit is Effective: Fell Dragon. Allies\nwithin 2 spaces with Effective:\nDragon gain Effective: Fell Dragon.
MSID_GodDragonProtection	Holy Shield
MSID_H_GodDragonProtection	Neutralizes Effective against\nthis unit.
MSID_ConnectPerson_1	Bond Forger
MSID_H_ConnectPerson_1	Grants Hit/Avo+20 to unit and allies\nwithin 2 spaces that are synced or\nengaged with an Emblem.
MSID_ConnectPerson_2	Bond Forger+
MSID_H_ConnectPerson_2	Grants Hit/Avo+30 to unit and allies\nwithin 2 spaces that are synced or\nengaged with an Emblem.
MSID_BlessingOfEleos	Boon of Elyos
MSID_H_BlessingOfEleos	If unit initiates combat, grants bonus\nto Crit and Ddg equal to 2× the\nnumber of allies who have acted\nthis turn.
MSID_LueurEngage	Attuned
MSID_H_LueurEngage	If unit initiates combat and defeats\nfoe, grants engage partner +4 to all\nseven basic stats while engaged.
MSID_H_LueurEngage_Dragon	If unit initiates combat and defeats\nfoe, grants engage partner +4 to all\nseven basic stats while engaged.\n[Dragon] Extra +1 to all stats.
MSID_H_LueurEngage_Coop	If unit initiates combat and defeats\nfoe, grants engage partner +4 to all\nseven basic stats while engaged.\n[Backup] Extra +2 to Str.
MSID_H_LueurEngage_Horse	If unit initiates combat and defeats\nfoe, grants engage partner +4 to all\nseven basic stats while engaged.\n[Cavalry] Extra +2 to Dex.
MSID_H_LueurEngage_Covert	If unit initiates combat and defeats\nfoe, grants engage partner +4 to all\nseven basic stats while engaged.\n[Covert] Extra +2 to Spd.
MSID_H_LueurEngage_Heavy	If unit initiates combat and defeats\nfoe, grants engage partner +4 to all\nseven basic stats while engaged.\n[Armored] Extra +2 to Def.
MSID_H_LueurEngage_Fly	If unit initiates combat and defeats\nfoe, grants engage partner +4 to all\nseven basic stats while engaged.\n[Flying] Extra +2 to Res.
MSID_H_LueurEngage_Magic	If unit initiates combat and defeats\nfoe, grants engage partner +4 to all\nseven basic stats while engaged.\n[Mystical] Extra +2 to Mag.
MSID_H_LueurEngage_Prana	If unit initiates combat and defeats\nfoe, grants engage partner +4 to all\nseven basic stats while engaged.\n[Qi Adept] Extra +2 to Lck.
MSID_LueurEngageAtk	Dragon Blast
MSID_H_LueurEngageAtk	Use to make two attacks against an\nadjacent foe with a sword and\npowerful magic beam.
MSID_H_LueurEngageAtk_Dragon	Use to make two attacks against an\nadjacent foe with a sword and\npowerful magic beam.\n[Dragon] +20% damage.
MSID_H_LueurEngageAtk_Coop	Use to make two attacks against an\nadjacent foe with a sword and\npowerful magic beam.\n[Backup] Adds 20% of Str to\nsword attack.
MSID_H_LueurEngageAtk_Magic	Use to make two attacks against an\nadjacent foe with a sword and\npowerful magic beam.\n[Mystical] Adds 20% of Mag to\nbeam attack.
MSID_H_LueurEngageAtk_Prana	Use to make two attacks against an\nadjacent foe with a sword and\npowerful magic beam.\n[Qi Adept] Breaks foe.
MSID_H_LueurEngageAtk_CMD	Sword/magic combo attack.
MSID_LueurEngageAtk_p	Bond Blast
MSID_H_LueurEngageAtk_p	Use to make a sword attack from\nthe unit and engage partner followed\nby a magic beam attack against an\nadjacent foe.
MSID_H_LueurEngageAtk_p_Dragon	Use to make a sword attack from\nthe unit and engage partner followed\nby a magic beam attack against an\nadjacent foe.\n[Dragon] +20% damage.
MSID_H_LueurEngageAtk_p_Coop	Use to make a sword attack from\nthe unit and engage partner followed\nby a magic beam attack against an\nadjacent foe.\n[Backup] +20% of Str to sword.
MSID_H_LueurEngageAtk_p_Magic	Use to make a sword attack from\nthe unit and engage partner followed\nby a magic beam attack against an\nadjacent foe.\n[Mystical] +20% of Mag to beam.
MSID_H_LueurEngageAtk_p_Prana	Use to make a sword attack from\nthe unit and engage partner followed\nby a magic beam attack against an\nadjacent foe.\n[Qi Adept] Breaks foe.
MSID_H_LueurEngageAtk_p_CMD	Attack with engage partner.
MSID_PrivateSkill_Lueur	Divinely Inspiring
MSID_H_PrivateSkill_Lueur	Adjacent allies deal +3 damage and\ntake 1 less damage.
MSID_PrivateSkill_Vandre	Alabaster Duty
MSID_H_PrivateSkill_Vandre	If unit is adjacent to the Divine\nDragon, grants Crit+5 during combat\nto both of them.
MSID_PrivateSkill_Clan	Verdant Faith
MSID_H_PrivateSkill_Clan	If unit is adjacent to the Divine\nDragon, grants Hit+10 during\ncombat to both of them.
MSID_PrivateSkill_Fran	Crimson Cheer
MSID_H_PrivateSkill_Fran	If unit is adjacent to the Divine\nDragon, grants Avo+10 during\ncombat to both of them.
MSID_PrivateSkill_Alfred	Self-Improver
MSID_H_PrivateSkill_Alfred	If unit uses Wait without attacking or\nusing items, grants Str+2 for 1 turn.
MSID_PrivateSkill_Boucheron	Moved to Tears
MSID_H_PrivateSkill_Boucheron	When an ally joins a chain attack in\nthis unit's combat, unit deals\n+2 damage.
MSID_PrivateSkill_Atie	Energized
MSID_H_PrivateSkill_Atie	When unit recovers HP using an\nitem, grants Str+2 for 1 turn.
MSID_PrivateSkill_Celine	Gentle Flower
MSID_H_PrivateSkill_Celine	Recovery items used by allies within\n2 spaces heal +50% HP.
MSID_PrivateSkill_Chloe	Fairy-Tale Folk
MSID_H_PrivateSkill_Chloe	If a male and a female ally are\nadjacent within 2 spaces, unit\ndeals +2 damage during combat.
MSID_PrivateSkill_Louis	Admiration
MSID_H_PrivateSkill_Louis	If two female allies are adjacent\nwithin 2 spaces, this unit takes\n2 less damage during combat.
MSID_PrivateSkill_Diamand	Fair Fight
MSID_H_PrivateSkill_Diamand	If unit initiates combat, grants\nHit+15 to unit and foe if foe is able\nto counterattack.
MSID_PrivateSkill_Umber	Aspiring Hero
MSID_H_PrivateSkill_Umber	If no other units are within 1 space\nof unit or foe, grants Hit+20 at a\ncost of Avo-10 during combat.
MSID_PrivateSkill_Jade	Meditation
MSID_H_PrivateSkill_Jade	If unit uses Wait without attacking or\nusing items, grants Res+2 for 1 turn.
MSID_PrivateSkill_Staluke	Get Behind Me!
MSID_H_PrivateSkill_Staluke	When an ally within 2 spaces is\nattacked, grants Str+3 to unit\nfor 1 turn.
MSID_PrivateSkill_Lapis	Share Spoils
MSID_H_PrivateSkill_Lapis	If there is an ally within 1 space,\ngrants Hit/Avo+10 at a cost of\nCrit-10 to unit.
MSID_PrivateSkill_Citrinica	Generosity
MSID_H_PrivateSkill_Citrinica	When this unit uses a healing item,\nadjacent allies also recover the\nsame amount of HP.
MSID_PrivateSkill_Ivy	Single-Minded
MSID_H_PrivateSkill_Ivy	During combat with a foe who was\nalso unit's most recent opponent,\ngrants Hit+20.
MSID_PrivateSkill_Zelkova	Not *Quite*
MSID_H_PrivateSkill_Zelkova	If foe initiates combat, inflicts\nHit-10 on that foe during combat.
MSID_PrivateSkill_Kagetsu	Blinding Flash
MSID_H_PrivateSkill_Kagetsu	If unit initiates combat, inflicts\nAvo-10 on foe during combat.
MSID_PrivateSkill_Hortensia	Big Personality
MSID_H_PrivateSkill_Hortensia	When unit uses a healing staff,\ngrants range +1.
MSID_PrivateSkill_Rosado	Stunning Smile
MSID_H_PrivateSkill_Rosado	If foe is male, inflicts Avo-20 on that\nfoe during combat.
MSID_PrivateSkill_Goldmary	Disarming Sigh
MSID_H_PrivateSkill_Goldmary	If foe is male, inflicts Hit-20 on that\nfoe during combat.
MSID_PrivateSkill_Misutira	Racket of Solm
MSID_H_PrivateSkill_Misutira	Inflicts Crit-5 on foes within\n3 spaces.
MSID_PrivateSkill_Merin	Knightly Escort
MSID_H_PrivateSkill_Merin	When 2 or more female allies are\nwithin 2 spaces, grants Hit/Avo+5\nto unit and those allies.
MSID_PrivateSkill_Panetone	Blood Fury
MSID_H_PrivateSkill_Panetone	If unit's HP is not at max after\ncombat, grants Crit+10 as long\nas unit's HP stays below max.
MSID_PrivateSkill_Fogato	Charmer
MSID_H_PrivateSkill_Fogato	During combat with a foe who was\nalso unit's most recent opponent,\ninflicts Crit-10 on that foe.
MSID_PrivateSkill_Pandoro	Party Animal
MSID_H_PrivateSkill_Pandoro	Grants a bonus to Hit and Avo equal\nto 3× the number of allies and foes\nwithin 2 spaces.
MSID_PrivateSkill_Bonet	Seconds?
MSID_H_PrivateSkill_Bonet	On eating a packed meal, unit may\nobtain another of the same item.\nTrigger %=Lck.
MSID_PrivateSkill_Anna	Make a Killing
MSID_H_PrivateSkill_Anna	May obtain 500G when unit defeats\na foe. Trigger %=Lck.
MSID_PrivateSkill_Jean	Expertise
MSID_H_PrivateSkill_Jean	Grants unit enhanced stat growth\nwhen leveling up.
MSID_PrivateSkill_Yunaka	Trained to Kill
MSID_H_PrivateSkill_Yunaka	While unit occupies terrain that\nprovides an Avo bonus, grants\nCrit+15.
MSID_PrivateSkill_Seadas	Curious Dance
MSID_H_PrivateSkill_Seadas	At start of turn, allies within 2\nspaces of unit recover 10% of\ntheir max HP.
MSID_PrivateSkill_Linden	Weapon Insight
MSID_H_PrivateSkill_Linden	If unit is equipped with a weapon of\nlower level than foe's, grants\nCrit+20 during combat.
MSID_PrivateSkill_Saphir	Will to Win
MSID_H_PrivateSkill_Saphir	If unit's HP is 50% or less at start of\ncombat, grants Hit/Avo+20 during\ncombat.
MSID_PrivateSkill_Veyre	Fell Protection
MSID_H_PrivateSkill_Veyre	Adjacent allies deal +1 damage and\ntake 3 less damage.
MSID_PrivateSkill_Mauve	Contemplative
MSID_H_PrivateSkill_Mauve	If unit uses Wait without attacking or\nusing items, grants Def+2 for 1 turn.
MSID_JobSkill_SwordMaster	Run Through
MSID_H_JobSkill_SwordMaster	Use to attack an adjacent foe, then\nmove to the space opposite that foe.
MSID_H_JobSkill_SwordMaster_CMD	Attack and move through foe.
MSID_JobSkill_BraveHero	Brave Assist
MSID_H_JobSkill_BraveHero	If unit's HP is at max while unit\nmakes a chain attack, unit attacks\ntwice.
MSID_JobSkill_Halberdier	Pincer Attack
MSID_H_JobSkill_Halberdier	If unit initiates combat while an ally\nis on the opposite side of the foe,\nalways follow up (if weapon allows).
MSID_JobSkill_RoyalKnight	Reforge
MSID_H_JobSkill_RoyalKnight	If unit's HP is 11 or more and an\nadjacent ally is broken after combat,\nsacrifices 10 HP and removes the\nbreak status from that ally.
MSID_JobSkill_Berserker	Smash+
MSID_H_JobSkill_Berserker	When making a smash attack, push\nthe target 2 spaces instead of 1.
MSID_JobSkill_Warrior	Merciless
MSID_H_JobSkill_Warrior	Unit deals +50% damage against\nbroken foes.
MSID_JobSkill_Sniper	No Distractions
MSID_H_JobSkill_Sniper	Grants Crit+10 during combat with a\nfoe that can't counter.
MSID_JobSkill_BowKnight	Careful Aim
MSID_H_JobSkill_BowKnight	If unit initiates combat without\nmoving first, grants Hit+40 during\ncombat.
MSID_JobSkill_General	Swap
MSID_H_JobSkill_General	Use to switch places with an\nadjacent ally.
MSID_H_JobSkill_General_CMD	Switch places with an ally.
MSID_JobSkill_GrateKnight	Allied Defense
MSID_H_JobSkill_GrateKnight	If unit is between an ally and a foe,\nreduces damage to unit by 3 during\ncombat with that foe.
MSID_JobSkill_Paladin	Pivot
MSID_H_JobSkill_Paladin	Use to move to the opposite side of\nan adjacent ally.
MSID_H_JobSkill_Paladin_CMD	Move to other side of an ally.
MSID_JobSkill_WolfKnight	Hobble
MSID_H_JobSkill_WolfKnight	If unit initiates combat with a knife,\ninflicts Mov-2 on foe for 1 turn.
MSID_JobSkill_GriffinKnight	Clear the Way
MSID_H_JobSkill_GriffinKnight	Unit's space and adjacent spaces\nhave a movement cost of 1 for allies.
MSID_JobSkill_DragonKnight	Air Raid
MSID_H_JobSkill_DragonKnight	If unit initiates combat from a space\na foe cannot enter, grants Spd+5\nduring combat.
MSID_JobSkill_Thief	Pass
MSID_H_JobSkill_Thief	Foes do not block this unit's\nmovement.
MSID_JobSkill_Sage	Spell Harmony
MSID_H_JobSkill_Sage	If unit initiates combat with a tome,\ngrants Atk equal to the number of\nadjacent allies with tomes.
MSID_JobSkill_MageKnight	Chaos Style
MSID_H_JobSkill_MageKnight	If unit initiates combat with a\nphysical attack against a foe\narmed with magic or vice versa,\ngrants Spd+3 during combat.
MSID_JobSkill_MasterMonk	Diffuse Healer
MSID_H_JobSkill_MasterMonk	When unit is healed by a staff, all\nadjacent allies also recover 50%\nof the HP that the unit recovered.
MSID_JobSkill_HighPriest	Self-Healing
MSID_H_JobSkill_HighPriest	Unit can target itself with healing\nstaves.
MSID_JobSkill_DragonKing	Divine Spirit
MSID_H_JobSkill_DragonKing	Unit's engage meter is shortened\none step.
MSID_JobSkill_ShadowPrincess	Fell Spirit
MSID_H_JobSkill_ShadowPrincess	At the start of each turn, unit's\nengage meter is filled by 1.
MSID_JobSkill_ShadowDragon	Dark Spirit
MSID_H_JobSkill_ShadowDragon	Inflicts -1 to the engage meters of\nfoes within 2 spaces at the start of\nthe turn.
MSID_JobSkill_Avenir	Golden Lotus
MSID_H_JobSkill_Avenir	During combat, may prevent 50% of\nphysical damage taken.\nTrigger %=Dex.
MSID_JobSkill_Fleurage	Ignis
MSID_H_JobSkill_Fleurage	During combat, may add half of Str\nto magic damage or half of Mag to\nall other damage. Trigger %=Dex.
MSID_JobSkill_Successeur	Sol
MSID_H_JobSkill_Successeur	Unit may recover HP=50% damage\ndealt. Trigger %=Dex.
MSID_JobSkill_Tirailleur	Luna
MSID_H_JobSkill_Tirailleur	While making an attack, may\nignore half of foe's Def/Res.\nTrigger %=Dex.
MSID_JobSkill_Lindwurm	Grasping Void
MSID_H_JobSkill_Lindwurm	When attacking with a tome, unit\nmay deal extra damage = half of\nfoe's Mag. Trigger %=Dex.
MSID_JobSkill_Sleipnir	World Tree
MSID_H_JobSkill_Sleipnir	When unit uses a staff, may not\nconsume a use. Trigger %=Dex.
MSID_JobSkill_Pitchfork	Sandstorm
MSID_H_JobSkill_Pitchfork	While making a physical attack, may\ncalculate damage with 150% of Def\ninstead of Str. Trigger %=Dex.
MSID_JobSkill_Cupido	Back at You
MSID_H_JobSkill_Cupido	When countering, unit may deal\nextra damage = half of damage\ntaken. Trigger %=Dex.
MSID_JobSkill_Melusine	Soulblade
MSID_H_JobSkill_Melusine	When attacking with a sword,\ndamage is calculated using average\nof foe's Def and Res.
MSID_JobSkill_Dancer	Special Dance
MSID_H_JobSkill_Dancer	If unit uses Dance, grants\nDex/Spd/Lck+3 to target\nfor 1 turn.
