MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x02\x06\x04エル\nFaced one way, a thousand years' separation.\nThe other way, a hundred years' regret.\x0E\x04\x02\x00
MID_ED1_#067	Why don't the two of you shake hands and\nagree to be friends from now on?\x0E\x04\x00\x00
MID_ED1_#068	\x0E\x03\x02\x10\x0EE001_エル\nI decline.\x0E\x04\x00\x00
MID_ED1_#069	\x0E\x03\x02\x0A\x08リュール\nThen I guess I'll pass too.\x0E\x04\x00\x00
MID_ED1_#070	\x0E\x03\x02\x10\x0EE001_イル\nAhaha... You could at least try to get along...\x0E\x04\x00\x00
MID_ED1_#071	\x0E\x03\x02\x10\x0EE001_エル\nBefore we depart the castle, Nil, we should say\nour farewells.\x0E\x04\x00\x00
MID_ED1_#072	\x0E\x03\x02\x10\x0EE001_イル\nOh, agreed.\x0E\x04\x00\x00
MID_ED1_#073	\x0E\x03\x02\x0A\x08リュール\nI didn't know anyone else was in the castle.\nIs it a person I know?\x0E\x04\x00\x00
MID_ED1_#074	\x0E\x03\x02\x10\x0EE001_エル\nYou are welcome to come find out. But what\nyou see may upset you.\x0E\x04\x00\x00
MID_ED1_#075	\x0E\x03\x02\x0A\x08リュール\nHm...\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE001_エル\x021\n\x0E\x03\x00\x14\x0EE001_イル\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x02\x0A\x08リュール\nIt looks to be a monument of some kind.\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x10\x0EE001_エル\nThis is the resting place of the Divine Dragon.\nYour grave.\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x10\x0EE001_エル\nI did warn you.\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x10\x0EE001_イル\nWe will just be a moment, Divine One. You can\ngo back, if you like.\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x0A\x08リュール\nActually...do you mind if I say something?\x0E\x04\x02\x00
MID_ED2_#007	I'd like to speak to my other self, who lived here\nwith you.\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x02\x10\x0EE001_イル\nI think that would be a lovely gesture.\x0E\x04\x00\x00
MID_ED2_#009	\x0E\x03\x02\x0A\x08リュール\nVisiting my own gravestone... Not something\nI ever thought I'd do.\x0E\x04\x02\x00
MID_ED2_#010	I can see why Nel is unsettled by...this situation.\x0E\x04\x00\x00
MID_ED2_#011	\x0E\x03\x02\x10\x0EE001_エル\n...\x0E\x04\x00\x00
MID_ED2_#012	\x0E\x03\x02\x0A\x08リュール\nI promise to fulfill your role and protect those\nimportant to you as best I can.\x0E\x04\x02\x00
MID_ED2_#013	And with that, my reflection... Goodbye.\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x09\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04イル\x022\n\x0E\x03\x02\x06\x04イル\n...\x0E\x04\x02\x00
MID_ED3_#002	Why can't I turn into a dragon like you\nand Father?\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x02\x06\x04エル\nThere, there. You may someday.\x0E\x04\x00\x00
MID_ED3_#004	\x0E\x03\x02\x06\x04イル\nI'm a failure! I'm weak!\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x02\x06\x04エル\nNo, Nil. You are strong. Surely you will be able\nto transform, eventually.\x0E\x04\x00\x00
MID_ED3_#006	\x0E\x03\x02\x06\x04イル\nWhen?\x0E\x04\x00\x00
MID_ED3_#007	\x0E\x03\x02\x06\x04エル\nNot even Father can say for sure.\x0E\x04\x02\x00
MID_ED3_#008	But until then, hold on to this.\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x0B\x00v
MID_ED3_#010	But you won't be able to transform without it.\x0E\x04\x00\x00
MID_ED3_#011	\x0E\x0B\x01>
MID_ED3_#012	We are two halves of a whole, Nil. This power\nis ours to share.\x0E\x04\x00\x00
MID_ED3_#013	\x0E\x03\x02\x06\x04イル\n...\x0E\x04\x02\x00
MID_ED3_#014	Our power...\x0E\x04\x00\x00
