MID_SYS_EnchantEffect	인챈트 효과
MAID_H_CatEar	전승으로 전해지는 솔라넬의 수호신의 귀를 본뜬 장식. 학자들이 문헌을 토대로\n공들여 만든 작품. 제대로 수호신이 되고 싶은 사람에게 추천한다.
MAID_DogEar	강아지 귀 장식
MAID_H_DogEar	엘레오스 개의 귀를 본뜬 장식. 세밀하게 만들어져 털도 진짜같이 재현되어 있다.\n착용하기만 해도 사랑스러운 엘레오스 개가 될 수 있다.
MAID_RabbitEar	토끼 귀 장식
MAID_H_RabbitEar	깡충 토끼의 귀를 본뜬 장식. 귓가에 붙은 포근한 털은 촉감이 아주 좋다.\n착용하기만 해도 귀여운 깡충 토끼가 될 수 있다.
MAID_FoxEar	여우 귀 장식
MAID_H_FoxEar	캥캥 여우의 귀를 본뜬 장식. 아주 희귀한 동물이기 때문에 상품화되는 일이 드물다.\n착용하기만 해도 신비한 캥캥 여우가 될 수 있다.
MID_BONDSRING_Hector00	이계의 대륙 엘레브에 있는\n리키아 지방 오스티아 후작가의 공자.
MID_BONDSRING_Hector01	절친한 친구 엘리우드를 위해 전설의 무기인\n｢천뢰의 도끼 알마즈｣를 들고 분전했다.
MID_BONDSRING_Senerio00	이계의 대륙 테리우스에 있는 크리미아 왕국의\n그레일 용병단의 일원.
MID_BONDSRING_Senerio01	뛰어난 전략가의 자질을 지녀 그 지략으로 단장\n아이크와 동료들을 수많은 위기에서 구했다.
MID_BONDSRING_Camilla00	이계의 국가 암야 왕국의 왕녀로\n왕가 형제들 중 장녀.
MID_BONDSRING_Camilla01	형제나 가까운 이에게는 깊은 애정을 주지만\n적에게는 비정하고 냉혹한 태도를 보인다.
MGID_Ring_Hector	열혈 맹장의 팔찌
MGID_H_Ring_Hector	통칭 『천뢰의 문장사』 헥터가 깃든 팔찌.\n뛰어난 실력과 무용을 갖춘 호쾌한 청년.
MGID_Ring_Senerio	푸른 참모의 팔찌
MGID_H_Ring_Senerio	통칭 『현풍의 문장사』 세네리오가 깃든 팔찌.\n냉정 침착한 판단력을 지닌 검은 옷의 참모.
MGID_Ring_Camilla	짙은 요염의 팔찌
MGID_H_Ring_Camilla	통칭 『암야의 문장사』 카밀라가 깃든 팔찌.\n요염한 분위기를 두른 아름다운 마룡 기사.
MGID_World_Hector	초원의 공녀의 세계
MGID_World_Senerio	창염의 용사의 세계
MGID_World_Camilla	미래를 선택하는 자의 세계
MID_RELAY_Stamp_Hector_0	조금은 나를 의지해. 동료잖아?
MID_RELAY_Stamp_Senerio_0	나쁘지 않은 결과라고 생각합니다
MID_RELAY_Stamp_Camilla_0	따끔한 벌을 내려야겠는걸…
MID_Hub_Horse	마구간
MID_Hub_Fruit	과수원
MID_Hub_Pool	풀장
MID_Hub_Refresh	리프레시
MID_Hub_Refresh_Help	동료를 2명 선택해 주십시오
MID_Hub_Refresh_Entrust	위임
MID_Hub_Refresh_Entrust_Help	지원도 상승이 가능한 상대를\n우선적으로 자동 선택합니다
MID_Hub_Refresh_RelianceLv	지원 레벨
MID_Hub_Refresh_Place	시설
MID_Hub_Refresh_Unit	리프레시시킬 동료
MID_Hub_Refresh_Used	이용 완료
MID_Hub_Refresh_Attention	출격할 때까지 다시 이용할 수 없습니다
MID_Hub_Refresh_Confirmation	리프레시를 시작하겠습니까?
MID_Hub_Refresh_Start	시작하기
MID_Hub_Refresh_Result	결과만 확인
MID_Hub_Refresh_Stop	그만두기
MID_Hub_Refresh_RelianceLvUP	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02과\x02와 \x0E\x01\x01\x00의\n지원도가 상승했습니다
MID_Hub_Refresh_Reliance_Occurrence	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02과\x02와 \x0E\x01\x01\x00의\n지원 회화가 발생했습니다
MID_Hub_Refresh_NoReliance_Occurrence	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02과\x02와 \x0E\x01\x01\x00\x0E\x0A\x04\x08\x02은\x02는\n리프레시했습니다
PCTMID_Hector	조금은 나를 의지해
PCTMID_Senerio	사실은 사실이죠
PCTMID_Camilla	정말 귀여운 아이
MID_Movie_K15	문장사 헥터
MID_H_Movie_K15	『열혈 맹장의 팔찌』에서 현현하는\n문장사 헥터.
MID_Movie_K16	문장사 세네리오
MID_H_Movie_K16	『푸른 참모의 팔찌』에서 현현하는\n문장사 세네리오.
MID_Movie_K17	문장사 카밀라
MID_H_Movie_K17	『짙은 요염의 팔찌』에서 현현하는\n문장사 카밀라.
MID_MAP_HIS_EngageWait	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 지수뇌굉의 자세를 사용했다
MID_MAP_HIS_EngageWaitPlus	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 지수뇌굉의 자세+를 사용했다
MID_MAP_HIS_Enchant	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 극한 활용을 사용했다
MID_MAP_HIS_Enchant_Weapon	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02이\x02가 무기 공명을 사용했다
