MID_BONDSRING_H_CommonTytle	<캐릭터 등장 타이틀>
MID_BONDSRING_H_Othin01	혈기 왕성하고 힘이 자랑인 청년으로\n투척용 도끼 ｢푸지｣를 잘 다룬다.
MID_BONDSRING_H_Othin02	걸핏하면 시비가 붙어 생각이 짧아 보이지만\n밝은 성격으로 의용군의 분위기 메이커.
MID_BONDSRING_H_Othin03	｢Thracia 776｣
MID_BONDSRING_Shiva	시바
MID_BONDSRING_H_Shiva00	이계의 영웅이자 유랑 검사.
MID_BONDSRING_H_Shiva01	검은 옷을 입은 검의 달인으로\n살인검 ｢킬 소드｣를 다룬다.
MID_BONDSRING_H_Shiva02	비정한 성격이지만 완전히 냉혈한은 아니며,\n자기 목숨을 아끼지 않는 사람을 싫어한다.
MID_BONDSRING_H_Shiva03	｢Thracia 776｣
MID_BONDSRING_Linoan	리노안
MID_BONDSRING_H_Linoan00	이계의 대륙 유그드랄에 있는\n트라키아 반도 탈라 공작가의 공녀.
MID_BONDSRING_H_Linoan01	세상을 떠난 아버지 대신 성채 도시 탈라의\n시장을 맡고 있는 다정하고 총명한 여성.
MID_BONDSRING_H_Linoan02	성전사 중 하나인 성자 헤임의 피를 이은 인물로\n제국의 압정에 저항해 리프와 함께 싸웠다.
MID_BONDSRING_H_Linoan03	｢Thracia 776｣
MID_BONDSRING_Lucina00	이계의 국가 이리스 성왕국의 왕자 크롬의 딸로\n미래 시대에서 찾아왔다.
MID_BONDSRING_Lucina01	미래 세계는 사룡 그리마에 의해 멸망했으며\n시간을 거슬러 그 운명을 바꾸기 위해 싸웠다.
MID_BONDSRING_Sallya	사랴
MID_BONDSRING_H_Sallya00	이계의 영웅이자 펠레지아 왕국의 주술사.
MID_BONDSRING_H_Sallya01	어둡고 질투심 강한 소녀로\n종종 혼자 수상한 의식을 치르고 있다.
MID_BONDSRING_H_Sallya02	러플레를 마음에 들어 해 강하게 집착한다.\n동료들 중 가장 스타일이 좋다.
MID_BONDSRING_H_Sallya03	｢Awakening｣
MID_BONDSRING_Chrom	크롬
MID_BONDSRING_H_Chrom00	이계의 국가 이리스 성왕국의 왕자.
MID_BONDSRING_H_Chrom01	영웅왕의 후예로 자경단을 조직해\n나라의 안전을 지키기 위해 활동했다.
MID_BONDSRING_H_Chrom02	참모 러플레, 딸 루키나 일행과 함께\n세계의 파멸을 획책하는 사룡 그리마와 싸웠다.
MID_BONDSRING_H_Chrom03	｢Awakening｣
MID_BONDSRING_Tiamo	코델리아
MID_BONDSRING_H_Tiamo00	이계의 영웅이자 이리스 성왕국의 천마 기사.
MID_BONDSRING_H_Tiamo01	누구나 인정하는 미모를 지닌 사람으로\n무슨 일이든 쉽게 해내는 천재 소녀.
MID_BONDSRING_H_Tiamo02	크롬 왕자에게 이루어질 수 없는 마음을 품고\n있으며 동료들 중 가장 한숨을 자주 쉰다.
MID_BONDSRING_H_Tiamo03	｢Awakening｣
MID_BONDSRING_Marc	마크
MID_BONDSRING_H_Marc00	이계의 영웅이자 러플레의 자식.
MID_BONDSRING_H_Marc01	미래에서 찾아온 아이들 중 한 사람.\n러플레 같은 참모가 되기를 꿈꾸고 있다.
MID_BONDSRING_H_Marc02	기억을 잃었지만 활발하고 밝게 행동한다.\n동료들 중 가장 자유분방하다.
MID_BONDSRING_H_Marc03	｢Awakening｣
MID_BONDSRING_Nono	노노
MID_BONDSRING_H_Nono00	이계의 영웅이자 순수한 어린 용.
MID_BONDSRING_H_Nono01	인간의 모습을 한 용 ｢맘쿠트｣ 중 한 사람.\n겉보기엔 어리지만 나이는 천 살 이상이다.
MID_BONDSRING_H_Nono02	다른 사람과 노는 것을 아주 좋아해\n동료들 중 가장 늦게 잠이 든다.
MID_BONDSRING_H_Nono03	｢Awakening｣
MID_BONDSRING_Azul	이니고
MID_BONDSRING_H_Azul00	이계의 영웅이자 올리비에의 아들.
MID_BONDSRING_H_Azul01	미래에서 찾아온 아이들 중 한 사람.\n밝은 성격과 뛰어난 친화력을 지닌 소년.
MID_BONDSRING_H_Azul02	이성과의 만남을 좋아해\n동료들 중 가장 외출이 잦다.
MID_BONDSRING_H_Azul03	｢Awakening｣
MID_BONDSRING_Serena	세베라
MID_BONDSRING_H_Serena00	이계의 영웅이자 코델리아의 딸.
MID_BONDSRING_H_Serena01	미래에서 찾아온 아이들 중 한 사람.\n성격이 드세고, 태도가 약간 건방지다.
MID_BONDSRING_H_Serena02	자신의 귀여움을 무기로 삼는 약삭빠른 면도\n있으며, 동료들 중 가장 충동구매가 잦다.
MID_BONDSRING_H_Serena03	｢Awakening｣
MID_BONDSRING_Gaius	가이아
MID_BONDSRING_H_Gaius00	이계의 영웅이자 이리스 성왕국의 도적.
MID_BONDSRING_H_Gaius01	냉정한 인물로 보수만 받을 수 있으면\n기본적으로는 어떠한 의뢰든 받아들인다.
MID_BONDSRING_H_Gaius02	단 음식을 좋아해 몸 곳곳에 과자를 숨겨 놨다.\n동료들 중 가장 코피가 자주 난다.
MID_BONDSRING_H_Gaius03	｢Awakening｣
MID_BONDSRING_Oud	오웬
MID_BONDSRING_H_Oud00	이계의 영웅이자 리사의 아들.
MID_BONDSRING_H_Oud01	미래에서 찾아온 아이들 중 한 사람.\n성왕의 피를 이어 몸에 ｢성흔｣을 지녔다.
MID_BONDSRING_H_Oud02	눈에 띄길 좋아해 늘 허세를 부린다.\n동료들 중 가장 뜨거운 마음을 가졌다.
MID_BONDSRING_H_Oud03	｢Awakening｣
MID_BONDSRING_Lissa	리사
MID_BONDSRING_H_Lissa00	이계의 국가 이리스 성왕국의 왕녀.
MID_BONDSRING_H_Lissa01	누구에게나 거리낌없이 다가가는 활달한 소녀로\n크롬 자경단의 일원으로 활약했다.
MID_BONDSRING_H_Lissa02	자경단의 분위기 메이커 같은 존재로\n동료들 중 가장 잘 뛴다.
MID_BONDSRING_H_Lissa03	｢Awakening｣
MID_BONDSRING_Lin00	이계의 대륙 엘레브의 사카 지방 출신.\n키아란 후작가의 피를 잇는 공녀이다.
MID_BONDSRING_Lin01	친구인 엘리우드, 헥터와 함께\n세계에 재앙을 부르는 자 네르갈과 싸웠다.
MID_BONDSRING_Hector	헥터
MID_BONDSRING_H_Hector00	이계의 대륙 엘레브에 있는\n리키아 지방 오스티아 후작가의 공자.
MID_BONDSRING_H_Hector01	강한 완력을 지녀 도끼를 잘 다루며\n자기만의 방식으로 싸우는 호쾌한 청년.
MID_BONDSRING_H_Hector02	엘리우드와는 어릴 때부터 알고 지냈으며\n평생 변하지 않을 우정을 맹세한 사이다.
MID_BONDSRING_H_Hector03	｢The Binding Blade｣, ｢The Blazing Blade｣
MID_BONDSRING_Dorcas	도르카스
MID_BONDSRING_H_Dorcas00	이계의 영웅이자 변경 마을의 전사.
MID_BONDSRING_H_Dorcas01	아내를 치료하기 위해 돈이 필요해\n산적단의 부하가 되어 일하고 있었다.
MID_BONDSRING_H_Dorcas02	그러나 린의 도움을 받고 동료가 되었다.\n온화한 성격을 지녔으며 가족을 아끼는 인물.
MID_BONDSRING_H_Dorcas03	｢The Blazing Blade｣
MID_BONDSRING_Eliwod	엘리우드
MID_BONDSRING_H_Eliwod00	이계의 대륙 엘레브에 있는\n리키아 지방 펠레 후작가의 공자.
MID_BONDSRING_H_Eliwod01	성실하고 올곧은 마음을 지닌 청년으로\n행방불명이 된 아버지를 찾는 여행을 떠났다.
MID_BONDSRING_H_Eliwod02	그러던 중 사악한 자의 거대한 음모에\n휘말리지만 헥터, 린과 함께 용감하게 맞섰다.
MID_BONDSRING_H_Eliwod03	｢The Binding Blade｣, ｢The Blazing Blade｣
MID_BONDSRING_Nino	니노
MID_BONDSRING_H_Nino00	이계의 영웅이자\n다정한 성격을 지닌 수습 마도사.
MID_BONDSRING_H_Nino01	암살 조직 ｢검은 송곳니｣ 두목의 딸이지만\n어머니의 냉대를 받아 애정을 갈구한다.
MID_BONDSRING_H_Nino02	조직의 동료들을 소중하게 여겨\n가족처럼 생각하고 있다.
MID_BONDSRING_H_Nino03	｢The Blazing Blade｣
MID_BONDSRING_Flolina	플로리나
MID_BONDSRING_H_Flolina00	이계의 영웅이자\n이리아 지방의 수습 천마 기사.
MID_BONDSRING_H_Flolina01	동물을 사랑하는 다정한 소녀로\n아주 어른스러운 성격.
MID_BONDSRING_H_Flolina02	소심하고 겁이 많아 남성을 어려워하지만\n친구인 린을 위해 여행에 동행했다.
MID_BONDSRING_H_Flolina03	｢The Blazing Blade｣
MID_BONDSRING_Jaffar	자파르
MID_BONDSRING_H_Jaffar00	이계의 영웅이자\n암살 조직 ｢검은 송곳니｣의 암살자.
MID_BONDSRING_H_Jaffar01	｢사아｣라 불리는 4명의 정예 중 한 명으로\n｢사신｣이라는 이명을 가졌다.
MID_BONDSRING_H_Jaffar02	정에 휩쓸리지 않는 냉정한 암살자였지만\n니노와 지내며 사람의 마음을 점점 이해한다.
MID_BONDSRING_H_Jaffar03	｢The Blazing Blade｣
MID_BONDSRING_Matthew	매튜
MID_BONDSRING_H_Matthew00	이계의 영웅이자\n오스티아 후작가를 섬기는 밀정.
MID_BONDSRING_H_Matthew01	밝고 초연한 성격으로\n누구에게나 친근한 말투로 대한다.
MID_BONDSRING_H_Matthew02	얼핏 보면 까불거리는 것 같지만\n사실은 임무를 철저하게 해내는 숨은 일꾼.
MID_BONDSRING_H_Matthew03	｢The Blazing Blade｣
MID_BONDSRING_Ninian	니니안
MID_BONDSRING_H_Ninian00	이계의 영웅이자 유랑 무용수.
MID_BONDSRING_H_Ninian01	도적의 습격을 받던 중 엘리우드와\n린의 도움을 받아 친구가 된 여성.
MID_BONDSRING_H_Ninian02	가련한 소녀지만 그 몸에는 세계를 뒤흔들\n거대한 비밀이 숨겨져 있다.
MID_BONDSRING_H_Ninian03	｢The Blazing Blade｣
MID_BONDSRING_Rebacca	레베카
MID_BONDSRING_H_Rebacca00	이계의 영웅이자 어떤 마을의 촌장집 딸.
MID_BONDSRING_H_Rebacca01	마을이 엘리우드의 도움을 받아\n그 은혜를 갚기 위해 동료가 되었다.
MID_BONDSRING_H_Rebacca02	밝고 다정한 마음을 지녔으며\n사냥으로 단련된 뛰어난 활 솜씨를 자랑한다.
MID_BONDSRING_H_Rebacca03	｢The Blazing Blade｣
MID_BONDSRING_Serra	세라
MID_BONDSRING_H_Serra00	이계의 영웅이자\n오스티아 후작가를 섬기는 시스터.
MID_BONDSRING_H_Serra01	타산적인 성격으로 권력자의 환심을 사기 위해\n린의 동료가 되었다.
MID_BONDSRING_H_Serra02	자기 마음대로 행동하며 남을 휘두르지만\n어쩐지 미워하기 어려운 면이 있는 소녀.
MID_BONDSRING_H_Serra03	｢The Blazing Blade｣
MID_BONDSRING_Ike00	이계의 대륙 테리우스에 있는 크리미아 왕국의\n그레일 용병단을 이끄는 청년.
MID_BONDSRING_Ike01	대륙에 전란을 일으키고 사신의 부활을\n획책하는 데인의 광왕 아슈나드와 싸웠다.
MID_BONDSRING_Senerio	세네리오
MID_BONDSRING_H_Senerio00	이계의 영웅이자 그레일 용병단의 마도사.
MID_BONDSRING_H_Senerio01	냉정한 판단력을 지녔으며\n정보 수집도 뛰어난 용병단의 참모 격 존재.
MID_BONDSRING_H_Senerio02	남과 어울리지 않고 거리를 두지만\n아이크에게는 절대적인 신뢰를 보인다.
MID_BONDSRING_H_Senerio03	｢Path of Radiance｣, ｢Radiant Dawn｣
MID_BONDSRING_Wayu	와유
MID_BONDSRING_H_Wayu00	이계의 영웅이자 그레일 용병단의 검사.
MID_BONDSRING_H_Wayu01	활발하고 꾸밈없는\n대쪽 같은 성격을 지닌 소녀.
MID_BONDSRING_H_Wayu02	검 실력을 기르기 위해\n강한 상대를 찾아가 승부를 겨룬다.
MID_BONDSRING_H_Wayu03	｢Path of Radiance｣, ｢Radiant Dawn｣
MID_BONDSRING_Tiamat	티아마트
MID_BONDSRING_H_Tiamat00	이계의 영웅이자 그레일 용병단의 부장.
MID_BONDSRING_H_Tiamat01	원래는 크리미아의 왕궁 기사였으며\n도끼를 잘 다루는 베테랑 기사.
MID_BONDSRING_H_Tiamat02	차분한 성인 여성으로 때로는 어머니처럼,\n때로는 누이처럼 아이크와 단원들을 보살폈다.
MID_BONDSRING_H_Tiamat03	｢Path of Radiance｣, ｢Radiant Dawn｣
MID_BONDSRING_Elaice	이레이스
MID_BONDSRING_H_Elaice00	이계의 영웅이자 번개 마법이 특기인 마도사.
MID_BONDSRING_H_Elaice01	행상인과 함께 여행 중이었지만 원치 않는\n싸움에 휘말리며 아이크의 동료가 되었다.
MID_BONDSRING_H_Elaice02	체구가 작고 가냘픈 인상을 지녔지만\n항상 굶주려 있는 대식가이다.
MID_BONDSRING_H_Elaice03	｢Path of Radiance｣, ｢Radiant Dawn｣
MID_BONDSRING_Lethe	레테
MID_BONDSRING_H_Lethe00	이계의 영웅이자 갈리아 왕국의 수아 전사.
MID_BONDSRING_H_Lethe01	모습을 바꿔 싸우는 ｢라구즈｣ 중 한 명으로\n거대한 고양이로 모습을 바꾸는 수아족 소녀.
MID_BONDSRING_H_Lethe02	아이크와 같은 ｢베오크｣를 싫어해\n적의를 보이면서도 왕명에 따라 협력한다.
MID_BONDSRING_H_Lethe03	｢Path of Radiance｣, ｢Radiant Dawn｣
MID_BONDSRING_Mist	미스트
MID_BONDSRING_H_Mist00	이계의 영웅이자 그레일 용병단의 치료사.
MID_BONDSRING_H_Mist01	아이크의 여동생으로 티 없이 맑은\n마음을 지닌 다정한 소녀.
MID_BONDSRING_H_Mist02	매사에 열심이며 항상 오빠와 단원들을\n걱정해 보살펴 주고 있다.
MID_BONDSRING_H_Mist03	｢Path of Radiance｣, ｢Radiant Dawn｣
MID_BONDSRING_Chinon	시논
MID_BONDSRING_H_Chinon00	이계의 영웅이자 그레일 용병단의 궁수.
MID_BONDSRING_H_Chinon01	고참 단원으로 한번 노린 표적은\n절대로 놓치지 않는 달인급 실력을 지녔다.
MID_BONDSRING_H_Chinon02	냉소적인 성격으로 항상 말을 신랄하게 하지만\n남을 잘 보살피는 좋은 면도 지녔다.
MID_BONDSRING_H_Chinon03	｢Path of Radiance｣, ｢Radiant Dawn｣
MID_BONDSRING_Greil	그레일
MID_BONDSRING_H_Greil00	이계의 영웅이자\n그레일 용병단의 초대 단장.
MID_BONDSRING_H_Greil01	누구나 신뢰하는 일류 용병이며\n탁월한 전투 기술을 지녔다.
MID_BONDSRING_H_Greil02	아이크와 미스트의 아버지로\n단원 모두를 가족처럼 생각한다.
MID_BONDSRING_H_Greil03	｢Path of Radiance｣
MID_BONDSRING_Lay	라이
MID_BONDSRING_H_Lay00	이계의 영웅이자 갈리아 왕국의 수아 전사.
MID_BONDSRING_H_Lay01	모습을 바꿔 싸우는 ｢라구즈｣ 중 한 명으로\n거대한 고양이로 모습을 바꾸는 싹싹한 청년.
MID_BONDSRING_H_Lay02	언뜻 보면 온화한 인상이지만 실력이 뛰어나\n다른 수아 전사들을 이끄는 부대장을 맡고 있다.
MID_BONDSRING_H_Lay03	｢Path of Radiance｣, ｢Radiant Dawn｣
MID_BONDSRING_Gatrie	가트리
MID_BONDSRING_H_Gatrie00	이계의 영웅이자 그레일 용병단의 중보병.
MID_BONDSRING_H_Gatrie01	조금 까부는 면이 있지만 착한 인물이며,\n같은 용병인 시논의 동생이다.
MID_BONDSRING_H_Gatrie02	여성에게 약하고 쉽게 반하는 면이 있어\n잦은 실연을 겪지만, 그래도 굴하지 않는다.
MID_BONDSRING_H_Gatrie03	｢Path of Radiance｣, ｢Radiant Dawn｣
MID_BONDSRING_Byleth00	이계의 땅 포드라에서 용병으로 지냈으나\n어떤 사건을 계기로 교사가 된 인물.
MID_BONDSRING_Byleth01	고대의 영웅 네메시스의 무기인 ｢천제의 검｣을\n들고 학생들을 이끌며 싸웠다.
MID_BONDSRING_Edelgard	에델가르트
MID_BONDSRING_H_Edelgard00	이계의 땅 포드라에 있는\n아드라스테아 제국의 황녀.
MID_BONDSRING_H_Edelgard01	가르그 마크 대수도원의 사관학교를 다니며\n흑수리반의 반장을 맡았다.
MID_BONDSRING_H_Edelgard02	고결하고 의지가 강한 여성으로\n세계를 개혁하려는 마음을 품고 있다.
MID_BONDSRING_H_Edelgard03	｢풍화설월｣
MID_BONDSRING_Dimitri	디미트리
MID_BONDSRING_H_Dimitri00	이계의 땅 포드라에 있는\n퍼거스 신성 왕국의 왕자.
MID_BONDSRING_H_Dimitri01	가르그 마크 대수도원의 사관학교를 다니며\n청사자반의 반장을 맡았다.
MID_BONDSRING_H_Dimitri02	예의 바르고 강직한 성격의 청년.\n사실 마음속에 남모르는 어둠을 품고 있다.
MID_BONDSRING_H_Dimitri03	｢풍화설월｣
MID_BONDSRING_Claude	클로드
MID_BONDSRING_H_Claude00	이계의 땅 포드라에 있는 레스터 제후 동맹의\n맹주인 리건 공작가의 적자.
MID_BONDSRING_H_Claude01	가르그 마크 대수도원의 사관학교를 다니며\n금사슴반의 반장을 맡았다.
MID_BONDSRING_H_Claude02	초연해 보이고 친화력 좋은 성격이지만\n항상 술책을 꾸미는 철저한 일면도 지녔다.
MID_BONDSRING_H_Claude03	｢풍화설월｣
MID_BONDSRING_Lysithea	리시테아
MID_BONDSRING_H_Lysithea00	이계의 영웅이자 코델리아 백작가의 장녀.
MID_BONDSRING_H_Lysithea01	금사슴반에 소속된 학생으로\n뛰어난 마도의 재능을 지닌 노력가.
MID_BONDSRING_H_Lysithea02	단 음식을 매우 좋아하며\n유령과 애 취급 하는 것을 싫어한다.
MID_BONDSRING_H_Lysithea03	｢풍화설월｣
MID_BONDSRING_Bernadetta	베르나데타
MID_BONDSRING_H_Bernadetta00	이계의 영웅이자 발리 백작가의 외동딸.
MID_BONDSRING_H_Bernadetta01	흑수리반에 소속된 학생으로\n굉장히 낯을 가리는 성격을 지녔다.
MID_BONDSRING_H_Bernadetta02	엄격한 교육의 반동으로 방에 틀어박히게 되어\n강의 시간을 제외하면 거의 외출하지 않는다.
MID_BONDSRING_H_Bernadetta03	｢풍화설월｣
MID_BONDSRING_Felix	펠릭스
MID_BONDSRING_H_Felix00	이계의 영웅이자\n프랄다리우스 공작가의 적자.
MID_BONDSRING_H_Felix01	청사자반에 소속된 학생으로\n디미트리와는 소꿉친구 사이.
MID_BONDSRING_H_Felix02	검 실력을 갈고닦는 데 여념이 없어\n강한 상대만 보면 대련을 신청한다.
MID_BONDSRING_H_Felix03	｢풍화설월｣
MID_BONDSRING_Ferdinand	페르디난트
MID_BONDSRING_H_Ferdinand00	이계의 영웅이자 에기르 공작가의 적자.
MID_BONDSRING_H_Ferdinand01	흑수리반에 소속된 학생으로\n자신이 귀족이라는 사실에 긍지를 느끼고 있다.
MID_BONDSRING_H_Ferdinand02	지기 싫어하는 일면도 있어 황녀인\n에델가르트에게 경쟁심을 가지고 있다.
MID_BONDSRING_H_Ferdinand03	｢풍화설월｣
MID_BONDSRING_Ingrid	잉그리트
MID_BONDSRING_H_Ingrid00	이계의 영웅이자 갈라테아 백작가의 딸.
MID_BONDSRING_H_Ingrid01	청사자반에 소속된 학생으로\n성실하고 꼼꼼한 성격을 지녔다.
MID_BONDSRING_H_Ingrid02	고결한 기사를 동경하고 있어 언젠가 자기도\n그런 기사가 되기를 꿈꾸고 있다.
MID_BONDSRING_H_Ingrid03	｢풍화설월｣
MID_BONDSRING_Raphael	라파엘
MID_BONDSRING_H_Raphael00	이계의 영웅이자 레스터 지방 상인의 아들.
MID_BONDSRING_H_Raphael01	금사슴반에 소속된 학생으로\n체격이 커다란 대식가.
MID_BONDSRING_H_Raphael02	이론 공부는 서투르지만 신체 단련에는\n열심이며 훌륭한 기사가 되기 위해 노력 중이다.
MID_BONDSRING_H_Raphael03	｢풍화설월｣
MID_BONDSRING_Flayn	흐렌
MID_BONDSRING_H_Flayn00	이계의 영웅이자 세이로스 성교회의\n대사교 보좌관 세테스의 여동생.
MID_BONDSRING_H_Flayn01	학생은 아니지만 오빠의 비호하에\n대수도원 생활을 하고 있는 소녀.
MID_BONDSRING_H_Flayn02	일반적인 세상 물정에 어두워\n시장 같은 곳들에 흥미를 품고 있다.
MID_BONDSRING_H_Flayn03	｢풍화설월｣
MID_BONDSRING_Kamui00	이계의 국가 백야 왕국에서 태어났지만\n어렸을 때 납치당해 암야 왕국에서 자란 왕녀.
MID_BONDSRING_Kamui01	평화를 바라며 두 왕국의 싸움을 멈추고 세계를\n파멸로 이끄는 투마룡 아난코스와 싸웠다.
MID_BONDSRING_Camilla	카밀라
MID_BONDSRING_H_Camilla00	이계의 국가 암야 왕국의 제1왕녀.
MID_BONDSRING_H_Camilla01	마룡을 타고 직접 전장에 나서는\n아름답고 매혹적인 여성.
MID_BONDSRING_H_Camilla02	카무이를 아끼고 있어 깊은 애정을 쏟는다.\n귀엽고 강한 여자아이를 좋아한다.
MID_BONDSRING_H_Camilla03	｢백야 왕국｣, ｢암야 왕국｣ 등
MID_BONDSRING_Aqua	아주라
MID_BONDSRING_H_Aqua00	이계의 영웅이자 암야 왕국으로부터 납치당해\n백야 왕국에서 자란 왕녀.
MID_BONDSRING_H_Aqua01	좀처럼 감정을 겉으로 드러내지 않는\n가련한 분위기를 지닌 인물.
MID_BONDSRING_H_Aqua02	노래와 춤이 특기인 ｢가희｣로\n창과 춤을 무기로 전장에서 활약했다.
MID_BONDSRING_H_Aqua03	｢백야 왕국｣, ｢암야 왕국｣ 등
MID_BONDSRING_Takumi	타쿠미
MID_BONDSRING_H_Takumi00	이계의 국가 백야 왕국의 왕자.
MID_BONDSRING_H_Takumi01	활의 명수로 왕가에 전해지는 활의 신기\n｢풍신궁｣을 다룬다.
MID_BONDSRING_H_Takumi02	조국을 위협하는 암야 왕국을 증오하며\n카무이에게 복잡한 감정을 품고 있다.
MID_BONDSRING_H_Takumi03	｢백야 왕국｣, ｢암야 왕국｣ 등
MID_BONDSRING_Leon	리오
MID_BONDSRING_H_Leon00	이계의 국가 암야 왕국의 왕자.
MID_BONDSRING_H_Leon01	암흑마법의 전문가로 마도서의 신기\n｢브륀힐데｣를 다룬다.
MID_BONDSRING_H_Leon02	무슨 일이든 쉽게 해내는 수재지만 법의를\n거꾸로 입는 등 다소 엉뚱한 일면도 있다.
MID_BONDSRING_H_Leon03	｢백야 왕국｣, ｢암야 왕국｣ 등
MID_BONDSRING_Elise	엘리스
MID_BONDSRING_H_Elise00	이계의 국가 암야 왕국의 왕녀.
MID_BONDSRING_H_Elise01	암야 왕족 형제 중 막내로\n밝고 천진난만한 성격.
MID_BONDSRING_H_Elise02	형제들을 정말 좋아하고\n카무이를 굉장히 잘 따른다.
MID_BONDSRING_H_Elise03	｢백야 왕국｣, ｢암야 왕국｣ 등
MID_BONDSRING_Sakura	사쿠라
MID_BONDSRING_H_Sakura00	이계의 국가 백야 왕국의 왕녀.
MID_BONDSRING_H_Sakura01	백야 왕족 형제 중 막내로\n고상하고 다정한 성격.
MID_BONDSRING_H_Sakura02	누구에게든 예의 바르게 대하지만\n낯을 가려 금방 긴장해 버린다.
MID_BONDSRING_H_Sakura03	｢백야 왕국｣, ｢암야 왕국｣ 등
MID_BONDSRING_Marks	젠더
MID_BONDSRING_H_Marks00	이계의 국가 암야 왕국의 제1왕자.
MID_BONDSRING_H_Marks01	차기 암야왕이자\n검의 신기 ｢지크프리트｣의 계승자.
MID_BONDSRING_H_Marks02	기사도 정신이 넘치는 인물로\n엄격함과 상냥함을 겸비했다.
MID_BONDSRING_H_Marks03	｢백야 왕국｣, ｢암야 왕국｣ 등
MID_BONDSRING_Joker	제이콥
MID_BONDSRING_H_Joker00	이계의 영웅이자 카무이를 보좌하는 집사.
MID_BONDSRING_H_Joker01	두뇌가 명석하고 온갖 잡일부터\n전투까지 모두 해내는 만능 인물.
MID_BONDSRING_H_Joker02	주군인 카무이에게 절대적인 충성을 맹세했으며\n그 외의 사람들에게는 냉담한 태도를 보인다.
MID_BONDSRING_H_Joker03	｢백야 왕국｣, ｢암야 왕국｣ 등
MID_BONDSRING_Ryoma	료마
MID_BONDSRING_H_Ryoma00	이계의 국가 백야 왕국의 제1왕자.
MID_BONDSRING_H_Ryoma01	차기 백야왕이자\n도검의 신기 ｢뇌신도｣의 계승자.
MID_BONDSRING_H_Ryoma02	무사도 정신을 중시하는 인물로\n역경에도 굴하지 않는 불굴의 투지를 지녔다.
MID_BONDSRING_H_Ryoma03	｢백야 왕국｣, ｢암야 왕국｣ 등
MID_BONDSRING_Hinoka	히노카
MID_BONDSRING_H_Hinoka00	이계의 국가 백야 왕국의 제1왕녀.
MID_BONDSRING_H_Hinoka01	천마를 타고 전장을 누비는\n무인 같은 성격의 공주.
MID_BONDSRING_H_Hinoka02	어렸을 때 납치당한 카무이를\n되찾을 날을 꿈꾸며 천마 무사가 되었다.
MID_BONDSRING_H_Hinoka03	｢백야 왕국｣, ｢암야 왕국｣ 등
MID_BONDSRING_Eirik00	이계의 대륙 마기 발에 있는\n루네스 왕국의 왕녀.
MID_BONDSRING_Eirik01	쌍둥이 오빠 에브라임과 함께 쌍성의 무기라\n불리는 전설의 무기로 마왕 포데스와 싸웠다.
MID_BONDSRING_Lute	루테
MID_BONDSRING_H_Lute00	이계의 영웅이자 천재 마도사.
MID_BONDSRING_H_Lute01	뛰어난 마도의 재능과 풍부한 지식을 지녔으며\n｢전 우수하거든요｣가 말버릇이다.
MID_BONDSRING_H_Lute02	진지한 건지 장난인 건지 알기 힘든\n특이한 말투를 곧잘 사용한다.
MID_BONDSRING_H_Lute03	｢The Sacred Stones｣
MID_BONDSRING_Jhosua	요슈아
MID_BONDSRING_H_Jhosua00	이계의 영웅이자 초연한 성격을 지닌 검사.
MID_BONDSRING_H_Jhosua01	내기를 좋아해서 중요한 사안은\n동전을 던져 결정한다.
MID_BONDSRING_H_Jhosua02	그라드 제국에 용병으로 고용되어 있었지만\n동전 던지기의 결과에 따라 배신했다.
MID_BONDSRING_H_Jhosua03	｢The Sacred Stones｣
MID_BONDSRING_Marica	마리카
MID_BONDSRING_H_Marica00	이계의 영웅이자\n지스트 용병단에 소속된 검사.
MID_BONDSRING_H_Marica01	뛰어난 실력을 지녀 다른 사람들로부터\n｢비섬｣이라 불리며 두려움을 사고 있다.
MID_BONDSRING_H_Marica02	말수가 적고 감정을 잘 드러내지 않는다.\n대장인 지스트를 진심으로 신뢰하고 있다.
MID_BONDSRING_H_Marica03	｢The Sacred Stones｣
MID_BONDSRING_Seth	제트
MID_BONDSRING_H_Seth00	이계의 영웅이자 루네스 왕가를 섬기는 기사.
MID_BONDSRING_H_Seth01	기사단을 통솔하는 젊은 장군으로\n｢진은의 기사｣라는 이명을 지녔다.
MID_BONDSRING_H_Seth02	그라드 제국의 침공 당시에는\n에이리카를 지키며 탈출을 도왔다.
MID_BONDSRING_H_Seth03	｢The Sacred Stones｣
MID_BONDSRING_Amelia	아멜리아
MID_BONDSRING_H_Amelia00	이계의 영웅이자 그라드 제국의 수습 병사.
MID_BONDSRING_H_Amelia01	세상 물정에 어둡지만 솔직하고 밝고\n항상 매사에 열심인 노력가 소녀.
MID_BONDSRING_H_Amelia02	에이리카와 에브라임이 극악무도한\n사람들이라고 배워 오해한 채로 싸웠다.
MID_BONDSRING_H_Amelia03	｢The Sacred Stones｣
MID_BONDSRING_Turner	타나
MID_BONDSRING_H_Turner00	이계의 대륙 마기 발에 있는\n프렐리아 왕국의 왕녀.
MID_BONDSRING_H_Turner01	고귀한 신분이지만 말괄량이로,\n천마를 타고 창을 휘두른다.
MID_BONDSRING_H_Turner02	에이리카와는 사이좋은 친구로\n에이리카를 돕기 위해 성을 뛰쳐나왔다.
MID_BONDSRING_H_Turner03	｢The Sacred Stones｣
MID_BONDSRING_Larchel	라첼
MID_BONDSRING_H_Larchel00	이계의 영웅이자\n사람들을 구하는 정의로운 소녀.
