MID_MENU_YES	예
MID_MENU_REFINE_SHOP_EXCHANGE_SELECT_COUNT	교환할 개수를 선택해 주십시오
MID_MENU_REFINE_SHOP_EXCHANGE_SOURCE	소비되는 정석
MID_MENU_REFINE_SHOP_EXCHANGE_GET	획득하는 정석
MID_MENU_REFINE_SHOP_EXCHANGE_POSSIBLE	교환 가능
MID_MENU_REFINE_SHOP_EXCHANGE_ADJUSTMENT	개수 변경
MID_MENU_REFINE_SHOP_EXCHANGE_IMPOSSIBLE	교환 불가: 더는 소지할 수 없습니다
MID_MENU_REFINE_SHOP_EXCHANGE_Lack	교환 불가: 정석이 부족합니다
MID_MENU_REFINE_SHOP_EXCHANGE_01	다음과 같이 교환하겠습니까?
MID_MENU_REFINE_SHOP_EXCHANGE_02	최대 소지 수 초과 분량은 획득할 수 없습니다\n(초과 분량: \x0E\x01\x00\x00 \x0E\x01\x01\x00개)
MID_MENU_REFINE_SHOP_EXCHANGE_YES	교환하기
MID_MENU_FLEA_MARKET	벼룩시장
MID_MENU_FLEA_MARKET_NOUNIT	가게 보는 사람은 없지만 쇼핑은 할 수 있는 듯하다
MID_MENU_FORTUNE_TELLING_TITLE	점쟁이 오두막
MID_MENU_FORTUNE_TELLING_HELP	점칠 유닛을 선택해 주십시오
MID_MENU_FORTUNE_TELLING_RESULT0	신경 쓰이는 것
MID_MENU_FORTUNE_TELLING_RESULT1	관심 가는 사람
MID_MENU_PROFILE_CARD	신룡 전적 카드
MID_MENU_PROFILE_CARD_HELP	통신 교환 가능한 카드를 확인한다
MID_RINGLIST_SKILLLIST_TITLE	인연 레벨을 올려 얻을 수 있는 능력
MID_RINGLIST_BONDSRING_NAME	인연의 반지
MID_RINGLIST_BONDSRING_NAME_MULTIPLE	인연의 반지
MID_RINGLIST_BONDSRINGLIST_TITLE	인연의 반지가 지닌 능력
MID_MAINMENU_START	처음부터
MID_MAINMENU_CONTINUE	계속하기
MID_MAINMENU_OPTION	옵션
MID_MAINMENU_SAVEDATA_COPY	데이터 복사
MID_MAINMENU_SAVEDATA_DELETE	데이터 삭제
MID_MAINMENU_LANGUAGE_SETTING	언어 변경
MID_MAINMENU_LANGUAGE_SETTING_HELP	게임의 언어를 변경합니다
MID_MAINMENU_LANGUAGE_MESS	텍스트
MID_MAINMENU_LANGUAGE_VOICE	보이스
MID_MAINMENU_LANGUAGE_CONFIRM	언어를 변경하겠습니까?
MID_MAINMENU_LANGUAGE_CONFIRM_YES	변경하기
MID_MAINMENU_PRIVILEFE_LABEL	© Nintendo / INTELLIGENT SYSTEMS
MID_MAINMENU_GAME_VERSION	Ver. \x0E\x01\x00\x00
MID_GAMESTART_PRESS_ANY_BUTTON	PRESS ANY BUTTON
MID_GAMESTART_MODE_TITLE	모드
MID_GAMESTART_PLAYER_NAME_TITLE	이름
MID_GAMESTART_PLAYER_BIRTHDAY_TITLE	생일
MID_GAMESTART_DIFFICULTY_TITLE	난이도
MID_GAMESTART_GROWMODE_TITLE	성장 방식
MID_GAMESTART_NETWORK_SERVICE_TITLE	네트워크
MID_GAMESTART_DIFFICULTY_SELECT_TITLE	난이도 선택
MID_GAMESTART_DIFFICULTY_SELECT_HELP	난이도를 선택해 주십시오
MID_GAMESTART_MODE_SELECT_TITLE	모드 선택
MID_GAMESTART_MODE_SELECT_HELP	모드를 선택해 주십시오
MID_GAMESTART_GROWMODE_SELECT_TITLE	성장 방식 선택
MID_GAMESTART_GROWMODE_SELECT_HELP	유닛의 성장 방식을 선택해 주십시오
MID_GAMESTART_GROEMODE_LOCKED_BY_LUNATIC	난이도 루나틱에서 성장 방식 ｢랜덤｣을 선택하려면\n먼저 루나틱으로 게임을 클리어해야 합니다
MID_GAMESTART_NETWORK_SERVICE_ON	접속
MID_GAMESTART_NETWORK_SERVICE_OFF	미접속
MID_GAMESTART_PLAYER_GENDER_SELECT_TITLE	모습 선택
MID_GAMESTART_PLAYER_GENDER_SELECT_HELP	당신의 모습을 알려 주십시오
MID_GAMESTART_PLAYER_NAME_INPUT	이름을 입력해 주십시오
MID_GAMESTART_PLAYER_NAME_CHECK	이 이름으로 괜찮겠습니까?\n(표시할 수 없는 문자가 있을 경우에는 \x0E\x01\x00\x00 로 표시됩니다)
MID_GAMESTART_PLAYER_NAME_CHECK_YES	예
MID_GAMESTART_PLAYER_NAME_CHECK_NO	다시 입력하기
MID_GAMESTART_PLAYER_BIRTHDAY_INPUT_TITLE	생일 입력
MID_GAMESTART_PLAYER_BIRTHDAY_INPUT_HELP	생일을 알려 주십시오
MID_GAMESTART_PLAYER_BIRTHDAY_INPUT_MONTH	월
MID_GAMESTART_PLAYER_BIRTHDAY_INPUT_DAY	일
MID_GAMESTART_PLAYER_BIRTHDAY_INPUT_MONTH_DAY	\x0E\x01\x00\x00월 \x0E\x01\x01\x00일
MID_GAMESTART_NETWORK_SERVICE_SELECT_TITLE	네트워크 이용 설정
MID_GAMESTART_NETWORK_SERVICE_SELECT_HELP	네트워크에 접속하여 플레이하겠습니까?
MID_GAMESTART_CONFIRM_FINAL	게임을 시작하겠습니까?
MID_GAMESTART_CONFIRM_FINAL_OK	시작하기
