MID_Hub_ThisTime	현재 시간
MID_Hub_Fishing_RainbowTrout	칠색 송어
MID_Hub_H_Fishing_RainbowTrout	일곱 빛깔 무늬를 지닌 라바나 송어의\n친척으로 상당히 희귀하다. 두껍고\n기름진 살이 일품인 환상의 물고기.
MID_Hub_Fishing_EnchantSkipjack	인챈트 가다랑어
MID_Hub_H_Fishing_EnchantSkipjack	특정 조건에서는 어느 정도 낚아 볼 만한\n테프라 가다랑어의 별종이지만 까다로운\n난이도로 환상의 물고기라 불리고 있다.
MID_Hub_DragonRide_NowScore	현재 스코어
MID_Hub_DragonRide_BreakTarget	파괴한 표적
MID_Hub_DragonRide_Target_Pattern	표적 종류
MID_Hub_DragonRide_Target_Normals	노멀
MID_Hub_DragonRide_Target_Normals_Help	일반적인 표적으로\n신룡파가 명중하면 파괴됩니다
MID_Hub_DragonRide_Target_Big	빅
MID_Hub_DragonRide_Target_Big_Help	표적에 명중하면\n주변 표적도 함께 파괴됩니다
MID_Hub_DragonRide_Target_Link	링크
MID_Hub_DragonRide_Target_Link_Help	표적에 명중하면 주변 표적도\n연쇄적으로 파괴됩니다
MID_Hub_DragonRide_Target_Special	스페셜
MID_Hub_DragonRide_Target_Special_Help	표적에 명중하면 일정 시간\n신룡파의 파워가 상승합니다
MID_Hub_DragonRide_Target_Rroulette	룰렛
MID_Hub_DragonRide_Target_Rroulette_Help	모든 표적이 순차로 교체되며\n파괴할 때 표적이 확정됩니다
MID_Hub_DragonRide_Operation	조작 방법
MID_Hub_DragonRide_Operation_Title_Stick	조작 방법: 스틱
MID_Hub_DragonRide_Operation_Title_Gyro	조작 방법: 자이로
MID_Hub_DragonRide_Operation_To_Stick	스틱 조작으로 변경
MID_Hub_DragonRide_Operation_To_Gyro	자이로 조작으로 변경
MID_Hub_DragonRide_Operation_Plus	일시 정지/재개
MID_Hub_DragonRide_Operation_A	신룡파를 쏜다
MID_Hub_DragonRide_Operation_Y	조준 고속 조작
MID_Hub_DragonRide_Operation_StickLR	조준 조작
MID_Hub_DragonRide_Operation_StickLR_Push	조준 리셋
MID_Hub_DragonRide_Operation_StickLR_Push_Sub	누른 쪽의\n자이로 센서가\n활성화됩니다
MID_Hub_DragonRide_Operation_ZLZR	신룡파를 쏜다
MID_Hub_DragonRide_Operation_LR	조준 고속 조작
MID_Hub_DragonRide_Operation_Gyro0	컨트롤러의 기울기: 
MID_Hub_DragonRide_Operation_Gyro1	조준 조작
MID_Hub_DragonRide_Operation_Suspension	드래곤 슈터를 그만둔다
MID_Hub_CafeTerrace_Jukebox	사운드박스
MID_Hub_CafeTerrace_H_Jukebox	솔라넬에서 흐르는 음악을 변경할 수 있다
MID_Hub_CafeTerrace_Board	게시판
MID_Hub_CafeTerrace_Cook	요리
MID_Hub_CafeTerrace_Cook_Choice_Unit	식사할 상대를 2명 선택해 주십시오
MID_Hub_CafeTerrace_Cook_Choice_Menu	요리를 선택해 주십시오
MID_Hub_CafeTerrace_Cook_Choice_Foods	추가할 식재료를 선택해 주십시오
MID_Hub_CafeTerrace_Cook_Specialty	마스터
MID_Hub_CafeTerrace_Cook_StrongPoint	특기
MID_Hub_CafeTerrace_Cook_Experienced	경험 있음
MID_Hub_CafeTerrace_Cook_Challenging	도전
MID_Hub_CafeTerrace_Cook_BasicEffect	기본 효과
MID_Hub_CafeTerrace_Cook_Favorite	요리 취향
MID_Hub_CafeTerrace_Cook_Favorite_Good	선호
MID_Hub_CafeTerrace_Cook_Favorite_Normal	보통
MID_Hub_CafeTerrace_Cook_Favorite_Bad	불호
MID_Hub_CafeTerrace_Cook_Chef	식사 당번
MID_Hub_CafeTerrace_Friend	같이 식사할 동료
MID_Hub_CafeTerrace_CookMenu	만들 요리
MID_Hub_CafeTerrace_Cook_CallFriend	같이 식사할 동료
MID_Hub_CafeTerrace_Cook_RelianceStatus	지원 레벨
MID_Hub_CafeTerrace_Cook_AddFood	추가 식재료
MID_Hub_CafeTerrace_Cook_AddFood_Nothing	없음
MID_Hub_CafeTerrace_Cook_CanAddFood	추가 가능한 식재료
MID_Hub_CafeTerrace_Cook_Confirmation	요리를 시작하겠습니까?
MID_Hub_CafeTerrace_Cook_Everyone	아군 유닛 모두
MID_Hub_CafeTerrace_Cook_Effect_Nothing	능력 변화 없음
MID_Hub_CafeTerrace_Cook_Also	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02은\x02는 추가로
MID_Hub_CafeTerrace_Cook_Workmanship	완성도
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_SS	SS
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_S	S
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_A	A
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_B	B
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_C	C
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_D	D
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_E	E
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_F	F
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_G	G
MID_Hub_CafeTerrace_Bento_Get	남은 요리로 도시락을 만들었다
MID_Hub_CafeTerrace_Bento_Discard	오래된 \x0E\x01\x00\x00\x0E\x0A\x04\x08\x02을\x02를 처분했다
MID_MENU_NOTICE_BOARD_TITLE	게시판
MID_MENU_NOTICE_BOARD_HELP	확인할 정보를 선택해 주십시오
MID_MENU_NOTICE_BOARD_INVESTMENT	왕국 투자
MID_MENU_NOTICE_BOARD_INVESTMENT_HELP	투자할 왕국을 선택해 주십시오
MID_MENU_NOTICE_SOLANEL_INFO	거점 정보
MID_MENU_NOTICE_ACHIEVEMENT	실적
MID_MENU_INVESTMENT_AmountOfMoney	얼마를 투자하겠습니까?
MID_MENU_INVESTMENT_G	\x0E\x01\x00\x00\x0E\x01\x01\x00G
MID_MENU_INVESTMENT_NEXT_LEVEL	다음 레벨까지
MID_MENU_INVESTMENT_TOTAL	지금까지 투자한 금액
MID_MENU_INVESTMENT_LEVEL_EFFECT	레벨 업에 따른 효과
MID_MENU_INVESTMENT_LEVEL_BONUS	레벨 업 보상
MID_MENU_INVESTMENT_RESULT	산책
MID_MENU_INVESTMENT_LEVEL_EFFECT_MAX	레벨 상한 도달
MID_MENU_INVESTMENT_COMPLETE	COMPLETE!
MID_MENU_INVESTMENT_COMPLETE_INFO	최대 레벨까지 투자했습니다
MID_MENU_INVESTMENT_COMPLETE_HELP	\x0E\x08\x02\x04\x02X상세 정보로 내용 확인이 가능합니다
MID_MENU_INVESTMENT_GOLD_ENEMY	금의 이형병 출현율
MID_MENU_INVESTMENT_EXP_ENEMY	은의 이형병 출현율
MID_MENU_INVESTMENT_ANIMAL_ENABLE	사육 방법 습득
MID_MENU_NATIONDATA_TITLE	\x0E\x01\x00\x00에서 획득 가능한 것
MID_MENU_NATIONDATA_REFINE_ITEM	광물
MID_MENU_NATIONDATA_FOOD	식재료
MID_MENU_NATIONDATA_ANIMAL	동물
MID_MENU_INVESTMENT_BONUS_FILENE_1	대수확 팩
MID_MENU_INVESTMENT_BONUS_BRODIA_1	대발굴 팩
MID_MENU_INVESTMENT_BONUS_IRCION_1	회복 팩
MID_MENU_INVESTMENT_BONUS_SOLUM_1	노점상 팩
MID_MENU_INVESTMENT_BONUS_2	민족 의상 팩
MID_MENU_INVESTMENT_BONUS_3	친구 팩
MID_MENU_INVESTMENT_BONUS_4	전통 의상 팩
MID_MENU_INVESTMENT_BONUS_Get	\x0E\x01\x00\x00\x0E\x0A\x04\x08\x02을\x02를 받았습니다
MID_MENU_INVESTMENT_DIALOG_NEXT_ITEM	다음 레벨까지(\x0E\x01\x00\x00)
MID_MENU_SOLANEL_INFO_TITLE	거점 정보
MID_MENU_SOLANEL_INFO_COMMENT	이동하려는 곳을 선택해 주십시오
MID_MENU_SOLANEL_INFO_CONFIRM_TEXT	｢\x0E\x01\x00\x00\x0E\x0A\x05\x0E\x06｣으로\x04｣로 이동하겠습니까?
MID_MENU_SOLANEL_INFO_CONFIRM_YES	이동하기
MID_MENU_ACHIEVEMENT_TITLE	실적
MID_MENU_ACHIEVEMENT_COUNT_TITLE	달성 수
MID_MENU_ACHIEVEMENT_COUNT_UNIT	동료
MID_MENU_ACHIEVEMENT_COUNT_BATTLE	전투
MID_MENU_ACHIEVEMENT_COUNT_SOLANEL	솔라넬
MID_MENU_ACHIEVEMENT_COUNT_SHOP	숍
MID_MENU_ACHIEVEMENT_COUNT_SYSTEM	시스템
MID_MENU_ACHIEVEMENT_COUNT_TOTAL	합계
MID_MENU_ACHIEVEMENT_NOW	현재: 
MID_MENU_ACHIEVEMENT_BONUS	보상: 
MID_MENU_ACHIEVEMENT_CLEAR	CLEAR!
MID_MENU_ACHIEVEMENT_COMPLETE	COMPLETE
MID_MENU_ACHIEVEMENT_DIALOG_MESSAGE	다음 실적의 달성 보상을 받았습니다\n｢\x0E\x01\x00\x00｣
MID_MENU_ACHIEVEMENT_DIALOG_MESSAGE_ALL	실적 달성 보상을 모두 받겠습니까?
MID_MENU_ACHIEVEMENT_DIALOG_MESSAGE_ALLGET	실적 달성 보상을 모두 받았습니다
MID_MENU_ACHIEVEMENT_DIALOG_MESSAGE_ALL_YES	받기
MID_MENU_ACHIEVEMENT_UNIT_HUMAN	명
MID_MENU_ACHIEVEMENT_UNIT_ITEM	개
MID_MENU_ACHIEVEMENT_UNIT_COUNT	회
MID_MENU_ACHIEVEMENT_UNIT_TIME	시간
MID_MENU_ACHIEVEMENT_UNIT_ENEMY	회
MID_MENU_ACHIEVEMENT_Clear_Nothing	달성한 실적이 없습니다
MID_Hub_AnimalCoop_Nothing	아직 동물이 없는 것 같다…
MID_Hub_AnimalCoop_Choice	방목할 동물을 선택해 주십시오
MID_Hub_AnimalCoop_Trade	바꾸기
MID_Hub_AnimalCoop_FreeAnimal	방목할 동물
MID_Hub_AnimalCoop_InAnimal	사육 중인 동물
MID_Hub_AnimalCoop_Number	사육 수
MID_Hub_AnimalCoop_Entrust	위탁
MID_Hub_AnimalCoop_Contact	바라보기
MID_TUT_HUB_RECORD_HALL_TITLE	활동 기록관
MID_TUT_HUB_RECORD_HALL_0	활동 기록관에서는\n｢신룡 전적 카드｣의 열람과 편집을 할 수 있습니다
MID_TUT_HUB_RECORD_HALL_1	거점 메뉴의 ｢동료｣ 항목을 통해서도\n동일한 행동을 할 수 있습니다\n(풍경 인화는 솔라넬 야외에서만 가능합니다)
MID_TUT_HUB_PROFILE_TITLE	신룡 전적 카드
MID_TUT_HUB_PROFILE_0	지금까지 했던 게임 플레이와\n자신의 간단한 프로필을 기록할 수 있는 카드입니다
MID_TUT_HUB_PROFILE_1	통신 기능을 사용하면\n다른 플레이어에게 카드를 공개하거나\n다른 플레이어의 카드를 받을 수 있습니다
MID_TUT_HUB_PROFILE_EDIT_TITLE	전적 카드 편집
MID_TUT_HUB_PROFILE_EDIT_0	｢마이 카드｣에서 자신의 전적 카드를 편집할 수 있습니다
MID_TUT_HUB_PROFILE_EDIT_1	게임 플레이를 계속해서 조건을 달성하면\n선택할 수 있는 표현과 소재가 늘어납니다
MID_TUT_HUB_PROFILE_PHOTO_TITLE	풍경 인화
MID_TUT_HUB_PROFILE_PHOTO_0	전적 카드에 표시할 사진을 인화(촬영)할 수 있습니다
MID_TUT_HUB_PROFILE_PHOTO_1	좋아하는 장소, 동료, 액세서리, 포즈를 선택합니다
MID_TUT_HUB_PROFILE_PHOTO_2	모든 선택이 완료됐으면 \x0E\x08\x02\x0A\x08Plus로\n인화 모드에 들어가고 \x0E\x08\x02\x04\x02L\x0E\x08\x02\x04\x02R을 눌러 인화합니다
MID_TUT_HUB_PROFILE_TRADE_TITLE	전적 카드 교환
MID_TUT_HUB_PROFILE_TRADE_0	계전의 시련과 이계의 시련을 플레이하면\n마이 카드가 업로드되고\n다른 플레이어의 카드를 받을 수 있습니다
MID_TUT_HUB_PROFILE_TRADE_1	공개 설정을 ｢비공개｣로 할 경우\n업로드한 마이 카드를\n다른 플레이어는 받을 수 없게 됩니다
MID_TUT_HUB_PROFILE_TRADE_2	받은 카드는 메뉴에서 열람, 삭제할 수 있습니다
