MID_NET_SettingOn	통신 기능을 사용하겠습니까?\n(네트워크에 접속합니다)
MID_AMIIBO_Ticket_Accessories	\x0E\x08\x02\x14\x12AccTicket｢의상 교환 티켓｣을 획득했습니다
MID_AMIIBO_Touch_Count	읽어 들이기 가능 횟수 \x0E\x01\x00\x00/5
MID_AMIIBO_Touch_Interval	앞으로 \x0E\x01\x00\x00시간 \x0E\x01\x01\x00분 경과 후 회복
MID_AMIIBO_Touch	amiibo를 터치해 주십시오
MID_AMIIBO_Accessories_Attention	사용 불가: 유닛 제한
MID_AMIIBO_Trade_Ticket	｢\x0E\x01\x00\x00｣\n위 품목을 티켓 1장과 교환하겠습니까?\n(현재 티켓 소지 수: \x0E\x01\x01\x00)
MID_AMIIBO_Trade_Ticket_Use	소비 티켓
MID_AMIIBO_Trade_Ticket_Have	티켓 소지 수
MID_AMIIBO_Trade_Music_Select	음악을 선택해 주십시오
MID_AMIIBO_Trade_Ticket_Music	음악 교환 티켓
MID_AMIIBO_Music	음악
MID_AMIIBO_Trade_Accessories_Select	의상을 선택해 주십시오
MID_AMIIBO_Trade_Ticket_Accessories	의상 교환 티켓
MID_AMIIBO_Accessories	의상
MID_AMIIBO_Trade_Nothing	아무것도 없습니다
MID_AMIIBO_Trade_Information	모든 \x0E\x01\x00\x00의 교환이 완료되어\n티켓을 인연의 조각으로 교환했습니다
