MID_TUT_CATEGORY_TITLE_Battle	전투
MID_TUT_GOD_SIGLUD_2	인게이지 무기 ｢나이트 킬러｣는\n기마인 적에게 큰 대미지를 입힙니다
MID_TUT_GOD_SIGLUD_3	인게이지 스킬 ｢질주｣는\n항상 이동이 5 상승합니다
MID_TUT_GOD_SIGLUD_4	인게이지 기술 ｢오버드라이브｣는\n일직선으로 늘어선 적을 공격하면서\n반대편까지 뚫고 나가는 기술입니다
MID_TUT_GOD_CELICA_TITLE	문장사 세리카
MID_TUT_GOD_CELICA_0	｢문장사 세리카｣는 마법 공격이 특기로\n｢이형병｣ 등 이형의 적에 대해 강한 효과를 발휘합니다
MID_TUT_GOD_CELICA_1	싱크로 스킬 ｢이형 리벤지｣는\n이형의 적에게 받은 대미지 일부를\n상대에게 되돌려 줍니다
MID_TUT_GOD_CELICA_2	인게이지 무기 ｢엔젤｣은\n이형의 적에게 큰 대미지를 입힙니다
MID_TUT_GOD_CELICA_3	인게이지 스킬 ｢중창｣은\n대미지 50%의 마법 공격에 의한 전투를\n2회 치를 수 있습니다
MID_TUT_GOD_CELICA_4	인게이지 기술 ｢워프라이나｣는\n떨어진 적이 있는 곳까지 워프해서\n강력한 마법 공격을 합니다
MID_TUT_GOD_MICAIAH_TITLE	문장사 미카야
MID_TUT_GOD_MICAIAH_0	｢문장사 미카야｣는 높은 마력과 치유의 힘으로\n아군을 회복시키는 것이 특기입니다
MID_TUT_GOD_MICAIAH_1	싱크로 스킬 ｢지팡이 숙련｣은\n싱크로 중인 아군의 병과와 상관없이\n지팡이를 사용할 수 있습니다
MID_TUT_GOD_MICAIAH_2	인게이지 무기 ｢샤인｣은\n빛 마법으로 공격한 후에\n주위를 밝게 밝힐 수 있습니다
MID_TUT_GOD_MICAIAH_3	인게이지 스킬 ｢증폭｣은\n지팡이의 사정거리와 효과 범위가 증가합니다
MID_TUT_GOD_MICAIAH_4	인게이지 기술 ｢위대한 치유의 손｣은\n사용자의 HP를 대가로\n아군 전체의 HP를 모두 회복시킵니다
MID_TUT_GOD_ROY_TITLE	문장사 로이
MID_TUT_GOD_ROY_0	｢문장사 로이｣는 공수 밸런스가 뛰어나\n최전선에서 활약하는 것이 특기입니다
MID_TUT_GOD_ROY_1	싱크로 스킬 ｢분발｣은 전투 개시 시점의 HP가\n일정 수치 이상이라면, 전투 불능이 되는 대미지를\n받아도 HP를 1 남긴 채로 버틸 수 있게 해 줍니다
MID_TUT_GOD_ROY_2	인게이지 무기 ｢랜스 버스터｣는 무기의 상성이\n역전되며 창을 든 적을 브레이크시킬 수 있습니다\n(도끼를 든 적에게 브레이크됩니다)
MID_TUT_GOD_ROY_3	인게이지 스킬 ｢초월｣은\n일시적으로 레벨 업해서\n능력을 대폭으로 강화합니다
MID_TUT_GOD_ROY_4	인게이지 기술 ｢사자 홍련 염무｣는\n전방에 있는 다수의 적에게 대미지를 입히고\n이동을 방해하는 ｢화염｣을 발생시킵니다
MID_TUT_GOD_LEAF_TITLE	문장사 리프
MID_TUT_GOD_LEAF_0	｢문장사 리프｣는 무기를 다채롭게 다루며\n상황에 맞춰 싸울 수 있습니다
MID_TUT_GOD_LEAF_1	싱크로 스킬 ｢급소 회피｣는\n무기 상성이 유리할 때\n받는 대미지가 감소합니다
MID_TUT_GOD_LEAF_2	인게이지 무기 ｢킬러 액스｣는\n필살의 일격을 가할 확률이 상승하는 도끼입니다
MID_TUT_GOD_LEAF_3	인게이지 스킬 ｢즉응｣은 적으로부터 공격받을 때\n자동으로 유리한 무기로 교체해서 반격합니다
MID_TUT_GOD_LEAF_4	인게이지 기술 ｢테트라트릭｣은\n검, 창, 도끼, 활로 연속 공격을 해서\n높은 확률로 적을 브레이크시킬 수 있습니다
MID_TUT_GOD_LIN_TITLE	문장사 린
MID_TUT_GOD_LIN_0	｢문장사 린｣은 맹공을 퍼부어 상대에게\n반격할 틈을 주지 않고 승리하는 전법이 특징입니다
MID_TUT_GOD_LIN_1	싱크로 스킬 ｢연속 공격｣은\n공격 대상보다 속도가 크게 우위일 때\n상대가 반격하기 전에 추격하게 해 줍니다
MID_TUT_GOD_LIN_2	인게이지 무기 ｢킬러 보우｣는\n필살의 일격을 가할 확률이 상승하는 활입니다
MID_TUT_GOD_LIN_3	인게이지 스킬 ｢잔상｣은 주위에 잔상을 생성해\n｢체인 어택｣에 참가시키거나\n｢미끼｣로 이용할 수 있습니다
MID_TUT_GOD_LIN_4	인게이지 기술 ｢유성군｣은\n활을 이용한 초장거리 5연격으로\n적을 일방적으로 공격할 수 있습니다
MID_TUT_GOD_LUCINA_TITLE	문장사 루키나
MID_TUT_GOD_LUCINA_0	｢문장사 루키나｣는 동료와 함께 싸우는 것이 특기로\n아군과 가까이서 싸울 때 큰 힘을 발휘합니다
MID_TUT_GOD_LUCINA_1	싱크로 스킬 ｢듀얼 어택｣은\n싱크로 중인 아군의 전투 스타일과 상관없이\n｢체인 어택｣에 참가할 수 있게 해 줍니다
MID_TUT_GOD_LUCINA_2	인게이지 무기 ｢노블 레이피어｣는\n기마인 적과 중갑병에게 큰 대미지를 입힙니다
MID_TUT_GOD_LUCINA_3	인게이지 스킬 ｢인연 방패｣는\n인접한 모든 아군이 받는 공격을\n높은 확률로 무효화합니다
MID_TUT_GOD_LUCINA_4	인게이지 기술 ｢올 포 원｣을 사용하면\n주위 2칸 이내의 아군이 전투 스타일과\n상관없이 ｢체인 어택｣에 참가합니다
MID_TUT_GOD_IKE_TITLE	문장사 아이크
MID_TUT_GOD_IKE_0	｢문장사 아이크｣는 공격력·내구력이 뛰어나며\n대미지를 받을수록 큰 힘을 발휘합니다
MID_TUT_GOD_IKE_1	싱크로 스킬 ｢용장｣은\nHP가 감소했을 때\n수비와 마방이 상승합니다
MID_TUT_GOD_IKE_2	인게이지 무기 ｢해머｣는\n적을 스매시할 수 있으며\n중갑병에게 큰 대미지를 입힙니다
MID_TUT_GOD_IKE_3	인게이지 스킬 ｢부동｣은\n회피가 0이 되는 대신\n받는 대미지를 반감합니다
MID_TUT_GOD_IKE_4	인게이지 기술 ｢패극·에테르｣는\n1턴 동안 수비에 집중하며 적의 공격을 버티고\n다음 턴에 범위 공격을 한 뒤, HP를 회복합니다
MID_TUT_GOD_KAMUI_TITLE	문장사 카무이
MID_TUT_GOD_KAMUI_0	｢문장사 카무이｣는 적의 행동과 지형 효과를 제어해\n전황을 유리하게 컨트롤할 수 있습니다
MID_TUT_GOD_KAMUI_1	싱크로 스킬 ｢용맥｣은 싱크로 중인 아군의\n전투 스타일에 따라 다양한 효과를 지형에 부여하고\n그 지형의 ｢화염｣, ｢독기｣ 등의 효과를 제거합니다
MID_TUT_GOD_KAMUI_2	인게이지 무기 ｢역도｣는 무기의 상성이\n역전되며 창을 든 적을 브레이크시킬 수 있습니다\n(도끼를 든 적에게 브레이크됩니다)
MID_TUT_GOD_KAMUI_3	인게이지 스킬 ｢주박｣은 직접 공격 시,\n공격한 상대와 그 주위 1칸 이내의 적을\n1턴 동안 이동할 수 없게 만듭니다
MID_TUT_GOD_KAMUI_4	인게이지 기술 ｢용천포｣는 전방에 늘어선 적을\n한꺼번에 공격하면서 지형에 ｢웅덩이｣를 부여합니다\n(용맥과 같이 ｢독기｣ 등의 효과를 제거합니다)
MID_TUT_GOD_BYLETH_TITLE	문장사 벨레트
MID_TUT_GOD_BYLETH_0	｢문장사 벨레트｣는 아군들의 능력을 상승시켜\n전투를 승리로 이끌어 나갑니다
MID_TUT_GOD_BYLETH_1	싱크로 스킬 ｢천각의 박동｣은\n원래라면 빗나가야 할 공격이라도\n일정 확률로 명중하게끔 만들어 줍니다
MID_TUT_GOD_BYLETH_2	인게이지 무기 ｢영웅의 유산｣은\n인게이지 중인 동료의 전투 스타일에 따라\n특수한 장비를 사용할 수 있습니다
MID_TUT_GOD_BYLETH_3	인게이지 스킬 ｢지도｣는\n주위 아군의 기본 능력을 상승시킵니다
MID_TUT_GOD_BYLETH_4	인게이지 기술 ｢계략: 여신의 춤｣은\n인접한 아군 모두를 재행동시키고\n기본 능력을 상승시킵니다
MID_TUT_GOD_EIRIK_TITLE	문장사 에이리카
MID_TUT_GOD_EIRIK_0	｢문장사 에이리카｣는 쌍둥이 오빠인 에브라임과 교대하며\n상황에 따라 능력을 바꿔 싸울 수 있습니다
MID_TUT_GOD_EIRIK_1	싱크로 스킬 ｢달의 팔찌｣는\n공격할 적의 수비가 높을수록\n입히는 대미지를 상승시킵니다
MID_TUT_GOD_EIRIK_2	인게이지 무기 ｢레이피어｣는\n기마인 적과 중갑병에게 큰 대미지를 입힙니다
MID_TUT_GOD_EIRIK_3	인게이지 스킬 ｢쌍성｣은\n에이리카의 스킬과 에브라임의 스킬을\n동시에 발동시킵니다
MID_TUT_GOD_EIRIK_4	인게이지 기술 ｢트윈 스트라이크｣는\n검과 창을 이용한 공격으로 브레이크시키기 쉽고\n이형의 적에게 큰 대미지를 입힙니다
MID_TUT_GOD_LUEUR_TITLE	문장사 \x0E\x06\x03\x00
MID_TUT_GOD_LUEUR_0	문장사 ｢\x0E\x06\x03\x00\x0E\x0A\x04\x0C\x04｣은\x04｣는 싱크로할 필요가 없으며\n출격 중에 ｢인게이지+｣를 사용하면\n그 장소에 있는 누구와도 인게이지할 수 있습니다
MID_TUT_GOD_LUEUR_1	싱크로 스킬 ｢인연을 잇는 자｣는\n자신과 가까이에서 싱크로·인게이지하고 있는\n아군의 명중과 회피를 상승시킵니다
MID_TUT_GOD_LUEUR_2	인게이지 무기 ｢라일라시온｣은\n직접 공격해서 적을 격파할 시, 인접하고 있는\n싱크로 중인 아군의 인게이지 카운트가 늘어납니다
MID_TUT_GOD_LUEUR_3	인게이지 스킬 ｢이심｣은\n직접 공격해서 적을 격파할 시\n인게이지 상대의 기본 능력이 대폭 상승합니다
MID_TUT_GOD_LUEUR_4	인게이지 기술 ｢신룡파｣는 검과 빔(마법)의 연격으로\n적의 수비와 마방이 높아도 큰 대미지를 입힙니다
MID_TUT_GOD_LUEUR_KL_TITLE	문장사 \x0E\x06\x03\x00의 인연 레벨
MID_TUT_GOD_LUEUR_KL_0	문장사 \x0E\x06\x03\x00의 ｢인연 레벨｣은\n다른 문장사들과 달리, 인연 경험치가 아니라\n동료와의 지원 레벨이 오르면 상승합니다
MID_TUT_GOD_LUEUR_KL_1	동료와의 지원 레벨 C 미만은 ｢인연 레벨 1｣,\nC는 ｢인연 레벨 5｣, B는 ｢인연 레벨 10｣,\nA는 ｢인연 레벨 20｣으로 설정됩니다
MID_TUT_ENGAGE_PLUS_TITLE	인게이지+
MID_TUT_ENGAGE_PLUS_0	\x0E\x06\x03\x00의 인게이지 카운트가 찬 상태에서\n인게이지하려는 동료와 인접하면\n｢인게이지+｣를 선택할 수 있습니다
MID_TUT_ENGAGE_PLUS_1	선택한 상대와 문장사 \x0E\x06\x03\x00\x0E\x0A\x04\x08\x02이\x02가\n인게이지하게 되고 그와 동시에\n\x0E\x06\x03\x00도 인게이지 상태가 됩니다
MID_TUT_ENGAGE_PLUS_2	인게이지 상대와 인접한 상태에서는\n인게이지 기술이 ｢인연·신룡파｣로 변하며\n강력한 공격을 할 수 있습니다
MID_TUT_BMAP_SORTIE_TITLE	출격 준비
MID_TUT_BMAP_SORTIE_0	전투를 개시하기 전에 출격할 동료를 고르거나\n문장사의 반지\x0E\x01\x08\x00와 소지품을 선택하는\n｢출격 준비｣를 할 수 있습니다
MID_TUT_BMAP_SORTIE_1	준비를 마치고 ｢전투 개시｣를 선택하면\n전장으로 출격합니다
MID_TUT_BMAP_UNIT_SELECT_TITLE	유닛 편성
MID_TUT_BMAP_UNIT_SELECT_0	｢유닛 편성｣에서는\n맵에 출격시킬 멤버를 선택할 수 있습니다\n\x0E\x08\x02\x04\x02A를 눌러 \x0E\x08\x02\x16\x14IconSortie ON/OFF를 할 수 있습니다
MID_TUT_BMAP_UNIT_SELECT_1	｢녹색 테두리｣가 붙어 있는 아군은\n해당 맵으로 출격하는 것이\n이미 정해져 있어 변경할 수 없습니다
MID_TUT_BMAP_UNIT_SELECT_2	출격 가능한 아군의 수는\n전투 맵마다 정해져 있습니다
MID_TUT_BMAP_MAPVERIFICATION_TITLE	배치 변경
MID_TUT_BMAP_MAPVERIFICATION_0	｢배치 변경｣에서는 출격 시,\n아군의 위치를 변경할 수 있습니다
MID_TUT_BMAP_MAPVERIFICATION_1	우선 위치를 변경하려는 아군을 \x0E\x08\x02\x04\x02A로 선택하십시오
MID_TUT_BMAP_MAPVERIFICATION_2	그리고 다른 아군을 \x0E\x08\x02\x04\x02A로 선택하면\n두 명의 위치를 바꿀 수 있습니다\n(위치를 변경할 수 없는 아군도 있습니다)
MID_TUT_BMAP_MAPVERIFICATION_3	배치 변경 중 커서를 움직여서\n지형 정보나 적의 능력도 확인할 수 있습니다
MID_TUT_BMAP_HERALDICCHOICE_TITLE	문장사의 반지\x0E\x01\x08\x00
MID_TUT_BMAP_HERALDICCHOICE_0	｢문장사의 반지\x0E\x01\x08\x00｣에서는\n아군과 싱크로할 문장사를 결정하거나\n변경할 수 있습니다
MID_TUT_BMAP_HERALDICCHOICE_1	｢아군 유닛｣→｢반지\x0E\x01\x08\x00｣의 순서로 선택해\n조합을 결정할 수 있습니다
MID_TUT_BMAP_GETTINGDRESSED_TITLE	정비
MID_TUT_BMAP_GETTINGDRESSED_0	｢정비｣에서는 출격 중에 사용할 무기나\n아이템을 정리할 수 있습니다
MID_TUT_BMAP_GETTINGDRESSED_1	｢소지품 정리｣, ｢소지품 교환｣에서는\n아군이 가진 무기나 도구를 정리하거나\n수송대나 다른 아군과 교환할 수 있습니다
MID_TUT_BMAP_GETTINGDRESSED_2	｢장비 위임｣을 선택하면\n소지하고 있는 아이템 중에서\n적합한 것을 자동으로 선택합니다
MID_TUT_BMAP_GETTINGDRESSED_3	｢모두 위탁｣을 선택하면\n가지고 있는 아이템을 모두 수송대로 보냅니다
MID_TUT_BMAP_EQUIP_SKILL_TITLE	스킬 변경
MID_TUT_BMAP_EQUIP_SKILL_0	｢정비｣의 ｢스킬 변경｣에서\n현재 습득한 ｢스킬｣을 확인할 수 있으며\n｢계승 스킬｣을 변경할 수 있습니다
MID_TUT_BMAP_EQUIP_SKILL_1	｢계승 스킬｣은 솔라넬의 ｢문장사의 방｣ 등에서\n문장사로부터 계승할 수 있습니다
MID_TUT_BMAP_CLASSCHANGE_TITLE	클래스 체인지
MID_TUT_BMAP_CLASSCHANGE_0	｢마스터 프루프｣를 소지하고 있으면\n레벨이 10 이상인 아군을\n상급 병과로 ｢클래스 체인지｣할 수 있습니다
MID_TUT_BMAP_CLASSCHANGE_1	상급 병과로 전직하면 능력이 상승하거나\n사용할 수 있는 무기가 늘어나는 등\n유닛이 강화됩니다
MID_TUT_BMAP_CLASSCHANGE_2	｢체인지 프루프｣를 가지고 있으면\n같은 직위이면서 계통이 다른 병과로\n｢클래스 체인지｣할 수 있습니다
MID_TUT_BMAP_CLASSCHANGE_3	｢클래스 체인지｣는 ｢정비｣에서 할 수 있습니다
MID_TUT_BMAP_APTITUDE_TITLE	소질
MID_TUT_BMAP_APTITUDE_0	다른 병과로 클래스 체인지를 하려면\n특정 ｢소질｣이 필요합니다
MID_TUT_BMAP_APTITUDE_1	처음부터 가지고 있는 소질을 ｢천성 소질｣이라고 하며\n천성 소질을 활용할 수 있는 병과로 클래스 체인지하면\n뛰어난 재능을 발휘할 수 있습니다
MID_TUT_BMAP_APTITUDE_2	가지고 있지 않은 ｢소질｣은 문장사로부터\n계승받아 획득할 수 있으며\n원하는 병과를 고를 수 있습니다
MID_TUT_GMAP_BASIC_TITLE	월드 맵
MID_TUT_GMAP_BASIC_0	다음 장 및 목적지로의 이동은\n｢월드 맵｣을 통해 진행됩니다
MID_TUT_GMAP_BASIC_1	목적지로 \x0E\x06\x03\x00\x0E\x0A\x04\x08\x02을\x02를 이동시킨 뒤,\n\x0E\x08\x02\x04\x02A를 누르면 메뉴가 열리고\n스토리를 진행할 수 있습니다
MID_TUT_GMAP_BASIC_2	메뉴를 통해 정비하거나\n솔라넬로 되돌아갈 수 있습니다
MID_TUT_GMAP_SIDE_TITLE	외전
MID_TUT_GMAP_SIDE_0	게임을 플레이하면, 월드 맵상에\n｢외전 맵｣이 출현하기도 합니다
MID_TUT_GMAP_SIDE_1	들르는 것은 자유지만\n새로운 동료를 만날 수 있는 등,\n좋은 일이 발생하기도 하므로 방문해 봅시다
MID_TUT_GMAP_ENCOUNT_TITLE	조우전
MID_TUT_GMAP_ENCOUNT_0	지금까지 지나온 월드 맵상에\n이형병이나 그 나라의 병사들이\n출현하기도 합니다
MID_TUT_GMAP_ENCOUNT_1	그곳까지 이동하면 ｢조우전｣이나\n｢훈련｣을 치를 수 있습니다
MID_TUT_GMAP_ENCOUNT_2	일반 전투처럼 경험치를 획득할 수 있으며\n골드나 아이템을 획득할 수도 있으므로\n적절히 활용해 봅시다
MID_TUT_GMAP_RANKING_TITLE	출격 랭킹
MID_TUT_GMAP_RANKING_0	네트워크에 접속하면 전 세계의 플레이어가\n이 맵에서 어느 유닛과 문장사를 출격시켰는지\n랭킹 형식으로 확인할 수 있습니다
MID_TUT_GMAP_RANKING_1	유닛 편성에서 출격시킬 아군을 선택할 때\n어느 아군을 출격시킬지 참고할 수 있습니다
MID_TUT_KR_KIZUNARESULT_TITLE	산책
MID_TUT_KR_KIZUNARESULT_0	전투가 종료되면 ｢산책｣이 시작되고\n주위를 거닐며 동료와 대화할 수 있습니다
MID_TUT_KR_KIZUNARESULT_1	가끔 아이템이 떨어져 있으므로\n구석구석 탐색해 봅시다
MID_TUT_KR_KIZUNARESULT_2	산책을 종료하려면 출구를 이용하거나\n\x0E\x08\x02\x0A\x08Plus로 메뉴를 열어 ｢다음으로 넘어가기｣를 선택합시다
MID_TUT_KR_KIZUNAPIECE_TITLE	인연의 조각
MID_TUT_KR_KIZUNAPIECE_0	산책 중 동료와 대화를 나누면\n｢인연의 조각｣을 받을 수 있습니다
MID_TUT_KR_KIZUNAPIECE_1	｢인연의 조각｣은 솔라넬에서\n문장사와 단련하거나\n인연의 반지를 정제할 때 사용됩니다
MID_TUT_KR_KIZUNAPIECE_2	｢산책｣을 종료할 때, 아직 ｢인연의 조각｣을\n받을 수 있는 동료가 남아 있는 경우에도\n자동으로 남아 있는 ｢인연의 조각｣을 획득할 수 있습니다
MID_TUT_HUB_BASIC_TITLE	거점
MID_TUT_HUB_BASIC_0	거점 ｢솔라넬｣에서는 다음 전투의 준비나\n동료들과의 교류 등을 할 수 있습니다
MID_TUT_HUB_BASIC_1	처음에는 할 수 있는 것이 적지만\n스토리를 진행하면서\n이용할 수 있는 시설이 점차 늘어납니다
MID_TUT_HUB_BASIC_2	준비를 마치고 다음 장으로 이동하려면\n엔트런스에 있는 출구나 메뉴에서\n｢다음으로 넘어가기｣를 선택해 주십시오
MID_TUT_HUB_CENTRALLOBBY_OPEN	｢카페테라스｣를 이용할 수 있게 되었습니다
MID_TUT_HUB_CENTRALLOBBY_TITLE	카페테라스
MID_TUT_HUB_CENTRALLOBBY_0	｢카페테라스｣는\n동료들이 모이는 휴식 공간으로\n다양한 시설이 모여 있습니다
MID_TUT_HUB_CENTRALLOBBY_1	｢사운드박스｣에서는\n솔라넬에 흐르는 음악을\n원하는 것으로 변경할 수 있습니다
MID_TUT_HUB_CENTRALLOBBY_2	｢게시판｣에서는 ｢거점 정보｣를 볼 수 있습니다\n또한, 각국에 ｢투자｣하거나\n지금까지의 ｢실적｣을 확인할 수 있습니다
MID_TUT_HUB_INVESTMENT_TITLE	왕국 투자
MID_TUT_HUB_INVESTMENT_0	｢왕국 투자｣에서는 각국에 골드를 투자할 수 있습니다\n일정 금액을 초과하면 레벨이 상승하고\n레벨에 따라 감사의 표시로 보상을 받을 수 있습니다
MID_TUT_HUB_INVESTMENT_1	또한 투자 레벨이 상승한 왕국에서는\n조우전에서 희귀한 적이 출현하기 쉬워지며\n골드나 경험치도 얻기 쉬워집니다
MID_TUT_HUB_INVESTMENT_2	그리고 그 왕국에서 산책 시\n발견할 수 있는 소재가 늘어나는 등,\n여러 장점이 있으므로 여유가 있으면 투자해 봅시다
MID_TUT_HUB_INFORMATION_TITLE	거점 정보
MID_TUT_HUB_INFORMATION_0	｢거점 정보｣에서는\n솔라넬에 있는 동료의 위치나\n시설의 상황에 대한 정보를 확인할 수 있습니다
MID_TUT_HUB_INFORMATION_1	구역을 선택하면\n그곳까지 순식간에 이동할 수 있습니다
MID_TUT_HUB_ACHIEVEMENT_TITLE	실적
MID_TUT_HUB_ACHIEVEMENT_0	｢실적｣에서는 게임 내에서 달성한\n여러 행동에 대한 보상으로\n｢인연의 조각｣을 받을 수 있습니다
MID_TUT_HUB_ACHIEVEMENT_1	실적을 달성하면 알림이 도착하므로\n잊지 말고 받아 둡시다
MID_TUT_HUB_MYROOM_TITLE	마이 룸
MID_TUT_HUB_MYROOM_0	｢마이 룸｣은 \x0E\x06\x03\x00\x0E\x0A\x04\x08\x02이\x02가 잠들어 있던 곳으로\n｢마이 베드｣가 놓여져 있습니다
MID_TUT_HUB_MYROOM_1	｢휴식｣을 선택하면 베드에서 휴식을 취하고\n솔라넬의 시간이 조금 지납니다
MID_TUT_HUB_MYROOM_2	｢휴식｣을 취하고 있으면\n뭔가 특별한 일이 일어날 수도 있습니다\n(헤드폰 사용을 추천드립니다)
MID_TUT_HUB_MYROOM_3	｢추억｣을 선택하면\n지금까지 본 지원 회화나 무비를\n다시 감상할 수 있습니다
MID_TUT_HUB_MYROOM_4	｢난이도 변경｣을 선택하면\n게임의 난이도를 변경할 수 있습니다\n(노멀인 경우에는 변경할 수 없습니다)
MID_TUT_HUB_WEAPONSHOP_OPEN	｢무기점｣과 ｢도구점｣이 오픈했습니다
MID_TUT_HUB_WEAPONSHOP_TITLE	무기점
MID_TUT_HUB_WEAPONSHOP_0	｢무기점｣에서는\n전투에서 사용할 무기를 거래할 수 있습니다
MID_TUT_HUB_WEAPONSHOP_1	처음에는 상품이 적지만\n스토리 진행에 따라\n새로운 상품이 점차 늘어납니다
MID_TUT_HUB_ITEMSHOP_TITLE	도구점
MID_TUT_HUB_ITEMSHOP_0	｢도구점｣에서는\n｢상처약｣이나 ｢지팡이｣ 같은\n전투에서 사용하는 아이템을 거래할 수 있습니다
MID_TUT_HUB_ITEMSHOP_1	처음에는 상품이 적지만\n스토리 진행에 따라\n종류가 점차 늘어납니다
MID_TUT_HUB_HERALDICSPACE_OPEN	｢문장사의 방｣에 들어갈 수 있게 되었습니다
MID_TUT_HUB_HERALDICSPACE_TITLE	문장사의 방
MID_TUT_HUB_HERALDICSPACE_0	｢문장사의 방｣에서는 문장사와 관련된\n다양한 활동을 할 수 있습니다. ｢스킬 계승｣에서는\n문장사가 지닌 스킬을 계승할 수 있습니다
MID_TUT_HUB_HERALDICSPACE_1	｢인연의 반지 정제｣, ｢인연의 반지 합성｣에서는\n인연의 조각을 이용해 ｢인연의 반지｣를 정제하거나\n합성해서 강화할 수 있습니다
MID_TUT_HUB_HERALDICSPACE_2	｢반지\x0E\x01\x08\x00 닦기｣에서는\n전투로 더러워진 ｢문장사의 반지\x0E\x01\x08\x00｣를 닦아\n문장사와의 인연을 높일 수 있습니다
MID_TUT_HUB_INHERITSKILL_TITLE	스킬 계승
MID_TUT_HUB_INHERITSKILL_0	｢스킬 계승｣에서는\n아군 유닛에게 문장사의 스킬을\n계승할 수 있습니다
MID_TUT_HUB_INHERITSKILL_1	｢스킬 계승｣을 하려면 문장사와 싱크로하거나\n｢인연의 반지｣를 장비하거나 해서 싸우면 쌓이는 ｢SP｣,\n해당 문장사와 일정 이상의 ｢인연 레벨｣이 필요합니다
MID_TUT_HUB_INHERITSKILL_2	계승한 스킬은 ｢정비｣의 ｢스킬 변경｣에서\n장비하면 효과를 발휘합니다
MID_TUT_HUB_INHERITSKILL_3	싱크로 중인 문장사의 ｢싱크로 스킬｣과 동일한 스킬은\n장비해도 효과가 발동하지 않으므로\n중복되지 않도록 장비하면 효과적입니다
MID_TUT_HUB_CREATE_RING_TITLE	인연의 반지 정제
MID_TUT_HUB_CREATE_RING_0	인연의 조각을 사용해\n｢인연의 반지｣를 정제할 수 있습니다
MID_TUT_HUB_CREATE_RING_1	반지를 장비하면 능력이 상승하며\n｢문장사의 반지\x0E\x01\x08\x00｣만큼은 아니지만\n전투에서 SP를 모을 수 있습니다
MID_TUT_HUB_ENGWEAPON_REFINE_OPEN	｢문장사의 방｣에서\n｢인게이지 무기 강화｣를 할 수 있게 되었습니다
MID_TUT_HUB_ENGWEAPON_REFINE_TITLE	인게이지 무기 강화
MID_TUT_HUB_ENGWEAPON_REFINE_0	문장사의 ｢인게이지 무기｣는 다음 강화를 할 수 있습니다\n·문정석을 사용한 각종 능력의 상승\n·특효의 책을 사용한 각종 특효의 부여
MID_TUT_HUB_ENGWEAPON_REFINE_1	강화에 필요한 소재는 ｢시련의 별채｣의\n｢연전의 시련｣ 및 ｢계전의 시련｣에 도전하면\n획득할 수 있습니다
MID_TUT_HUB_ENGWEAPON_REFINE_2	각 인게이지 무기에는\n｢강화 한계치｣가 존재하며\n그 한계치를 초과하는 강화는 할 수 없습니다
MID_TUT_HUB_ENGWEAPON_REFINE_3	강화는 리셋하면 몇 번이고 다시 강화할 수 있습니다\n또한, 문장사가 여러 동료들과 인연 레벨을 높이면\n｢강화 한계치｣가 상승하여 추가 강화가 가능합니다
MID_TUT_HUB_MASCOT_OPEN	종유굴에서 신비한 기척이 느껴집니다
MID_TUT_HUB_MASCOT_TITLE	\x0E\x06\x05\x00
MID_TUT_HUB_MASCOT_0	｢\x0E\x06\x05\x00\x0E\x0A\x04\x0C\x04｣은\x04｣는 오랜 옛날부터\n이 땅을 지키는 신비한 생명체입니다
MID_TUT_HUB_MASCOT_1	소중하게 돌봐 주면\n뭔가 좋은 일이 생길지도 모릅니다
MID_TUT_HUB_MUSCLEEXERCISES_OPEN	｢근육 체조｣를 할 수 있게 되었습니다!
MID_TUT_HUB_MUSCLEEXERCISES_TITLE	근육 체조
MID_TUT_HUB_MUSCLEEXERCISES_0	｢근육 체조｣는 3종류의 운동에 도전해\n\x0E\x06\x03\x00의 기본 능력을 일시적으로\n상승시킬 수 있는 액티비티입니다
MID_TUT_HUB_MUSCLEEXERCISES_1	체조의 종류에 따라 조작 방법과\n상승하는 능력이 달라집니다\n모든 체조에서 최고 평가를 노려 봅시다!
MID_TUT_HUB_MUSCLEEXERCISES_2	스토리를 진행하면 더 높은 난이도가\n추가될지도 모릅니다
MID_TUT_HUB_ME_PUSHUPS_TITLE	팔 굽혀 펴기
MID_TUT_HUB_ME_PUSHUPS_0	｢팔 굽혀 펴기｣는 타이밍이 생명!\n가속하는 바를 최적의 위치에서 멈춥시다\n세 번 실패하면 종료됩니다
MID_TUT_HUB_ME_PUSHUPS_1	바의 스피드는 점점 빨라지므로\n집중력을 잃지 않도록 주의합시다
MID_TUT_HUB_ME_PUSHUPS_2	노려라 Perfect Body!
MID_TUT_HUB_ME_SITUP_TITLE	복근 트레이닝
MID_TUT_HUB_ME_SITUP_0	｢복근 트레이닝｣은 버튼 연타 체력이 생명!\n재빠른 연타로 바를 맨 위까지 밀어 올립시다\n맨 아래까지 바가 떨어지면 종료됩니다
MID_TUT_HUB_ME_SITUP_1	게이지를 빠르게 채울수록 고득점을 할 수 있지만\n점점 어려워집니다
MID_TUT_HUB_ME_SITUP_2	노려라 Perfect Body!
MID_TUT_HUB_ME_SQUAT_TITLE	스쿼트
MID_TUT_HUB_ME_SQUAT_0	｢스쿼트｣는 리듬감이 생명!\n나오는 지시에 맞춰 \x0E\x08\x02\x0E\x0CStickL\x0E\x08\x02\x0E\x0CStickR을 조작합시다\n세 번 실패하면 종료됩니다
