MID_FRIENDLIST_Vandre_TextD	[초기 병과]팔라딘\n[생일]11월 26일\n[비고]제32대 용의 수호자.\n부유섬에 있는 별궁 솔라넬에\n잠든 \x0E\x06\x03\x00\x0E\x0A\x04\x08\x02을\x02를\n보살피고 있었다.
MID_FRIENDLIST_Kagetsu_TextC	[좋아하는 것]\n무기, 연회, 놀이, 단련, 물고기,\n휴대 식량, 일식, 주먹밥,\n자기와 어울려 주는 사람\n[싫어하는 것]\n청소, 독서, 요리, 유제품,\n연달아 나오는 양식, 냉정한 태도
MID_FRIENDLIST_Kagetsu_TextB	[취미]대련, 데이트\n[특기]도장 깨기, 친구 사귀기, 예지\n[내력]솔룸 왕국 출신.\n비경인 백의 사막에서 태어났다.\n고위 귀족 가문을 이을 사람이었지만\n바깥세상을 영영 알 수 없게 될 거라\n생각해 편지를 두고 고향을 떠났다.\n강자를 찾다 이르시온에 오게 됐다.
MID_FRIENDLIST_Kagetsu_TextA	[키]178cm\n[약지 반지 사이즈]17호\n[성격]밝고 기운차며 사람을 좋아해\n일단 대화를 나눴으면 친구로 여긴다.\n타산적이지 않고 솔직하며 어머니가\n무녀였기 때문에 예지 능력이 있지만\n예지 가능한 내용은 미묘하다.\n동료들 중 가장 주먹밥을 좋아한다.
MID_FRIENDLIST_Kagetsu_TextS	[파트너로서의 일상]\n감정 표현이 한층 더 솔직해졌으며\n만날 때마다 주저 없이 좋아한다고\n말한다. 싸울 때만큼은 진지한 눈으로\n파트너를 살피며 지켜보고 있다.\n약속의 반지를 받은 게 너무 기뻐서\n어디를 가든 끼고 다니고 있다 보니\n잃어버릴 뻔한 적도 많다.
MID_FRIENDLIST_Hortensia_TextD	[초기 병과]테이머\n[생일]6월 3일\n[비고]이르시온 왕국 제2왕녀.\n아이비의 이복동생이며 로사도,\n골드마리를 신하로 두고 있다.\n아버지인 하이아신스 왕을 따라\n신룡군과 수차례 적대했지만 솔룸\n왕성에서 설득 끝에 동료가 되었다.
MID_FRIENDLIST_Hortensia_TextC	[좋아하는 것]\n치장, 귀여운 것, 고급품, 꽃,\n가족, 모든 동료,\n귀엽다고 말해 주는 사람\n[싫어하는 것]\n매운 음식, 운동, 벌레, 요리,\n뙤약볕, 가족과 떨어져 있는 것,\n자기보다 귀여운 사람
MID_FRIENDLIST_Hortensia_TextB	[취미]쇼핑, 화장법 테스트\n[특기]마술서 암기, 앉아서 하는 일\n[내력]하이아신스 왕의 측실 소생.\n어릴 때는 다른 형제도 있었지만 정실\n왕비에 의해 다들 성을 떠나게 되어\n결과적으로 제2왕녀가 되었다.\n학생으로서 학원을 다니고 있었지만\n아버지의 뜻에 따라 복귀했다.
MID_FRIENDLIST_Hortensia_TextA	[키]149cm\n[약지 반지 사이즈]6호\n[성격]자신감 넘치고 살짝 제멋대로.\n항상 귀여운 면모를 과시한다.\n학원에서 월반을 할 정도로 우수하며\n상황에 맞춰 영리하게 구는 면모도\n있다. 사실은 착하고 애정이 깊다.\n동료들 중 가장 윙크가 능숙하다.
MID_FRIENDLIST_Hortensia_TextS	[파트너로서의 일상]\n하루에 한 번은 꼭 찾아와서 같이\n있겠다며 떼를 쓴다. 둘만 있을 때는\n나이에 맞게 어리광 부리거나 반대로\n어른스러운 표정을 짓는 등 바쁘다.\n약속의 반지는 어머니에게 물려받은\n보석 상자에 넣어 소중히 보관했으며\n다음에 낄 때는 약지에 끼고자 한다.
MID_FRIENDLIST_Rosado_TextD	[초기 병과]드래곤 나이트\n[생일]1월 19일\n[비고]이르시온 왕국의 왕성병.\n주군 오르텐시아 왕녀를 따라\n동료 골드마리와 함께 신룡군과\n두 번 교전하지만 검푸른 해안에서\n『푸른 풍공의 반지』를 가지고\n신룡군을 찾아가 휘하에 합류했다.
MID_FRIENDLIST_Rosado_TextC	[좋아하는 것]\n치장, 귀여운 것, 꽃, 연회,\n그림, 그림 도구, 아름다운 풍경,\n무의미한 시간 보내기\n[싫어하는 것]\n공부, 어려운 책, 뙤약볕, 억압,\n재미없는 것, 딱딱한 것
MID_FRIENDLIST_Rosado_TextB	[취미]흥밋거리 찾기, 낮잠 자기\n[특기]그림 그리기, 고속 모사\n[내력]이르시온 왕국 출신.\n신비의 호수 근처 요정 마을 출신으로\n외동인데 아버지를 많이 닮았다.\n사룡 부활 당시 아직 학생이었지만\n성으로 돌아가는 오르텐시아가 걱정돼\n골드마리와 함께 가기로 결정했다.
MID_FRIENDLIST_Rosado_TextA	[키]169cm\n[약지 반지 사이즈]11호\n[성격]귀여움과 아름다움을 추구하며\n인생을 즐기는 낙천가.\n보기 좋은 풍경을 모사해 와서\n눈에 띄는 곳에 두고 반응을 지켜본다.\n애룡을 꾸미는 것을 좋아한다.\n동료들 중 가장 리본을 잘 묶는다.
MID_FRIENDLIST_Rosado_TextS	[파트너로서의 일상]\n매일 반드시 파트너를 귀엽다고\n칭찬하며 아낌없이 좋은 말을 해 준다.\n파트너를 그리는 실력이 점점 늘어\n사랑이 느껴진다는 호평을 받고 있다.\n약속의 반지는 건네 줬던 날에 말했듯\n항상 몸에 지니고 다니지만 손가락에\n끼우는 건 둘이 있을 때뿐이다.
MID_FRIENDLIST_Goldmary_TextD	[초기 병과]브레이브 히어로\n[생일]7월 18일\n[비고]이르시온 왕국의 왕성병.\n주군 오르텐시아 왕녀를 따라\n동료 로사도와 함께 신룡군과\n두 번 교전하지만 검푸른 해안에서\n『푸른 풍공의 반지』를 가지고\n신룡군을 찾아가 휘하에 합류했다.
MID_FRIENDLIST_Goldmary_TextC	[좋아하는 것]\n치장, 귀여운 것, 청소, 요리,\n꽃, 온천, 칭찬, 자기 자신\n[싫어하는 것]\n무기, 단련, 딱딱한 음식, 뙤약볕,\n자기 매력이 통하지 않는 사람
MID_FRIENDLIST_Goldmary_TextB	[취미]거울 보기, 머리카락 손질\n[특기]도시락 만들기, 눈물로 애원하기\n[내력]이르시온 왕국 출신.\n온천 마을 여관에서 태어나 부모와\n상인들에게 사랑받으며 자랐다.\n사룡 부활 당시 아직 학생이었지만\n성으로 돌아가는 오르텐시아가 걱정돼\n로사도와 함께 가기로 결정했다.
MID_FRIENDLIST_Goldmary_TextA	[키]173cm\n[약지 반지 사이즈]9호\n[성격]내성적이고 소심하지만 살짝\n뻔뻔한 면이 있고 발언이 대담하다.\n자기애가 강해 자신의 매력을 다양한\n방면으로 어필한다. 손재주가 좋아\n집안일은 다 잘한다. 동료들 중\n가장 온천 수질에 민감하다.
MID_FRIENDLIST_Goldmary_TextS	[파트너로서의 일상]\n자기를 칭찬하는 건 여전하지만\n파트너도 매일 칭찬하고 있으며\n동료에게 매일 자기 행복을 자랑한다.\n전투 전에는 애정을 듬뿍 담은\n수제 도시락을 준비해 주려고 한다.\n의외로 약속의 반지는 자랑하지 않고\n몰래 바라보며 미소 짓는다.
MID_FRIENDLIST_Misutira_TextD	[초기 병과]비질랜티\n[생일]8월 29일\n[비고]솔룸 왕국 제1왕녀.\n메린, 파네토네를 신하로 두고 있다.\n『창염의 용사의 반지』를 지닌 채\n오아시스에서 휴식을 취하던 중에\n찾아온 신룡 일행과 합류했고 함께\n도적을 토벌한 뒤에는 동료가 되었다.
MID_FRIENDLIST_Misutira_TextC	[좋아하는 것]\n고기, 음악, 연회, 치장, 동물,\n야영, 방랑, 자유,\n다 함께 모닥불 쬐기\n[싫어하는 것]\n청소, 동화, 섬세한 작업,\n제약당하는 것, 금지당하는 것
MID_FRIENDLIST_Misutira_TextB	[취미]노래, 야영, 방랑\n[특기]양동, 유도, 불 피우기\n[내력]제1왕녀로 태어나 차기 여왕이\n되기 위한 교육을 받으면서도\n자유롭게 자랐다. 늘 성에서 나와\n방랑하면서 국내 사정을 파악하여\n유사시에 대처할 수 있게 대비했다.\n국방을 위해 자경단도 하고 있다.
MID_FRIENDLIST_Misutira_TextA	[키]159cm\n[약지 반지 사이즈]10호\n[성격]자유롭고 서민적.\n누구한테든 우호적으로 다가가지만\n은근히 살피는 면모도 있다. 노래를\n좋아해 이상한 자작곡을 부른다.\n적이라고 판단되면 주저하지 않는다.\n동료들 중 가장 봉고를 밤에 잘 친다.
MID_FRIENDLIST_Misutira_TextS	[파트너로서의 일상]\n둘만의 시간을 자주 가질 때도 있고\n한참 따로 지내기도 하고 자유롭다.\n시간이 나면 둘이서 모닥불을 쬐며\n최근에 있었던 일들을 이야기한다.\n약속의 반지는 자주 안 낄 거 같다고\n했지만 사실 금실로 짠 주머니에\n넣고서 매일 갖고 다니고 있다.
MID_FRIENDLIST_Merin_TextD	[초기 병과]울프 나이트\n[생일]9월 24일\n[비고]솔룸 왕국의 왕성 기사.\n주군 미스티라, 동료 파네토네와 함께\n오아시스에서 휴식을 취하던 중에\n찾아온 신룡 일행과 합류했고 함께\n도적을 토벌한 뒤에는 동료가 되었다.
MID_FRIENDLIST_Merin_TextC	[좋아하는 것]\n고기, 무기, 동물, 음악,\n멋있는 것, 희귀 동물, 달콤한 음식,\n미스티라가 부르는 노래\n[싫어하는 것]\n괴담, 향이 강한 것, 실패,\n동물을 아끼지 않는 사람
MID_FRIENDLIST_Merin_TextB	[취미]희귀 동물 관찰 및 연구\n[특기]동물 이름과 생태 맞히기\n[내력]솔룸 왕국 출신.\n사막 마을 촌장의 딸. 오빠가 둘\n있지만 솔룸에서는 여성이 가업을\n잇기 때문에 차기 촌장으로 길러졌다.\n하지만 기사라는 꿈을 포기하지 못해\n가출한 끝에 미스티라를 만났다.
MID_FRIENDLIST_Merin_TextA	[키]173cm\n[약지 반지 사이즈]11호\n[성격]화려한 분위기를 가졌으며\n매일 멋을 추구하는 기사.\n동물, 특히 희귀 동물을 아주 좋아해\n만나기만 하면 정신 못 차리고 붙어\n다닌다. 멋없어서 숨기려 하지만\n동료들 중 가장 과자를 많이 먹는다.
MID_FRIENDLIST_Merin_TextS	[파트너로서의 일상]\n기쁜 일 슬픈 일 모두 둘이 사이좋게\n양피지에 남기면서 열심히 도감을\n만들고 있다. 언젠가 같이 동물을\n기르는 것이 꿈. 약속의 반지를 들고\n있으면 표정이 풀어져서 꼴사납다는\n이유로 잘 끼고 다니지 않지만\n부탁하면 쑥스러워하면서도 껴 준다.
MID_FRIENDLIST_Panetone_TextD	[초기 병과]베르세르크\n[생일]10월 23일\n[비고]솔룸 왕국의 왕성 기사.\n판도로의 동생.\n주군 미스티라, 동료 메린과 함께\n오아시스에서 휴식을 취하던 중에\n찾아온 신룡 일행과 합류했고 함께\n도적을 토벌한 뒤에는 동료가 되었다.
MID_FRIENDLIST_Panetone_TextC	[좋아하는 것]\n매운 음식, 별미, 벌레, 괴담,\n무기, 유령, 폐허, 어두운 장소,\n미스티라가 구운 고기\n[싫어하는 것]\n귀여운 것, 요리, 꽃, 청소,\n예의범절, 교회, 신성해 보이는 장소
MID_FRIENDLIST_Panetone_TextB	[취미]스릴 있는 장소 산책하기\n[특기]싸움, 접근전, 육탄전\n[내력]솔룸 왕국 출신.\n오아시스 마을에 있는 교회의 딸.\n부모는 성직자였지만 가정 환경이\n열악한 탓에 오빠를 두고 가출했다.\n방황하며 싸움을 벌이고 다니던 도중\n방랑 중이었던 미스티라를 만났다.
MID_FRIENDLIST_Panetone_TextA	[키]164cm\n[약지 반지 사이즈]11호\n[성격]말투가 과하게 정중한 여성.\n행동에 기품이 묻어 나오지만 유령과\n벌레를 좋아하는 등 개성적이다.\n한때 방황하던 시기도 있어, 전투 시\n그때의 면모가 보이기도 한다.\n동료들 중 가장 의리 있고 정이 많다.
MID_FRIENDLIST_Panetone_TextS	[파트너로서의 일상]\n둘이 있을 때는 좋은 모습만 보여 주고\n싶다며 더 품위를 신경 쓰고 있으며\n우려했던 갈등 같은 건 전혀 없이\n잘 지내고 있다. 약속의 반지는\n파네토네가 좋아하는 언뜻 보기에는\n불길해 보이는 검은 상자에 보관해\n전투가 없으면 꼭 챙겨 다니고 있다.
MID_FRIENDLIST_Fogato_TextD	[초기 병과]비질랜티\n[생일]2월 14일\n[비고]솔룸 왕국 제1왕자.\n판도로, 보네를 신하로 두고 있다.\n자경단으로서 이형병 토벌에 나서던\n도중 길을 헤매던 신룡 일행을 보고\n말을 건네며 길 안내를 자청했다.
MID_FRIENDLIST_Fogato_TextC	[좋아하는 것]\n고기, 연회, 음악, 꽃, 자연,\n트로피컬 프루트, 가족, 동료\n[싫어하는 것]\n괴담, 동화, 감자, 낚시,\n수영, 진심을 들키는 것
MID_FRIENDLIST_Fogato_TextB	[취미]수다, 누군가를 유혹하기\n[특기]정찰, 신분 감추기\n[내력]제1왕자로 태어났지만 솔룸의\n여왕 제도 덕분에 누나보다 자유롭게\n자랐다. 어릴 때 국서인 아버지와\n방랑하며 신분을 감추는 기술을 익혀\n유용하게 써먹고 있다. 현재는 나라를\n지키기 위해 자경단에 소속되어 있다.
MID_FRIENDLIST_Fogato_TextA	[키]178cm\n[약지 반지 사이즈]18호\n[성격]밝고 대범한 성격으로 마음에\n들면 누구든 말을 거는 인기인이다.\n연회나 즐거운 행사를 좋아한다.\n가볍고 친근한 반면 날카로운 면모도\n있어 의중을 파악하는 데 능숙하다.\n동료들 중 가장 감정에 솔직하다.
MID_FRIENDLIST_Fogato_TextS	[파트너로서의 일상]\n만날 때마다 정말 좋아한다고 말하는\n점은 같지만 그 의미가 달라졌다.\n애정 표현이 굉장히 정열적이라서\n보는 동료들이 오히려 부끄러울 지경.\n약속의 반지는 항상 착용하고 다니며\n전투를 앞두면 보석에 입을 맞추며\n둘 다 무사하기를 기원한다.
MID_FRIENDLIST_Pandoro_TextD	[초기 병과]하이 프리스트\n[생일]1월 6일\n[비고]솔룸 왕국의 왕성 신관.\n동료 보네와 함께 툴라 사막에\n나타난 이형병을 토벌하던 도중\n주군 포가토가 합류했다.\n신앙의 대상인 신룡도 함께 나타나서\n크게 놀랐지만 어쨌든 동료가 되었다.
MID_FRIENDLIST_Pandoro_TextC	[좋아하는 것]\n신룡, 연회, 음악, 놀이,\n동화, 유제품, 노래,\n반응이 좋은 신도들\n[싫어하는 것]\n운동, 단련, 엄청 매운 음식, 춤,\n새로운 것을 부정하는 사람
MID_FRIENDLIST_Pandoro_TextB	[취미]연회, 떠들기\n[특기]노래, 철야, 고민 상담\n[내력]솔룸 왕국 출신.\n오아시스 마을에 있는 교회의 아들.\n부모는 성직자였지만 가정 환경이\n열악했기 때문에 동생이 가출했다.\n교회를 지키고 있던 중에 포가토를\n만나 신하가 될 것을 권유받았다.
MID_FRIENDLIST_Pandoro_TextA	[키]175cm\n[약지 반지 사이즈]14호\n[성격]즐거운 행사를 아주 좋아한다.\n항상 즐거운 잔치를 생각한다.\n불량하다는 평을 자주 듣지만 아주\n독실한 신도이며, 성실한 성직자로,\n신룡에게 절대적인 존경심을 지녔다.\n동료들 중 목소리가 가장 우렁차다.
MID_FRIENDLIST_Pandoro_TextS	[파트너로서의 일상]\n처음에는 당치도 않다며 주저했지만\n신앙 대상을 향한 것이 아닌\n따스한 미소도 보여 주게 되었다.\n연회 때처럼 과한 표현은 하지 않고\n조용히 파트너를 생각하고 있다.\n약속의 반지는 자기 방 작은 제단에\n모시듯이 두고 매일 기도를 올린다.
MID_FRIENDLIST_Bonet_TextD	[초기 병과]그레이트 나이트\n[생일]5월 30일\n[비고]솔룸 왕국의 왕성 요리사.\n동료 판도로와 함께 툴라 사막에\n나타난 이형병을 토벌하던 도중\n주군 포가토가 합류했고\n그대로 신룡군의 동료가 되었다.
MID_FRIENDLIST_Bonet_TextC	[좋아하는 것]\n요리, 다과회, 허브, 꽃,\n모든 식재료, 모든 맛있어 보이는 물건\n[싫어하는 것]\n향이 강한 것, 뙤약볕, 단련,\n소란스러운 장소, 눈부신 장소,\n간이 너무 센 음식
MID_FRIENDLIST_Bonet_TextB	[취미]음식 간 보기, 가드닝\n[특기]먹은 요리를 완벽하게 재현하기\n[내력]솔룸 왕국 출신.\n무역항에 있던 식당의 외아들. 유명\n가게였으나 도적의 습격으로 망했다.\n수년 후 궁중 요리사 선발 대회에\n참가해 우승은 놓쳤지만 포가토에게\n신하로 들어오라는 권유를 받았다.
MID_FRIENDLIST_Bonet_TextA	[키]184cm\n[약지 반지 사이즈]20호\n[성격]연구에 열심이고 제멋대로다.\n항상 새로운 식재료를 찾아다닌다.\n맛있을 것 같으면 식품이 아니어도\n일단 맛을 보려고 하는 특이한 사람.\n미각 외에도 온갖 감각이 예민하다.\n동료들 중 가장 깃발에 해박하다.
MID_FRIENDLIST_Bonet_TextS	[파트너로서의 일상]\n둘이서 보내는 나날에서 착안한\n요리를 만들며 행복을 느끼고 있다.\n시간이 생기면 둘이서 텃밭을 가꾸며\n감미로운 대화 시간을 즐기기도 한다.\n약속의 반지는 꽃, 허브와 함께 은제\n식기처럼 생긴 상자에 보관 중이다.\n실은 보석 부분의 맛을 본 적이 있다.
MID_FRIENDLIST_Anna_TextD	[초기 병과]액스 파이터\n[생일]6월 8일\n[비고]수습 행상인.\n비싸게 팔릴 만한 보물을 찾아\n도적단의 근거지에 숨어들었는데\n하필 신룡군과 도적단의 전투가\n벌어져 보물 상자 안으로 도피했다.\n신룡군에 발견되어 동료가 되었다.
MID_FRIENDLIST_Anna_TextC	[좋아하는 것]\n유제품, 고급품, 공작, 바느질,\n요리, 축제, 눈, 장사 번창\n[싫어하는 것]\n괴담, 벌레, 엄청 매운 음식,\n딱딱한 음식, 가족 꿈을 꾼 날의 아침
MID_FRIENDLIST_Anna_TextB	[취미]신상품 기획 및 개발\n[특기]돈 계산, 장작 패기\n[내력]이르시온 왕국 출신.\n비경에 있는 눈 축제 마을에서 자랐다.\n일족 모두가 행상인이며 같은 얼굴과\n이름을 가진 자매들이 아주 많다.\n행상을 다니던 중에 가족과 헤어졌고\n어떻게든 혼자 생계를 꾸리고 있었다.
MID_FRIENDLIST_Anna_TextA	[키]142cm\n[약지 반지 사이즈]3호\n[성격]약삭빠른 구두쇠.\n틈만 나면 상품을 권하는데 안 사면\n울상이 된다. 축제를 좋아하며,\n조금이라도 기쁜 일이 있는 날이면\n특별한 날로 삼아 기념하려 한다.\n동료들 중 가장 기념일이 많다.
MID_FRIENDLIST_Anna_TextS	[파트너로서의 일상]\n늘 화기애애하게 신상품 아이디어를\n주고받으며 일확천금을 꿈꾸고 있다.\n파트너가 된 그날은 생일보다도\n중요한 기념일로 정해 매년 둘이서\n기념하기로 했다. 약속의 반지는\n사이즈가 너무 커서 끈에 달아\n목걸이로 착용하고 다닌다.
MID_FRIENDLIST_Jean_TextD	[초기 병과]몽크\n[생일]3월 31일\n[비고]피레네 왕국의 평민.\n이형병의 다원 마을 습격 당시\n아버지의 진료소에서 싸우고 있었다.\n도와주러 나타난 신룡군의 힘을 빌어\n이형병을 물리친 후 수습 의사로서\n신룡을 따라가겠다고 지원했다.
MID_FRIENDLIST_Jean_TextC	[좋아하는 것]\n다과회, 공부, 독서, 동물,\n건강해 보이는 사람, 희귀한 약초,\n고향에서 난 찻잎으로 끓이는 차\n[싫어하는 것]\n운동, 단련, 연회, 별미,\n부상, 병, 자신의 기술 부족
MID_FRIENDLIST_Jean_TextB	[취미]도감 읽기\n[특기]약 조합, 차 준비하기\n[내력]피레네 왕국 출신.\n다원 마을에 있는 진료소네 아들.\n아버지는 의사, 어머니는 찻잎 장인.\n나이 차이가 나는 누나가 있으며\n피레네에서 의사로 활동하고 있다.\n언젠가 진료소를 물려받는 것이 꿈.
MID_FRIENDLIST_Jean_TextA	[키]140cm\n[약지 반지 사이즈]4호\n[성격]소극적이지만 정이 많다.\n꿈을 위해 공부하는 어린 노력가.\n유령 등은 하나도 무섭지 않고 병이나\n부상이 진짜 무서운 것이라고 말한다.\n특이한 말투는 섬 사람들의 방언이다.\n동료들 중 가장 이발을 잘한다.
MID_FRIENDLIST_Jean_TextS	[파트너로서의 일상]\n반지를 받은 그날 했던 말처럼\n항상 파트너를 걱정하며 돕고 있다.\n둘이서 약초를 캐러 가면 하나는\n기념으로 말려 의학서에 끼워 놓는다.\n약속의 반지는 아름다운 유리병 속에\n보관하고 있으며 반지를 낄 만큼\n멋진 청년이 될 그날을 기다리고 있다.
MID_FRIENDLIST_Yunaka_TextD	[초기 병과]시프\n[생일]7월 28일\n[비고]신출귀몰한 도적.\n피레네 교외에서 만났다.\n『새벽의 무녀의 반지』를 되찾으려\n폐허가 된 마을에서 함께 싸웠고,\n훔친 사람이 본인임을 고백했다.\n이후 신룡군에 동료로 합류했다.
MID_FRIENDLIST_Yunaka_TextC	[좋아하는 것]\n무기, 독서, 음악, 단련, 독극물,\n어둠 속에서 하는 임무,\n시야 확보가 안 되는 곳\n[싫어하는 것]\n동화, 연회, 동물, 집안일, 추궁,\n향이 강한 것, 얼굴을 쳐다보는 것
MID_FRIENDLIST_Yunaka_TextB	[취미]한적한 곳에서 시간 보내기\n[특기]남 흉내 내기, 무기 손질\n[내력]브로디아 왕국 출신.\n부모를 일찍이 잃은 것 같지만\n그 진위는 불분명하다.\n새로운 자신이 되기를 원해\n조국을 떠났다.
MID_FRIENDLIST_Yunaka_TextA	[키]164cm\n[약지 반지 사이즈]9호\n[성격]활동적이며 맞장구를 잘 친다.\n연기력이 뛰어나 동료 흉내나\n동물의 울음소리를 잘 따라 한다.\n혼자 있을 때나 전투 중에는 마치\n다른 사람처럼 느껴질 때가 있다.\n동료들 중 가장 물건 감정을 잘한다.
MID_FRIENDLIST_Yunaka_TextS	[파트너로서의 일상]\n파트너에게는 거짓말을 하지 않고\n순수한 미소를 보여 주게 되었다.\n둘만 있을 때는 과거 이야기도\n추억하듯 말해 주고 있다.\n약속의 반지는 떳떳하게 번 돈으로\n마련한 금으로 세공된 상자에 담아\n자기 목숨보다도 소중히 관리한다.
MID_FRIENDLIST_Seadas_TextD	[초기 병과]댄서\n[생일]4월 21일\n[비고]솔룸 왕국의 무용수.\n북쪽 성채에서 춤 연습을 하던 중에\n이형병의 습격을 받았지만\n『미래를 선택하는 자의 반지』의\n목소리에 이끌려 성채 안에 숨었다.\n그 후, 도움을 받고 동료가 되었다.
MID_FRIENDLIST_Seadas_TextC	[좋아하는 것]\n음악, 고기, 치장, 독서, 허브,\n별, 달, 달콤한 음식, 기름진 음식,\n가 본 적 없는 장소 상상하기\n[싫어하는 것]\n단련, 뙤약볕, 일찍 일어나기, 쓴 음식,\n인내, 과식한 다음 날의 아침
MID_FRIENDLIST_Seadas_TextB	[취미]모르는 마을 바라보기\n[특기]춤, 점, 폭식\n[내력]솔룸 왕국 출신.\n풍광이 빼어난 검푸른 해안 출신으로\n어려서부터 아버지 없이 지냈고,\n점술가였던 어머니도 일찍이 여의면서\n대상 밑에 들어갔다. 춤을 배워 독립한\n지금은 유명한 무용수이다.
MID_FRIENDLIST_Seadas_TextA	[키]177cm\n[약지 반지 사이즈]13호\n[성격]화려한 매력을 지닌 사람.\n신비로운 사람이며 다소 독설가지만\n마음에 든 상대에게는 각별하게\n부드러워진다. 외모에 신경을 쓰고\n있지만 먹는 것을 좋아해 늘 갈등한다.\n동료들 중 가장 벌꿀을 좋아한다.
MID_FRIENDLIST_Seadas_TextS	[파트너로서의 일상]\n별이 아름다운 밤에는 반드시 둘이서\n하늘을 보며 이야기를 나누게 되었다.\n둘이 함께 있으면 채워지는 느낌이\n든다며 공복일 때 와서는 좀처럼\n안 가기도 한다. 약속의 반지는 금실로\n수놓인 벨벳 주머니에 넣어 뒀다가\n특별한 춤을 출 때만 손가락에 낀다.
MID_FRIENDLIST_Linden_TextD	[초기 병과]세이지\n[생일]6월 29일\n[비고]이르시온 왕국의 왕성병.\n피레네에서 이르시온으로 향하던\n신룡 일행의 배를 지연시키기 위해\n전투를 감행했으나 개인적으로는\n불만을 품고 있었고, 결국 설득에\n응해 신룡군의 동료가 되었다.
MID_FRIENDLIST_Linden_TextC	[좋아하는 것]\n산책, 공작, 독서, 공부, 요리,\n감자, 실험, 마도서, 흥미로운 결과\n[싫어하는 것]\n무기, 청소, 격한 운동,\n실험 실패, 폭발 뒤처리
MID_FRIENDLIST_Linden_TextB	[취미]실험, 젊은 사람들과의 교류\n[특기]마법으로 과자 만들기\n[내력]이르시온 왕국 출신.\n지식의 탑 근처 마을에서 태어났다.\n젊었을 무렵에는 하이아신스 왕의\n형을 모실 만큼 우수한 왕성병이었다.\n기혼자이지만 아내는 일찍 세상을\n떠났고 자녀도 셋 모두 독립했다.
MID_FRIENDLIST_Linden_TextA	[키]175cm\n[약지 반지 사이즈]19호\n[성격]막대한 마력을 지닌 현자.\n지식욕의 화신 같은 사람으로 항상\n책을 읽거나 특이한 실험을 한다.\n잘하는 요리는 선더로 전기를 흘려\n굽는 케이크와 쿠키라고 한다.\n동료들 중 가장 정전기가 심하다.
MID_FRIENDLIST_Linden_TextS	[파트너로서의 일상]\n사이좋은 부모 자식처럼 늘 함께\n실험을 하며 웃고 있다.\n파트너를 걱정하며 보살피는 것이\n그야말로 삶의 보람이 되었다고 한다.\n약속의 반지는 가슴 쪽 주머니에\n넣어두고 있으며, 파트너가 즉위할 때\n처음으로 끼려고 생각 중이다.
MID_FRIENDLIST_Saphir_TextD	[초기 병과]워리어\n[생일]1월 17일\n[비고]브로디아 왕국의 왕성병.\n이르시온에 상륙한 신룡군에게\n브로디아성이 무사하다는 소식을\n전하고자 혼자 지브르 항구로 향했다.\n전투 중에 신룡군과 무사히 합류하여\n휘하에 들어가 싸웠다.
MID_FRIENDLIST_Saphir_TextC	[좋아하는 것]\n물고기, 단련, 낚시, 무기, 연회,\n감자, 유제품, 소란스러운 밤\n[싫어하는 것]\n섬세한 작업, 치장, 귀여운 것,\n고급품, 가냘퍼 보이는 사람,\n이르시온병
MID_FRIENDLIST_Saphir_TextB	[취미]대련\n[특기]물고기 손질, 수영\n[내력]브로디아 왕국 출신.\n시골 어촌에서 태어나 자랐다.\n유소년기에 해로를 통해 침공한\n이르시온병에게 부모를 잃었다.\n그 이후로는 용병 일을 전전하다\n실력을 인정받아 왕성병이 되었다.
MID_FRIENDLIST_Saphir_TextA	[키]177cm\n[약지 반지 사이즈]14호\n[성격]용맹하고 정신력이 강한 사람.\n강한 힘을 추구하여 단련이나\n강자와의 대련을 좋아한다. 거칠지만\n남을 잘 챙기며 연하인 사람들의\n고민을 나서서 들어 준다.\n동료들 중 가장 물고기를 많이 안다.
MID_FRIENDLIST_Saphir_TextS	[파트너로서의 일상]\n둘이서 단련과 대련을 거듭하며\n서로 마음을 읽고 인연을 다지고 있다.\n가끔 파트너를 위한 특제 생선 요리를\n대접해 친애의 정을 드러내기도 한다.\n약속의 반지는 자기랑 안 어울린다며\n자주 끼고 다니지는 않지만 출정할\n때에는 꼭 갑옷 안에 몰래 넣어 둔다.
MID_FRIENDLIST_Veyre_TextD	[초기 병과]사룡의 아이\n[생일]9월 12일\n[비고]사룡 솜브르의 딸.\n\x0E\x06\x03\x00의 유일한 동생.\n솜브르의 책략에 의해 적대했으나\n베일 자신의 의지로 사악한 자신을\n물리쳤고 세계를 구하는 용이 되기\n위해 신룡과 함께 싸우기로 결심했다.
MID_FRIENDLIST_Veyre_TextC	[좋아하는 것]\n엄청 매운 음식, 산책, 독서,\n꽃, 놀이, 촛불, 가족\n[싫어하는 것]\n고급품, 향이 강한 것, 악몽,\n달콤한 음식, 밝은 장소
MID_FRIENDLIST_Veyre_TextB	[취미]다른 사람 돕기, 동료와의 교류\n[특기]정교한 이형병 제작\n[내력]그라드론의 땅에서 태어나\n사룡의 자녀들 중 막내로 자랐다.\n어머니는 따뜻한 성품을 지닌 마룡족.\n천 년 동안 고독하게 지내며 아버지의\n도구로 이용당해 원치 않는 싸움을\n겪었으나 선량한 마음을 잃지 않았다.
