MID_OP1_#001	キャラ配置(PID_グリ, ME_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S010_01)\nライト(CharaLight_S010, 0, 0, 0)\n\n章タイトル(CID_E003)\n\nウェイト(3)\n\nフェードイン()
MID_OP3_#013	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E003_グレゴリー, cam_anim_track_l_slow)\nキャラ表示切替(PID_リュール, False)\n\nキャラ視線(PID_リュール, PID_E003_グレゴリー, PID_E003_グレゴリー)\nキャラ視線(PID_E003_セレスティア, PID_E003_グレゴリー, PID_E003_グレゴリー)\nキャラ視線(PID_E003_イル, PID_E003_グレゴリー, PID_E003_グレゴリー)\nキャラ視線(PID_E003_エル, PID_E003_グレゴリー, PID_E003_グレゴリー)\nキャラ視線(PID_E003_グレゴリー, PID_E003_エル, PID_E003_エル)\n\nキャラモーション再生(PID_E003_エル, Angry, EmoTalk2,0, 0.5)\nキャラモーション再生(PID_E003_セレスティア, Angry)\nキャラモーション再生(PID_E003_グレゴリー, Angry)
MID_OP3_#014	キャラモーション再生(PID_E003_グレゴリー, Angry, EmoTalk,0, 0.5)
MID_OP3_#015	キャラモーション再生(PID_E003_エル, Angry, EmoThink,0,1)
MID_OP3_#016	キャラモーション再生(PID_E003_グレゴリー, Sad, EmoDeny2,0,1)\n*\nパペット会話中断()\nウェイト(0.5)
MID_OP3_#017	キャラモーション再生(PID_E003_グレゴリー, Angry, EmoThink,0, 0.5)
MID_OP3_#018	キャラカメラ(CharaCam_ShoulderLong_Left_Mid, PID_E003_グレゴリー, cam_anim_track_l_slow)\nキャラ表示切替(PID_リュール, True)\n\nキャラ視線(PID_E003_エル, PID_リュール, PID_リュール)\nキャラ視線(PID_E003_グレゴリー, PID_リュール, PID_リュール)\nキャラ視線(PID_E003_イル, PID_リュール, PID_リュール)\nキャラ視線(PID_E003_セレスティア, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_リュール, Angry, EmoTalk,0, 0.5)\nキャラモーション再生(PID_E003_グレゴリー, Angry, IdleNormal,0,1)
MID_OP3_#019	キャラモーション再生(PID_E003_グレゴリー, Angry, EmoDeny,0, 0.5)
MID_OP3_#020	キャラモーション再生(PID_リュール, Angry, EmoThinkIn,0, 0.5)
MID_OP3_#021	キャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_track_r_slow)\n\nキャラ視線(PID_リュール, PID_E003_イル, PID_E003_イル)\n\nキャラモーション再生(PID_E003_イル, Angry, EmoTalk,0, 0.5)
MID_OP3_#022	
MID_OP3_#023	キャラモーション再生(PID_E003_イル, Angry, EmoTalk2,0,1)\n*\nパペット会話中断()\nウェイト(1)
MID_OP3_#024	キャラカメラ(CharaCam_Side_Right2_Mid, PID_E003_エル, cam_anim_track_l_slow)\n\nキャラ視線(PID_リュール, PID_E003_エル, PID_E003_エル)
MID_OP3_#025	キャラカメラ(CharaCam_Side_Left2_Bot, PID_リュール, cam_anim_zoom_out_normal)\n\nキャラモーション再生(PID_リュール, Surprise, EmoThinkOut,0, 0.5)\n*\nパペット会話中断()\nウェイト(0.5)
MID_OP3_#026	シーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_zoom_in_slow)\n\nキャラモーション再生(PID_E003_グレゴリー, Angry, EmoTalk,0, 0.5)
MID_OP3_#027	
MID_OP3_#028	キャラ視線(PID_E003_イル, PID_E003_エル, PID_E003_エル)\n\nキャラモーション再生(PID_E003_イル, Angry, EmoTalk,0, 0.5)\nキャラモーション再生(PID_E003_グレゴリー, Angry, IdleNormal,0,1)
MID_OP3_#029	キャラモーション再生(PID_E003_イル, Angry, EmoThinkIn,0,1)
MID_OP3_#030	キャラモーション再生(PID_E003_エル, Angry, EmoThinkIn,0,0.5)
MID_OP3_#031	キャラカメラ(CharaCam_Side_Right_Mid, PID_E003_グレゴリー, cam_anim_track_l_slow)\nキャラ視線(PID_E003_エル, PID_E003_グレゴリー, PID_E003_グレゴリー)\n\nキャラモーション再生(PID_E003_グレゴリー, Die, EmoDeny2,0, 0.5)\nキャラモーション再生(PID_E003_グレゴリー, Angry, IdleNormal,1,1)
MID_OP3_#032	キャラカメラ(CharaCam_Front_Center_Mid, PID_E003_グレゴリー, cam_anim_zoom_in_fast)\n\nキャラ削除(PID_リュール)\nキャラ削除(PID_E003_イル)\nキャラ削除(PID_E003_セレスティア)\nキャラ削除(PID_E003_エル)\n\n*\n一枚絵表示(Tex_Event_Effect_Black, picture_fade_in_slow)
MID_OP3_#033	*\nパペット会話中断()\nウェイト(0.8)\nキャラ削除(PID_E003_グレゴリー)\n\nキャラ配置(PID_E003_イル, ME_IN_B, [服装], Surprise, IdleNormal, -45)\nキャラ配置(PID_E003_エル, ME_IN_C, [服装], Surprise, IdleNormal, 45)\nキャラ配置(PID_E003_セレスティア, ME_MID_AB, [服装], Surprise, IdleNormal, -90)\nキャラ配置(PID_リュール, ME_MID_BC, [服装], Surprise, IdleNormal, 180)\nキャラ配置(PID_E003_グレゴリー, ME_MID_CD, [服装], Surprise, IdleNormal, 90)\n\nキャラ配置(PID_E003_Hide, YOU_IN_C, [服装], Normal, IdleNormal, 15)\nキャラ配置調整(PID_E003_Hide,0,0,0.1)\nキャラ表示切替(PID_E003_Hide, False)\n\nシーンカメラ(SceneCam_ViewFromMe_Back, cam_anim_pan_l_normal)\n\nキャラモーション再生(PID_E003_セレスティア, Surprise, EmoLook,0.4, 0.5)\nキャラモーション再生(PID_リュール, Surprise, EmoLook,0.2, 0.5)\nキャラモーション再生(PID_E003_グレゴリー, Surprise, EmoLook,0.3, 0.5)\nキャラモーション再生(PID_E003_エル, Surprise, EmoLook,0, 0.5)\nキャラモーション再生(PID_E003_イル, Surprise, EmoLook,0, 0.5)\n\nパペット会話中断()\nウェイト(0.5)\n一枚絵非表示()\nフェードイン(0.5)\n\nウェイト(1)
MID_OP3_#034	キャラ回転(PID_E003_イル,45,1,0)\nキャラ回転(PID_E003_エル,-45,1,0)\nキャラ回転(PID_E003_セレスティア,90,1,0)\nキャラ回転(PID_E003_グレゴリー,-90,1,0)\nキャラ回転(PID_リュール,-180,1,0)\n\nキャラモーション再生(PID_E003_イル,Surprise,TurnR,0.5,0.5)\nキャラモーション再生(PID_E003_エル,Surprise,TurnL,0.5,0.5)\nキャラモーション再生(PID_E003_セレスティア,Surprise,TurnR,0.5,0.5)\nキャラモーション再生(PID_E003_グレゴリー,Surprise,TurnL,0.5,0.5)\nキャラモーション再生(PID_リュール,Surprise,TurnR,0.5,0.5)\n\nキャラカメラ(CharaCam_Shoulder_Left_Mid, PID_E003_Hide, cam_anim_zoom_out_slow)
MID_OP3_#035	キャラカメラ(CharaCam_Side_Left_Mid, PID_E003_セレスティア, cam_anim_pan_l_slow)\nキャラ表示切替(PID_E003_エル, False)\n\nキャラ配置(PID_E003_異形兵_ジェネラル, YOU_OUT_AB, [服装], Normal, IdleNormal,0)\nキャラ配置調整(PID_E003_異形兵_ジェネラル, -0.25,0, 0.8)\nキャラ表示切替(PID_E003_異形兵_ジェネラル, False)\nキャラ配置(PID_E003_異形兵強_ジェネラル, YOU_OUT_BC, [服装], Normal, IdleNormal,0)\nキャラ配置調整(PID_E003_異形兵強_ジェネラル, 0.25,0, 0.8)\nキャラ表示切替(PID_E003_異形兵強_ジェネラル, False)
MID_OP3_#036	キャラカメラ(CharaCam_Side_Left2_Top, PID_E003_イル, cam_anim_zoom_in_slow)\nキャラ表示切替(PID_E003_エル, True)\n\nキャラ視線(PID_E003_セレスティア, PID_E003_イル, PID_E003_イル)\n\nキャラモーション再生(PID_E003_イル, Angry)\nキャラモーション再生(PID_E003_エル, Angry)\n\n*\nパペット会話中断()\nウェイト(1)
MID_OP3_#037	キャラカメラ(CharaCam_Side_Left_Mid, PID_E003_エル, cam_anim_pan_l_slow)\n\nキャラ表示切替(PID_E003_Hide, True)\nキャラ配置(PID_E003_Boss, YOU_MID_B, [服装], Normal, IdleNormal, 0)\n\nキャラ配置(PID_デモ用_視線設定用, YOU_IN_BC, [服装], Normal, IdleNormal, 0)\nキャラ表示切替(PID_デモ用_視線設定用, False)\n\nキャラ表示切替(PID_E003_異形兵_ジェネラル, True)\nキャラ表示切替(PID_E003_異形兵強_ジェネラル, True)\n\n*\nキャラ視線(PID_リュール, PID_E003_Hide, PID_E003_Hide)\nキャラ視線(PID_E003_グレゴリー, PID_E003_Hide, PID_E003_Hide)\nキャラ視線(PID_E003_セレスティア, PID_E003_Hide, PID_E003_Hide)\nキャラ視線(PID_E003_イル, PID_E003_Hide, PID_E003_Hide)\nキャラ視線(PID_E003_エル, PID_E003_Hide, PID_E003_Hide)\n\nキャラカメラ(CharaCam_FrontLong_Center_Bot, PID_デモ用_視線設定用, cam_anim_zoom_in_slow)\n\nキャラモーション再生(PID_E003_Hide, Smile, WalkIn)\nキャラモーション再生(PID_E003_Boss, Angry, WalkIn2)\nキャラモーション再生(PID_E003_異形兵_ジェネラル, Smile, WalkIn2)\nキャラモーション再生(PID_E003_異形兵強_ジェネラル, Angry, WalkIn2)\nキャラモーション再生(PID_リュール, Angry)\nキャラモーション再生(PID_E003_セレスティア, Angry)\nキャラモーション再生(PID_E003_グレゴリー, Angry)\n\nキャラ表示切替(PID_E003_エル,False)\n\nパペット会話中断()\nキャラモーション待ち(PID_E003_Hide)
MID_OP3_#038	キャラモーション再生(PID_E003_Hide, Smile, EmoTalk,0, 0.5)\nキャラ視線(PID_E003_Hide, PID_E003_Boss, PID_E003_Boss)
MID_OP3_#039	キャラモーション再生(PID_E003_Hide, Angry)
MID_OP3_#040	キャラモーション再生(PID_E003_Boss, Serious, EmoAngry,0, 0.5)\n\nウェイト(1)\nキャラ視線(PID_E003_Boss, PID_E003_Hide, PID_E003_Hide)\n\nキャラモーション再生(PID_E003_Boss, Angry)
MID_OP3_#041	キャラ視線(PID_E003_Hide, PID_E003_グレゴリー, PID_E003_グレゴリー)\n\nキャラモーション再生(PID_E003_Hide, Pain, IdleNormal,0, 0.5)
MID_OP3_#042	キャラカメラ(CharaCam_Side_Right2_Bot, PID_E003_Boss, cam_anim_track_l_slow)\n\nキャラ表示切替(PID_E003_Hide, False)\nキャラ表示切替(PID_E003_エル,True)\nキャラ視線(PID_E003_Boss, PID_E003_グレゴリー, PID_E003_グレゴリー)\n\nキャラモーション再生(PID_E003_Boss, Sad, EmoDeny2,0, 0.5)\nキャラモーション再生(PID_E003_Hide, Angry)
MID_OP3_#043	キャラモーション再生(PID_E003_Boss, Angry, EmoTalk,0,1)
MID_OP3_#044	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_E003_エル, cam_anim_pan_l_slow)\nキャラモーション再生(PID_E003_エル, Angry, EmoTalk,0,0.5)
MID_OP3_#045	キャラ視線(PID_E003_イル, PID_E003_エル, PID_E003_エル)\n\nキャラモーション再生(PID_E003_エル, Angry, IdleNormal,0,1)\nキャラモーション再生(PID_E003_イル, Angry)\n\nキャラモーション再生(PID_E003_Boss, Angry, IdleNormal,0,1)
MID_OP3_#046	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E003_Hide, cam_anim_track_l_slow)\nキャラ表示切替(PID_E003_Hide, True)\n\nキャラ視線(PID_E003_イル, PID_E003_Hide, PID_E003_Hide)\n\nキャラモーション再生(PID_E003_Hide, Shy, EmoProud,0, 0.5)
MID_OP3_#047	キャラモーション再生(PID_E003_Hide, Shy, EmoTalk2, 1.5,1)
MID_OP3_#048	キャラカメラ(CharaCam_Side_Left_Mid, PID_E003_エル, cam_anim_pan_l_slow)\n\nキャラモーション再生(PID_E003_エル, Normal, EmoDeny2,0, 0.5)
MID_OP3_#049	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_デモ用_視線設定用, cam_anim_zoom_in_slow)\nキャラ表示切替(PID_E003_エル, False)\n\nキャラ視線(PID_E003_Boss, PID_リュール, PID_リュール)\nキャラ視線(PID_E003_Hide, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E003_Hide, Shy, EmoSad,0, 0.5)\nキャラモーション再生(PID_E003_エル, Angry, IdleNormal,0,1)
MID_OP3_#050	キャラモーション再生(PID_E003_Boss, Angry, EmoPray,0, 0.5)
MID_OP3_#051	キャラモーション再生(PID_E003_Hide, Shy, IdleNormal,0,1)\n*\nパペット会話中断()
MID_OP3_#052	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_E003_Boss, cam_anim_zoom_in_fast)\nキャラ表示切替(PID_E003_エル,True)\n\nキャラ視線(PID_E003_Boss, PID_E003_Hide, PID_E003_Hide)\n\nキャラモーション再生(PID_E003_Boss, Angry, EmoProud,0, 0.5)\n\nキャラ武器装備(PID_E003_エル, トライゾン)\nキャラアニメーター切替(PID_E003_エル, Unit/Anim/UnitAnims/UAS_Sds0AF)\n\nキャラ武器装備(PID_E003_イル, ルヴァンシュ)\nキャラアニメーター切替(PID_E003_イル, Unit/Anim/UnitAnims/UAS_Sds0AM)\n\nキャラ武器装備(PID_リュール, リベラシオン)\nキャラアニメーター切替(PID_リュール, Unit/Anim/UnitAnims/UAS_Drg0AM, Unit/Anim/UnitAnims/UAS_Drg0AF)\n\nキャラ武器装備(PID_E003_セレスティア, エルサンダー)\nキャラアニメーター切替(PID_E003_セレスティア,Unit/Anim/UnitAnims/UAS_Mag0AF)\n\nキャラ武器装備(PID_E003_グレゴリー, エルウィンド)\nキャラアニメーター切替(PID_E003_グレゴリー,Unit/Anim/UnitAnims/UAS_Mag1AM)\n\nキャラモーション再生(PID_E003_エル, Angry,IdleNormal_None)\nキャラモーション再生(PID_E003_イル, Angry,IdleNormal_None)\nキャラモーション再生(PID_リュール, Angry,IdleNormal_None)\nキャラモーション再生(PID_E003_セレスティア, Angry,IdleNormal_None)\nキャラモーション再生(PID_E003_グレゴリー, Angry,IdleNormal_None)\n\nキャラ配置調整(PID_リュール, -0.12,0, -0.2)\nキャラ配置調整(PID_E003_セレスティア, -0.3,0,0)\nキャラ配置調整(PID_E003_グレゴリー,0,0, -0.1)\nキャラ配置調整(PID_E003_エル,0,0, -0.05)\nキャラ配置調整(PID_E003_イル,0,0, 0.05)\n\n*\nパペット会話中断()\nウェイト(0.5)
MID_OP3_#053	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_E003_エル, cam_anim_zoom_out_normal)\n\nキャラ削除(PID_E003_Boss)\nキャラ削除(PID_E003_Hide)
MID_OP3_#054	
MID_OP3_#055	キャラカメラ(CharaCam_Side_Left_Mid, PID_E003_セレスティア, cam_anim_track_r_slow)\nキャラ表示切替(PID_E003_イル, False)
MID_OP3_#056	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_E003_グレゴリー, cam_anim_pan_l_normal)
MID_OP3_#057	シーンカメラ(SceneCam_ViewFromYou_Center_Mid, cam_anim_track_l_normal)\nキャラ表示切替(PID_E003_イル, True)
MID_OP3_#058	キャラカメラ(CharaCam_Side_Left2_Mid, PID_リュール, cam_anim_zoom_in_slow)\nキャラ表示切替(PID_E003_エル, False)\nキャラ表示切替(PID_E003_イル, False)\n\n*\nサウンドイベント(Env_Evt_Rain_Small_End)\nフェードアウト()
MID_EV1_#001	
MID_EV2_#001	
MID_EV3_#001	
MID_EV4_#001	
MID_BT1_#001	
MID_BT2_#001	
MID_BT3_#001	
MID_BT4_#001	
MID_BT5_#001	
MID_BT5_#002	
MID_BT5_#003	
MID_BT5_#004	
MID_BT5_#005	
MID_BT6_#001	
MID_BT6_#002	
MID_BT6_#003	
MID_BT6_#004	
MID_BT6_#005	
MID_BT6_#006	
MID_BT6_#007	
MID_BT7_#001	
MID_BT7_#002	
MID_BT7_#003	
MID_BT7_#004	
MID_BT7_#005	
MID_BT7_#006	
MID_BT8_#001	
MID_BT8_#002	
MID_BT8_#003	
MID_BT8_#004	
MID_BT8_#005	
MID_BT8_#006	
MID_BT8_#007	
MID_BT8_#008	
MID_BT9_#001	
MID_BT9_#002	
MID_BT9_#003	
MID_BT9_#004	
MID_BT9_#005	
MID_BT9_#006	
MID_BT9_#007	
MID_BT9_#008	
MID_BT10_#001	
MID_BT10_#002	
MID_BT10_#003	
MID_BT10_#004	
MID_BT10_#005	
MID_BT10_#006	
MID_BT10_#007	
MID_BT10_#008	
MID_BT11_#001	
MID_BT11_#002	
MID_BT11_#003	
MID_BT11_#004	
MID_BT11_#005	
MID_BT12_#001	
MID_BT12_#002	
MID_BT12_#003	
MID_BT12_#004	
MID_BT12_#005	
MID_BT12_#006	
MID_BT13_#001	
MID_BT13_#002	
MID_BT13_#003	
MID_BT14_#001	
MID_BT14_#002	
MID_BT14_#003	
MID_BT14_#004	
MID_BT14_#005	
MID_BT15_#001	
MID_BT15_#002	
MID_BT15_#003	
MID_BT15_#004	
MID_BT15_#005	
MID_BT15_#006	
MID_BT15_#007	
MID_BT15_#008	
MID_BT16_#001	
MID_BT16_#002	
MID_BT16_#003	
MID_BT16_#004	
MID_BT16_#005	
MID_BT16_#006	
MID_BT16_#007	
MID_BT17_#001	
MID_BT17_#002	
MID_BT17_#003	
MID_BT17_#004	
MID_ED1_#001	キャラ配置(PID_E003_イル, ME_IN_B, [服装], Angry, IdleNormal, -10)\nキャラ配置(PID_E003_エル, ME_IN_C, [服装], Angry, IdleNormal, -30)\nキャラ配置(PID_E003_セレスティア, ME_MID_AB, [服装], Angry, IdleNormal, -10)\nキャラ配置(PID_リュール, ME_MID_BC, [服装], Angry, IdleNormal, -10)\nキャラ配置(PID_E003_グレゴリー, ME_MID_CD, [服装], Angry, IdleNormal, 0)\n\nキャラ配置(PID_E003_Hide, YOU_IN_C, [服装], Pain, IdleNormal, 0)\nキャラ配置調整(PID_E003_Hide,0.1,0,0.3)\nキャラ配置(PID_E003_Boss, YOU_MID_B, [服装], Pain, IdleNormal, 0)\n\nキャラ配置(PID_デモ用_視線設定用, ME_IN_BC, [服装], Angry, IdleNormal, 0)\nキャラ表示切替(PID_デモ用_視線設定用, False)\n\nキャラ武器装備(PID_E003_イル,ルヴァンシュ)\nキャラアニメーター切替(PID_E003_イル, Unit/Anim/UnitAnims/UAS_Sds0AM)\nキャラ武器装備(PID_E003_エル,トライゾン)\nキャラアニメーター切替(PID_E003_エル, Unit/Anim/UnitAnims/UAS_Sds0AF)\nキャラ武器装備(PID_E003_セレスティア,エルサンダー)\nキャラアニメーター切替(PID_E003_セレスティア,Unit/Anim/UnitAnims/UAS_Mag0AF)\nキャラ武器装備(PID_リュール, リベラシオン)\nキャラアニメーター切替(PID_リュール, Unit/Anim/UnitAnims/UAS_Drg0AM, Unit/Anim/UnitAnims/UAS_Drg0AF)\nキャラ武器装備(PID_E003_グレゴリー,エルウィンド)\nキャラアニメーター切替(PID_E003_グレゴリー,Unit/Anim/UnitAnims/UAS_Mag1AM)\n\nキャラ武器装備(PID_E003_Hide, 銀の弓)\nキャラアニメーター切替(PID_E003_Hide, Unit/Anim/UnitAnims/UAS_Trl1AM)\nキャラ武器装備(PID_E003_Boss, 銀の剣)\nキャラアニメーター切替(PID_E003_Boss,Unit/Anim/UnitAnims/UAS_Scs1AM)\n\nキャラ視線(PID_E003_イル, PID_E003_Hide, PID_E003_Hide)\nキャラ視線(PID_E003_エル, PID_E003_Hide, PID_E003_Hide)\nキャラ視線(PID_E003_セレスティア, PID_E003_Hide, PID_E003_Hide)\nキャラ視線(PID_リュール, PID_E003_Hide, PID_E003_Hide)\nキャラ視線(PID_E003_グレゴリー, PID_E003_Hide, PID_E003_Hide)\n\nキャラモーション再生(PID_E003_エル, Angry,IdleNormal_None)\nキャラモーション再生(PID_E003_イル, Angry,IdleNormal_None)\nキャラモーション再生(PID_リュール, Angry,IdleNormal_None)\nキャラモーション再生(PID_E003_セレスティア, Angry,IdleNormal_None)\nキャラモーション再生(PID_E003_グレゴリー, Angry,IdleNormal_None)\n\nキャラモーション再生(PID_E003_Hide, Angry,IdleNormal_None)\nキャラモーション再生(PID_E003_Boss, Angry,IdleNormal_None)\n\n//シーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track_r_slow)\nキャラカメラ(CharaCam_FrontLong_Center_Top, PID_E003_Boss, cam_anim_zoom_in_normal)\nキャラ表示切替(PID_E003_エル, False)\nキャラ表示切替(PID_E003_イル, False)\n\n背景(Map_Event_E003_02)\nライト(CharaLight_E003, 0, 0, 0)\nエフェクト表示(Effect01, Effects/Event/M011_MID_ED3/Prefabs/M011_MID_ED3_03)\n\nサウンドイベント(:Env_Evt_Rain_Small_Start)\n\nフェードイン()
MID_ED1_#002	キャラカメラ(CharaCam_Front_Center_Top, PID_E003_Hide, cam_anim_zoom_in_fast)\nキャラカメラ(CharaCam_Side_Left2_Top, PID_E003_Hide, cam_anim_pan_d_normal)\n\nキャラ表示切替(PID_E003_エル, True)\nキャラ表示切替(PID_E003_イル, True)\n\nキャラ視線(PID_E003_Hide, PID_E003_Boss, PID_E003_Boss)\n\nキャラモーション再生(PID_E003_Hide, Surprise)\n*\nパペット会話中断()\nウェイト(0.5)
MID_ED1_#003	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E003_Hide, cam_anim_track_l_slow)\n\nキャラ視線(PID_E003_Hide, PID_E003_エル, PID_E003_エル)\n\nキャラモーション再生(PID_E003_Hide, Angry, Start_Bow)\nキャラモーション再生(PID_E003_Hide, Angry,IdleNormal_None,0.5,1)
MID_ED1_#004	キャラ視線(PID_E003_Boss, PID_E003_Hide, PID_E003_Hide)\nキャラ視線(PID_E003_Hide, PID_E003_Boss, PID_E003_Boss)\n\nキャラモーション再生(PID_E003_Boss, Pain)\nキャラモーション再生(PID_E003_Hide, Surprise)\n\n*\nウェイト(1)\nキャラ配置調整(PID_E003_エル,0.5,-0.5,0)
MID_ED1_#005	キャラモーション再生(PID_E003_Hide, Pain)\nキャラ視線(PID_E003_Hide, PID_E003_エル, PID_E003_エル)\n\n*\nウェイト(0.5)
MID_ED1_#006	キャラ配置調整(PID_E003_エル, -0.45, 0.5,0)\nキャラ配置調整(PID_E003_セレスティア, -0.3,0,0)\nキャラ配置調整(PID_E003_グレゴリー, 0.35,0,0)\n\nキャラ視線(PID_E003_Boss, PID_リュール, PID_リュール)\nキャラ視線(PID_E003_Hide, PID_リュール, PID_リュール)\n\nキャラ視線(PID_E003_イル, PID_E003_Boss, PID_E003_Boss)\nキャラ視線(PID_E003_エル, PID_E003_Boss, PID_E003_Boss)\nキャラ視線(PID_E003_セレスティア, PID_E003_Boss, PID_E003_Boss)\nキャラ視線(PID_リュール, PID_E003_Boss, PID_E003_Boss)\nキャラ視線(PID_E003_グレゴリー, PID_E003_Boss, PID_E003_Boss)\n\nキャラモーション再生(PID_E003_Boss, Sad)\nキャラモーション再生(PID_E003_Hide, Sad)
MID_ED1_#007	キャラ削除(PID_E003_Boss)\nキャラ削除(PID_E003_Hide)\n\nキャラカメラ(CharaCam_FrontLong_Center_Mid, PID_デモ用_視線設定用, cam_anim_zoom_out_slow)\n\n*\nパペット会話中断()\nウェイト(0.5)\nキャラ配置(PID_E003_Hide, YOU_IN_C, [服装], Pain, IdleNormal, 15)\nキャラ配置調整(PID_E003_Hide,0,0,0.1)\nキャラ配置(PID_E003_Boss, YOU_MID_B, [服装], Pain, IdleNormal, 0)
MID_ED1_#008	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E003_Hide, cam_anim_track_r_slow)\nキャラ配置調整(PID_E003_セレスティア, 0.3,0,0)\nキャラ配置調整(PID_E003_グレゴリー, -0.35,0,0)\n\nキャラモーション再生(PID_E003_Boss, Serious, EmoRelax,0, 0.5)\n\nキャラ回転(PID_E003_Hide, 180,1.5,0)\nキャラ回転(PID_E003_Boss, -179,1.5,4)\n\nキャラモーション再生(PID_E003_Boss, Angry, TurnL,1,1)\nキャラモーション再生(PID_E003_Hide, Angry, TurnR,0,1)\n\nキャラモーション再生(PID_E003_Hide, Angry, WalkOut,1,1)\nキャラモーション再生(PID_E003_Boss, Angry, WalkOut,5, 1)\n\n*\nパペット会話中断()\nウェイト(2)\nフェードアウト()\nウェイト(0.5)\n\nキャラ削除(PID_E003_エル)\nキャラ削除(PID_E003_イル)\nキャラ削除(PID_E003_セレスティア)\nキャラ削除(PID_E003_グレゴリー)\nキャラ削除(PID_リュール)\n\nキャラ配置(PID_E003_セレスティア, ME_MID_AB, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_リュール, ME_MID_BC, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_E003_グレゴリー, ME_MID_CD, [服装], Normal, IdleNormal, 0)\n\nキャラ配置(PID_E003_イル, YOU_IN_B, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_E003_エル, YOU_IN_C, [服装], Angry, IdleNormal, 0)\n\nキャラ配置調整(PID_E003_エル,0,0, -0.5)\n\nサウンドイベント(Env_Evt_Filene_Rock_End)
MID_ED1_#009	キャラ削除(PID_E003_Boss)\nキャラ削除(PID_E003_Hide)\nキャラ配置調整(PID_デモ用_視線設定用,0, -0.3,0)\nシーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track_r_slow)\nウェイト(0.5)\nフェードイン()\n\n一枚絵表示(Tex_Event_DLC_ItemPicture_06, picture_item_fade_in_normal)\n\nキャラモーション再生(PID_E003_エル, Die, EmoPray,0, 0.5)\n\nキャラ視線(PID_リュール, PID_E003_エル, PID_E003_エル)
MID_ED1_#010	キャラモーション再生(PID_リュール, Normal, EmoTalk,0, 0.5)\nキャラモーション再生(PID_E003_エル, Angry, IdleNormal,0,1)\n\nキャラ視線(PID_E003_エル, PID_リュール, PID_リュール)\nキャラ視線(PID_E003_イル, PID_リュール, PID_リュール)\nキャラ視線(PID_E003_セレスティア, PID_リュール, PID_リュール)\nキャラ視線(PID_E003_グレゴリー, PID_リュール, PID_リュール)
MID_ED1_#011	キャラ視線(PID_E003_イル, PID_E003_エル, PID_E003_エル)\nキャラ視線(PID_E003_セレスティア, PID_E003_エル, PID_E003_エル)\nキャラ視線(PID_E003_グレゴリー, PID_E003_エル, PID_E003_エル)\n\nキャラモーション再生(PID_E003_エル, Angry, EmoTalk,0,1)\nキャラモーション再生(PID_リュール, Normal, IdleNormal,0,1)\n\n*\nパペット会話中断()\n一枚絵非表示(picture_item_fade_out_normal)\nキャラカメラ(CharaCam_Side_Right2_Bot, PID_E003_エル, cam_anim_track_l_slow)\nキャラ配置(GID_E003_敵ヴェロニカ, ME_IN_A, [服装], Die, IdleNormal, 45)\nキャラ配置調整(GID_E003_敵ヴェロニカ,1,-1,0)\nキャラ視線(PID_E003_エル, GID_E003_敵ヴェロニカ, GID_E003_敵ヴェロニカ)
MID_ED1_#012	*\nパペット会話中断()\n白フェードイン(1)\nキャラ視線(PID_E003_エル, GID_E003_敵ヴェロニカ, GID_E003_敵ヴェロニカ)
MID_ED1_#013	サウンドイベント(SE_DLC_Evt_E006_OP2_God_Appear)\n\nキャラカメラ(CharaCam_Side_Left_Mid, GID_E003_敵ヴェロニカ, cam_anim_pan_l_slow)\n\nキャラモーション再生(PID_E003_エル, Angry, IdleNormal,0,1)\n\nキャラ配置調整(GID_E003_敵ヴェロニカ, -1.3,1,0)\nキャラ表示切替(GID_E003_敵ヴェロニカ, True)\n\nキャラモーション再生(GID_E003_敵ヴェロニカ, Normal, WalkIn)\nキャラモーション再生(GID_E003_敵ヴェロニカ, Normal, IdleNormal,1,1)\n\nキャラ視線(PID_リュール, GID_E003_敵ヴェロニカ, GID_E003_敵ヴェロニカ)\nキャラ視線(PID_E003_イル, GID_E003_敵ヴェロニカ, GID_E003_敵ヴェロニカ)\nキャラ視線(PID_E003_グレゴリー, GID_E003_敵ヴェロニカ, GID_E003_敵ヴェロニカ)\nキャラ視線(PID_E003_セレスティア, GID_E003_敵ヴェロニカ, GID_E003_敵ヴェロニカ)
