MID_OP1_#001	キャラ配置(PID_E005_Boss, ME_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S010_01)\nライト(CharaLight_S010, 0, 0, 0)\n\nフェードイン()
MID_OP5_#001	キャラ配置(PID_M011_モーヴ, ME_MID_A, [服装], Angry, IdleNormal,10)\nキャラ配置調整(PID_M011_モーヴ,0,0, 0.8)\nキャラ配置(PID_E004_マデリーン, ME_MID_B, [服装], Angry, IdleNormal,0)\nキャラ配置調整(PID_E004_マデリーン,0,0, 0.4)\nキャラ配置(PID_E004_グレゴリー, ME_MID_C, [服装], Angry, IdleNormal,0)\nキャラ配置調整(PID_E004_グレゴリー,0,0, 0.3)\nキャラ配置(PID_E004_セレスティア, ME_MID_D, [服装], Angry, IdleNormal,0)\nキャラ配置調整(PID_E004_セレスティア, 0.3,0, 0.5)\n\nキャラ配置(PID_E005_エル, ME_IN_BC, [服装], Normal, IdleNormal,0)\nキャラ配置調整(PID_E005_エル,0,0, 0.5)\n\nキャラ配置(PID_E005_Boss, YOU_IN_BC, [服装], Normal, IdleNormal,180)\nキャラ配置調整(PID_E005_Boss,0,0, 0.5)\n\nキャラ配置(PID_E005_異形兵_ソードマスター, ME_OUT_A, [服装], Angry, IdleNormal,20)\nキャラ配置調整(PID_E005_異形兵_ソードマスター, -0.2,0, -2)\nキャラ表示切替(PID_E005_異形兵_ソードマスター, False)\n\nキャラ配置(PID_E005_異形兵_ベルセルク, ME_OUT_B, [服装], Angry, IdleNormal,0)\nキャラ配置調整(PID_E005_異形兵_ベルセルク, 0.1,0, -0.8)\nキャラ表示切替(PID_E005_異形兵_ベルセルク, False)\n\nキャラ配置(PID_E005_異形兵_スナイパー, ME_OUT_C, [服装], Angry, IdleNormal,0)\nキャラ配置調整(PID_E005_異形兵_スナイパー, 0.3,0, -2.5)\nキャラ表示切替(PID_E005_異形兵_スナイパー, False)\n\nキャラ配置(PID_E005_異形兵_セイジ, ME_OUT_D, [服装], Angry, IdleNormal, -30)\nキャラ配置調整(PID_E005_異形兵_セイジ, 0.7,0,-1)\nキャラ表示切替(PID_E005_異形兵_セイジ, False)\n\nキャラ配置(PID_デモ用_視線設定用, ME_MID_BC, [服装], Angry, IdleNormal,0)\nキャラ配置調整(PID_デモ用_視線設定用,0, -1.5,0)\nキャラ表示切替(PID_デモ用_視線設定用, False)\n\n背景(Map_Event_E005_01)\nライト(CharaLight_E005, 0, 0, 0)\n\nシーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E005_エル, Angry, WalkIn2)\nキャラモーション再生(PID_E005_Boss, Normal, WalkIn2)\n\nキャラモーション再生(PID_M011_モーヴ, Angry, WalkIn)\nキャラモーション再生(PID_E004_マデリーン, Angry, WalkIn)\nキャラモーション再生(PID_E004_グレゴリー, Angry, WalkIn)\nキャラモーション再生(PID_E004_セレスティア, Angry, WalkIn)\n\nサウンドイベント(ENV_Evt_Indoor_Air1_Start)\nサウンドイベント(Env_Evt_Torch_Start_VerySlow)\nサウンドイベント(Field_Castle)\nフェードイン()
MID_OP5_#002	キャラカメラ(CharaCam_Shoulder_Right_Mid, PID_E005_エル, cam_anim_track2_l_normal)\n\nキャラ表示切替(PID_M011_モーヴ, False)\nキャラ表示切替(PID_E004_マデリーン, False)\nキャラ表示切替(PID_E004_セレスティア, False)\nキャラ表示切替(PID_E004_グレゴリー, False)\n\nキャラモーション再生(PID_E005_エル, Pain, EmoLook,0,1)\n\n*\nウェイト(1)\n\nキャラ回転(PID_M011_モーヴ,180,0,0)\nキャラ回転(PID_E004_マデリーン,180,0,0)\nキャラ回転(PID_E004_グレゴリー,180,0,0)\nキャラ回転(PID_E004_セレスティア,180,0,0)\n\nキャラアニメーター切替(PID_M011_モーヴ,Unit/Anim/UnitAnims/UAS_Lnc0AM)\nキャラアニメーター切替(PID_E004_マデリーン,Unit/Anim/UnitAnims/UAS_Amr1AF)
MID_OP5_#003	キャラ回転(PID_E005_Boss,120,1,0)\nキャラ視線(PID_E005_Boss, PID_E005_エル, PID_E005_エル)\nキャラモーション再生(PID_E005_Boss, Sad, TurnR,0, 0.5)\n\nキャラアニメーター切替(PID_E004_グレゴリー,Unit/Anim/UnitAnims/UAS_Mag1AM)\nキャラアニメーター切替(PID_E004_セレスティア,Unit/Anim/UnitAnims/UAS_Rod2AF)
MID_OP5_#004	キャラ回転(PID_E005_Boss,60,0.5,0)\nキャラモーション再生(PID_E005_Boss, Surprise, EmoSurprise,0, 0.5)\n\nキャラ回転(PID_E005_エル,180,1.5,1)\nキャラモーション再生(PID_E005_エル, Angry, TurnR,1, 0.5)\nキャラモーション再生(PID_E005_エル, Surprise, TurnR, 1.5, 0.5)\n\n*\nキャラ表示切替(PID_E005_異形兵_ソードマスター, True)\nキャラ表示切替(PID_E005_異形兵_ベルセルク, True)\nキャラ表示切替(PID_E005_異形兵_スナイパー, True)\nキャラ表示切替(PID_E005_異形兵_セイジ, True)\n\nキャラ武器装備(PID_E005_異形兵_ソードマスター, 鋼の剣)\nキャラ武器装備(PID_E005_異形兵_ベルセルク, 鋼の斧)\nキャラ武器装備(PID_E005_異形兵_スナイパー, 鋼の弓)\nキャラ武器装備(PID_E005_異形兵_セイジ, エルファイアー)\n\nキャラモーション再生(PID_E005_異形兵_ソードマスター, StandBy)\nキャラモーション再生(PID_E005_異形兵_ベルセルク, StandBy, WalkIn,0, 0.5)\nキャラモーション再生(PID_E005_異形兵_スナイパー, StandBy)\nキャラモーション再生(PID_E005_異形兵_セイジ, StandBy, WalkIn, 0.3, 0.5)\nウェイト(1)
MID_OP5_#005	サウンドイベント(SE_DLC_Evt_E005_OP5_Raid)\nキャラカメラ(CharaCam_SideLong_Left_Mid, PID_E005_異形兵_セイジ, cam_anim_track_l_slow)\nキャラ表示切替(PID_E005_エル, False)\nキャラ表示切替(PID_E005_Boss, False)\n\nキャラアニメーター切替(PID_E005_エル, Unit/Anim/UnitAnims/UAS_Sds0AF)\n\nキャラ回転(PID_E005_Boss, 20,0,0)\nキャラ回転(PID_E005_エル, 20,0,0)\n\n*\nサウンドイベント(ENV_Evt_Indoor_Air1_End)\nウェイト(2)
MID_OP5_#006	キャラカメラ(CharaCam_ShoulderLong_Right_Mid, PID_E004_グレゴリー, cam_anim_track_r_slow,0.5)\n\nキャラ表示切替(PID_E005_エル, True)\nキャラ表示切替(PID_E005_Boss, True)\n\nキャラ表示切替(PID_M011_モーヴ, True)\nキャラ表示切替(PID_E004_マデリーン, True)\nキャラ表示切替(PID_E004_セレスティア, True)\nキャラ表示切替(PID_E004_グレゴリー, True)\n\nキャラ武器装備(PID_E005_エル,トライゾン)\n\nキャラ武器装備(PID_M011_モーヴ,鋼の槍)\nキャラ武器装備(PID_E004_マデリーン,鋼の斧)\nキャラ武器装備(PID_E004_グレゴリー,エルファイアー)\nキャラ武器装備(PID_E004_セレスティア,エルサンダー)\n\nキャラモーション再生(PID_E005_エル, Angry, IdleNormal_None)\nキャラモーション再生(PID_E005_Boss, Normal)\n\nキャラモーション再生(PID_M011_モーヴ, Angry, IdleNormal_None)\nキャラモーション再生(PID_E004_マデリーン, Angry, IdleNormal_None)\nキャラモーション再生(PID_E004_グレゴリー, Surprise, IdleNormal_None)\nキャラモーション再生(PID_E004_セレスティア, Surprise, IdleNormal_None)
MID_OP5_#007	キャラモーション再生(PID_E004_グレゴリー, Pain, EmoDeny2,0, 0.5)\nキャラモーション再生(PID_E004_セレスティア, Angry)\n\nキャラ視線(PID_E005_Boss, PID_E005_エル, PID_E005_エル)
MID_OP5_#008	キャラ配置調整(PID_E004_マデリーン, -0.2,0,0)\n\nキャラカメラ(CharaCam_Shoulder_Left_Mid, PID_E004_マデリーン, cam_anim_track_l_slow)\n\nキャラ表示切替(PID_M011_モーヴ, False)\nキャラ表示切替(PID_E004_マデリーン, False)\nキャラ表示切替(PID_E004_セレスティア, False)\nキャラ表示切替(PID_E004_グレゴリー, False)
MID_OP5_#009	キャラ視線(PID_E005_Boss, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラモーション再生(PID_E005_Boss, Serious, IdleNormal,0,1)\n\n*\nウェイト(1)\nキャラ配置調整(PID_デモ用_視線設定用, 0.5,1,0)
MID_OP5_#010	キャラ視線(PID_E005_エル, PID_E005_Boss, PID_E005_Boss)
MID_OP5_#011	キャラカメラ(CharaCam_Shoulder_Left_Mid, PID_E005_Boss, cam_anim_track2_l_normal)\nキャラ配置調整(PID_E004_マデリーン, 0.2,0,0)\nキャラ回転(PID_E005_Boss, -20,0,0)\n\nキャラモーション再生(PID_E005_Boss, Serious, EmoDeny2,0, 0.5)\n\nキャラ表示切替(PID_M011_モーヴ, True)\nキャラ表示切替(PID_E004_マデリーン, True)\nキャラ表示切替(PID_E004_セレスティア, True)\nキャラ表示切替(PID_E004_グレゴリー, True)\n\n*\nパペット会話中断()\nウェイト(0.5)\nキャラ配置調整(PID_E005_Boss,1,0,0)\nキャラ回転(PID_E005_Boss, 40,0,0)
MID_OP5_#012	キャラカメラ(CharaCam_Side_Right2_Bot, PID_E005_Boss, cam_anim_track_l_slow)\nキャラ削除(PID_E005_エル)\n\nキャラモーション再生(PID_E005_Boss, Angry, IdleNormal, 3.5,1)\n\n*\nウェイト(1)\n\nキャラ配置(PID_E005_エル, ME_IN_BC, [服装], Normal, IdleNormal,90)\nキャラ配置調整(PID_E005_エル,0,0, 0.5)\nキャラモーション再生(PID_E005_エル, Surprise)
MID_OP5_#013	キャラカメラ(CharaCam_Shoulder_Right_Mid, PID_E005_エル, cam_anim_track_r_slow)\n\nキャラ回転(PID_E005_エル, 100,4,2)\nキャラモーション再生(PID_E005_エル, Surprise, TurnL)\nキャラモーション再生(PID_E005_エル, Surprise, TurnR, 1.5, 0.5)\nキャラモーション再生(PID_E005_エル, Surprise, TurnR,3, 0.5)\n\nキャラモーション再生(PID_E005_Boss, StandBy)\nキャラモーション再生(PID_E005_Boss, Normal, WalkOut,1.5,0)\n\n*\nウェイト(3)\n\nフェードアウト()\nキャラ削除(PID_E005_Boss)\nウェイト(0.5)\n\nパペット会話中断()\n\nキャラ配置(PID_E005_Boss, ME_OUT_BC, [服装], Normal, IdleNormal,180)\nキャラ配置調整(PID_E005_Boss,0,0,1)\n\nキャラ表示切替(PID_E005_Boss, False)\n\nキャラ配置調整(PID_E005_異形兵_ソードマスター,0,0, 0.7)\nキャラ配置調整(PID_E005_異形兵_ベルセルク,0,0, 0.7)\nキャラ配置調整(PID_E005_異形兵_スナイパー,0,0, 0.7)\nキャラ配置調整(PID_E005_異形兵_セイジ,0,0, 0.7)\n\nキャラ削除(PID_E005_エル)\nキャラ削除(PID_M011_モーヴ)\nキャラ削除(PID_E004_マデリーン)\nキャラ削除(PID_E004_グレゴリー)\nキャラ削除(PID_E004_セレスティア)\n\nキャラ配置(PID_M011_モーヴ, YOU_MID_A, [服装], Angry, IdleNormal,-20)\nキャラ配置調整(PID_M011_モーヴ,0,0, 0.8)\nキャラ表示切替(PID_M011_モーヴ, False)\nキャラ配置(PID_E004_マデリーン, YOU_MID_B, [服装], Angry, IdleNormal,-15)\nキャラ配置調整(PID_E004_マデリーン,0,0, 0.4)\nキャラ表示切替(PID_E004_マデリーン, False)\nキャラ配置(PID_E004_グレゴリー, YOU_MID_C, [服装], Angry, IdleNormal,0)\nキャラ配置調整(PID_E004_グレゴリー,0,0, 0.3)\nキャラ表示切替(PID_E004_グレゴリー, False)\nキャラ配置(PID_E004_セレスティア, YOU_MID_D, [服装], Angry, IdleNormal,20)\nキャラ配置調整(PID_E004_セレスティア, 0.15,0, 0.5)\nキャラ表示切替(PID_E004_セレスティア, False)\n\nキャラ配置(PID_E005_エル, YOU_OUT_BC, [服装], Normal, IdleNormal,0)\nキャラ配置調整(PID_E005_エル,0,0, 0.5)\n\nキャラ配置(GID_E005_敵クロム, ME_MID_A, [服装], Normal, IdleNormal,50)\nキャラ配置調整(GID_E005_敵クロム, 0.2,0, -0.1)\nキャラ表示切替(GID_E005_敵クロム, False)
MID_OP5_#014	キャラ表示切替(PID_E005_Boss, True)\nキャラモーション再生(PID_E005_Boss, Smile, WalkIn2)\n\nキャラカメラ(CharaCam_SideLong_Left_Mid, PID_E005_Boss, cam_anim_track_r_slow)\n\nキャラ配置調整(PID_E004_セレスティア, 0.2,0, 0.5)\nキャラ配置調整(PID_E004_グレゴリー, 0.25,0, 0.5)\nキャラ配置調整(PID_E004_マデリーン, -0.15,0, 0.6)\nキャラ配置調整(PID_M011_モーヴ, -0.1,0, -0.05)\n\nウェイト(0.5)\nフェードイン()\n\nウェイト(1)\nキャラ回転(PID_E005_Boss, 180, 1.5,0)\nキャラモーション再生(PID_E005_Boss, Smile, EmoProud,0, 0.5)\n\nキャラ配置調整(PID_デモ用_視線設定用, 0.6, 0.5, -0.7)\nキャラ視線(PID_E005_Boss, PID_E005_エル, PID_E005_エル)
MID_OP5_#015	キャラカメラ(CharaCam_Side_Right2_Mid, PID_E005_エル, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E005_エル, Surprise)\nキャラモーション再生(PID_E005_エル, Sad, EmoTalk2,0, 0.5)
MID_OP5_#016	キャラカメラ(CharaCam_Shoulder_Right_Mid, PID_デモ用_視線設定用, cam_anim_pan_l_normal)\nキャラモーション再生(PID_E005_エル, Sad, IdleNormal,0,1)\n\nキャラ表示切替(PID_E005_異形兵_ベルセルク, False)\nキャラ表示切替(PID_E005_異形兵_セイジ, False)\n\nキャラ表示切替(PID_M011_モーヴ, True)\nキャラ表示切替(PID_E004_マデリーン, True)\nキャラ表示切替(PID_E004_セレスティア, True)\nキャラ表示切替(PID_E004_グレゴリー, True)\n\nキャラモーション再生(PID_E004_セレスティア, Surprise, EmoTalk2,0, 0.5)
MID_OP5_#017	キャラモーション再生(PID_E004_マデリーン, Sad, EmoSad2,0, 0.5)\nキャラモーション再生(PID_E005_Boss, Smile, IdleNormal,0,1)
MID_OP5_#018	キャラ回転(PID_E005_Boss, -40, 0.5,0)\nキャラモーション再生(PID_E005_Boss, Smile, TurnL,0, 0.5)
MID_OP5_#019	キャラ表示切替(PID_E005_異形兵_ベルセルク, True)\nキャラ表示切替(PID_E005_異形兵_セイジ, True)\n\nキャラ表示切替(PID_E004_セレスティア, False)\nキャラ表示切替(PID_E004_グレゴリー, False)\n\nキャラ武器装備解除(PID_M011_モーヴ)\nキャラ武器装備解除(PID_E004_マデリーン)\nキャラ武器装備解除(PID_E004_グレゴリー)\nキャラ武器装備解除(PID_E004_セレスティア)\n\nキャラカメラ(CharaCam_Front_Center_Mid, GID_E005_敵クロム, cam_anim_waisttoface)\nキャラ表示切替(GID_E005_敵クロム, True)\n\nキャラモーション再生(PID_E005_エル, Surprise, EmoLook)\n\n*\nキャラモーション待ち(PID_E005_エル)
MID_OP5_#020	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_E005_Boss, cam_anim_pan_u_normal)\nキャラ表示切替(PID_E004_セレスティア, False)\n\nキャラ視線(PID_E005_Boss, GID_E005_敵クロム, GID_E005_敵クロム)\nキャラ視線(PID_E005_Boss, PID_E005_エル, PID_E005_エル,6)\n\nキャラモーション再生(PID_E005_Boss, Smile, EmoNod,6, 0.5)
MID_OP5_#021	キャラ視線(PID_E005_Boss, PID_E005_エル, PID_E005_エル)\n*\nパペット会話中断()\nキャラカメラ(CharaCam_Side_Right_Mid, PID_E005_エル, cam_anim_pan_r_slow)\nキャラモーション再生(PID_E005_エル, Surprise)\nキャラ回転(PID_E005_Boss, 40,0,0)\n\nキャラアニメーター切替(PID_E005_Boss, Unit/Anim/Demo/AOC_Demo_c503)\n\nウェイト(1)
MID_OP5_#022	キャラカメラ(CharaCam_FrontLong_Center_Bot, PID_E005_Boss, cam_anim_zoom_in_fast)\n\nキャラモーション再生(PID_E005_Boss, Strike, EmoPray,0, 0.5)\n\n*\nキャラ配置調整(PID_E004_セレスティア, -0.2,0,1)\nキャラ配置調整(PID_E004_グレゴリー, -0.25,0,1)\nキャラ配置調整(PID_E004_マデリーン, 0.15,0, 0.9)\nキャラ配置調整(PID_M011_モーヴ, 0.1,0, 1.55)\nキャラモーション再生(PID_E005_エル, Pain, WalkIn2)\n\nウェイト(0.3)
MID_OP5_#023	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E005_エル, cam_anim_track_l_normal)\n\nキャラ表示切替(PID_E005_異形兵_ベルセルク, False)\n\nキャラモーション再生(PID_E005_エル, Pain, EmoDeny2,1,1)\n\nキャラ表示切替(PID_E004_セレスティア, True)\nキャラ表示切替(PID_E004_グレゴリー, True)\n\n*\nパペット会話中断()\nウェイト(1)
MID_OP5_#024	キャラモーション再生(PID_E005_エル, Pain, EmoSad2,0,1)\nキャラモーション再生(PID_E005_エル, Pain, EmoLook,1,1)\n\nキャラモーション再生(PID_E005_Boss, Smile, IdleNormal,0,1)\n\n*\nウェイト(1)
MID_OP5_#025	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_E005_Boss, cam_anim_zoom_out_normal)\nキャラ表示切替(PID_E005_異形兵_ベルセルク, True)\n\nキャラモーション再生(PID_E005_Boss, Smile, EmoTalk,0, 0.5)\n\nキャラモーション再生(PID_E005_エル, Pain, IdleNormal,0,1)
MID_OP5_#026	キャラモーション再生(PID_E005_Boss, Smile, EmoTalk2,0,1)
MID_OP5_#027	キャラカメラ(CharaCam_Front_Center_Mid, PID_E005_エル, cam_anim_zoom_in_fast)\n\nキャラモーション再生(PID_E005_エル, Surprise)\nキャラモーション再生(PID_M011_モーヴ, Surprise)\nキャラモーション再生(PID_E004_マデリーン, Surprise)\nキャラモーション再生(PID_E004_グレゴリー, Surprise)\nキャラモーション再生(PID_E004_セレスティア, Surprise)\n\nキャラアニメーター切替(PID_E005_Boss, Unit/Anim/Demo/AOC_Demo_c049)\n\n*\nウェイト(1)\nキャラ削除(GID_E005_敵クロム)
MID_OP5_#028	キャラカメラ(CharaCam_Side_Left2_Mid, PID_E005_Boss, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E005_Boss, Smile, EmoTalk2,0, 0.5)
MID_OP5_#029	キャラモーション再生(PID_E005_Boss, Smile, EmoWave, 0.5,1)\n\n*\nパペット会話中断()\nウェイト(1)
MID_OP5_#030	キャラモーション再生(PID_E005_Boss, Smile, EmoThink,0,1)\nキャラモーション再生(PID_E005_Boss, Smile, TurnR,5,1)\nキャラ回転(PID_E005_Boss,130, 1.5,5)\nキャラモーション再生(PID_E005_Boss, Smile, WalkOut,6,1)\n\n*\nパペット会話中断()\nウェイト(1)\nパペット会話中断()\nキャラモーション待ち(PID_E005_Boss)
MID_OP5_#031	ウェイト(1)\nキャラ表示切替(PID_E005_Boss, False)\nキャラカメラ(CharaCam_Side_Right2_Bot, PID_E005_エル, cam_anim_track_l_slow)\nキャラ配置調整(PID_デモ用_視線設定用, -0.8, -0.5, 0.8)\n\nキャラモーション再生(PID_E005_エル, Pain, EmoTired,0, 0.5)\n\nキャラ視線(PID_E005_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)
MID_OP5_#032	キャラ視線(PID_M011_モーヴ, PID_E005_エル, PID_E005_エル)\nキャラ視線(PID_E004_マデリーン, PID_E005_エル, PID_E005_エル)\nキャラ視線(PID_E004_セレスティア, PID_E005_エル, PID_E005_エル)\n\nキャラモーション再生(PID_M011_モーヴ, Angry, EmoDeny,0 ,0.5)
MID_OP5_#033	キャラ視線(PID_E004_グレゴリー, PID_E005_エル, PID_E005_エル)\nキャラモーション再生(PID_E004_グレゴリー, Pain, EmoDeny2,0 ,0.5)
MID_OP5_#034	キャラ配置調整(PID_デモ用_視線設定用, -0.2, -0.3, -0.2)\nキャラ視線(PID_E005_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E005_エル, Angry, EmoNod,0, 0.5)\n\nキャラ配置調整(PID_E005_異形兵_ソードマスター, -1,0, 0.5)\nキャラ配置調整(PID_E005_異形兵_ベルセルク, -1,0, 0.5)\nキャラ配置調整(PID_E005_異形兵_スナイパー, -1,0, 0.5)\nキャラ配置調整(PID_E005_異形兵_セイジ, -1,0, 0.5)\n\n*\nパペット会話中断()\nウェイト(1)
MID_OP5_#035	キャラモーション再生(PID_E005_エル, Surprise)\nキャラモーション再生(PID_E005_エル, Pain, EmoSad2,1, 0.5)
MID_OP5_#036	キャラカメラ(CharaCam_Shoulder_Left_Mid, PID_E005_エル, cam_anim_zoom_in_normal)\n\nキャラ表示切替(PID_M011_モーヴ, False)\nキャラ表示切替(PID_E004_マデリーン, False)\nキャラ表示切替(PID_E004_セレスティア, False)\nキャラ表示切替(PID_E004_グレゴリー, False)\n\nキャラモーション再生(PID_E005_エル, Sad, EmoDeny2,0,1)\n\n*\nパペット会話中断()\nウェイト(1)\nフェードアウト()\nウェイト(1)\n\nキャラ視線リセット(PID_M011_モーヴ)\nキャラ視線リセット(PID_E004_マデリーン)\nキャラ視線リセット(PID_E004_グレゴリー)\nキャラ視線リセット(PID_E004_セレスティア)\n\nキャラアニメーター切替(PID_M011_モーヴ,Unit/Anim/UnitAnims/UAS_Lnc0AM)\nキャラアニメーター切替(PID_E004_マデリーン,Unit/Anim/UnitAnims/UAS_Amr1AF)\nキャラアニメーター切替(PID_E004_グレゴリー,Unit/Anim/UnitAnims/UAS_Mag1AM)\nキャラアニメーター切替(PID_E004_セレスティア,Unit/Anim/UnitAnims/UAS_Rod2AF)
MID_OP5_#037	キャラ配置調整(PID_E005_エル,0,0, 1.5)\nキャラ配置調整(PID_M011_モーヴ,0,0, -0.25)\nキャラ配置調整(PID_E004_グレゴリー,0,0, 0.05)\nキャラ配置調整(PID_E004_グレゴリー,0,0, 0.2)\nキャラ配置調整(PID_E004_セレスティア, -0.05,0,0)\nキャラ回転(PID_E004_セレスティア,10,0,0)\nキャラ配置調整(PID_デモ用_視線設定用, 0.7, 0.7, 1.6)\nキャラカメラ(CharaCam_Shoulder_Right_Mid, PID_デモ用_視線設定用, cam_anim_pan_l_normal)\n\nキャラ表示切替(PID_M011_モーヴ, True)\nキャラ表示切替(PID_E004_マデリーン, True)\nキャラ表示切替(PID_E004_セレスティア, True)\nキャラ表示切替(PID_E004_グレゴリー, True)\n\nキャラ武器装備(PID_M011_モーヴ,鋼の槍)\nキャラ武器装備(PID_E004_マデリーン,鋼の斧)\nキャラ武器装備(PID_E004_グレゴリー,エルファイアー)\nキャラ武器装備(PID_E004_セレスティア,エルサンダー)\n\nキャラモーション再生(PID_M011_モーヴ, Angry, IdleRelax_Lance)\nキャラモーション再生(PID_E004_マデリーン, Angry, IdleRelax_Axe)\nキャラモーション再生(PID_E004_グレゴリー, Angry, IdleRelax_Magic)\nキャラモーション再生(PID_E004_セレスティア, Angry, IdleRelax_Magic)\n\nウェイト(0.5)\nフェードイン()
MID_OP5_#038	キャラカメラ(CharaCam_ShoulderLong_Left_Mid, PID_E005_エル, cam_anim_track_r_slow)\n\nキャラ回転(PID_E005_エル, -70,1,0)\nキャラモーション再生(PID_E005_エル, Surprise, TurnL,0, 0.5)\n\nキャラ視線(PID_E005_エル, PID_E004_セレスティア, PID_E004_セレスティア)
MID_OP5_#039	キャラカメラ(CharaCam_Side_Right2_Mid, PID_E004_セレスティア, cam_anim_track_r_slow)\n\nキャラ視線(PID_E004_セレスティア, PID_E005_エル, PID_E005_エル)\n\nキャラモーション再生(PID_E004_セレスティア, Smile)
MID_OP5_#040	キャラ視線(PID_E004_セレスティア, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E004_セレスティア, Angry)
MID_OP5_#041	キャラモーション再生(PID_E005_エル, Pain, EmoSurprise2,0, 0.5)\nキャラ削除(PID_デモ用_視線設定用)\n\n*\nキャラモーション待ち(PID_E005_エル)\nキャラ配置(PID_デモ用_視線設定用, YOU_MID_AB, [服装], Angry, IdleNormal,0)\nキャラ配置調整(PID_デモ用_視線設定用, -0.15, -0.05, 1.9)\nキャラ表示切替(PID_デモ用_視線設定用, False)
MID_OP5_#042	キャラカメラ(CharaCam_Side_Left_Mid, PID_デモ用_視線設定用, cam_anim_pan_d_normal)\n\nキャラ回転(PID_E005_エル,90,1,0)\nキャラモーション再生(PID_E005_エル, Surprise, TurnR,0, 0.5)\nキャラ視線(PID_E005_エル, PID_M011_モーヴ, PID_M011_モーヴ)\n\nキャラモーション再生(PID_M011_モーヴ, Angry, IdleNormal_None,0, 0.5)\n\n*\nウェイト(0.5)
MID_OP5_#043	キャラカメラ(CharaCam_Side_Right2_Mid, PID_E004_グレゴリー, cam_anim_track_l_slow)\n\nキャラ回転(PID_E005_エル,-30,1,0)\nキャラモーション再生(PID_E005_エル, Surprise, TurnL,0, 0.5)\nキャラ視線(PID_E005_エル, PID_E004_グレゴリー, PID_E004_グレゴリー)\n\nキャラモーション再生(PID_E004_グレゴリー, Smile)\nキャラモーション再生(PID_E004_グレゴリー, Angry, IdleNormal_None,0, 0.5)\n\n*\nウェイト(0.5)
MID_OP5_#044	キャラカメラ(CharaCam_Side_Left_Mid, PID_E004_マデリーン, cam_anim_pan_l_slow)\n\nキャラ回転(PID_E005_エル,20,1,0)\nキャラモーション再生(PID_E005_エル, Surprise, TurnR,0, 0.5)\nキャラ視線(PID_E005_エル, PID_E004_マデリーン, PID_E004_マデリーン)\n\nキャラモーション再生(PID_E004_マデリーン, Angry, IdleNormal_None,0, 0.5)\n\n*\nウェイト(0.5)
MID_OP5_#045	キャラカメラ(CharaCam_Side_Left2_Bot, PID_E004_セレスティア, cam_anim_zoom_in_fast)\n\nキャラ回転(PID_E005_エル,-80,0,0)\nキャラ視線リセット(PID_E005_エル)\n\nキャラモーション再生(PID_E004_セレスティア, Angry)\nキャラモーション再生(PID_E004_セレスティア, Angry, IdleNormal_None,0, 0.5)\n\n*\nウェイト(1)
MID_OP5_#046	キャラカメラ(CharaCam_ShoulderLong_Left_Mid, PID_E005_エル, cam_anim_track2_l_normal)\n\nキャラモーション再生(PID_E005_エル, Angry, EmoSad2,0, 0.5)
MID_OP5_#047	キャラ視線(PID_E005_エル, PID_E004_セレスティア, PID_E004_セレスティア)
MID_OP5_#048	キャラ回転(PID_E005_エル, -30,1,0)\nキャラモーション再生(PID_E005_エル, Pain, TurnL,0, 0.5)\n\nキャラモーション再生(PID_E005_エル, Angry, RunOut,2, 0.5)
MID_OP5_#049	キャラ配置調整(PID_デモ用_視線設定用,2, 0.05, -0.5)\nキャラカメラ(CharaCam_SideLong_Right_Mid, PID_デモ用_視線設定用, cam_anim_pan_l_normal)\n\n*\nウェイト(1)\nフェードアウト()\nサウンドイベント(Env_Evt_Torch_Stop_Normal)
