MID_OP1_#001	キャラ配置(PID_セピア, ME_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S010_01)\nライト(CharaLight_S010, 0, 0, 0)\n\nフェードイン()
MID_OP3_#044	キャラカメラ(CharaCam_Shoulder_Left_Mid, PID_E002_Hide, cam_anim_tracklong_r_normal)\n\nキャラ表示切替(PID_E002_異形兵_ソードアーマー,False)\nキャラ表示切替(PID_E002_異形兵_アクスアーマー,False)\nキャラモーション再生(PID_E002_Boss, Angry, IdleNormal,0,1)
MID_OP3_#045	キャラモーション再生(PID_E002_エル, Normal, EmoTalk,0, 0.5)
MID_OP3_#046	
MID_OP3_#047	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E002_Hide, cam_anim_pan_u_normal)\nキャラ表示切替(PID_E002_異形兵_ソードアーマー,True)\nキャラ表示切替(PID_E002_異形兵_アクスアーマー,True)\n\nキャラモーション再生(PID_E002_Hide, Angry, EmoTalk2,0, 0.5)\nキャラモーション再生(PID_E002_エル, Normal, IdleNormal)\n\nキャラ視線(PID_E002_イル, PID_E002_Hide, PID_E002_Hide)\nキャラ視線(PID_E002_エル, PID_E002_Hide, PID_E002_Hide)\nキャラ視線(PID_E002_セレスティア, PID_E002_Hide, PID_E002_Hide)
MID_OP3_#048	
MID_OP3_#049	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_E002_エル, cam_anim_pan_r_normal)\n\nキャラモーション再生(PID_E002_エル, Angry)\nキャラモーション再生(PID_E002_イル, Angry, EmoSurprise2,0, 0.5)\nキャラモーション再生(PID_E002_Hide, Angry, IdleNormal)
MID_OP3_#050	キャラ視線(PID_E002_イル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E002_エル, Serious)\nキャラモーション再生(PID_E002_イル, Angry, EmoDeny2,0,1)
MID_OP3_#051	キャラ視線(PID_E002_イル, PID_E002_エル, PID_E002_エル)\nキャラ視線(PID_E002_エル, PID_E002_イル, PID_E002_イル)\nキャラ視線(PID_E002_セレスティア, PID_E002_イル, PID_E002_イル)\n\nキャラモーション再生(PID_E002_エル, Normal)\nキャラモーション再生(PID_E002_イル, Surprise, IdleNormal,0,1)\n\n*\nキャラモーション再生(PID_E002_イル, Sad)\nウェイト(1)
MID_OP3_#052	シーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_r_slow)\n\nキャラ視線(PID_E002_イル, PID_E002_Boss, PID_E002_Boss)\nキャラ視線(PID_E002_セレスティア, PID_E002_Boss, PID_E002_Boss)\n\nキャラモーション再生(PID_E002_イル, Sad, EmoRelax,0, 0.5)\n*\nウェイト(0.5)
MID_OP3_#053	キャラ視線(PID_E002_エル, PID_E002_Boss, PID_E002_Boss)\nキャラモーション再生(PID_E002_エル, Normal, EmoTalk2,0, 0.5)\nキャラモーション再生(PID_E002_イル, Sad, IdleNormal,0,1)
MID_OP3_#054	
MID_OP3_#055	
MID_OP3_#056	キャラカメラ(CharaCam_Side_Right2_Bot, PID_E002_Boss, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E002_Boss, Angry, EmoThinkIn,0, 0.5)\nキャラモーション再生(PID_E002_イル, Angry)\nキャラモーション再生(PID_E002_エル, Normal, IdleNormal)
MID_OP3_#057	キャラモーション再生(PID_E002_Boss, Normal, EmoThinkOut,0, 0.5)
MID_OP3_#058	キャラカメラ(CharaCam_Side_Left2_Mid, PID_E002_エル, cam_anim_track_r_slow)
MID_OP3_#059	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_E002_Hide, cam_anim_pan_l_slow)\n\nキャラモーション再生(PID_E002_Hide, Serious, EmoDeny,0, 0.5)\nキャラモーション再生(PID_E002_Boss, Angry)
MID_OP3_#060	キャラモーション再生(PID_E002_Hide, Angry, EmoTalk,0,1)
MID_OP3_#061	キャラカメラ(CharaCam_Side_Left2_Bot, PID_E002_エル, cam_anim_track_l_slow)\nキャラモーション再生(PID_E002_エル, Angry)\n\nウェイト(0.5)\n\nキャラ武器装備(PID_E002_Hide, エルサンダー)\nキャラアニメーター切替(PID_E002_Hide, Unit/Anim/UnitAnims/UAS_Flr1AF)\nキャラ配置調整(PID_E002_Hide, 0.2,0,0)\nキャラモーション再生(PID_E002_Hide, Angry,IdleNormal_None)
MID_OP3_#062	キャラカメラ(CharaCam_Side_Right_Mid, PID_E002_Hide, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E002_Hide, Relax, EmoTalk2,0, 0.5)\n\nキャラ表示切替(PID_E002_イル, False)\nキャラ表示切替(PID_E002_エル, False)\nキャラ表示切替(PID_E002_セレスティア, False)\n\n*\nフェードアウト()\nパペット会話中断()\nウェイト(1)\n\nキャラ配置調整(PID_E002_イル, -0.7,0, -0.2)\nキャラ配置調整(PID_E002_エル, -0.4,0, 0.1)\nキャラ配置調整(PID_E002_セレスティア, -0.2,0,0)\nキャラ配置(PID_リュール, ME_MID_D, [服装], Pain, IdleNormal, -30)\nキャラ配置調整(PID_リュール, -0.5,0,0)\n\nキャラアニメーター切替(PID_E002_エル, Unit/Anim/UnitAnims/UAS_Sds0AF)\nキャラアニメーター切替(PID_E002_イル, Unit/Anim/UnitAnims/UAS_Sds0AM)\nキャラアニメーター切替(PID_E002_セレスティア,Unit/Anim/UnitAnims/UAS_Mag0AF)\n\nキャラモーション再生(PID_E002_エル, Angry,IdleNormal_None)\nキャラモーション再生(PID_E002_イル, Angry,IdleNormal_None)\nキャラモーション再生(PID_E002_セレスティア, Angry,IdleNormal_None)
MID_OP3_#063	キャラ表示切替(PID_E002_イル, True)\nキャラ表示切替(PID_E002_エル, True)\nキャラ表示切替(PID_E002_セレスティア, True)\n\nシーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_r_slow)\nキャラ視線(PID_リュール, PID_E002_Boss, PID_E002_Boss)\nキャラモーション再生(PID_リュール, Pain, RunIn)\n\nキャラ視線(PID_E002_イル, PID_リュール, PID_リュール)\nキャラ視線(PID_E002_エル, PID_リュール, PID_リュール)\nキャラ視線(PID_E002_セレスティア, PID_リュール, PID_リュール)\n\nキャラ視線(PID_E002_Hide, PID_リュール, PID_リュール)\nキャラ視線(PID_E002_Boss, PID_リュール, PID_リュール)\n\nフェードイン()
MID_OP3_#064	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E002_Hide, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E002_Hide, Surprise)\nキャラモーション再生(PID_E002_Boss, Surprise)\n\nキャラ視線(PID_E002_イル, PID_E002_Boss, PID_E002_Boss)\nキャラ視線(PID_E002_エル, PID_E002_Boss, PID_E002_Boss)\nキャラ視線(PID_E002_セレスティア, PID_E002_Boss, PID_E002_Boss)\n\nキャラ回転(PID_リュール, 30,0,0)
MID_OP3_#065	キャラモーション再生(PID_E002_Boss, Surprise, EmoSurprise2,0, 0.5)
MID_OP3_#066	キャラ視線(PID_E002_Hide, PID_E002_エル, PID_E002_エル)\nキャラ視線(PID_E002_Boss, PID_E002_エル, PID_E002_エル)\n\nキャラモーション再生(PID_E002_Boss, Angry, EmoDeny,0,1)\nキャラモーション再生(PID_E002_Hide, Angry)
MID_OP3_#067	キャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_zoom_in_slow)\n\nキャラモーション再生(PID_リュール, Angry, EmoDeny2,0, 0.5)\n\n*\n\nキャラ視線(PID_E002_Hide, PID_リュール, PID_リュール)\nキャラ視線(PID_E002_Boss, PID_リュール, PID_リュール)
MID_OP3_#068	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E002_Hide, cam_anim_pan_r_slow)\n\nキャラモーション再生(PID_E002_Boss, Angry, EmoThink,0, 0.5)\n\nキャラ削除(PID_E002_イル)\nキャラ配置(PID_E002_イル, ME_MID_B, [服装], Angry, IdleNormal, 0)\nキャラ視線(PID_E002_イル, PID_E002_Boss, PID_E002_Boss)\n\nキャラ配置調整(PID_E002_イル,0,0, -0.8)\nキャラ配置調整(PID_E002_エル,0,0, -0.1)\nキャラ配置調整(PID_E002_セレスティア, 0.2,0, -0.1)
MID_OP3_#069	キャラ視線(PID_E002_Boss, PID_E002_Hide, PID_E002_Hide)\nキャラ視線(PID_リュール, PID_E002_Hide, PID_E002_Hide)\n\nキャラモーション再生(PID_E002_Hide, Angry)\nキャラモーション再生(PID_E002_Boss, Surprise)\n\nキャラ削除(PID_E002_エル)\nキャラ配置(PID_E002_エル, ME_MID_C, [服装], Angry, IdleNormal, 0)\nキャラ配置調整(PID_E002_エル, -0.3,0,0)\n\nキャラ視線(PID_E002_エル, PID_E002_Boss, PID_E002_Boss)
MID_OP3_#070	キャラモーション再生(PID_E002_Boss, Angry)\n\nキャラ削除(PID_E002_セレスティア)\nキャラ配置(PID_E002_セレスティア, ME_MID_BC, [服装], Angry, IdleNormal, 0)\nキャラ視線(PID_E002_セレスティア, PID_E002_Boss, PID_E002_Boss)
MID_OP3_#071	シーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_r_slow)\n\nキャラ視線(PID_E002_Boss, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_リュール, Sad, EmoSurprise2,0, 0.5)
MID_OP3_#072	キャラカメラ(CharaCam_Side_Right2_Bot, PID_E002_Hide, cam_anim_track_r_normal)\nキャラモーション再生(PID_E002_Hide, StandBy)
MID_OP3_#073	キャラ視線(PID_E002_Boss, PID_E002_エル, PID_E002_エル)\n\nキャラモーション再生(PID_E002_Boss, Angry, EmoNod,0,1)
MID_OP3_#074	キャラカメラ(CharaCam_ShoulderLong_Left_Mid, PID_E002_Boss, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E002_Boss, Angry, EmoThink,0, 0.5)
MID_OP3_#075	キャラモーション再生(PID_E002_Boss, Angry, EmoDeny2,0,1)\n\n*\nパペット会話中断()\nキャラカメラ(CharaCam_SideLong_Left_Mid, PID_E002_エル, cam_anim_pan_l_slow)\n\nキャラモーション再生(PID_E002_エル, Angry)\nキャラモーション再生(PID_E002_イル, Angry)\n\nウェイト(1)\nキャラアニメーター切替(PID_E002_Boss, Unit/Anim/UnitAnims/UAS_Lnc0AM)\nキャラ武器装備(PID_E002_Boss,銀の槍)\nキャラモーション再生(PID_E002_Boss, Angry, StandBy_None)\n\nキャラアニメーター切替(PID_E002_異形兵_ソードアーマー, Unit/Anim/UnitAnims/UAS_Amr0AM)\nキャラ武器装備(PID_E002_異形兵_ソードアーマー, 鉄の剣)\nキャラモーション再生(PID_E002_異形兵_ソードアーマー, Angry,IdleNormal_None)\n\nキャラアニメーター切替(PID_E002_異形兵_アクスアーマー, Unit/Anim/UnitAnims/UAS_Amr0AM)\nキャラ武器装備(PID_E002_異形兵_アクスアーマー, 鉄の斧)\nキャラモーション再生(PID_E002_異形兵_アクスアーマー, Angry,IdleNormal_None)
MID_OP3_#076	ウェイト(0.5)\n\nキャラカメラ(CharaCam_SideLong_Right_Mid, PID_E002_Hide, cam_anim_track_r_slow)
MID_OP3_#077	キャラカメラ(CharaCam_Side_Left2_Mid, PID_リュール, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_リュール, Surprise)
MID_OP3_#078	キャラ配置調整(PID_デモ用_視線設定用,-0.7,1.2,0)\n\nキャラカメラ(CharaCam_Front_Center_Mid, PID_E002_Boss, cam_anim_pan_l_normal)
MID_OP3_#079	
MID_OP3_#080	キャラ配置調整(PID_デモ用_視線設定用, 0.3, 0.15,0)\n\nキャラカメラ(CharaCam_FrontLong_Center_Mid, PID_デモ用_視線設定用, cam_anim_zoom_out_slow)\n\nキャラ視線(PID_E002_Hide, PID_E002_Boss, PID_E002_Boss)\nキャラ視線(PID_E002_Boss, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E002_Hide, Smile)\nキャラモーション再生(PID_E002_Boss, Angry)
MID_OP3_#081	キャラ視線(PID_E002_Hide, PID_E002_エル, PID_E002_エル)\nキャラ視線(PID_E002_Boss, PID_E002_エル, PID_E002_エル)
MID_OP3_#082	キャラ配置調整(PID_デモ用_視線設定用,0, 0.15,0)\n\nキャラカメラ(CharaCam_Side_Right2_Mid, PID_デモ用_視線設定用, cam_anim_track_r_slow)\nキャラ視線(PID_E002_Boss, PID_リュール, PID_リュール)\nキャラモーション再生(PID_E002_Hide, Angry)\n\n*\nキャラアニメーター切替(PID_E002_エル, Unit/Anim/UnitAnims/UAS_Sds0AF)\nキャラアニメーター切替(PID_E002_イル, Unit/Anim/UnitAnims/UAS_Sds0AM)\nキャラアニメーター切替(PID_E002_セレスティア,Unit/Anim/UnitAnims/UAS_Mag0AF)\n\nキャラモーション再生(PID_E002_エル, Angry,IdleNormal_None)\nキャラモーション再生(PID_E002_イル, Angry,IdleNormal_None)\nキャラモーション再生(PID_E002_セレスティア, Angry,IdleNormal_None)\nウェイト(1)
MID_OP3_#083	キャラ武器装備(PID_E002_エル,トライゾン)\nキャラ武器装備(PID_E002_イル,ルヴァンシュ)\nキャラ武器装備(PID_E002_セレスティア,エルサンダー)\n\nキャラ視線(PID_リュール, PID_E002_Boss, PID_E002_Boss)\n\nキャラカメラ(CharaCam_SideLong_Left_Mid, PID_リュール, cam_anim_track_r_slow)\nキャラ表示切替(PID_E002_Boss, False)\nキャラ削除(PID_E002_Hide)\n\nキャラモーション再生(PID_リュール, Sad)\nキャラモーション再生(PID_E002_イル, Sad)
MID_OP3_#084	キャラ削除(PID_デモ用_視線設定用)\nキャラ配置(PID_デモ用_視線設定用, ME_MID_CD, [服装], Angry, IdleNormal, 0)\nキャラ配置調整(PID_デモ用_視線設定用, -1.5, -0.15, -0.8)\nキャラ表示切替(PID_デモ用_視線設定用, False)\n\nキャラ表示切替(PID_E002_エル, False)\n\nキャラカメラ(CharaCam_Side_Left2_Mid, PID_デモ用_視線設定用, cam_anim_track_l_slow)\n\nキャラ武器装備(PID_リュール,リベラシオン)\nキャラアニメーター切替(PID_リュール, Unit/Anim/UnitAnims/UAS_Drg0AM, Unit/Anim/UnitAnims/UAS_Drg0AF)\nキャラモーション再生(PID_リュール, Sad,IdleNormal_None)
MID_OP3_#085	キャラカメラ(CharaCam_Side_Left2_Bot, PID_E002_セレスティア, cam_anim_track_l_slow)\nキャラモーション再生(PID_E002_セレスティア, Angry)\n\nキャラ表示切替(PID_E002_エル, True)\nキャラ表示切替(PID_リュール, False)
MID_OP3_#086	キャラ配置調整(PID_デモ用_視線設定用, 0.6,0,1.5)\n*\nキャラカメラ(CharaCam_FrontLong_Center_Mid, PID_デモ用_視線設定用, cam_anim_zoom_out_slow)\nキャラ表示切替(PID_リュール, True)\n\nキャラ視線(PID_E002_エル, PID_リュール, PID_リュール)\nキャラ視線(PID_リュール, PID_E002_エル, PID_E002_エル)
MID_OP3_#087	キャラモーション再生(PID_E002_エル, Angry)\nキャラモーション再生(PID_E002_イル, Angry)\nキャラ配置調整(PID_E002_Boss, 0.8, 0.5,1)\n\n*\n\nキャラカメラ(CharaCam_Side_Left2_Bot, PID_リュール, cam_anim_track_r_slow)\n\nキャラ視線(PID_E002_エル, PID_E002_Boss, PID_E002_Boss)\nキャラ視線(PID_リュール, PID_E002_Boss, PID_E002_Boss)\nウェイト(1)\nフェードアウト()
MID_EV1_#001	
MID_EV2_#001	
MID_EV3_#001	
MID_EV4_#001	
MID_BT1_#001	
MID_BT2_#001	
MID_BT3_#001	
MID_BT4_#001	
MID_BT5_#001	
MID_BT5_#002	
MID_BT5_#003	
MID_BT5_#004	
MID_BT5_#005	
MID_BT6_#001	
MID_BT7_#001	
MID_BT7_#002	
MID_BT7_#003	
MID_BT7_#004	
MID_BT7_#005	
MID_BT8_#001	
MID_BT8_#002	
MID_BT8_#003	
MID_BT8_#004	
MID_BT8_#005	
MID_BT8_#006	
MID_BT9_#001	
MID_BT9_#002	
MID_BT9_#003	
MID_BT9_#004	
MID_BT9_#005	
MID_BT10_#001	
MID_BT10_#002	
MID_BT10_#003	
MID_BT10_#004	
MID_BT10_#005	
MID_BT11_#001	
MID_BT12_#001	
MID_BT12_#002	
MID_BT12_#003	
MID_BT12_#004	
MID_BT13_#001	
MID_BT13_#002	
MID_BT13_#003	
MID_BT13_#004	
MID_BT13_#005	
MID_BT14_#001	
MID_BT14_#002	
MID_BT14_#003	
MID_BT14_#004	
MID_BT14_#005	
MID_BT14_#006	
MID_BT14_#007	
MID_BT15_#001	
MID_BT15_#002	
MID_BT15_#003	
MID_BT15_#004	
MID_BT15_#005	
MID_ED1_#001	キャラ配置(PID_E002_Boss, YOU_IN_BC, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_E002_Hide, YOU_IN_CD, [服装], Normal, IdleNormal, 0)\nキャラ表示切替(PID_E002_Boss,False)\nキャラ表示切替(PID_E002_Hide,False)\n\nキャラ配置(PID_デモ用_視線設定用, YOU_IN_B, [服装], Normal, IdleNormal, 0)\nキャラ配置調整(PID_デモ用_視線設定用,0, -0.5, -1.5)\nキャラ表示切替(PID_デモ用_視線設定用,False)\n\nキャラ配置(PID_リュール, ME_MID_B, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_E002_エル, ME_MID_C, [服装], Normal, IdleNormal, -20)\nキャラ配置調整(PID_E002_エル,0,0, 0.2)\nキャラ配置(PID_E002_イル, ME_IN_D, [服装], Normal, IdleNormal, 180)\nキャラ配置調整(PID_E002_イル,0,0,-0.4)\nキャラ表示切替(PID_E002_イル,False)\n\nキャラ配置(GID_E002_敵ヘクトル, ME_MID_A, [服装], Normal, IdleNormal, 0)\nキャラ配置調整(GID_E002_敵ヘクトル,0,0, 0.5)\nキャラ表示切替(GID_E002_敵ヘクトル,False)\n\nキャラ視線(PID_リュール, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_E002_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\n背景(Map_Event_E002_01)\nライト(CharaLight_E002, 0, 0, 0)\n\n一枚絵表示(Tex_Event_DLC_ItemPicture_02, picture_item_fade_in_normal)\n\nキャラモーション再生(PID_リュール, Normal, EmoTalk)\n\nシーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_zoom_out_slow)\n\nフェードイン()
MID_ED1_#002	一枚絵非表示(picture_item_fade_out_normal)\nキャラカメラ(CharaCam_Side_Left2_Mid, PID_E002_エル, cam_anim_track_r_slow)\n\nキャラ視線(PID_リュール, PID_E002_エル, PID_E002_エル)\nキャラ視線(PID_E002_エル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E002_エル, Normal, EmoTalk,0, 0.5)
MID_ED1_#003	キャラ表示切替(GID_E002_敵ヘクトル, True)\nキャラカメラ(CharaCam_Front_Center_Mid, GID_E002_敵ヘクトル, cam_anim_waisttoface)\n\nキャラ表示切替(PID_リュール, False)\n\nキャラ視線(PID_E002_エル, GID_E002_敵ヘクトル, GID_E002_敵ヘクトル)\nキャラ視線(PID_リュール, GID_E002_敵ヘクトル, GID_E002_敵ヘクトル)\n\nキャラモーション再生(GID_E002_敵ヘクトル, Normal, WalkIn)\nキャラモーション再生(PID_E002_エル, Normal, EmoThink)\n\n*\nパペット会話中断()\nキャラモーション待ち(PID_E002_エル)
MID_ED1_#004	キャラカメラ(CharaCam_Shoulder_Left_Mid, PID_E002_Boss, cam_anim_track_l_slow)\nキャラ回転(GID_E002_敵ヘクトル,90,0,0)\nキャラ表示切替(PID_リュール, True)\n\nキャラ視線(PID_E002_エル, PID_リュール, PID_リュール)\nキャラ視線(PID_リュール, PID_E002_エル, PID_E002_エル)\n\nキャラモーション再生(PID_リュール, Sad, EmoSad2,0, 0.5)\nキャラモーション再生(PID_E002_エル, Normal, EmoThink,0,1)
MID_ED1_#005	キャラカメラ(CharaCam_Side_Left_Mid, PID_E002_エル, cam_anim_pan_u_normal)\n\nキャラモーション再生(PID_E002_エル, Normal, EmoDeny2,0, 0.5)
MID_ED1_#006	キャラ視線(PID_E002_エル, GID_E002_敵ヘクトル, GID_E002_敵ヘクトル)\nキャラ視線(PID_リュール, GID_E002_敵ヘクトル, GID_E002_敵ヘクトル)\n\nキャラモーション再生(PID_E002_エル, Normal, EmoPray,0,1)\nキャラモーション再生(PID_リュール, Sad, EmoTalk,0,1)
MID_ED1_#007	キャラカメラ(CharaCam_Side_Left2_Bot, GID_E002_敵ヘクトル, cam_anim_track_r_slow)\n\nキャラ視線(PID_リュール, GID_E002_敵ヘクトル, GID_E002_敵ヘクトル)\nキャラ視線(GID_E002_敵ヘクトル, PID_リュール, PID_リュール)\n\nキャラモーション再生(GID_E002_敵ヘクトル, Normal)\n\n*\nキャラカメラ(CharaCam_Shoulder_Left_Mid, PID_E002_Boss, cam_anim_zoom_in_slow)\n\nキャラ回転(PID_E002_エル, -45,0.5,0)\n\nキャラモーション再生(PID_リュール, Surprise, IdleNormal)\nキャラモーション再生(PID_E002_エル, Surprise, TurnL,0,0.5)\nウェイト(0.5)
MID_ED1_#008	
MID_ED1_#009	キャラモーション再生(GID_E002_敵ヘクトル, Normal, EmoDeny2,0, 1)
MID_ED1_#010	キャラカメラ(CharaCam_Side_Left2_Mid, GID_E002_敵ヘクトル, cam_anim_track_r_slow)
MID_ED1_#011	キャラカメラ(CharaCam_Side_Left2_Top, PID_リュール, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_リュール, Smile, EmoJoy,0 ,0.5)\n\n*\nウェイト(1)\nキャラモーション再生(GID_E002_敵ヘクトル, Smile)\nキャラカメラ(CharaCam_Side_Left2_Mid, GID_E002_敵ヘクトル, cam_anim_pan_l_slow)\nパペット会話中断()\nウェイト(0.5)\n一枚絵表示(Tex_Event_Effect_White, picture_fade_in_slow)\nウェイト(1)\nサウンドイベント(SE_DLC_Evt_E001_Ring_Sleep)\nサウンドイベント(BGM_Evt_Ring_Stop_Normal)\nキャラ削除(GID_E002_敵ヘクトル)\nキャラカメラ(CharaCam_Side_Left2_Top, PID_リュール, cam_anim_track_r_slow)\n一枚絵非表示()\n白フェードイン(2)\nウェイト(0.5)
MID_ED1_#012	シーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track_r_slow)\n\nキャラ表示切替(PID_E002_イル, True)\nキャラ表示切替(PID_E002_Boss, True)\nキャラ表示切替(PID_E002_Hide, True)\n\nキャラモーション再生(PID_E002_イル, Normal, WalkIn2)\nキャラモーション再生(PID_E002_Boss, Sad, WalkIn)\nキャラモーション再生(PID_E002_Hide, Normal, WalkIn)\n\nキャラ視線(PID_リュール, PID_E002_Boss, PID_E002_Boss)\nキャラ視線(PID_E002_エル, PID_E002_Boss, PID_E002_Boss)\n\nキャラ視線(PID_E002_Boss, PID_E002_エル, PID_E002_エル)\nキャラ視線(PID_E002_Hide, PID_E002_エル, PID_E002_エル)\n\nキャラ回転(PID_E002_エル, 45,0.5,0)\nキャラモーション再生(PID_E002_エル, Normal, TurnR,0, 0.5)\n\nキャラ回転(PID_E002_イル, 160,1, 1.5)\nキャラモーション再生(PID_E002_イル, Normal, TurnR, 1.5, 0.5)\n\n*\nパペット会話中断()\nキャラモーション待ち(PID_E002_イル)\n\nキャラ配置調整(PID_デモ用_視線設定用, 0.5, -0.5, 0.7)
MID_ED1_#013	キャラモーション再生(PID_リュール, Normal, EmoTalk2,0 ,0.5)
MID_ED1_#014	キャラモーション再生(PID_E002_Boss, Serious, EmoDeny2,0 ,0.5)\n\n*\nパペット会話中断()\nウェイト(1)
MID_ED1_#015	キャラカメラ(CharaCam_Side_Right_Mid, PID_E002_Boss, cam_anim_pan_r_slow)\n\nキャラモーション再生(PID_E002_Boss, Normal, EmoTalk2,0 ,1)\nキャラモーション再生(PID_E002_イル, Sad)
MID_ED1_#016	キャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_pan_l_slow)
MID_ED1_#017	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E002_Hide, cam_anim_pan_u_normal)\n\nキャラ視線(PID_E002_Hide, PID_E002_Boss, PID_E002_Boss)\nキャラ視線(PID_E002_Boss, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_E002_イル, PID_E002_Boss, PID_E002_Boss)\n\nキャラモーション再生(PID_E002_Boss, Sad, EmoSad,0 ,1)
MID_ED1_#018	キャラモーション再生(PID_E002_Hide, Sad)
MID_ED1_#019	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_E002_Boss, cam_anim_zoom_out_slow)\nキャラモーション再生(PID_リュール, Sad)\n\n*\nウェイト(0.5)
MID_ED1_#020	
MID_ED1_#021	キャラカメラ(CharaCam_ShoulderLong_Left_Mid, PID_E002_Boss, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E002_Boss, Sad, EmoDeny2,0, 0.5)
MID_ED1_#022	キャラモーション再生(PID_E002_Boss, Sad, EmoTalk2,0,1)\n*\nパペット会話中断()\nウェイト(0.5)
MID_ED1_#023	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E002_Hide, cam_anim_pan_u_normal)\n\nキャラ視線(PID_E002_Boss, PID_E002_エル, PID_E002_エル)\n\nキャラモーション再生(PID_E002_Boss, Sad, EmoRelax,0, 0.5)
MID_ED1_#024	キャラ視線(PID_E002_Hide, PID_E002_エル, PID_E002_エル)\n\nキャラ視線(PID_リュール, PID_E002_Hide, PID_E002_Hide)\nキャラ視線(PID_E002_エル, PID_E002_Hide, PID_E002_Hide)\nキャラ視線(PID_E002_イル, PID_E002_Hide, PID_E002_Hide)\n\nキャラモーション再生(PID_E002_Hide, Sad, EmoRelax,0, 0.5)
MID_ED1_#025	キャラカメラ(CharaCam_Shoulder_Left_Mid, PID_E002_Hide, cam_anim_track2_l_normal)\nキャラモーション再生(PID_E002_Hide, Sad, EmoDeny2,4,1)\n\n*\nパペット会話中断()\nウェイト(1)
MID_ED1_#026	キャラモーション再生(PID_E002_Hide, Sad, EmoPray,3,1)
MID_ED1_#027	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_E002_イル, cam_anim_track_l_slow)\nキャラ視線(PID_E002_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E002_エル, Angry)\nキャラモーション再生(PID_E002_Hide, Sad, IdleNormal,0,1)\n*\nウェイト(0.5)
MID_ED1_#028	キャラ視線(PID_リュール, PID_E002_イル, PID_E002_イル)\nキャラ視線(PID_E002_エル, PID_E002_イル, PID_E002_イル)\n\nキャラモーション再生(PID_E002_イル, Sad, EmoTalk2,0, 0.5)
MID_ED1_#029	キャラ視線(PID_リュール, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n*\nパペット会話中断()\nウェイト(1)
MID_ED1_#030	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E002_Hide, cam_anim_pan_u_normal)\n\nキャラ視線(PID_E002_Hide, PID_E002_Boss, PID_E002_Boss)\nキャラ視線(PID_リュール, PID_E002_Boss, PID_E002_Boss)\n\nキャラモーション再生(PID_E002_Boss, Smile, EmoTalk2,0, 0.5)\nキャラモーション再生(PID_E002_イル, Sad, IdleNormal)
MID_ED1_#031	キャラモーション再生(PID_E002_Hide, Normal)
MID_ED1_#032	キャラ視線(PID_E002_Boss, PID_E002_Hide, PID_E002_Hide)\nキャラ視線(PID_E002_エル, PID_E002_Hide, PID_E002_Hide)\n\nキャラモーション再生(PID_E002_Hide, Normal, EmoJoy,0, 0.5)\nキャラモーション再生(PID_E002_エル, Angry, IdleNormal,0,1)
MID_ED1_#033	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_E002_エル, cam_anim_track_r_slow)\n\nキャラ視線(PID_E002_Hide, PID_E002_エル, PID_E002_エル)\nキャラ視線(PID_E002_エル, PID_E002_Hide, PID_E002_Hide)\n\nキャラモーション再生(PID_リュール, Smile, EmoTalk,0, 0.5)
MID_ED1_#034	キャラモーション再生(PID_リュール, Surprise, IdleNormal,0,1)
