MID_OP1_#001	キャラ配置(PID_E001_エル, ME_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S010_01)\nライト(CharaLight_S010, 0, 0, 0)\n\nフェードイン()
MID_OP4_#064	サウンドイベント(Env_Evt_Wind3_End)\nサウンドイベント(SE_DLC_Evt_E001_OP4_Impact)\n\nキャラ配置(PID_リュール, YOU_MID_CD, [服装], Angry, IdleNormal, 0)\nキャラ配置(PID_E001_イル, YOU_MID_BC, [服装], Angry, IdleNormal, 0)\nキャラ配置(PID_E001_エル, YOU_MID_C, [服装], Angry, IdleNormal, 0)\nキャラ配置調整(PID_E001_エル,0,0,-0.3)\n\nキャラ武器装備(PID_リュール,鉄の剣)\nキャラアニメーター切替(PID_リュール, Unit/Anim/UnitAnims/UAS_Drg0AM, Unit/Anim/UnitAnims/UAS_Drg0AF)\nキャラモーション再生(PID_リュール, Surprise,IdleNormal_None)\n\nキャラ配置調整(PID_E001_異形兵_マージ, 0.84, 0, -0.75)\nキャラ表示切替(PID_E001_異形兵_マージ, True)\nキャラ武器装備(PID_E001_異形兵_マージ, ファイアー)\n\nキャラ配置調整(PID_E001_イル, 0, 0, 0.17)\n\nキャラカメラ(CharaCam_FrontLong_Center_Mid, PID_E001_異形兵_マージ, cam_anim_zoom_out_fast)\nサウンドイベント(V_Evt_M001_ED1_EnemyAppear2)\nキャラモーション再生(PID_E001_異形兵_マージ, Angry, WalkIn)\n\nウェイト(1.5)\n\nキャラ表示切替(PID_M001_異形兵_蛮族_雑魚A, True)\nキャラ表示切替(PID_E001_Boss, True)\nキャラ表示切替(PID_デモ用_異形兵_ランスファイター1, True)\n\nキャラ武器装備(PID_M001_異形兵_蛮族_雑魚A, 鉄の斧)\nキャラ武器装備(PID_E001_Boss, 鉄のナイフ)\nキャラ武器装備(PID_デモ用_異形兵_ランスファイター1, 鉄の槍)\n\nキャラカメラ(CharaCam_FrontLong_Center_Mid, PID_E001_Boss, cam_anim_tracklong_r_normal)\nサウンドイベント(V_Evt_M001_ED1_EnemyAppear3)\nキャラモーション再生(PID_M001_異形兵_蛮族_雑魚A, Smile, IdleNormal)\nキャラモーション再生(PID_E001_Boss, Smile, IdleNormal)\nキャラモーション再生(PID_デモ用_異形兵_ランスファイター1, Smile, WalkIn)\nウェイト(0.5)\n\n*\nパペット会話中断()\nキャラカメラ(CharaCam_FrontLong_Center_Mid, PID_E001_Boss, cam_anim_zoom_in_slow, 0.35)\nウェイト(1)\nキャラモーション再生(PID_E001_エル, Angry, RunOut)\nウェイト(0.5)\n\nキャラモーション再生(PID_E001_イル, Surprise, EmoSurprise2,0, 0.5)
MID_OP4_#065	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_デモ用_視線設定用2, cam_anim_track_r_normal)\n\n*\n一枚絵表示(Tex_Event_DLC_ItemPicture_08, picture_item_fade_in_normal)\n\nキャラモーション再生(PID_E001_イル, Serious, EmoPray,0, 0.5)\n\nキャラ配置調整(PID_デモ用_視線設定用, 0, 5, 0)\nキャラ視線(PID_リュール, PID_E001_イル, PID_E001_イル)\n\nウェイト(1)\nエフェクト表示(Effect01, Effects/Event/E001_MID_OP4/Prefabs/E001_MID_OP4)\nサウンドイベント(SE_DLC_Evt_E001_Light)\nウェイト(2)\n白フェードアウト()\n\nキャラ視線(PID_リュール, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_E001_イル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラモーション再生(PID_E001_イル, Angry, IdleNormal,0,1)\n\n一枚絵非表示(picture_item_fade_out_normal)\nウェイト(2)\n白フェードイン(0.5)\n\nパペット会話中断()\nキャラモーション再生(PID_E001_イル, Angry, RunOut,0,1)\nキャラモーション待ち(PID_E001_イル)
MID_OP4_#066	キャラカメラ(CharaCam_Side_Right2_Bot, PID_リュール, cam_anim_zoom_in_fast)
MID_OP4_#067	一枚絵表示(Tex_Event_DLC_Picture_1, picture_fade_in_slow)\nサウンドイベント(SE_DLC_Evt_E001_OP4_DragonImpact)
MID_OP4_#068	キャラ配置調整(PID_E001_イル, 1.8,0, -1, -15)\n\nキャラモーション再生(PID_E001_イル, Angry, IdleNormal)\nキャラモーション再生(PID_リュール, Angry)
MID_OP4_#069	キャラ表示切替(PID_E001_異形兵_アーチャー, False)\nキャラ表示切替(PID_M001_異形兵_蛮族_雑魚A, False)\nキャラ表示切替(PID_E001_Boss, False)\nキャラ表示切替(PID_デモ用_異形兵_ランスファイター1, False)\nキャラ表示切替(PID_E001_異形兵_マージ, False)
MID_OP4_#070	キャラ配置調整(PID_E001_エル, -0.83, 1.76, -2.93)\nキャラ表示切替(PID_E001_エル, False)\n\nキャラ配置(PID_E001_エル_竜化, YOU_OUT_C, [服装], Normal, IdleNormal, -10)\nキャラ配置調整(PID_E001_エル_竜化, -2.3,0, -0.17)\nキャラアニメーター切替(PID_E001_エル_竜化, Unit/Anim/UnitAnims/UAS_Sds0AT)\nキャラモーション再生(PID_E001_エル_竜化, Normal, StandBy_None)\nキャラ表示切替(PID_E001_エル_竜化,False)
MID_OP4_#071	キャラ武器装備(PID_E001_イル,ルヴァンシュ)\nキャラアニメーター切替(PID_E001_イル, Unit/Anim/UnitAnims/UAS_Swd2AM)\nキャラモーション再生(PID_E001_イル, Angry, IdleRelax_Axe)
MID_OP4_#072	
MID_OP4_#073	キャラ配置調整(PID_リュール, 0.5,0,0)
MID_OP4_#074	キャラカメラ(CharaCam_Front_Center_Top, PID_リュール, cam_anim_zoom_in_slow)\n一枚絵非表示()\n\nキャラ配置調整(PID_E001_エル, -0.4, -0.3, 1.05)
MID_OP4_#075	キャラ削除(PID_デモ用_視線設定用)\nキャラ配置(PID_デモ用_視線設定用, YOU_IN_BC, [服装], Angry, IdleNormal, 0)\nキャラ配置調整(PID_デモ用_視線設定用, 1.8, -0.15, -0.52)\nキャラ表示切替(PID_デモ用_視線設定用, False)\n\nキャラ配置調整(PID_デモ用_視線設定用2, 0.3,0, -0.5)\nキャラ視線(PID_E001_イル, PID_リュール, PID_リュール)\n\n*\nフェードアウト()
MID_OP4_#076	スプリットビュー作成(SplitViewTestL, RenderTextureSampleL)\nスプリットビュー作成(SplitViewTestR, RenderTextureSampleR)\n\nスプリットビューアニメ再生(SplitViewTestL, splitview_anim_L_in_fast)\nスプリットビューアニメ再生(SplitViewTestR, splitview_anim_R_in_fast)\nスプリットビューアニメ待ち(SplitViewTestL)\nスプリットビューアニメ待ち(SplitViewTestR)\nスプリットビューカメラのみ状態開始()\n\nスプリットビューアクティブ(SplitViewTestL, False)\nスプリットビューアクティブ(SplitViewTestR, True)\n\nスプリットビューキャラカメラ(SplitViewTestL, CharaCam_SplitView_Right_Mid, PID_E001_エル, cam_anim_zoom_in_slow)\nスプリットビューキャラカメラ(SplitViewTestR, CharaCam_FrontLong_Center_Mid, PID_デモ用_視線設定用, cam_anim_zoom_in_slow)\n\nキャラ表示切替(PID_リュール, False)\nキャラモーション再生(PID_E001_イル, Smile)\nキャラ表示切替(PID_E001_エル_竜化, True)\n\nフェードイン()
MID_OP4_#077	スプリットビューアクティブ(SplitViewTestL, True)\nスプリットビューアクティブ(SplitViewTestR, False)\n*\nフェードアウト()
MID_EV0_#001	
MID_EV0_#002	
MID_EV1_#001	
MID_EV2_#001	
MID_EV3_#001	
MID_EV4_#001	
MID_BT1_#001	
MID_BT2_#001	
MID_BT2_#002	
MID_BT3_#001	
MID_ED1_#001	キャラ配置(PID_リュール, ME_MID_C, [服装], Surprise, IdleNormal, 0)\n\nキャラ配置(PID_E001_イル, YOU_IN_BC, [服装], Smile, IdleNormal, -75)\nキャラ配置(PID_E001_エル, YOU_IN_CD, [服装], Die, IdleNormal, 0)\n\nキャラ配置(GID_E001_敵チキ, ME_IN_B, [服装], Surprise, IdleNormal, 0)\nキャラ配置調整(GID_E001_敵チキ, 0.15,0, -0.15)\nキャラ表示切替(GID_E001_敵チキ,False)\n\nキャラ配置(PID_デモ用_視線設定用, ME_IN_C, [服装], Normal, IdleNormal, 0)\nキャラ配置調整(PID_デモ用_視線設定用, 0, -1, 0)\nキャラ表示切替(PID_デモ用_視線設定用,False)\n\nキャラ配置(PID_デモ用_視線設定用2, YOU_MID_C, [服装], Normal, IdleNormal, 0)\nキャラ配置調整(PID_デモ用_視線設定用2,0,0, -0.3)\nキャラ表示切替(PID_デモ用_視線設定用2,False)\n\n背景(Map_Event_E001_01)\nライト(CharaLight_E001, 0, 0, 0)\n\nキャラカメラ(CharaCam_Side_Right_Mid, PID_E001_エル, cam_anim_track_l_slow)\n\nキャラ視線(PID_E001_エル, PID_E001_イル, PID_E001_イル)\nキャラ視線(PID_E001_イル, PID_E001_エル, PID_E001_エル)\n\nキャラモーション再生(PID_E001_エル, Angry)\nキャラモーション再生(PID_E001_イル, Angry, EmoTalk)\n\nキャラ表示切替(PID_リュール,False)\n\nフェードイン()
MID_ED1_#002	シーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_r_slow)\n\nキャラ視線(PID_リュール, PID_E001_エル, PID_E001_エル)\nキャラ視線(PID_E001_エル, PID_リュール, PID_リュール)\nキャラ視線(PID_E001_イル, PID_リュール, PID_リュール)\n\nキャラ表示切替(PID_リュール,True)\n\nキャラ回転(PID_E001_イル, 75, 1.0.5,0)\n\nキャラモーション再生(PID_E001_イル, Normal, TurnL, 1.0, 0.5)\nキャラモーション再生(PID_リュール, Angry, RunIn)\n\n*\nパペット会話中断()\nキャラモーション待ち(PID_リュール)
MID_ED1_#003	一枚絵表示(Tex_Event_DLC_ItemPicture_01, picture_item_fade_in_normal)\n\nキャラモーション再生(PID_リュール, Angry, EmoTalk2,0, 0.5)
MID_ED1_#004	キャラモーション再生(PID_E001_エル, Normal, EmoThink,0, 1.0)
MID_ED1_#005	キャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_pan_l_slow)\n\n一枚絵非表示(picture_item_fade_out_normal)\n\nキャラモーション再生(PID_リュール, Angry, EmoThink,0, 0.5)
MID_ED1_#006	*\nパペット会話中断()
MID_ED1_#007	キャラモーション再生(PID_リュール, Serious, EmoPray,0,1)\nウェイト(3)\nキャラモーション再生(PID_リュール, Surprise)\n\n*\nパペット会話中断()\nキャラモーション待ち(PID_リュール)
MID_ED1_#008	キャラカメラ(CharaCam_ShoulderLong_Left_Top, PID_E001_エル, cam_anim_track_l_normal)\n\nキャラモーション再生(PID_E001_エル, Normal, EmoTalk2,0, 0.5)
MID_ED1_#009	キャラモーション再生(PID_リュール, Sad, EmoDeny2,0, 0.5)\nキャラモーション再生(PID_E001_エル, Normal, IdleNormal,0,1)
MID_ED1_#010	キャラモーション再生(PID_リュール, Sad, EmoSad2,0,1)\n\n*\nパペット会話中断()\nウェイト(1)\n一枚絵表示(Tex_Event_Effect_White, picture_fade_in_slow)\nウェイト(0.5)\nサウンドイベント(SE_Evt_M022_Advent_WhiteOut)\n\nキャラ視線(PID_リュール, PID_デモ用_視線設定用, PID_デモ用_視線設定用)
MID_ED1_#011	キャラ回転(PID_リュール,-45,0,1)\nキャラ回転(PID_E001_イル,15,0,1)\nキャラ回転(PID_E001_エル,40,0,1)\n\nキャラ視線(PID_E001_エル, GID_E001_敵チキ, GID_E001_敵チキ)\nキャラ視線(PID_E001_イル, GID_E001_敵チキ, GID_E001_敵チキ)\n\nウェイト(1)\nキャラカメラ(CharaCam_Side_Left2_Bot, PID_リュール, cam_anim_track_r_slow)\n\nウェイト(1)\n一枚絵非表示()\n白フェードイン(2)\nウェイト(0.8)\n\nキャラモーション再生(GID_E001_敵チキ, Die, WalkIn)\nキャラモーション再生(PID_リュール, Surprise)\nキャラ視線(PID_リュール, GID_E001_敵チキ, GID_E001_敵チキ)\n\n*\nパペット会話中断()\nキャラモーション待ち(GID_E001_敵チキ)
MID_ED1_#012	キャラカメラ(CharaCam_Front_Center_Mid, GID_E001_敵チキ, cam_anim_waisttoface)\nキャラ表示切替(GID_E001_敵チキ,True)\nキャラ表示切替(PID_リュール, False)\n\nキャラモーション再生(GID_E001_敵チキ, Sad, EmoTalk,0, 0.5)\n\n*\nキャラモーション待ち(GID_E001_敵チキ)
MID_ED1_#013	キャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_pan_r_normal)\nキャラ表示切替(PID_リュール, True)\nキャラモーション再生(PID_リュール, Surprise, EmoSurprise2,0, 0.5)\n\nキャラ視線(GID_E001_敵チキ, PID_リュール, PID_リュール)\nキャラ回転(GID_E001_敵チキ, 80,0,0)
MID_ED1_#014	キャラカメラ(CharaCam_FrontLong_Right_Mid, PID_E001_イル, cam_anim_pan_r_slow)\nキャラ表示切替(GID_E001_敵チキ,False)\n\nキャラモーション再生(PID_E001_エル, Surprise)\nキャラモーション再生(PID_E001_イル, Surprise, EmoThink,0, 0.5)
MID_ED1_#015	シーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_r_slow)\nキャラ表示切替(GID_E001_敵チキ,True)\n\nキャラモーション再生(PID_リュール, Smile, EmoTalk2,0, 0.5)\nキャラモーション再生(PID_E001_イル, Surprise, IdleNormal)
MID_ED1_#016	
MID_ED1_#017	キャラカメラ(CharaCam_Side_Left2_Top, GID_E001_敵チキ, cam_anim_track_r_slow)\nキャラ回転(GID_E001_敵チキ,-10,0,0)\n\nキャラモーション再生(GID_E001_敵チキ, Sad, EmoSad,1,1)\nキャラモーション再生(PID_リュール, Sad, IdleNormal,0,1)
MID_ED1_#018	
MID_ED1_#019	キャラモーション再生(GID_E001_敵チキ, Sad, EmoDeny2,1,1)
MID_ED1_#020	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E001_エル, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E001_イル, Sad)\nキャラモーション再生(PID_E001_エル, Normal, EmoTalk,0, 0.5)\nキャラモーション再生(GID_E001_敵チキ, Sad, IdleNormal,0,1)\n\nキャラ視線(GID_E001_敵チキ, PID_E001_エル, PID_E001_エル)\nキャラ視線(PID_E001_イル, PID_E001_エル, PID_E001_エル)
MID_ED1_#021	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_リュール, cam_anim_track_l_slow)\n\nキャラ視線(PID_E001_エル, PID_リュール, PID_リュール)\nキャラ視線(PID_リュール, PID_E001_エル, PID_E001_エル)\n\nキャラモーション再生(PID_E001_エル, Normal, IdleNormal,0,1)\nキャラモーション再生(PID_リュール, Surprise, EmoTalk2,0, 0.5)
MID_ED1_#022	キャラカメラ(CharaCam_ShoulderLong_Right_Mid, PID_リュール, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E001_イル, Normal)\nキャラモーション再生(PID_E001_エル, Normal, EmoThink,0, 0.5)\nキャラモーション再生(PID_リュール, Surprise, IdleNormal,0,1)
MID_ED1_#023	
MID_ED1_#024	キャラモーション再生(PID_E001_エル, Normal, EmoDeny2,0, 0.5)
MID_ED1_#025	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_デモ用_視線設定用2, cam_anim_pan_l_normal)
MID_ED1_#026	キャラ視線(PID_E001_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E001_エル, Normal, EmoNod,0, 0.5)
MID_ED1_#027	キャラ視線(PID_E001_エル, PID_リュール, PID_リュール)\nキャラ視線(PID_E001_イル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E001_イル, Shy, EmoTalk2,0, 0.5)\nキャラモーション再生(PID_E001_エル, Normal, IdleNormal,0,1)
MID_ED1_#028	キャラモーション再生(PID_E001_イル, Sad, EmoThink,0,1)\n\nキャラ回転(PID_リュール,20,0,0)\n\n*\nパペット会話中断()\nウェイト(0.5)
MID_ED1_#029	キャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_track_l_slow)\n\nキャラ視線(GID_E001_敵チキ, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_リュール, Serious, EmoRelax,0, 0.5)
MID_ED1_#030	キャラモーション再生(PID_リュール, Angry, EmoDeny2,2, 0.5)\n\n*\nパペット会話中断()\nウェイト(2)
MID_ED1_#031	キャラ視線(PID_リュール, GID_E001_敵チキ, GID_E001_敵チキ)\n\nキャラモーション再生(PID_リュール, Sad, IdleNormal,0,1)
MID_ED1_#032	シーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_リュール, Smile)\nキャラモーション再生(GID_E001_敵チキ, Sad, EmoNod,0, 0.5)
MID_ED1_#033	キャラモーション再生(GID_E001_敵チキ, Smile, EmoNod,0,1)
MID_ED1_#034	キャラモーション再生(PID_リュール, Shy, EmoJoy, 1.5, 0.5)\nキャラモーション再生(GID_E001_敵チキ, Smile, IdleNormal,0,1)\n\n*\nキャラモーション待ち(PID_リュール)
MID_ED1_#035	キャラカメラ(CharaCam_Front_Center_Top, PID_E001_エル, cam_anim_zoom_out_slow)\n\nキャラ視線(PID_E001_イル, PID_E001_エル, PID_E001_エル)\nキャラ視線(PID_E001_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用, 1.5)\n\nキャラモーション再生(PID_E001_エル, Die, EmoPray, 1.5, 0.5)
MID_ED1_#036	キャラカメラ(CharaCam_Front_Center_Mid, GID_E001_敵チキ, cam_anim_zoom_in_slow)\nキャラ回転(GID_E001_敵チキ, -80,0,0)\nキャラ視線リセット(GID_E001_敵チキ)\n\nキャラモーション再生(GID_E001_敵チキ, Smile)\n\nキャラ表示切替(PID_リュール, False)\n\n*\nパペット会話中断()\nウェイト(1)\nキャラモーション再生(GID_E001_敵チキ, Die)\nウェイト(1)\n一枚絵表示(Tex_Event_Effect_White, picture_fade_in_slow)\nサウンドイベント(SE_DLC_Evt_E001_Ring_Sleep)\nサウンドイベント(BGM_Evt_Ring_Stop_Normal)\n\nウェイト(1)\nキャラ表示切替(GID_E001_敵チキ,False)\nキャラ回転(PID_リュール,25,0,0.5)\nキャラ回転(PID_E001_イル,-15,0,0.5)\nキャラ回転(PID_E001_エル,-40,0,0.5)\n\nキャラ視線(PID_E001_エル, PID_リュール, PID_リュール)\nキャラ視線(PID_E001_イル, PID_リュール, PID_リュール)\nキャラ視線(PID_リュール, PID_E001_エル, PID_E001_エル)
MID_ED1_#037	キャラモーション再生(PID_E001_イル, Normal)\n\nキャラカメラ(CharaCam_SideLong_Right_Mid, PID_E001_エル, cam_anim_track_l_slow)\nキャラ表示切替(PID_リュール, True)\n\nウェイト(1)\n一枚絵非表示()\n白フェードイン(2)\nウェイト(0.5)\n\nキャラモーション再生(PID_E001_エル, Normal)
MID_ED1_#038	シーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_リュール, Smile, EmoRelax,0, 0.5)
MID_ED1_#039	キャラモーション再生(PID_E001_イル, Angry)\nキャラモーション再生(PID_E001_エル, Angry, EmoTalk,0, 0.5)\nキャラモーション再生(PID_リュール, Smile, IdleNormal,0,1)
MID_ED1_#040	
MID_ED1_#041	キャラカメラ(CharaCam_FrontLong_Right_Mid, PID_E001_イル, cam_anim_pan_r_slow)\n\nキャラモーション再生(PID_E001_エル, Angry, EmoThink,0, 0.5)
MID_ED1_#042	キャラモーション再生(PID_E001_イル, Angry, EmoNod,0, 0.5)\nキャラモーション再生(PID_E001_エル, Angry, IdleNormal,0,1)
MID_ED1_#043	
MID_ED1_#044	キャラモーション再生(PID_E001_イル, Angry, EmoThink,0, 0.5)
MID_ED1_#045	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_リュール, cam_anim_pan_l_slow)\n\nキャラモーション再生(PID_リュール, Angry, EmoTalk2,0, 0.5)\nキャラモーション再生(PID_E001_エル, Angry, IdleNormal)
MID_ED1_#046	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E001_エル, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E001_イル, Angry, EmoTalk,0,1)\nキャラモーション再生(PID_E001_イル, Angry, EmoDeny2, 1.5,1)
MID_ED1_#047	キャラモーション再生(PID_E001_イル, Angry, EmoDeny2,3,1)\n\nキャラ視線(PID_E001_エル, PID_E001_イル, PID_E001_イル)
MID_ED1_#048	キャラモーション再生(PID_E001_エル, Angry, EmoThinkIn,0, 0.5)\nキャラモーション再生(PID_E001_イル, Angry, IdleNormal,0,1)\n\nキャラ視線(PID_E001_イル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)
MID_ED1_#049	キャラ視線(PID_E001_エル, PID_リュール, PID_リュール)
MID_ED1_#050	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_デモ用_視線設定用2, cam_anim_pan_l_normal)\n\nキャラ視線(PID_E001_エル, PID_E001_イル, PID_E001_イル)\nキャラ視線(PID_E001_イル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E001_イル, Sad)\nキャラモーション再生(PID_E001_エル, Angry, EmoThinkOut,0, 0.5)
MID_ED1_#051	キャラモーション再生(PID_E001_イル, Serious, EmoDeny2,0, 0.5)\nキャラモーション再生(PID_E001_エル, Sad)
MID_ED1_#052	キャラカメラ(CharaCam_Front_Center_Top, PID_リュール, cam_anim_zoom_in_slow)\n\nキャラ視線(PID_リュール, PID_E001_イル, PID_E001_イル)\n\nキャラモーション再生(PID_リュール, Sad)\n\n*\nパペット会話中断()\nウェイト(1.5)
MID_ED1_#053	キャラカメラ(CharaCam_Side_Right2_Top, PID_E001_イル, cam_anim_pan_d_normal)\nキャラ視線(PID_E001_イル, PID_E001_エル, PID_E001_エル)\nキャラモーション再生(PID_E001_イル, Shy)\n*\nパペット会話中断()
MID_ED1_#054	キャラ配置調整(GID_E001_敵チキ,1,0,0)\nキャラモーション再生(PID_E001_イル, Die, EmoSad2,0, 1)\n\nキャラ視線(PID_E001_イル, GID_E001_敵チキ, GID_E001_敵チキ)\n\nウェイト(1)\nキャラ視線(PID_E001_イル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)
MID_ED1_#055	キャラモーション再生(PID_E001_イル, Angry)
MID_ED1_#056	キャラカメラ(CharaCam_Side_Left2_Mid, PID_リュール, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_リュール, Sad)
MID_ED1_#057	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E001_エル, cam_anim_track_l_slow)\n\nキャラ視線(PID_E001_イル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E001_イル, Shy, EmoShy,0, 0.5)\n\n*\nウェイト(1)
MID_ED1_#058	キャラ視線(PID_E001_エル, PID_リュール, PID_リュール)\nキャラカメラ(CharaCam_Side_Right_Mid, PID_E001_エル, cam_anim_pan_r_slow)\n\nキャラモーション再生(PID_E001_エル, Angry, EmoTalk,0, 0.5)
MID_ED1_#059	
MID_ED1_#060	キャラ視線(PID_E001_エル, PID_リュール, PID_リュール)\nキャラ視線(PID_リュール, PID_E001_エル, PID_E001_エル)\n\nキャラモーション再生(PID_E001_エル, Angry, EmoTalk2,0,1)
MID_ED1_#061	キャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_zoom_in_normal)\n\nキャラモーション再生(PID_リュール, Angry, EmoNod,0, 0.5)\nキャラモーション再生(PID_E001_エル, Angry, IdleNormal,0,1)
MID_ED1_#062	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_デモ用_視線設定用2, cam_anim_zoom_out_slow)\nキャラモーション再生(PID_E001_イル, Smile, EmoRelax,0, 0.5)\n\nキャラ視線(PID_E001_イル, PID_E001_エル, PID_E001_エル,3)
MID_ED1_#063	キャラモーション再生(PID_E001_エル, Die)\nキャラモーション再生(PID_E001_イル, Smile, IdleNormal,0,1)
MID_ED1_#064	シーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E001_エル, Angry, EmoDeny2,0, 0.5)\nキャラモーション再生(PID_E001_イル, Shy)
MID_ED1_#065	キャラ視線(PID_E001_イル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E001_イル, Surprise)\nキャラモーション再生(PID_リュール, Angry, EmoAngry,0, 0.5)
MID_ED1_#066	キャラモーション再生(PID_E001_イル, Shy, EmoSurprise2,0, 0.5)
MID_ED1_#067	キャラ視線(PID_E001_イル, PID_E001_エル, PID_E001_エル)\n\nキャラモーション再生(PID_E001_イル, Smile)
MID_ED1_#068	キャラカメラ(CharaCam_Side_Right_Mid, PID_E001_エル, cam_anim_zoom_in_fast)\n\nキャラモーション再生(PID_E001_イル, Surprise)\nキャラモーション再生(PID_E001_エル, Serious, EmoDeny2,0, 0.5)\nキャラモーション再生(PID_リュール, Angry, IdleNormal)
MID_ED1_#069	シーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_zoom_out_slow)\nキャラ配置調整(PID_E001_エル,0,0, -0.3)\n\nキャラ視線(PID_E001_イル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_リュール, Angry, EmoAngry,0, 0.5)
MID_ED1_#070	キャラモーション再生(PID_E001_イル, Shy, EmoSad,0, 0.5)\nキャラモーション再生(PID_E001_エル, Serious, IdleNormal,0,1)\nキャラモーション再生(PID_リュール, Angry, IdleNormal,0,1)\nキャラ視線(PID_E001_イル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\n*\nキャラモーション待ち(PID_E001_イル)
MID_ED1_#071	キャラカメラ(CharaCam_FrontLong_Right_Mid, PID_E001_イル, cam_anim_pan_r_normal)\nキャラ配置調整(PID_E001_エル,0,0, 0.3)\n\nキャラ視線(PID_E001_エル, PID_E001_イル, PID_E001_イル)\nキャラ視線(PID_E001_イル, PID_E001_エル, PID_E001_エル)\n\nキャラモーション再生(PID_E001_イル, Normal)\nキャラモーション再生(PID_E001_エル, Normal, EmoTalk2,0, 0.5)
MID_ED1_#072	キャラモーション再生(PID_E001_イル, Normal, EmoNod,0, 0.5)\nキャラモーション再生(PID_E001_エル, Angry, IdleNormal,0,1)
MID_ED1_#073	キャラカメラ(CharaCam_ShoulderLong_Left_Top, PID_E001_エル, cam_anim_track_l_slow)\n\nキャラ視線リセット(PID_E001_エル)\nキャラ視線(PID_E001_イル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E001_イル, Normal, IdleNormal,0,1)\nキャラモーション再生(PID_リュール, Surprise, EmoTalk2,0, 0.5)
MID_ED1_#074	キャラモーション再生(PID_E001_エル, Serious, TurnL, 1.0, 0.5)\nキャラモーション再生(PID_E001_イル, Normal, TurnL, 1.5, 0.5)\n\nキャラ回転(PID_E001_エル, -179, 1.5, 0.5)\nキャラ回転(PID_E001_イル, -90, 1.5, 1.0)
MID_ED1_#075	キャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_pan_l_slow)\n\nキャラモーション再生(PID_リュール, Angry, EmoThink,0, 0.5)\n\n*\nフェードアウト()
MID_ED2_#001	キャラ配置(PID_リュール, ME_OUT_C, [服装], Surprise, IdleNormal, 0)\nキャラ配置調整(PID_リュール,0,0,-2)\nキャラ配置(PID_E001_イル, ME_MID_BC, [服装], Normal, IdleNormal,0)\nキャラ配置(PID_E001_エル, ME_MID_CD, [服装], Normal, IdleNormal,0)\n\nキャラ配置(PID_デモ用_視線設定用, YOU_IN_DE, [服装], Normal, IdleNormal,0)\nキャラ配置調整(PID_デモ用_視線設定用, -1, -0.25,0)\nキャラ表示切替(PID_デモ用_視線設定用,False)\n\n背景(Map_Event_M001_03)\nライト(CharaLight_Hub_Morning, 0, 0, 0)\n\n一枚絵表示(Tex_Event_DLC_Picture_2, picture_fade_in_slow)\nサウンドイベント(Env_Evt_Wind3_Start)\nサウンドイベント(Field_Outdoor)\n\nフェードイン()
MID_ED2_#002	
