MID_OP1_#001	キャラ配置(PID_マロン, ME_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S010_01)\nライト(CharaLight_S010, 0, 0, 0)\n\nフェードイン()
MID_OP3_#059	キャラモーション再生(PID_E004_エル, Angry, EmoThinkOut,0, 0.5)\n\n*\nキャラカメラ(CharaCam_Side_Right2_Top, PID_E004_セレスティア, cam_anim_zoom_in_fast)\n\nキャラモーション再生(PID_E004_セレスティア, Surprise)\n\nキャラ視線リセット(PID_E004_グレゴリー)\nキャラ視線リセット(PID_リュール)\nキャラ視線リセット(PID_E004_イル)\nキャラ視線リセット(PID_E004_エル)\nキャラ視線リセット(PID_E004_セレスティア)\nキャラ視線リセット(PID_E004_マデリーン)
MID_OP3_#060	キャラカメラ(CharaCam_ShoulderLong_Left_Mid, PID_E004_マデリーン, cam_anim_zoom_out_slow,1)\n\nキャラ回転(PID_E004_セレスティア, 210,1,1)\nキャラモーション再生(PID_E004_セレスティア, Angry, TurnR,1,1)\n\nキャラ回転(PID_E004_マデリーン, 180,1, 1.5)\nキャラモーション再生(PID_E004_マデリーン, Angry, TurnR, 1.5,1)\n\nキャラモーション再生(PID_E004_イル, Angry)\nキャラモーション再生(PID_E004_グレゴリー, Angry)\n\nキャラ回転(PID_E004_エル,30, 0.5, 1.5)\nキャラ回転(PID_E004_グレゴリー,-30, 0.5, 1.5)\nキャラ回転(PID_E004_イル,-20, 0.5, 1.5)
MID_OP3_#061	キャラモーション再生(PID_リュール, Angry, EmoSurprise2,0, 0.5)
MID_OP3_#062	キャラモーション再生(PID_E004_マデリーン, Angry, EmoDeny,0, 0.5)
MID_OP3_#063	キャラモーション再生(PID_E004_マデリーン, Surprise, EmoSurprise2,0, 0.5)\nキャラモーション再生(PID_E004_マデリーン, Surprise, EmoSurprise, 0.5, 0.5)\nキャラモーション再生(PID_E004_セレスティア, Surprise)\nキャラモーション再生(PID_E004_グレゴリー, Surprise)\n*\nパペット会話中断()\nウェイト(0.5)\nフェードアウト()\n\nキャラ配置調整(PID_E004_セレスティア, -0.55,0,0.05,120)\n\nキャラ削除(PID_E004_マデリーン)\n\nキャラ配置(PID_E004_マデリーン, YOU_MID_BC, [服装], Surprise, IdleNormal, 0)\nキャラ配置調整(PID_E004_マデリーン, -0.2,0,0,-30)\n\nキャラ配置(PID_M011_モーヴ, YOU_MID_C, [服装], Normal, IdleNormal, 15)\n\nウェイト(1)
MID_OP3_#064	キャラカメラ(CharaCam_Front_Center_Mid, PID_M011_モーヴ, cam_anim_waisttoface)\nキャラ視線(PID_M011_モーヴ, PID_E004_マデリーン, PID_E004_マデリーン)\nキャラモーション再生(PID_M011_モーヴ, Angry, RunIn)\n\nフェードイン()\n\nキャラ視線(PID_E004_マデリーン, PID_M011_モーヴ, PID_M011_モーヴ)\nキャラ視線(PID_E004_セレスティア, PID_M011_モーヴ, PID_M011_モーヴ)\nキャラ視線(PID_E004_イル, PID_M011_モーヴ, PID_M011_モーヴ)\nキャラ視線(PID_E004_エル, PID_M011_モーヴ, PID_M011_モーヴ)\nキャラ視線(PID_E004_グレゴリー, PID_M011_モーヴ, PID_M011_モーヴ)\nキャラ視線(PID_リュール, PID_M011_モーヴ, PID_M011_モーヴ)
MID_OP3_#065	キャラカメラ(CharaCam_Shoulder_Right_Mid, PID_リュール, cam_anim_tracklong_r_normal)\nキャラ視線(PID_M011_モーヴ, PID_E004_イル, PID_E004_イル)\n\nキャラモーション再生(PID_E004_セレスティア, Surprise)\nキャラモーション再生(PID_E004_イル, Surprise, EmoTalk2,0, 0.5)\nキャラモーション再生(PID_リュール, Surprise)
MID_OP3_#066	キャラ視線(PID_M011_モーヴ, PID_E004_エル, PID_E004_エル,1)\n\nキャラモーション再生(PID_M011_モーヴ, Normal, EmoRelax,0,1)
MID_OP3_#067	キャラモーション再生(PID_E004_エル, Normal, EmoTalk,0, 0.5)
MID_OP3_#068	キャラ視線(PID_M011_モーヴ, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_M011_モーヴ, Normal, EmoNod,0,1)
MID_OP3_#069	キャラ視線(PID_M011_モーヴ, PID_E004_エル, PID_E004_エル)\n\nキャラモーション再生(PID_M011_モーヴ, Normal, EmoTalk,0,1)
MID_OP3_#070	キャラカメラ(CharaCam_Side_Left_Mid, PID_E004_エル, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E004_エル, Angry, EmoTalk2,0, 0.5)\nキャラモーション再生(PID_M011_モーヴ, Normal, IdleNormal,0,1)
MID_OP3_#071	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_M011_モーヴ, cam_anim_track_l_slow)\n\nキャラ視線(PID_M011_モーヴ, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_M011_モーヴ, Sad, EmoSad2,0, 0.5)\nキャラモーション再生(PID_E004_エル, Smile, IdleNormal,0,1)
MID_OP3_#072	キャラ視線(PID_M011_モーヴ, PID_E004_エル, PID_E004_エル)\n\nキャラモーション再生(PID_M011_モーヴ, Angry, IdleNormal,0,1)
MID_OP3_#073	キャラカメラ(CharaCam_Front_Center_Mid, PID_M011_モーヴ, cam_anim_zoom_in_fast)
MID_OP3_#074	キャラカメラ(CharaCam_Shoulder_Left_Top, PID_M011_モーヴ, cam_anim_zoom_out_slow)\n\nキャラモーション再生(PID_E004_エル, Surprise)
MID_OP3_#075	キャラモーション再生(PID_E004_エル, Angry, EmoTalk2,0, 0.5)\nキャラモーション再生(PID_リュール, Angry)\nキャラモーション再生(PID_E004_イル, Angry)\nキャラモーション再生(PID_E004_グレゴリー, Angry)\nキャラモーション再生(PID_E004_セレスティア, Angry)\nキャラモーション再生(PID_E004_マデリーン, Angry)
MID_OP3_#076	キャラモーション再生(PID_E004_エル, Angry, EmoThinkIn,0,1)
MID_OP3_#077	キャラモーション再生(PID_M011_モーヴ, Angry, EmoDeny2,0, 0.5)
MID_OP3_#078	キャラモーション再生(PID_E004_エル, Angry, EmoThinkOut,0, 0.5)\nキャラモーション再生(PID_E004_エル, Angry, EmoNod,1,1)
MID_OP3_#079	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_E004_マデリーン, cam_anim_zoom_out_normal)\n\nキャラ視線(PID_E004_マデリーン, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_M011_モーヴ, PID_E004_マデリーン, PID_E004_マデリーン)\n\nキャラモーション再生(PID_E004_マデリーン, Angry, EmoNod,0, 0.5)\n\n*\nキャラカメラ(CharaCam_ShoulderLong_Left_Mid, PID_M011_モーヴ, cam_anim_zoom_in_slow)\n\nキャラ視線リセット(PID_E004_マデリーン)\nキャラ回転(PID_E004_マデリーン, -180,1,0)\nキャラモーション再生(PID_E004_マデリーン, Angry, TurnR,0, 0.5)\nキャラモーション再生(PID_E004_マデリーン, Angry, RunOut,1,1)\n\nキャラ視線リセット(PID_E004_セレスティア)\nキャラ回転(PID_E004_セレスティア, -130,1,0)\nキャラモーション再生(PID_E004_セレスティア, Angry, TurnL,0, 0.5)\nキャラモーション再生(PID_E004_セレスティア, Angry, RunOut,1,1)\n\nキャラ視線リセット(PID_E004_エル)\nキャラ回転(PID_E004_エル, -30, 0.5, 0.5)\nキャラモーション再生(PID_E004_エル, Angry, TurnR, 0.5, 0.5)\nキャラモーション再生(PID_E004_エル, Angry, RunOut,1,1)\n\nキャラ視線リセット(PID_E004_イル)\nキャラ回転(PID_E004_イル, -20, 0.5, 0.5)\nキャラモーション再生(PID_E004_イル, Angry, TurnL, 0.5, 0.5)\nキャラモーション再生(PID_E004_イル, Angry, RunOut,1,1)\n\nキャラ視線リセット(PID_E004_グレゴリー)\nキャラ回転(PID_E004_グレゴリー, -40, 0.5, 0.5)\nキャラモーション再生(PID_E004_グレゴリー, Angry, TurnL, 0.5, 0.5)\nキャラモーション再生(PID_E004_グレゴリー, Angry, RunOut,1,1)\n\n\nキャラ視線リセット(PID_M011_モーヴ)\nキャラ回転(PID_M011_モーヴ, 190,1,0)\nキャラモーション再生(PID_M011_モーヴ, Angry, TurnR,0, 0.5)\n\nキャラ配置調整(PID_リュール, 0.5,0,1.3,30)\nキャラモーション再生(PID_リュール, Normal, RunIn)\n\nウェイト(1)
MID_OP3_#080	キャラ回転(PID_M011_モーヴ, 40,1,1)\nキャラモーション再生(PID_M011_モーヴ, Normal, TurnR,1, 0.5)\n\nキャラ視線(PID_M011_モーヴ, PID_リュール, PID_リュール)
MID_OP3_#081	キャラ回転(PID_リュール, -30,1,0)\nキャラモーション再生(PID_リュール, Normal, TurnL,0,0.5)\nキャラ回転(PID_M011_モーヴ, 80,1,0)\nキャラモーション再生(PID_M011_モーヴ, Normal, TurnR,0, 0.5)\nキャラモーション再生(PID_M011_モーヴ, Normal, EmoTalk2,1,1)\nキャラモーション再生(PID_リュール, Surprise)
MID_OP3_#082	キャラモーション再生(PID_リュール, Surprise, EmoNod,0, 0.5)\n\n*\nウェイト(0.5)\n\nキャラ表示切替(PID_E004_エル, False)\nキャラ表示切替(PID_E004_イル, False)\nキャラ表示切替(PID_E004_グレゴリー, False)\nキャラ表示切替(PID_E004_セレスティア, False)\nキャラ表示切替(PID_E004_マデリーン, False)
MID_OP3_#083	キャラカメラ(CharaCam_Side_Right2_Mid, PID_M011_モーヴ, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_リュール, Normal, IdleNormal,0,1)\nキャラモーション再生(PID_M011_モーヴ, Normal, EmoRelax,0,1)\n\n*\nウェイト(1)\nキャラ視線リセット(PID_M011_モーヴ)\nキャラ回転(PID_M011_モーヴ, -170,1.5,0)\nキャラモーション再生(PID_M011_モーヴ, Normal, TurnL,0,1)\nキャラモーション再生(PID_M011_モーヴ, Normal, RunOut,1,1)\nウェイト(1.5)
MID_OP3_#084	キャラカメラ(CharaCam_Side_Left2_Top, PID_リュール, cam_anim_track_r_slow)\n\nキャラ視線(PID_リュール, PID_M011_モーヴ, PID_M011_モーヴ)\n\nキャラモーション再生(PID_リュール, Normal, EmoThink,0,1)\n\n*\nキャラモーション再生(PID_リュール, Angry, RunOut,0,1)\nウェイト(1)\nフェードアウト()\nサウンドイベント(Env_Evt_Ircion_Snow_End)
MID_OP4_#001	キャラ配置(PID_E004_イル, ME_IN_B, [服装], Angry, IdleNormal,5)\nキャラ配置(PID_E004_エル, ME_IN_C, [服装], Angry, IdleNormal,-10)\nキャラ配置(PID_リュール, ME_IN_D, [服装], Angry, IdleNormal,-30)\n\nキャラ配置(PID_M011_モーヴ, ME_MID_AB, [服装], Angry, IdleNormal,20)\nキャラ配置調整(PID_M011_モーヴ, -0.2,0,-1)\nキャラ配置(PID_E004_グレゴリー, ME_MID_BC, [服装], Angry, IdleNormal,0)\nキャラ配置調整(PID_E004_グレゴリー,0,0,-0.8)\nキャラ配置(PID_E004_セレスティア, ME_MID_CD, [服装], Angry, IdleNormal, 0)\nキャラ配置調整(PID_E004_セレスティア, 0.05,0,-1.6)\nキャラ配置(PID_E004_マデリーン, ME_MID_DE, [服装], Angry, IdleNormal,-20)\nキャラ配置調整(PID_E004_マデリーン, -0.4,0,-0.8)\n\nキャラ配置(PID_E004_Boss, YOU_MID_C, [服装], Normal, IdleNormal,0)\nキャラ表示切替(PID_E004_Boss, False)\n\nエフェクト表示(Effect01, Effects/Event/M009_MID_ED1/Prefabs/M009_MID_ED1)\n\n背景(Map_Event_E004_01)\nライト(CharaLight_E004, 0, 0, 0)\n\nサウンドイベント(Env_Evt_Gaya_Start)\n一枚絵表示(Tex_Event_DLC_Picture_3, picture_fade_in_slow)\n\nフェードイン()
MID_OP4_#002	
MID_OP4_#003	
MID_OP4_#004	
MID_OP4_#005	
MID_OP4_#006	
MID_OP4_#007	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_リュール, cam_anim_track_l_slow)\n\n一枚絵非表示()\nサウンドイベント(Env_Evt_Gaya_End)\nウェイト(0.5)\nウェイト(0.5)\n\nキャラモーション再生(PID_E004_イル, Angry, EmoTalk,0, 0.5)
MID_OP4_#008	キャラ視線(PID_E004_エル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E004_エル, Angry, EmoTalk2,0, 0.5)\nキャラモーション再生(PID_E004_イル, Angry, IdleNormal,0,1)
MID_OP4_#009	キャラ視線(PID_リュール, PID_E004_エル, PID_E004_エル)\n\nキャラモーション再生(PID_リュール, Angry, EmoNod,0, 0.5)\nキャラモーション再生(PID_E004_エル, Angry, IdleNormal,0,1)\n\n*\nキャラ視線(PID_E004_エル, PID_E004_Boss, PID_E004_Boss)
MID_OP4_#010	シーンカメラ(SceneCam_ViewFromYou_Center_Top, cam_anim_zoom_in_normal)\n\nキャラ回転(PID_E004_エル,-30,0.5,0)\nキャラモーション再生(PID_E004_エル, Angry, TurnR,0, 0.5)\n\nキャラ視線(PID_E004_エル, PID_E004_イル, PID_E004_イル)\nキャラ視線(PID_リュール, PID_E004_イル, PID_E004_イル)\nキャラ視線(PID_E004_イル, PID_リュール, PID_リュール)\nキャラ視線(PID_E004_グレゴリー, PID_M011_モーヴ, PID_M011_モーヴ)\nキャラ視線(PID_E004_セレスティア, PID_M011_モーヴ, PID_M011_モーヴ)\nキャラ視線(PID_E004_マデリーン, PID_M011_モーヴ, PID_M011_モーヴ)\nキャラ視線(PID_M011_モーヴ, PID_E004_エル, PID_E004_エル)\n\nキャラモーション再生(PID_M011_モーヴ, Angry, EmoTalk,0, 0.5)\nキャラモーション再生(PID_リュール, Angry, IdleNormal,0,1)
MID_OP4_#011	キャラカメラ(CharaCam_Side_Left2_Mid, PID_E004_エル, cam_anim_track_r_normal)
MID_OP4_#012	キャラカメラ(CharaCam_Side_Right2_Mid, PID_M011_モーヴ, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_M011_モーヴ, Angry, EmoNod,0,1)
MID_OP4_#013	シーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_r_normal) \n\nキャラ視線(PID_E004_エル, PID_E004_Boss, PID_E004_Boss)\nキャラ視線(PID_リュール, PID_E004_Boss, PID_E004_Boss)\nキャラ視線(PID_E004_イル, PID_E004_Boss, PID_E004_Boss)\nキャラ視線(PID_E004_グレゴリー, PID_E004_Boss, PID_E004_Boss)\nキャラ視線(PID_E004_セレスティア, PID_E004_Boss, PID_E004_Boss)\nキャラ視線(PID_E004_マデリーン, PID_E004_Boss, PID_E004_Boss)\n\nキャラ視線リセット(PID_M011_モーヴ)\nキャラ回転(PID_M011_モーヴ, -70,1.5,0)\nキャラモーション再生(PID_M011_モーヴ, Normal, TurnL,0,1)\nキャラモーション再生(PID_M011_モーヴ, Normal, RunOut,1.5,1)\n\nキャラ回転(PID_E004_マデリーン,20,0.5,0)\nキャラモーション再生(PID_E004_マデリーン, Angry, TurnL,0, 0.5)\n\nキャラ回転(PID_E004_グレゴリー,-20,0.5,0)\nキャラモーション再生(PID_E004_グレゴリー, Angry, TurnR,0, 0.5)\n\nキャラ回転(PID_リュール,30,0.5,0)\nキャラモーション再生(PID_リュール, Angry, TurnL,0, 0.5)\n\nキャラ回転(PID_E004_エル,40,0.5,0)\nキャラモーション再生(PID_E004_エル, Angry, TurnL,0, 0.5)\n\n*\nキャラモーション再生(PID_E004_エル, Normal, RunOut,0,1)\nキャラモーション再生(PID_E004_イル, Normal, RunOut,0,1)\nキャラモーション再生(PID_E004_グレゴリー, Normal, RunOut,0,1)\nキャラモーション再生(PID_E004_セレスティア, Normal, RunOut,0,1)\nキャラモーション再生(PID_E004_マデリーン, Normal, RunOut,0,1)\nキャラモーション再生(PID_リュール, Normal, RunOut,0,1)\n\nウェイト(1)\nフェードアウト()
MID_EV1_#001	
MID_EV2_#001	
MID_EV3_#001	
MID_EV4_#001	
MID_BT1_#001	
MID_BT2_#001	
MID_BT3_#001	
MID_BT4_#001	
MID_BT5_#001	
MID_BT5_#002	
MID_BT5_#003	
MID_BT5_#004	
MID_BT5_#005	
MID_BT5_#006	
MID_BT5_#007	
MID_BT5_#008	
MID_BT6_#001	
MID_BT6_#002	
MID_BT6_#003	
MID_BT6_#004	
MID_BT6_#005	
MID_BT6_#006	
MID_BT7_#001	
MID_BT7_#002	
MID_BT7_#003	
MID_BT7_#004	
MID_BT7_#005	
MID_BT7_#006	
MID_BT8_#001	
MID_BT8_#002	
MID_BT8_#003	
MID_BT8_#004	
MID_BT8_#005	
MID_BT8_#006	
MID_BT8_#007	
MID_BT8_#008	
MID_BT9_#001	
MID_BT9_#002	
MID_BT9_#003	
MID_BT9_#004	
MID_BT9_#005	
MID_BT9_#006	
MID_BT9_#007	
MID_BT10_#001	
MID_BT10_#002	
MID_BT10_#003	
MID_BT10_#004	
MID_BT11_#001	
MID_BT11_#002	
MID_BT11_#003	
MID_BT11_#004	
MID_BT11_#005	
MID_BT11_#006	
MID_BT11_#007	
MID_BT12_#001	
MID_BT12_#002	
MID_BT12_#003	
MID_BT12_#004	
MID_BT12_#005	
MID_BT12_#006	
MID_BT12_#007	
MID_BT12_#008	
MID_BT13_#001	
MID_BT13_#002	
MID_BT13_#003	
MID_BT13_#004	
MID_BT13_#005	
MID_BT13_#006	
MID_BT13_#007	
MID_BT14_#001	
MID_BT14_#002	
MID_BT14_#003	
MID_BT14_#004	
MID_BT14_#005	
MID_BT14_#006	
MID_BT14_#007	
MID_BT14_#008	
MID_BT15_#001	
MID_BT15_#002	
MID_BT15_#003	
MID_BT15_#004	
MID_BT15_#005	
MID_BT15_#006	
MID_BT15_#007	
MID_ED1_#001	キャラ配置(PID_E004_イル, ME_IN_B, [服装], Angry, IdleNormal,5)\nキャラ配置調整(PID_E004_イル,0,0, -0.3)\nキャラ配置(PID_E004_エル, ME_IN_C, [服装], Angry, IdleNormal,-10)\nキャラ配置調整(PID_E004_エル,0,0, -0.3)\nキャラ配置(PID_リュール, ME_IN_D, [服装], Angry, IdleNormal,-30)\nキャラ配置調整(PID_リュール,0,0, -0.3)\n\nキャラ配置(PID_M011_モーヴ, ME_MID_AB, [服装], Angry, IdleNormal,-30)\nキャラ配置調整(PID_M011_モーヴ, 0.2,0,-0.7)\nキャラ表示切替(PID_M011_モーヴ, False)\nキャラ配置(PID_E004_グレゴリー, ME_MID_BC, [服装], Angry, IdleNormal,0)\nキャラ配置調整(PID_E004_グレゴリー, 0.3,0,-0.5)\nキャラ配置(PID_E004_セレスティア, ME_MID_CD, [服装], Angry, IdleNormal, 0)\nキャラ配置調整(PID_E004_セレスティア, 0.15,0,-1.3)\nキャラ配置(PID_E004_マデリーン, ME_MID_DE, [服装], Angry, IdleNormal,-20)\nキャラ配置調整(PID_E004_マデリーン, -0.1,0,-0.5)\n\nキャラ配置(PID_E004_Boss, YOU_IN_C, [服装], Normal, IdleNormal,0)\nキャラ武器装備(PID_E004_Boss,トロン)\nキャラアニメーター切替(PID_E004_Boss, Unit/Anim/UnitAnims/UAS_Mag1AF)\nキャラモーション再生(PID_E004_Boss, Pain, StandByBreak_Magic)\nキャラ配置調整(PID_E004_Boss,0,0,1)\n\nキャラ配置(PID_E004_Hide, YOU_IN_D, [服装], Normal, IdleNormal,0)\nキャラ武器装備(PID_E004_Hide,銀の槍)\nキャラアニメーター切替(PID_E004_Hide, Unit/Anim/UnitAnims/UAS_Pcf1AF)\nキャラモーション再生(PID_E004_Hide, Pain, StandByBreak_Lance)\nキャラ配置調整(PID_E004_Hide, 1.5,0,0)\n\nキャラ配置(PID_デモ用_視線設定用, YOU_MID_CD, [服装], Angry, IdleNormal,0)\nキャラ配置調整(PID_デモ用_視線設定用,0, -0.15, 0.3)\nキャラ表示切替(PID_デモ用_視線設定用, False)\n\nエフェクト表示(Effect01, Effects/Event/M009_MID_ED1/Prefabs/M009_MID_ED1)\n\n背景(Map_Event_E004_01)\nライト(CharaLight_E004, 0, 0, 0)\n\nキャラ視線(PID_E004_Boss, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_Hide, PID_E004_エル, PID_E004_エル)\n\nキャラカメラ(CharaCam_SideLong_Right_Mid, PID_E004_Hide, cam_anim_pan_d_normal)\n\nサウンドイベント(Env_Evt_Ircion_Snow_Start)\n\nフェードイン()
MID_ED1_#002	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_E004_エル, cam_anim_zoom_out_slow)\nキャラモーション再生(PID_E004_エル, Angry, EmoTalk2,0, 0.5)
MID_ED1_#003	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E004_Boss, cam_anim_track_l_slow)\nキャラモーション再生(PID_E004_エル, Angry, IdleNormal)\nキャラ表示切替(PID_E004_Boss, True)\nキャラ表示切替(PID_E004_Hide, False)\n\nキャラモーション再生(PID_E004_Boss, Angry)
MID_ED1_#004	キャラモーション再生(PID_E004_Boss, Angry, IdleRelax_Magic,0,1)\n\nキャラ視線(PID_E004_イル, PID_E004_Boss, PID_E004_Boss)\nキャラ視線(PID_E004_エル, PID_E004_Boss, PID_E004_Boss)\nキャラ視線(PID_リュール, PID_E004_Boss, PID_E004_Boss)\nキャラ視線(PID_E004_グレゴリー, PID_E004_Boss, PID_E004_Boss)\nキャラ視線(PID_E004_セレスティア, PID_E004_Boss, PID_E004_Boss)\nキャラ視線(PID_E004_マデリーン, PID_E004_Boss, PID_E004_Boss)
MID_ED1_#005	キャラカメラ(CharaCam_Side_Left2_Mid, PID_E004_エル, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E004_エル, Angry, EmoDeny2,0, 0.5)\n\nキャラアニメーター切替(PID_E004_Boss, Unit/Anim/Demo/AOC_Demo_c251)
MID_ED1_#006	キャラ表示切替(PID_M011_モーヴ, True)\nキャラ表示切替(PID_リュール, True)\n\nキャラ回転(PID_E004_エル,-30,0.5,0)\nキャラモーション再生(PID_E004_エル, Angry, TurnR,0, 0.5)\nキャラモーション再生(PID_M011_モーヴ, Angry, RunIn)\nキャラ回転(PID_M011_モーヴ,40,1,1)\nキャラモーション再生(PID_E004_エル, Angry, TurnL,1, 0.5)\n\nキャラ視線(PID_E004_エル, PID_M011_モーヴ, PID_M011_モーヴ)\nキャラ視線(PID_リュール, PID_E004_イル, PID_E004_イル)\nキャラ視線(PID_E004_イル, PID_リュール, PID_リュール)\nキャラ視線(PID_E004_グレゴリー, PID_M011_モーヴ, PID_M011_モーヴ)\nキャラ視線(PID_E004_セレスティア, PID_M011_モーヴ, PID_M011_モーヴ)\nキャラ視線(PID_E004_マデリーン, PID_M011_モーヴ, PID_M011_モーヴ)\nキャラ視線(PID_M011_モーヴ, PID_E004_エル, PID_E004_エル)\n\n*\nパペット会話中断()\nキャラモーション待ち(PID_M011_モーヴ)
MID_ED1_#007	キャラモーション再生(PID_M011_モーヴ, Angry, EmoTalk2,0, 0.5)
MID_ED1_#008	キャラモーション再生(PID_E004_エル, Angry, EmoTalk,0, 0.5)\n\nキャラ武器装備解除(PID_E004_Boss)
MID_ED1_#009	キャラカメラ(CharaCam_Side_Right_Mid, PID_デモ用_視線設定用, cam_anim_zoom_out_normal)\n\nキャラ回転(PID_E004_エル,30,0,0)\nキャラモーション再生(PID_E004_Boss, Pain, EmoTired,0,0.5)
MID_ED1_#010	キャラ視線(PID_E004_Boss, PID_E004_エル, PID_E004_エル)\n\nキャラモーション再生(PID_E004_Boss, StandBy, EmoAngry,0,1)
MID_ED1_#011	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_E004_Boss, cam_anim_pan_d_normal)\n\nキャラ配置調整(PID_デモ用_視線設定用,0,0, -1)\n\nキャラモーション再生(PID_E004_Boss, Pain, EmoSurprise2,0,1)\n*\nウェイト(1)
MID_ED1_#012	キャラカメラ(CharaCam_Side_Left_Mid, PID_E004_エル, cam_anim_pan_l_slow)\n\nキャラ視線(PID_E004_エル, PID_E004_Boss, PID_E004_Boss)\nキャラ視線(PID_リュール, PID_E004_Boss, PID_E004_Boss)\nキャラ視線(PID_E004_イル, PID_E004_Boss, PID_E004_Boss)\nキャラ視線(PID_E004_グレゴリー, PID_E004_Boss, PID_E004_Boss)\nキャラ視線(PID_E004_セレスティア, PID_E004_Boss, PID_E004_Boss)\nキャラ視線(PID_E004_マデリーン, PID_E004_Boss, PID_E004_Boss)\nキャラ視線(PID_M011_モーヴ, PID_E004_Boss, PID_E004_Boss)
MID_ED1_#013	キャラモーション再生(PID_E004_エル, Angry, EmoTalk2,0, 0.5)\n\nキャラアニメーター切替(PID_E004_Hide,Unit/Anim/UnitAnims/UAS_Lnc1AF)\nキャラモーション再生(PID_E004_Hide, Angry, IdleRelax_Lance,0, 0.5)\nキャラ回転(PID_E004_Hide, -30,0,0)
MID_ED1_#014	キャラカメラ(CharaCam_Front_Center_Top, PID_E004_Boss, cam_anim_zoom_in_slow)\n\nキャラモーション再生(PID_E004_Boss, Pain, EmoDeny2,0,1)\nキャラモーション再生(PID_E004_エル, Angry, IdleNormal,0,1)
MID_ED1_#015	キャラカメラ(CharaCam_Side_Right_Mid, PID_E004_Hide, cam_anim_track_l_slow)\nキャラ表示切替(PID_E004_Boss, False)\nキャラ表示切替(PID_E004_Hide, True)\nキャラモーション再生(PID_E004_Hide, Angry, StandBy_None,0, 0.5)
MID_ED1_#016	キャラカメラ(CharaCam_ShoulderLong_Left_Mid, PID_デモ用_視線設定用, cam_anim_zoom_in_normal)\n\nキャラ表示切替(PID_E004_Hide, False)\nキャラモーション再生(PID_E004_エル, Angry, EmoSad2,0, 0.5)
MID_ED1_#017	キャラカメラ(CharaCam_Side_Right_Mid, PID_リュール, cam_anim_pan_r_slow)\n\nキャラモーション再生(PID_E004_エル, Angry, IdleNormal,0,1)\n\nキャラ視線(PID_リュール, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_イル, PID_E004_エル, PID_E004_エル)\n\nキャラモーション再生(PID_リュール, Surprise)
MID_ED1_#018	キャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_pan_l_slow)\n\nキャラ視線(PID_E004_エル, PID_リュール, PID_リュール)\n\nキャラ表示切替(PID_E004_Boss, True)\nキャラ表示切替(PID_E004_Hide, True)\n\n*\nウェイト(0.5)\nキャラ視線(PID_E004_エル, PID_E004_Boss, PID_E004_Boss)\nキャラモーション再生(PID_E004_エル, Angry, RunOut,0, 0.5)\nサウンドイベント(Env_Evt_Ircion_Snow_End)
MID_ED1_#019	キャラ視線(PID_リュール, PID_E004_Boss, PID_E004_Boss)\nキャラ視線(PID_E004_イル, PID_E004_Boss, PID_E004_Boss)\nキャラ視線(PID_M011_モーヴ, PID_E004_Boss, PID_E004_Boss)\n\nキャラモーション再生(PID_E004_イル, Surprise)
MID_ED1_#020	一枚絵表示(Tex_Event_DLC_Picture_4)\nサウンドイベント(SE_DLC_Evt_E001_OP4_DragonImpact)\n\nキャラ表示切替(PID_E004_Hide, False)\n\n*\nパペット会話中断()\nキャラ削除(PID_E004_エル)\nウェイト(1)\n一枚絵非表示()\nキャラ配置調整(PID_デモ用_視線設定用,0,2,0)\nキャラ視線(PID_E004_Boss, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラカメラ(CharaCam_Front_Center_Top, PID_E004_Boss, cam_anim_zoom_in_slow)\nキャラモーション再生(PID_E004_Boss, Surprise, EmoSurprise,0,0.5)\nウェイト(0.5)\n一枚絵表示(Tex_Event_Effect_Black, picture_fade_in_slow)\n\nウェイト(1)\n\n\nキャラアニメーター切替(PID_E004_Hide, Unit/Anim/Demo/AOC_Demo_c051)\nキャラモーション再生(PID_E004_Hide, Surprise)\nキャラ武器装備解除(PID_E004_Hide)\nキャラ回転(PID_E004_Hide, 30,0,0)
