MID_OP1_#001	キャラ配置(PID_青リュール, ME_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S010_01)\nライト(CharaLight_S010, 0, 0, 0)\n\nフェードイン()
MID_OP3_#001	キャラ配置(PID_E004_セレスティア, YOU_MID_C, [服装], Smile, IdleNormal,0)\nキャラ配置(PID_E004_グレゴリー, YOU_MID_B, [服装], Angry, IdleNormal,0)\nキャラ配置(PID_M011_モーヴ, ME_MID_B, [服装], Normal, IdleNormal,-90)\nキャラ武器装備(PID_M011_モーヴ,ワープ)\n\nキャラ配置(PID_デモ用_視線設定用, ME_IN_C, [服装], Normal, IdleNormal,0)\nキャラ配置調整(PID_デモ用_視線設定用,0,1,0)\nキャラ表示切替(PID_デモ用_視線設定用,False)\n\nキャラ表示切替(PID_E004_グレゴリー,False)\nキャラ表示切替(PID_M011_モーヴ,False)\n\n背景(Map_Event_E005_02)\nライト(CharaLight_E005, 0, 0, 0)\nエフェクト表示(Effect04, Effects/Event/E006_MID_OP3_03/Prefabs/E006_MID_OP3_03)\n\n一枚絵表示(Tex_Event_Effect_FrameFade_White, picture_fade_in_slow)\n\nキャラ視線(PID_E004_セレスティア, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E004_セレスティア, Sad)\n\nキャラカメラ(CharaCam_Side_Right2_Mid, PID_E004_セレスティア, cam_anim_shake_loop)\n\n\nサウンドイベント(Env_Evt_M022_Earthquake_lp_Play)\nフェードイン()
MID_OP3_#002	キャラモーション再生(PID_E004_セレスティア, Serious)\n\nサウンドイベント(ENV_Evt_VolumeDown_Slow)\n*\nパペット会話中断()\nウェイト(1)
MID_OP3_#003	ウェイト(1)\nキャラ視線(PID_E004_セレスティア, PID_M011_モーヴ, PID_M011_モーヴ)\nキャラ回転(PID_E004_セレスティア,15,0.5,0)\n\nキャラモーション再生(PID_E004_セレスティア, Normal)\nキャラモーション再生(PID_E004_セレスティア, Surprise, EmoSurprise,0.8,0.3)\nウェイト(1)\n\n*\nパペット会話中断()\nキャラカメラ(CharaCam_Front_Center_Mid, PID_E004_セレスティア, cam_anim_shake_loop,0.5)\nウェイト(1)
MID_OP3_#004	エフェクト表示(Effect01, Effects/Event/E006_MID_OP3/Prefabs/E006_MID_OP3_01)\n一枚絵表示(Tex_Event_Effect_White)\nサウンドイベント(SE_DLC_Evt_E006_OP3_Warp)\n一枚絵表示(Tex_Event_DLC_Picture_9, picture_fade_in_slow)\nウェイト(1)\nキャラ削除(PID_E004_セレスティア)\n\nキャラ配置調整(PID_デモ用_視線設定用, -1.5, -2, 0)\nキャラ表示切替(PID_M011_モーヴ,True)\nキャラ表示切替(PID_E004_グレゴリー,True)\n\nスプリットビュー作成(SplitViewTestL, RenderTextureSampleL)\nスプリットビュー作成(SplitViewTestR, RenderTextureSampleR)\n\nスプリットビューアニメ再生(SplitViewTestL, splitview_anim_L_in_fast)\nスプリットビューアニメ再生(SplitViewTestR, splitview_anim_R_in_fast)\nスプリットビューアニメ待ち(SplitViewTestL)\nスプリットビューアニメ待ち(SplitViewTestR)\nスプリットビューカメラのみ状態開始()\n\nスプリットビューキャラカメラ(SplitViewTestL, CharaCam_SplitView_Left_Mid, PID_M011_モーヴ, cam_anim_shake_loop)\nスプリットビューキャラカメラ(SplitViewTestR, CharaCam_SplitView_Right_Mid, PID_E004_グレゴリー, cam_anim_shake_loop)\n\n*\nパペット会話中断()\nキャラ視線(PID_E004_グレゴリー, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラモーション再生(PID_E004_グレゴリー, Surprise, RunIn)\nキャラ回転(PID_M011_モーヴ,90,1, 1.5)\nキャラモーション再生(PID_M011_モーヴ, Angry, TurnR, 1.5,1)\n\nスプリットビューアクティブ(SplitViewTestL, False)\nスプリットビューアクティブ(SplitViewTestR, True)\n一枚絵非表示()\nウェイト(1)\n一枚絵表示(Tex_Event_Effect_FrameFade_White)\nキャラモーション待ち(PID_E004_グレゴリー)
MID_OP3_#005	キャラ視線(PID_E004_グレゴリー, PID_M011_モーヴ, PID_M011_モーヴ)\nキャラ視線(PID_M011_モーヴ, PID_E004_グレゴリー, PID_E004_グレゴリー)\n\nキャラモーション再生(PID_E004_グレゴリー, Surprise, EmoSurprise,0, 0.5)
MID_OP3_#006	スプリットビューアクティブ(SplitViewTestL, True)\nスプリットビューアクティブ(SplitViewTestR, False)
MID_OP3_#007	キャラモーション再生(PID_M011_モーヴ, Angry, EmoDeny2,0, 0.5)
MID_OP3_#008	スプリットビューアクティブ(SplitViewTestL, False)\nスプリットビューアクティブ(SplitViewTestR, True)\n\nキャラモーション再生(PID_E004_グレゴリー, Pain, EmoDeny2,0, 0.5)\nキャラ視線リセット(PID_E004_グレゴリー, 1.5)\nキャラモーション再生(PID_E004_グレゴリー, Angry, EmoTired, 1.5, 0.3)
MID_OP3_#009	スプリットビューアニメ再生(SplitViewTestL, splitview_anim_L_out_fast)\nスプリットビューアニメ再生(SplitViewTestR, splitview_anim_R_out_fast)\nスプリットビューアニメ待ち(SplitViewTestL)\nスプリットビューアニメ待ち(SplitViewTestR)\nスプリットビューカメラのみ状態終了()\nキャラカメラ(CharaCam_SideLong_Left_Mid, PID_M011_モーヴ, cam_anim_shake_loop)\nフェードイン(0.5)\n\nキャラ視線(PID_E004_グレゴリー, PID_M011_モーヴ, PID_M011_モーヴ)\nキャラモーション再生(PID_E004_グレゴリー, Surprise)\nキャラモーション再生(PID_M011_モーヴ, Serious)\nキャラモーション再生(PID_M011_モーヴ, Angry, IdleNormal, 1, 1)\n\n*\nパペット会話中断()\nキャラカメラ(CharaCam_Front_Center_Bot, PID_E004_グレゴリー, cam_anim_shake_loop,1.5)\n\nキャラモーション再生(PID_E004_グレゴリー, Surprise, EmoSurprise2, 1, 0.5)\nウェイト(2)\nエフェクト表示(Effect02, Effects/Event/E006_MID_OP3/Prefabs/E006_MID_OP3_02)\n\n一枚絵表示(Tex_Event_Effect_White)\nサウンドイベント(SE_DLC_Evt_E006_OP3_Warp)\n\nウェイト(0.5)\nキャラ削除(PID_E004_グレゴリー)\nキャラ削除(PID_M011_モーヴ)\n\nキャラ配置(PID_E004_マデリーン, YOU_MID_B, [服装], Surprise, IdleNormal,0)\n\nキャラ配置(PID_M011_モーヴ, ME_MID_B, [服装], Angry, IdleNormal,-90)\nキャラ配置調整(PID_M011_モーヴ,0,0,0.7)\nキャラ武器装備(PID_M011_モーヴ, ワープ)\n\nキャラ配置(PID_デモ用_視線設定用2, YOU_IN_B, [服装], Sad, IdleNormal, 0)\nキャラ配置調整(PID_デモ用_視線設定用2,0,0, 0.1)\nキャラ表示切替(PID_デモ用_視線設定用2, False)
MID_OP3_#010	キャラ表示切替(PID_E004_マデリーン,True)\nキャラモーション再生(PID_E004_マデリーン, Sad, RunIn)\nキャラカメラ(CharaCam_Side_Right2_Mid, PID_M011_モーヴ, cam_anim_shake_loop)\n白フェードイン(1)\n一枚絵表示(Tex_Event_Effect_FrameFade_White, picture_fade_in_slow)\n\nキャラ視線(PID_E004_マデリーン, PID_M011_モーヴ, PID_M011_モーヴ)\nキャラ視線(PID_M011_モーヴ, PID_E004_マデリーン, PID_E004_マデリーン)\n\n*\nキャラモーション待ち(PID_E004_マデリーン)
MID_OP3_#011	キャラ回転(PID_M011_モーヴ,90,1,0)\n\nキャラモーション再生(PID_M011_モーヴ, Shy, TurnL,0,1)\n\n*\nキャラモーション再生(PID_E004_マデリーン, Angry, RunIn)\nウェイト(1)
MID_OP3_#012	キャラ表示切替(PID_M011_モーヴ,False)\nキャラカメラ(CharaCam_Front_Center_Top, PID_E004_マデリーン, cam_anim_shake_loop)\n\nキャラ視線(PID_E004_マデリーン, PID_M011_モーヴ, PID_M011_モーヴ)\n\nキャラモーション再生(PID_E004_マデリーン, Pain, EmoDeny2,1, 0.3)\n\nウェイト(2)\nキャラ配置調整(PID_デモ用_視線設定用, 2,0,0)\nキャラ視線(PID_E004_マデリーン, PID_デモ用_視線設定用, PID_デモ用_視線設定用)
MID_OP3_#013	キャラ視線(PID_E004_マデリーン, PID_M011_モーヴ, PID_M011_モーヴ)\nキャラモーション再生(PID_E004_マデリーン, Angry, EmoTired,0,1)\n\n*\nパペット会話中断()\nウェイト(0.3)\nキャラモーション再生(PID_E004_マデリーン, Surprise, EmoSurprise2,0,0.5)\nエフェクト表示(Effect03, Effects/Event/E006_MID_OP3/Prefabs/E006_MID_OP3_02)\n一枚絵表示(Tex_Event_Effect_White)\nサウンドイベント(SE_DLC_Evt_E006_OP3_Warp)\nウェイト(1.5)\nフェードアウト()\nキャラ削除(PID_E004_マデリーン)\nウェイト(0.5)
MID_OP3_#014	キャラカメラ(CharaCam_Side_Right_Mid, PID_M011_モーヴ, cam_anim_shake_loop)\n\nキャラ表示切替(PID_M011_モーヴ,True)\nキャラ武器装備解除(PID_M011_モーヴ)\n\nキャラモーション再生(PID_M011_モーヴ, Serious)\n\nキャラ配置調整(PID_デモ用_視線設定用,0, 1.5,0)\n\n一枚絵表示(Tex_Event_Effect_FrameFade_White, picture_fade_in_slow)\nフェードイン()
MID_OP3_#015	キャラカメラ(CharaCam_FrontLong_Center_Bot, PID_M011_モーヴ, cam_anim_shake_loop)\n\nキャラ回転(PID_M011_モーヴ,180,0,0)\n\nキャラモーション再生(PID_M011_モーヴ, Sad)
MID_OP3_#016	
MID_OP3_#017	キャラカメラ(CharaCam_Side_Right_Mid, PID_M011_モーヴ, cam_anim_shake_loop)\n\nキャラ回転(PID_M011_モーヴ,180,0,0)\n\nキャラモーション再生(PID_M011_モーヴ, Sad)\n\n*\nパペット会話中断()\nウェイト(2)
MID_OP3_#018	キャラ配置調整(PID_デモ用_視線設定用2,0,1,0)\nキャラ視線(PID_M011_モーヴ, PID_デモ用_視線設定用2, PID_デモ用_視線設定用2)\n\nキャラモーション再生(PID_M011_モーヴ, Die)\nキャラモーション再生(PID_M011_モーヴ, Shy, IdleNormal,1,1)\n\n*\n\nサウンドイベント(ENV_Evt_VolumeReset)\n\nウェイト(1)\nフェードアウト()\nサウンドイベント(Env_Evt_M022_Earthquake_lp_Stop)\nサウンドイベント(SE_DLC_Evt_E006_OP3_Break)
MID_OP4_#001	キャラ配置(PID_E006_エル, ME_IN_BC, [服装], Surprise, IdleNormal, 180)\nキャラ配置調整(PID_E006_エル,0,0, 0.5)\nキャラ配置(PID_リュール, ME_IN_CD, [服装], Sad, IdleNormal, 180)\nキャラ配置調整(PID_リュール,0,0, 0.5)\n\nキャラ配置(PID_E006_セレスティア, ME_IN_C, [服装], Sad, IdleNormal, 0)\nキャラ配置調整(PID_E006_セレスティア,0,0, -0.5)\nキャラ配置(PID_E006_グレゴリー, ME_MID_CD, [服装], Sad, IdleNormal, 0)\nキャラ配置調整(PID_E006_グレゴリー, 0.2,0, -0.3)\nキャラ配置(PID_E006_マデリーン, ME_MID_BC, [服装], Sad, IdleNormal, 0)\nキャラ配置調整(PID_E006_マデリーン, -0.2,0, -0.3)\n\nキャラ配置(PID_デモ用_視線設定用2, YOU_MID_C, [服装], Normal, IdleNormal,0)\nキャラ配置調整(PID_デモ用_視線設定用2, -5, 9, 35)\nキャラ表示切替(PID_デモ用_視線設定用2, False)\n\nキャラ配置(PID_E006_Boss, YOU_OUT_C, [服装], Normal, IdleNormal, 30)\nキャラ配置調整(PID_E006_Boss,0,0,50)\nキャラアニメーター切替(PID_E006_Boss, Unit/Anim/UnitAnims/UAS_Sdk1AT)\nキャラモーション再生(PID_E006_Boss, Normal, StandBy_None)\nキャラ表示切替(PID_E006_Boss,False)\n\nキャラ配置(PID_デモ用_視線設定用, YOU_MID_CD, [服装], Sad, IdleNormal, 0)\nキャラ配置調整(PID_デモ用_視線設定用,0, 1.5,1)\nキャラ表示切替(PID_デモ用_視線設定用,False)\n\n背景(Map_Event_E006_01)\nライト(CharaLight_E006, 0, 0, 0)\n\nシーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track_r_normal)\n\nキャラモーション再生(PID_E006_エル, Sad, EmoSad,0,0.5)\n\n\nフェードイン()
MID_OP4_#002	キャラモーション再生(PID_リュール, Sad, EmoSad2,0,0.5)\nサウンドイベント(Env_Evt_Gradron_Evil_End)\n\n*\nパペット会話中断()\nウェイト(1)
MID_OP4_#003	キャラカメラ(CharaCam_Side_Left2_Mid, PID_E006_セレスティア, cam_anim_track_r_slow)\n\nキャラ表示切替(PID_リュール,False)\nキャラ表示切替(PID_E006_エル,False)\n\nキャラモーション再生(PID_E006_セレスティア, Sad, EmoPray,0, 0.5)\n\n*\nパペット会話中断()\nフェードアウト()
MID_OP4_#004	キャラ表示切替(PID_E006_Boss,True)\n\nスプリットビュー作成(SplitViewTestL, RenderTextureSampleL)\nスプリットビュー作成(SplitViewTestR, RenderTextureSampleR)\n\nスプリットビューアニメ再生(SplitViewTestL, splitview_anim_L_in_fast)\nスプリットビューアニメ再生(SplitViewTestR, splitview_anim_R_in_fast)\nスプリットビューアニメ待ち(SplitViewTestL)\nスプリットビューアニメ待ち(SplitViewTestR)\nスプリットビューカメラのみ状態開始()\n\nスプリットビューアクティブ(SplitViewTestL, False)\nスプリットビューアクティブ(SplitViewTestR, True)\n\nスプリットビューキャラカメラ(SplitViewTestL, CharaCam_SplitView_Left_Mid, PID_リュール, cam_anim_zoom_out_slow)\nスプリットビューキャラカメラ(SplitViewTestR, CharaCam_FrontLong_Center_Mid, PID_デモ用_視線設定用2, cam_anim_zoom_out_slow)\n\nキャラ表示切替(PID_リュール, True)\nキャラ表示切替(PID_E006_エル, True)\n\nキャラ回転(PID_リュール,180,1.5,1)\nキャラモーション再生(PID_リュール, Angry, TurnL,1, 0.5)\nキャラ回転(PID_E006_エル,180,1.5,1)\nキャラモーション再生(PID_E006_エル, Angry, TurnL,1, 0.5)\n\nフェードイン()\n\nウェイト(1)\nキャラ視線(PID_リュール, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_E006_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_E006_セレスティア, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_E006_グレゴリー, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_E006_マデリーン, PID_デモ用_視線設定用, PID_デモ用_視線設定用)
MID_OP4_#005	
MID_OP4_#006	スプリットビューアクティブ(SplitViewTestL, True)\nスプリットビューアクティブ(SplitViewTestR, False)\n\nキャラモーション再生(PID_リュール, Angry, EmoSurprise2,0, 0.5)
MID_OP4_#007	*\nパペット会話中断()\nウェイト(0.5)\nキャラモーション再生(PID_リュール, Angry, RunOut,0, 0.5)
MID_OP4_#008	スプリットビューカメラのみ状態終了()\nキャラカメラ(CharaCam_FrontLong_Center_Bot, PID_E006_セレスティア, cam_anim_zoom_out_slow)\nウェイト(0.1)\nキャラ表示切替(PID_リュール,False)\nキャラ表示切替(PID_E006_エル,False)\n\nスプリットビューアニメ再生(SplitViewTestL, splitview_anim_L_out_fast)\nスプリットビューアニメ再生(SplitViewTestR, splitview_anim_R_out_fast)\nスプリットビューアニメ待ち(SplitViewTestL)\nスプリットビューアニメ待ち(SplitViewTestR)\n\nキャラモーション再生(PID_E006_セレスティア, Angry, EmoAngry,0, 0.5)\nキャラモーション再生(PID_E006_グレゴリー, Angry)\nキャラモーション再生(PID_E006_マデリーン, Angry)\n//ウェイト(1)
MID_OP4_#009	キャラモーション再生(PID_E006_グレゴリー, Pain, EmoSad,0, 0.5)\nキャラモーション再生(PID_E006_グレゴリー, Angry, EmoDeny,3,1)\nウェイト(1)
MID_OP4_#010	キャラモーション再生(PID_E006_マデリーン, Angry, EmoSurprise2,0, 0.5)\nキャラ視線リセット(PID_E006_エル)\nキャラ配置調整(PID_E006_エル,0,0,-3)\nウェイト(1)\n*\nパペット会話中断()\nウェイト(0.75)\nキャラモーション再生(PID_E006_セレスティア, Angry, RunOut,0, 0.5)\nキャラモーション再生(PID_E006_グレゴリー, Angry, RunOut,0, 0.5)\nキャラモーション再生(PID_E006_マデリーン, Angry, RunOut,0, 0.5)\n\nウェイト(0.75)\nキャラカメラ(CharaCam_Side_Left2_Top, PID_E006_エル, cam_anim_track_r_slow)
MID_OP4_#011	キャラ表示切替(PID_E006_エル,True)\nキャラ表示切替(PID_E006_セレスティア, False)\nキャラ表示切替(PID_E006_グレゴリー, False)\nキャラ表示切替(PID_E006_マデリーン, False)\n\nキャラモーション再生(PID_E006_エル, Sad, EmoPray,1,1)\n*\nパペット会話中断()\nウェイト(1)
MID_OP4_#012	キャラモーション再生(PID_E006_エル, Angry)\nキャラ視線(PID_E006_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)
MID_OP4_#013	*\nキャラモーション再生(PID_E006_エル, Angry, RunOut,0, 0.5)\nウェイト(1)\nフェードアウト()
MID_EV1_#001	
MID_EV1_#002	
MID_EV1_#003	
MID_EV2_#001	
MID_EV3_#001	
MID_EV4_#001	
MID_EV4_#002	
MID_EV4_#003	
MID_EV5_#001	
MID_BT1_#001	
MID_BT2_#001	
MID_BT3_#001	
MID_BT4_#001	
MID_BT5_#001	
MID_BT6_#001	
MID_BT7_#001	
MID_BT8_#001	
MID_BT9_#001	
MID_BT10_#001	
MID_BT11_#001	
MID_BT12_#001	
MID_BT13_#001	
MID_BT14_#001	
MID_BT24_#001	
MID_BT24_#002	
MID_BT24_#003	
MID_BT24_#004	
MID_BT24_#005	
MID_BT15_#001	
MID_BT16_#001	
MID_BT17_#001	
MID_BT18_#001	
MID_BT25_#001	
MID_BT25_#002	
MID_BT25_#003	
MID_BT25_#004	
MID_BT25_#005	
MID_BT25_#006	
MID_BT19_#001	
MID_BT19_#002	
MID_BT19_#003	
MID_BT19_#004	
MID_BT19_#005	
MID_BT19_#006	
MID_BT19_#007	
MID_BT19_#008	
MID_BT20_#001	
MID_BT20_#002	
MID_BT20_#003	
MID_BT20_#004	
MID_BT20_#005	
MID_BT20_#006	
MID_BT20_#007	
MID_BT20_#008	
MID_BT20_#009	
MID_BT21_#001	
MID_BT21_#002	
MID_BT21_#003	
MID_BT21_#004	
MID_BT21_#005	
MID_BT21_#006	
MID_BT21_#007	
MID_BT21_#008	
MID_BT22_#001	
MID_BT22_#002	
MID_BT22_#003	
MID_BT22_#004	
MID_BT22_#005	
MID_BT22_#006	
MID_BT22_#007	
MID_BT22_#008	
MID_BT22_#009	
MID_BT23_#001	
MID_BT23_#002	
MID_BT23_#003	
MID_BT23_#004	
MID_BT23_#005	
MID_BT23_#006	
MID_BT23_#007	
MID_BT23_#008	
MID_ED1_#001	キャラ配置(PID_E006_セレスティア, ME_IN_B, [服装], Sad, IdleNormal, 25)\nキャラ配置(PID_E006_エル, ME_IN_C, [服装], Sad, IdleNormal, 8)\nキャラ配置(PID_リュール, ME_IN_D, [服装], Surprise, IdleNormal, -10)\n\nキャラ配置(PID_E005_Boss, YOU_MID_C, [服装], Pain, Reserve1, 0)\n\nキャラ配置(PID_デモ用_竜石なし_ラファール, YOU_MID_C, [服装], Pain, Reserve1, 0)\nキャラアニメーター切替(PID_デモ用_竜石なし_ラファール, Unit/Anim/Demo/AOC_Demo_c201)\nキャラ表示切替(PID_デモ用_竜石なし_ラファール, False)\n\nキャラ配置(PID_デモ用_視線設定用, YOU_MID_BC, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_デモ用_視線設定用3, YOU_OUT_C, [服装], Normal, IdleNormal, -334)\n\nキャラ配置調整(PID_E006_セレスティア, 0.15,0, -0.2)\n\nキャラ配置調整(PID_デモ用_視線設定用, 0, -0.45, 0)\nキャラ配置調整(PID_デモ用_視線設定用2, 0, 0.45, 0)\nキャラ配置調整(PID_デモ用_視線設定用3, 0, -1.25, 0)\n\nキャラ視線(PID_E006_エル, PID_リュール, PID_リュール)\nキャラ視線(PID_E006_セレスティア, PID_リュール, PID_リュール)\n\n背景(Map_Event_E006_01)\nライト(CharaLight_E006, 0, 0, 0)\n\nキャラ配置(PID_デモ用_視線設定用2, ME_OUT_C, [服装], Normal, IdleNormal, 0)\nキャラ配置調整(PID_デモ用_視線設定用2,0, 3,0)\nキャラ表示切替(PID_デモ用_視線設定用2,False)\n\nキャラ配置(PID_ソラ, ME_OUT_D, [服装], Sad, IdleNormal, 0)\nキャラ配置調整(PID_ソラ, 0, 0.71, 0.43)\nキャラ表示切替(PID_ソラ, False)\n\nキャラカメラ(CharaCam_FrontLong_Center_Bot, PID_デモ用_視線設定用2, cam_anim_pan_l_normal)\n\nキャラモーション再生(PID_リュール, Surprise, EmoLook,0, 0.5)\n\nサウンドイベント(SE_DLC_Evt_E006_ED1_Ring_Fly)\nサウンドイベント(Env_Evt_Gradron_RockMountain_Start)\nサウンドイベント(Sombre_Die_Out)\n\n白フェードイン(0.5)
MID_ED1_#002	キャラカメラ(CharaCam_ShoulderLong_Left_Bot, PID_デモ用_視線設定用, cam_anim_track_r_normal)\nキャラ配置調整(PID_デモ用_視線設定用2,0, -4,0)\n\nキャラ視線(PID_リュール, PID_E006_エル, PID_E006_エル)\nキャラ視線(PID_E006_セレスティア, PID_E006_エル, PID_E006_エル)\n\nキャラモーション再生(PID_E006_エル, Normal, EmoTalk,0, 0.5)
MID_ED1_#003	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_リュール, cam_anim_track_l_slow)\nキャラ配置調整(PID_デモ用_視線設定用, 0, -0.1, 0)\n\nキャラ視線(PID_リュール, PID_E005_Boss, PID_E005_Boss, 2)\n\nキャラモーション再生(PID_E006_エル, Normal, IdleNormal,0, 0.5)\nキャラモーション再生(PID_リュール, Normal)\nキャラモーション再生(PID_リュール, Die, EmoPray,2, 0.5)\nキャラモーション再生(PID_E006_セレスティア, Normal)\n\n*\nウェイト(1)
MID_ED1_#004	シーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_pan_d_normal)\n\nキャラモーション再生(PID_リュール, Angry, IdleNormal)\nキャラモーション再生(PID_E006_セレスティア, Sad)\n\nキャラ視線(PID_E006_エル, PID_E005_Boss, PID_E005_Boss)\nキャラ視線(PID_E006_セレスティア, PID_E005_Boss, PID_E005_Boss)\nキャラ視線(PID_リュール, PID_E005_Boss, PID_E005_Boss)\n\nサウンドイベント(Env_Evt_Gradron_RockMountain_End
MID_ED1_#005	キャラカメラ(CharaCam_Side_Left2_Mid, PID_E006_エル, cam_anim_track_r_normal)\n\nキャラモーション再生(PID_E006_エル, Sad)\nキャラモーション再生(PID_リュール, Sad)
MID_ED1_#006	キャラモーション再生(PID_E006_エル, Sad, EmoDeny,0, 0.5)
MID_ED1_#007	キャラカメラ(CharaCam_FrontLong2_Right_Mid, PID_デモ用_視線設定用, cam_anim_track2_r_normal)\nキャラ表示切替(PID_リュール, False)\n\nキャラモーション再生(PID_E005_Boss, Sad)
MID_ED1_#008	キャラモーション再生(PID_E005_Boss, Serious)
MID_ED1_#009	キャラ視線(PID_E005_Boss, PID_E006_エル, PID_E006_エル)\n\nキャラモーション再生(PID_E005_Boss, Sad)
MID_ED1_#010	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_リュール, cam_anim_track_l_slow)\nキャラ表示切替(PID_リュール, True)\n\nキャラモーション再生(PID_E006_エル, Sad, EmoSad2,0, 0.5)
MID_ED1_#011	キャラカメラ(CharaCam_Side_Right_Mid, PID_デモ用_視線設定用, cam_anim_pan_d_slow)\n\nキャラ配置調整(PID_E006_セレスティア, -0.25,0, 0.2)\n\nキャラモーション再生(PID_E005_Boss, Smile)\n\n*\nウェイト(1)
MID_ED1_#012	キャラカメラ(CharaCam_Front_Center_Mid, PID_E006_エル, cam_anim_zoom_in_slow)\n\nキャラモーション再生(PID_リュール, Surprise)\nキャラモーション再生(PID_E006_セレスティア, Surprise)
MID_ED1_#013	シーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_pan_d_normal)\n\nキャラ視線(PID_E005_Boss, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_リュール, Surprise, EmoTalk,0, 0.5)\nキャラモーション再生(PID_E006_エル, Sad)
MID_ED1_#014	キャラカメラ(CharaCam_Front_Center_Mid, PID_E006_セレスティア, cam_anim_track_l_slow)\nキャラモーション再生(PID_E006_セレスティア, Surprise, EmoDeny2,0, 0.5)\nキャラモーション再生(PID_リュール, Smile, IdleNormal,0,1)\n\n*\nウェイト(0.5)
MID_ED1_#015	シーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_pan_d_normal)\n\nキャラモーション再生(PID_E005_Boss, Normal)\nキャラモーション再生(PID_E006_セレスティア, Surprise, IdleNormal,0,1)
MID_ED1_#016	キャラ視線(PID_E005_Boss, PID_デモ用_視線設定用2, PID_デモ用_視線設定用2)
MID_ED1_#017	シーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_pan_d_slow)\n\nキャラ視線(PID_E005_Boss, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_リュール, Sad, EmoTalk2,0, 0.5)\nキャラモーション再生(PID_E006_エル, Sad)
MID_ED1_#018	キャラカメラ(CharaCam_Side_Right2_Mid, PID_デモ用_視線設定用, cam_anim_pan_d_normal)\nキャラモーション再生(PID_E005_Boss, Serious)
MID_ED1_#019	キャラ視線(PID_E005_Boss, PID_デモ用_視線設定用2, PID_デモ用_視線設定用2)
MID_ED1_#020	シーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_pan_d_slow)
MID_ED1_#021	
MID_ED1_#022	キャラ配置調整(PID_デモ用_視線設定用, 0.5,0,0)\nキャラカメラ(CharaCam_SideLong_Right_Mid, PID_デモ用_視線設定用, cam_anim_pan_r_normal)\n\nキャラモーション再生(PID_E005_Boss, Die)
MID_ED1_#023	キャラモーション再生(PID_E005_Boss, Serious)\n*\nパペット会話中断()\nウェイト(1)
MID_ED1_#024	キャラ配置調整(PID_デモ用_視線設定用, -0.5,0,0)\nキャラカメラ(CharaCam_Front_Center_Mid, PID_E006_エル, cam_anim_track_l_slow)
MID_ED1_#025	シーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_pan_d_slow)\n\nキャラ視線(PID_E005_Boss, PID_E006_エル, PID_E006_エル)\n\nキャラモーション再生(PID_E005_Boss, Normal)
MID_ED1_#026	キャラモーション再生(PID_リュール, Surprise)\nキャラモーション再生(PID_E006_エル, Surprise)
MID_ED1_#027	キャラモーション再生(PID_リュール, Sad)
MID_ED1_#028	キャラモーション再生(PID_E006_エル, Angry)
MID_ED1_#029	キャラモーション再生(PID_リュール, Sad, EmoTalk,0, 0.5)
MID_ED1_#030	キャラ視線(PID_E005_Boss, PID_デモ用_視線設定用2, PID_デモ用_視線設定用2)\n\nキャラモーション再生(PID_E006_セレスティア, Surprise)\nキャラモーション再生(PID_E005_Boss, Serious)\nキャラモーション再生(PID_リュール, Sad, IdleNormal,0,1)
MID_ED1_#031	
MID_ED1_#032	キャラカメラ(CharaCam_Front_Center_Mid, PID_E006_セレスティア, cam_anim_track_l_slow)\nキャラアニメーター切替(PID_E005_Boss, Unit/Anim/Demo/AOC_Demo_c049)\n\nキャラモーション再生(PID_E006_セレスティア, Surprise, EmoDeny2,0, 0.5)\n\n*\nキャラモーション再生(PID_E005_Boss, Normal, EmoTired)\nキャラ視線(PID_E005_Boss, PID_E006_エル, PID_E006_エル)\nキャラカメラ(CharaCam_Front_Center_Mid, PID_E005_Boss, cam_anim_zoom_out_normal,1)\nウェイト(0.5)
MID_ED1_#033	
MID_ED1_#034	キャラモーション再生(PID_E005_Boss, Normal, EmoTalk,0,1)
MID_ED1_#035	キャラカメラ(CharaCam_Side_Right_Mid, PID_E005_Boss, cam_anim_pan_r_slow)\nキャラモーション再生(PID_E005_Boss, Angry, IdleNormal,3,1)\nキャラモーション再生(PID_E006_セレスティア, Surprise, IdleNormal)
