MID_FRIENDLIST_Vandre_TextD	【初期兵种】圣骑士\n【生日】11月26日\n【备注】第三十二代龙之守护者。\n在浮游岛上的离宫索拉涅尔，\n负责照顾沉眠于此的\n\x0E\x06\x03\x00生活起居。
MID_FRIENDLIST_Rosado_TextB	【兴趣】寻找心动的事物、睡午觉\n【专长】绘图、速写\n【经历】来自伊尔席翁王国，\n生于神秘之湖边的妖精之村。\n是家中独子，与父亲非常神似。\n邪龙复活时还只是名学生，\n因挂心独自回城的奥尔坦希亚，\n与戈尔德玛莉两人决定一同随行。
MID_FRIENDLIST_Rosado_TextA	【身高】169cm\n【无名指的戒围】11号\n【个性】追求可爱与美，\n歌颂人生美好的乐天派。\n喜欢把美好的风景画下来，\n贴在显眼的地方观察别人反应。\n喜欢替爱龙搭配穿搭。\n是军中最擅长绑缎带的高手。
MID_FRIENDLIST_Rosado_TextS	【成为搭档后】\n每天一定会称赞你很可爱，\n毫不吝于对你诉说甜言蜜语。\n描绘你的肖像也越来越出色，\n同伴也夸赞能从画中感受到爱意。\n虽然如同收到约定戒指那天所言，\n一直将戒指带着从不离身，\n但仅在两人独处时才会戴上。
MID_FRIENDLIST_Goldmary_TextD	【初期兵种】无畏英雄\n【生日】7月18日\n【备注】伊尔席翁王国的王城士兵。\n曾随主君奥尔坦希亚公主，\n以及同袍罗萨德三人\n与神龙军二度交战。最后带着\n“碧绿风空戒指”于绀碧海岸\n和神龙军会合并加入其阵营。
MID_FRIENDLIST_Goldmary_TextC	【喜欢的事物】\n时尚、可爱的事物、打扫、下厨、\n花、温泉、称赞的话、自己\n【不喜欢的事物】\n武器、锻炼、坚硬的食物、晒太阳、\n不懂自己魅力的人
MID_FRIENDLIST_Goldmary_TextB	【兴趣】照镜子、梳理毛发\n【专长】做便当、泪眼哀求\n【经历】来自伊尔席翁王国。\n独生女，家中于温泉胜地经营旅馆，\n在父母与旅人们的关爱下成长。\n邪龙复活时还只是名学生，\n因挂心独自回城的奥尔坦希亚，\n与罗萨德两人决定一同随行。
MID_FRIENDLIST_Goldmary_TextA	【身高】173cm\n【无名指的戒围】9号\n【个性】内向又总是畏畏缩缩，\n但其实脸皮有点厚，常口出狂言。\n非常自恋，四处宣扬自己的魅力，\n以便在各方面都能引人注目。\n有着一双巧手，擅长所有家务。\n是军中对泉水水质最有研究的人。
MID_FRIENDLIST_Goldmary_TextS	【成为搭档后】\n虽然还是一直在自夸，\n但现在每天都会称赞你一番，\n并在同伴面前炫耀幸福。\n每次战斗前总会给你亲手制作\n爱心便当。令人意外的是，\n她似乎并未刻意炫耀约定戒指，\n而是偷偷戴上，看着戒指浅笑。
MID_FRIENDLIST_Misutira_TextD	【初期兵种】义警队\n【生日】8月29日\n【备注】索尔姆王国第一公主。\n有玫琳、帕涅托涅两名臣子。\n带着“苍炎勇者戒指”\n于绿洲短暂休息时，\n和来访的神龙一行\n联手讨伐盗贼后成为同伴。
MID_FRIENDLIST_Misutira_TextC	【喜欢的事物】\n肉、音乐、宴会、时尚、动物、\n露营、流浪、自由、\n和大家一起围着营火\n【不喜欢的事物】\n打扫、童话故事、繁琐的工作、\n被限制、拘束
MID_FRIENDLIST_Misutira_TextB	【兴趣】唱歌、露营、流浪\n【专长】声东击西、引诱、生火\n【经历】生为国家的第一公主，\n即便自幼接受女王应受的教育，\n性格仍爱好自由。总是不在城内，\n通过四处流浪掌握国内的状况，\n以便国家有事时能及时制定对策。\n为了保卫国家也加入了自卫团。
MID_FRIENDLIST_Misutira_TextA	【身高】159cm\n【无名指的戒围】10号\n【个性】无拘无束，平易近人。\n对任何人都很亲切，也能自然地\n试探出对方的真心。喜欢唱歌，\n常突然唱起有点奇怪的原创歌曲。\n一旦被她认定为敌人便毫不留情。\n是军中最常在晚上敲邦哥鼓的人。
MID_FRIENDLIST_Misutira_TextS	【成为搭档后】\n有时会经常两人独处，有时会连续\n多日分开行动，相处模式非常自由。\n闲暇时两人会坐在营火旁边，\n聊起彼此最近遇到的事情。\n或许会被人误解不常戴着约定戒指，\n其实她将戒指收在以金线编织的\n袋子中，每天小心翼翼地带在身上。
MID_FRIENDLIST_Merin_TextD	【初期兵种】狼骑士\n【生日】9月24日\n【备注】索尔姆王国的王城骑士。\n和主君蜜丝提拉以及\n同袍帕涅托涅于绿洲短暂休息时，\n和来访的神龙一行\n联手讨伐盗贼后成为同伴。
MID_FRIENDLIST_Merin_TextC	【喜欢的事物】\n肉、武器、动物、音乐、\n帅气的事物、珍禽异兽、甜食、\n蜜丝提拉唱的歌。\n【不喜欢的事物】\n鬼故事、味道强烈的东西、失败、\n不尊重动物的家伙
MID_FRIENDLIST_Merin_TextB	【兴趣】观察、研究珍禽异兽\n【专长】正确说出动物的名称与习性\n【经历】来自索尔姆王国，\n沙漠村庄的村长之女。有两名兄长，\n但索尔姆为女性当家的母系社会，\n自幼便以继承人身分被教育成人。\n但玫琳无法放弃成为骑士的梦想，\n毅然决然地离家后遇见了蜜丝提拉。
MID_FRIENDLIST_Merin_TextA	【身高】173cm\n【无名指的戒围】11号\n【个性】全身散发华丽的气息，\n不停追求帅气的骑士。\n喜欢所有动物，特别是珍禽异兽，\n每当遇见动物时总是兴奋到忘我。\n但似乎怕不帅气而压抑着冲动。\n是军中最常把点心当作便当的人。
MID_FRIENDLIST_Merin_TextS	【成为搭档后】\n两人仔细编写着神龙图鉴，\n不论欢笑或是伤悲，\n会将所有事情都记录在羊皮纸上。\n梦想未来要一起饲养动物。\n一拿起约定戒指就会忍不住傻笑，\n这样实在太不帅气了，因此不常戴。\n不过只要拜托她就会腼腆地戴上。
MID_FRIENDLIST_Panetone_TextD	【初期兵种】狂斗士\n【生日】10月23日\n【备注】索尔姆王国的王城战士。\n庞德罗的妹妹。\n和主君蜜丝提拉以及\n同袍玫琳于绿洲短暂休息时，\n和来访的神龙一行\n联手讨伐盗贼后成为同伴。
MID_FRIENDLIST_Panetone_TextC	【喜欢的事物】\n辣的食物、奇珍异味、虫子、\n鬼故事、武器、妖怪、废墟、\n阴暗处、蜜丝提拉的烤肉\n【不喜欢的事物】\n可爱的事物、下厨、花、打扫、\n繁文缛节、教会、庄严神圣的地方
MID_FRIENDLIST_Panetone_TextB	【兴趣】漫步于危险的地方\n【专长】打架、近身战、肉搏战\n【经历】来自索尔姆王国，\n生于绿洲之乡的教会家庭。\n父母皆为神职人员，但因家庭环境不好，\n丢下了哥哥独自离家出走。\n当她过着四处争斗的生活时，\n遇见了正在流浪的蜜丝提拉。
MID_FRIENDLIST_Panetone_TextA	【身高】164cm\n【无名指的戒围】11号\n【个性】用字遣词过度客气的淑女。\n虽然行为举止非常有教养，\n但相当有个性，热爱妖怪跟虫子。\n曾有一段不堪的过往，\n有时会在战斗中不经意表露。\n是军中最讲道义的人。
MID_FRIENDLIST_Panetone_TextS	【成为搭档后】\n为了在你面前常保端庄，\n行为举止比以往来得更加高雅。\n她虽担心自己的个性会导致争吵，\n但两人始终过得十分和睦。\n帕涅托涅将约定戒指收在她心爱的\n那个乍看有点不吉利的黑色盒子里。\n除了战斗外都会好好地戴在手上。
MID_FRIENDLIST_Fogato_TextD	【初期兵种】义警队\n【生日】2月14日\n【备注】索尔姆王国第一王子。\n有庞德罗、波聂两名臣子。\n以自卫团团长身分，\n在前往讨伐异形兵的路上，\n遇到迷路的神龙一行，\n主动表示自己可以帮忙引路。
MID_FRIENDLIST_Fogato_TextC	【喜欢的事物】\n肉、宴会、音乐、花、自然、\n热带水果、亲人、同伴\n【不喜欢的事物】\n鬼故事、童话故事、薯类、\n钓鱼、游泳、心思被看穿
MID_FRIENDLIST_Fogato_TextB	【兴趣】聊天、搭讪女孩子\n【专长】侦查、隐藏身分\n【经历】由于索尔姆王国为女王制，\n因此虽贵为第一王子，但成长过程\n比姐姐更不受拘束。年幼时和父亲\n一同在国内四处流浪，并学会如何\n隐藏身分，此技能直至今日仍受用。\n现在则为了保卫国家加入了自卫团。
MID_FRIENDLIST_Fogato_TextA	【身高】178cm\n【无名指的戒围】18号\n【个性】个性开朗且不拘小节，\n能轻易成功搭讪任何他感兴趣的人。\n非常喜欢宴会与欢乐的事物。\n除了有较轻浮、亲切的一面之外，\n也善于刺探他人真意，不容小觑。\n在军中是最能直接表达感情的人。
MID_FRIENDLIST_Fogato_TextS	【成为搭档后】\n每次遇见你都会说“超喜欢你”，\n但这句话的含义已经不同以往。\n由于他表达爱意的方式过于热情，\n害得一旁的同伴们看了也不好意思。\n几乎随时戴着约定戒指，\n每次战斗前都会亲吻戒指上的宝石，\n祈祷两人能够平安归来。
MID_FRIENDLIST_Pandoro_TextD	【初期兵种】主教\n【生日】1月6日\n【备注】索尔姆王国的王城神官。\n与同袍波聂讨伐出现于\n图拉沙漠的异形兵时，\n主君佛贾特前来支援。\n由于自己信仰的神龙也一同出现而\n深感惶恐，不过还是加入了神龙军。
MID_FRIENDLIST_Pandoro_TextC	【喜欢的事物】\n神龙、宴会、音乐、玩耍、\n童话故事、乳制品、歌唱、\n合群的信徒\n【不喜欢的事物】\n运动、锻炼、特辣的食物、跳舞、\n拒绝接受新事物的人
MID_FRIENDLIST_Pandoro_TextB	【兴趣】宴会、狂欢\n【专长】唱歌、熬夜、倾听烦恼\n【经历】来自索尔姆王国。\n生于绿洲之乡的教会家庭。\n父母皆为神职人员，但因家庭环境不好，\n妹妹愤而离家出走。当他努力\n支撑教会时，因缘结识了佛贾特，\n后被劝说成为其家臣。
MID_FRIENDLIST_Pandoro_TextA	【身高】175cm\n【无名指的戒围】14号\n【个性】非常喜欢开心的事。\n经常构思新的宴会主题。\n虽然常被人误解成不正经的人，\n但绝对是名虔诚且真诚的神职人员。\n尤其对神龙更是忠贞不二。\n是军中声音最响亮的人。
MID_FRIENDLIST_Pandoro_TextS	【成为搭档后】\n一开始虽有顾忌又过于客气，\n但现在对你展现的笑容\n已经不像是在看着信仰对象了。\n对你的感情不像在宴会上那样浮夸，\n而是会静静地思念着你。\n把约定戒指像圣物一样供在房里的\n小型祭坛上，每天对着戒指祈祷。
MID_FRIENDLIST_Bonet_TextD	【初期兵种】英勇骑士\n【生日】5月30日\n【备注】索尔姆王国的宫廷厨师。\n与同袍庞德罗讨伐出现于\n图拉沙漠的异形兵时，\n主君佛贾特前来支援。\n此后顺势加入神龙军。
MID_FRIENDLIST_Bonet_TextC	【喜欢的事物】\n下厨、茶会、香草、花、\n所有的食材、所有看起来美味的物质\n【不喜欢的事物】\n味道强烈的东西、晒太阳、锻炼、\n吵杂的地方、光线刺眼的地方、\n重口味的食物
MID_FRIENDLIST_Bonet_TextB	【兴趣】尝试味道、园艺\n【专长】完美重现尝过味道的料理\n【经历】来自索尔姆王国。\n独生子，家中于商港城市经营餐厅。\n餐厅颇具盛名，却因遭盗贼袭击\n而毁于一旦。多年后，波聂参加了\n宫廷厨师选拔赛，虽未获得优胜，\n但收到佛贾特邀请，成为其家臣。
MID_FRIENDLIST_Bonet_TextA	【身高】184cm\n【无名指的戒围】20号\n【个性】热心研究且忠于自我。\n始终在寻找新的料理食材。\n就算不是食物，只要他觉得看起来\n美味的事物，都会想要尝尝味道。\n不仅是味觉，所有感官都相当敏锐。\n是军中研究旗帜学最透彻的人。
MID_FRIENDLIST_Bonet_TextS	【成为搭档后】\n依两人相处的日常生活为基础，\n创造出许多新料理而感到无比幸福。\n闲暇之余两人会一起照顾菜园，\n品尝滋味甜美的闲话家常。\n将约定戒指放在像是银制餐具的\n盒子里，并且放入了花与香草。\n其实偷偷品尝过戒指宝石的味道。
MID_FRIENDLIST_Anna_TextD	【初期兵种】斧战士\n【生日】6月8日\n【备注】实习旅行商人。\n为了寻找能高价贩卖的宝物\n而潜入盗贼团根据地时，\n恰巧遇到神龙军与盗贼交战，\n因此躲进宝箱里面避难。\n被发现后加入神龙军成为同伴。
MID_FRIENDLIST_Anna_TextC	【喜欢的事物】\n乳制品、高级品、工艺、裁缝、\n下厨、庆典、雪、生意兴隆\n【不喜欢的事物】\n鬼故事、虫子、特辣的食物、\n坚硬的食物、梦到亲人的早晨
MID_FRIENDLIST_Anna_TextB	【兴趣】构思、开发全新商品\n【专长】记账、砍柴\n【经历】来自伊尔席翁王国。\n生于秘境内的冬祭之村。\n村内的族人皆为旅行商人，并有着\n许多长相、名字都相同的姐妹。\n在行商途中不小心与家人走散，\n只能靠自己勉强维持生计。
MID_FRIENDLIST_Anna_TextA	【身高】142cm\n【无名指的戒围】3号\n【个性】脑袋灵光的守财奴。\n一抓到机会就推销自己的商品，\n但若卖得不好马上就会泪眼汪汪。\n非常喜欢庆典，即使只是小小的喜事\n都会当成是纪念日一样大肆庆祝。\n是军中有着最多纪念日的人。
MID_FRIENDLIST_Anna_TextS	【成为搭档后】\n两人总是融洽地讨论新商品的\n企划，梦想着下次一定会发大财。\n将成为搭档的那一天\n订为比生日更重要的纪念日，\n并约好每年都要两人一起庆祝。\n由于约定戒指的尺寸略大，\n将戒指套在绳子上当作项链佩戴。
MID_FRIENDLIST_Jean_TextD	【初期兵种】僧侣\n【生日】3月31日\n【备注】费列聂王国的平民。\n当异形兵袭击茶园之乡时，\n待在父亲的诊所战斗。\n借前来救援的神龙军之力\n击退异形兵之后，\n以实习医生的身分加入神龙军。
MID_FRIENDLIST_Jean_TextC	【喜欢的事物】\n茶会、学习、阅读、动物、\n看起来健康的人、稀有的药草、\n使用故乡的茶叶泡的茶\n【不喜欢的事物】\n运动、锻炼、宴会、奇珍异味、\n受伤、生病、自己的技术不足
MID_FRIENDLIST_Jean_TextB	【兴趣】阅读图鉴\n【专长】调配药品、泡茶\n【经历】来自费列聂王国，\n生于茶园之乡里的一间诊所。\n父亲是医生，母亲则是茶农。\n有个年纪差距较大，并留在\n费列聂王国内担任医生的姐姐。\n贾恩企盼自己终有天能继承家业。
MID_FRIENDLIST_Jean_TextA	【身高】140cm\n【无名指的戒围】4号\n【个性】虽内向但相当体贴。\n为实现梦想而不停钻研的拼命三郎。\n虽然年幼却完全不害怕鬼怪，\n反而觉得受伤或生病比较可怕。\n较活泼的说话口气是岛上的特色。\n是军中最擅长剪头发的人。
MID_FRIENDLIST_Jean_TextS	【成为搭档后】\n正如贾恩收到戒指后所言，\n他随时都在身后扶持着你。\n每当两人一起去采药草，都会摘下\n一朵花夹在医学书中制成压花纪念。\n将约定戒指放进美丽的玻璃瓶里，\n期待自己朝一日能够成为\n配得上这枚戒指的有志青年。
MID_FRIENDLIST_Yunaka_TextD	【初期兵种】小偷\n【生日】7月28日\n【备注】神出鬼没的盗贼。\n与神龙一行在费列聂郊外相遇，\n为了夺回“拂晓巫女戒指”，\n在废弃村庄一同战斗。战斗结束后，\n坦诚自己就是偷走戒指的犯人。\n此后加入神龙军成为同伴。
MID_FRIENDLIST_Yunaka_TextC	【喜欢的事物】\n武器、阅读、音乐、锻炼、毒物、\n在黑暗中执行任务、视野不佳的地方\n【不喜欢的事物】\n童话故事、宴会、动物、家务、\n打探、味道强烈的东西、\n暴露自己的长相
MID_FRIENDLIST_Yunaka_TextB	【兴趣】待在隐密的地方\n【专长】模仿、保养武器\n【经历】来自布罗帝亚王国。\n宣称自幼父母双亡，\n但是否属实则无从得知。\n为了挥别过去，活出新的自我，\n离开祖国踏上了旅途。
MID_FRIENDLIST_Yunaka_TextA	【身高】164cm\n【无名指的戒围】9号\n【个性】活泼好动、与人相处融洽。\n演技相当出色，\n擅长模仿同伴或是动物的叫声。\n在战斗中仿佛换了一个人似的，\n会散发与日常不同的氛围。\n在军中是最会分辨真伪的人。
MID_FRIENDLIST_Yunaka_TextS	【成为搭档后】\n对你已不需要再有任何隐瞒，\n能够展现最真实的笑容。\n两人独处时会像在回想一般，\n一一向你倾诉自己的往事。\n将约定戒指收在靠正当手段努力\n赚来的钱所买的金制小盒中保管，\n将戒指看得比自己的性命还重要。
MID_FRIENDLIST_Seadas_TextD	【初期兵种】舞蹈家\n【生日】4月21日\n【备注】索尔姆王国的舞者。\n当他在北城塞练习舞蹈时，\n不巧遭遇了异形兵袭击。此时，\n他听到自“选择未来之人戒指”\n传出来的声音，指引他躲进城塞中。\n此后获神龙军援救并加入成为同伴。
MID_FRIENDLIST_Seadas_TextC	【喜欢的事物】\n音乐、肉、时尚、阅读、香草、\n星星、月亮、甜食、高脂肪食物、\n幻想自己没去过的地方\n【不喜欢的事物】\n锻炼、晒太阳、早起、苦的食物、\n忍耐、吃太撑的隔日清早
MID_FRIENDLIST_Seadas_TextB	【兴趣】眺望未知的城镇\n【专长】舞蹈、占卜、暴饮暴食\n【经历】来自索尔姆王国，\n生于风光明媚的绀碧海岸。\n出生时父亲已辞世，身为占卜师的\n母亲也早逝，因而被商队收留。\n拜师学成舞蹈后便自食其力，\n现在已是知名的舞蹈家。
MID_FRIENDLIST_Seadas_TextA	【身高】177cm\n【无名指的戒围】13号\n【个性】华丽、充满魅力之人。\n全身散发神秘气息，说话有点毒，\n但是对于中意的对象则分外温柔。\n非常注重外在，却也非常嗜吃，\n每天都为了进食与否而十分纠结。\n是军中最喜欢蜂蜜的人。
MID_FRIENDLIST_Seadas_TextS	【成为搭档后】\n每一个星光璀璨的夜晚，\n都会两人一起望着星空谈心。\n只要和你在一起就会心满意足，\n因此每当肚子饿时都会跑来找你，\n并且不愿离去。将约定戒指放在以\n金线刺绣的天鹅绒袋中，只有表演\n特别舞蹈时才会将戒指戴在手上。
MID_FRIENDLIST_Linden_TextD	【初期兵种】圣者\n【生日】6月29日\n【备注】伊尔席翁王国的王城士兵。\n起初虽为了阻止神龙等人的船队\n从费列聂进入伊尔席翁而挑起战斗，\n但其实心中有着自己的考量。\n被说服后加入神龙军成为同伴。
MID_FRIENDLIST_Linden_TextC	【喜欢的事物】\n散步、工艺、阅读、学习、下厨、\n薯类、实验、魔道书、有意思的发展\n【不喜欢的事物】\n武器、打扫、激烈运动、\n实验失败、收拾爆炸后的残局
MID_FRIENDLIST_Linden_TextB	【兴趣】实验、和年轻人交流\n【专长】利用魔法制作点心\n【经历】来自伊尔席翁王国。\n生于知识之塔附近的村庄。\n年轻时隶属海亚信斯王兄长麾下，\n是一名优秀的王城士兵。\n已婚，但妻子已经离世，\n三个小孩也都已各自独立。
MID_FRIENDLIST_Linden_TextA	【身高】175cm\n【无名指的戒围】19号\n【个性】拥有庞大魔力的贤者。\n求知欲旺盛，因此总是在读书，\n并且进行一些奇怪的实验。\n拿手料理是以雷电魔法\n慢慢烘烤出的蛋糕与饼干。\n是军中最会释放静电的人。
MID_FRIENDLIST_Linden_TextS	【成为搭档后】\n两人就像和睦融洽的亲子一样，\n总是充满欢笑地一起做实验。\n他表示花心思照顾你这位搭档，\n已成了他余生最大的生存意义。\n将约定戒指放在胸前的坠饰中，\n打算等到未来你即位的那一天，\n再将戒指戴在自己的手上。
MID_FRIENDLIST_Saphir_TextD	【初期兵种】勇士\n【生日】1月17日\n【备注】布罗帝亚王国的王城士兵。\n为了向顺利登陆伊尔席翁的神龙军\n传达布罗帝亚城平安无事的消息，\n只身前往吉布尔港。\n在战斗中顺利与神龙军会合后，\n投入神龙麾下一同并肩作战。
MID_FRIENDLIST_Saphir_TextC	【喜欢的事物】\n鱼、锻炼、钓鱼、武器、宴会、\n薯类、乳制品、喧嚣的夜晚\n【不喜欢的事物】\n繁琐的工作、时尚、可爱的东西、\n高级品、看起来娇滴滴的人、\n伊尔席翁兵
MID_FRIENDLIST_Saphir_TextB	【兴趣】交手\n【专长】处理鱼类、游泳\n【经历】来自布罗帝亚王国，\n生于乡下的渔村。年纪尚幼时，\n父母遭到经水路入侵的\n伊尔席翁兵袭击而不幸殒命。\n自此成为佣兵，征战各地。\n尔后获得赏识，成为王城士兵。
MID_FRIENDLIST_Saphir_TextA	【身高】177cm\n【无名指的戒围】14号\n【个性】勇猛且意志坚定。\n有着力求不断提升自我的特质，\n喜欢锻炼、和强者比试。\n个性大而化之，但很会照顾人，\n常带头倾听后辈们的烦恼。\n是军中最熟悉鱼类知识的人。
MID_FRIENDLIST_Saphir_TextS	【成为搭档后】\n两人通过锻炼与比试，\n让彼此心灵相通并加深情谊。\n偶尔会为了你特地下厨，\n准备拿手的活鱼料理向你表达爱意。\n虽然觉得约定戒指不太适合自己，\n因此几乎不会戴在手上。\n但每次出兵时都会藏在铠甲里面。
MID_FRIENDLIST_Veyre_TextD	【初期兵种】邪龙之女\n【生日】9月12日\n【备注】邪龙尚卜尔的女儿。\n神龙\x0E\x06\x03\x00唯一的妹妹。\n双方虽曾因尚卜尔的奸计而敌对，\n但最终贝珥的意志战胜了邪恶人格。\n为了成为救世之龙，\n决定跟随在神龙身旁一同战斗。
MID_FRIENDLIST_Veyre_TextC	【喜欢的事物】\n特辣的食物、散步、阅读、花、\n玩耍、烛光、兄弟姐妹\n【不喜欢的事物】\n高级品、味道强烈的东西、恶梦、\n甜食、明亮的地方
MID_FRIENDLIST_Veyre_TextB	【兴趣】帮助他人、和同伴交流\n【专长】制作精巧的异形兵\n【经历】生于古拉铎隆之地，\n为邪龙诸子的幺女。\n母亲是心地善良的魔龙族。\n即便历经千年的孤独、甚至被父亲\n当作棋子，在非自愿的情况下战斗，\n却从未失去自己善良的心。
MID_FRIENDLIST_Veyre_TextA	【身高】158cm\n【无名指的戒围】5号\n【个性】善良且纯真。\n总是优先考虑他人心情的大好人。\n盼望自己可以帮助他人，\n对有难的人无法坐视不管。\n为人很客气，但非常喜欢玩耍。\n是军中最能忍耐疼痛的人。
MID_FRIENDLIST_Veyre_TextS	【成为搭档后】\n两人一起四处助人、一起挑战\n特辣的食物，过着和谐的生活。\n两人也建立起了即使分隔两地\n也能心有灵犀的神奇关系。\n将约定戒指当作最重要的护身符，\n用以前保护你的龙石的那块神圣\n布料包裹着戒指并随身携带。
MID_FRIENDLIST_Mauve_TextD	【初期兵种】皇家骑士\n【生日】9月13日\n【备注】保护贝珥的骑士。\n过去曾以四狗成员的身分与神龙军\n敌对，但因为尚卜尔与赛皮雅\n违背道义的行为而选择叛变。\n为了替同袍复仇，也为了主君贝珥，\n加入神龙阵营。
MID_FRIENDLIST_Mauve_TextC	【喜欢的事物】\n特辣的食物、锻炼、工艺、武器、\n肉、花、田园风光、酥皮料理\n【不喜欢的事物】\n玩耍、宴会、高级品、时尚、\n隐密行动、不合情理的行为
MID_FRIENDLIST_Mauve_TextB	【兴趣】帮助他人、倾听\n【专长】不眠不休地日夜巡视\n【经历】来自费列聂王国。\n莫布是有钱人家的独生子，但父亲\n过世后，母亲抑郁成疾，带着他\n投奔伊尔席翁王国，成为邪龙信徒。\n在隐藏的神殿遇见了贝珥，\n邪龙复活后，以四狗的身分侍奉她。
MID_FRIENDLIST_Mauve_TextA	【身高】195cm\n【无名指的戒围】24号\n【个性】刚毅木讷的习武之人。\n虽然常因沉默寡言而招致误解，\n实际上个性善良且乐于保护弱小。\n总是认真执行任务，不太懂得\n如何休息，所有娱乐都与他无缘。\n是军中最难受到催眠影响的人。
MID_FRIENDLIST_Mauve_TextS	【成为搭档后】\n并不打算将你占为己有，但只要在\n他的视线范围内定会尽全力保护你。\n两人独处时更是格外地温柔，\n将你当作宝物般捧在手心呵护。\n他将约定戒指保管在不像是\n他会用的精雕细琢的小盒中，\n每天都会一丝不苟地细心保养。
MID_FRIENDLIST_Mascot_TextD	【相遇的日子】\x0E\x01\x00\x00月\x0E\x01\x01\x00日\n【大小】约等于蓬松的面包\n【重量】两颗蜜桃重\n【备注】索拉涅尔的守护神。\n待在洞穴里的祭坛上。\n一见到\x0E\x06\x03\x00\n便会兴奋地追上来。\n与琉弥艾尔相识已久。
MID_FRIENDLIST_Mascot_TextA	【个性】\n乖巧稳重、心情总是很好\n【喜欢的事物】\n\x0E\x06\x03\x00、蝴蝶、\n柔软的东西、温暖的东西、\n第一次品尝的食物\n【不喜欢的事物】\n以往存在的人消失离去
