MID_BONDSRING_H_CommonTytle	“出场作品”
MID_BONDSRING_H_Azul03	《覚醒》
MID_BONDSRING_Serena	瑟琳娜
MID_BONDSRING_H_Serena00	异界英雄之一，蒂亚莫之女。
MID_BONDSRING_H_Serena01	来自未来的少年少女之一，\n性格好强，态度高傲。
MID_BONDSRING_H_Serena02	会装可爱、耍小心机，\n是军中最常乱买东西的人。
MID_BONDSRING_H_Serena03	《覚醒》
MID_BONDSRING_Gaius	盖亚
MID_BONDSRING_H_Gaius00	异界英雄之一，伊里斯圣王国的盗贼。
MID_BONDSRING_H_Gaius01	沉着冷静，只要能拿到酬劳，\n基本上什么委托都接。
MID_BONDSRING_H_Gaius02	喜欢甜食，全身上下藏着糖果。\n是军中最常流鼻血的人。
MID_BONDSRING_H_Gaius03	《覚醒》
MID_BONDSRING_Oud	伍德
MID_BONDSRING_H_Oud00	异界英雄之一，莉兹之子。
MID_BONDSRING_H_Oud01	来自未来的少年少女之一，\n继承了圣王的血脉，身上有“圣痕”。
MID_BONDSRING_H_Oud02	爱耍帅，享受万众瞩目的感觉。\n是军中最容易热血沸腾的人。
MID_BONDSRING_H_Oud03	《覚醒》
MID_BONDSRING_Lissa	莉兹
MID_BONDSRING_H_Lissa00	异界英雄之一，伊里斯圣王国的公主。
MID_BONDSRING_H_Lissa01	无论对谁都一视同仁的少女。\n身为库洛武自卫团的一员，贡献良多。
MID_BONDSRING_H_Lissa02	自卫团中的开心果，\n是军中最爱蹦蹦跳跳的人。
MID_BONDSRING_H_Lissa03	《覚醒》
MID_BONDSRING_Lin00	来自异界埃列布陆地的塞迦地区，\n继承了基亚兰侯爵家血脉的女爵。
MID_BONDSRING_Lin01	与朋友艾利乌德、海克托尔等人\n一同讨伐为世界招致灾厄者涅尔加鲁。
MID_BONDSRING_Hector	海克托尔
MID_BONDSRING_H_Hector00	异界埃列布陆地中\n吕基亚地区的奥斯提亚侯爵家的勋爵。
MID_BONDSRING_H_Hector01	性格豪爽，擅长用斧，\n以独树一帜的招式战斗，实力非凡。
MID_BONDSRING_H_Hector02	从小认识艾利乌德，\n互相发誓终生为友。
MID_BONDSRING_H_Hector03	《封印の剣》《烈火の剣》
MID_BONDSRING_Dorcas	多尔卡斯
MID_BONDSRING_H_Dorcas00	异界英雄之一，边境村落的战士。
MID_BONDSRING_H_Dorcas01	为赚取妻子的医药费，\n而沦为山贼团的爪牙。
MID_BONDSRING_H_Dorcas02	受琳救助后成为伙伴。\n性格稳重，爱护家人。
MID_BONDSRING_H_Dorcas03	《烈火の剣》
MID_BONDSRING_Eliwod	艾利乌德
MID_BONDSRING_H_Eliwod00	异界埃列布陆地中\n吕基亚地区的费雷侯爵家的勋爵。
MID_BONDSRING_H_Eliwod01	正直坦率的青年，\n为寻找失踪的父亲而踏上旅途。
MID_BONDSRING_H_Eliwod02	被卷入奸贼的巨大阴谋后，\n与海克托尔、琳一同挺身奋战。
MID_BONDSRING_H_Eliwod03	《封印の剣》《烈火の剣》
MID_BONDSRING_Nino	妮诺
MID_BONDSRING_H_Nino00	异界英雄之一，\n温柔善良的见习魔道士。
MID_BONDSRING_H_Nino01	暗杀集团“黑牙”首领之女，\n因被母亲冷落而渴求被爱。
MID_BONDSRING_H_Nino02	非常重视团内的伙伴，\n将他们视为家人。
MID_BONDSRING_H_Nino03	《烈火の剣》
MID_BONDSRING_Flolina	芙罗利娜
MID_BONDSRING_H_Flolina00	异界英雄之一，伊利亚地区的见习天马骑士。
MID_BONDSRING_H_Flolina01	性格温顺的少女，\n心地善良，热爱动物。
MID_BONDSRING_H_Flolina02	胆小内向，不擅长与男性相处，\n却为了挚友琳一同踏上了旅途。
MID_BONDSRING_H_Flolina03	《烈火の剣》
MID_BONDSRING_Jaffar	贾法尔
MID_BONDSRING_H_Jaffar00	异界英雄之一，\n暗杀集团“黑牙”的暗杀者。
MID_BONDSRING_H_Jaffar01	人称“四牙”的精锐之一，\n别名“死神”。
MID_BONDSRING_H_Jaffar02	情感匮乏的冷酷杀手，\n在与妮诺相处的过程中逐渐理解人心。
MID_BONDSRING_H_Jaffar03	《烈火の剣》
MID_BONDSRING_Matthew	马修
MID_BONDSRING_H_Matthew00	异界英雄之一，\n侍奉奥斯提亚侯爵家的密探。
MID_BONDSRING_H_Matthew01	性格爽朗洒脱，\n平易近人。
MID_BONDSRING_H_Matthew02	乍看轻浮，其实是个默默干活的敬业之人，\n总能准确无误地完成任务。
MID_BONDSRING_H_Matthew03	《烈火の剣》
MID_BONDSRING_Ninian	尼尼安
MID_BONDSRING_H_Ninian00	异界英雄之一，旅行中的舞者。
MID_BONDSRING_H_Ninian01	遭遇盗贼袭击时被艾利乌德与琳所救，\n之后成为朋友。
MID_BONDSRING_H_Ninian02	看似纤弱，身上却隐藏着\n能让世界天翻地覆的巨大秘密。
MID_BONDSRING_H_Ninian03	《烈火の剣》
MID_BONDSRING_Rebacca	蕾贝卡
MID_BONDSRING_H_Rebacca00	异界英雄之一，某村落的村长之女。
MID_BONDSRING_H_Rebacca01	为报答艾利乌德救助村落之恩，\n成为伙伴，替他战斗效命。
MID_BONDSRING_H_Rebacca02	性格开朗又温柔，\n长年狩猎练就了高超的箭术。
MID_BONDSRING_H_Rebacca03	《烈火の剣》
MID_BONDSRING_Serra	赛拉
MID_BONDSRING_H_Serra00	异界英雄之一，\n侍奉奥斯提亚侯爵家的修女。
MID_BONDSRING_H_Serra01	擅长钻营的精明之人，\n为了向权贵卖人情而成为琳的伙伴。
MID_BONDSRING_H_Serra02	我行我素，常把人耍得团团转，\n却令人讨厌不起来的少女。
MID_BONDSRING_H_Serra03	《烈火の剣》
MID_BONDSRING_Ike00	异界堤里乌斯陆地中\n率领克里米亚王国格莱尔佣兵团的青年。
MID_BONDSRING_Ike01	挺身对抗在陆地引发战乱、\n企图复活邪神的戴因狂王亚修纳德。
MID_BONDSRING_Senerio	塞涅里欧
MID_BONDSRING_H_Senerio00	异界英雄之一，格莱尔佣兵团的魔道士。
MID_BONDSRING_H_Senerio01	拥有冷静的判断力，\n擅长收集情报，相当于团中参谋。
MID_BONDSRING_H_Senerio02	不擅长交际，与他人保持距离，\n但是十分信赖艾克。
MID_BONDSRING_H_Senerio03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Wayu	瓦育
MID_BONDSRING_H_Wayu00	异界英雄之一，格莱尔佣兵团的剑士。
MID_BONDSRING_H_Wayu01	心思单纯，直来直往，\n坦率不做作的活泼少女。
MID_BONDSRING_H_Wayu02	一心想磨炼剑术，\n只要发现高手，就想一较高下。
MID_BONDSRING_H_Wayu03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Tiamat	狄亚马特
MID_BONDSRING_H_Tiamat00	异界英雄之一，格莱尔佣兵团的副团长。
MID_BONDSRING_H_Tiamat01	曾为克里米亚王宫效命，\n是擅长用斧的资深骑士。
MID_BONDSRING_H_Tiamat02	沉静内敛的女子，时而像母亲，\n时而又像姐姐般照顾艾克与团员。
MID_BONDSRING_H_Tiamat03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Elaice	伊蕾思
MID_BONDSRING_H_Elaice00	异界英雄之一，擅长雷魔法的魔道士。
MID_BONDSRING_H_Elaice01	原本与旅行商人同行，\n意外被卷入战斗后加入艾克一伙。
MID_BONDSRING_H_Elaice02	外表娇小纤弱，却是个大胃王，\n总是饿着肚子。
MID_BONDSRING_H_Elaice03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Lethe	蕾媞
MID_BONDSRING_H_Lethe00	异界英雄之一，加利亚王国的兽牙战士。
MID_BONDSRING_H_Lethe01	可变身战斗的“拉古兹”之一，\n能化身为巨猫的兽牙族少女。
MID_BONDSRING_H_Lethe02	厌恶身为“贝欧克”的艾克等人，\n对其抱持敌意，却依然奉王命与他们合作。
MID_BONDSRING_H_Lethe03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Mist	密丝特
MID_BONDSRING_H_Mist00	异界英雄之一，格莱尔佣兵团的操杖士。
MID_BONDSRING_H_Mist01	艾克的妹妹，\n拥有纯洁心灵的善良女孩。
MID_BONDSRING_H_Mist02	积极勤快地照顾大家，\n总是为哥哥和团员着想。
MID_BONDSRING_H_Mist03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Chinon	席诺
MID_BONDSRING_H_Chinon00	异界英雄之一，格莱尔佣兵团的弓箭手。
MID_BONDSRING_H_Chinon01	佣兵团的资深团员，\n技艺高超，百发百中。
MID_BONDSRING_H_Chinon02	爱讽刺人，讲话尖酸刻薄，\n但也有会照顾人的一面。
MID_BONDSRING_H_Chinon03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Greil	格莱尔
MID_BONDSRING_H_Greil00	异界英雄之一，\n格莱尔佣兵团的第一任团长。
MID_BONDSRING_H_Greil01	广受信赖的一流佣兵，\n战斗技巧绝佳。
MID_BONDSRING_H_Greil02	身为艾克与密丝特的父亲，\n也将团员视为家人。
MID_BONDSRING_H_Greil03	《蒼炎の軌跡》
MID_BONDSRING_Lay	莱伊
MID_BONDSRING_H_Lay00	异界英雄之一，加利亚王国的兽牙战士。
MID_BONDSRING_H_Lay01	可变身战斗的“拉古兹”之一，\n能化身为巨猫的随和青年。
MID_BONDSRING_H_Lay02	看上去人畜无害，其实身手非凡，\n担任大队长统率兽牙战士。
MID_BONDSRING_H_Lay03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Gatrie	嘉德列
MID_BONDSRING_H_Gatrie00	异界英雄之一，格莱尔佣兵团的重步兵。
MID_BONDSRING_H_Gatrie01	有时会得意忘形，但是个老好人。\n将同为佣兵的席诺视为大哥。
MID_BONDSRING_H_Gatrie02	拿女性没辙，动不动就坠入情网，\n常常失恋却越挫越勇。
MID_BONDSRING_H_Gatrie03	《蒼炎の軌跡》《暁の女神》
MID_BONDSRING_Byleth00	在异界芙朵拉中过着佣兵生活，\n因缘际会之下，成为教师。
MID_BONDSRING_Byleth01	持古代英雄涅梅希斯的武器“天帝之剑”\n带领学生并肩作战。
MID_BONDSRING_Edelgard	艾黛尔贾特
MID_BONDSRING_H_Edelgard00	异界之地芙朵拉中\n阿德剌斯忒亚帝国的皇女。
MID_BONDSRING_H_Edelgard01	就读于加尔古·玛库大修道院的士官学校，\n担任黑鹫学级的级长。
MID_BONDSRING_H_Edelgard02	意志坚定的高贵少女，\n期盼能够改革世界。
MID_BONDSRING_H_Edelgard03	《风花雪月》
MID_BONDSRING_Dimitri	帝弥托利
MID_BONDSRING_H_Dimitri00	异界之地芙朵拉中\n法嘉斯神圣王国的王子。
MID_BONDSRING_H_Dimitri01	就读于加尔古·玛库大修道院的士官学校，\n担任青狮子学级的级长。
MID_BONDSRING_H_Dimitri02	彬彬有礼的正直青年，\n内心深藏着不为人知的黑暗面。
MID_BONDSRING_H_Dimitri03	《风花雪月》
MID_BONDSRING_Claude	库罗德
MID_BONDSRING_H_Claude00	异界之地芙朵拉中，\n雷斯塔诸侯同盟盟主里刚公爵家的嫡子。
MID_BONDSRING_H_Claude01	就读于加尔古·玛库大修道院的士官学校，\n担任金鹿学级的级长。
MID_BONDSRING_H_Claude02	给人的感觉有些难以捉摸，但很好相处。\n也有思虑周详、精明干练的一面。
MID_BONDSRING_H_Claude03	《风花雪月》
MID_BONDSRING_Lysithea	莉丝缇亚
MID_BONDSRING_H_Lysithea00	异界英雄之一，科迪利亚伯爵家的长女。
MID_BONDSRING_H_Lysithea01	金鹿学级的学生，\n认真努力，拥有过人的魔道天赋。
MID_BONDSRING_H_Lysithea02	热爱甜食，害怕鬼怪，\n非常讨厌被当成小孩对待。
MID_BONDSRING_H_Lysithea03	《风花雪月》
MID_BONDSRING_Bernadetta	贝尔娜提塔
MID_BONDSRING_H_Bernadetta00	异界英雄之一，瓦立伯爵家的独生女。
MID_BONDSRING_H_Bernadetta01	黑鹫学级的学生，\n十分怕生。
MID_BONDSRING_H_Bernadetta02	严苛的教育导致她足不出户，\n上课以外的时间几乎都窝在房里。
MID_BONDSRING_H_Bernadetta03	《风花雪月》
MID_BONDSRING_Felix	菲力克斯
MID_BONDSRING_H_Felix00	异界英雄之一，伏拉鲁达力乌斯公爵家的嫡子。
MID_BONDSRING_H_Felix01	青狮子学级的学生，\n是帝弥托利的儿时玩伴。
MID_BONDSRING_H_Felix02	一心想磨练自己的剑术，\n遇见强劲的对手就想较量一番。
MID_BONDSRING_H_Felix03	《风花雪月》
MID_BONDSRING_Ferdinand	菲尔迪南特
MID_BONDSRING_H_Ferdinand00	异界英雄之一，艾吉尔公爵家的嫡子。
MID_BONDSRING_H_Ferdinand01	黑鹫学级的学生，\n以自己的贵族身分为傲。
MID_BONDSRING_H_Ferdinand02	好胜心很强，\n将皇女艾黛尔贾特视为劲敌。
MID_BONDSRING_H_Ferdinand03	《风花雪月》
MID_BONDSRING_Ingrid	英谷莉特
MID_BONDSRING_H_Ingrid00	异界英雄之一，贾拉提雅伯爵家的千金。
MID_BONDSRING_H_Ingrid01	青狮子学级的学生，\n性格认真且稳重。
MID_BONDSRING_H_Ingrid02	对骑士精神心怀憧憬，\n梦想有朝一日自己也能成为骑士。
MID_BONDSRING_H_Ingrid03	《风花雪月》
MID_BONDSRING_Raphael	拉斐尔
MID_BONDSRING_H_Raphael00	异界英雄之一，雷斯塔商人家的儿子。
MID_BONDSRING_H_Raphael01	金鹿学级的学生，\n是个体魄强健的大胃王。
MID_BONDSRING_H_Raphael02	不爱听课，热衷于锻炼体魄，\n为了成为独当一面的骑士而不懈努力。
MID_BONDSRING_H_Raphael03	《风花雪月》
MID_BONDSRING_Flayn	芙莲
MID_BONDSRING_H_Flayn00	异界英雄之一，\n赛罗司圣教会大司教辅佐西提司的妹妹。
MID_BONDSRING_H_Flayn01	并非士官学校的学生，\n在哥哥的监护下住在大修道院。
MID_BONDSRING_H_Flayn02	不知人间烟火，\n对万物充满好奇心。
MID_BONDSRING_H_Flayn03	《风花雪月》
MID_BONDSRING_Kamui00	出生于异界的白夜王国，\n但年幼时遭掳，在暗夜王国长大的王族。
MID_BONDSRING_Kamui01	为了争取和平、终结两国间的纠纷，\n力抗企图毁灭世界的透魔龙海卓拉。
MID_BONDSRING_Camilla	卡美拉
MID_BONDSRING_H_Camilla00	异界暗夜王国的第一公主。
MID_BONDSRING_H_Camilla01	驱使魔龙，\n亲临战场的美艳女子。
MID_BONDSRING_H_Camilla02	溺爱神威，对其用情至深。\n欣赏可爱又坚强的女孩。
MID_BONDSRING_H_Camilla03	《白夜王国》《暗夜王国》等
MID_BONDSRING_Aqua	阿库娅
MID_BONDSRING_H_Aqua00	异界英雄之一，暗夜王国的公主，\n被人掳走后在白夜王国长大。
MID_BONDSRING_H_Aqua01	情绪鲜少有起伏，\n散发着一股梦幻缥缈的气质。
MID_BONDSRING_H_Aqua02	擅长歌舞的“歌姬”，\n以长枪与舞蹈为武器，活跃于战场。
MID_BONDSRING_H_Aqua03	《白夜王国》《暗夜王国》等
MID_BONDSRING_Takumi	拓海
MID_BONDSRING_H_Takumi00	异界白夜王国的王子。
MID_BONDSRING_H_Takumi01	是位神射手，\n操控王室代代相传的弓神器“风神弓”。
MID_BONDSRING_H_Takumi02	憎恨威胁祖国的暗夜王国，\n对神威怀抱复杂的情感。
MID_BONDSRING_H_Takumi03	《白夜王国》《暗夜王国》等
MID_BONDSRING_Leon	里昂
MID_BONDSRING_H_Leon00	异界暗夜王国的王子。
MID_BONDSRING_H_Leon01	擅长暗魔法的精英，\n使用魔道书神器“布伦希尔德”。
MID_BONDSRING_H_Leon02	天资聪颖，任何事都难不倒他。\n但也有迷糊的一面，比如说把法袍穿反。
MID_BONDSRING_H_Leon03	《白夜王国》《暗夜王国》等
MID_BONDSRING_Elise	艾丽泽
MID_BONDSRING_H_Elise00	异界暗夜王国的公主。
MID_BONDSRING_H_Elise01	暗夜王族兄妹的幺女，\n天真烂漫、活泼开朗。
MID_BONDSRING_H_Elise02	最喜欢自己的哥哥姐姐们，\n也十分仰慕神威。
MID_BONDSRING_H_Elise03	《白夜王国》《暗夜王国》等
MID_BONDSRING_Sakura	樱
MID_BONDSRING_H_Sakura00	异界白夜王国的公主。
MID_BONDSRING_H_Sakura01	白夜王族兄妹的幺女，\n心地善良、气质优雅。
MID_BONDSRING_H_Sakura02	对任何人都恭敬有礼，\n但是生性害羞，容易紧张。
MID_BONDSRING_H_Sakura03	《白夜王国》《暗夜王国》等
MID_BONDSRING_Marks	马克斯
MID_BONDSRING_H_Marks00	异界暗夜王国的第一王子。
MID_BONDSRING_H_Marks01	下任暗夜国王，\n剑神器“西格弗里德”的继承人。
MID_BONDSRING_H_Marks02	心怀骑士精神的圣骑士，\n威严与体贴兼备。
MID_BONDSRING_H_Marks03	《白夜王国》《暗夜王国》等
MID_BONDSRING_Joker	乔克
MID_BONDSRING_H_Joker00	异界英雄之一，侍奉神威的管家。
MID_BONDSRING_H_Joker01	聪明伶俐、无所不能，\n从照顾起居、保养武器到战斗都能一手包办。
MID_BONDSRING_H_Joker02	对主君神威忠心不二，\n待其他人则态度冷漠。
MID_BONDSRING_H_Joker03	《白夜王国》《暗夜王国》等
MID_BONDSRING_Ryoma	龙马
MID_BONDSRING_H_Ryoma00	异界白夜王国的第一王子。
MID_BONDSRING_H_Ryoma01	下任白夜国王，\n刀神器“雷神刀”的继承人。
MID_BONDSRING_H_Ryoma02	推崇武士精神，\n充满斗志、百折不挠的武士。
MID_BONDSRING_H_Ryoma03	《白夜王国》《暗夜王国》等
MID_BONDSRING_Hinoka	火乃香
MID_BONDSRING_H_Hinoka00	异界白夜王国的第一公主。
MID_BONDSRING_H_Hinoka01	性格有如习武之人一般的公主，\n驱使天马，驰骋沙场。
MID_BONDSRING_H_Hinoka02	年幼时神威遭掳，\n为了带她回国而成为天马武士。
MID_BONDSRING_H_Hinoka03	《白夜王国》《暗夜王国》等
MID_BONDSRING_Eirik00	异界麦格维尔陆地中\n路奈斯王国的公主。
MID_BONDSRING_Eirik01	与双胞胎哥哥艾夫拉姆一同使用\n人称双圣器的传说武器，讨伐魔王弗德斯。
MID_BONDSRING_Lute	卢特
MID_BONDSRING_H_Lute00	异界英雄之一，天才魔道士。
MID_BONDSRING_H_Lute01	魔道天资出色且学富五车，\n口头禅是“因为我很优秀”。
MID_BONDSRING_H_Lute02	措辞独特，\n难以分辨其真心。
MID_BONDSRING_H_Lute03	《聖魔の光石》
MID_BONDSRING_Jhosua	约书亚
MID_BONDSRING_H_Jhosua00	异界英雄之一，潇洒不羁的剑士。
MID_BONDSRING_H_Jhosua01	生性好赌，\n甚至以掷硬币来做重大决定。
MID_BONDSRING_H_Jhosua02	原为格拉多帝国雇佣的佣兵，\n却因掷硬币的结果背叛了其雇主。
MID_BONDSRING_H_Jhosua03	《聖魔の光石》
MID_BONDSRING_Marica	玛莉卡
MID_BONDSRING_H_Marica00	异界英雄之一，\n隶属吉斯特佣兵团的剑士。
MID_BONDSRING_H_Marica01	剑术高超，令人闻风丧胆，\n别号“绯闪”。
MID_BONDSRING_H_Marica02	沉默寡言，鲜少表露情绪。\n对队长吉斯特深信不疑。
MID_BONDSRING_H_Marica03	《聖魔の光石》
MID_BONDSRING_Seth	赛特
MID_BONDSRING_H_Seth00	异界英雄之一，侍奉路奈斯王室的骑士。
MID_BONDSRING_H_Seth01	统率骑士团的年轻将军，\n别名“纯银的骑士”。
MID_BONDSRING_H_Seth02	格拉多帝国遭到侵略时，\n保护艾莉可，协助她脱逃。
MID_BONDSRING_H_Seth03	《聖魔の光石》
MID_BONDSRING_Amelia	亚美利雅
MID_BONDSRING_H_Amelia00	异界英雄之一，格拉多帝国的见习士兵。
MID_BONDSRING_H_Amelia01	虽然涉世未深，\n但性情率直、努力不懈的少女。
MID_BONDSRING_H_Amelia02	误以为艾莉可与艾夫拉姆是穷凶极恶的坏蛋，\n怀着误解参战。
MID_BONDSRING_H_Amelia03	《聖魔の光石》
MID_BONDSRING_Turner	塔娜
MID_BONDSRING_H_Turner00	异界麦格维尔陆地中\n弗莱利亚王国的公主。
MID_BONDSRING_H_Turner01	地位虽高却活泼好动，\n于天马之上挥枪奋战。
MID_BONDSRING_H_Turner02	和艾莉可是好朋友，\n为了帮助她而离开王城，前去支援。
MID_BONDSRING_H_Turner03	《聖魔の光石》
MID_BONDSRING_Larchel	拉切尔
MID_BONDSRING_H_Larchel00	异界英雄之一，拯救众人的正义少女。
MID_BONDSRING_H_Larchel01	游遍麦格维尔陆地，\n击败各处现身的魔物。
MID_BONDSRING_H_Larchel02	真实身分是罗斯通圣教国的圣公主，\n带着两位随从一同奋战。
MID_BONDSRING_H_Larchel03	《聖魔の光石》
MID_BONDSRING_Ross	罗斯
MID_BONDSRING_H_Ross00	异界英雄之一，战士贾西亚之子。
MID_BONDSRING_H_Ross01	资历尚浅的路奈斯王国战士，\n是充满干劲与斗志的活泼少年。
MID_BONDSRING_H_Ross02	十分尊敬父亲，\n总是向他看齐，精进自我。
MID_BONDSRING_H_Ross03	《聖魔の光石》
MID_BONDSRING_Heanius	西尼亚斯
MID_BONDSRING_H_Heanius00	异界麦格维尔陆地中\n弗莱利亚王国的王子。
MID_BONDSRING_H_Heanius01	自尊心强、聪颖过人，\n以神射手著称。
MID_BONDSRING_H_Heanius02	沉着冷静，讲话一针见血，\n看似冷酷无情，实则心地善良。
MID_BONDSRING_H_Heanius03	《聖魔の光石》
MID_BONDSRING_Xyst	吉斯特
MID_BONDSRING_H_Xyst00	异界英雄之一，吉斯特佣兵团团长。
MID_BONDSRING_H_Xyst01	身经百战、声名远播的佣兵，\n人称“沙漠之虎”。
MID_BONDSRING_H_Xyst02	重情重义，擅长照顾人，\n深受众人信赖。
MID_BONDSRING_H_Xyst03	《聖魔の光石》
MID_BONDSRING_Alfonse	阿尔冯斯
MID_BONDSRING_H_Alfonse00	异界之国——亚斯克王国的王子。
MID_BONDSRING_H_Alfonse01	隶属护国特务机关“纯白义勇队”，\n个性温和且老实的青年。
MID_BONDSRING_H_Alfonse02	意志坚定、百折不挠，\n一心寻求胜利。
MID_BONDSRING_H_Alfonse03	《Heroes》
MID_BONDSRING_Sharena	夏蓉
MID_BONDSRING_H_Sharena00	异界之国──亚斯克王国的公主。
MID_BONDSRING_H_Sharena01	隶属护国特务机关“纯白义勇队”，\n活泼开朗的少女。
MID_BONDSRING_H_Sharena02	天真烂漫、平易近人，\n希望能和异界英雄打成一片。
MID_BONDSRING_H_Sharena03	《Heroes》
MID_BONDSRING_Anna	安娜
MID_BONDSRING_H_Anna00	异界之国──亚斯克王国的战士。
MID_BONDSRING_H_Anna01	护国特务机关“纯白义勇队”的队长，\n经验老道的女子。
MID_BONDSRING_H_Anna02	善于照顾他人的可靠人物。\n但扯上金钱就会失去理智。
MID_BONDSRING_H_Anna03	《Heroes》
MID_BONDSRING_Lueur00	于战火中殒命，但借着“纹章奇迹”之力，\n以第十三位纹章士的身分重获新生。
MID_BONDSRING_Lueur01	运用“身为纹章士却拥有实体”\n这般稀有能力，挺身为和平而战。
MGID_Ring_Marth	英雄王戒指
MGID_H_Ring_Marth	人称“初始纹章士”的马尔斯所寄宿的戒指。\n为人高尚清廉，极具领袖魅力，是群雄之最。
MGID_Ring_Siglud	圣战骑士戒指
MGID_H_Ring_Siglud	人称“圣战纹章士”的西格尔特所寄宿的戒指。\n是继承圣战士血脉的廉洁骑士。
MGID_Ring_Celica	慈悲公主戒指
MGID_H_Ring_Celica	人称“声响纹章士”的赛莉卡所寄宿的戒指。\n是丰饶之国的公主，也是位神官战士。
MGID_Ring_Micaiah	拂晓巫女戒指
MGID_H_Ring_Micaiah	人称“拂晓纹章士”的米卡雅所寄宿的戒指。\n拥有治愈、预知等神秘力量。
MGID_Ring_Roy	幼狮戒指
MGID_H_Ring_Roy	人称“封印纹章士”的罗伊所寄宿的戒指。\n勇猛果敢、才智过人，是位有大将风范的勋爵。
MGID_Ring_Lin	草原女爵戒指
MGID_H_Ring_Lin	人称“烈火纹章士”的琳所寄宿的戒指。\n生于逐水草而居的游牧民族，是位武艺高超的剑士。
MGID_Ring_Ike	苍炎勇者戒指
MGID_H_Ring_Ike	人称“苍炎纹章士”的艾克所寄宿的戒指。\n著名的佣兵团团长，拥有超群的战斗技巧。
MGID_Ring_Lucina	圣公主戒指
MGID_H_Ring_Lucina	人称“觉醒纹章士”的露琪娜所寄宿的戒指。\n是位相信希望，不向绝望屈服的神圣公主。
MGID_Ring_Leaf	贤王戒指
MGID_H_Ring_Leaf	人称“系谱纹章士”的里弗所寄宿的戒指。\n继承了两位圣战士血脉，是位英勇的王子。
MGID_Ring_Kamui	选择未来之人戒指
MGID_H_Ring_Kamui	人称“选择纹章士”的神威所寄宿的戒指。\n继承神祖龙血脉，拥有百折不挠精神的王族。
MGID_Ring_Eirik	碧绿风空戒指
MGID_H_Ring_Eirik	人称“圣魔纹章士”的艾莉可所寄宿的戒指。\n为了和平而持剑奋战，是位心地善良公主。
MGID_Ring_Byleth	引领者戒指
MGID_H_Ring_Byleth	人称“风花纹章士”的贝雷特所寄宿的戒指。\n前身为佣兵的士官学校教师。
MGID_Ring_Lueur	编织者戒指
MGID_Ring_CharacterName	\x0E\x01\x00\x00的戒指
MGID_Ring_God_Category	\x0E\x01\x00\x00的牵绊戒指
MGID_Ring_Special_Category	特殊牵绊戒指
MID_BondsRing_RankS	阶级S
MID_BondsRing_RankA	阶级A
MID_BondsRing_RankB	阶级B
MID_BondsRing_RankC	阶级C
MGID_World_Marth	英雄王的世界
MGID_World_Siglud	圣战骑士的世界
MGID_World_Celica	慈悲公主的世界
MGID_World_Micaiah	拂晓巫女的世界
MGID_World_Roy	幼狮的世界
MGID_World_Lin	草原女爵的世界
MGID_World_Ike	苍炎勇者的世界
MGID_World_Lucina	圣公主的世界
MGID_World_Leaf	贤王的世界
MGID_World_Kamui	选择未来之人的世界
MGID_World_Eirik	碧绿风空的世界
MGID_World_Byleth	引领者的世界
MGID_World_Special	万象的世界
MGID_World_Lueur	编织者的世界
