MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x02\x06\x04エル\nDevant nous, une séparation millénaire...\nDe l'autre côté, un siècle de regrets...\x0E\x04\x02\x00
MID_ED1_#035	\x0E\x03\x02\x10\x0EE001_エル\nAu revoir, Emblème Tiki. Puissiez-vous faire\nde doux rêves...\x0E\x04\x00\x00
MID_ED1_#036	\x0E\x03\x02\x12\x10E001_敵チキ\nBonne nuit...\x0E\x04\x00\x00
MID_ED1_#037	\x0E\x03\x02\x10\x0EE001_エル\nTant que nous la gardons hors de portée de\nl'ennemi, elle pourra sommeiller en paix.\x0E\x04\x00\x00
MID_ED1_#038	\x0E\x03\x02\x0A\x08リュール\nJe vous remercie, Nel.\x0E\x04\x00\x00
MID_ED1_#039	\x0E\x03\x02\x10\x0EE001_エル\nNous mettons les Emblèmes en sommeil\nafin d'éviter que leur pouvoir ne serve\nde mauvaises fins.\x0E\x04\x02\x00
MID_ED1_#040	L'Emblème Tiki était ainsi endormi quand\nl'ennemi s'en est emparé. Et il était éveillé\nlorsque nous l'avons retrouvé...\x0E\x04\x02\x00
MID_ED1_#041	Notre ennemi possède donc le pouvoir de\nréveiller les Emblèmes.\x0E\x04\x00\x00
MID_ED1_#042	\x0E\x03\x02\x10\x0EE001_イル\nSeuls les Dragons divins et déchus possèdent\nun tel pouvoir...\x0E\x04\x02\x00
MID_ED1_#043	Plus aucun Dragon divin n'existe en ce monde,\nnotre ennemi est donc un Dragon déchu.\x0E\x04\x02\x00
MID_ED1_#044	En d'autres termes, il s'agit de l'un\nde nos semblables...\x0E\x04\x00\x00
MID_ED1_#045	\x0E\x03\x02\x0A\x08リュール\nSi tel est le cas, n'avez-vous pas la moindre\nidée de qui cela pourrait être ?\x0E\x04\x00\x00
MID_ED1_#046	\x0E\x03\x02\x10\x0EE001_イル\nNous avons d'innombrables frères et sœurs,\net nous ne les connaissons pas tous.\x0E\x04\x02\x00
MID_ED1_#047	Beaucoup d'entre eux ont péri lors de la récente\nguerre. Nous ignorons lesquels ont pu survivre.\x0E\x04\x00\x00
MID_ED1_#048	\x0E\x03\x02\x10\x0EE001_エル\nLe pouvoir de contrôler les Emblèmes est rare...\nSi nous avions croisé quelqu'un détenant un tel\ndon, nous nous en souviendrions.\x0E\x04\x02\x00
MID_ED1_#049	À moins qu'il ne s'agisse d'un dragon né après\nque nous nous soyons éloignés de Sombron...\nou ayant développé son pouvoir tardivement.\x0E\x04\x00\x00
MID_ED1_#050	\x0E\x03\x02\x10\x0EE001_イル\nLes pouvoirs draconiques sont imprévisibles.\nPour ma part, je ne peux ni me transformer\nni contrôler le moindre Emblème...\x0E\x04\x02\x00
MID_ED1_#051	Sombron me considérait comme un raté.\nEn demeurant à ses côtés, j'encourais\nune mort certaine.\x0E\x04\x00\x00
MID_ED1_#052	\x0E\x03\x02\x0A\x08リュール\nC'est terrible...\x0E\x04\x00\x00
MID_ED1_#053	\x0E\x03\x02\x10\x0EE001_イル\nJe ne dois ma survie qu'à Nel, qui m'emmena\navec elle lorsqu'elle décida de partir.\x0E\x04\x02\x00
MID_ED1_#054	Je ne peux me résoudre à l'idée que l'un de nos\nsemblables puisse se cacher derrière tout cela.\x0E\x04\x02\x00
MID_ED1_#055	Posséder un tel pouvoir, et choisir de l'utiliser\nà de mauvaises fins... Quel intolérable gâchis.\x0E\x04\x00\x00
MID_ED1_#056	\x0E\x03\x02\x0A\x08リュール\nNil...\x0E\x04\x00\x00
MID_ED1_#057	\x0E\x03\x02\x10\x0EE001_イル\nHa ha ! Pardonnez-moi. Ce n'était point\nmon intention de m'épancher de la sorte\ndevant vous.\x0E\x04\x00\x00
MID_ED1_#058	\x0E\x03\x02\x10\x0EE001_エル\nVotre Divinité. Notre objectif est de mettre\nun terme aux agissements du mystérieux\nlégataire de Sombron.\x0E\x04\x02\x00
MID_ED1_#059	Puisque nous combattons pour rendre les\nEmblèmes à leur sommeil, ces derniers\nne pourront point nous aider.\x0E\x04\x02\x00
MID_ED1_#060	Sachant cela, vous êtes libre de vous joindre\nà notre cause. Qu'en dites-vous ?\x0E\x04\x00\x00
MID_ED1_#061	\x0E\x03\x02\x0A\x08リュール\nBien sûr. Comptez sur moi.\x0E\x04\x00\x00
MID_ED1_#062	\x0E\x03\x02\x10\x0EE001_イル\nParfait ! C'est un vrai réconfort de vous savoir\nà nos côtés. N'est-ce pas, Nel ?\x0E\x04\x00\x00
MID_ED1_#063	\x0E\x03\x02\x10\x0EE001_エル\nAprès le combat dont j'ai été témoin, je ne peux\nqu'appuyer une telle décision.\x0E\x04\x02\x00
MID_ED1_#064	Toutefois, je ne vous cacherai pas que me\nbattre aux côtés d'un dragon que je considère\ncomme mort me rend quelque peu mal à l'aise.\x0E\x04\x00\x00
MID_ED1_#065	\x0E\x03\x02\x0A\x08リュール\nOh, alors comme ça, je vous mets mal à l'aise ?\x0E\x04\x00\x00
MID_ED1_#066	\x0E\x03\x02\x10\x0EE001_イル\nJe vous en prie, l'heure n'est point aux\nquerelles !\x0E\x04\x02\x00
MID_ED1_#067	Vous devriez plutôt vous serrer la main et\nsceller ainsi votre bonne entente, n'est-ce pas ?\x0E\x04\x00\x00
MID_ED1_#068	\x0E\x03\x02\x10\x0EE001_エル\nHors de question.\x0E\x04\x00\x00
MID_ED1_#069	\x0E\x03\x02\x0A\x08リュール\nJe refuse de faire le premier pas.\x0E\x04\x00\x00
MID_ED1_#070	\x0E\x03\x02\x10\x0EE001_イル\nTentez au moins de ne pas vous étriper...\x0E\x04\x00\x00
MID_ED1_#071	\x0E\x03\x02\x10\x0EE001_エル\nEn attendant, Nil, nous devrions faire\nnos adieux avant de quitter le château.\x0E\x04\x00\x00
MID_ED1_#072	\x0E\x03\x02\x10\x0EE001_イル\nOui, tu as raison.\x0E\x04\x00\x00
MID_ED1_#073	\x0E\x03\x02\x0A\x08リュール\nJ'ignorais qu'une autre personne résidait\ndans le château. S'agit-il de quelqu'un\nque je connais ?\x0E\x04\x00\x00
MID_ED1_#074	\x0E\x03\x02\x10\x0EE001_エル\nVous êtes libre de le découvrir par vous-même,\nmais la réponse risque fort de vous perturber.\x0E\x04\x00\x00
MID_ED1_#075	\x0E\x03\x02\x0A\x08リュール\nHm...\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE001_エル\x021\n\x0E\x03\x00\x14\x0EE001_イル\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x02\x0A\x08リュール\nCela ressemble à une sorte de monument...\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x10\x0EE001_エル\nC'est le lieu où repose le Dragon divin.\nVotre tombe.\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x10\x0EE001_エル\nJe vous avais prévenu\x0E\x0A\x00\x06
MID_ED2_#005	\x0E\x03\x02\x10\x0EE001_イル\nCela ne prendra qu'un moment, Votre Divinité.\nVous pouvez rentrer si vous le préférez.\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x0A\x08リュール\nSi cela ne vous dérange pas... Pourrais-je dire\nun mot, moi aussi ?\x0E\x04\x02\x00
MID_ED2_#007	J'aimerais m'adresser à mon autre moi,\nqui a vécu jadis à vos côtés.\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x02\x10\x0EE001_イル\nCela me semble parfaitement honorable.\x0E\x04\x00\x00
MID_ED2_#009	\x0E\x03\x02\x0A\x08リュール\nMe recueillir sur ma propre tombe... C'est\nune situation pour le moins singulière.\x0E\x04\x02\x00
MID_ED2_#010	Je comprends mieux le malaise dont parlait Nel.\x0E\x04\x00\x00
MID_ED2_#011	\x0E\x03\x02\x10\x0EE001_エル\n...\x0E\x04\x00\x00
MID_ED2_#012	\x0E\x03\x02\x0A\x08リュール\nJe remplirai mon rôle en protégeant de mon\nmieux ceux qui te sont chers, je le promets.\x0E\x04\x02\x00
MID_ED2_#013	Mon reflet... puisses-tu reposer en paix.\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x09\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04イル\x022\n\x0E\x03\x02\x06\x04イル\n...\x0E\x04\x02\x00
MID_ED3_#002	Pourquoi ne puis-je pas me transformer\nen dragon comme toi et Père ?\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x02\x06\x04エル\nNe t'inquiète pas. Tu y arriveras, un jour.\x0E\x04\x00\x00
MID_ED3_#004	\x0E\x03\x02\x06\x04イル\nJe suis un raté ! Je suis trop faible !\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x02\x06\x04エル\nC'est faux, Nil. Tu es fort. Tu seras capable\nde te transformer, toi aussi, j'en suis sûre.\x0E\x04\x00\x00
MID_ED3_#006	\x0E\x03\x02\x06\x04イル\nMais quand ?\x0E\x04\x00\x00
MID_ED3_#007	\x0E\x03\x02\x06\x04エル\nMême Père l'ignore, je le crains.\x0E\x04\x02\x00
MID_ED3_#008	En attendant, prends ceci.\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x0B\x00v
MID_ED3_#010	Mais sans elle, tu ne pourras pas te transformer.\x0E\x04\x00\x00
MID_ED3_#011	\x0E\x0B\x01>
MID_ED3_#012	Nous sommes deux moitiés inséparables, Nil.\nC'est notre pouvoir, partageons-le.\x0E\x04\x00\x00
MID_ED3_#013	\x0E\x03\x02\x06\x04イル\n...\x0E\x04\x02\x00
MID_ED3_#014	Notre... pouvoir...\x0E\x04\x00\x00
