MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06セピア\x021\x0E\x03\x02\x08\x06セピア\nSur un champ de bataille loin de ce qui vous est\nfamilier, saurez-vous prouver votre bravoure ?\x0E\x04\x02\x00
MID_BT7_#002	\x0E\x05\x01\x1C\x12E002_Boss\x06Sad\nQuel dommage...\x0E\x04\x00\x00
MID_BT7_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x14\x08リュール\x08Pain\n\x0E\x03\x02\x0A\x08リュール\nAlfred, je vous en prie. Écoutez-moi.\nNous pouvons arrêter tout cela...\x0E\x04\x00\x00
MID_BT7_#004	\x0E\x05\x01\x1C\x12E002_Boss\x06Sad\n\x0E\x03\x02\x14\x12E002_Boss\nCes paroles ne sont point les vôtres, je le sais.\nMais ne vous en faites pas, Votre Divinité.\nJe vais vous aider...\x0E\x04\x02\x00
MID_BT7_#005	\x0E\x05\x01 \x12E002_Boss\nAngry\nUne fois votre enveloppe corporelle annihilée,\npersonne ne pourra plus abuser de vous.\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01&\x12E002_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E002_Boss\nBoucheron ?! Tu es une Aberration, toi aussi ?!\x0E\x04\x02\x00
MID_BT8_#002	\x0E\x05\x01\x1E\x12E002_Boss\x08Pain\nJ'espérais te retrouver sur le champ de bataille,\nmais pas dans cet état...\x0E\x04\x00\x00
MID_BT8_#003	\x0E\x03\x00\x10\nブシュロン\x02t\n\x0E\x05\x01\x14\nブシュロン\x06Sad\n\x0E\x03\x02\x0C\nブシュロン\nPrince Alfred... Vous voulez dire que,\ndans ce monde, je...\x0E\x04\x00\x00
MID_BT8_#004	\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\nTu as donné ta vie pour me protéger, et on me\ncontraint à t'occire ? Nel, Nil, soyez maudits !\x0E\x04\x02\x00
MID_BT8_#005	Même sous cette forme d'Aberration, j'espère\nque tu saisiras mes paroles, mon ami.\x0E\x04\x00\x00
MID_BT8_#006	\x0E\x03\x02\x0C\nブシュロン\nVos paroles apaiseraient certainement\nle moi de ce monde...\x0E\x04\x00\x00
MID_BT9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01\x1E\x12E002_Boss\x08Pain\n\x0E\x03\x02\x14\x12E002_Boss\nEtie ? D'abord le Dragon divin, maintenant toi.\nPourquoi le destin s'acharne-t-il contre tous\nceux qui m'étaient proches ?\x0E\x04\x02\x00
MID_BT9_#002	\x0E\x05\x01\x1C\x12E002_Boss\x06Sad\nLa seule vision des fleurs de deuil laissées\nen ta mémoire m'était trop douloureuse...\x0E\x04\x00\x00
MID_BT9_#003	\x0E\x03\x00\x10\nエーティエ\x02t\n\x0E\x05\x01\x14\nエーティエ\x06Sad\n\x0E\x03\x02\x0C\nエーティエ\nJe suis désolée. En tant que vassale, j'aurais\ndû être là pour vous protéger jusqu'à la fin.\x0E\x04\x02\x00
MID_BT9_#004	\x0E\x05\x01\x18\nエーティエ\nAngry\nJe comprends que ma présence vous indispose.\nMettons un terme à ce combat, et je vous\nlaisserai en paix.\x0E\x04\x00\x00
MID_BT9_#005	\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\nEtie, ma loyale et valeureuse vassale...\nJe t'accorderai le repos que tu mérites.\x0E\x04\x00\x00
MID_BT10_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x02t\n\x0E\x05\x01\x16\x08セリーヌ\nAngry\n\x0E\x03\x02\x0A\x08セリーヌ\nEnvahir Brodia... C'est l'idée la plus stupide\nque j'aie jamais eue. Ouvre les yeux, Céline !\x0E\x04\x00\x00
MID_BT10_#002	\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01&\x12E002_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E002_Hide\nQue veux-tu dire ? Tu prétends être... moi ?!\nEst-ce là une nouvelle machination du\nDragon déchu ?\x0E\x04\x02\x00
MID_BT10_#003	\x0E\x05\x01 \x12E002_Hide\nAngry\nTes suppliques sont vaines. Pour le bien de\nmon peuple, tu vas t'évaporer telle la rosée\ndu matin !\x0E\x04\x00\x00
MID_BT10_#004	\x0E\x03\x02\x0A\x08セリーヌ\nLa seule chose qui va s'évaporer, ce sont\ntes ambitions. C'est l'heure d'un petit\nexamen de conscience...\x0E\x04\x02\x00
MID_BT10_#005	La paix ne peut s'obtenir par la barbarie.\x0E\x04\x00\x00
MID_BT11_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01"\x12E002_Hide\x0CStrike\n\x0E\x03\x02\x14\x12E002_Hide\nIls se sont même abaissés à créer une\nAberration ayant les traits d'Alfred ?!\x0E\x04\x00\x00
MID_BT12_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01 \x12E002_Hide\nAngry\n\x0E\x03\x02\x14\x12E002_Hide\nJe n'aurai aucune pitié envers les Aberrations.\nPas même vous, Votre Divinité. Je dois avouer\nqu'en réalité... j'ai hâte de vous affronter.\x0E\x04\x00\x00
MID_BT12_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nQue voulez-vous dire ?\x0E\x04\x00\x00
MID_BT12_#003	\x0E\x05\x01\x1C\x12E002_Hide\x06Die\n\x0E\x03\x02\x14\x12E002_Hide\nUn combat à mort entre alliés est une chose\nimpensable... regrettablement.\x0E\x04\x02\x00
MID_BT12_#004	\x0E\x05\x01 \x12E002_Hide\nSmile\nJe me réjouis de pouvoir enfin satisfaire ma\ncuriosité... Une fleur magnifique telle que vous\nse fanera-t-elle facilement ?\x0E\x04\x00\x00
MID_BT13_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01"\x12E002_Hide\x0CStatus\n\x0E\x03\x02\x14\x12E002_Hide\nMe retrouver face à mon ancien vassal est\nune terrible épreuve. C'est comme si on t'avait\nrendu la vie...\x0E\x04\x00\x00
MID_BT13_#002	\x0E\x03\x00\x0A\x04ルイ\x02t\n\x0E\x05\x01\x0E\x04ルイ\x06Sad\n\x0E\x03\x02\x06\x04ルイ\nJ'avais espéré me tenir à distance, mais le cours\nde la bataille en a décidé autrement.\x0E\x04\x00\x00
MID_BT13_#003	\x0E\x05\x01\x1C\x12E002_Hide\x06Sad\n\x0E\x03\x02\x14\x12E002_Hide\nTe rappelles-tu du thé que tu préparais jadis\npour moi ? Je n'ai pas pu en boire depuis\nta mort.\x0E\x04\x02\x00
MID_BT13_#004	La joie que je ressentais alors est un lointain\nsouvenir... Acceptes-tu de me le faire revivre\navant de retourner dormir pour l'éternité ?\x0E\x04\x00\x00
MID_BT13_#005	\x0E\x03\x02\x06\x04ルイ\nJ'aimerais pouvoir accéder à votre requête...\nmais cette décision ne m'appartient pas,\nPrincesse Céline...\x0E\x04\x00\x00
MID_BT14_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01&\x12E002_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E002_Hide\nChloé, c'est bien toi ? As-tu découvert quelque\nchose lors de ta mission de reconnaissance ?\x0E\x04\x00\x00
MID_BT14_#002	\x0E\x05\x01&\x12E002_Hide\x10Surprise\n\x0E\x03\x00\x0C\x06クロエ\x02t\n\x0E\x05\x01\x10\x06クロエ\x06Sad\n\x0E\x03\x02\x08\x06クロエ\nMa mission de reconnaissance...\nDe quoi parlez-vous, Madame ?\x0E\x04\x00\x00
MID_BT14_#003	\x0E\x05\x01$\x12E002_Hide\x0ESerious\n\x0E\x03\x02\x14\x12E002_Hide\nJe vois... Ton égarement confirme mes craintes.\nTu es une Aberration, tu n'es plus de ce monde.\x0E\x04\x02\x00
MID_BT14_#004	\x0E\x05\x01\x1A\x06クロエ\x10Surprise\nChloé n'est jamais rentrée de sa mission.\nJe gardais le vain espoir de la revoir en vie...\x0E\x04\x02\x00
MID_BT14_#005	\x0E\x05\x01\x10\x06クロエ\x06Sad\n\x0E\x05\x01$\x12E002_Hide\x0EStandBy\nDécouvrir ta mort par le biais de l'engeance\ndu Dragon déchu est d'autant plus cruel...\x0E\x04\x00\x00
MID_BT14_#006	\x0E\x03\x02\x08\x06クロエ\nPrincesse Céline, je suis désolée...\nPeut-être qu'un jour...\x0E\x04\x02\x00
MID_BT14_#007	\x0E\x05\x01\x18\x06クロエ\x0ESerious\nNon, vous mentir n'a aucun sens. Mieux vaut\npour vous affronter la réalité.\x0E\x04\x00\x00
MID_BT15_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01\x1E\x12E002_Hide\x08Pain\n\x0E\x03\x02\x14\x12E002_Hide\nEtie... Je me doutais que je te reverrais toi aussi.\x0E\x04\x00\x00
MID_BT15_#002	\x0E\x03\x00\x10\nエーティエ\x02t\n\x0E\x05\x01\x14\nエーティエ\x06Sad\n\x0E\x03\x02\x0C\nエーティエ\nPour être honnête, je me serais bien passée\nde cette rencontre.\x0E\x04\x00\x00
MID_BT15_#003	\x0E\x03\x02\x14\x12E002_Hide\nPas autant que moi, crois-moi. Me voir obligée\nde te tuer de la sorte, ma chère amie...\x0E\x04\x02\x00
MID_BT15_#004	\x0E\x05\x01\x1C\x12E002_Hide\x06Sad\nJ'aimerais vraiment pouvoir savourer une\ndernière tasse de thé en ta compagnie...\nFinissons-en, avant que mon humeur ne change.\x0E\x04\x00\x00
MID_BT15_#005	\x0E\x05\x01\x1C\nエーティエ\x0EStandBy\n\x0E\x03\x02\x0C\nエーティエ\nOui... À ce rythme-là, je risque d'oublier que\nvous n'êtes pas la princesse que je connais.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE002_エル\x022\n\x0E\x03\x00\x1A\x14E002_敵ヘクトル\x023\n\x0E\x06\x00.\x14E002_敵ヘクトル\x16MPID_Hector\n\x0E\x03\x02\x0A\x08リュール\nLe voici. Le Bracelet du Général Impétueux.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x10\x0EE002_エル\nIl abrite l'Emblème Hector. Ce meneur\nvaleureux incarne l'esprit combatif de Firene.\x0E\x04\x02\x00
MID_ED1_#003	C'était jadis un héros brave et plein de\nprestance. Comme l'a mentionné Zelestia,\nil est depuis déchu.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x0A\x08リュール\nSi seulement je pouvais l'invoquer à nouveau...\nLui offrir une autre chance...\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x10\x0EE002_エル\nIl n'y a aucun regret à avoir. Je vais lui\naccorder le repos qu'il mérite de retrouver.\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0A\x08リュール\nPuissiez-vous reposer sereinement,\nEmblème Hector.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x16\x14E002_敵ヘクトル\nMerci...\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x10\x0EE002_エル\nCet Emblème peut donc parler...\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x16\x14E002_敵ヘクトル\nPour autant que quitter la bataille m'attriste,\nj'embrasserai volontiers ce repos.\x0E\x04\x02\x00
MID_ED1_#010	J'espère que nous aurons une autre opportunité\nde nous battre côte à côte... un jour...\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x0A\x08リュール\nJ'en ai la conviction.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x00\x18\x12E002_Boss\x024\n\x0E\x03\x02\x14\x12E002_Boss\nVous avez ainsi rendu son sommeil\nà notre général...\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nVotre Majesté Alfred. Je vous en conjure,\nabandonnez vos projets d'invasion.\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x14\x12E002_Boss\nSans le bracelet, je n'ai guère d'autre recours.\x0E\x04\x02\x00
MID_ED1_#015	Alors... Nil disait vrai ? Vous venez réellement\nd'un autre monde ?\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x0A\x08リュール\nOui, c'est exact.\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x02\x14\x12E002_Boss\nCe n'est pas si insensé. Notre Dragon divin\nn'aurait jamais usé de la force pour prendre\nnotre bracelet.\x0E\x04\x02\x00
MID_ED1_#018	Vous auriez pris notre défense... ou au moins\nfait preuve de bienveillance à notre égard.\x0E\x04\x02\x00
MID_ED1_#019	Vous ne pouvez pas être la même personne.\x0E\x04\x00\x00
MID_ED1_#020	\x0E\x03\x00\x18\x12E002_Hide\x023\n\x0E\x03\x02\x14\x12E002_Hide\nAlfred...\x0E\x04\x00\x00
MID_ED1_#021	\x0E\x03\x02\x14\x12E002_Boss\nToutefois, je ne suis point mécontent d'avoir\nfait votre connaissance.\x0E\x04\x02\x00
MID_ED1_#022	Même si vous venez d'un autre monde,\nvous avez l'âme du Dragon divin.\x0E\x04\x02\x00
MID_ED1_#023	Veuillez pardonner notre méprise. Nous\npensions vraiment que vous étiez l'une\nde ces Aberrations.\x0E\x04\x00\x00
MID_ED1_#024	\x0E\x03\x02\x14\x12E002_Hide\nPour ma part, je dois des excuses à Nel et à Nil.\x0E\x04\x02\x00
MID_ED1_#025	Mes propos au sujet de vos liens avec Sombron\nétaient blessants. Personne ne peut vous tenir\npour responsables de ses méfaits.\x0E\x04\x02\x00
MID_ED1_#026	Je vous prie de me pardonner pour avoir parlé\nde la sorte.\x0E\x04\x00\x00
MID_ED1_#027	\x0E\x03\x02\x10\x0EE002_エル\nNous acceptons vos excuses.\x0E\x04\x00\x00
MID_ED1_#028	\x0E\x03\x00\x14\x0EE002_イル\x023\n\x0E\x03\x02\x10\x0EE002_イル\nC'est compréhensible. La perte du Dragon divin\na été une tragédie pour nous tous.\x0E\x04\x00\x00
MID_ED1_#029	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_ED1_#030	\x0E\x03\x02\x14\x12E002_Boss\nÉcoutez, que diriez-vous si nous venions\navec vous ?\x0E\x04\x02\x00
MID_ED1_#031	Nous pourrions certainement vous être utiles\npour récupérer les autres bracelets.\x0E\x04\x00\x00
MID_ED1_#032	\x0E\x03\x00\x18\x12E002_Hide\x023\n\x0E\x03\x02\x14\x12E002_Hide\nC'est une excellente idée ! L'escouade\nde chevaliers que j'ai rassemblée\npourrait nous escorter.\x0E\x04\x00\x00
MID_ED1_#033	\x0E\x03\x02\x0A\x08リュール\nAbsolument. Ce serait un grand réconfort\nde vous avoir à nos côtés.\x0E\x04\x00\x00
MID_ED1_#034	\x0E\x03\x02\x10\x0EE002_エル\nJe crains que ce ne soit impossible.\x0E\x04\x00\x00
MID_ED1_#035	\x0E\x03\x02\x0A\x08リュール\nOh... Pourquoi cela ?\x0E\x04\x00\x00
MID_ED1_#036	\x0E\x03\x02\x10\x0EE002_エル\nC'est hors de question. Je regrette, mais cette\ndécision ne vous appartient pas, Votre Divinité.\x0E\x04\x02\x00
MID_ED1_#037	Nous avons certes invoqué votre aide, mais\nvous ne commandez pas pour autant\nnotre armée.\x0E\x04\x02\x00
MID_ED1_#038	L'autorité dont vous pouviez bénéficier dans\nvotre monde ne s'applique point ici.\x0E\x04\x00\x00
MID_ED1_#039	\x0E\x03\x02\x0A\x08リュール\nD'accord... Je comprends.\x0E\x04\x00\x00
MID_ED1_#040	\x0E\x03\x00\x14\x0EE002_イル\x023\n\x0E\x03\x02\x10\x0EE002_イル\nVeuillez pardonner notre refus, Votre Divinité.\nNel peut sembler sévère, mais elle a raison.\x0E\x04\x02\x00
MID_ED1_#041	Je m'oppose également à ce que les Firéniens\nse joignent à nous.\x0E\x04\x00\x00
MID_ED1_#042	\x0E\x03\x02\x14\x12E002_Boss\nQue puis-je dire ? Dois-je donc vous implorer ?\x0E\x04\x02\x00
MID_ED1_#043	J'espérais réparer le tort que nous vous avons\ncausé en vous traitant de la sorte.\x0E\x04\x02\x00
MID_ED1_#044	J'offrais juste notre protection en guise\nd'amende.\x0E\x04\x00\x00
MID_ED1_#045	\x0E\x03\x02\x10\x0EE002_エル\nLe champ de bataille ne sied point\nà un souverain.\x0E\x04\x02\x00
MID_ED1_#046	Votre peuple a besoin de vous.\x0E\x04\x00\x00
MID_ED1_#047	\x0E\x03\x02\x10\x0EE002_イル\nDe plus, imaginez un instant ce qu'il adviendrait\nsi vous veniez à disparaître...\x0E\x04\x02\x00
MID_ED1_#048	Firene se retrouverait alors sans monarque,\nmais aussi sans héritier.\x0E\x04\x00\x00
MID_ED1_#049	\x0E\x03\x02\x14\x12E002_Boss\nPermettez au moins que Céline et\nses chevaliers vous accompagnent.\x0E\x04\x00\x00
MID_ED1_#050	\x0E\x03\x02\x10\x0EE002_エル\nLa sœur du roi est tout aussi indispensable\nau royaume. Et vos chevaliers doivent\nassurer la défense du château.\x0E\x04\x02\x00
MID_ED1_#051	Si vous souhaitez vraiment nous assister, nous\nvous prions de penser à votre propre sécurité.\x0E\x04\x00\x00
MID_ED1_#052	\x0E\x03\x02\x14\x12E002_Boss\nQu'il en soit ainsi.\x0E\x04\x00\x00
MID_ED1_#053	\x0E\x03\x00\x18\x12E002_Hide\x024\n\x0E\x03\x02\x14\x12E002_Hide\nSi telle est votre décision, nous l'acceptons.\nNe devrions-nous pas garder le bracelet ici,\nen Firene ?\x0E\x04\x00\x00
MID_ED1_#054	\x0E\x03\x02\x10\x0EE002_エル\nDans quel dessein ?\x0E\x04\x00\x00
MID_ED1_#055	\x0E\x03\x02\x14\x12E002_Hide\nCroyez-nous, nous n'avons aucune intention de\nl'utiliser à de mauvaises fins. Nous ne sommes\nmême pas capables de réveiller les Emblèmes...\x0E\x04\x02\x00
MID_ED1_#056	Mais si l'ennemi cherche à obtenir les bracelets,\nne vaudrait-il pas mieux les conserver dans\ndes endroits distincts ?\x0E\x04\x00\x00
MID_ED1_#057	\x0E\x03\x02\x10\x0EE002_エル\nAussi sensé que cela puisse paraître, n'oublions\npas que notre ennemi a le pouvoir de réveiller\nles Emblèmes.\x0E\x04\x02\x00
MID_ED1_#058	Par conséquent, il peut tout aussi bien\ns'emparer des Emblèmes en sommeil.\x0E\x04\x02\x00
MID_ED1_#059	Si une telle chose advenait, qui sait quels dégâts\nle Général Impétueux pourrait causer...\x0E\x04\x00\x00
MID_ED1_#060	\x0E\x03\x02\x14\x12E002_Hide\nHm...\x0E\x04\x00\x00
MID_ED1_#061	\x0E\x03\x00\x18\x12E002_Boss\x024\n\x0E\x03\x02\x14\x12E002_Boss\nVous avez raison. Mieux vaut que les Emblèmes\nrestent entre vos mains, étant donné que vous\navez la capacité de les remettre en sommeil.\x0E\x04\x00\x00
MID_ED1_#062	\x0E\x03\x02\x10\x0EE002_エル\nNous vous remercions pour votre\ncompréhension.\x0E\x04\x00\x00
MID_ED1_#063	\x0E\x03\x02\x14\x12E002_Boss\nBien, la discussion est close. Nous demeurerons\nen Firene, et nous vous laisserons le bracelet.\x0E\x04\x02\x00
MID_ED1_#064	Je me désole de m'en séparer, mais j'ai la\nconviction qu'il sera entre de bonnes mains.\x0E\x04\x02\x00
MID_ED1_#065	Une dernière chose... Votre Divinité ?\x0E\x04\x00\x00
MID_ED1_#066	\x0E\x03\x02\x0A\x08リュール\nOui ?\x0E\x04\x00\x00
MID_ED1_#067	\x0E\x03\x02\x14\x12E002_Boss\nJe suis navré de devoir vous faire\nune nouvelle fois mes adieux.\x0E\x04\x02\x00
MID_ED1_#068	Mais je me réjouis d'avoir pu vous retrouver.\nVotre perte... Cela m'a... dévasté.\x0E\x04\x00\x00
MID_ED1_#069	\x0E\x03\x02\x0A\x08リュール\nAlfred...\x0E\x04\x02\x00
MID_ED1_#070	Comme vous l'a expliqué Nil, je ne suis pas\nle Dragon divin que vous avez connu...\x0E\x04\x00\x00
MID_ED1_#071	\x0E\x03\x02\x14\x12E002_Boss\nOh, bien sûr. Pardonnez-moi.\x0E\x04\x02\x00
MID_ED1_#072	J'ai accédé au trône il y a peu, et mes\nresponsabilités de souverain se sont\ndéjà avérées éprouvantes.\x0E\x04\x02\x00
MID_ED1_#073	Je dois me ressaisir pour le bien de mon peuple,\net pour me préserver des fausses rumeurs.\x0E\x04\x00\x00
MID_ED1_#074	\x0E\x03\x00\x18\x12E002_Hide\x024\n\x0E\x03\x02\x14\x12E002_Hide\nNe t'en fais pas, Alfred, je suis là pour t'épauler.\nEn attendant, nous devrions aller nous reposer,\ntu ne crois pas ?\x0E\x04\x02\x00
MID_ED1_#075	Je vais devoir également songer à une méthode\nautre que la guerre pour relancer l'économie\nde Firene...\x0E\x04\x02\x00
MID_ED1_#076	Bien... Une fois votre mission accomplie,\nn'hésitez pas à nous rendre visite !\x0E\x04\x00\x00
MID_ED1_#077	\x0E\x03\x00\x18\x12E002_Boss\x024\n\x0E\x03\x02\x14\x12E002_Boss\nQue la fortune vous accompagne.\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE002_エル\x022\n\x0E\x03\x00\x14\x0EE002_イル\x023\n\x0E\x03\x00\x1C\x16E002_セレスティア\x024\n\x0E\x03\x02\x0A\x08リュール\nEst-ce qu'Alfred allait bien ? Il se comportait\nde manière pour le moins étrange...\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x10\x0EE002_イル\nIl était sans doute simplement troublé. Ma sœur\ndécontenance ainsi ses interlocuteurs quand\nelle s'irrite.\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x10\x0EE002_エル\nJe n'étais en rien irritée.\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x0A\x08リュール\nNil n'a pas tout à fait tort. Vos paroles semblent\nparfois remplies d'amertume.\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x10\x0EE002_エル\nJ'ai juste décliné de principe leur offre de se\njoindre à nous. Et ce n'était point votre place\nde leur offrir une telle invitation.\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x0A\x08リュール\nJe crois avoir déjà présenté mes excuses\nà ce propos, n'est-ce pas ?\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x18\x16E002_セレスティア\nMessire Nil... Que se passe-t-il\nentre ces deux-là ?\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x02\x10\x0EE002_イル\nDepuis le début, leurs positions semblent\ninconciliables. Cela devient problématique...\x0E\x04\x02\x00
MID_ED2_#009	Si seulement je parvenais à les faire s'entendre.\x0E\x04\x00\x00
MID_ED2_#010	\x0E\x03\x02\x18\x16E002_セレスティア\nIl est sans doute difficile d'accepter que ce\nDragon divin soit une tout autre personne.\nC'est en effet déconcertant.\x0E\x04\x02\x00
MID_ED2_#011	Par le passé, Dame Nel a pu se montrer si...\x0E\x04\x00\x00
MID_ED2_#012	\x0E\x03\x02\x10\x0EE002_エル\nJe vous entends parfaitement, vous savez.\x0E\x04\x00\x00
MID_ED2_#013	\x0E\x03\x02\x18\x16E002_セレスティア\nOh... Je vous prie de m'excuser.\x0E\x04\x00\x00
MID_ED2_#014	\x0E\x03\x02\x0A\x08リュール\nAu moins, nous n'avons pas trouvé\nd'assassins sur notre route, cette fois.\x0E\x04\x02\x00
MID_ED2_#015	Je n'aurais pas eu la force de livrer un autre\ncombat. Affronter Alfred et Céline était déjà\nune épreuve difficile.\x0E\x04\x00\x00
MID_ED2_#016	\x0E\x03\x02\x10\x0EE002_イル\nCela ne veut pas dire que nous ne les\nrencontrerons pas de nouveau. Nous\ndevons rester sur nos gardes.\x0E\x04\x00\x00
MID_ED2_#017	\x0E\x03\x02\x0A\x08リュール\nCroyez-vous que nous pourrions avoir affaire\nà des jumeaux ?\x0E\x04\x00\x00
MID_ED2_#018	\x0E\x03\x02\x10\x0EE002_イル\nQue voulez-vous dire ?\x0E\x04\x00\x00
MID_ED2_#019	\x0E\x03\x02\x0A\x08リュール\nLorsque nous étions à Lythos, Nel a mentionné\nque les Dragons déchus naissent tous avec\nleur jumeau.\x0E\x04\x02\x00
MID_ED2_#020	Cela m'est revenu à l'esprit, rien de plus.\x0E\x04\x00\x00
MID_ED2_#021	\x0E\x03\x02\x10\x0EE002_エル\nCette possibilité n'est pas à exclure.\x0E\x04\x02\x00
MID_ED2_#022	Cela dit, la plupart des Dragons déchus perdent\nleur jumeau en arrivant à l'âge adulte.\x0E\x04\x02\x00
MID_ED2_#023	Je doute donc que ce soit le cas ici.\x0E\x04\x00\x00
MID_ED2_#024	\x0E\x03\x02\x0A\x08リュール\nVous avez bien dit qu'ils... « perdaient\nleur jumeau » ?\x0E\x04\x00\x00
MID_ED2_#025	\x0E\x03\x02\x18\x16E002_セレスティア\nC'est la première fois que j'entends parler\nde cela.\x0E\x04\x02\x00
MID_ED2_#026	Dame Nel, Messire Nil, vous êtes pourtant\ntoujours ensemble...\x0E\x04\x00\x00
MID_ED2_#027	\x0E\x03\x02\x10\x0EE002_イル\nEn effet, c'est une véritable bénédiction.\x0E\x04\x00\x00
MID_ED2_#028	\x0E\x03\x02\x18\x16E002_セレスティア\nJe me réjouis que vous n'ayez pas eu à\naffronter la perte de l'autre. La douleur\ncausée par un tel drame doit être indicible...\x0E\x04\x00\x00
MID_ED2_#029	\x0E\x03\x02\x10\x0EE002_イル\nJ'apprécie votre sympathie à notre égard.\x0E\x04\x00\x00
MID_ED2_#030	\x0E\x03\x02\x10\x0EE002_エル\nPour l'heure, il est inutile de nous perdre en\nconjectures. Nous devons sans délai récupérer\nle bracelet de Brodia.\x0E\x04\x00\x00
MID_ED2_#031	\x0E\x03\x02\x0A\x08リュール\nBrodia... Je me demande à quoi peut bien\nressembler ce royaume dans votre monde.\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x09\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04イル\x022\n\x0E\x03\x02\x06\x04エル\nNous perdons davantage de nos semblables\nchaque jour.\x0E\x04\x02\x00
MID_ED3_#002	Les jumeaux tels que nous deviennent de plus\nen plus rares.\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x02\x06\x04イル\nJ'en entends maintenant certains proférer des\nmenaces de mort les uns envers les autres.\x0E\x04\x02\x00
MID_ED3_#004	Ils disent que les faibles doivent disparaître...\nque les jumeaux doivent se battre à mort...\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x02\x06\x04エル\nC'est insensé.\x0E\x04\x00\x00
MID_ED3_#006	\x0E\x03\x02\x06\x04イル\nIl va m'arriver quelque chose, à moi aussi.\nJ'en suis sûr.\x0E\x04\x02\x00
MID_ED3_#007	Un raté comme moi est une cible\ntoute désignée.\x0E\x04\x00\x00
MID_ED3_#008	\x0E\x03\x02\x06\x04エル\nNe dis pas cela.\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x02\x06\x04イル\nC'est pourtant vrai.\x0E\x04\x02\x00
MID_ED3_#010	Certains de ceux qui ont péri étaient plus forts\nque moi, et ils avaient une bien plus grande\nutilité aux yeux de Père.\x0E\x04\x02\x00
