MID_MENU_YES	OK
MID_MENU_REFINE_SHOP_EXCHANGE_YES	Échanger
MID_MENU_FLEA_MARKET	Brocante
MID_MENU_FLEA_MARKET_NOUNIT	Il n'y a aucun gérant ici, mais vous\npouvez faire des achats.
MID_MENU_FORTUNE_TELLING_TITLE	Prédictions
MID_MENU_FORTUNE_TELLING_HELP	Choisissez à qui lire l'avenir.
MID_MENU_FORTUNE_TELLING_RESULT0	Préoccupation
MID_MENU_FORTUNE_TELLING_RESULT1	Pense à :
MID_MENU_PROFILE_CARD	Carte de profil
MID_MENU_PROFILE_CARD_HELP	Voir votre carte et celles\nd'autres joueurs en ligne.
MID_RINGLIST_SKILLLIST_TITLE	Effets de lien
MID_RINGLIST_BONDSRING_NAME	Anneau de lien
MID_RINGLIST_BONDSRING_NAME_MULTIPLE	Anneaux de lien
MID_RINGLIST_BONDSRINGLIST_TITLE	Effets des anneaux de lien
MID_MAINMENU_START	Nouveau jeu
MID_MAINMENU_CONTINUE	Continuer
MID_MAINMENU_OPTION	Options
MID_MAINMENU_SAVEDATA_COPY	Copier
MID_MAINMENU_SAVEDATA_DELETE	Effacer
MID_MAINMENU_LANGUAGE_SETTING	Modifier la langue
MID_MAINMENU_LANGUAGE_SETTING_HELP	Modifier les langues utilisées en jeu.
MID_MAINMENU_LANGUAGE_MESS	Texte
MID_MAINMENU_LANGUAGE_VOICE	Voix
MID_MAINMENU_LANGUAGE_CONFIRM	Changer de langue ?
MID_MAINMENU_LANGUAGE_CONFIRM_YES	Changer
MID_MAINMENU_PRIVILEFE_LABEL	© Nintendo / INTELLIGENT SYSTEMS
MID_MAINMENU_GAME_VERSION	Ver. \x0E\x01\x00\x00
MID_GAMESTART_PRESS_ANY_BUTTON	Appuyez sur un bouton
MID_GAMESTART_MODE_TITLE	Mode
MID_GAMESTART_PLAYER_NAME_TITLE	Nom
MID_GAMESTART_PLAYER_BIRTHDAY_TITLE	Anniversaire
MID_GAMESTART_DIFFICULTY_TITLE	Difficulté
MID_GAMESTART_GROWMODE_TITLE	Progression
MID_GAMESTART_NETWORK_SERVICE_TITLE	Réseau
MID_GAMESTART_DIFFICULTY_SELECT_TITLE	Difficulté
MID_GAMESTART_DIFFICULTY_SELECT_HELP	Choisissez un niveau de difficulté.
MID_GAMESTART_MODE_SELECT_TITLE	Mode
MID_GAMESTART_MODE_SELECT_HELP	Choisissez un mode.
MID_GAMESTART_GROWMODE_SELECT_TITLE	Prog. carac.
MID_GAMESTART_GROWMODE_SELECT_HELP	Choisissez le type de progression.
MID_GAMESTART_GROEMODE_LOCKED_BY_LUNATIC	Vous devez terminer le jeu en mode expert\navant de pouvoir choisir Aléatoire\ncomme type de progression pour vos unités\ndans ce mode.
MID_GAMESTART_NETWORK_SERVICE_ON	En ligne
MID_GAMESTART_NETWORK_SERVICE_OFF	Hors ligne
MID_GAMESTART_PLAYER_GENDER_SELECT_TITLE	Apparence
MID_GAMESTART_PLAYER_GENDER_SELECT_HELP	Choisissez une forme.
MID_GAMESTART_PLAYER_NAME_INPUT	Saisissez votre nom.
MID_GAMESTART_PLAYER_NAME_CHECK	Ce nom vous convient-il ? (Les caractères\nne pouvant pas être affichés apparaîtront\nsous forme de \x0E\x01\x00\x00.)
MID_GAMESTART_PLAYER_NAME_CHECK_YES	Oui
MID_GAMESTART_PLAYER_NAME_CHECK_NO	Non
MID_GAMESTART_PLAYER_BIRTHDAY_INPUT_TITLE	Anniversaire
MID_GAMESTART_PLAYER_BIRTHDAY_INPUT_HELP	Saisissez votre date d'anniversaire.
MID_GAMESTART_PLAYER_BIRTHDAY_INPUT_MONTH	Mois
MID_GAMESTART_PLAYER_BIRTHDAY_INPUT_DAY	Jour
MID_GAMESTART_PLAYER_BIRTHDAY_INPUT_MONTH_DAY	\x0E\x01\x01\x00/\x0E\x01\x00\x00
MID_GAMESTART_NETWORK_SERVICE_SELECT_TITLE	Configurer le réseau
MID_GAMESTART_NETWORK_SERVICE_SELECT_HELP	Configurez le jeu en ligne.
MID_GAMESTART_CONFIRM_FINAL	Commencer la partie ?
MID_GAMESTART_CONFIRM_FINAL_OK	Commencer
