MID_TUT_CATEGORY_TITLE_Battle	Batailles
MID_TUT_GOD_LEAF_1	La technique d'engagement Bouclier d'arme\nréduit les dégâts subis par une unité si elle a\nl'avantage d'arme.
MID_TUT_GOD_LEAF_2	L'arme de fusion Hache létale porte\nfréquemment des coups critiques.
MID_TUT_GOD_LEAF_3	La technique de fusion Adaptation permet à\nl'unité de s'équiper automatiquement de l'arme\nla plus efficace en cas d'attaque.
MID_TUT_GOD_LEAF_4	L'attaque de fusion Quadruple coup frappe avec\nune épée, une lance, une hache puis un arc,\naugmentant les chances de briser la garde.
MID_TUT_GOD_LIN_TITLE	Emblème Lyn
MID_TUT_GOD_LIN_0	L'Emblème Lyn excelle dans l'art de combattre\nsans donner à ses adversaires la chance\nde contre-attaquer.
MID_TUT_GOD_LIN_1	La technique d'engagement Alacrité permet\naux unités rapides d'enchaîner les attaques\navant que l'ennemi ne puisse contre-attaquer.
MID_TUT_GOD_LIN_2	L'arme de fusion Arc létal porte\nfréquemment des coups critiques.
MID_TUT_GOD_LIN_3	La technique de fusion Double recours crée des\ndoubles spectraux de l'unité pouvant participer\naux attaques enchaînées.
MID_TUT_GOD_LIN_4	L'attaque de fusion Tempête astra déclenche\ncinq attaques à l'arc consécutives à longue\nportée.
MID_TUT_GOD_LUCINA_TITLE	Emblème Lucina
MID_TUT_GOD_LUCINA_0	Les capacités de collaboration de l'Emblème\nLucina atteignent leur plein potentiel\nlorsqu'elle se bat à proximité d'alliés.
MID_TUT_GOD_LUCINA_1	La technique d'engagement Attaque combinée\npermet à l'unité engagée de participer à des\nattaques enchaînées, peu importe son type.
MID_TUT_GOD_LUCINA_2	L'arme de fusion Rapière noble inflige\ndes dégâts bonus à la cavalerie et aux\nennemis cuirassés.
MID_TUT_GOD_LUCINA_3	La technique de fusion Bouclier du lien génère\nune chance élevée d'annuler les attaques\ncontre les alliés adjacents.
MID_TUT_GOD_LUCINA_4	L'attaque de fusion Tous pour un inspire tous\nles alliés situés dans un rayon de 2 cases afin\nqu'ils participent à une attaque enchaînée.
MID_TUT_GOD_IKE_TITLE	Emblème Ike
MID_TUT_GOD_IKE_0	L'attaque solide et l'endurance de l'Emblème\nIke augmentent en fonction des dégâts qu'il\nsubit.
MID_TUT_GOD_IKE_1	La technique d'engagement Bravoure augmente\nla défense et la résistance lorsque les PV\ndiminuent.
MID_TUT_GOD_IKE_2	L'arme de fusion Marteau peut repousser\nles ennemis et inflige des dégâts bonus\naux adversaires cuirassés.
MID_TUT_GOD_IKE_3	La technique de fusion Ami des Laguz réduit\nde moitié les dégâts subis, mais l'Esquive (Esq)\nde l'unité tombe à 0.
MID_TUT_GOD_IKE_4	L'attaque de fusion Grand Éther permet à\nl'unité de renforcer ses défenses durant un tour,\npuis d'attaquer une zone en récupérant des PV.
MID_TUT_GOD_KAMUI_TITLE	Emblème Corrin
MID_TUT_GOD_KAMUI_0	L'Emblème Corrin peut restreindre les\ndéplacements ennemis et modifier le terrain\nafin de contrôler le cours de la bataille.
MID_TUT_GOD_KAMUI_1	La technique d'engagement Veine dragunaire\ndissipe les flammes et les miasmes d'un terrain\net y ajoute des effets selon le type de l'unité.
MID_TUT_GOD_KAMUI_2	L'arme de fusion Katana double, contrairement\nà la plupart des épées, a l'avantage contre les\nlances, mais est vulnérable aux haches.
MID_TUT_GOD_KAMUI_3	La technique de fusion Aura effroyable\nimmobilise la cible et les ennemis adjacents\ndurant 1 tour quand l'unité a initié le combat.
MID_TUT_GOD_KAMUI_4	L'attaque de fusion Rugissement torrentiel\nfrappe les ennemis situés 3 cases devant l'unité,\ninonde la zone et dissipe flammes et miasmes.
MID_TUT_GOD_BYLETH_TITLE	Emblème Byleth
MID_TUT_GOD_BYLETH_0	Les talents d'instructeur de l'Emblème Byleth\naméliorent les caractéristiques des alliés,\nles guidant vers la victoire.
MID_TUT_GOD_BYLETH_1	La technique d'engagement Impulsion Divine\na une chance de transformer des coups ratés\nen attaques réussies.
MID_TUT_GOD_BYLETH_2	La première arme de fusion de Byleth est\nune relique de héros, un objet spécial propre\nà chaque type d'unité.
MID_TUT_GOD_BYLETH_3	La technique de fusion Tutorat améliore\nles caractéristiques des alliés alentour.
MID_TUT_GOD_BYLETH_4	L'attaque de fusion Danse de la Déesse\npermet aux alliés adjacents d'agir à nouveau\net améliore leurs caractéristiques.
MID_TUT_GOD_EIRIK_TITLE	Emblème Eirika
MID_TUT_GOD_EIRIK_0	L'Emblème Eirika permute avec son frère\njumeau Ephraim pour s'adapter à\ndifférentes situations.
MID_TUT_GOD_EIRIK_1	La technique d'engagement Bracelet lunaire\naugmente les dégâts infligés en proportion de\nla défense de l'ennemi.
MID_TUT_GOD_EIRIK_2	L'arme de fusion Rapière inflige des dégâts\nbonus à la cavalerie et aux ennemis cuirassés.
MID_TUT_GOD_EIRIK_3	La technique de fusion Jumeaux sacrés\npermet à l'unité d'invoquer simultanément\nles techniques d'Eirika et d'Ephraim.
MID_TUT_GOD_EIRIK_4	L'attaque de fusion Frappe jumelle implique une\népée et une lance, brisant facilement la garde.\nInflige des dégâts bonus aux Aberrations.
MID_TUT_GOD_LUEUR_TITLE	Emblème \x0E\x06\x03\x00
MID_TUT_GOD_LUEUR_0	L'Emblème \x0E\x06\x03\x00 n'a pas à être\nengagé pour utiliser Fusion+ durant le combat,\nce qui conduit à la fusion des deux unités.
MID_TUT_GOD_LUEUR_1	La technique d'engagement Création de lien\naugmente la Précision et l'Esquive de l'unité\net des alliés engagés ou fusionnés à proximité.
MID_TUT_GOD_LUEUR_2	L'arme de fusion Lyrátion fait avancer de 1 la\njauge de fusion des alliés adjacents quand son\ndétenteur initie le combat et vainc un ennemi.
MID_TUT_GOD_LUEUR_3	La technique de fusion Accord parfait augmente\nles caractéristiques des partenaires fusionnés\ns'ils initient le combat et vainquent un ennemi.
MID_TUT_GOD_LUEUR_4	L'attaque de fusion Explosion draconique utilise\nl'épée et la magie, infligeant de lourds dégâts\nmême aux ennemis à la Déf et à la Rés élevées.
MID_TUT_GOD_LUEUR_KL_TITLE	Lien de l'Emblème \x0E\x06\x03\x00
MID_TUT_GOD_LUEUR_KL_0	Le niveau de lien de l'Emblème \x0E\x06\x03\x00\nest lié au niveau de soutien de l'allié et non à\nl'EXP de lien comme pour les autres Emblèmes.
MID_TUT_GOD_LUEUR_KL_1	L'absence de niveau de soutien correspond au\nniveau de lien 1, le C au niveau de lien 5, le B\nau niveau de lien 10, le A au niveau de lien 20.
MID_TUT_ENGAGE_PLUS_TITLE	Fusion+
MID_TUT_ENGAGE_PLUS_0	Quand \x0E\x06\x03\x00 se trouve à côté d'un\nallié et a sa jauge de fusion pleine, choisissez\nFusion+ pour les faire fusionner.
MID_TUT_ENGAGE_PLUS_1	L'Emblème \x0E\x06\x03\x00 fusionne avec l'allié\net \x0E\x06\x03\x00 reçoit également le statut de\nfusion.
MID_TUT_ENGAGE_PLUS_2	Tant que l'allié fusionné et \x0E\x06\x03\x00 sont\ncôte à côte, Explosion draconique devient\nune Explosion de lien encore plus puissante.
MID_TUT_BMAP_SORTIE_TITLE	Préparation au combat
MID_TUT_BMAP_SORTIE_0	Avant une bataille, vous pouvez choisir quels\nalliés participeront. Profitez-en pour choisir vos\nAnneaux\x0E\x01\x09\x00 d'Emblèmes et vos objets.
MID_TUT_BMAP_SORTIE_1	Une fois vos préparatifs terminés, choisissez\n« Combattre ! » pour commencer la bataille.
MID_TUT_BMAP_UNIT_SELECT_TITLE	Sélection d'unités
MID_TUT_BMAP_UNIT_SELECT_0	Utilisez Unités pour choisir quels alliés\nse joindront à vous. Affichez ou faites\ndisparaître \x0E\x08\x02\x16\x14IconSortie en appuyant sur \x0E\x08\x02\x04\x02A.
MID_TUT_BMAP_UNIT_SELECT_1	Les alliés en vert ne peuvent pas être exclus.
MID_TUT_BMAP_UNIT_SELECT_2	Chaque carte a un nombre défini d'alliés\nqui peuvent se joindre au combat.
MID_TUT_BMAP_MAPVERIFICATION_TITLE	Permuter
MID_TUT_BMAP_MAPVERIFICATION_0	Utilisez Permuter pour changer la position\ndes alliés avant de commencer le combat.
MID_TUT_BMAP_MAPVERIFICATION_1	Choisissez l'allié que vous voulez déplacer\navec \x0E\x08\x02\x04\x02A.
MID_TUT_BMAP_MAPVERIFICATION_2	Choisissez un autre allié avec \x0E\x08\x02\x04\x02A pour échanger\nleurs positions. Certains alliés ne peuvent pas\nêtre bougés.
MID_TUT_BMAP_MAPVERIFICATION_3	Profitez-en pour consulter les informations\nrelatives au terrain et les caractéristiques\ndes ennemis avec le curseur.
MID_TUT_BMAP_HERALDICCHOICE_TITLE	Anneaux\x0E\x01\x09\x00 d'Emblèmes
MID_TUT_BMAP_HERALDICCHOICE_0	Choisissez Emblèmes pour assigner\ndes Emblèmes à vos alliés, afin qu'ils\npuissent s'engager avec eux au combat.
MID_TUT_BMAP_HERALDICCHOICE_1	Pour associer un allié à un Emblème,\nchoisissez d'abord un allié, puis un\nAnneau\x0E\x01\x08\x00 d'Emblème.
MID_TUT_BMAP_GETTINGDRESSED_TITLE	Inventaire
MID_TUT_BMAP_GETTINGDRESSED_0	Sélectionnez Inventaire pour choisir\nles armes et objets que vous utiliserez\nau cours de la bataille.
MID_TUT_BMAP_GETTINGDRESSED_1	Préparez l'équipement de vos alliés à l'aide\nde Gérer objets. Les unités peuvent échanger\ndes objets avec le convoi ou d'autres alliés.
MID_TUT_BMAP_GETTINGDRESSED_2	Pour fournir automatiquement l'équipement\nà vos alliés à partir du convoi, choisissez\nOptimiser équipement.
MID_TUT_BMAP_GETTINGDRESSED_3	Sélectionnez Tout stocker pour renvoyer\nrapidement dans le convoi tous les objets\ndétenus par un allié donné.
MID_TUT_BMAP_EQUIP_SKILL_TITLE	Gestion des techniques
MID_TUT_BMAP_EQUIP_SKILL_0	Choisissez Gérer techniques depuis le menu\nInventaire pour consulter les techniques de vos\nalliés et assigner des techniques héritées.
MID_TUT_BMAP_EQUIP_SKILL_1	Les alliés peuvent hériter de techniques\nd'Emblèmes dans la salle des Emblèmes\nou dans l'arène à Somniel.
MID_TUT_BMAP_CLASSCHANGE_TITLE	Changement de classe
MID_TUT_BMAP_CLASSCHANGE_0	Les unités de niveau 10 et plus peuvent utiliser\nun magister afin de passer à une classe avancée.
MID_TUT_BMAP_CLASSCHANGE_1	En passant à une classe avancée, une unité\nreçoit un bonus de caractéristiques et a\naccès à de nouvelles armes et techniques.
MID_TUT_BMAP_CLASSCHANGE_2	Vous pouvez utiliser un scolaris afin de passer\nà une autre classe de la même catégorie.
MID_TUT_BMAP_CLASSCHANGE_3	Vous pouvez changer de classe\nà partir du menu Inventaire.
MID_TUT_BMAP_APTITUDE_TITLE	Aptitudes
MID_TUT_BMAP_APTITUDE_0	Les aptitudes sont requises pour changer\nla classe d'une unité.
MID_TUT_BMAP_APTITUDE_1	Toutes les unités commencent avec des\naptitudes innées. Ce sont dans ces domaines\nqu'elles ont le meilleur potentiel.
MID_TUT_BMAP_APTITUDE_2	Les unités peuvent obtenir de nouvelles\naptitudes grâce aux Emblèmes, ce qui\npermet de changer leur classe.
MID_TUT_GMAP_BASIC_TITLE	Carte du monde
MID_TUT_GMAP_BASIC_0	Utilisez la carte du monde pour choisir une\ndestination ou passer au chapitre suivant.
MID_TUT_GMAP_BASIC_1	Pour poursuivre l'histoire, envoyez\n\x0E\x06\x03\x00 vers votre destination\net appuyez sur \x0E\x08\x02\x04\x02A.
MID_TUT_GMAP_BASIC_2	Gérez votre inventaire ou retournez\nà Somniel à l'aide du menu.
MID_TUT_GMAP_SIDE_TITLE	Annexes
MID_TUT_GMAP_SIDE_0	À mesure que vous avancez dans l'histoire,\ndes chapitres spéciaux appelés annexes\napparaissent sur la carte du monde.
MID_TUT_GMAP_SIDE_1	Les annexes sont facultatives mais procurent\ndes avantages uniques et permettent même de\nrencontrer de nouveaux alliés !
MID_TUT_GMAP_ENCOUNT_TITLE	Escarmouches
MID_TUT_GMAP_ENCOUNT_0	Les soldats ennemis ou les Aberrations\nretournent parfois dans des zones\nque vous avez déjà terminées.
MID_TUT_GMAP_ENCOUNT_1	Retournez dans ces endroits pour participer\nà des escarmouches facultatives.
MID_TUT_GMAP_ENCOUNT_2	Tirez parti des escarmouches pour obtenir\nde l'expérience et des récompenses comme\ndes écus ou des objets.
MID_TUT_GMAP_RANKING_TITLE	Classements
MID_TUT_GMAP_RANKING_0	Lorsque vous êtes connecté, vous pouvez voir\nles unités et Emblèmes les plus déployés par\nd'autres joueurs sur une carte donnée.
MID_TUT_GMAP_RANKING_1	Ceci peut être utile pour déterminer\nquelles unités déployer.
MID_TUT_KR_KIZUNARESULT_TITLE	Exploration
MID_TUT_KR_KIZUNARESULT_0	Après une bataille, vous pouvez explorer\nlibrement la carte et discuter avec vos alliés.
MID_TUT_KR_KIZUNARESULT_1	Gardez un œil sur les objets au sol.
MID_TUT_KR_KIZUNARESULT_2	Pour terminer votre exploration, dirigez-vous\nvers la sortie ou appuyez sur \x0E\x08\x02\x0A\x08Plus\npour ouvrir le menu et sélectionnez Partir.
MID_TUT_KR_KIZUNAPIECE_TITLE	Fragments de lien
MID_TUT_KR_KIZUNAPIECE_0	Vos alliés vous donneront peut-être\ndes fragments de lien si vous discutez\navec eux entre deux batailles.
MID_TUT_KR_KIZUNAPIECE_1	Les fragments de lien servent à créer des\nanneaux de lien et à vous entraîner avec\ndes Emblèmes à Somniel.
MID_TUT_KR_KIZUNAPIECE_2	Lorsque vous mettez fin à la phase\nd'exploration, vous recevez les fragments\nde lien que vous avez manqués.
MID_TUT_HUB_BASIC_TITLE	Somniel
MID_TUT_HUB_BASIC_0	Somniel est votre base. Utilisez ce lieu pour\nvous préparer à la prochaine bataille et interagir\navec vos alliés.
MID_TUT_HUB_BASIC_1	Des activités et zones supplémentaires\nde Somniel se déverrouillent à mesure\nque vous avancez dans l'histoire.
MID_TUT_HUB_BASIC_2	Ouvrez la carte du monde pour continuer votre\naventure. Cette carte est accessible depuis le\nmenu ou en utilisant la sortie sur la place.
MID_TUT_HUB_CENTRALLOBBY_OPEN	Le café est maintenant ouvert.
MID_TUT_HUB_CENTRALLOBBY_TITLE	Café
MID_TUT_HUB_CENTRALLOBBY_0	Le café est un espace convivial relaxant\npermettant d'accéder à d'autres infrastructures.
MID_TUT_HUB_CENTRALLOBBY_1	Utilisez la boîte à musique pour changer\nla musique de fond de Somniel.
MID_TUT_HUB_CENTRALLOBBY_2	Le tableau d'affichage fournit des informations\nutiles. Vous pouvez l'utiliser pour investir en\nElyos et consulter vos exploits.
MID_TUT_HUB_INVESTMENT_TITLE	Dons
MID_TUT_HUB_INVESTMENT_0	Si vous soutenez suffisamment des royaumes et\nfaites progresser leur niveau de dons, ceux-ci\nvous offriront des cadeaux en remerciement.
MID_TUT_HUB_INVESTMENT_1	Dans les royaumes au niveau de dons élevé,\nvous trouverez davantage d'ennemis rares,\nce qui favorise l'obtention d'écus et d'EXP.
MID_TUT_HUB_INVESTMENT_2	Un niveau de don élevé garantit notamment\nde trouver plus de matériaux lors des phases\nd'exploration, alors donnez autant que possible.
MID_TUT_HUB_INFORMATION_TITLE	Carte de Somniel
MID_TUT_HUB_INFORMATION_0	Consultez la carte de Somniel pour voir\noù se trouvent vos alliés ou connaître\nle statut des diverses installations.
MID_TUT_HUB_INFORMATION_1	Choisissez un lieu pour vous y déplacer\ninstantanément.
MID_TUT_HUB_ACHIEVEMENT_TITLE	Exploits
MID_TUT_HUB_ACHIEVEMENT_0	Consultez vos accomplissements sur l'écran\nExploits. Vos efforts vous vaudront peut-être\ndes fragments de lien.
MID_TUT_HUB_ACHIEVEMENT_1	Une notification vous avertit lorsque vous\nréalisez un exploit. N'oubliez pas de récupérer\nvos fragments de lien bien mérités !
MID_TUT_HUB_MYROOM_TITLE	Ma chambre
MID_TUT_HUB_MYROOM_0	Voici votre chambre, le lieu sacré\noù \x0E\x06\x03\x00 a sommeillé durant\nun millénaire.
MID_TUT_HUB_MYROOM_1	Choisissez Se reposer pour faire une sieste\net faire avancer le temps à Somniel.
MID_TUT_HUB_MYROOM_2	Vous pouvez entendre des choses intéressantes\npendant que vous vous reposez. Avec des\nécouteurs, c'est encore mieux !
MID_TUT_HUB_MYROOM_3	Choisissez Souvenirs pour visionner à nouveau\ndes dialogues de soutien et des cinématiques.
MID_TUT_HUB_MYROOM_4	Vous pouvez réduire la difficulté du jeu grâce\nà l'option Difficulté. Vous ne pouvez pas\nl'accroître de cette manière, cependant.
MID_TUT_HUB_WEAPONSHOP_OPEN	L'armurerie et le magasin d'objets sont ouverts.
MID_TUT_HUB_WEAPONSHOP_TITLE	Armurerie
MID_TUT_HUB_WEAPONSHOP_0	C'est ici que vous pouvez acheter ou vendre\ndes armes.
MID_TUT_HUB_WEAPONSHOP_1	À mesure que l'histoire progresse, l'inventaire\nde l'armurerie augmente et de nouvelles\nmarchandises arrivent.
MID_TUT_HUB_ITEMSHOP_TITLE	Magasin
MID_TUT_HUB_ITEMSHOP_0	C'est ici que vous pouvez acheter ou vendre\ndes objets utilisés au combat, comme des\npotions ou des bâtons.
MID_TUT_HUB_ITEMSHOP_1	À mesure que l'histoire progresse,\nle magasin accueille des marchandises\nsupplémentaires.
MID_TUT_HUB_HERALDICSPACE_OPEN	Vous pouvez maintenant entrer\ndans la salle des Emblèmes.
MID_TUT_HUB_HERALDICSPACE_TITLE	Salle des Emblèmes
MID_TUT_HUB_HERALDICSPACE_0	La salle des Emblèmes est un lieu où interagir\navec les Emblèmes et leurs anneaux\x0E\x01\x0B\x00.\nC'est là que vous héritez de leurs techniques.
MID_TUT_HUB_HERALDICSPACE_1	Utilisez des fragments de lien pour combiner\net renforcer des anneaux de lien, ou en créer\nde nouveaux.
MID_TUT_HUB_HERALDICSPACE_2	Renforcez vos liens avec les Emblèmes\nen polissant les Anneaux\x0E\x01\x09\x00\nd'Emblèmes après le combat.
MID_TUT_HUB_INHERITSKILL_TITLE	Hériter de techniques
MID_TUT_HUB_INHERITSKILL_0	Au-delà d'un certain niveau de lien, les alliés\npeuvent acquérir des techniques des Emblèmes\nen utilisant l'option Hériter de techniques.
MID_TUT_HUB_INHERITSKILL_1	Il vous faudra aussi des points de technique.\nObtenez-en en portant des anneaux de lien\net en vous engageant avec un Emblème.
MID_TUT_HUB_INHERITSKILL_2	Vous pouvez vous équiper d'une technique\nhéritée via le menu d'Inventaire.
MID_TUT_HUB_INHERITSKILL_3	S'équiper deux fois de la même technique ne\nvous apporte rien, alors tâchez d'éviter les\ndoublons.
MID_TUT_HUB_CREATE_RING_TITLE	Créer des anneaux de lien
MID_TUT_HUB_CREATE_RING_0	Vous pouvez créer des anneaux de lien\nen utilisant des fragments de lien.
MID_TUT_HUB_CREATE_RING_1	Un anneau de lien augmente les caractéristiques\nd'une unité et lui fait gagner des PT, mais l'effet\nest moindre qu'un Anneau\x0E\x01\x08\x00 d'Emblème.
MID_TUT_HUB_ENGWEAPON_REFINE_OPEN	Vous pouvez désormais améliorer les armes\nde fusion de vos Emblèmes dans la salle des\nEmblèmes.
MID_TUT_HUB_ENGWEAPON_REFINE_TITLE	Armes de fusion
MID_TUT_HUB_ENGWEAPON_REFINE_0	Améliorez les armes de fusion avec des cristaux\nd'Emblèmes (caractéristiques améliorées) ou les\ntomes en -cide (types d'efficacité ajoutés).
MID_TUT_HUB_ENGWEAPON_REFINE_1	Obtenez des matériaux d'amélioration lors des\népreuves de Tourmente ou de Relais.
MID_TUT_HUB_ENGWEAPON_REFINE_2	Chaque arme de fusion a une capacité\nd'augmentation, au-delà de laquelle elle\nne peut pas être améliorée davantage.
MID_TUT_HUB_ENGWEAPON_REFINE_3	Réinitialisez l'amélioration pour faire des essais\nou augmentez la capacité en faisant monter le\nniveau de lien de l'Emblème avec des alliés.
MID_TUT_HUB_MASCOT_OPEN	L'air dans la grotte est nimbé\nd'une mystérieuse aura.
MID_TUT_HUB_MASCOT_TITLE	\x0E\x06\x05\x00
MID_TUT_HUB_MASCOT_0	L'énigmatique \x0E\x06\x05\x00 veille\nsur cette terre depuis des temps immémoriaux.
MID_TUT_HUB_MASCOT_1	Cajolez bien \x0E\x06\x05\x00, et quelque chose\nde merveilleux pourrait se produire.
MID_TUT_HUB_MUSCLEEXERCISES_OPEN	L'entraînement physique est maintenant\ndisponible !
MID_TUT_HUB_MUSCLEEXERCISES_TITLE	Entraînement physique
MID_TUT_HUB_MUSCLEEXERCISES_0	Trois exercices d'entraînement physique sont\nproposés à \x0E\x06\x03\x00. Choisissez-en un\npour accroître brièvement ses caractéristiques.
MID_TUT_HUB_MUSCLEEXERCISES_1	Chaque exercice est différent et influe sur une\ncaractéristique distincte. Visez le meilleur score\ndans tous les exercices !
MID_TUT_HUB_MUSCLEEXERCISES_2	À mesure que l'histoire progresse, vous pourrez\ndéverrouiller des niveaux de difficulté\nsupplémentaires pour chaque exercice.
MID_TUT_HUB_ME_PUSHUPS_TITLE	Pompes
MID_TUT_HUB_ME_PUSHUPS_0	Tout est question de timing dans les pompes.\nArrêtez la barre au bon endroit quand elle\naccélère. Trois échecs et c'est fini.
MID_TUT_HUB_ME_PUSHUPS_1	Terminez l'activité en faisant le nombre\nde pompes indiqué. La barre ira de plus en plus\nvite, alors restez concentré !
MID_TUT_HUB_ME_PUSHUPS_2	Objectif corps de rêve !
MID_TUT_HUB_ME_SITUP_TITLE	Abdominaux
MID_TUT_HUB_ME_SITUP_0	Appuyez sur le bouton le plus vite possible\npour faire monter la barre. Si elle touche\nle fond, l'activité prend fin.
MID_TUT_HUB_ME_SITUP_1	Chaque abdo rend l'élévation de la barre plus\ndifficile, mais plus vite vous la ferez monter,\nmeilleure sera votre note.
MID_TUT_HUB_ME_SITUP_2	Objectif corps de rêve !
MID_TUT_HUB_ME_SQUAT_TITLE	Flexions
MID_TUT_HUB_ME_SQUAT_0	Tout est question de rythme. Suivez les\ndirections indiquées à l'écran avec \x0E\x08\x02\x0E\x0CStickL et \x0E\x08\x02\x0E\x0CStickR.\nTrois erreurs et l'activité prend fin.
MID_TUT_HUB_ME_SQUAT_1	Vous devez réussir à incliner et faire tourner\n\x0E\x08\x02\x0E\x0CStickL et \x0E\x08\x02\x0E\x0CStickR dans le bon sens pour réussir.
MID_TUT_HUB_ME_SQUAT_2	Objectif corps de rêve !
MID_TUT_HUB_ARENA_OPEN	Les portes de l'arène sont ouvertes.
MID_TUT_HUB_ARENA_TITLE	Arène
MID_TUT_HUB_ARENA_0	Entraînez des alliés pour gagner de l'expérience\net faire progresser leur niveau de lien.
MID_TUT_HUB_ARENA_1	Gratuit mais doté d'une limite, l'entraînement\nstandard est un combat amical entre un allié\nde votre choix et un allié choisi aléatoirement.
MID_TUT_HUB_ARENA_2	L'entraînement d'Emblème augmente le lien\nentre un allié et un Emblème. Il coûte des\nfragments de lien mais n'est pas limité.
MID_TUT_HUB_ANIMAL_OPEN	Vous pouvez maintenant adopter des animaux.
MID_TUT_HUB_ANIMAL_TITLE	Animaux
MID_TUT_HUB_ANIMAL_0	Vous pouvez adopter les animaux que vous\nrencontrez lors des phases d'exploration\net les ramener à Somniel.
MID_TUT_HUB_ANIMAL_1	Vous pouvez laisser vos animaux adoptés\nbrouter à la ferme. Ils laisseront parfois tomber\nmarchandises et ingrédients.
MID_TUT_HUB_ANIMAL_2	Vous pouvez adopter d'autres animaux\nen faisant des dons à divers royaumes\nvia le tableau d'affichage au café.
MID_TUT_HUB_AMIIBO_OPEN	Le pavillon amiibo est ouvert.
MID_TUT_HUB_AMIIBO_TITLE	Pavillon amiibo
MID_TUT_HUB_AMIIBO_0	Scannez un amiibo pour gagner des objets\net des récompenses.
MID_TUT_HUB_AMIIBO_1	Recevez des récompenses spéciales\nlorsque vous scannez un amiibo de\nla série Fire Emblem.
MID_TUT_HUB_DRILLINGSHOP_OPEN	La forge et la boutique de mode sont ouvertes.
MID_TUT_HUB_DRILLINGSHOP_TITLE	Forge
MID_TUT_HUB_DRILLINGSHOP_0	Utilisez des matériaux et des écus\npour renforcer vos armes à la forge.
MID_TUT_HUB_DRILLINGSHOP_1	Vous pouvez faire évoluer vos armes en\nles améliorant et en y ajoutant des gravures.
MID_TUT_HUB_DRILLINGSHOP_2	Vous pouvez modifier les capacités d'une arme\nen y gravant le pouvoir d'un Emblème. Chaque\nEmblème ne peut être associé qu'à une arme.
MID_TUT_HUB_DRILLINGSHOP_3	Vous pouvez également échanger un type\nde matériau d'amélioration contre un autre.
MID_TUT_HUB_ACCESSORYSHOP_TITLE	Boutique
MID_TUT_HUB_ACCESSORYSHOP_0	Utilisez des matériaux et des écus pour\ncommander des habits ou des accessoires\nà porter à Somniel.
MID_TUT_HUB_ACCESSORYSHOP_1	Une fois fabriqués, n'importe qui peut porter\nla plupart des accessoires.
MID_TUT_HUB_ACCESSORYSHOP_2	À mesure que l'histoire progresse,\nd'autres articles sont proposés.
MID_TUT_HUB_COOK_OPEN	Vous pouvez maintenant prendre des repas\nau café.
MID_TUT_HUB_COOK_TITLE	Repas entre alliés
MID_TUT_HUB_COOK_0	Commandez des repas à\npartager avec vos alliés.
MID_TUT_HUB_COOK_1	Si le plat est réussi, vos alliés verront\nleurs caractéristiques s'améliorer pour\nla bataille suivante.
MID_TUT_HUB_COOK_2	Gagnez des points de soutien avec vos alliés\nen les invitant à partager un repas avec vous.
MID_TUT_HUB_COOK_3	Le chef peut utiliser des restes pour mijoter un\nautre repas. Emportez cet objet au combat et\nservez-vous-en pour récupérer des PV.
MID_TUT_HUB_CAPERIDGE_OPEN	La tour des épreuves a été déverrouillée.
MID_TUT_HUB_CAPERIDGE_TITLE	Tour des épreuves
MID_TUT_HUB_CAPERIDGE_0	Gagnez des récompenses en prenant part à\ndes défis spéciaux dans la tour des épreuves.
MID_TUT_HUB_CAPERIDGE_1	L'épreuve de Tourmente vous propose de\nterminer plusieurs cartes d'affilée. Choisissez\nla difficulté avant de commencer.
MID_TUT_HUB_CAPERIDGE_2	Dans l'épreuve de Relais, vous faites équipe\navec des joueurs en ligne pour affronter\ndes ennemis à tour de rôle.
MID_TUT_HUB_CAPERIDGE_3	L'épreuve du Multivers vous permet d'affronter\ndes joueurs en ligne en utilisant des cartes\nde votre création.
MID_TUT_HUB_FISHING_OPEN	Vous pouvez maintenant aller pêcher !
MID_TUT_HUB_FISHING_TITLE	Pêche
MID_TUT_HUB_FISHING_0	Vous pouvez pêcher dans l'étang. Appuyez sur\n\x0E\x08\x02\x04\x02A pour lancer votre ligne où vous voulez. Les\nrides en surface indiquent de gros poissons.
MID_TUT_HUB_FISHING_1	Appuyez sur \x0E\x08\x02\x04\x02A lorsque le flotteur tombe à son\npoint le plus bas pour attraper le poisson.
MID_TUT_HUB_FISHING_2	Si le poisson lutte, inclinez \x0E\x08\x02\x0E\x0CStickL dans la direction\nopposée. Ramenez le poisson ou il s'enfuira.
MID_TUT_HUB_FISHING_3	Une fois le poisson suffisamment proche,\nappuyez sur \x0E\x08\x02\x04\x02A de façon répétée pour réduire\nson endurance.
MID_TUT_HUB_FISHING_4	Vous l'attraperez quand son endurance tombera\nà 0. Par la suite, vous obtiendrez de nouvelles\ncannes permettant de plus grosses prises.
MID_TUT_HUB_DRAGONRIDE_OPEN	Vous pouvez maintenant jouer\nà Vol sur wyverne !
MID_TUT_HUB_DRAGONRIDE_TITLE	Vol sur wyverne
MID_TUT_HUB_DRAGONRIDE_0	Vol sur wyverne mêle parcours aérien et\ndestruction de cibles flottantes.
MID_TUT_HUB_DRAGONRIDE_1	Essayez de toucher les cibles spéciales et visez\nun score élevé ! En progressant dans l'histoire,\nvous déverrouillez davantage de parcours.
MID_TUT_HUB_FLEAMARKET_OPEN	La brocante est ouverte.
MID_TUT_HUB_FLEAMARKET_TITLE	Brocante
