MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0C\nスタルーク\nNous y voilà. Le château de Brodia.\x0E\x04\x02\x00
MID_ED2_#025	Imaginez-vous un enfant forcé de prévoir\nla mort de son père. D'anticiper le trône vide.\x0E\x04\x02\x00
MID_ED2_#026	Le Dragon déchu est de retour, la guerre\nest à nos portes... L'avenir est rempli\nd'incertitudes.\x0E\x04\x02\x00
MID_ED2_#027	Et moi, je ne suis pas prêt.\x0E\x04\x00\x00
MID_ED2_#028	\x0E\x03\x02\x0A\x08モリオン\nNe t'inquiète pas, Diamant. Si je dois mourir,\nje mourrai. Brodia continuera à vivre.\x0E\x04\x00\x00
MID_ED2_#029	\x0E\x03\x02\x0E\x0Cディアマンド\nMais Père !\x0E\x04\x00\x00
MID_ED2_#030	\x0E\x03\x02\x0A\x08モリオン\nEh bien, tu ne me crois pas ? Quand je ne serai\nplus là, je sais que tu tiendras les rênes du\nroyaume d'une main ferme.\x0E\x04\x02\x00
MID_ED2_#031	Même si je trouve blessant que tu penses\nce jour si prochain.\x0E\x04\x02\x00
MID_ED2_#032	Tu crois que je vais perdre, n'est-ce pas ?\nTu crois que je suis faible ? Que j'ai besoin\nde ta protection ?\x0E\x04\x02\x00
MID_ED2_#033	Ah, l'orgueil de la jeunesse.\x0E\x04\x00\x00
MID_ED2_#034	\x0E\x03\x02\x0E\x0Cディアマンド\nCe n'était pas là mon propos.\x0E\x04\x00\x00
MID_ED2_#035	\x0E\x03\x02\x0A\x08モリオン\nLe roi Hyacinth m'attend sur le champ de\nbataille, son armée est prête. Si Brodia se\ncache, qu'adviendra-t-il ?\x0E\x04\x02\x00
MID_ED2_#036	Après des années de guerre contre Elusia,\nallons-nous soudain dévoiler des visages\nde couards ?\x0E\x04\x02\x00
MID_ED2_#037	Écoute-moi bien, Diamant. Je vais combattre\nvaillamment pour Brodia. Je n'ai pas peur\nde mourir.\x0E\x04\x02\x00
MID_ED2_#038	Entrer dans la légende en tant que roi qui\nfuit le combat... m'effraie bien davantage.\x0E\x04\x00\x00
MID_ED2_#039	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_ED2_#040	\x0E\x03\x02\x0A\x08モリオン\nQue penses-tu de tout ça, Alcryst ?\x0E\x04\x00\x00
MID_ED2_#041	\x0E\x03\x02\x0C\nスタルーク\nMoi ?!\x0E\x04\x00\x00
MID_ED2_#042	\x0E\x03\x02\x0A\x08モリオン\nSi je meurs, et que Diamant trépasse lui aussi,\nc'est toi qui devras monter sur le trône.\x0E\x04\x00\x00
MID_ED2_#043	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_ED2_#044	\x0E\x03\x02\x0E\x0Cディアマンド\nPère, ne dites pas des choses pareilles.\x0E\x04\x00\x00
MID_ED2_#045	\x0E\x03\x02\x0C\nスタルーク\nJe...\x0E\x04\x02\x00
MID_ED2_#046	Je ne laisserai pas une telle chose se produire.\nJe défendrai Diamant jusqu'à mon dernier\nsouffle.\x0E\x04\x00\x00
MID_ED2_#047	\x0E\x03\x02\x0E\x0Cディアマンド\nAlcryst...\x0E\x04\x00\x00
MID_ED2_#048	\x0E\x03\x02\x0A\x08モリオン\nHa ha ha ! Ça, c'est mon fiston ! Diamant,\ntu devrais en prendre de la graine.\x0E\x04\x02\x00
MID_ED2_#049	La peur n'a pas sa place dans mon royaume.\x0E\x04\x02\x00
MID_ED2_#050	Si nous cédons à la peur, c'est comme\nsi nous cédions Brodia.\x0E\x04\x00\x00
MID_ED2_#051	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_ED2_#052	\x0E\x03\x02\x0A\x08モリオン\nAllons. Direction, la frontière !\x0E\x04\x00\x00
MID_ED2_#053	\x0E\x03\x02\x0E\x0Cディアマンド\nIl semble que je ne puisse pas vous dissuader\nd'emprunter cette voie. Je ne peux que la\nparcourir à vos côtés.\x0E\x04\x02\x00
MID_ED2_#054	Allons-y tous ensemble. Montrons à Elusia\npourquoi on appelle ces terres le royaume\ndes guerriers.\x0E\x04\x00\x00
MID_ED2_#055	\x0E\x03\x02\x0A\x08モリオン\nHa ha ha ! Précisément ! Je sais que ce n'est\npas la dernière fois que je vois ce château !\x0E\x04\x02\x00
MID_ED2_#056	À mon retour, nous organiserons un tournoi\navec nos plus vaillants guerriers. Et je vous\ncompte parmi ceux-là, Votre Divinité !\x0E\x04\x00\x00
MID_ED2_#057	\x0E\x03\x02\x0A\x08リュール\nMoi ?\x0E\x04\x00\x00
MID_ED2_#058	\x0E\x03\x02\x0A\x08モリオン\nOh que oui ! Je tiens à vous voir vous\nmétamorphoser en un puissant dragon !\nGrrr ! Raaaah !\x0E\x04\x00\x00
MID_ED2_#059	\x0E\x03\x02\x0A\x08リュール\nOh... Eh bien d'accord...\x0E\x04\x00\x00
MID_ED2_#060	\x0E\x03\x02\x0A\x08モリオン\nQu'y a-t-il ?\x0E\x04\x00\x00
MID_ED2_#061	\x0E\x03\x02\x0A\x08リュール\nOh, rien. Vous avez raison, je pourrais\nme transformer en dragon.\x0E\x04\x00\x00
MID_ED2_#062	\x0E\x03\x02\x0A\x08モリオン\nHo ho ! J'ai hâte de voir ça !\x0E\x04\x00\x00
MID_ED2_#063	\x0E\x03\x02\x0E\x0Cディアマンド\nJ'aimerais aussi croiser le fer avec vous,\nVotre Divinité. Quand le tour de Père\nsera passé.\x0E\x04\x02\x00
MID_ED2_#064	Mais nous verrons cela plus tard. Pour l'heure,\nnous devons nous préparer pour nous\nrendre à la frontière.\x0E\x04\x00\x00
MID_ED2_#065	\x0E\x03\x02\x0A\x08モリオン\nEn effet.\x0E\x04\x00\x00
MID_ED2_#066	\x0E\x03\x01\x0A\x08モリオン\n\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x02\x00
MID_ED2_#067	Cette histoire de se métamorphoser en dragon...\nMère y arrivait. En suis-je seulement capable ?\x0E\x04\x02\x00
MID_ED2_#068	Je ne vois pas du tout comment m'y prendre...\x0E\x04\x02\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x020\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x00& ブロディア兵士_ランスアーマー1\x024\n\x0E\x03\x00\x0E\x08モリオン\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x023\n\x0E\x03\x02\x0A\x08モリオン\nNous serons bientôt de retour. Je laisse\nle château de Brodia entre les mains expertes\nde la garde royale.\x0E\x04\x00\x00
MID_ED3_#002	\x0E\x03\x02" ブロディア兵士_ランスアーマー1\nÀ vos ordres, Votre Majesté !\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x02\x0C\nザフィーア\nComptez sur nous. Vous avez jamais eu à\nvous plaindre de notre façon de faire le boulot\npendant toutes ces années, si ?\x0E\x04\x02\x00
MID_ED3_#004	On va pas se mettre à lambiner sous prétexte\nque vous êtes en vadrouille.\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x02\x0A\x08モリオン\nParfait. À mon retour, vous vous régalerez\nd'un buffet triomphal !\x0E\x04\x00\x00
MID_ED3_#006	\x0E\x03\x02\x0C\nザフィーア\nOn a hâte d'y être. À bientôt, Votre Majesté.\x0E\x04\x00\x00
MID_ED3_#007	\x0E\x03\x02" ブロディア兵士_ランスアーマー1\nForts de corps...\x0E\x04\x00\x00
MID_ED3_#008	\x0E\x03\x02\x0A\x08モリオン\nEt vaillants de cœur !\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nBien. Il est temps de se mettre en route.\x0E\x04\x00\x00
MID_ED3_#010	\x0E\x03\x02\x0C\nスタルーク\nAllons-y...\x0E\x04\x00\x00
MID_ED3_#011	\x0E\x03\x01\x0A\x08モリオン\n\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x01\x0C\nザフィーア\n\x0E\x03\x01" ブロディア兵士_ランスアーマー1\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\nJe crois qu'ils en ont fini avec les adieux.\x0E\x04\x00\x00
MID_ED3_#012	\x0E\x03\x02\x0A\x08リュール\nOui. Rendons-nous à la frontière.\x0E\x04\x00\x00
