MID_Hub_ThisTime	Moment
MID_Hub_CafeTerrace_Cook_BasicEffect	Effets
MID_Hub_CafeTerrace_Cook_Favorite	Goûte
MID_Hub_CafeTerrace_Cook_Favorite_Good	Aime
MID_Hub_CafeTerrace_Cook_Favorite_Normal	Neutre
MID_Hub_CafeTerrace_Cook_Favorite_Bad	N'aime pas
MID_Hub_CafeTerrace_Cook_Chef	Chef
MID_Hub_CafeTerrace_Friend	Convives
MID_Hub_CafeTerrace_CookMenu	Plat
MID_Hub_CafeTerrace_Cook_CallFriend	Convives
MID_Hub_CafeTerrace_Cook_RelianceStatus	Soutien
MID_Hub_CafeTerrace_Cook_AddFood	Ajout d'ingrédients
MID_Hub_CafeTerrace_Cook_AddFood_Nothing	Aucun
MID_Hub_CafeTerrace_Cook_CanAddFood	Ingrédients utilisables
MID_Hub_CafeTerrace_Cook_Confirmation	Commencer à cuisiner ?
MID_Hub_CafeTerrace_Cook_Everyone	Tous gagnent
MID_Hub_CafeTerrace_Cook_Effect_Nothing	Aucun effet
MID_Hub_CafeTerrace_Cook_Also	Les \x0E\x01\x00\x00 gagnent aussi
MID_Hub_CafeTerrace_Cook_Workmanship	Rang
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_SS	S+
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_S	S
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_A	A
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_B	B
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_C	C
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_D	D
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_E	E
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_F	F
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_G	G
MID_Hub_CafeTerrace_Bento_Get	Le cuisinier a emballé les restes pour emporter.
MID_Hub_CafeTerrace_Bento_Discard	Plat jeté : \x0E\x01\x00\x00
MID_MENU_NOTICE_BOARD_TITLE	Tableau d'affichage
MID_MENU_NOTICE_BOARD_HELP	Choisissez une catégorie.
MID_MENU_NOTICE_BOARD_INVESTMENT	Dons
MID_MENU_NOTICE_BOARD_INVESTMENT_HELP	Choisissez un royaume.
MID_MENU_NOTICE_SOLANEL_INFO	Carte de Somniel
MID_MENU_NOTICE_ACHIEVEMENT	Exploits
MID_MENU_INVESTMENT_AmountOfMoney	Choisissez la somme à donner.
MID_MENU_INVESTMENT_G	\x0E\x01\x00\x00\x0E\x01\x01\x00 É
MID_MENU_INVESTMENT_NEXT_LEVEL	Prochain niveau
MID_MENU_INVESTMENT_TOTAL	Total des dons
MID_MENU_INVESTMENT_LEVEL_EFFECT	Effets de montée de niveau
MID_MENU_INVESTMENT_LEVEL_BONUS	Récompense
MID_MENU_INVESTMENT_RESULT	Exploration
MID_MENU_INVESTMENT_LEVEL_EFFECT_MAX	Niveau max atteint
MID_MENU_INVESTMENT_COMPLETE	COMPLET !
MID_MENU_INVESTMENT_COMPLETE_INFO	Dons max atteints
MID_MENU_INVESTMENT_COMPLETE_HELP	\x0E\x08\x02\x04\x02X Afficher le contenu détaillé.
MID_MENU_INVESTMENT_GOLD_ENEMY	Aberrations dorées
MID_MENU_INVESTMENT_EXP_ENEMY	Aberrations argentées
MID_MENU_INVESTMENT_ANIMAL_ENABLE	Adoptable
MID_MENU_NATIONDATA_TITLE	\x0E\x01\x00\x00 - Ressources trouvées
MID_MENU_NATIONDATA_REFINE_ITEM	Minéraux
MID_MENU_NATIONDATA_FOOD	Ingrédients
MID_MENU_NATIONDATA_ANIMAL	Animaux
MID_MENU_INVESTMENT_BONUS_FILENE_1	Moisson abondante
MID_MENU_INVESTMENT_BONUS_BRODIA_1	Filons inépuisables
MID_MENU_INVESTMENT_BONUS_IRCION_1	Soins miraculeux
MID_MENU_INVESTMENT_BONUS_SOLUM_1	Marchés opulents
MID_MENU_INVESTMENT_BONUS_2	Tenues nationales
MID_MENU_INVESTMENT_BONUS_3	Fidèles compagnons
MID_MENU_INVESTMENT_BONUS_4	Tenues locales
MID_MENU_INVESTMENT_BONUS_Get	Reçu : \x0E\x01\x00\x00.
MID_MENU_INVESTMENT_DIALOG_NEXT_ITEM	Proch. niveau (\x0E\x01\x00\x00)
MID_MENU_SOLANEL_INFO_TITLE	Carte de Somniel
MID_MENU_SOLANEL_INFO_COMMENT	Choisissez un lieu à visiter.
MID_MENU_SOLANEL_INFO_CONFIRM_TEXT	\x0E\x01\x00\x00 - Rejoindre cet endroit ?
MID_MENU_SOLANEL_INFO_CONFIRM_YES	Rejoindre
MID_MENU_ACHIEVEMENT_TITLE	Exploits
MID_MENU_ACHIEVEMENT_COUNT_TITLE	Complétés
MID_MENU_ACHIEVEMENT_COUNT_UNIT	Alliés
MID_MENU_ACHIEVEMENT_COUNT_BATTLE	Batailles
MID_MENU_ACHIEVEMENT_COUNT_SOLANEL	Somniel
MID_MENU_ACHIEVEMENT_COUNT_SHOP	Commerces
MID_MENU_ACHIEVEMENT_COUNT_SYSTEM	Système
MID_MENU_ACHIEVEMENT_COUNT_TOTAL	Total
MID_MENU_ACHIEVEMENT_NOW	Total
MID_MENU_ACHIEVEMENT_BONUS	Récomp.
MID_MENU_ACHIEVEMENT_CLEAR	TERMINÉ !
MID_MENU_ACHIEVEMENT_COMPLETE	COMPLÉTÉ
MID_MENU_ACHIEVEMENT_DIALOG_MESSAGE	Vous avez accepté la récompense associée à l'exploit suivant :\n\x0E\x01\x00\x00
MID_MENU_ACHIEVEMENT_DIALOG_MESSAGE_ALL	Accepter toutes les récompenses d'exploits ?
MID_MENU_ACHIEVEMENT_DIALOG_MESSAGE_ALLGET	Toutes les récompenses d'exploits acceptées.
MID_MENU_ACHIEVEMENT_DIALOG_MESSAGE_ALL_YES	Accepter
MID_MENU_ACHIEVEMENT_UNIT_HUMAN	 unité(s)
MID_MENU_ACHIEVEMENT_UNIT_ITEM	 objet(s)
MID_MENU_ACHIEVEMENT_UNIT_COUNT	 fois
MID_MENU_ACHIEVEMENT_UNIT_TIME	 heure(s)
MID_MENU_ACHIEVEMENT_UNIT_ENEMY	 ennemi(s)
MID_MENU_ACHIEVEMENT_Clear_Nothing	Aucun nouvel exploit.
MID_Hub_AnimalCoop_Nothing	Il n'y a aucun animal pour l'instant...
MID_Hub_AnimalCoop_Choice	Choisissez les animaux à sortir.
MID_Hub_AnimalCoop_Trade	Intervertir
MID_Hub_AnimalCoop_FreeAnimal	À l'extérieur
MID_Hub_AnimalCoop_InAnimal	À l'intérieur
MID_Hub_AnimalCoop_Number	Total
MID_Hub_AnimalCoop_Entrust	Rentrer
MID_Hub_AnimalCoop_Contact	Observer
MID_TUT_HUB_RECORD_HALL_TITLE	Archives
MID_TUT_HUB_RECORD_HALL_0	Dans les archives, vous pouvez modifier\nvotre carte de profil et consulter les cartes\ndes autres joueurs.
MID_TUT_HUB_RECORD_HALL_1	Vous avez accès aux mêmes actions dans le\nmenu Références. Vous ne pouvez prendre de\nphotos que dans les lieux extérieurs de Somniel.
MID_TUT_HUB_PROFILE_TITLE	Carte de profil
MID_TUT_HUB_PROFILE_0	Votre carte de profil est un espace pouvant être\npersonnalisé pour afficher vos exploits en jeu.
MID_TUT_HUB_PROFILE_1	Les fonctionnalités en ligne vous permettent\nde rendre votre carte publique et d'échanger\ndes cartes avec d'autres joueurs.
MID_TUT_HUB_PROFILE_EDIT_TITLE	Modifier la carte de profil
MID_TUT_HUB_PROFILE_EDIT_0	Choisissez Ma carte pour personnaliser\nvotre carte de profil.
MID_TUT_HUB_PROFILE_EDIT_1	Vous débloquerez davantage d'options pour\npersonnaliser votre carte au fur et à mesure\nde votre progression dans le jeu.
MID_TUT_HUB_PROFILE_PHOTO_TITLE	Séance photo
MID_TUT_HUB_PROFILE_PHOTO_0	Vous pouvez prendre une photo qui apparaîtra\nensuite sur votre carte de profil.
MID_TUT_HUB_PROFILE_PHOTO_1	Affichez votre style et faites prendre la pose à\nvos alliés dans le lieu de votre choix à Somniel.
MID_TUT_HUB_PROFILE_PHOTO_2	Quand la scène est prête, appuyez sur \x0E\x08\x02\x0A\x08Plus\npour accéder au mode photo, puis sur \x0E\x08\x02\x04\x02L ou \x0E\x08\x02\x04\x02R\npour prendre un cliché.
MID_TUT_HUB_PROFILE_TRADE_TITLE	Échanger des cartes de profil
MID_TUT_HUB_PROFILE_TRADE_0	Vous pouvez échanger des cartes de profil\navec les joueurs que vous rencontrez dans\nles épreuves de Relais et du Multivers.
MID_TUT_HUB_PROFILE_TRADE_1	Si vous ne voulez pas que les autres joueurs\nvoient votre carte, vous pouvez changer\nson niveau de confidentialité.
MID_TUT_HUB_PROFILE_TRADE_2	Vous pouvez consulter et supprimer les\ncartes des autres joueurs depuis le menu.
