MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ルミエル\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08ルミエル\nNous voici. En ces murs, nous devrions\nêtre en sécurité.\x0E\x04\x00\x00
MID_ED1_#013	Accepte également ceci.\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x0A\x08リュール\nEst-ce un autre Anneau d'Emblème ?\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x0A\x08ルミエル\nNon, celui-ci n'a qu'une vocation ornementale.\nAvant que tu t'endormes, je t'avais fait une\npromesse...\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x0A\x08リュール\nLaquelle ?\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x02\x0A\x08ルミエル\nJ'avais promis de t'offrir un cadeau\nd'anniversaire qui te conviendrait parfaitement.\x0E\x04\x02\x00
MID_ED1_#018	Je m'en occupais dans le plus grand secret,\nmais je n'ai pu l'achever... à temps.\x0E\x04\x02\x00
MID_ED1_#019	Ton anniversaire est passé depuis fort\nlongtemps, mais j'aimerais te l'offrir maintenant.\x0E\x04\x00\x00
MID_ED1_#020	\x0E\x03\x02\x0A\x08リュール\nJe suis désolé\x0E\x0A\x00\x06
MID_ED1_#021	\x0E\x03\x02\x0A\x08ルミエル\nPourquoi ?\x0E\x04\x00\x00
MID_ED1_#022	\x0E\x03\x02\x0A\x08リュール\nCet anneau représente une promesse...\nUne promesse dont je ne me souviens\nmême pas.\x0E\x04\x02\x00
MID_ED1_#023	C'est comme si ce cadeau était destiné\nà quelqu'un d'autre. Je me sentirais mal\nà l'aise si je l'acceptais.\x0E\x04\x02\x00
MID_ED1_#024	Faites-moi à nouveau ce présent lorsque\ntous mes souvenirs auront refait surface.\x0E\x04\x00\x00
MID_ED1_#025	\x0E\x03\x02\x0A\x08ルミエル\nTous tes souvenirs, dis-tu...\x0E\x04\x02\x00
MID_ED1_#026	...\x0E\x04\x02\x00
MID_ED1_#027	T'es-tu rappelé\x0E\x0A\x00\x06
MID_ED1_#028	\x0E\x03\x02\x0A\x08リュール\nNon, rien ne m'est revenu. Je suis désolé\x0E\x0A\x00\x06
MID_ED1_#029	\x0E\x03\x02\x0A\x08ルミエル\nTu n'as pas à t'excuser. Peu importe ce dont\ntu te souviens pour le moment...\x0E\x04\x02\x00
MID_ED1_#030	Mon seul souhait est qu'un jour vienne où\ntu me considères comme ta mère.\x0E\x04\x02\x00
MID_ED1_#031	Comme tu le faisais il y a mille ans...\x0E\x04\x00\x00
MID_ED1_#032	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_ED1_#033	\x0E\x03\x02\x0A\x08ルミエル\nPardonne-moi. J'étais si excitée de passer\nà nouveau du temps avec toi.\x0E\x04\x02\x00
MID_ED1_#034	Je me suis laissé emporter par mes émotions,\nn'est-ce pas ?\x0E\x04\x00\x00
MID_ED1_#035	\x0E\x03\x02\x0A\x08リュール\nOh non. Il n'y a pas de mal.\x0E\x04\x00\x00
MID_ED1_#036	\x0E\x03\x02\x0A\x08ルミエル\nHa ha ! Je n'avais pas l'intention de te\nmettre mal à l'aise. Nous ferions mieux\nde nous arrêter là, tu ne crois pas ?\x0E\x04\x02\x00
MID_ED1_#037	Néanmoins, j'aimerais encore te parler demain.\x0E\x04\x02\x00
MID_ED1_#038	Qu'en dis-tu ? Promis juré ?\x0E\x04\x00\x00
MID_ED1_#039	\x0E\x03\x02\x0A\x08リュール\nHa ha ! C'est d'accord.\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ルミエル\x021\n\x0E\x03\x02\x0A\x08ルミエル\nHa ha !\x0E\x04\x02\x00
MID_ED3_#002	C'est si merveilleux que mon enfant se soit\nenfin réveillé\x0E\x0A\x00\x06
MID_ED3_#003	Nous avons tant à rattraper, tant à faire\n\x0E\x0A\x00\x18\x08tous\x0Ctoutes les deux !\x0E\x04\x02\x00
MID_ED3_#004	Converser des heures durant, partir pour de\nlongues promenades, partager de bons repas...\x0E\x04\x02\x00
MID_ED3_#005	Mais si sa mémoire ne lui revient pas,\nje me demande si...\x0E\x04\x02\x00
MID_ED3_#006	...\x0E\x04\x02\x00
MID_ED3_#007	Emblème Sigurd...\x0E\x04\x00\x00
MID_ED3_#008	\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nJe suis là.\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x02\x0A\x08ルミエル\nJ'aimerais m'entretenir d'une chose avec vous.\x0E\x04\x00\x00
MID_ED4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nVoilà ce qui s'appelle une journée bien remplie.\x0E\x04\x02\x00
MID_ED4_#002	La reine Lumera semble si gentille et\nattentionnée. Elle devait être une mère\ntout à fait merveilleuse.\x0E\x04\x02\x00
MID_ED4_#003	Si seulement je pouvais me souvenir\nde cette époque.\x0E\x04\x02\x00
MID_ED4_#004	Je devais me sentir si privilégié\x0E\x0A\x00\x06
