MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04不明\x021\n\x0E\x03\x02\x06\x04不明\nDoit-on conserver son innocence, en s'attachant\naux préceptes enseignés par sa maison ?\x0E\x04\x02\x00
MID_BT25_#004	\x0E\x03\x02\x16\x14E005_Hide2\nC'est une opportunité unique de réaliser tout\nce que je n'ai pas pu faire de mon vivant !\x0E\x04\x02\x00
MID_BT25_#005	\x0E\x05\x01"\x14E005_Hide2\nSmile\nEt puis, être une Aberration a ses avantages.\nN'écouter que ses propres désirs, sans frein,\nni barrière...\x0E\x04\x02\x00
MID_BT25_#006	\x0E\x05\x01\x1E\x14E005_Hide2\x06Shy\nAffranchi de toute empathie, de toute retenue...\nJe peux ainsi vous exterminer sans le moindre\nremords !\x0E\x04\x00\x00
MID_BT19_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE006_エル\x02t\n\x0E\x05\x01\x18\x0EE006_エル\x06Sad\n\x0E\x03\x02\x10\x0EE006_エル\nCette apparence que tu endosses me rappelle\ncelle de Sombron.\x0E\x04\x02\x00
MID_BT19_#002	Je comprends ce que tu as dû ressentir,\nen me voyant me transformer de la sorte.\x0E\x04\x00\x00
MID_BT19_#003	\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01 \x12E005_Boss\nAngry\n\x0E\x03\x02\x14\x12E005_Boss\nÉpargne-moi tes comparaisons et ta\ncommisération, toi qui es née avec\ntous les dons !\x0E\x04\x02\x00
MID_BT19_#004	Tu ne comprendras jamais. Même si tu restes\nmille ans à mes côtés.\x0E\x04\x00\x00
MID_BT19_#005	\x0E\x03\x02\x10\x0EE006_エル\nJe n'ai certes pas été ta sœur pendant\naussi longtemps...\x0E\x04\x02\x00
MID_BT19_#006	\x0E\x05\x01 \x0EE006_エル\x0ESerious\nMais cela était suffisant pour comprendre\nà quel point je tenais à toi.\x0E\x04\x02\x00
MID_BT19_#007	\x0E\x05\x01\x1A\x0EE006_エル\x08Pain\nMets fin à cette folie, Nil. Le règne de Sombron\nappartient au passé.\x0E\x04\x02\x00
MID_BT19_#008	Je t'en conjure. Je ne peux supporter l'idée\nde te perdre.\x0E\x04\x00\x00
MID_BT20_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01 \x12E005_Boss\nSmile\n\x0E\x03\x02\x14\x12E005_Boss\nMon rêve se réalise enfin. Je suppose que\nje dois vous remercier, Votre Divinité.\x0E\x04\x02\x00
MID_BT20_#002	\x0E\x05\x01 \x12E005_Boss\nAngry\nCe monde va sombrer, grâce à vous !\x0E\x04\x00\x00
MID_BT20_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1A\x08リュール\x0ESerious\n\x0E\x03\x02\x0A\x08リュール\nVous avez raison. Tout ce qui est survenu\nest dû à mon arrivée ici.\x0E\x04\x02\x00
MID_BT20_#004	\x0E\x05\x01 \x12E005_Boss\nSmile\n\x0E\x05\x01\x12\x08リュール\x06Sad\nEt en retirant la protection qui scellait le dernier\nbracelet, il se peut que j'aie en effet condamné\nce monde.\x0E\x04\x02\x00
MID_BT20_#005	\x0E\x05\x01\x16\x08リュール\nAngry\nMais j'ai été invoqué\x0E\x0A\x00\x06
MID_BT20_#006	\x0E\x05\x01 \x12E005_Boss\nAngry\n\x0E\x03\x02\x14\x12E005_Boss\nJe n'ai nul besoin d'être sauvé. Vous regarder\nmourir après avoir précipité la perte de ce\nmonde sera une jubilation suffisante !\x0E\x04\x00\x00
MID_BT20_#007	\x0E\x05\x01\x1A\x08リュール\x0ESerious\n\x0E\x03\x02\x0A\x08リュール\nJe ne suis pas ici pour sauver ce monde,\nmais ceux qui l'habitent.\x0E\x04\x02\x00
MID_BT20_#008	\x0E\x05\x01\x16\x08リュール\nAngry\nQuelqu'un a intercédé pour réclamer votre\nsalut, même si ce monde est voué à disparaître.\x0E\x04\x02\x00
MID_BT20_#009	Ne voyez-vous pas que des gens vous\nestiment ? Si je dois vous anéantir pour\nvous le faire comprendre, je n'hésiterai pas !\x0E\x04\x00\x00
MID_BT21_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01 \x12E005_Boss\nSmile\n\x0E\x03\x02\x14\x12E005_Boss\nTremblez, Zelestia... et admirez la puissance\nd'un véritable dragon !\x0E\x04\x00\x00
MID_BT21_#002	\x0E\x03\x00\x1C\x16E006_セレスティア\x02t\n\x0E\x05\x01 \x16E006_セレスティア\x06Sad\n\x0E\x03\x02\x18\x16E006_セレスティア\nMessire Nil... Votre forme parviendrait presque\nà impressionner un dragon mage tel que moi.\x0E\x04\x02\x00
MID_BT21_#003	Votre puissance est peut-être sans pareille,\nmais la solitude finira par vous frapper...\x0E\x04\x02\x00
MID_BT21_#004	N'avoir personne à ses côtés n'est pas aussi\nlibérateur que vous le pensez, croyez-moi...\x0E\x04\x00\x00
MID_BT21_#005	\x0E\x05\x01"\x12E005_Boss\x0CNormal\n\x0E\x03\x02\x14\x12E005_Boss\nJe n'éprouve rien de la sorte... contrairement\nà vous, qui avez perdu l'un de vos Zéphyrs.\x0E\x04\x02\x00
MID_BT21_#006	\x0E\x05\x01 \x12E005_Boss\nSmile\nMais je vous enverrai bientôt le rejoindre !\x0E\x04\x00\x00
MID_BT21_#007	\x0E\x05\x01(\x16E006_セレスティア\x0ESerious\n\x0E\x03\x02\x18\x16E006_セレスティア\nMauvier, j'étais prête à mourir avec toi, oui...\nmais je ne peux gâcher le don que tu m'as fait.\x0E\x04\x02\x00
MID_BT21_#008	\x0E\x05\x01$\x16E006_セレスティア\nAngry\nVos exactions ont redonné un sens à mon\ncombat. Je vous empêcherai de nuire !\x0E\x04\x00\x00
MID_BT22_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01"\x12E005_Boss\x0CNormal\n\x0E\x03\x02\x14\x12E005_Boss\nEh bien, vous ne détalez pas, comme\nà votre habitude ? Mon aspect n'est\npas assez terrifiant à votre goût ?\x0E\x04\x02\x00
MID_BT22_#002	\x0E\x05\x01 \x12E005_Boss\nSmile\nOu avez-vous enfin accepté l'inéluctabilité\nde votre mort ? Je ferai en sorte qu'elle soit\nsans douleur.\x0E\x04\x00\x00
MID_BT22_#003	\x0E\x03\x00\x1A\x14E006_グレゴリー\x02t\n\x0E\x05\x01\x1E\x14E006_グレゴリー\x06Shy\n\x0E\x03\x02\x16\x14E006_グレゴリー\nSi vous comptez m'achever, ne m'épargnez\naucune douleur. Je refuse une mort douce.\x0E\x04\x02\x00
MID_BT22_#004	\x0E\x05\x01 \x14E006_グレゴリー\x08Pain\nLa douleur, l'effroi... Mauvier a ressenti cela\nsans vaciller. Moi, j'ai la chance d'être en vie !\x0E\x04\x02\x00
MID_BT22_#005	\x0E\x05\x01"\x14E006_グレゴリー\nAngry\nSa perte me dévaste... comme elle devrait vous\ndévaster. Ce chevalier était le vôtre, après tout !\x0E\x04\x00\x00
MID_BT22_#006	\x0E\x05\x01 \x12E005_Boss\nRelax\n\x0E\x03\x02\x14\x12E005_Boss\nMe voir verser quelques larmes vous\napaiserait-il vraiment ?\x0E\x04\x00\x00
MID_BT22_#007	\x0E\x03\x02\x16\x14E006_グレゴリー\nOh, j'espère vous en faire verser, oui... Car vous\nêtes bien le même Nil que j'ai connu.\x0E\x04\x02\x00
MID_BT22_#008	Après vous avoir anéanti, je réveillerai en vous\ntous vos souvenirs, jusqu'à ce que le chagrin\nvous submerge !\x0E\x04\x02\x00
MID_BT22_#009	En tant que commandant en second des Quatre\nZéphyrs, je vous en fais la promesse !\x0E\x04\x00\x00
MID_BT23_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01"\x12E005_Boss\x0CNormal\n\x0E\x03\x02\x14\x12E005_Boss\nMauvier est mort. Votre soif de vengeance\ndoit être insoutenable.\x0E\x04\x02\x00
MID_BT23_#002	\x0E\x05\x01 \x12E005_Boss\nSmile\nDéchaînez votre haine contre moi. Faites couler\nmon sang... avant que je ne vous vide du vôtre !\x0E\x04\x00\x00
MID_BT23_#003	\x0E\x03\x00\x1A\x14E006_マデリーン\x02t\n\x0E\x05\x01 \x14E006_マデリーン\x08Pain\n\x0E\x03\x02\x16\x14E006_マデリーン\nDétrompez-vous, je n'éprouve aucune rancœur\nà votre endroit, ni regret pour ce qui est advenu.\x0E\x04\x02\x00
MID_BT23_#004	Je suis un chevalier, comme mon mentor\navant moi. Et j'accepte mon destin.\x0E\x04\x00\x00
MID_BT23_#005	\x0E\x05\x01 \x12E005_Boss\nRelax\n\x0E\x03\x02\x14\x12E005_Boss\nVous n'éprouvez pas le moindre ressentiment ?\nJe n'en crois pas un traître mot !\x0E\x04\x00\x00
MID_BT23_#006	\x0E\x05\x01&\x12E005_Boss\x10Surprise\n\x0E\x03\x02\x16\x14E006_マデリーン\nVous ne l'avez pas tué. Mauvier a décidé\nd'offrir sa vie pour nous protéger.\x0E\x04\x02\x00
MID_BT23_#007	\x0E\x05\x01"\x14E006_マデリーン\nAngry\n\x0E\x05\x01 \x12E005_Boss\nAngry\nPour honorer son noble sacrifice, je mettrai fin\nà vos machinations.\x0E\x04\x02\x00
MID_BT23_#008	Ce n'est que justice. Comme il l'aurait souhaité.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x18\x12E005_Boss\x021\n\x0E\x03\x00\x14\x0EE006_エル\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x00\x1C\x16E006_セレスティア\x024\n\x0E\x03\x02\x0A\x08リュール\nLes bracelets... Qu'est-il advenu d'eux ?\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x10\x0EE006_エル\nIls disparaissent une fois leur mission remplie.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x0A\x08リュール\nNous ne les reverrons plus, alors...\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x14\x12E005_Boss\nPourquoi... Pourquoi ?! Même avec le\npouvoir des bracelets, je suis incapable\nde l'emporter sur toi !\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x10\x0EE006_エル\nJ'espère que tu comprends, à présent.\x0E\x04\x02\x00
MID_ED1_#006	La voie tracée pour toi par Sombron n'a jamais\nété la bonne.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x14\x12E005_Boss\nSi je ne suis à même d'accomplir les volontés\nde Père... alors mon existence n'a aucun sens.\x0E\x04\x02\x00
MID_ED1_#008	Toute ma vie, j'ai cherché ma place... et je\ndécouvre que je suis complètement inutile.\x0E\x04\x02\x00
MID_ED1_#009	Je ne pourrai jamais être comme toi.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x10\x0EE006_エル\nTu n'es pas inutile. Tu es unique, tu es mon\nfrère jumeau. Et nous sommes deux moitiés\ninséparables.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x14\x12E005_Boss\nQuelle absurdité... Je te le répète, je ne suis pas\nNil.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x10\x0EE006_エル\nJe le sais.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nCe n'est pas Nil ? Comment cela ?\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x18\x16E006_セレスティア\nJe ne comprends pas... Qu'est-il arrivé\nau vrai Nil ?\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x14\x12E005_Boss\nIl est mort au combat il y a de cela mille ans,\npeu après que Nel lui a remis sa dracopierre.\x0E\x04\x02\x00
MID_ED1_#016	Il voulait tant faire la fierté de sa sœur...\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x02\x0A\x08リュール\nDans ce cas... qui êtes-vous ?\x0E\x04\x00\x00
MID_ED1_#018	\x0E\x03\x02\x14\x12E005_Boss\nJe suis un Dragon déchu ayant perdu\nson jumeau à un très jeune âge.\x0E\x04\x02\x00
MID_ED1_#019	Enfant, j'étais solitaire et sans aucune capacité\nparticulière pour me distinguer des autres,\nqui avaient tous leur jumeau.\x0E\x04\x02\x00
MID_ED1_#020	Jusqu'à ce que je rencontre Nil.\nIl était comme mon reflet.\x0E\x04\x02\x00
MID_ED1_#021	Notre ressemblance était frappante, mais\nnous nous sommes découvert d'autres\npoints communs.\x0E\x04\x02\x00
MID_ED1_#022	Pendant un temps, nous étions inséparables.\nC'était comme si j'avais retrouvé un frère...\x0E\x04\x02\x00
MID_ED1_#023	Un véritable frère jumeau.\x0E\x04\x00\x00
MID_ED1_#024	\x0E\x03\x02\x10\x0EE006_エル\n...\x0E\x04\x00\x00
MID_ED1_#025	\x0E\x03\x02\x14\x12E005_Boss\nDu moins, c'était ainsi que je voyais les choses.\nCar lui ne pensait toujours qu'à Nel.\x0E\x04\x02\x00
MID_ED1_#026	Le jour où je l'ai retrouvé sur le champ de\nbataille, ses dernières paroles ont été pour elle.\x0E\x04\x02\x00
MID_ED1_#027	Il m'a alors remis sa dracopierre, me disant que\nNel ne devait pas souffrir à cause de lui.\x0E\x04\x02\x00
MID_ED1_#028	C'est la raison pour laquelle... il m'a demandé\nde prendre sa place.\x0E\x04\x00\x00
MID_ED1_#029	\x0E\x03\x02\x0A\x08リュール\nC'est ainsi que vous avez pris l'identité de Nil...\x0E\x04\x00\x00
MID_ED1_#030	\x0E\x03\x02\x14\x12E005_Boss\nJ'ai fait passer sa mort pour la mienne ce\njour-là. En un sens, c'était un peu vrai...\x0E\x04\x02\x00
MID_ED1_#031	Personne n'aurait pleuré ma disparition.\nEt Père l'aurait à peine remarquée.\x0E\x04\x00\x00
MID_ED1_#032	\x0E\x03\x02\x18\x16E006_セレスティア\nJ'ai du mal à croire à toute cette histoire...\x0E\x04\x00\x00
MID_ED1_#033	\x0E\x03\x02\x14\x12E005_Boss\nCroyez-moi. Je ne suis qu'un imposteur.\nVous ne devez pas hésiter à m'achever.\x0E\x04\x02\x00
MID_ED1_#034	J'ai mené ce monde vers sa ruine...\nSi vous ne m'arrêtez pas aujourd'hui,\nje recommencerai demain.\x0E\x04\x02\x00
MID_ED1_#035	Cette raison me semble suffisante.\nN'est-ce pas, Nel ?\x0E\x04\x00\x00
MID_ED1_#036	\x0E\x03\x02\x10\x0EE006_エル\nJ'ai toujours su que tu n'étais pas Nil.\x0E\x04\x00\x00
MID_ED1_#037	\x0E\x03\x02\x14\x12E005_Boss\nQue dis-tu ?\x0E\x04\x00\x00
MID_ED1_#038	\x0E\x03\x02\x10\x0EE006_エル\nJ'ai su depuis longtemps qu'il avait péri.\x0E\x04\x02\x00
MID_ED1_#039	J'ai compris ton subterfuge dès le départ.\nJ'ai simplement choisi de l'accepter.\x0E\x04\x02\x00
MID_ED1_#040	Tu as pris sa place pour honorer sa volonté et\nme protéger. En un sens, tu as agi par bonté.\x0E\x04\x02\x00
MID_ED1_#041	Bien que nous ne soyons pas nés jumeaux,\nje t'ai toujours considéré comme mon autre\nmoitié.\x0E\x04\x00\x00
MID_ED1_#042	\x0E\x03\x02\x14\x12E005_Boss\nDans ce cas... tu es bien plus stupide\nque ce que je croyais !\x0E\x04\x00\x00
MID_ED1_#043	\x0E\x03\x02\x10\x0EE006_エル\nCrois ce que tu veux. Je parle sincèrement.\x0E\x04\x02\x00
MID_ED1_#044	Te rappelles-tu quand nous nous sommes\nrendus au cimetière de Lythos pour y faire\nnos adieux ?\x0E\x04\x02\x00
MID_ED1_#045	Tu n'as peut-être pas remarqué la fleur séchée\nposée là... Je l'ai laissée en mémoire de Nil.\x0E\x04\x02\x00
MID_ED1_#046	Je n'ai pas seulement fait mes adieux\nau Dragon divin, ce jour-là...\x0E\x04\x00\x00
MID_ED1_#047	\x0E\x03\x02\x0A\x08リュール\nVous les avez aussi adressés à Nil.\x0E\x04\x00\x00
MID_ED1_#048	\x0E\x03\x02\x10\x0EE006_エル\nJ'ai conservé cette fleur pendant longtemps.\nJe suppose qu'une partie de moi ne pouvait\nse résoudre à tourner la page.\x0E\x04\x02\x00
MID_ED1_#049	Malgré cela, je me suis vraiment prise\nd'affection pour toi.\x0E\x04\x02\x00
MID_ED1_#050	Ta compagnie m'a sauvée de la solitude et\ndu désespoir. J'étais heureuse d'être ta sœur.\x0E\x04\x02\x00
MID_ED1_#051	Je chérirai toujours nos moments passés\nensemble, quand bien même tu ne partages\npas mes sentiments.\x0E\x04\x02\x00
MID_ED1_#052	Sans toi, je n'aurais pas été capable de\ncontinuer à me battre pendant tout ce temps.\x0E\x04\x02\x00
MID_ED1_#053	J'avais confiance en toi plus qu'en nul autre.\nJe croyais en toi de tout mon cœur.\x0E\x04\x02\x00
MID_ED1_#054	J'ai toutefois failli à deviner tes véritables\nintentions, comme l'aurait fait une véritable\nsœur jumelle.\x0E\x04\x00\x00
MID_ED1_#055	\x0E\x03\x02\x14\x12E005_Boss\nPeut-être bien... Quoi qu'il en soit, j'ai attendu\nlongtemps d'entendre ces paroles. Je ne\npouvais rêver mieux pour mes adieux.\x0E\x04\x02\x00
MID_ED1_#056	Es-tu prête ?\x0E\x04\x00\x00
MID_ED1_#057	\x0E\x03\x02\x10\x0EE006_エル\nOui.\x0E\x04\x00\x00
MID_ED1_#058	\x0E\x03\x02\x14\x12E005_Boss\nMerci. Pour tout.\x0E\x04\x02\x00
MID_ED1_#059	Adieu, Nel.\x0E\x04\x00\x00
MID_ED1_#060	\x0E\x03\x02\x10\x0EE006_エル\nAdieu...\x0E\x04\x02\x00
MID_ED1_#061	Ngh...\x0E\x04\x00\x00
MID_ED1_#062	\x0E\x03\x02\x14\x12E005_Boss\nArrête ! Que fais-tu ?!\x0E\x04\x00\x00
MID_ED1_#063	\x0E\x03\x02\x0A\x08リュール\nNel ?!\x0E\x04\x00\x00
MID_ED1_#064	\x0E\x03\x02\x10\x0EE006_エル\nIl y a une autre manière de... mettre fin\nà tes souffrances...\x0E\x04\x02\x00
MID_ED1_#065	Sans moi... tu seras libre.\x0E\x04\x02\x00
MID_ED1_#066	Et je préfère mourir que de perdre quelqu'un\nd'autre...\x0E\x04\x00\x00
MID_ED1_#067	\x0E\x03\x02\x14\x12E005_Boss\nNel !\x0E\x04\x02\x00
MID_ED1_#068	\x0E\x03\x02\x10\x0EE006_エル\nSi j'avais réalisé cela plus tôt... J'aurais\npu l'empêcher...\x0E\x04\x02\x00
MID_ED1_#069	J'espère juste pouvoir retrouver Nil...\net mon Dragon divin peut-être...\x0E\x04\x02\x00
MID_ED1_#070	Je peux reposer en paix... en te sachant libéré\nde ta souffrance...\x0E\x04\x00\x00
MID_ED1_#071	\x0E\x03\x02\x14\x12E005_Boss\nPourquoi avoir fait cela ? C'est moi qui méritais\nce sort, pas toi.\x0E\x04\x02\x00
MID_ED1_#072	Tu aurais dû m'achever !\x0E\x04\x00\x00
MID_ED1_#073	\x0E\x03\x02\x10\x0EE006_エル\nJe ne pouvais te perdre une autre fois...\nToi... mon frère...\x0E\x04\x02\x00
MID_ED1_#074	Avant de partir... me diras-tu... ton nom ?\x0E\x04\x02\x00
MID_ED1_#075	...\x0E\x04\x00\x00
MID_ED1_#076	\x0E\x03\x02\x18\x16E006_セレスティア\nDame Nel ! Non, je vous en prie !\x0E\x04\x00\x00
MID_ED1_#077	\x0E\x03\x02\x0A\x08リュール\nElle est...\x0E\x04\x00\x00
MID_ED1_#078	\x0E\x03\x00"\x1Cデモ用_竜石なし_ラファール\x021\n\x0E\x06\x00.\x1Cデモ用_竜石なし_ラファール\x0EMPID_Il\n\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nElle est partie.\x0E\x04\x02\x00
MID_ED1_#079	Sans prononcer le moindre reproche.\nNi le moindre regret.\x0E\x04\x02\x00
MID_ED1_#080	Elle voulait juste... connaître mon nom...\x0E\x04\x02\x00
MID_ED1_#081	...\x0E\x04\x02\x00
MID_ED1_#082	\x0E\x06\x006\x1Cデモ用_竜石なし_ラファール\x16MPID_Rafale\n\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nRafal, ma sœur.\x0E\x04\x02\x00
MID_ED1_#083	Mon nom est Rafal.\x0E\x04\x00\x00
MID_ED1_#084	\x0E\x03\x02\x0A\x08リュール\nRafal...\x0E\x04\x00\x00
MID_ED1_#085	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nComment ai-je pu en arriver là ?\x0E\x04\x02\x00
MID_ED1_#086	Nil m'a demandé de veiller sur sa sœur.\nC'était son ultime souhait.\x0E\x04\x02\x00
MID_ED1_#087	Mais c'était aussi le mien.\x0E\x04\x02\x00
MID_ED1_#088	Je ne désirais qu'une chose.\nÊtre sa véritable moitié.\x0E\x04\x02\x00
MID_ED1_#089	Avais-je enfoui à ce point ces sentiments ?\x0E\x04\x02\x00
MID_ED1_#090	Tu disais que ma souffrance cesserait, Nel...\nmais il n'en est rien.\x0E\x04\x02\x00
MID_ED1_#091	Comment pourrait-elle cesser ?!\x0E\x04\x00\x00
MID_ED1_#092	\x0E\x03\x02\x0A\x08リュール\nJe perçois quelque chose... Les fragments de\nla dracopierre... Une étrange énergie en émane.\x0E\x04\x00\x00
MID_ED1_#093	\x0E\x03\x02\x18\x16E006_セレスティア\nIl s'agit de la magie de Sombron. Se pourrait-il\nqu'il ait placé un sort sur cette dracopierre ?\x0E\x04\x02\x00
MID_ED1_#094	Un sort visant à attiser la haine dans le cœur de\nMessire Nil... enfin, de Messire Rafal.\x0E\x04\x02\x00
MID_ED1_#095	Les dracopierres se détruisent à la mort de\nleur détenteur. En offrant sa vie, Dame Nel\na levé le maléfice.\x0E\x04\x00\x00
MID_ED1_#096	\x0E\x03\x02\x0A\x08リュール\nSombron vous a poussés à vous opposer l'un\nl'autre, pour éviter que vous ne complotiez\nensemble contre lui.\x0E\x04\x00\x00
MID_ED1_#097	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nCela n'a aucun sens.\x0E\x04\x02\x00
MID_ED1_#098	Vous voulez dire que j'étais l'instrument d'un\nsort ? Et que je n'ai rien à me reprocher ?\x0E\x04\x02\x00
MID_ED1_#099	Je ne peux l'admettre !\x0E\x04\x02\x00
MID_ED1_#100	Quelle qu'ait pu être l'influence de Sombron,\nje demeure responsable de mes propres actions.\x0E\x04\x02\x00
MID_ED1_#101	J'ai agi délibérément. Comme je l'entendais.\x0E\x04\x02\x00
MID_ED1_#102	Personne d'autre ne portera la responsabilité\nde mes actes. Pas même Père.\x0E\x04\x00\x00
MID_ED1_#103	\x0E\x03\x02\x0A\x08リュール\n... !\x0E\x04\x00\x00
MID_ED1_#104	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nJ'ai convoité le pouvoir, et je m'en suis emparé.\nMême à présent, je n'éprouve aucun remords.\x0E\x04\x02\x00
MID_ED1_#105	Mon seul regret est de ne pas avoir pu tenir\nla promesse que j'avais faite à Nil.\x0E\x04\x02\x00
MID_ED1_#106	...\x0E\x04\x02\x00
MID_ED1_#107	Votre Divinité.\x0E\x04\x00\x00
MID_ED1_#108	\x0E\x03\x02\x0A\x08リュール\nQu'y a-t-il ?\x0E\x04\x00\x00
MID_ED1_#109	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nJ'ai entendu dire que les dragons les plus\npuissants peuvent léguer leur force vitale\naux autres...\x0E\x04\x02\x00
MID_ED1_#110	Pensez-vous que cela soit vrai ?\x0E\x04\x00\x00
MID_ED1_#111	\x0E\x03\x02\x0A\x08リュール\nOui... C'est ce que ma mère a fait pour moi.\nMais il a fallu un millénaire avant que je ne\nme réveille à nouveau.\x0E\x04\x00\x00
MID_ED1_#112	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nAlors je vais faire de même. Je rendrai la vie\nà Nel, même si je dois attendre aussi longtemps.\x0E\x04\x02\x00
MID_ED1_#113	Je resterai seul en ce monde, dans l'espoir\nqu'elle se réveille enfin.\x0E\x04\x02\x00
MID_ED1_#114	Cette pénitence sera à la hauteur de mes actes.\x0E\x04\x02\x00
MID_ED1_#115	Peut-être alors... Si tu viens à te réveiller\nun jour...\x0E\x04\x02\x00
MID_ED1_#116	Nous serons enfin deux moitiés inséparables,\ncomme nous le souhaitions.\x0E\x04\x00\x00
MID_ED1_#117	\x0E\x03\x02\x0A\x08リュール\nN'en doutez point.\x0E\x04\x02\x00
MID_ED1_#118	En fait... Vous l'êtes déjà.\x0E\x04\x00\x00
MID_ED1_#119	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nVous le pensez vraiment...\x0E\x04\x00\x00
MID_ED1_#120	\x0E\x03\x02\x0A\x08リュール\nRafal, quand Nel se réveillera... Pourquoi ne pas\nme rejoindre dans mon monde, mon Elyos ?\x0E\x04\x00\x00
MID_ED1_#121	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nQue dites-vous ?\x0E\x04\x00\x00
MID_ED1_#122	\x0E\x03\x02\x0A\x08リュール\nJ'ai le sentiment que vous trouverez\nun moyen d'atteindre Somniel.\x0E\x04\x02\x00
MID_ED1_#123	C'est difficile à expliquer, mais c'est comme si\nmon monde semblait... plus proche, à présent.\x0E\x04\x00\x00
MID_ED1_#124	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nOui... On dirait qu'un passage vers d'autres\nmondes s'est ouvert. C'est peut-être lié\naux bracelets.\x0E\x04\x02\x00
MID_ED1_#125	La conquête d'autres mondes faisait partie\ndu plan de mon père, après tout. Je portais\nmoi-même ce désir...\x0E\x04\x02\x00
MID_ED1_#126	Vous avez raison. Il devrait être possible de\nvoyager d'un monde à l'autre depuis ce lieu.\x0E\x04\x00\x00
MID_ED1_#127	\x0E\x03\x02\x0A\x08リュール\nJe vous accorde à tous deux ma protection pour\nvoyager jusqu'à moi, le jour où vous serez prêts.\x0E\x04\x02\x00
MID_ED1_#128	Nul ne peut entrer à Somniel sans la bénédiction\ndu Dragon divin.\x0E\x04\x02\x00
MID_ED1_#129	Je vous attendrai. J'espère que vous accepterez\ncette invitation, quel que soit le temps écoulé.\x0E\x04\x00\x00
MID_ED1_#130	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nVous me proposez de me joindre à vous,\nmoi qui me suis attelé à vous éliminer ?\x0E\x04\x02\x00
MID_ED1_#131	Si vous vous attendez à une réponse immédiate,\nalors je refuse catégoriquement.\x0E\x04\x02\x00
MID_ED1_#132	Mais dans mille ans, qui sait ?\x0E\x04\x02\x00
MID_ED1_#133	Je vous promets que si, par miracle, ma sœur\nse réveille et m'accorde son pardon...\x0E\x04\x02\x00
MID_ED1_#134	Alors, et uniquement dans ce cas,\nje viendrai à vous.\x0E\x04\x00\x00
MID_ED1_#135	\x0E\x03\x02\x0A\x08リュール\nEntendu.\x0E\x04\x00\x00
MID_ED1_#136	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nBien, tout a été dit. Laissez-moi, à présent.\x0E\x04\x00\x00
MID_ED1_#137	\x0E\x03\x02\x0A\x08リュール\nComme vous le souhaitez. J'espère que nous\nnous reverrons un jour.\x0E\x04\x00\x00
MID_ED1_#138	\x0E\x03\x02\x18\x16E006_セレスティア\nMessire Rafal ?\x0E\x04\x00\x00
