MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06セピア\x021\x0E\x03\x02\x08\x06セピア\nAuf einem Schlachtfeld fern von allem, was Ihr\nkennt – wie werdet Ihr Eure Tapferkeit beweisen?\x0E\x04\x02\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01 \x12E002_Hide\nAngry\n\x0E\x03\x02\x14\x12E002_Hide\nJa, rückt vor. Und verstärkt eure Waffen, damit\nwir diese Narren auslöschen können.\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\nEs geht los. Leihe uns deine Stärke, Emblem\nHector!\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\nKommt und zeigt uns, wie mutig ihr seid. Ihr\nwerdet es auf keinen Fall schaffen, den eigen-\nwilligen General zu besiegen.\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01\x1E\x12E002_Boss\x08Pain\n\x0E\x03\x02\x14\x12E002_Boss\nIch wusste von Anfang an... dass ich den\nArmring am Ende des Krieges hätte zurück-\ngeben sollen...\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01$\x12E002_Hide\x0EStandBy\n\x0E\x03\x02\x14\x12E002_Hide\nFirene ist alles, was zählt. Vernichtet alle, die\nsich Firene entgegenstellen!\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01\x1E\x12E002_Hide\x08Pain\n\x0E\x03\x02\x14\x12E002_Hide\nNein... Das ist kann nicht stimmen. Wir sollten\ndoch gewinnen. Ich sollte doch glücklich sein...\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\nMoment... Bist du... ich? Was geht hier vor?\nIst dies eine verdammte Illusion des Dämonen-\ndrachen?\x0E\x04\x00\x00
MID_BT5_#002	\x0E\x03\x00\x12\x0Cアルフレッド\x02t\n\x0E\x05\x01\x16\x0Cアルフレッド\x06Sad\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHmm... Der Alfred dieser Welt sieht auch nicht\nso muskulös aus. Ha.\x0E\x04\x02\x00
MID_BT5_#003	Ob es in einer anderen Welt auch schwer für\nmich ist, Muskeln aufzubauen?\x0E\x04\x00\x00
MID_BT5_#004	\x0E\x03\x02\x14\x12E002_Boss\nWas um alles in der Welt ist das für ein falsches\nSpiel? Solltest du eine Illusion sein, befehle ich\ndir, zu verschwinden!\x0E\x04\x00\x00
MID_BT5_#005	\x0E\x05\x01\x1A\x0Cアルフレッド\nSmile\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHui, er hat mehr Tatkraft, als ich dachte. Ich\nfreue mich schon darauf, gegen mich selbst zu\nkämpfen.\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01&\x12E002_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E002_Boss\nCéline? Warum kämpfst du auf der Seite des\nFeindes? Nein, meine Augen müssen mich\ntäuschen...\x0E\x04\x00\x00
MID_BT7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01\x1E\x12E002_Boss\x08Pain\n\x0E\x03\x02\x14\x12E002_Boss\nOh, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche... Euch in so einem jammervollen\nZustand zu sehen, bricht mir das Herz.\x0E\x04\x02\x00
MID_BT7_#002	\x0E\x05\x01\x1C\x12E002_Boss\x06Sad\nEs ist solch eine Schande...\x0E\x04\x00\x00
MID_BT7_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x14\x08リュール\x08Pain\n\x0E\x03\x02\x0A\x08リュール\nAlfred, bitte. Hört mich an. Ich möchte\ndie Dinge für Euch nicht noch schwerer\nmachen, aber...\x0E\x04\x00\x00
MID_BT7_#004	\x0E\x05\x01\x1C\x12E002_Boss\x06Sad\n\x0E\x03\x02\x14\x12E002_Boss\nIch wette, Ihr wurdet gezwungen, das zu sagen.\n\x0E\x0A\x00P$Mein lieber Freund(Meine liebe Freundin... Habt keine Sorge. Ich\nwerde Euch helfen.\x0E\x04\x02\x00
MID_BT7_#005	\x0E\x05\x01 \x12E002_Boss\nAngry\nIch werde Euch gründlich auslöschen, sodass\nnicht mal mehr ein Körper zurückbleibt. So wird\nniemand mehr Euch zu etwas zwingen können.\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01&\x12E002_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E002_Boss\nBoucheron?! Du bist auch ein Verzerrter?\x0E\x04\x02\x00
MID_BT8_#002	\x0E\x05\x01\x1E\x12E002_Boss\x08Pain\nIch wollte dich so gerne mal wieder auf dem\nSchlachtfeld erleben... aber nicht so...\x0E\x04\x00\x00
MID_BT8_#003	\x0E\x03\x00\x10\nブシュロン\x02t\n\x0E\x05\x01\x14\nブシュロン\x06Sad\n\x0E\x03\x02\x0C\nブシュロン\nPrinz Alfred... Ist das Ich dieser Welt bereits...\x0E\x04\x00\x00
MID_BT8_#004	\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\nDu bist gestorben, als du mich verteidigt hast,\nund nun soll ich dich eigenhändig töten?\nVerdammt sollt ihr sein, Nel und Nil!\x0E\x04\x02\x00
MID_BT8_#005	Doch selbst wenn du ein Verzerrter bist, hoffe\nich, dass dich diese Worte erreichen. Du warst\nmir ein lieber Freund.\x0E\x04\x00\x00
MID_BT8_#006	\x0E\x03\x02\x0C\nブシュロン\nIch bin sicher, das Ich dieser Welt wäre dankbar\nfür Eure Worte...\x0E\x04\x00\x00
MID_BT9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01\x1E\x12E002_Boss\x08Pain\n\x0E\x03\x02\x14\x12E002_Boss\nEtie! Erst \x0E\x0A\x00\x10\x06die\x06der \x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott und nun du. Warum\ntauchen ausgerechnet jene wieder auf, die\nmir nahestanden?\x0E\x04\x02\x00
MID_BT9_#002	\x0E\x05\x01\x1C\x12E002_Boss\x06Sad\nIch war sogar außerstande die Blumen, die ich\nin Erinnerung an dich niedergelegt hatte, anzu-\nsehen. Es war zu schwer.\x0E\x04\x00\x00
MID_BT9_#003	\x0E\x03\x00\x10\nエーティエ\x02t\n\x0E\x05\x01\x14\nエーティエ\x06Sad\n\x0E\x03\x02\x0C\nエーティエ\nVergebt mir. Als Eure Getreue wäre es meine\nPflicht gewesen, Euch bis zum Ende zu\nbeschützen.\x0E\x04\x02\x00
MID_BT9_#004	\x0E\x05\x01\x18\nエーティエ\nAngry\nIch weiß, wie schwer es ist, mich so zu sehen.\nLasst uns diesen Kampf beenden, danach lasse\nich Euch in Ruhe.\x0E\x04\x00\x00
MID_BT9_#005	\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\nEtie, meine starke und edle Getreue. Bitte ruhe\nsanft...\x0E\x04\x00\x00
MID_BT10_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x02t\n\x0E\x05\x01\x16\x08セリーヌ\nAngry\n\x0E\x03\x02\x0A\x08セリーヌ\nIn Brodia einzumarschieren... Ich hätte niemals\neine dümmere Idee haben können. Öffne deine\nAugen, Céline!\x0E\x04\x00\x00
MID_BT10_#002	\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01&\x12E002_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E002_Hide\nWas willst du damit sagen? Bist du... ich?! Ist\ndas noch so ein Täuschungsversuch der\nDämonendrachen?\x0E\x04\x02\x00
MID_BT10_#003	\x0E\x05\x01 \x12E002_Hide\nAngry\nDeine Bitten bedeuten mir nichts. Zum Wohle\nmeines Volkes, verdunste wie der Morgentau!\x0E\x04\x00\x00
MID_BT10_#004	\x0E\x03\x02\x0A\x08セリーヌ\nAlles, was verdunsten wird, sind deine\nBestrebungen. Du solltest ernsthaft darüber\nnachdenken, was du tust.\x0E\x04\x02\x00
MID_BT10_#005	Du kannst Frieden nicht mit Krieg erkaufen.\x0E\x04\x00\x00
MID_BT11_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01"\x12E002_Hide\x0CStrike\n\x0E\x03\x02\x14\x12E002_Hide\nSie haben einen Verzerrten erschaffen, der wie\nAlfred aussieht? Wie abscheulich!\x0E\x04\x00\x00
MID_BT12_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01 \x12E002_Hide\nAngry\n\x0E\x03\x02\x14\x12E002_Hide\nIch werde gegenüber Verzerrten keine Gnade\nzeigen. Nicht mal Euch gegenüber. Allerdings...\nwollte ich immer schon gegen Euch kämpfen.\x0E\x04\x00\x00
MID_BT12_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nWarum wolltet Ihr das?\x0E\x04\x00\x00
MID_BT12_#003	\x0E\x05\x01\x1C\x12E002_Hide\x06Die\n\x0E\x03\x02\x14\x12E002_Hide\nWenn wir Verbündete wären, wäre es unvor-\nstellbar, darüber nachzudenken, wer bei einem\nKampf auf Leben und Tod gewinnen würde.\x0E\x04\x02\x00
MID_BT12_#004	\x0E\x05\x01 \x12E002_Hide\nSmile\nAber nun kann ich meine Neugier stillen. Ich bin\nja so froh! Eine Blume wie Ihr wird im Fall\nbesonders hübsch aussehen!\x0E\x04\x00\x00
MID_BT13_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01"\x12E002_Hide\x0CStatus\n\x0E\x03\x02\x14\x12E002_Hide\nEs ist schwer für mich, meinen einstigen\nGetreuen auf diesem Schlachtfeld zu sehen. Es\nist, als ob du ins Leben zurückgekehrt seist.\x0E\x04\x00\x00
MID_BT13_#002	\x0E\x03\x00\x0A\x04ルイ\x02t\n\x0E\x05\x01\x0E\x04ルイ\x06Sad\n\x0E\x03\x02\x06\x04ルイ\nIch hatte gehofft, Euch aus der Ferne betrach-\nten zu können. Aber das ist in einer Schlacht\nleichter gesagt als getan.\x0E\x04\x00\x00
MID_BT13_#003	\x0E\x05\x01\x1C\x12E002_Hide\x06Sad\n\x0E\x03\x02\x14\x12E002_Hide\nErinnerst du dich an den Tee, den du mir einst\nzubereitet hast? Seit deinem Tod bin ich nicht\nmehr in der Lage, Tee zu trinken.\x0E\x04\x02\x00
MID_BT13_#004	Ich kann mich nicht mehr daran erinnern, wie\nglücklich ich war. Könntest du meine Erinne-\nrungen wecken, bevor du ewig schlafen wirst?\x0E\x04\x00\x00
MID_BT13_#005	\x0E\x03\x02\x06\x04ルイ\nIch wünschte, ich könnte es. Doch... Ich habe\nnicht das Recht dazu, Prinzessin Céline...\x0E\x04\x00\x00
MID_BT14_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01&\x12E002_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E002_Hide\nChloé. Bist du es wirklich? Hast du irgendetwas\nauf deinem Erkundungsflug entdecken können?\x0E\x04\x00\x00
MID_BT14_#002	\x0E\x05\x01&\x12E002_Hide\x10Surprise\n\x0E\x03\x00\x0C\x06クロエ\x02t\n\x0E\x05\x01\x10\x06クロエ\x06Sad\n\x0E\x03\x02\x08\x06クロエ\nErkundungsflug? Wovon redet Ihr da?\x0E\x04\x00\x00
MID_BT14_#003	\x0E\x05\x01$\x12E002_Hide\x0ESerious\n\x0E\x03\x02\x14\x12E002_Hide\nOh... Deine Antwort sagt mir alles, was ich\nwissen muss. Dann bist du auch eine Verzerrte.\nDu bist bereits tot.\x0E\x04\x02\x00
MID_BT14_#004	\x0E\x05\x01\x1A\x06クロエ\x10Surprise\nChloé kam niemals von ihrer Mission zurück.\nIch hatte dennoch gehofft, sie würde vielleicht\nnoch leben, aber ich war eine Närrin!\x0E\x04\x02\x00
MID_BT14_#005	\x0E\x05\x01\x10\x06クロエ\x06Sad\n\x0E\x05\x01$\x12E002_Hide\x0EStandBy\nVon einem Dämonendrachenkind von deinem\nTod zu erfahren... Ich wollte dich niemals auf\ndiese Weise treffen!\x0E\x04\x00\x00
MID_BT14_#006	\x0E\x03\x02\x08\x06クロエ\nP-Prinzessin Céline... Es tut mir leid. Aber\nvielleicht wird sie...\x0E\x04\x02\x00
MID_BT14_#007	\x0E\x05\x01\x18\x06クロエ\x0ESerious\nNein. Ich werde nicht lügen und Euch sagen,\ndass sie vielleicht zurückkommen wird.\x0E\x04\x00\x00
MID_BT15_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01\x1E\x12E002_Hide\x08Pain\n\x0E\x03\x02\x14\x12E002_Hide\nEtie... Ich hatte eine Ahnung, dass ich dich hier\nvorfinden würde.\x0E\x04\x00\x00
MID_BT15_#002	\x0E\x03\x00\x10\nエーティエ\x02t\n\x0E\x05\x01\x14\nエーティエ\x06Sad\n\x0E\x03\x02\x0C\nエーティエ\nIch kann nicht behaupten, dass ich Euch\nhier überhaupt antreffen wollte.\x0E\x04\x00\x00
MID_BT15_#003	\x0E\x03\x02\x14\x12E002_Hide\nDas geht mir genauso. Ich wusste, wenn wir\naufeinandertreffen würden, müsste ich dich\ntöten. Meine liebe Freundin...\x0E\x04\x02\x00
MID_BT15_#004	\x0E\x05\x01\x1C\x12E002_Hide\x06Sad\nWenn ich doch nur noch ein einziges Mal mit\ndir Tee trinken könnte. Beenden wir es, bevor\nich meine Meinung ändere.\x0E\x04\x00\x00
MID_BT15_#005	\x0E\x05\x01\x1C\nエーティエ\x0EStandBy\n\x0E\x03\x02\x0C\nエーティエ\nJa... Wenn wir so weitermachen, könnte ich\nvergessen, dass Ihr eigentlich eine Fremde seid.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE002_エル\x022\n\x0E\x03\x00\x1A\x14E002_敵ヘクトル\x023\n\x0E\x06\x00.\x14E002_敵ヘクトル\x16MPID_Hector\n\x0E\x03\x02\x0A\x08リュール\nDas ist er. Der Armring des eigenwilligen\nGenerals.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x10\x0EE002_エル\nEmblem Hector wohnt darin. Ein mutiger\nAnführer, der den Kampfgeist der Firener\nverkörpert.\x0E\x04\x02\x00
MID_ED1_#003	Einst war er verwegen und ritterlich. Doch\nZelestia sagte uns, er sei nun mit Bösem\nbehaftet.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x0A\x08リュール\nIch wünschte, ich könnte ihn beschwören.\nIhm einen neuen Anfang schenken.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x10\x0EE002_エル\nEs gibt keinen Grund, über etwas zu jammern,\nwas man nicht ändern kann. Ich werde ihn\nin den Schlaf zurückversetzen.\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0A\x08リュール\nSchlafe sanft, Emblem Hector.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x16\x14E002_敵ヘクトル\nDanke...\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x10\x0EE002_エル\nErneut spricht das Emblem!\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x16\x14E002_敵ヘクトル\nEs mag schade sein, so schnell wieder in den\nSchlaf zu sinken, aber ich vermute, schlecht\nist es nicht.\x0E\x04\x02\x00
MID_ED1_#010	Ich hoffe, dass wir gemeinsam in die Schlacht\nziehen können... irgendwann...\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x0A\x08リュール\nIch bin sicher, das werden wir.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x00\x18\x12E002_Boss\x024\n\x0E\x03\x02\x14\x12E002_Boss\nDu hast den General ins Bett gebracht.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nKönig Alfred. Bitte, brecht Eure Invasion ab.\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x14\x12E002_Boss\nHmmm. Ohne Armring bleibt mir keine Wahl.\x0E\x04\x02\x00
MID_ED1_#015	Aber... Nil sagte mir, Ihr seid aus einer anderen\nWelt. Stimmt das?\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x0A\x08リュール\nJa, das ist wahr.\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x02\x14\x12E002_Boss\nDas passt. Wenn Ihr \x0E\x0A\x00\x1A\nunser\x0Cunsere \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin wärt,\nhättet Ihr uns unseren Armring nicht mit Gewalt\nabgenommen.\x0E\x04\x02\x00
MID_ED1_#018	Ihr hättet Euch uns angeschlossen... oder wärt\nauf jeden Fall netter gewesen.\x0E\x04\x02\x00
MID_ED1_#019	Ihr seid gewiss nicht \x0E\x0A\x00\x10\x06die\x06der \x0E\x0A\x00 \x10Freundin\x0CFreund, \x0E\x0A\x00\x10\x06die\x06den ich einst\nhatte.\x0E\x04\x00\x00
MID_ED1_#020	\x0E\x03\x00\x18\x12E002_Hide\x023\n\x0E\x03\x02\x14\x12E002_Hide\nAlfred...\x0E\x04\x00\x00
MID_ED1_#021	\x0E\x03\x02\x14\x12E002_Boss\nAber dennoch bin ich froh, Euch kennengelernt\nzu haben.\x0E\x04\x02\x00
MID_ED1_#022	Ihr mögt nicht aus dieser Welt sein, doch ich\nkann erkennen, dass Ihr das Herz \x0E\x0A\x00\x18\neines\neiner\n\x0E\x0A\x00,\x14Wyrmgottes\x14Wyrmgöttin besitzt.\x0E\x04\x02\x00
MID_ED1_#023	Bitte verzeiht mein Handeln. Ich war wirklich\nüberzeugt, Ihr würdet zu den Verzerrten\ngehören.\x0E\x04\x00\x00
MID_ED1_#024	\x0E\x03\x02\x14\x12E002_Hide\nIch für meinen Teil muss mich bei Nel und Nil\nentschuldigen.\x0E\x04\x02\x00
MID_ED1_#025	Ich habe euch beleidigt und auf ungerechte Art\nmit Sombron in Verbindung gebracht. Ihr tragt\nkeine Schuld an seinem Handeln.\x0E\x04\x02\x00
MID_ED1_#026	Es tut mir wirklich aufrichtig leid, dass ich\ndie Fassung verloren habe.\x0E\x04\x00\x00
MID_ED1_#027	\x0E\x03\x02\x10\x0EE002_エル\nNotiert.\x0E\x04\x00\x00
MID_ED1_#028	\x0E\x03\x00\x14\x0EE002_イル\x023\n\x0E\x03\x02\x10\x0EE002_イル\nWir alle waren am Boden zerstört, nachdem\n\x0E\x0A\x00B"unsere Wyrmgöttin\x1Cunser Wyrmgott gestorben war. Selbstver-\nständlich verstehen wir Euch.\x0E\x04\x00\x00
MID_ED1_#029	\x0E\x03\x02\x0A\x08リュール\nHmmm.\x0E\x04\x00\x00
MID_ED1_#030	\x0E\x03\x02\x14\x12E002_Boss\nHey, ich habe eine Idee. Wie wäre es, wenn Ihr\nuns mitnehmen würdet?\x0E\x04\x02\x00
MID_ED1_#031	Ein paar Muskeln mehr könnten ganz nützlich\nsein, wenn Ihr die Armringe einsammeln wollt.\x0E\x04\x00\x00
MID_ED1_#032	\x0E\x03\x00\x18\x12E002_Hide\x023\n\x0E\x03\x02\x14\x12E002_Hide\nJa! Eine ausgezeichnete Idee. Ich habe bereits\nmeine Ritter in Bereitschaft versetzt. Sie\nkönnten ebenfalls mitkommen.\x0E\x04\x00\x00
MID_ED1_#033	\x0E\x03\x02\x0A\x08リュール\nSehr gut. Es wäre eine große Beruhigung, Euch\nbeide an unserer Seite zu haben.\x0E\x04\x00\x00
MID_ED1_#034	\x0E\x03\x02\x10\x0EE002_エル\nLeider geht das nicht.\x0E\x04\x00\x00
MID_ED1_#035	\x0E\x03\x02\x0A\x08リュール\nHm? Warum nicht?\x0E\x04\x00\x00
MID_ED1_#036	\x0E\x03\x02\x10\x0EE002_エル\nDas kommt gar nicht infrage. Und es ist auch\nnicht an Euch, diese Entscheidung zu treffen,\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x02\x00
MID_ED1_#037	Wir haben Euch beschworen, weil wir Eure\nHilfe brauchen, aber dies ist nicht Eure Armee.\x0E\x04\x02\x00
MID_ED1_#038	Welch Autorität Ihr auch immer in Eurer Welt\ngewesen sein mögt – hier ist das nicht von\nBelang.\x0E\x04\x00\x00
MID_ED1_#039	\x0E\x03\x02\x0A\x08リュール\nRichtig... Tut mir leid.\x0E\x04\x00\x00
MID_ED1_#040	\x0E\x03\x00\x14\x0EE002_イル\x023\n\x0E\x03\x02\x10\x0EE002_イル\nIhr müsst uns vergeben, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Nel mag\nharsch sein, aber sie hat recht.\x0E\x04\x02\x00
MID_ED1_#041	Ich bin ebenfalls dagegen, dass die Firener sich\nuns anschließen.\x0E\x04\x00\x00
MID_ED1_#042	\x0E\x03\x02\x14\x12E002_Boss\nWas soll ich dazu sagen? Wollt ihr mich betteln\nsehen?\x0E\x04\x02\x00
MID_ED1_#043	Ich muss doch irgendwie wiedergutmachen,\ndass ich euch so schlecht behandelt habe.\x0E\x04\x02\x00
MID_ED1_#044	Lasst mich für eure Sicherheit sorgen.\x0E\x04\x00\x00
MID_ED1_#045	\x0E\x03\x02\x10\x0EE002_エル\nDas Schlachtfeld ist kein Ort für einen König.\x0E\x04\x02\x00
MID_ED1_#046	Das Volk braucht seinen Regenten, der über es\nwacht.\x0E\x04\x00\x00
MID_ED1_#047	\x0E\x03\x02\x10\x0EE002_イル\nNicht nur das. Was würde aus Eurem Königreich\nwerden, wenn es Euch verlieren würde?\x0E\x04\x02\x00
MID_ED1_#048	Firene hätte seinen Monarchen verloren. Und\nsogar einen Thronfolger.\x0E\x04\x00\x00
MID_ED1_#049	\x0E\x03\x02\x14\x12E002_Boss\nDann lasst wenigstens Céline und ihre Ritter\nmit Euch gehen.\x0E\x04\x00\x00
MID_ED1_#050	\x0E\x03\x02\x10\x0EE002_エル\nDie Schwester des Königs ist ebenso unab-\nkömmlich. Und die Ritter müssen ihr Schloss\nverteidigen.\x0E\x04\x02\x00
MID_ED1_#051	Falls Ihr Euer Verhalten wirklich wiedergut-\nmachen wollt, dann bitte ich Euch, zuerst an\nEuch selbst zu denken.\x0E\x04\x00\x00
MID_ED1_#052	\x0E\x03\x02\x14\x12E002_Boss\nNa gut.\x0E\x04\x00\x00
MID_ED1_#053	\x0E\x03\x00\x18\x12E002_Hide\x024\n\x0E\x03\x02\x14\x12E002_Hide\nWenn das dein Wunsch ist, werden wir ihn\nakzeptieren. Sollen wir unseren Armring in\nFirene belassen?\x0E\x04\x00\x00
MID_ED1_#054	\x0E\x03\x02\x10\x0EE002_エル\nWarum?\x0E\x04\x00\x00
MID_ED1_#055	\x0E\x03\x02\x14\x12E002_Hide\nIch kann dir versichern, dass wir ihn nicht für\nunlautere Dinge verwenden. Immerhin können\nwir schlafende Embleme nicht aufwecken.\x0E\x04\x02\x00
MID_ED1_#056	Aber ist es nicht sicherer, die Armringe getrennt\nvoneinander zu lassen, da euer Feind aller\nArmringe habhaft werden will?\x0E\x04\x00\x00
MID_ED1_#057	\x0E\x03\x02\x10\x0EE002_エル\nDas wäre logisch – wenn unser Feind nicht\ndie Macht hätte, Embleme aufzuwecken.\x0E\x04\x02\x00
MID_ED1_#058	In dem Fall ist es irrelevant, ob ein Emblem\nschläft oder nicht.\x0E\x04\x02\x00
MID_ED1_#059	Und sollte das passieren, könnte man nicht mal\nahnen, welches Chaos der eigenwillige General\nverursachen würde.\x0E\x04\x00\x00
MID_ED1_#060	\x0E\x03\x02\x14\x12E002_Hide\nHm...\x0E\x04\x00\x00
MID_ED1_#061	\x0E\x03\x00\x18\x12E002_Boss\x024\n\x0E\x03\x02\x14\x12E002_Boss\nDann ist es besser, ihr nehmt sie an euch, da\ndu die Embleme in den Schlaf versetzen kannst.\x0E\x04\x00\x00
MID_ED1_#062	\x0E\x03\x02\x10\x0EE002_エル\nIch weiß Euer Verständnis zu schätzen.\x0E\x04\x00\x00
MID_ED1_#063	\x0E\x03\x02\x14\x12E002_Boss\nDann gibt es nichts mehr zu besprechen. Wir\ngehen zurück ins Schloss und überlassen den\nArmring euch.\x0E\x04\x02\x00
MID_ED1_#064	Es tut mir leid, mich davon zu trennen, aber\nimmerhin ist er bei euch in den richtigen\nHänden.\x0E\x04\x02\x00
MID_ED1_#065	Was noch wichtiger ist... \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_ED1_#066	\x0E\x03\x02\x0A\x08リュール\nJa?\x0E\x04\x00\x00
MID_ED1_#067	\x0E\x03\x02\x14\x12E002_Boss\nDer schwerste Teil von allen ist es, Euch,\n\x0E\x0A\x00\,mein alter Verbündeter,meine liebe Verbündete, Lebewohl zu sagen.\x0E\x04\x02\x00
MID_ED1_#068	Aber ich bin so froh, dass Ihr zurück seid. Als\nwir Euch verloren, war ich... ich war völlig\naußer mir.\x0E\x04\x00\x00
MID_ED1_#069	\x0E\x03\x02\x0A\x08リュール\nAh. Alfred?\x0E\x04\x02\x00
MID_ED1_#070	Ich bin nicht \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin, \x0E\x0A\x00\x10\x06den\x06die Ihr kanntet,\nerinnert Ihr Euch? Nil hat es erklärt...\x0E\x04\x00\x00
MID_ED1_#071	\x0E\x03\x02\x14\x12E002_Boss\nOh, richtig! Wie albern von mir.\x0E\x04\x02\x00
MID_ED1_#072	Ich bin noch nicht lange König, daher brenne\nich die Kerze von beiden Seiten ab. Ich muss\nwohl ein wenig erschöpft sein.\x0E\x04\x02\x00
MID_ED1_#073	Das ziemt sich nicht für einen König, nicht\nwahr? Wenn ich nicht aufpasse, werden die\nLeute noch über mich reden.\x0E\x04\x00\x00
MID_ED1_#074	\x0E\x03\x00\x18\x12E002_Hide\x024\n\x0E\x03\x02\x14\x12E002_Hide\nEs ist gut. Ich bin hier, um dich zu unterstützen,\nAlfred. Lass uns hineingehen, dann kannst du\ndich ausruhen, hm?\x0E\x04\x02\x00
MID_ED1_#075	Ich werde mir darüber Gedanken machen, wie\nich die Wirtschaft hier in Firene wieder an-\nkurbeln kann, ohne einen Krieg zu provozieren.\x0E\x04\x02\x00
MID_ED1_#076	Und was Euch alle angeht... Wenn Eure Mission\nerfüllt ist, kommt doch bitte wieder her und\nbesucht uns.\x0E\x04\x00\x00
MID_ED1_#077	\x0E\x03\x00\x18\x12E002_Boss\x024\n\x0E\x03\x02\x14\x12E002_Boss\nJa. Viel Glück.\x0E\x04\x00\x00
