MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06マルス\x021\n\x0E\x03\x02\x08\x06マルス\nDer letzte Kampf steht an. Wenn Ihr bereit seid,\nbewegen wir das Somniel selbst zum Portal.\x0E\x04\x02\x00
MID_OP5_Chloe1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06クロエ\x02t\n\x0E\x05\x01\x18\x06クロエ\x0EStandBy\n\x0E\x03\x02\x08\x06クロエ\nDies ist der Abschnitt der Geschichte, in dem\nwir in die Dunkelheit fallen oder zum Licht\nemporsteigen. Greifen wir nach dem Licht!\x0E\x04\x00\x00
MID_OP5_Louis1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04ルイ\x02t\n\x0E\x05\x01\x16\x04ルイ\x0EStandBy\n\x0E\x03\x02\x06\x04ルイ\nKämpft weiter, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche! Lasst uns Euch und\ndie Embleme noch einmal zusammenführen.\x0E\x04\x00\x00
MID_OP5_Yunaka1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06ユナカ\x02t\n\x0E\x05\x01\x14\x06ユナカ\nSmile\n\x0E\x03\x02\x08\x06ユナカ\nIch könnte die Embleme imitieren, aber das\nwäre nicht dasselbe. Also lasst sie uns\nzurückholen!\x0E\x04\x00\x00
MID_OP5_Staluke1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nスタルーク\x02t\n\x0E\x05\x01\x18\nスタルーク\nRelax\n\x0E\x03\x02\x0C\nスタルーク\nIch mache mir Sorgen... aber Ihr werdet meine\nUnterstützung nicht brauchen. Ich weiß, dass\nIhr das für uns schafft.\x0E\x04\x00\x00
MID_OP5_Citrinica1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nシトリニカ\x02t\n\x0E\x05\x01\x18\nシトリニカ\nAngry\n\x0E\x03\x02\x0C\nシトリニカ\nIch nehme an, dass Reichtum zu einem solchen\nZeitpunkt keine große Hilfe ist... aber ich werde\naus vollem Herzen beten!\x0E\x04\x00\x00
MID_OP5_Lapis1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06ラピス\x02t\n\x0E\x05\x01\x14\x06ラピス\nSmile\n\x0E\x03\x02\x08\x06ラピス\nIhr könnt es schaffen, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche! Unterlegene\nfinden immer dann zu großer Stärke, wenn sie\nsie am meisten brauchen – vertraut mir!\x0E\x04\x00\x00
MID_OP5_Diamand1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x02t\n\x0E\x05\x01\x1A\x0Cディアマンド\nAngry\n\x0E\x03\x02\x0E\x0Cディアマンド\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche! Dies ist für Vater... und all die\nSoldaten, die auf dem Weg gefallen sind.\x0E\x04\x00\x00
MID_OP5_Umber1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08アンバー\x02t\n\x0E\x05\x01\x16\x08アンバー\nAngry\n\x0E\x03\x02\x0A\x08アンバー\nNutzt meine Stärke, meinen Mut, was Ihr wollt!\nEs ist mir egal, ob ich zur Legende werde oder\nnicht. Es zählt nur, dass wir gewinnen!\x0E\x04\x00\x00
MID_OP5_Jade1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ジェーデ\x02t\n\x0E\x05\x01\x16\x08ジェーデ\nSmile\n\x0E\x03\x02\x0A\x08ジェーデ\nDie letzte Seite unserer Geschichte endet mit\nSonnenlicht... und mit \x0E\x0A\x00\x18\neinem\neiner siegreichen\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin.\x0E\x04\x00\x00
MID_OP5_Ivy1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08アイビー\x02t\n\x0E\x05\x01\x1A\x08アイビー\x0EStandBy\n\x0E\x03\x02\x0A\x08アイビー\nIhr wart stets die Quelle meiner Kraft. Macht\nEuch meinen Glauben, nur dieses eine Mal, zu\neigen!\x0E\x04\x00\x00
MID_OP5_Kagetsu1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06カゲツ\x02t\n\x0E\x05\x01\x14\x06カゲツ\nSmile\n\x0E\x03\x02\x08\x06カゲツ\nIn dieser Situation ist es wie in jeder anderen\nauch. Mein Glaube an Euch geriet nicht ein\neinziges Mal ins Wanken!\x0E\x04\x00\x00
MID_OP5_Zelkova1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x02t\n\x0E\x05\x01\x1A\x08ゼルコバ\x0EStandBy\n\x0E\x03\x02\x0A\x08ゼルコバ\nMüssen wir so... melodramatisch... sein? Ich\nglaube, für \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin kann ich eine\nAusnahme machen.\x0E\x04\x00\x00
MID_OP5_Fogato1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nフォガート\x02t\n\x0E\x05\x01\x18\nフォガート\nSmile\n\x0E\x03\x02\x0C\nフォガート\nHahaha, glaubt Ihr, wir können das Blatt\nwenden? Das liebe ich an Euch, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche!\x0E\x04\x00\x00
MID_OP5_Pandoro1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08パンドロ\x02t\n\x0E\x05\x01\x18\x08パンドロ\x0CStrike\n\x0E\x03\x02\x0A\x08パンドロ\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Embleme. Wenn ich ein Gebet\nsprechen darf... Möge ich gesegnet sein,\nEuch heute zum Sieg zu verhelfen.\x0E\x04\x00\x00
MID_OP5_Bonet1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04ボネ\x02t\n\x0E\x05\x01\x14\x04ボネ\x0CStatus\n\x0E\x03\x02\x06\x04ボネ\nDer Sieg wird nach der Bitterkeit des Krieges\nnur allzu süß schmecken. Bitte gestattet mir,\neinen Triumph zu servieren.\x0E\x04\x00\x00
MID_OP5_Misutira1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nミスティラ\x02t\n\x0E\x05\x01\x18\nミスティラ\nSmile\n\x0E\x03\x02\x0C\nミスティラ\nJetzt nur nicht den Mut verlieren! Gehen wir\nerhobenen Hauptes voran! Wir glauben an Euch\nund werden gewinnen. Ganz einfach!\x0E\x04\x00\x00
MID_OP5_Panetone1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08パネトネ\x02t\n\x0E\x05\x01\x18\x08パネトネ\x0CStrike\n\x0E\x03\x02\x0A\x08パネトネ\nOh ja, es geht los! Das ist er! Der letzte Kampf!\nSchreiten wir voran und radieren den Feind aus!\x0E\x04\x00\x00
MID_OP5_Merin1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06メリン\x02t\n\x0E\x05\x01\x16\x06メリン\x0CStatus\n\x0E\x03\x02\x08\x06メリン\nIhr seid unfassbar lässig, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche! Und alle\nanderen hier auch. So verlieren wir auf keinen\nFall!\x0E\x04\x00\x00
MID_OP5_Hortensia1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x02t\n\x0E\x05\x01\x1A\x0Cオルテンシア\nAngry\n\x0E\x03\x02\x0E\x0Cオルテンシア\nKeine Traurigkeit mehr, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Ich habe sie\nso satt! Sorgen wir dafür, dass alle das hier\nüberstehen. Ich glaube an Euch!\x0E\x04\x00\x00
MID_OP5_Seadas1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セアダス\x02t\n\x0E\x05\x01\x16\x08セアダス\nSmile\n\x0E\x03\x02\x0A\x08セアダス\nWenn Ihr Euren Glauben in den Mond und die\nSterne setzt, werden unsere geliebten Embleme\nzurückkehren!\x0E\x04\x00\x00
MID_OP5_Rosado1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ロサード\x02t\n\x0E\x05\x01\x16\x08ロサード\nSmile\n\x0E\x03\x02\x0A\x08ロサード\nMeine Siegeszeichnung ist ohne die Embleme\nunvollkommen, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Holt sie uns zurück!\x0E\x04\x00\x00
MID_OP5_Goldmary1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x02t\n\x0E\x05\x01\x16\x0Cゴルドマリー\x06Shy\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs tut mir leid, dass die anderen die Sache\nherauszögern. Wir wissen beide, dass mein\nGlaube an Euch bereits genügt.\x0E\x04\x00\x00
MID_OP5_Linden1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リンデン\x02t\n\x0E\x05\x01\x16\x08リンデン\nSmile\n\x0E\x03\x02\x0A\x08リンデン\nIhr habt bereits so manches Wunder vollbracht.\nNatürlich glaube ich an Euch. Zweifelt niemals\ndaran.\x0E\x04\x00\x00
MID_OP5_Saphir1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nザフィーア\x02t\n\x0E\x05\x01\x1A\nザフィーア\x0CStatus\n\x0E\x03\x02\x0C\nザフィーア\nEine letzte Anstrengung für den Sieg! Holt die\nEmbleme zurück, damit wir es schaffen können!\x0E\x04\x00\x00
MID_OP5_Veyre1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x02t\n\x0E\x05\x01\x1A\x08ヴェイル\x0EStandBy\n\x0E\x03\x02\x0A\x08ヴェイル\nAls deine Schwester und als Dämonendrache\nwerde ich alles Nötige tun, um dir zu helfen,\nPapa aufzuhalten!\x0E\x04\x00\x00
MID_OP5_Mauve1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06モーヴ\x02t\n\x0E\x05\x01\x14\x06モーヴ\nAngry\n\x0E\x03\x02\x08\x06モーヴ\nAllen Glauben, der in meinem Herzen verbleibt,\nschenke ich Euch.\x0E\x04\x00\x00
MID_OP5_Anna1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06アンナ\x02t\n\x0E\x05\x01\x18\x06アンナ\x0EStandBy\n\x0E\x03\x02\x08\x06アンナ\nHeute gibt es einen Rabatt von 100 Prozent auf\ndie Unterstützungsdienste von Lady Anna! Ein\neinmaliges Angebot! Keine Rückerstattung!\x0E\x04\x00\x00
MID_OP5_Jean1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06ジャン\x02t\n\x0E\x05\x01\x16\x06ジャン\x0CStrike\n\x0E\x03\x02\x08\x06ジャン\nIch will, dass wir alle lebendig nach Hause\nzurückkehren. Seid stark, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche! Ich glaub\nan Euch!\x0E\x04\x00\x00
MID_OP6_#001	\x0E\x02\x00\x06\x04ST\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0E\x08ソンブル\x021\n\x0E\x04\x03\x04
MID_OP6_#002	\x0E\x03\x02\x0A\x08ソンブル\nIhr Narren. Eure Bemühungen sind\nebenso zwecklos wie erbärmlich!\x0E\x04\x00\x00
MID_OP6_#003	\x0E\x03\x02\x0A\x08リュール\nBitte, meine Freunde, ich brauche Euch alle... ein\nletztes Mal. Verbündet Euch noch einmal mit uns!\x0E\x04\x02\x00
MID_OP6_#004	Strahle hell, Emblem der Anfänge – Marth!
MID_OP6_#005	\x0E\x03\x00\x0C\x06マルス\x023\n\x0E\x03\x02\x0A\x08リュール\nStehe uns bei, Emblem von Echoes – Celica!
MID_OP6_#006	\x0E\x03\x01\x08\x06マルス\n\x0E\x03\x00\x0C\x06セリカ\x023\n\x0E\x03\x02\x0A\x08リュール\nUnterstütze uns,\nEmblem von Holy War – Sigurd!
MID_OP6_#007	\x0E\x03\x01\x08\x06セリカ\n\x0E\x03\x00\x0E\x08シグルド\x023\n\x0E\x03\x02\x0A\x08リュール\nBefreie uns, Emblem von Genealogy – Leif!
MID_OP6_#008	\x0E\x03\x01\x0A\x08シグルド\n\x0E\x03\x00\x0C\x06リーフ\x023\n\x0E\x03\x02\x0A\x08リュール\nErhebe dich, Emblem von Binding – Roy!
MID_OP6_#009	\x0E\x03\x01\x08\x06リーフ\n\x0E\x03\x00\x0A\x04ロイ\x023\n\x0E\x03\x02\x0A\x08リュール\nWehe herüber, Emblem von Blazing – Lyn!
MID_OP6_#010	\x0E\x03\x01\x06\x04ロイ\n\x0E\x03\x00\x0A\x04リン\x023\n\x0E\x03\x02\x0A\x08リュール\nBringe Ruhe zurück, Emblem von Sacred –\nEirika!
MID_OP6_#011	\x0E\x03\x01\x06\x04ロイ\n\x0E\x03\x00\x10\nエイリーク\x023\n\x0E\x03\x02\x0A\x08リュール\nKämpfe tapfer, Emblem von Radiance – Ike!
MID_OP6_#012	\x0E\x03\x01\x0C\nエイリーク\n\x0E\x03\x00\x0C\x06アイク\x023\n\x0E\x03\x02\x0A\x08リュール\nHeile uns, Emblem von Dawn – Micaiah!
MID_OP6_#013	\x0E\x03\x01\x08\x06アイク\n\x0E\x03\x00\x0C\x06ミカヤ\x023\n\x0E\x03\x02\x0A\x08リュール\nEntflamme uns, Emblem von Awakening –\nLucina!
MID_OP6_#014	\x0E\x03\x01\x08\x06ミカヤ\n\x0E\x03\x00\x0C\x06ルキナ\x023\n\x0E\x03\x02\x0A\x08リュール\nZeig deine Fänge, Emblem von Fates – Corrin!
MID_OP6_#015	\x0E\x03\x01\x08\x06ルキナ\n\x0E\x03\x00\x0C\x06カムイ\x023\n\x0E\x03\x02\x0A\x08リュール\nLehre uns, Emblem der Akademie – Byleth!
MID_OP6_#016	\x0E\x03\x01\x08\x06カムイ\n\x0E\x03\x00\x0C\x06ベレト\x023\n\x0E\x03\x02\x0A\x08リュール\nUnd natürlich, das finale Emblem...\x0E\x04\x02\x00
MID_OP6_#017	Verbinde uns, Fire Emblem – \x0E\x06\x03\x00!\x0E\x04\x00\x00
MID_OP6_#018	\x0E\x03\x01\x08\x06ベレト\n\x0E\x03\x02\x0A\x08ソンブル\nWas...\x0E\x04\x00\x00
MID_OP6_#019	\x0E\x03\x02\x0A\x08リュール\nWir 13 Embleme und ihre Verbündeten treten\nEuch entgegen. Die Zukunft mag uns getrennt sehen.\x0E\x04\x02\x00
MID_OP6_#020	Doch hier und jetzt kämpfen wir vereint.\nDieser Kampf, dieser Moment ist alles, was zählt.\x0E\x04\x00\x00
MID_OP6_#021	\x0E\x03\x02\x0A\x08ソンブル\nUnsinn. Ihr seid nichts als ein Glimmen.\nEin verlöschendes Licht. Ihr seid rein gar nichts!\x0E\x04\x02\x00
MID_OP6_#022	Je tiefer eure Bande, umso größer der Schmerz,\nwenn diese Bande zu Staub zerfallen.\x0E\x04\x02\x00
MID_OP6_#022_2	Was fügt ihr euch selbst solchen Schmerz zu?\nWarum lasst ihr diese Schwäche zu?\x0E\x04\x02\x00
MID_OP6_#023	Gib auf und stirb, mein törichtes Kind!\x0E\x04\x00\x00
MID_OP6_#024	\x0E\x03\x02\x0A\x08リュール\nJa. Ihr seht in mir ein Kind. Töricht und schwach.\nUnd vielleicht habt Ihr recht. Vielleicht bin ich das.\x0E\x04\x02\x00
MID_OP6_#025	Doch ich bin nicht allein! Und wir sind stärker,\nwenn wir zusammenstehen!\x0E\x04\x02\x00
MID_OP6_#026	Zerbrochene Bande schmerzen, doch sie kommen\numso stärker zurück und bringen noch mehr Hoffnung!\x0E\x04\x02\x00
MID_OP6_#027	Wenn man will, kann man jedes Band wiederbeleben.\nUnd das werde ich tun, immer und immer wieder!\x0E\x04\x02\x00
MID_OP6_#028	Ihr werdet diesen Ort nicht verlassen.\nDenn wir werden Euch aufhalten!\x0E\x04\x02\x00
MID_OP6_#029	Macht Euch bereit, Sombron! Dies ist das Ende!\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ソンブル\x02b\n\x0E\x05\x01&\x18M026_ソンブル_人型\nAngry\n\x0E\x03\x02\x0A\x08ソンブル\nDu hast so hart gekämpft und bist so weit\ngereist, nur um zu sterben?\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1E\x18M026_ソンブル_人型\x02b\n\x0E\x05\x01(\x18M026_ソンブル_人型\x0CNormal\n\x0E\x03\x02\x1A\x18M026_ソンブル_人型\nDu bist armselig.\x0E\x04\x02\x00
MID_BT2_#002	Und als ob es noch nicht genug wäre, mich zu\nverschmähen, um \x0E\x0A\x00:\x18ein Wyrmgott\x1Eeine Wyrmgöttin zu werden...\nVatermord? Unverzeihlich.\x0E\x04\x00\x00
MID_BT2_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x18\x08リュール\x0CStrike\n\x0E\x03\x02\x0A\x08リュール\nIhr habt Eure eigenen Kinder getötet und wolltet\ndie Welt zerstören – nur für Eure egoistischen\nWünsche.\x0E\x04\x02\x00
MID_BT2_#004	Ihr seid derjenige, der Unverzeihliches getan\nhat.\x0E\x04\x00\x00
MID_BT2_#005	\x0E\x05\x01&\x18M026_ソンブル_人型\nAngry\n\x0E\x03\x02\x1A\x18M026_ソンブル_人型\nWie ich bereits sagte – deine Welt hat keinerlei\nBedeutung für mich. Ihre Bewohner, meine\nKinder... du.\x0E\x04\x02\x00
MID_BT2_#006	Sobald ich von hier fortgehe, werde ich dich\nvergessen. Selbst wenn wir uns wiederträfen,\nwürde ich mich nicht an dein Gesicht erinnern.\x0E\x04\x00\x00
MID_BT2_#007	\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nMit anderen Worten: Ihr werdet dieselben Fehler\nerneut begehen. Wer von uns ist also armselig?\x0E\x04\x00\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x02t\n\x0E\x05\x01\x12\x08ヴェイル\x06Sad\n\x0E\x03\x02\x0A\x08ヴェイル\nPapa...\x0E\x04\x00\x00
MID_BT3_#002	\x0E\x03\x00\x1E\x18M026_ソンブル_人型\x02b\n\x0E\x05\x01&\x18M026_ソンブル_人型\nAngry\n\x0E\x03\x02\x1A\x18M026_ソンブル_人型\nOh, der Fehlgriff. Ich dachte, ich wäre dich los,\nund doch bist du hier.\x0E\x04\x00\x00
MID_BT3_#003	\x0E\x05\x01\x16\x08ヴェイル\nSmile\n\x0E\x03\x02\x0A\x08ヴェイル\nHehe.\x0E\x04\x00\x00
MID_BT3_#004	\x0E\x03\x02\x1A\x18M026_ソンブル_人型\nDu lachst.\x0E\x04\x00\x00
MID_BT3_#005	\x0E\x03\x02\x0A\x08ヴェイル\nIhr seid wütend, weil ich durchgehalten und\nüberlebt habe. Das fühlt sich beinahe wie ein\nLob an.\x0E\x04\x02\x00
MID_BT3_#006	\x0E\x05\x01\x12\x08ヴェイル\x06Sad\nWir haben nie Zeit als Vater und Tochter\nmiteinander verbracht, wie ich es mir\ngewünscht habe.\x0E\x04\x02\x00
MID_BT3_#007	\x0E\x05\x01\x16\x08ヴェイル\nAngry\nAber ich bin froh, dass ich nicht aufgegeben\nhabe. Ich habe es geschafft. Denn jetzt kann ich\ndiejenige sein, die Euch bezwingt.\x0E\x04\x00\x00
MID_BT3_#008	\x0E\x03\x02\x1A\x18M026_ソンブル_人型\nDu bist ein niederträchtiges Kind. Nichts\nanderes erwarte ich von meinen Nachkommen.\x0E\x04\x00\x00
MID_BT3_#009	\x0E\x05\x01\x18\x08ヴェイル\x0CStrike\n\x0E\x03\x02\x0A\x08ヴェイル\nIch hoffe, Ihr seht zu, Mama. Ich werde ihn\naufhalten – so, wie Ihr es mir gesagt habt.\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1E\x18M026_ソンブル_人型\x02b\n\x0E\x05\x01&\x18M026_ソンブル_人型\nSmile\n\x0E\x03\x02\x1A\x18M026_ソンブル_人型\nHehehe! Es ist noch nicht vorbei.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1E\x18M026_ソンブル_人型\x02b\n\x0E\x05\x01*\x18M026_ソンブル_人型\x0EStandBy\n\x0E\x03\x02\x1A\x18M026_ソンブル_人型\nAus dem Weg, ihr Würmer!\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nSombron hat Verstärkung gerufen! Aber wer ist\ndas?\x0E\x04\x00\x00
MID_EV2_#002	\x0E\x03\x00\x1E\x18M026_ソンブル_人型\x02b\n\x0E\x06\x00>\x18M026_ソンブル_人型"MPID_SombreDragon\n\x0E\x03\x02\x1A\x18M026_ソンブル_人型\nDachtet ihr, ich hätte untätig herumgesessen\nund nur auf euch gewartet?\x0E\x04\x02\x00
MID_EV2_#003	Ich konnte mein Emblem nicht zurückholen,\naber dafür habe ich andere beschworen, deren\nMacht ebenbürtig ist.\x0E\x04\x02\x00
MID_EV2_#004	Dunkle Embleme, die einst ihre Welten ins\nVerderben stürzten.\x0E\x04\x00\x00
MID_EV2_#005	\x0E\x05\x01\x18\x08リュール\x0CStrike\n\x0E\x03\x02\x0A\x08リュール\nDunkle Embleme?\x0E\x04\x00\x00
MID_EV2_#006	\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x00\x0C\x06マルス\x02t\n\x0E\x05\x01\x14\x06マルス\nAngry\n\x0E\x03\x02\x08\x06マルス\nDiese Präsenz... Sie ist so vertraut. Ja. Dies\nmüssen die Gegner sein, die wir in unserer\nursprünglichen Form bekämpft haben.\x0E\x04\x02\x00
MID_EV2_#007	Vielleicht sollten wir jedes Emblem seinem\neigenen Gegner zuordnen. Aber ich kann nicht\nausmachen, wer wer ist...\x0E\x04\x02\x00
MID_EV2_#008	Wir sollten näher heranrücken. Aber vorsichtig.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nDer Schild ist weg! Jetzt ist unsere Chance!\x0E\x04\x00\x00
MID_EV4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1E\x18M026_ソンブル_人型\x02b\n\x0E\x06\x00>\x18M026_ソンブル_人型"MPID_SombreDragon\n\x0E\x03\x02\x1A\x18M026_ソンブル_人型\nHaltet sie auf, Dunkle Embleme!\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1E\x18M026_ソンブル_人型\x02b\n\x0E\x03\x02\x1A\x18M026_ソンブル_人型\nDann... wird mir meine Wiedervereinigung...\nalso verwehrt.\x0E\x04\x00\x00
MID_BT9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06マルス\x02t\n\x0E\x05\x01\x1A\x06マルス\x10Surprise\n\x0E\x03\x02\x08\x06マルス\nIch spüre Euch, Schatten! Und ich glaube auch\nzu wissen, wer Ihr seid!\x0E\x04\x02\x00
MID_BT9_#002	\x0E\x05\x01\x14\x06マルス\nAngry\nIch habe Euch bereits zuvor besiegt, und ich\nwerde es wieder tun, denn ich führe das\nErhabene Falchion!\x0E\x04\x00\x00
MID_BT10_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08シグルド\x02t\n\x0E\x05\x01\x1C\x08シグルド\x10Surprise\n\x0E\x03\x02\x0A\x08シグルド\nDas heilige Schwert Tyrfing ist erwacht. Das\nbedeutet, Ihr seid-- Nein. Unmöglich.\x0E\x04\x02\x00
MID_BT10_#002	\x0E\x05\x01\x16\x08シグルド\nAngry\nAls Ritter von Grannvale und Nachfahre von\neinem der 12 Heiligen Ritter werde ich Euch\nein Ende bereiten!\x0E\x04\x00\x00
MID_BT11_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06セリカ\x02t\n\x0E\x05\x01\x16\x06セリカ\x0CStatus\n\x0E\x03\x02\x08\x06セリカ\nWir begegnen uns erneut, Duma... Obwohl ich\nmir nicht sicher bin, ob Ihr es wirklich seid.\x0E\x04\x02\x00
MID_BT11_#002	\x0E\x05\x01\x14\x06セリカ\nAngry\nBitte, richtet keinen Schaden mehr an. Gewährt\nEurer erschöpften Seele ihre verdiente Ruhe...\x0E\x04\x00\x00
MID_BT12_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06ミカヤ\x02t\n\x0E\x05\x01\x14\x06ミカヤ\nAngry\n\x0E\x03\x02\x08\x06ミカヤ\nIhr?! Hat Sombron Euch erneut beschworen, um\nüber die Welt zu richten?\x0E\x04\x02\x00
MID_BT12_#002	Das werde ich nicht zulassen! Yune... Gib mir\nKraft!\x0E\x04\x00\x00
MID_BT13_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04ロイ\x02t\n\x0E\x05\x01\x18\x04ロイ\x10Surprise\n\x0E\x03\x02\x06\x04ロイ\nWarum seid Ihr hier, und warum in dieser Form?\nWir haben nichts miteinander auszufechten.\x0E\x04\x02\x00
MID_BT13_#002	\x0E\x05\x01\x12\x04ロイ\nAngry\nIch werde meinen Beitrag leisten, um dies zu\nbeenden. Und ich werde Eure Seele ein weiteres\nMal vom endlosen Kämpfen befreien.\x0E\x04\x00\x00
MID_BT14_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06リーフ\x02t\n\x0E\x05\x01\x14\x06リーフ\nAngry\n\x0E\x03\x02\x08\x06リーフ\nIhr strahlt Bösartigkeit aus... aber seid Ihr\nwirklich der dunkle Bischof, gegen den ich\nbereits gekämpft habe?\x0E\x04\x02\x00
MID_BT14_#002	Habt Ihr vor, auch in dieser Welt Angst und\nVerzweiflung zu verbreiten? Das werde ich\nniemals zulassen!\x0E\x04\x00\x00
MID_BT15_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06ルキナ\x02t\n\x0E\x03\x02\x08\x06ルキナ\nIhr seid mir ein weiteres Mal gefolgt. Ihr, die\nSchwinge der Verzweiflung und der Atem der\nVerderbnis...\x0E\x04\x02\x00
MID_BT15_#002	\x0E\x05\x01\x14\x06ルキナ\nAngry\nWenn das so ist, dann fordere ich dieses\nSchicksal heraus. Sterbt, damit unsere Zukunft\nleben kann!\x0E\x04\x00\x00
MID_BT16_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0A\x04リン\x02t\n\x0E\x03\x02\x06\x04リン\nDas Schicksal steckt voller Überraschungen.\nWer hätte gedacht, dass wir uns noch einmal\nbegegnen würden?\x0E\x04\x02\x00
MID_BT16_#002	\x0E\x05\x01\x12\x04リン\nAngry\nDoch ich fürchte, hier werden sich unsere Wege\nfür immer trennen. Bald seid Ihr nur noch ein\nFleck auf meinem Schwert!\x0E\x04\x00\x00
MID_BT17_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06アイク\x02t\n\x0E\x03\x02\x08\x06アイク\nIch weiß genau, wer Ihr seid. Ich spüre es.\nIhr seid der Verrückte König.\x0E\x04\x02\x00
MID_BT17_#002	Ich werde mich gegen Euch nicht zurückhalten!\nIch werde mit all meiner Kraft kämpfen!\x0E\x04\x00\x00
MID_BT18_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06ベレト\x02t\n\x0E\x05\x01\x14\x06ベレト\nAngry\n\x0E\x03\x02\x08\x06ベレト\nDer Befreier wurde wiederbelebt? Ich bezweifle,\ndass Ihr in Frieden gehen werdet. Nun, auch ich\nwerde das nicht tun.\x0E\x04\x02\x00
