MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x18\x12E005_Boss\x021\n\x0E\x03\x02\x14\x12E005_Boss\nWirst du dem Schicksal trotzen, Verzweiflung\nzurückweisen, Bande mit Verbündeten knüpfen?\x0E\x04\x02\x00
MID_BT3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide1\x02b\n\x0E\x05\x01$\x14E005_Hide1\x0CNormal\n\x0E\x03\x02\x16\x14E005_Hide1\nIhr seid ein Gegner, oder? Wenn das so ist...\x0E\x04\x00\x00
MID_BT4_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide1\x02b\n\x0E\x05\x01$\x14E005_Hide1\x0CStatus\n\x0E\x03\x02\x16\x14E005_Hide1\nDieser Schmerz ist nichts... im Vergleich zu\nVaters...\x0E\x04\x00\x00
MID_BT5_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide2\x02b\n\x0E\x05\x01\x1E\x14E005_Hide2\x06Shy\n\x0E\x03\x02\x16\x14E005_Hide2\nWarst du auf Schloss Lythos? Tut mir leid,\nheutzutage muss man sich zu viele Dinge\nmerken.\x0E\x04\x00\x00
MID_BT6_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide2\x02b\n\x0E\x05\x01$\x14E005_Hide2\x0CStatus\n\x0E\x03\x02\x16\x14E005_Hide2\nHups, ich glaub, ich habe verloren. Hahaha!\nDas wievielte Mal war das jetzt?\x0E\x04\x00\x00
MID_BT7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE005_エル\x02t\n\x0E\x05\x01\x1A\x0EE005_エル\x08Pain\n\x0E\x03\x02\x10\x0EE005_エル\nWir müssen nicht kämpfen, Nil. Noch haben\nwir Zeit.\x0E\x04\x00\x00
MID_BT7_#002	\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x05\x01 \x12E005_Boss\nAngry\n\x0E\x03\x02\x14\x12E005_Boss\nZeit wozu? Zum Reden? Das haben wir doch\nschon hinter uns.\x0E\x04\x02\x00
MID_BT7_#003	Erwartest du von mir, dass ich einfach so meine\nPläne aufgebe und kapituliere? Und wieder\nzu einem Fehlschlag werde?\x0E\x04\x00\x00
MID_BT7_#004	\x0E\x03\x02\x10\x0EE005_エル\nWir finden eine Lösung. Erkläre mir deine Pläne.\nHilf mir, sie zu verstehen.\x0E\x04\x00\x00
MID_BT7_#005	\x0E\x03\x02\x14\x12E005_Boss\nIch habe die Absicht, Macht zu gewinnen und\ndich zu töten. Das ist alles, was du wissen\nmusst, bevor du stirbst!\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x05\x01 \x12E005_Boss\nSmile\n\x0E\x03\x02\x14\x12E005_Boss\nHallo, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche! Es tut mir so leid, dass wir\nletztes Mal unterbrochen wurden.\x0E\x04\x02\x00
MID_BT8_#002	Falls Ihr nicht kämpfen möchtet, müsst Ihr\neinfach nur mit mir kommen.\x0E\x04\x00\x00
MID_BT8_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nLass mich raten. Ich soll dir zudem noch die\nsechs Armringe übergeben.\x0E\x04\x02\x00
MID_BT8_#004	Da sich der siebte Armring in deinem Besitz\nbefindet, kannst du es bestimmt nicht erwarten,\ndeine Sammlung zu vervollständigen.\x0E\x04\x02\x00
MID_BT8_#005	Aber das wird nicht passieren. Ich werde dich\nhier und jetzt aufhalten.\x0E\x04\x00\x00
MID_BT8_#006	\x0E\x05\x01\x1C\x12E005_Boss\x06Die\n\x0E\x03\x02\x14\x12E005_Boss\nAn Eurer Stelle würde ich vermutlich das\nGleiche sagen. So nervtötend...\x0E\x04\x02\x00
MID_BT8_#007	\x0E\x05\x01"\x12E005_Boss\x0CNormal\nIch habe diese Spielchen satt, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x02\x00
MID_BT8_#008	\x0E\x05\x01 \x12E005_Boss\nAngry\nDa Ihr Vaters \x0E\x0A\x00V(meistgehasster Feind*meistgehasste Feindin seid,\nwerde ich mir einfach nehmen, was ich brauche,\nund Euch dann vernichten.\x0E\x04\x00\x00
MID_BT9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide1\x02b\n\x0E\x05\x01$\x14E005_Hide1\x0CStatus\n\x0E\x03\x02\x16\x14E005_Hide1\nBist du... ich? Wenn dem so ist, komm mir bitte\nnicht in die Quere.\x0E\x04\x02\x00
MID_BT9_#002	Ich muss die Armringe einsammeln, um Vater\nwieder zurück ins Leben zu bringen.\x0E\x04\x00\x00
MID_BT9_#003	\x0E\x03\x00\x12\x0Cオルテンシア\x02t\n\x0E\x05\x01\x16\x0Cオルテンシア\x06Sad\n\x0E\x03\x02\x0E\x0Cオルテンシア\nIch weiß, was du durchmachst. Ich habe das-\nselbe durchgemacht. Aber ich kann dich nicht\ngewähren lassen.\x0E\x04\x02\x00
MID_BT9_#004	\x0E\x05\x01\x1A\x0Cオルテンシア\nSmile\nDaher haben wir wohl keine andere Wahl, als\nuns in Stellung zu bringen, Niedlichkeit gegen\nNiedlichkeit. Möge die Bezauberndste gewinnen!\x0E\x04\x02\x00
MID_BT9_#005	\x0E\x05\x01\x16\x0Cオルテンシア\x06Shy\nKomm schon, das verdient doch ein Lachen.\nWenn wir schon gegeneinander kämpfen\nmüssen, sollten wir versuchen, Spaß zu haben.\x0E\x04\x00\x00
MID_BT9_#006	\x0E\x03\x02\x16\x14E005_Hide1\nDu magst denken, wir beide seien niedlich. Aber\nIvy hat mir die Wahrheit gesagt. Wir sind die\njämmerlichsten Gestalten, die je gelebt haben.\x0E\x04\x00\x00
MID_BT10_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide1\x02b\n\x0E\x05\x01(\x14E005_Hide1\x10Surprise\n\x0E\x03\x02\x16\x14E005_Hide1\nAh! Ivy! Ich meine, Euer Majestät, meine\nKönigin...\x0E\x04\x02\x00
MID_BT10_#002	\x0E\x05\x01 \x14E005_Hide1\x08Pain\nSeid Ihr endlich gekommen, mich zu töten,\nwie Ihr es mit allen von Vaters illegitimen\nKindern tatet?\x0E\x04\x00\x00
MID_BT10_#003	\x0E\x03\x00\x0E\x08アイビー\x02t\n\x0E\x05\x01\x12\x08アイビー\x06Sad\n\x0E\x03\x02\x0A\x08アイビー\nHortensia... Was hat dir die Ivy dieser Welt\nangetan?\x0E\x04\x00\x00
MID_BT10_#004	\x0E\x05\x01\x1E\x14E005_Hide1\x06Sad\n\x0E\x03\x02\x16\x14E005_Hide1\nIhr seid hier, um mich zu töten. Ich weiß es.\x0E\x04\x02\x00
MID_BT10_#005	\x0E\x05\x01 \x14E005_Hide1\x08Pain\nEs tut mir leid, aber ich kann den Tod nicht\neinfach so akzeptieren. Ich muss kämpfen.\x0E\x04\x00\x00
MID_BT12_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ロサード\x02t\n\x0E\x05\x01\x12\x08ロサード\x06Shy\n\x0E\x03\x02\x0A\x08ロサード\nHallo, Hortensia. Wie ich sehe, bist du in dieser\nWelt genauso bezaubernd wie in meiner, du\nbesitzt nur weniger Selbstvertrauen.\x0E\x04\x00\x00
MID_BT12_#002	\x0E\x03\x00\x1A\x14E005_Hide1\x02b\n\x0E\x05\x01(\x14E005_Hide1\x10Surprise\n\x0E\x03\x02\x16\x14E005_Hide1\nRosado, zurück von den Toten... Ich kann\nmeinen Augen kaum trauen. Ich habe dich so\nsehr vermisst.\x0E\x04\x02\x00
MID_BT12_#003	\x0E\x05\x01\x1E\x14E005_Hide1\x06Sad\nSeit ich meine Getreuen verlor, ist in meinem\nHerzen nichts als Verzweiflung.\x0E\x04\x02\x00
MID_BT12_#004	Du bist zurückgeblieben, damit ich vor den\nVerzerrten fliehen konnte. Ich hatte nie die\nChance, dir dafür zu danken.\x0E\x04\x02\x00
MID_BT12_#005	\x0E\x05\x01\x1C\x08ロサード\x10Surprise\n\x0E\x05\x01&\x14E005_Hide1\x0ESerious\nAber um die Wahrheit zu sagen... Ich glaube,\nich wäre glücklicher gewesen, wenn ich an\ndeiner Seite gestorben wäre.\x0E\x04\x00\x00
MID_BT12_#006	\x0E\x05\x01\x1E\x14E005_Hide1\x06Sad\n\x0E\x05\x01\x12\x08ロサード\x06Sad\n\x0E\x03\x02\x0A\x08ロサード\nDu hast so viel durchlitten.\x0E\x04\x02\x00
MID_BT12_#007	Ich bin froh, dass dein Rosado dich beschützen\nkonnte. Es tut mir leid, dass er nun nicht bei dir\nsein kann.\x0E\x04\x02\x00
MID_BT12_#008	Das Beste, was ich tun kann, ist, dich zu ihm\nzu schicken.\x0E\x04\x00\x00
MID_BT13_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide1\x02b\n\x0E\x05\x01(\x14E005_Hide1\x10Surprise\n\x0E\x03\x02\x16\x14E005_Hide1\nGoldmary... Ich habe dich kaum wiedererkannt.\x0E\x04\x00\x00
MID_BT13_#002	\x0E\x03\x00\x12\x0Cゴルドマリー\x02t\n\x0E\x05\x01\x16\x0Cゴルドマリー\x06Sad\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nVerständlich. Meine Eleganz ist zu brillant, um\nsie in einer Erinnerung festhalten zu können.\x0E\x04\x00\x00
MID_BT13_#003	\x0E\x05\x01\x1E\x14E005_Hide1\x06Sad\n\x0E\x03\x02\x16\x14E005_Hide1\nNein, ich bin überrascht, dass du überhaupt\nEleganz besitzt.\x0E\x04\x02\x00
MID_BT13_#004	Du warst immer so verschlossen. Du hattest\nkein Selbstvertrauen, kein Charisma...\x0E\x04\x00\x00
MID_BT13_#005	\x0E\x05\x01 \x0Cゴルドマリー\x10Surprise\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nHahaha. Das muss ein Irrtum sein.\x0E\x04\x02\x00
MID_BT13_#006	Das ist unmöglich. Sicherlich denkt Ihr dabei\nan jemand ganz anderen.\x0E\x04\x00\x00
MID_BT13_#007	\x0E\x03\x02\x16\x14E005_Hide1\nUnsere ganze Gruppe war so. Wir wollten nie\ndie Aufmerksamkeit auf uns ziehen.\x0E\x04\x02\x00
MID_BT13_#008	\x0E\x05\x01\x16\x0Cゴルドマリー\x06Sad\nSo war es einfacher, zu überleben... Dachten\nwir jedenfalls.\x0E\x04\x02\x00
MID_BT13_#009	Wenn du nur so selbstsicher und anmutig wie\njetzt gewesen wärst. Ich hätte zu dir aufgeblickt.\x0E\x04\x00\x00
MID_BT14_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide1\x02b\n\x0E\x05\x01$\x14E005_Hide1\x0CNormal\n\x0E\x03\x02\x16\x14E005_Hide1\nLindon... Es ist lange her.\x0E\x04\x00\x00
MID_BT14_#002	\x0E\x03\x00\x0E\x08リンデン\x02t\n\x0E\x05\x01\x18\x08リンデン\x0CNormal\n\x0E\x03\x02\x0A\x08リンデン\nDie Prinzessin Hortensia dieser Welt ist also\nrecht ernsthaft.\x0E\x04\x02\x00
MID_BT14_#003	\x0E\x05\x01\x12\x08リンデン\x06Sad\nSelbst wenn wir Feinde sind, fühlt es sich falsch\nan. Hier, warum probiert Ihr nicht ein paar von\nden Süßigkeiten, die ich gemacht habe?\x0E\x04\x02\x00
MID_BT14_#004	\x0E\x05\x01\x16\x08リンデン\nSmile\nSie sind sehr niedlich, wenn ich das so sagen\ndarf.\x0E\x04\x00\x00
MID_BT14_#005	\x0E\x05\x01$\x14E005_Hide1\x0CStatus\n\x0E\x03\x02\x16\x14E005_Hide1\nNein, danke. Niedliche Dinge passen nicht zu\nmir...\x0E\x04\x00\x00
MID_BT15_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide2\x02b\n\x0E\x05\x01"\x14E005_Hide2\nSmile\n\x0E\x03\x02\x16\x14E005_Hide2\nHey, Ich! Erlaube mir, mich vorzustellen, ich\nbin du.\x0E\x04\x00\x00
MID_BT15_#002	\x0E\x03\x00\x10\nフォガート\x02t\n\x0E\x05\x01\x18\nフォガート\nAngry\n\x0E\x03\x02\x0C\nフォガート\nHuch... Das ist genau das, was ich auch gesagt\nhätte. Du bist wirklich ich.\x0E\x04\x02\x00
MID_BT15_#003	\x0E\x05\x01\x14\nフォガート\x06Shy\nIch müsste lügen, wenn ich sagen würde, dass\ndies ein wahr gewordener Traum ist. Aber das\nist er nicht. Du bist mir zu... niederträchtig.\x0E\x04\x00\x00
MID_BT15_#004	\x0E\x05\x01$\x14E005_Hide2\x0CNormal\n\x0E\x03\x02\x16\x14E005_Hide2\nOh, ich weiß. Ich bin wirklich ein Prachtstück.\nDieser Assassine auf Schloss Lythos? Das war\nich!\x0E\x04\x02\x00
MID_BT15_#005	\x0E\x05\x01$\x14E005_Hide2\x0CStatus\n\x0E\x05\x01\x1E\nフォガート\x10Surprise\nUnd da ich so ein böser Kerl bin, werde ich dich\nwohl töten und deinen Platz in dieser anderen\nWelt einnehmen.\x0E\x04\x02\x00
MID_BT15_#006	\x0E\x05\x01"\x14E005_Hide2\nRelax\n\x0E\x05\x01\x18\nフォガート\nAngry\nAber sieh es mal positiv. Das Letzte, was du\nsehen wirst, ist dein eigenes hübsches Gesicht.\x0E\x04\x00\x00
MID_BT16_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide2\x02b\n\x0E\x05\x01(\x14E005_Hide2\x10Surprise\n\x0E\x03\x02\x16\x14E005_Hide2\nTimerra? Du solltest nicht hier sein.\x0E\x04\x00\x00
MID_BT16_#002	\x0E\x03\x00\x10\nミスティラ\x02t\n\x0E\x05\x01\x14\nミスティラ\x06Sad\n\x0E\x03\x02\x0C\nミスティラ\nJa, ich verstehe, dass das verwirrend sein\nkann...\x0E\x04\x00\x00
MID_BT16_#003	\x0E\x05\x01\x1E\x14E005_Hide2\x06Sad\n\x0E\x03\x02\x16\x14E005_Hide2\nGanz genau. Das Letzte, was ich über dich\nhörte, war, dass Nel dich verspeist hat.\x0E\x04\x00\x00
MID_BT16_#004	\x0E\x03\x02\x0C\nミスティラ\nDas war ich nicht. Das war dein echtes\nSchwesterlein. Ich stamme aus einer anderen\nWelt.\x0E\x04\x00\x00
MID_BT16_#005	\x0E\x05\x01"\x14E005_Hide2\nSmile\n\x0E\x03\x02\x16\x14E005_Hide2\nAaah! Danke, dass du das geklärt hast! Weißt\ndu, ich war verärgert, dass ich dir nicht die\nletzte Ehre erweisen konnte.\x0E\x04\x02\x00
MID_BT16_#006	\x0E\x05\x01"\x14E005_Hide2\nRelax\nIch hatte immer gehofft, dass ich meine\nSchwester töten würde.\x0E\x04\x02\x00
MID_BT16_#007	Nun, ich werde mich dann wohl damit zufrie-\ndengeben müssen, ihr Ebenbild zu töten!\x0E\x04\x00\x00
MID_BT18_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide2\x02b\n\x0E\x05\x01"\x14E005_Hide2\nSmile\n\x0E\x03\x02\x16\x14E005_Hide2\nPandreo, Kumpel! Mann, ist das schön, dich zu\nsehen.\x0E\x04\x02\x00
MID_BT18_#002	Was würdest du dazu sagen, wenn wir die\nWaffen niederlegen und eine Schlachtfeldparty\nsteigen lassen? Ganz wie in alten Zeiten.\x0E\x04\x00\x00
MID_BT18_#003	\x0E\x03\x00\x0E\x08パンドロ\x02t\n\x0E\x05\x01\x14\x08パンドロ\x08pain\n\x0E\x03\x02\x0A\x08パンドロ\nNein, Fogado. Ich werde dafür sorgen, dass Ihr\nin Frieden ruhen könnt. Es ist Folter, Euch so\nzu sehen.\x0E\x04\x00\x00
MID_BT18_#004	\x0E\x05\x01\x1C\x08パンドロ\x10Surprise\n\x0E\x05\x01\x1E\x14E005_Hide2\x06Shy\n\x0E\x03\x02\x16\x14E005_Hide2\nWas denkst du denn, wie es mir geht, wenn ich\ndich sehe – glücklich und gesund? Ich könnte\nfast weinen.\x0E\x04\x02\x00
MID_BT18_#005	\x0E\x05\x01$\x14E005_Hide2\x0CStatus\nIch sah mit an, wie mein Pandreo starb... Mein\nbester Freund auf der Welt, vor meinen Augen\nniedergemetzelt.\x0E\x04\x00\x00
MID_BT18_#006	\x0E\x05\x01\x12\x08パンドロ\x06Sad\n\x0E\x03\x02\x0A\x08パンドロ\nEs... Es tut mir leid, Fogado.\x0E\x04\x00\x00
MID_BT18_#007	\x0E\x05\x01\x1E\x14E005_Hide2\x06Shy\n\x0E\x03\x02\x16\x14E005_Hide2\nEh, weißt du was? Es ist in Ordnung. Ich weiß,\nwie ich mich selbst aufheitern kann.\x0E\x04\x02\x00
MID_BT18_#008	\x0E\x05\x01"\x14E005_Hide2\nRelax\nIch stecke dir einen Pfeil in deinen selbstge-\nrechten Nacken!\x0E\x04\x00\x00
MID_BT19_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide2\x02b\n\x0E\x05\x01"\x14E005_Hide2\nSmile\n\x0E\x03\x02\x16\x14E005_Hide2\nBunet, du bist es! Schön, dich zu sehen, mein\nFreund. Es ist lange her.\x0E\x04\x00\x00
MID_BT19_#002	\x0E\x03\x00\x0A\x04ボネ\x02t\n\x0E\x05\x01\x0E\x04ボネ\x06Sad\n\x0E\x03\x02\x06\x04ボネ\nFogado... Was ist das für ein schreckliches\nGefühl.\x0E\x04\x02\x00
MID_BT19_#003	Würde ich das in einem Gericht ausdrücken,\nwürdet Ihr den Geschmack sicher unappetitlich\nfinden.\x0E\x04\x00\x00
MID_BT19_#004	\x0E\x05\x01\x1E\x14E005_Hide2\x06Shy\n\x0E\x03\x02\x16\x14E005_Hide2\nDu kochst, hm? Lustig. Mein Bunet war in der\nKüche nutzlos.\x0E\x04\x02\x00
MID_BT19_#005	\x0E\x05\x01"\x14E005_Hide2\nRelax\nEr hatte aber kein Problem damit, die Gegner\nzu grillen und in Stücke zu schneiden. Der Kerl\nwar richtig brutal.\x0E\x04\x02\x00
MID_BT19_#006	\x0E\x05\x01\x1E\x14E005_Hide2\x06Sad\nDann, eines Tages, hat es ihn erwischt. Ich sah\nihn da liegen, durchnässt von seinem eigenen\nBlut.\x0E\x04\x00\x00
MID_BT19_#007	\x0E\x03\x02\x06\x04ボネ\nVerstehe...\x0E\x04\x00\x00
MID_BT19_#008	\x0E\x05\x01\x1E\x14E005_Hide2\x06Shy\n\x0E\x03\x02\x16\x14E005_Hide2\nDiese strahlend rote Farbe... Ich frage mich,\nob dein Blut auch so aussieht.\x0E\x04\x02\x00
MID_BT19_#009	\x0E\x05\x01"\x14E005_Hide2\nRelax\nAlso, ich habe da eine Idee. Wie wäre es, wenn\nwir das gemeinsam herausfinden? Ich lasse\ndich sogar davon kosten!\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE005_エル\x022\n\x0E\x03\x00\x18\x12E005_敵クロム\x023\n\x0E\x06\x00*\x12E005_敵クロム\x14MPID_Chrom\n\x0E\x03\x00\x18\x12E005_Boss\x024\n\x0E\x03\x02\x0A\x08リュール\nNel. Du hast mich gerettet.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x10\x0EE005_エル\nIch könnte es nicht ertragen, Euch zu verlieren.\x0E\x04\x02\x00
MID_ED1_#003	Bitte erlaubt mir, mich für die Art und Weise,\nwie ich Euch behandelt habe, zu entschuldigen.\nEs war unverzeihlich.\x0E\x04\x02\x00
MID_ED1_#004	In meiner Schwäche versäumte ich es, zu\nakzeptieren, dass Ihr nicht \x0E\x0A\x00\x10\x06die\x06der \x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott seid,\n\x0E\x0A\x00\x10\x06die\x06den ich verloren habe.\x0E\x04\x02\x00
MID_ED1_#005	Ich verstehe das nun sehr genau. Und wenn\nIhr es erlaubt, würde ich gerne noch einmal\nanfangen, als Freunde.\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0A\x08リュール\nDas würde ich auch gerne.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x10\x0EE005_エル\nIch danke Euch, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x0A\x08リュール\nMeinst du, Nil geht es gut?\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x10\x0EE005_エル\nEr ist nur bewusstlos. Aber wir sollten uns den\nArmring nehmen, solange wir die Gelegenheit\ndazu haben.\x0E\x04\x02\x00
MID_ED1_#010	Der Armring des erhabenen Hirten. Der\neinzige Armring, den wir bereits auf Schloss\nLythos besaßen.\x0E\x04\x02\x00
MID_ED1_#011	Ich hätte mir niemals vorstellen können, dass\nwir gezwungen werden, gegen dich zu kämpfen,\nEmblem Chrom.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x14\x12E005_敵クロム\nIch wusste, Ihr würdet triumphieren. Die\ndunkelste Zukunft besitzt noch Hoffnung.\x0E\x04\x02\x00
MID_ED1_#013	Möget Ihr beide Euer neues Band hegen.\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x0A\x08リュール\nDas werden wir.\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x10\x0EE005_エル\nLasst uns zu den Vier Winden eilen.\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x14\x12E005_Boss\n...\x0E\x04\x02\x00
MID_ED1_#017	Hehehe.\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x1A\x14E004_グレゴリー\x021\n\x0E\x03\x00\x1A\x14E004_マデリーン\x022\n\x0E\x03\x00\x16\x10M011_モーヴ\x023\n\x0E\x03\x00\x1C\x16E004_セレスティア\x024\n\x0E\x03\x02\x16\x14E004_グレゴリー\nHmpf. Es sind so viele von ihnen!\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x16\x14E004_マデリーン\nJa... Jedes Mal, wenn wir einen besiegen, taucht\nein neuer auf.\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x12\x10M011_モーヴ\nWir halten das nicht mehr lange durch.\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x18\x16E004_セレスティア\nWir können hinter dem Altar Schutz suchen\nund ihnen für einen Moment entkommen.\nFolgt mir!\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x1A\x14E004_グレゴリー\x021\n\x0E\x03\x00\x1A\x14E004_マデリーン\x022\n\x0E\x03\x00\x1C\x16E004_セレスティア\x023\n\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x16\x14E004_グレゴリー\nPuuuh... Endlich kommen wir mal zu Atem.\x0E\x04\x00\x00
MID_ED3_#002	\x0E\x03\x02\x16\x14E004_マデリーン\nAber nicht für lange. Der Gegner wird jeden\nMoment zu uns durchbrechen. Was sollen wir\ntun?\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x02\x18\x16E004_セレスティア\nEs gibt nur einen Ausgang, und der wird von\neinem Siegel blockiert, über das weitere\nVerzerrte gerufen werden.\x0E\x04\x00\x00
MID_ED3_#004	\x0E\x03\x02\x16\x14E004_グレゴリー\nDu meinst... wir sitzen in der Falle?\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x02\x12\x10M011_モーヴ\nGanz genau. Gefangen in einem Tempel voller\nVerzerrter.\x0E\x04\x00\x00
MID_ED3_#006	\x0E\x03\x02\x18\x16E004_セレスティア\nWas für ein Glück, dass wir Milady Nel von hier\nfortgeschickt haben. Sie säße nun ebenfalls hier\nmit uns fest.\x0E\x04\x02\x00
MID_ED3_#007	Ich mag es gar nicht aussprechen, aber es\nscheint für uns kein Entkommen zu geben.\nWir werden wohl nicht überleben.\x0E\x04\x00\x00
MID_ED3_#008	\x0E\x03\x02\x16\x14E004_マデリーン\n...\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x02\x12\x10M011_モーヴ\nIch habe einen Plan.\x0E\x04\x00\x00
MID_ED3_#010	\x0E\x03\x02\x16\x14E004_グレゴリー\nHast du? Ich meine, großartig! Genau das wollte\nich von unserem Vize hören!\x0E\x04\x00\x00
MID_ED3_#011	\x0E\x03\x02\x12\x10M011_モーヴ\nEinen Plan, unsere Leben zu opfern, um so viele\nVerzerrte wie möglich zu vernichten.\x0E\x04\x00\x00
MID_ED3_#012	\x0E\x03\x02\x16\x14E004_グレゴリー\nWas?!\x0E\x04\x00\x00
MID_ED3_#013	\x0E\x03\x02\x18\x16E004_セレスティア\nAlso gut. Lass hören.\x0E\x04\x00\x00
MID_ED3_#014	\x0E\x03\x02\x12\x10M011_モーヴ\nWir können sie im Moment nur einen nach dem\nanderen besiegen. Aber was wäre, wenn wir mit\neinem Schlag alle von ihnen ausschalten?\x0E\x04\x02\x00
MID_ED3_#015	Wir könnten uns auf die vier Ecken des Tempels\nverteilen und die Säulen zerstören, die das\nDach des Tempels tragen.\x0E\x04\x02\x00
MID_ED3_#016	Damit zerstören wir den Tempel und vernichten\ngleichzeitig alle Verzerrte.\x0E\x04\x00\x00
MID_ED3_#017	\x0E\x03\x02\x18\x16E004_セレスティア\nHm...\x0E\x04\x00\x00
MID_ED3_#018	\x0E\x03\x02\x12\x10M011_モーヴ\nWenn alles gut geht, verhindern wir so außer-\ndem, dass sie Milady Nel und \x0E\x0A\x00\x10\x06den\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin\nverfolgen.\x0E\x04\x00\x00
MID_ED3_#019	\x0E\x03\x02\x16\x14E004_グレゴリー\nAber ich möchte hier ganz sicher sein... Wir\nwerden dann alle plattgemacht, richtig?\x0E\x04\x00\x00
MID_ED3_#020	\x0E\x03\x02\x12\x10M011_モーヴ\nRichtig.\x0E\x04\x00\x00
MID_ED3_#021	\x0E\x03\x02\x18\x16E004_セレスティア\nIch bin dafür.\x0E\x04\x02\x00
MID_ED3_#022	Wenn alle Wege in den Tod führen, sollten wir\nzumindest den nehmen, auf dem wir diese\nKreaturen mitnehmen können.\x0E\x04\x00\x00
MID_ED3_#023	\x0E\x03\x02\x16\x14E004_マデリーン\nDas scheint mir die beste Option zu sein. Ich\nbin dabei.\x0E\x04\x00\x00
MID_ED3_#024	\x0E\x03\x02\x16\x14E004_グレゴリー\nAber... Ja, ich mache mit.\x0E\x04\x00\x00
MID_ED3_#025	\x0E\x03\x02\x12\x10M011_モーヴ\nSeid ihr euch auch alle wirklich sicher?\x0E\x04\x00\x00
MID_ED3_#026	\x0E\x03\x02\x18\x16E004_セレスティア\nSo gehen wir wenigstens zusammen, oder?\nNiemand muss dem Ende allein ins Auge\nblicken.\x0E\x04\x00\x00
MID_ED3_#027	\x0E\x03\x02\x16\x14E004_マデリーン\nHm... Gregory... Das wird vermutlich ein\nbisschen wehtun.\x0E\x04\x00\x00
MID_ED3_#028	\x0E\x03\x02\x16\x14E004_グレゴリー\nJa, das glaube ich auch. Aber das ist schon in\nOrdnung. Ich kann den Schmerz ertragen, wenn\nich mir sage, dass ich zum letzten Mal leide.\x0E\x04\x02\x00
MID_ED3_#029	Ich meine, vermutlich kann ich das... Ja. Ich\nkann das.\x0E\x04\x00\x00
MID_ED3_#030	\x0E\x03\x02\x12\x10M011_モーヴ\nMadeline. Du bist noch so jung.\x0E\x04\x02\x00
MID_ED3_#031	Vielleicht schaffe ich es, zwei Säulen zu\nzerstören, dann kannst du von hier fliehen.\x0E\x04\x00\x00
