MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスフォリア\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0C\nスフォリア\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, Königliche der drei Königreiche...\nWillkommen im Palast von Solm.\x0E\x04\x02\x00
MID_ED1_#030	Wir können nicht die Konflikte anderer Länder\naustragen. Schon jetzt sind unsere Streitkräfte\nrecht dünn verteilt.\x0E\x04\x02\x00
MID_ED1_#031	So läuft das in Solm. Du wäschst deine Hand,\nwir waschen unsere, vielen Dank.\x0E\x04\x00\x00
MID_ED1_#032	\x0E\x03\x02\x0A\x08リュール\nIch verstehe.\x0E\x04\x00\x00
MID_ED1_#033	\x0E\x03\x02\x0C\nミスティラ\nEs tut mir leid, dass wir Euch täuschen mussten.\nAber wir haben es zum Schutze des\nKöniginreiches getan.\x0E\x04\x00\x00
MID_ED1_#034	\x0E\x03\x02\x0A\x08リュール\nIch übe keine Kritik an den Sitten Eures Volkes.\nIch bin nur überrascht, das ist alles.\x0E\x04\x00\x00
MID_ED1_#035	\x0E\x03\x02\x0C\nミスティラ\nUnd jetzt kommt der wichtigste Teil des Plans.\x0E\x04\x02\x00
MID_ED1_#036	Wenn sich herausstellt, dass Ihr wirklich\n\x0E\x0A\x008\x18der Wyrmgott\x1Cdie Wyrmgöttin seid, sollen wir Euch den Ring\ndes strahlenden Helden überreichen...\x0E\x04\x02\x00
MID_ED1_#037	Und dann sollen wir Euch verraten, wo unser\nzweiter Emblem-Ring zu finden ist.\x0E\x04\x00\x00
MID_ED1_#038	\x0E\x03\x02\x0A\x08リュール\nSolm hat einen zweiten Ring?\x0E\x04\x00\x00
MID_ED1_#039	\x0E\x03\x02\x0C\nミスティラ\nJa. Den Ring der Weltveränderin. Er liegt in\nder--\x0E\x04\x00\x00
MID_ED1_#040	\x0E\x03\x01\x0C\nフォガート\n\x0E\x03\x00 \x1Aソルム兵士_ソードナイト3\x023\n\x0E\x03\x02\x1C\x1Aソルム兵士_ソードナイト3\nEuer Hoheit! Ein Nachricht aus dem Palast von\nSolm!\x0E\x04\x00\x00
MID_ED1_#041	\x0E\x03\x02\x0C\nミスティラ\nWas? Wie lautet sie?\x0E\x04\x00\x00
MID_ED1_#042	\x0E\x03\x02\x1C\x1Aソルム兵士_ソードナイト3\nHortensia, Prinzessin von Elusia, hat die\nVerteidigung des Palastes durchbrochen.\x0E\x04\x00\x00
MID_ED1_#043	\x0E\x03\x00\x0E\x08アイビー\x024\n\x0E\x03\x02\x0A\x08アイビー\nOh... Oh.\x0E\x04\x00\x00
MID_ED1_#044	\x0E\x03\x02\x0C\nミスティラ\nWas?! Wie ist sie dort reingekommen?\nWir müssen Mama retten!\x0E\x04\x00\x00
MID_ED1_#045	\x0E\x03\x02\x0A\x08リュール\nDann los!\x0E\x04\x00\x00
