MID_SYS_EnchantEffect	Verzauberungseff.
MSID_H_AntiLanceArts_5	Ist der Gegner mit einer Lanze\nausgerüstet, erleidet die Einheit\nim Kampf Schaden -5.
MSID_JobSkill_Enchant1	Verzauberung
MSID_JobSkill_Enchant1_CMD1	Itemrausch
MSID_H_JobSkill_Enchant1_CMD1	Verbraucht ein Item, um\nVerbündete zu stärken.
MSID_JobSkill_Enchant1_CMD2	Waffenrausch
MSID_H_JobSkill_Enchant1_CMD2	Verwende eine Waffe, um\nalle ident. Waffen zu stärken.
MSID_JobSkill_Enchant2	Vorrat
MSID_H_JobSkill_Enchant2	Hier können Einheiten Waffen und\nItems lagern oder herausnehmen.
MSID_H_Ent_AntiMorph_Short	Effektiv gegen: Verzerrte für 1 Zug.
MSID_H_Ent_ResistChain_Short	Max KP +\x0E\x01\x00\x00, negiert geg. Koop-Schläge f. 1 Zug.
MSID_H_Ent_WeightZero_Short	Waffengewicht -50 %, Stä. +\x0E\x01\x00\x00 für 1 Zug.
MSID_H_Ent_ResistBreak_Short	Immunität gg. „Bruch“, Beh. +\x0E\x01\x00\x00 für 1 Zug.
MSID_H_Ent_ResistFreeze_Short	Immunität gg. „Einfrieren“, Ges. +\x0E\x01\x00\x00 für 1 Zug.
MSID_H_Ent_MayNoDamage_Short	30 % Chance, erlitt. Schaden zu ignor. f. 1 Zg.
MSID_H_Ent_ReflectPhysic_Short	Reflektiert erlittenen phys. Schaden für 1 Zug.
MSID_H_Ent_ResistSilence_Short	Immunität geg. „Schweigen“, Mag. +\x0E\x01\x00\x00 f. 1 Zug.
MSID_H_Ent_ReflectMagic_Short	Reflektiert erlittenen mag. Schaden für 1 Zug.
MSID_H_Ent_HoldOutOnce_Short	Garantiert Überleben bei mind. 2 KP (1-mal).
MSID_Ent_AntiMorph	Eff.: Verzerrte
MSID_Ent_ResistChain	Koop ignorier.
MSID_Ent_WeightZero	Gewicht -50 %
MSID_Ent_ResistBreak	Bruch ignorier.
MSID_Ent_ResistFreeze	Einfrieren ignor.
MSID_Ent_MayNoDamage	Schaden ignor.
MSID_Ent_ReflectPhysic	Phys. reflekt.
MSID_Ent_ResistSilence	Schweigen ign.
MSID_Ent_ReflectMagic	Magie reflekt.
MSID_Ent_HoldOutOnce	Überleben
MAID_Mascot	Somniellinie
MAID_MascotM	Somnieleinteiler
MAID_H_MascotM	Einteiler, in dem man wie das Schutzwesen des Somniel aussieht. Mit all\nden wohltuenden Details – von den Pfötchen bis zum fluffigen Schweif.
MAID_MascotF	Somnieleinteiler
MAID_H_MascotF	Einteiler, in dem man wie das Schutzwesen des Somniel aussieht. Mit all\nden wohltuenden Details – von den Pfötchen bis zum fluffigen Schweif.
MAID_SolaHead	Somnielmaske
MAID_H_SolaHead	Diese makellose Maske verleiht dem Träger die unergründlichen Miene des\nSchutzwesens. Ein Muss für alle, die einmal Schutzwesen sein wollen.
MAID_CatEar	Somnielohren
MAID_H_CatEar	Ein Accessoire, in aufwändiger Handarbeit erschaffen. So sehen die Ohren\ndes Schutzwesens aus, die bei keinem Schutzwesenoutfit fehlen dürfen.
MAID_DogEar	Hundeohren
MAID_H_DogEar	Ein Accessoire, in aufwändiger Handarbeit erschaffen. Das sind die Ohren\neines Hundes aus Elusia. So zeigt man seine Liebe für die süßen Welpen.
MAID_RabbitEar	Hasenohren
MAID_H_RabbitEar	Ein Accessoire, das wie die Ohren eines Hasen aussieht. Der Flaum an den\nOhren macht sie unglaublich weich.
MAID_FoxEar	Fuchsohren
MAID_H_FoxEar	Ein Accessoire, das wie die Ohren einer seltenen Fuchsart aussieht. Man\nsagt, ihr Träger könne sich sogar in so einen Fuchs verwandeln!
MID_BONDSRING_Hector00	Adliger von Ositia in Elibe, einem\nKontinent einer anderen Welt.
MID_BONDSRING_Hector01	Seine Axt Armads begleitete ihn und\nseinen Freund Eliwood in den Kampf.
MID_BONDSRING_Senerio00	Mitglied von Greils Söldnern aus Tel-\nlius, Kontinent einer anderen Welt.
MID_BONDSRING_Senerio01	Ein talentierter Stratege, der Greils\nSöldner schon oft aus Gefahr rettete.
MID_BONDSRING_Camilla00	Die älteste Prinzessin von Nohr,\neinem Land in einer anderen Welt.
MID_BONDSRING_Camilla01	Sie kann warmherzig sein, ist aber\ngnadenlos gegenüber ihren Feinden.
MGID_Ring_Hector	Armring des eigenwilligen Generals
MGID_H_Ring_Hector	Armring, in dem Hector schläft. Ein\nüberschwänglicher, heroischer Mann\nmit grenzenlosem Selbstvertrauen.
MGID_Ring_Senerio	Armring des Strategen
MGID_H_Ring_Senerio	Armring, in dem Soren schläft. Ein\npräzise kalkulierender Stratege mit\nklarem Urteilsvermögen.
MGID_Ring_Camilla	Armring der vernarrten Schwester
MGID_H_Ring_Camilla	Armring, in dem Camilla schläft.\nEine wunderschöne Wyvernreiterin\nmit einer hinreißenden Aura.
MGID_World_Hector	Welt der Dame der Ebene
MGID_World_Senerio	Welt des strahlenden Helden
MGID_World_Camilla	Welt der Weltveränderin
MID_RELAY_Stamp_Hector_0	Verlass dich weiter auf mich!
MID_RELAY_Stamp_Senerio_0	Nicht schlecht...
MID_RELAY_Stamp_Camilla_0	Jemand verdient eine Bestrafung.
MID_Hub_Horse	Stall
MID_Hub_Fruit	Obstgarten
MID_Hub_Pool	Schwimmbad
MID_Hub_Refresh	Freizeit
MID_Hub_Refresh_Help	Wähle zwei Verbündete aus.
MID_Hub_Refresh_Entrust	Empfehlung
MID_Hub_Refresh_Entrust_Help	Wählt automatisch einen Charakter aus,\nder Unterstützungspunkte erhält.
MID_Hub_Refresh_RelianceLv	Unterstützung
MID_Hub_Refresh_Place	Ort
MID_Hub_Refresh_Unit	Verbünd., die Freizeit haben:
MID_Hub_Refresh_Used	Bereits verwendet
MID_Hub_Refresh_Attention	Du kannst diesen Ort erst nach der nächsten\nSchlacht wieder verwenden.
MID_Hub_Refresh_Confirmation	Freizeit beginnen?
MID_Hub_Refresh_Start	Beginnen
MID_Hub_Refresh_Result	Direkt zu den Ergebnissen
MID_Hub_Refresh_Stop	Abbrechen
MID_Hub_Refresh_RelianceLvUP	Der Unterstützungslevel von \x0E\x01\x00\x00\nund \x0E\x01\x01\x00 hat sich erhöht.
MID_Hub_Refresh_Reliance_Occurrence	Das Unterstützungsgespräch zwischen\n\x0E\x01\x00\x00 und \x0E\x01\x01\x00 wurde freigeschaltet.
MID_Hub_Refresh_NoReliance_Occurrence	\x0E\x01\x00\x00 und \x0E\x01\x01\x00\nfühlen sich erholt.
PCTMID_Hector	„Verlass dich auf mich.“
PCTMID_Senerio	„Fakten sind Fakten.“
PCTMID_Camilla	„Du bist so niedlich!“
MID_Movie_K15	Emblem Hector
MID_H_Movie_K15	Emblem Hector, beschworen aus dem\nArmring des eigenwilligen Generals.
MID_Movie_K16	Emblem Soren
MID_H_Movie_K16	Emblem Soren, beschworen aus dem\nArmring des Strategen.
MID_Movie_K17	Emblem Camilla
MID_H_Movie_K17	Emblem Camilla, beschworen aus dem\nArmring der vernarrten Schwester.
MID_MAP_HIS_EngageWait	\x0E\x01\x00\x00 setzte Auge des Sturms ein.
MID_MAP_HIS_EngageWaitPlus	\x0E\x01\x00\x00 setzte Auge des Sturms+ ein.
MID_MAP_HIS_Enchant	\x0E\x01\x00\x00 setzte Itemrausch ein.
MID_MAP_HIS_Enchant_Weapon	\x0E\x01\x00\x00 setzte Waffenrausch ein.
