MID_MOVIE1_#001	\x0E\x03\x02\x0A\x08ルミエル\nWas tust du hier, so ganz allein?\x0E\x04\x00\x00
MID_ED4_#045	\x0E\x03\x02\x0A\x08リュール\nEs freut mich, helfen zu dürfen, Prinz Alfred.\x0E\x04\x00\x00
MID_ED4_#046	\x0E\x03\x02\x0E\x0Cアルフレッド\n„Alfred“ reicht. Ich habe Euch im Somniel\nbesucht, seit ich ein kleiner Junge war.\x0E\x04\x02\x00
MID_ED4_#047	Ich sehe Euch als \x0E\x0A\x00,\x16einen alten\x12eine alte \x0E\x0A\x00 \x0CFreund\x10Freundin an.\n\x0E\x0A\x00x:Einen sehr, sehr alten Freund:Eine sehr, sehr alte Freundin.\x0E\x04\x00\x00
MID_ED4_#048	\x0E\x03\x02\x0A\x08リュール\nDas gefällt mir. Die Wahrheit ist, dass ich mich\nan nichts, was vor meinem Schlaf geschah,\nerinnern kann.\x0E\x04\x00\x00
MID_ED4_#049	\x0E\x03\x02\x0E\x0Cアルフレッド\nAn gar nichts?\x0E\x04\x00\x00
MID_ED4_#050	\x0E\x03\x02\x0A\x08リュール\nDiese Welt ist neu für mich. Ich weiß es zu\nschätzen, dass ich Freunde habe, die mir etwas\nüber sie beibringen können.\x0E\x04\x00\x00
MID_ED4_#051	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch werde mein Bestes geben.\x0E\x04\x02\x00
MID_ED4_#052	Ich weiß nicht so viel wie Königin Lumera, aber\nich werde es versuchen.\x0E\x04\x00\x00
MID_ED4_#053	\x0E\x03\x02\x0A\x08リュール\nDanke, Alfred.\x0E\x04\x00\x00
MID_ED5_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nBevor wir zu unserer Reise aufbrechen, müssen\nwir eine Operationsbasis einrichten.\x0E\x04\x02\x00
MID_ED5_#002	Das Somniel wäre eindeutig dafür geeignet.\x0E\x04\x00\x00
MID_ED5_#003	\x0E\x03\x02\x0A\x08リュール\nDas ist ein bisschen weit weg, oder?\x0E\x04\x02\x00
MID_ED5_#004	Ich kann mir nicht vorstellen, wie alle dorthin\nund wieder zurück gelangen sollen.\x0E\x04\x00\x00
MID_ED5_#005	\x0E\x03\x02\x0C\nヴァンドレ\nAls \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin könnt Ihr von jedem Ort der\nWelt aus zum Somniel reisen.\x0E\x04\x02\x00
MID_ED5_#006	\x0E\x03\x02\x0A\x08リュール\nWirklich?\x0E\x04\x00\x00
MID_ED5_#007	\x0E\x03\x02\x0C\nヴァンドレ\nWirklich. Außerdem kann das Somniel nur\nmithilfe der Macht eines Wyrmgottes betreten\nwerden.\x0E\x04\x02\x00
MID_ED5_#008	Ohne den Segen Königin Lumeras hätten\nselbst wir Behüter es nicht betreten können.\x0E\x04\x02\x00
MID_ED5_#009	Deshalb ist es so ein sicherer Hafen.\x0E\x04\x00\x00
MID_ED5_#010	\x0E\x03\x02\x0A\x08リュール\nNun, dann machen wir es zu unserer Basis.\x0E\x04\x02\x00
MID_ED5_#011	Doch könntet Ihr mir einen Moment Zeit geben,\nbevor wir aufbrechen?\x0E\x04\x00\x00
MID_ED5_#012	\x0E\x03\x02\x0C\nヴァンドレ\x0E\x05\x01\x1A\nヴァンドレ\x0CNormal\nHm?\x0E\x04\x00\x00
MID_ED5_#013	\x0E\x03\x02\x0A\x08リュール\nWir werden eine Weile fort sein... Ich würde\nmich gerne von meiner Mutter verabschieden.\x0E\x04\x00\x00
MID_ED5_#014	\x0E\x03\x02\x0C\nヴァンドレ\nNatürlich. Nehmt Euch die Zeit, die Ihr braucht.\x0E\x04\x00\x00
MID_ED5_#015	\x0E\x03\x01\x0C\nヴァンドレ\n\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x02\x00
MID_ED5_#016	Danke, dass du all die Zeit über mich gewacht\nhast.\x0E\x04\x02\x00
MID_ED5_#017	Die Reise, die vor uns liegt, wird beschwerlich.\nAber mach dir keine Sorgen – Vander und die\nanderen werden bei mir sein.\x0E\x04\x02\x00
MID_ED5_#018	Ich werde meine Pflicht als \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin erfüllen.\nIch werde alle Ringe zusammenführen, so wie\ndu mich darum gebeten hast.\x0E\x04\x02\x00
MID_ED5_#019	Und dann kehre ich zu dir zurück, Mutter.\nDas verspreche ich.\x0E\x04\x00\x00
MID_ED6_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nDa sind wir wieder. Wir sind sicher und heil\nins Somniel zurückgekehrt.\x0E\x04\x02\x00
MID_ED6_#002	Mir war gar nicht bewusst... wie riesig dieser\nOrt ist.\x0E\x04\x00\x00
MID_ED6_#003	\x0E\x03\x02\x0C\nヴァンドレ\nZurzeit ist es recht ruhig hier, ich weiß. Aber mit\njedem Verbündeten wird es lebhafter werden.\x0E\x04\x02\x00
MID_ED6_#004	Eventuell bräuchten wir noch jemanden, der uns\nmit Ausrüstung versorgt. Das ist etwas, was wir\nim Blick behalten sollten.\x0E\x04\x00\x00
MID_ED6_#005	\x0E\x03\x02\x0A\x08リュール\nJa.\x0E\x04\x00\x00
MID_ED6_#006	\x0E\x03\x02\x0C\nヴァンドレ\nOh, übrigens, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche, mag dies wohl das\nEure sein?\x0E\x04\x00\x00
MID_ED6_#007	\x0E\x03\x02\x0A\x08リュール\nHm? Ein Schmuckstück... Ich erkenne es nicht.\nDer Kristall sieht ungewöhnlich aus.\x0E\x04\x02\x00
MID_ED6_#008	Wo habt Ihr es her?\x0E\x04\x00\x00
MID_ED6_#009	\x0E\x03\x02\x0C\nヴァンドレ\nEs lag auf dem Boden der Ringkammer, nach\ndem Überfall.\x0E\x04\x02\x00
MID_ED6_#010	Ich dachte, es würde vielleicht Euch gehören.\nAber offensichtlich ist dies nicht der Fall.\x0E\x04\x02\x00
MID_ED6_#011	Niemand hat es bisher vermisst, daher wird es\nvielleicht einem der gegnerischen Soldaten\ngehört haben. Ich werde es entsorgen.\x0E\x04\x00\x00
MID_ED6_#012	\x0E\x03\x02\x0A\x08リュール\nWartet.\x0E\x04\x02\x00
MID_ED6_#013	Es fühlt sich irgendwie vertraut an, obwohl ich\nes noch nie gesehen habe.\x0E\x04\x00\x00
MID_ED6_#014	\x0E\x03\x02\x0C\nヴァンドレ\nDann nehmt es bitte an Euch, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\nVielleicht hilft es Euch, Eure Erinnerungen\nwiederzufinden.\x0E\x04\x00\x00
MID_ED6_#015	\x0E\x03\x02\x0A\x08リュール\nDanke schön, Vander.\x0E\x04\x02\x00
MID_ED6_#016	Lasst uns ausruhen und dann nach Firene\naufbrechen.\x0E\x04\x00\x00
