MID_FRIENDLIST_Vandre_TextD	Startklasse: Rittmeister\nGeburtstag: 26. November\nBasisinfo: 32. Behüter des\nDrachen. Wacht über\n\x0E\x06\x03\x00, \x0E\x0A\x00\x10\x06der\x06die auf der\nschwebenden Insel namens\nSomniel schläft.
MID_FRIENDLIST_Zelkova_TextS	Das Leben mit Zelkov:\nWidmet \x0E\x0A\x008\x18dem Wyrmgott\x1Cder Wyrmgöttin den\nGroßteil seiner Aufmerksam-\nkeit und spricht stets offen zu\n\x0E\x0A\x00\x10\x06ihm\x06ihr. Verwahrt den Paktring in\neinem verschlossenen Käst-\nchen. Sein Schlüssel ist in ei-\nnem Kistchen eingeschlossen.
MID_FRIENDLIST_Kagetsu_TextD	Startklasse: Schwertmeister\nGeburtstag: 22. Dezember\nBasisinfo: Er und Zelkov\nsind Getreue von Ivy, der\nPrinzessin von Elusia. Einst\nein Feind \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin,\nschloss sich \x0E\x0A\x00\x10\x06ihm\x06ihr später aber\nim Schattenmoor an.
MID_FRIENDLIST_Kagetsu_TextC	Mag: Waffen, Training, Spiele,\nWettstreite, würdige Gegner,\nFische, Onigiri, Partys,\nSpeisen der Weißen Wüste.\nMag nicht: Putzen, Kochen,\nauf Speisen seines Landes zu\nverzichten, Lesen, Milchpro-\ndukte, kalte Persönlichkeiten.
MID_FRIENDLIST_Kagetsu_TextB	Hobbys: Übungskämpfe,\nVerabredungen.\nTalente: Duelle, Freunde\nfinden, Vorahnungen.\nHintergrund: Geboren in der\nWeißen Wüste Solms. Gab für\ndie Suche nach starken Geg-\nnern sein königliches Erbe auf.
MID_FRIENDLIST_Kagetsu_TextA	Größe: 178 cm\nRingumfang: 58 mm\nCharakter: Aufgeweckt,\nfreundlich. Knüpft schnell\nstarke Bande. Übertrieben\nehrlich. Kann banale Dinge\nvoraussagen. Isst mehr Onigiri\nals jeder andere Verbündete.
MID_FRIENDLIST_Kagetsu_TextS	Das Leben mit Kagetsu:\nVerkündet bei jedem Treffen\nmit \x0E\x0A\x008\x18dem Wyrmgott\x1Cder Wyrmgöttin kühn\nseine Liebe für \x0E\x0A\x00\x10\x06ihn\x06sie. Im Kampf\nernst und beschützend. Trägt\nden Paktring, wohin er auch\ngeht, und hätte ihn schon\nmehrmals beinahe verloren.
MID_FRIENDLIST_Hortensia_TextD	Startklasse: Bändigerin\nGeburtstag: 3. Juni\nBasisinfo: Zweite Prinzessin\nvon Elusia, Ivys jüngere Halb-\nschwester. Ihre Getreuen sind\nRosado und Goldmary. Fein-\ndin \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin bis zum\nTreffen im Palast von Solm.
MID_FRIENDLIST_Hortensia_TextC	Mag: Mode, niedliche Dinge,\nLuxusgüter, Blumen, Familie\nund Freunde, von anderen als\nniedlich bezeichnet zu werden.\nMag nicht: Kochen, scharfes\nEssen, Sport, Käfer, Sonnen-\nbrände, Alleinsein, niedlichere\nPersonen als sie selbst.
MID_FRIENDLIST_Hortensia_TextB	Hobbys: Einkaufen, Kosmetik.\nTalente: Gutes Gedächtnis,\nBegeisterung fürs Lernen.\nHintergrund: Tochter von Kö-\nnig Hyacinths Mätresse. Ihre\nGeschwister wurden vom Hof\nvertrieben, sie selbst kehrte\nauf Geheiß des Königs zurück.
MID_FRIENDLIST_Hortensia_TextA	Größe: 149 cm\nRingumfang: 46 mm\nCharakter: Selbstsicher, zu-\nweilen etwas egoistisch, hat\naber ein gutes Herz. Über-\nsprang einige Schulklassen.\nGroßes Politikwissen. Hat von\nallen das süßeste Zwinkern.
MID_FRIENDLIST_Hortensia_TextS	Das Leben mit Hortensia:\nVersucht, so viel Zeit mit \x0E\x0A\x00\x10\x06dem\x06der\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin zu verbringen\nwie möglich. Verwahrt den\nPaktring in einem Schmuck-\nkästchen ihrer Mutter und\nwartet auf den perfekten\nMoment, ihn zu tragen.
MID_FRIENDLIST_Rosado_TextD	Startklasse: Wyvernritter\nGeburtstag: 19. Januar\nBasisinfo: Kämpfte an Prin-\nzessin Hortensias Seite gegen\ndie Armee \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin.\nTrat ihr später mit Goldmary\nund im Besitz des Rings der\nazurblauen Zwillinge bei.
MID_FRIENDLIST_Rosado_TextC	Mag: Mode, niedliche Dinge,\nBlumen, Partys, das Malen\nschöner Landschaften,\nEntspannen.\nMag nicht: Sonnenbrände,\nLernen, herrische oder\nhumorlose Personen,\nkomplizierte Bücher.
MID_FRIENDLIST_Rosado_TextB	Hobbys: Sich amüsieren,\nkleine Schläfchen machen.\nTalente: Schnellzeichnen.\nHintergrund: Einzelkind aus\neinem Feendorf am See der\nMysterien. Verließ mit Gold-\nmary die Akademie, um Prin-\nzessin Hortensia zu eskortieren.
MID_FRIENDLIST_Rosado_TextA	Größe: 169 cm\nRingumfang: 51 mm\nCharakter: Sorglos und leiden-\nschaftlich. Liebt Niedliches\n(z. B. seine Wyvern einzu-\nkleiden). Malt unglaubliche\nLandschaftsbilder, kann die\nschönsten Schleifen binden.
MID_FRIENDLIST_Rosado_TextS	Das Leben mit Rosado:\nLobt täglich die Niedlichkeit\n\x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin und malt\nschmeichelnde Porträts von\n\x0E\x0A\x00\x10\x06ihm\x06ihr. Hat den Paktring wie\nversprochen stets bei sich\nund trägt ihn voller Freude.
MID_FRIENDLIST_Goldmary_TextD	Startklasse: Held\nGeburtstag: 18. Juli\nBasisinfo: Kämpfte an Prin-\nzessin Hortensias Seite gegen\ndie Armee \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin.\nTrat ihr später mit Rosado\nund im Besitz des Rings der\nazurblauen Zwillinge bei.
MID_FRIENDLIST_Goldmary_TextC	Mag: Mode, niedliche Dinge,\nheiße Quellen, Kochen,\nWäsche waschen, Blumen,\nKomplimente, sich selbst.\nMag nicht: Waffen, Training,\nSonnenbrände, zähes Essen,\ndiejenigen, die ihre Perfektion\nnicht sehen.
MID_FRIENDLIST_Goldmary_TextB	Hobbys: Selbstbewunderung.\nTalente: Rationen packen,\nstrategisches Weinen.\nHintergrund: Einzelkind aus\neinem Dorf mit heißen\nQuellen. Verließ mit Rosado\ndie Akademie, um Prinzessin\nHortensia zu eskortieren.
MID_FRIENDLIST_Goldmary_TextA	Größe: 173 cm\nRingumfang: 49 mm\nCharakter: Leise, aber dafür\nrecht forsch. Ist von ihren\nvielen Talenten überzeugt.\nKann von allen Verbündeten\nam besten die Qualität heißen\nQuellwassers abschätzen.
MID_FRIENDLIST_Goldmary_TextS	Das Leben mit Goldmary:\nVersorgt \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin\nnicht nur mit Essensrationen,\nsondern auch mit vielen\nKomplimenten. Betont stets,\nwie glücklich sie ist. Trägt\nden Paktring immer nur dann,\nwenn sie ungestört ist.
MID_FRIENDLIST_Misutira_TextD	Startklasse: Wächterin\nGeburtstag: 29. August\nBasisinfo: Kronprinzessin von\nSolm. Merrin und Panette\nsind ihre Getreuen. Schützte\nden Ring des strahlenden\nHelden, bevor sie sich \x0E\x0A\x00\x10\x06dem\x06der\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin anschloss.
MID_FRIENDLIST_Misutira_TextC	Mag: Fleisch, Musik, Partys,\nMode, Tiere, Zelten, Wan-\ndern, Freiheit, mit Freunden\nam Lagerfeuer sitzen.\n\nMag nicht: Putzen, Märchen,\nfeine Handarbeit, Verbote,\nVorschriften.
MID_FRIENDLIST_Misutira_TextB	Hobbys: Singen, Zelten.\nTalente: Führung, Ablenkung.\nHintergrund: Timerra wurde\nzur Königin erzogen, ist aber\nselten im Schloss und durch-\nwandert das Land, um es zu\nverstehen. Dient auch als\nWächterin ihres Landes.
MID_FRIENDLIST_Misutira_TextA	Größe: 159 cm\nRingumfang: 50 mm\nCharakter: Freigeistig, boden-\nständig und freundlich, zeigt\nFeinden jedoch keine Gnade.\nSingt lauthals ihre eigenen\nLieder und spielt manchmal\nnachts auf ihren Trommeln.
MID_FRIENDLIST_Misutira_TextS	Das Leben mit Timerra:\nSie macht gerne Lagerfeuer\nfür \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin, wenn sie\nzusammen sind. Doch auch\nwenn sie getrennt sind, trägt\nsie den Paktring stets in einer\nTasche aus goldenem Garn\nbei sich.
MID_FRIENDLIST_Merin_TextD	Startklasse: Wolfsritter\nGeburtstag: 24. September\nBasisinfo: Ritterin von Solm\nund Getreue von Prinzessin\nTimerra. Merrin traf \x0E\x0A\x00\x10\x06den\x06die\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin bei der Oase, an\nder sie mit Timerra und\nPanette Banditen bezwang.
MID_FRIENDLIST_Merin_TextC	Mag: Fleisch, Waffen, Musik,\nTiere, lässige Dinge, Süßig-\nkeiten, seltene Viecher,\nTimerras Lieder.\n\nMag nicht: Spukgeschichten,\nstarke Gerüche, Versagen,\nLeute, die Tiere nicht mögen.
MID_FRIENDLIST_Merin_TextB	Hobbys: Studieren seltener\nKreaturen.\nTalente: Tiere und ihr\nVerhalten verstehen.\nHintergrund: Sie wurde zur\nAnführerin ihres Heimat-\ndorfes erzogen und rannte\nfort, um Ritterin zu werden.
MID_FRIENDLIST_Merin_TextA	Größe: 173 cm\nRingumfang: 51 mm\nCharakter: Eine gewandte\nRitterin mit einer Vorliebe für\nalles, was „lässig“ ist. Sie ist\ntierlieb und mag seltene\nViecher. Sie trägt gerne\nSüßigkeiten bei sich.
MID_FRIENDLIST_Merin_TextS	Das Leben mit Merrin:\nSie schreibt weiter an ihrem\nBuch über \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin\nund hofft, dass sie irgend-\nwann gemeinsam für ein Tier\nsorgen. Trägt den Paktring\nselten, weil er ihr ein\n„lahmes“ Lächeln beschert.
MID_FRIENDLIST_Panetone_TextD	Startklasse: Berserker\nGeburtstag: 23. Oktober\nBasisinfo: Kriegerin aus Solm\nund Pandreos kleine Schwes-\nter. Traf \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin bei\nder Oase, an der sie mit\nTimerra und Merrin Banditen\nbezwang, und folgte \x0E\x0A\x00\x10\x06ihm\x06ihr.
MID_FRIENDLIST_Panetone_TextC	Mag: Scharfes Essen, Ruinen,\nImbissbudengerichte, Waffen,\nSpukgeschichten, Dunkelheit,\nGeister, Käfer, von Timerra\ngegrilltes Fleisch.\nMag nicht: Niedliche Dinge,\nKochen, Blumen, Putzen,\nEtikette, Kirche, heilige Orte.
MID_FRIENDLIST_Panetone_TextB	Hobbys: Unheimliche Orte.\nTalente: Schlägereien, Kampf.\nHintergrund: Wurde als Kind\ngeistlicher Eltern in Solm ge-\nboren, lief von zu Hause weg\nund ließ ihren Bruder zurück.\nFreundete sich mit Timerra\nan, deren Getreue sie wurde.
MID_FRIENDLIST_Panetone_TextA	Größe: 164 cm\nRingumfang: 51 mm\nCharakter: Spricht übertrie-\nben höflich. Versucht, extrem\nkultiviert zu erscheinen, um\nihre wilde Vergangenheit zu\nkaschieren. Sie ist die zuvor-\nkommendste Verbündete.
MID_FRIENDLIST_Panetone_TextS	Das Leben mit Panette:\nTrotz ihrer anfänglichen\nÄngste lebt Panette in\näußerster Harmonie mit \x0E\x0A\x00\x10\x06dem\x06der\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin. Den Paktring\nlegt sie nur im Kampf ab und\nverwahrt ihn dann in ihrer\nLieblingsschatulle.
MID_FRIENDLIST_Fogato_TextD	Startklasse: Wächter\nGeburtstag: 14. Februar\nBasisinfo: Prinz von Solm.\nPandreo und Bunet sind\nseine Getreuen. Auf der Jagd\nnach Verzerrten traf er \x0E\x0A\x00\x10\x06den\x06die\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin samt Gefolge und\nbot ihnen an, sie zu führen.
MID_FRIENDLIST_Fogato_TextC	Mag: Fleisch, Partys, Musik,\nBlumen, Natur, tropische\nFrüchte, Familie, Freunde.\n\nMag nicht: Spukgeschichten,\nMärchen, Süßkartoffeln,\nAngeln, wenn seine wahren\nAbsichten entdeckt werden.
MID_FRIENDLIST_Fogato_TextB	Hobbys: Feiern, Sticheleien.\nTalente: Observation,\nunerkannte Ermittlungen.\nHintergrund: Fogado ist Prinz\nvon Solm und Anführer der\nWächter. Als Kind lernte er\nauf Reisen mit seinem Vater,\nseine Identität zu verbergen.
MID_FRIENDLIST_Fogato_TextA	Größe: 178 cm\nRingumfang: 60 mm\nCharakter: Fogado ist heiter\nund gesellig und liebt Partys.\nEr ist außerdem gewitzt und\nscharfsinnig. In der Armee ist\ner für seine ungenierte\nHerzlichkeit bekannt.
MID_FRIENDLIST_Fogato_TextS	Das Leben mit Fogado:\nObwohl er gerne das Schlitz-\nohr spielt, ist Fogado in\nGegenwart \x0E\x0A\x00\x10\x06des\x06der \x0E\x0A\x00,\x14Wyrmgottes\x14Wyrmgöttin\nstets aufrichtig. Er legt den\nPaktring nie ab und küsst vor\njedem Kampf den Edelstein,\nwas ihm Glück bringen soll.
MID_FRIENDLIST_Pandoro_TextD	Startklasse: Oberpriester\nGeburtstag: 6. Januar\nBasisinfo: Dieser Priester des\nPalasts von Solm bekämpfte\nmit Bunet Verzerrte in der\nWüste Tullah, als Fogado mit\n\x0E\x0A\x00\x10\x06dem\x06der \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin eintraf, was\nfür Pandreo aufregend war.
MID_FRIENDLIST_Pandoro_TextC	Mag: \x0E\x0A\x008\x18Den Wyrmgott\x1CDie Wyrmgöttin, Partys,\nMusik, Spiele, Märchen,\nMilchprodukte, Singen,\nenthusiastische Gläubige.\n\nMag nicht: Sport, Training,\nscharfes Essen, Tanzen,\nengstirnige Leute.
MID_FRIENDLIST_Pandoro_TextB	Hobbys: Feiern, Heulen.\nTalente: Singen, Durchfeiern,\ndie Sorgen anderer anhören.\nHintergrund: Als Kinder von\nGeistlichen hatten er und\nseine Schwester Panette eine\nschwere Kindheit, bevor er\nköniglicher Getreuer wurde.
MID_FRIENDLIST_Pandoro_TextA	Größe: 175 cm\nRingumfang: 54 mm\nCharakter: Dieser lebensfrohe\nPartylöwe mag verantwor-\ntungslos scheinen, ist jedoch\nein ergebener, aufrichtiger\nGeistlicher. Er hat das lautes-\nte Heulen in der Armee.
MID_FRIENDLIST_Pandoro_TextS	Das Leben mit Pandreo:\nEr schenkt \x0E\x0A\x00\x10\x06dem\x06der \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin\ngerne ein Lächeln und ist in\n\x0E\x0A\x00\x1A\x0Cdessen\nderen Gegenwart nicht mehr\nnervös. Ist \x0E\x0A\x00@\x1Cseinem Partner seiner Partnerin\nstill ergeben und verwahrt\nden Paktring in einem Altar,\nwo er täglich zu ihm betet.
MID_FRIENDLIST_Bonet_TextD	Startklasse: Erzritter\nGeburtstag: 30. Mai\nBasisinfo: Solms königlicher\nKoch traf \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin, als\ner in der Wüste Tullah mit\nseinem Freund Pandreo\nVerzerrte bekämpfte. Prinz\nFogado machte sie bekannt.
MID_FRIENDLIST_Bonet_TextC	Mag: Kochen, Teepartys,\nKräuter, Blumen, Zutaten\naller Art, leckere Dinge.\n\nMag nicht: Starke Gerüche,\nSonnenbrände, Training,\nlaute Orte, helle Orte, zu\nstark gewürztes Essen.
MID_FRIENDLIST_Bonet_TextB	Hobbys: Abschmecken,\nGartenarbeit.\nTalente: Gerichte nachkochen.\nHintergrund: Als Banditen das\nGasthaus seiner Eltern zer-\nstörten, wollte er königlicher\nKoch werden. Fogado machte\nihn zu einem Getreuen.
MID_FRIENDLIST_Bonet_TextA	Größe: 184 cm\nRingumfang: 62 mm\nCharakter: Er ist stets auf der\nSuche nach neuen Zutaten\nund probiert alles, was lecker\naussieht, selbst wenn es nicht\nessbar ist. Sein Wissen über\nFlaggen ist unübertroffen.
MID_FRIENDLIST_Bonet_TextS	Das Leben mit Bunet:\nEr lässt sich gerne von seiner\ngemeinsamen Zeit mit \x0E\x0A\x00\x10\x06dem\x06der\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin zu neuen Gerich-\nten inspirieren. Den Paktring\nverwahrt er in einem Kistchen\nmit Blumen und Kräutern.\nEinmal leckte er am Edelstein.
MID_FRIENDLIST_Anna_TextD	Startklasse: Axtkämpfer\nGeburtstag: 8. Juni\nBasisinfo: Händlerin in Aus-\nbildung. Schlich sich auf der\nSuche nach Schätzen in ein\nBanditenlager und verließ ihr\nVersteck, um der Armee \x0E\x0A\x00\x10\x06des\x06der\n\x0E\x0A\x00,\x14Wyrmgottes\x14Wyrmgöttin beizutreten.
MID_FRIENDLIST_Anna_TextC	Mag: Milchprodukte, Nähen,\nKochen, Feste, Schnee,\nGeld verdienen, Luxusgüter,\nHandwerken.\nMag nicht: Spukgeschichten,\nKäfer, scharfes oder zähes\nEssen, nach Träumen von\nihrer Familie aufzuwachen.
MID_FRIENDLIST_Anna_TextB	Hobbys: Produkte entwickeln.\nTalente: Gold zählen, Holz\nhacken.\nHintergrund: Stammt aus\neinem abgelegenen Dorf in\nElusia. Getrennt von ihrer\nHändlerfamilie lernte sie,\nsich allein durchzuschlagen.
MID_FRIENDLIST_Anna_TextA	Größe: 142 cm\nRingumfang: 43 mm\nCharakter: Gerissene, geizige\nund passionierte Händlerin.\nWeint, wenn sie nichts ver-\nkaufen kann. Liebt Feste und\nbegeht mehr Feiertage als alle\nanderen in der Armee.
MID_FRIENDLIST_Anna_TextS	Das Leben mit Anna:\nTeilt Ideen für neue Produkte\nmit \x0E\x0A\x008\x18dem Wyrmgott\x1Cder Wyrmgöttin, um ihr\nGeschäft auszubauen. Beide\nfeiern jährlich den Jahrestag\nihrer Freundschaft. Trägt den\nPaktring an einer Schnur um\nihren Hals.
MID_FRIENDLIST_Jean_TextD	Startklasse: Kampfmönch\nGeburtstag: 31. März\nBasisinfo: Junger Firener, der\ndie Klinik seines Vaters vor\nVerzerrten beschützte. Nach\ndem Eingreifen der Armee \x0E\x0A\x00\x10\x06des\x06der\n\x0E\x0A\x00,\x14Wyrmgottes\x14Wyrmgöttin schloss er sich\n\x0E\x0A\x00\x10\x06ihm\x06ihr als Medizinlehrling an.
MID_FRIENDLIST_Jean_TextC	Mag: Die Teesorte seines\nHeimatdorfes, Lernen, Lesen,\nTiere, seltene Medizin, Tee-\npartys.\nMag nicht: Sport, Training,\nFeiern, Imbissbudengerichte,\nVerletzungen, Krankheiten,\nseine eigenen Fehler.
MID_FRIENDLIST_Jean_TextB	Hobbys: Naturführer lesen.\nTalente: Medizin herstellen,\nTee kochen.\nHintergrund: Wuchs nahe der\nKlinik seines Vaters in einem\nDorf der Teefelder auf. Seine\nMutter verkauft Tee, die ältere\nSchwester ist Ärztin in Firene.
MID_FRIENDLIST_Jean_TextA	Größe: 140 cm\nRingumfang: 44 mm\nCharakter: Schüchtern, gütig,\nfleißig. Hat einen besonderen\nAkzent. Lernt eifrig, um seine\nTräume zu erfüllen. Hasst\nKrankheiten und Verletzungen.\nTalentierter Hobbyfriseur.
MID_FRIENDLIST_Jean_TextS	Das Leben mit Jean: Macht\nsich oft Sorgen um \x0E\x0A\x00\x10\x06den\x06die\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin. Pflückt gern mit\n\x0E\x0A\x00\x10\x06ihm\x06ihr Kräuter und presst immer\neines zwischen den Seiten\nseiner Bücher. Verwahrt den\nPaktring in einer Flasche, bis\ner ihm eines Tages passt.
MID_FRIENDLIST_Yunaka_TextD	Startklasse: Dieb\nGeburtstag: 28. Juli\nBasisinfo: Gerissene Diebin.\nTraf \x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin erstmals\nam Rande Firenes. Half, den\nRing der Tochter des Lichts\nzurückzuerlangen. Gab später\nzu, ihn gestohlen zu haben.
MID_FRIENDLIST_Yunaka_TextC	Mag: Waffenwissen, Training,\nLesen, Musik, Gifte, in der\nDunkelheit lauern.\n\nMag nicht: Starke Gerüche,\nTiere, Märchen, Partys, Haus-\narbeit, angestarrt werden,\nneugierige Personen
MID_FRIENDLIST_Yunaka_TextB	Hobbys: Diskretion.\nTalente: Imitationen, Waffen-\nwissen und -pflege.\nHintergrund: Soll ihre Eltern\nin jungen Jahren verloren\nhaben. Verließ Brodia in der\nHoffnung, eine neue Person \nzu werden.\n
MID_FRIENDLIST_Yunaka_TextA	Größe: 164 cm\nRingumfang: 49 mm\nCharakter: Scheint voller\nEnergie und gewappnet für\nalles, ist im Kampf jedoch\neine ganz andere Person. Ta-\nlent für Schauspiel und Imita-\ntionen. Ist die Einfühlsamste.
MID_FRIENDLIST_Yunaka_TextS	Das Leben mit Yunaka:\nBefreit von allen Lügen hat\nsie stets ein Lächeln für \x0E\x0A\x00\x10\x06den\x06die\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin, \x0E\x0A\x00\x10\x06der\x06die ihr hilft, ihre\nsorgenreiche Vergangenheit\nhinter sich zu lassen. Verwahrt\nden Paktring in einer Gold-\nschatulle und schätzt ihn sehr.
MID_FRIENDLIST_Seadas_TextD	Startklasse: Tänzer\nGeburtstag: 21. April\nBasisinfo: Tänzer aus Solm,\nder an der Nördlichen Festung\nvon Verzerrten angegriffen\nwurde. Als der Ring der Welt-\nveränderin ihm half, stieß er\nzur Armee \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin.
MID_FRIENDLIST_Seadas_TextC	Mag: Musik, Fleisch, Mode,\nLesen, Kräuter, Sterne,\nSüßigkeiten, den Mond,\ndeftiges Essen.\n\nMag nicht: Training, Sonnen-\nbrände, frühes Aufstehen,\nBitterkeit, Warten, Blähungen.
MID_FRIENDLIST_Seadas_TextB	Hobbys: Neue Orte besuchen.\nTalente: Tanz, Wahrsagerei.\nHintergrund: Er wurde an der\nAzurküste in Solm geboren.\nNach dem Tod seiner Mutter\nschloss er sich einer Kara-\nwane an und brachte es zu\neinem berühmten Tänzer.
MID_FRIENDLIST_Seadas_TextA	Größe: 177 cm\nRingumfang: 53 mm\nCharakter: Er ist charmant,\nein wenig protzig und hat et-\nwas Mystisches. Kann eitel\nsein, aber auch sehr gütig.\nVon allen in der Armee ist er\nder größte Honigliebhaber.
MID_FRIENDLIST_Seadas_TextS	Das Leben mit Seadall:\nEr findet Erfüllung im Leben\nmit \x0E\x0A\x00\x10\x06dem\x06der \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin und die\nbeiden führen gerne lange\nGespräche unter den Sternen.\nVerwahrt den Paktring in\neiner goldbestickten Tasche\nund trägt ihn beim Tanzen.
MID_FRIENDLIST_Linden_TextD	Startklasse: Weiser\nGeburtstag: 29. Juni\nBasisinfo: Elusianischer\nSoldat, der gegen die Truppe\n\x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin kämpfte,\nsich nach einigen Zweifeln\njedoch überreden ließ, \x0E\x0A\x00\x1A\x0Cseiner\nihrer\nArmee beizutreten.
MID_FRIENDLIST_Linden_TextC	Mag: Lange Spaziergänge,\nHandwerken, Kochen, Lesen,\nLernen, Süßkartoffeln,\nmagische Experimente.\nMag nicht: Waffen, Putzen,\nanstrengenden Sport,\ngescheiterte Experimente,\nAufräumen nach Explosionen.
MID_FRIENDLIST_Linden_TextB	Hobbys: Experimente und\nGespräche mit jungen Leuten.\nTalente: Backen mit Magie.\nHintergrund: Ehemaliger\nköniglicher Soldat von Elusia.\nIst verwitwet und hat drei\nerwachsene Kinder.
MID_FRIENDLIST_Linden_TextA	Größe: 175 cm\nRingumfang: 61 mm\nCharakter: Ein Weiser mit\ngewaltiger magischer Macht.\nVerschlingt Bücher und führt\ngern merkwürdige magische\nExperimente durch. Steht\nwortwörtlich unter Strom.
MID_FRIENDLIST_Linden_TextS	Das Leben mit Lindon:\nVersteht sich prächtig mit\n\x0E\x0A\x00\x10\x06dem\x06der \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin und lacht\nmit \x0E\x0A\x00\x10\x06ihm\x06ihr gemeinsam über\nseine Experimente. Trägt den\nPaktring in einem Medaillon\nund will ihn erstmals bei der\nKrönung \x0E\x0A\x00\x0C\x04d.\x04d. \x0E\x0A\x00,\x14Wyrmgottes\x14Wyrmgöttin tragen.
MID_FRIENDLIST_Saphir_TextD	Startklasse: Krieger\nGeburtstag: 17. Januar\nBasisinfo: Mitglied der\nbrodianischen Schlosswache.\nBerichtete \x0E\x0A\x008\x18dem Wyrmgott\x1Cder Wyrmgöttin\nim Hafen von Givre, dass\nSchloss Brodia sicher sei,\nund trat \x0E\x0A\x00\x1A\x0Cseiner\nihrer Armee bei.
MID_FRIENDLIST_Saphir_TextC	Mag: Fische, Waffen, Training,\nAngeln, Meeresfrüchte, Süß-\nkartoffeln, Milchprodukte,\nPartys, wilde Nächte.\nMag nicht: Feine Handarbeit,\nLuxusgüter, Mode, niedliche\nDinge, Schwäche, elusianische\nSoldaten.
MID_FRIENDLIST_Saphir_TextB	Hobbys: Übungskämpfe.\nTalente: Angeln, Schwimmen.\nHintergrund: Stammt aus\neinem Fischerdorf in Brodia.\nVerlor ihre Eltern bei einem\nAngriff elusianischer Soldaten.\nWurde Söldnerin und später\nTeil der königlichen Wache.
MID_FRIENDLIST_Saphir_TextA	Größe: 177 cm\nRingumfang: 55 mm\nCharakter: Beharrlich und\ntapfer. Feilt unermüdlich an\nStärke und Fähigkeiten.\nUngehobelt, aber gutmütig.\nErteilt gern Ratschläge. Gilt in\nder Armee als Fischexpertin.
MID_FRIENDLIST_Saphir_TextS	Das Leben mit Saphir:\nTeilt ihre Vorliebe für Übungs-\nkämpfe und Meeresfrüchte\nmit \x0E\x0A\x008\x18dem Wyrmgott\x1Cder Wyrmgöttin. Trägt den\nPaktring nur selten und findet,\ndass er ihr nicht steht, steckt\nihn aber vor Schlachten\nimmer unter ihre Rüstung.
MID_FRIENDLIST_Veyre_TextD	Startklasse: Dämonenkind\nGeburtstag: 12. September\nBasisinfo: Tochter von\nSombron und Schwester \x0E\x0A\x00\x10\x06des\x06der\n\x0E\x0A\x00,\x14Wyrmgottes\x14Wyrmgöttin \x0E\x06\x03\x00.\nNach Bezwingen ihrer dunk-\nlen Seite will nun sie mit \x0E\x0A\x00\x10\x06dem\x06der\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin die Welt retten.
MID_FRIENDLIST_Veyre_TextC	Mag: Scharfes Essen, Spa-\nzieren, Lesen, Blumen, Spiele,\nKerzenlicht, Geschwister.\n\nMag nicht: Luxusgüter, starke\nGerüche, schlechte Träume,\nSüßigkeiten, helle Orte.
MID_FRIENDLIST_Veyre_TextB	Hobbys: Anderen helfen, Zeit\nmit Freunden verbringen.\nTalente: Verzerrte erschaffen.\nHintergrund: Sie ist das jüng-\nste Kind Sombrons, ihre Mut-\nter war ein Magiedrache. Von\nihrem Vater ließ sie sich ihr\nreines Herz nie verderben.
MID_FRIENDLIST_Veyre_TextA	Größe: 158 cm\nRingumfang: 46 mm\nCharakter: Sie hat ein freund-\nliches, gutmütiges Wesen und\nwürde andere niemals im\nStich lassen. Niemand in der\nArmee kann so viel Schmerz\nertragen wie sie.
