MSID_Hp_5	KP +5
MSID_ClosingAttack	Vorrücken
MSID_H_ClosingAttack	Erlaubt der Einheit 1 Feld auf einen\n2 Felder entfernt stehenden Gegner\nzuzugehen und ihn anzugreifen.
MSID_H_ClosingAttack_CMD	1 Feld bewegen & angreifen.
MSID_RoyEngage	Hinauswachsen
MSID_H_RoyEngage	Verleiht Lv. +5.
MSID_H_RoyEngage_Dragon	Verleiht Lv. +5.\nDrache: Weiterer Lv. +1.
MSID_H_RoyEngage_Horse	Verleiht Lv. +5.\nBerittene: Bew. +1
MSID_H_RoyEngage_Heavy	Verleiht Lv. +5.\nGepanzerte: Max. KP +5.
MSID_RoyEngageAtk	Flammender Löwe
MSID_H_RoyEngageAtk	Erlaubt Angriff auf benachbarten\nGeg. u. ein Gebiet von 3 Feldern.\nSetzt Zielgebiet u. 2 Reihen dahinter\nin Brand. Nur Schwert.
MSID_H_RoyEngageAtk_Dragon	Erlaubt Angriff auf benachbarten\nGeg. u. ein Gebiet von 3 Feldern.\nSetzt Zielgebiet u. 2 Reihen dahinter\nin Brand. Nur Schwert. – Drache:\nAngriffsgebiet wird vergrößert.
MSID_H_RoyEngageAtk_Magic	Erlaubt Angriff auf benachbarten\nGeg. u. einem Gebiet von 3 Feldern.\nSetzt Zielgebiet u. 2 Reihen dahinter\nin Brand. Nur Schwert. – Mystische:\nVergrößert Flammengebiet.
MSID_H_RoyEngageAtk_CMD	Gebiet angreifen & anzünden.
MSID_M011_RoyEngage_DarkSide	Absinken
MSID_H_M011_RoyEngage_DarkSide	Verleiht Lv. +3.
MSID_AugmentDamage_1	Waffenschild
MSID_H_AugmentDamage_1	Besitzt die Einheit einen\nWaffenvorteil, erleidet sie\nSchaden -3.
MSID_AugmentDamage_2	Waffenschild+
MSID_H_AugmentDamage_2	Besitzt die Einheit einen\nWaffenvorteil, erleidet sie\nSchaden -5.
MSID_AugmentDamage_3	Waffenschild++
MSID_H_AugmentDamage_3	Besitzt die Einheit einen\nWaffenvorteil, erleidet sie\nSchaden -7.
MSID_Ambush_1	Vorteil
MSID_H_Ambush_1	Sind die KP der Einheit ≦25 % und\ninitiiert der Gegner den Kampf, kann\ndie Einheit vor dem ersten Angriff\ndes Gegners kontern.
MSID_Ambush_2	Vorteil+
MSID_H_Ambush_2	Sind die KP der Einheit ≦50 % und\ninitiiert der Gegner den Kampf, kann\ndie Einheit vor dem ersten Angriff\ndes Gegners kontern.
MSID_Ambush_3	Vorteil++
MSID_H_Ambush_3	Sind die KP der Einheit ≦75 % und\ninitiiert der Gegner den Kampf, kann\ndie Einheit vor dem ersten Angriff\ndes Gegners kontern.
MSID_LeafEngage	Anpassungsfähig
MSID_H_LeafEngage	Initiiert der Gegner den Kampf,\nerwidert die Einheit den Angriff mit\nihrer besten verfügbaren Waffe\n(Reichweite, Waffenvorteil,\nEffektivität usw.).
MSID_H_LeafEngage_Dragon	Initiiert der Gegner den Kampf, erwi-\ndert die Einheit den Angriff mit ihrer\nbesten verfügbaren Waffe (Reichw.,\nWaffenvorteil, Effektivität usw.).\nDrache: Trf. +30 im Kampf.
MSID_H_LeafEngage_Coop	Initiiert der Gegner den Kampf, erwi-\ndert die Einheit den Angriff mit ihrer\nbesten verfügbaren Waffe (Reichw.,\nWaffenvorteil, Effektivität usw.).\nAssistent: Krit. +10 im Kampf.
MSID_H_LeafEngage_Covert	Initiiert der Gegner den Kampf, erwi-\ndert die Einheit den Angriff mit ihrer\nbesten verfügbaren Waffe (Reichw.,\nWaffenvorteil, Effektivität usw.).\nVerstohlene: Aw. +20 im Kampf.
MSID_H_LeafEngage_Heavy	Initiiert der Gegner den Kampf, erwi-\ndert die Einheit den Angriff mit ihrer\nbesten verfügbaren Waffe (Reichw.,\nWaffenvorteil, Effektivität usw.).\nGepanzerte: Ver. +5 im Kampf.
MSID_H_LeafEngage_Fly	Initiiert der Gegner den Kampf, erwi-\ndert die Einheit den Angriff mit ihrer\nbesten verfügbaren Waffe (Reichw.,\nWaffenvorteil, Effektivität usw.).\nFlieger: Res. +5 im Kampf.
MSID_LeafEngageAtk	Vierfachtreffer
MSID_H_LeafEngageAtk	Die Einheit kann ein Mal jeweils mit\nSchwert, Lanze, Axt und Bogen\nangreifen.\n
MSID_H_LeafEngageAtk_Dragon	Die Einheit kann ein Mal jeweils mit\nSchwert, Lanze, Axt und Bogen\nangreifen.\nDrache: Fügt Schaden +20 % zu.
MSID_H_LeafEngageAtk_Covert	Die Einheit kann ein Mal jeweils mit\nSchwert, Lanze, Axt und Bogen\nangreifen.\nVerstohlene: Gegner können 1000 G\nhinterlassen. Chance in % = Glk.
MSID_H_LeafEngageAtk_Prana	Die Einheit kann ein Mal jeweils mit\nSchwert, Lanze, Axt und Bogen\nangreifen.\nQi-Adept: Bricht den Gegner.
MSID_H_LeafEngageAtk_CMD	Angriff mit vier Waffen.
MSID_BondPower	Doppelschlag
MSID_H_BondPower	Die Einheit beteiligt sich an\nKoop-Schlägen, so als sei sie\neine Assistent-Einheit.
MSID_DualAssist_1	Doppelbeistand
MSID_H_DualAssist_1	Ist die Einheit zu Koop-Schlägen\nfähig, beteiligt sie sich an diesen,\nwenn Verbündete Gegner in ihrer\nBewegungsreichweite angreifen.\nChance in % = 35.
MSID_DualAssist_2	Doppelbeistand+
MSID_H_DualAssist_2	Ist die Einheit zu Koop-Schlägen\nfähig, beteiligt sie sich an diesen,\nwenn Verbündete Gegner in ihrer\nBewegungsreichweite angreifen.\nChance in % = 70.
MSID_DualSupport	Doppelwerte
MSID_H_DualSupport	Verleiht einen Bonus auf Aw., der\nsich mit dem Unterstützungslevel der\nEinheit mit benachbarten Verbün-\ndeten erhöht. (Max. +90)
MSID_LucinaEngage	Schildbund
MSID_H_LucinaEngage_CMD	Kann erste Angriffe auf benachbarte\nVerb. verhindern. Chance in % = 80.
MSID_H_LucinaEngage_CMD_Dragon	Kann erste Angriffe auf benachbarte\nVerb. verhindern. Chance in % = 90.
MSID_H_LucinaEngage_CMD_Prana	Verhindert die ersten Angriffe\nauf benachbarte Verbündete.
MSID_H_LucinaEngage	Erlaubt es der Einheit, die ersten\nAngriffe auf benachbarte Verbündete\nzu verhindern. Chance in % = 80.
MSID_H_LucinaEngage_Dragon	Erlaubt es der Einheit, die ersten\nAngriffe auf benachbarte Verbündete\nzu verhindern. Chance in % = 80.\nDrache: Chance +10 %.
MSID_H_LucinaEngage_Horse	Erlaubt es der Einheit, die ersten\nAngriffe auf benachbarte Verbündete\nzu verhindern. Chance in % = 80.\nBerittene: Chance in % = 100 für\nberittene Verbündete.
MSID_H_LucinaEngage_Heavy	Erlaubt es der Einheit, die ersten\nAngriffe auf benachbarte Verbündete\nzu verhindern. Chance in % = 80.\nGepanzerte: Chance in % = 100 für\ngepanzerte Verbündete.
MSID_H_LucinaEngage_Fly	Erlaubt es der Einheit, die ersten\nAngriffe auf benachbarte Verbündete\nzu verhindern. Chance in % = 80.\nFlieger: Chance in % = 100 für\nfliegende Verbündete.
MSID_H_LucinaEngage_Prana	Erlaubt es der Einheit, die ersten\nAngriffe auf benachbarte Verbündete\nzu verhindern. Chance in % = 80.\nQi-Adept: Chance in % = 100.
MSID_LucinaEngageAtk	Alle für einen
MSID_H_LucinaEngageAtk	Erlaubt einen Schwertangriff auf\neinen benachbarten Gegner. Alle\nVerb. innerhalb von 2 Feldern\ngreifen im Koop-Schlag an.
MSID_H_LucinaEngageAtk_Dragon	Erlaubt einen Schwertangriff auf\neinen benachbarten Gegner. Alle\nVerb. innerhalb v. 2 Feldern greifen\nim Koop-Schlag an. – Drache: Alle\nKoop-Schläge treffen garantiert.
MSID_H_LucinaEngageAtk_Coop	Erlaubt einen Schwertangriff auf\neinen benachbarten Gegner. Alle\nVerb. innerhalb von 2 Feldern\ngreifen im Koop-Schlag an.\nAssistent: Reichweite +1.
MSID_H_LucinaEngageAtk_CMD	Koop-Schlag aller Verb. in der Nähe.
MSID_Pursuit_1	Vehemenz
MSID_H_Pursuit_1	Initiiert die Einheit einen Kampf mit\neinem Ges.-Vorteil von mindestens\n9, erfolgt ihr Folgeangriff, sofern\nmöglich, bevor der Gegner kontern\nkann.
MSID_Pursuit_2	Vehemenz+
MSID_H_Pursuit_2	Initiiert die Einheit einen Kampf mit\neinem Ges.-Vorteil von mindestens\n7, erfolgt ihr Folgeangriff, sofern\nmöglich, bevor der Gegner kontern\nkann.
MSID_Pursuit_3	Vehemenz++
MSID_H_Pursuit_3	Initiiert die Einheit einen Kampf mit\neinem Ges.-Vorteil von mindestens\n5, erfolgt ihr Folgeangriff, sofern\nmöglich, bevor der Gegner kontern\nkann.
MSID_SpeedAbsorption	Ges.-Dieb
MSID_H_SpeedAbsorption	Initiiert die Einheit den Kampf und\nbesiegt einen Gegner, erhält sie jedes\nMal Ges. +2. Der Bonus gilt bis zum\nEnde der Schlacht. (Max. +10)
MSID_LinEngage	Doppelgängerruf
MSID_H_LinEngage	Kreiert 4 Doppelgängerillusionen,\ndie mit der Einheit Koop-Schläge\nausführen können.
MSID_H_LinEngage_Dragon	Kreiert 4 Doppelgängerillusionen,\ndie mit der Einheit Koop-Schläge\nausführen können.\nDrache: Doppelgänger +1.
MSID_H_LinEngage_Fly	Kreiert 4 Doppelgängerillusionen,\ndie mit der Einheit Koop-Schläge\nausführen können.\nFlieger: Doppelgänger besitzen\nAw. +10.
MSID_H_LinEngage_CMD	Ruft Doppelgänger.
MSID_LinEngage_Delete_CMD	Doppelgängerbann
MSID_H_LinEngage_Delete_CMD	Verbannt Doppelgänger.
MSID_LinEngageAtk	Astrasturm
MSID_H_LinEngageAtk	Erlaubt 5 Angriffe mit dem Bogen\nmit je 30 % Schaden und einer\nReichweite bis maximal 10.
MSID_H_LinEngageAtk_Dragon	Erlaubt 5 Angriffe mit dem Bogen\nmit je 30 % Schaden und einer\nReichweite bis maximal 10.\nDrache: Reichweite +5.
MSID_H_LinEngageAtk_Covert	Erlaubt 5 Angriffe mit dem Bogen\nmit je 30 % Schaden und einer\nReichweite bis maximal 10.\nVerstohlene: Reichweite +10.
MSID_H_LinEngageAtk_Prana	Erlaubt 5 Angriffe mit dem Bogen\nmit je 30 % Schaden und einer\nReichweite bis maximal 10.\nQi-Adept: Bricht das Ziel.
MSID_H_LinEngageAtk_CMD	Pfeile mit extremer Reichw.
MSID_H_LinEngageAtk_Weak	Erlaubt 5 Angriffe mit dem Bogen\nmit Schaden +20 % und innerhalb\neiner Rw. von bis zu 10 Feldern.\n
MSID_H_LinEngageAtk_DarkSide_Prana	Erlaubt 5 Angriffe mit dem Bogen\nmit Schaden +20 % und innerhalb\neiner Rw. von bis zu 10 Feldern.\nQi-Adept: Bricht das Ziel.
MSID_Ravage	Zerstören
MSID_H_Ravage	Beseitigt zerstörbares Gelände mit\neinem einzigen Schlag, wenn\n„Durchbrechen“ verwendet wird.
MSID_PullBack	Verlegung
MSID_H_PullBack	Bewegt einen Verbündeten\nvon einem benachbarten Feld\nauf die gegenüberliegende Seite\nder Einheit.
MSID_H_PullBack_CMD	Verb. Einheit auf gegenüber-\nliegendes Feld bewegen.
MSID_Anger	Ingrimm
MSID_H_Anger	Verleiht zu Beginn des Kampfes\nKrit. +1 im Kampf für jeden KP, den\ndie Einheit verloren hat. (Max. +30)
MSID_BraveGeneral_1	Kühnheit
MSID_H_BraveGeneral_1	Sind die KP der Einheit nach dem\nKampf unter 75 %, erhält sie\nVer./Res. +5, solange ihre KP\nunter 75 % bleiben.
MSID_BraveGeneral_2	Kühnheit+
MSID_H_BraveGeneral_2	Sind die KP der Einheit nach dem\nKampf unter 75 %, erhält sie\nVer./Res. +7, solange ihre KP\nunter 75 % bleiben.
MSID_IkeEngage	Freund der Laguz
MSID_H_IkeEngage	Die Einheit erleidet 50 % weniger\nSchaden, aber ihr Aw.-Wert sinkt\nauf 0.
MSID_H_IkeEngage_Dragon	Die Einheit erleidet 50 % weniger\nSchaden, aber ihr Aw.-Wert sinkt\nauf 0.\nDrache: Zusätzliche -10 % auf\nerlittenen Schaden.
MSID_IkeEngageAtk	Großer Aithir
MSID_H_IkeEngageAtk	Ver./Res. +5, kein Kontern für 1 Zug.\nNächster Zug: Angriff im Bereich von\n2 Feldern, KP-Heilung = 30 % des\nzugefügten Schadens.\nNur Schwert/Axt.
MSID_H_IkeEngageAtk_Dragon	Ver./Res. +5, kein Kontern für 1 Zug.\nNächster Zug: Angriff im Bereich von\n2 Feldern, KP-Heilung = 30 % des\nzugefüg. Schadens. Nur Schwert/Axt.\nDrache: +1 Schaden/gegn. Treffer.
MSID_H_IkeEngageAtk_Heavy	Ver./Res. +5, kein Kontern für 1 Zug.\nNächster Zug: Angriff im Bereich von\n2 Feldern, KP-Heilung = 30 % des\nzugefüg. Schadens. Nur Schwert/Axt.\nGepanzerte: Zusätzlich Ver. +5.
MSID_H_IkeEngageAtk_Fly	Ver./Res. +5, kein Kontern für 1 Zug.\nNächster Zug: Angriff im Bereich von\n2 Feldern, KP-Heilung = 30 % des\nzugefüg. Schadens. Nur Schwert/Axt.\nFlieger: Zusätzlich Res. +5.
MSID_H_IkeEngageAtk_CMD	1 Zug aushalten, um danach\neinen Bereich anzugreifen.
MSID_HeavenBeat_1	Göttlicher Puls
MSID_H_HeavenBeat_1	Eine missglückte Attacke kann sich\nin einen Treffer verwandeln.\nChance in % = 30. Mit höherem\nGlück erhöht sich die Chance.
MSID_HeavenBeat_2	Göttlicher Puls+
MSID_H_HeavenBeat_2	Eine missglückte Attacke kann sich\nin einen Treffer verwandeln.\nChance in % = 50. Mit höherem\nGlück erhöht sich die Chance.
MSID_TeacherGuidance	Respektable Lehrkraft
MSID_H_TeacherGuidance	Gewährt der Einheit und\nbenachbarten Verbündeten\nErf. x 1,2.
MSID_PickUp	Fundsache
MSID_H_PickUp	Wartet oder beendet die Einheit den\nZug neben einem Verbündeten, kann\nsie ein Item finden und den Unter-\nstützungslevel mit diesem Verbünde-\nten erhöhen. Chance in % = Glk.
MSID_PickUp_Message	Item von \x0E\x01\x00\x00 gefunden\nund zurückgegeben.
MSID_BylethEngage	Unterricht
MSID_H_BylethEngage	Verleiht Verbündeten innerhalb\nvon 2 Feldern einen Wertebonus je\nnach Typ des Anwenders.\n(Dauer: 1 Runde)
MSID_H_BylethEngage_Dragon	Verleiht Verbündeten innerhalb\nvon 2 Feldern einen Wertebonus je\nnach Typ des Anwenders.\n(Dauer: 1 Runde)\nDrache: Alle 7 Statuswerte +3.
MSID_BylethEngage_Dragon_CMD	Unterricht (Alle)
MSID_H_BylethEngage_Dragon_CMD	Alle Werte benachb. Verb. +3
MSID_H_BylethEngage_Coop	Verleiht Verbündeten innerhalb\nvon 2 Feldern einen Wertebonus je\nnach Typ des Anwenders.\n(Dauer: 1 Runde)\nAssistent: Stä. +4.
MSID_BylethEngage_Coop_CMD	Unterricht (Stä.)
MSID_H_BylethEngage_Coop_CMD	Benachbarte Verb.: Stä. +4
MSID_H_BylethEngage_Horse	Verleiht Verbündeten innerhalb\nvon 2 Feldern einen Wertebonus je\nnach Typ des Anwenders.\n(Dauer: 1 Runde)\nBerittene: Beh. +10.
MSID_BylethEngage_Horse_CMD	Unterricht (Beh.)
MSID_H_BylethEngage_Horse_CMD	Benachbarte Verb.: Beh. +10
MSID_H_BylethEngage_Covert	Verleiht Verbündeten innerhalb\nvon 2 Feldern einen Wertebonus je\nnach Typ des Anwenders.\n(Dauer: 1 Runde)\nVerstohlene: Ges. +5.
MSID_BylethEngage_Covert_CMD	Unterricht (Ges.)
MSID_H_BylethEngage_Covert_CMD	Benachbarte Verb.: Ges. +5
MSID_H_BylethEngage_Heavy	Verleiht Verbündeten innerhalb\nvon 2 Feldern einen Wertebonus je\nnach Typ des Anwenders.\n(Dauer: 1 Runde)\nGepanzerte: Ver. +5.
MSID_BylethEngage_Heavy_CMD	Unterricht (Ver.)
MSID_H_BylethEngage_Heavy_CMD	Benachbarte Verb.: Ver. +5
MSID_H_BylethEngage_Fly	Verleiht Verbündeten innerhalb\nvon 2 Feldern einen Wertebonus je\nnach Typ des Anwenders.\n(Dauer: 1 Runde)\nFlieger: Res. +5.
MSID_BylethEngage_Fly_CMD	Unterricht (Res.)
MSID_H_BylethEngage_Fly_CMD	Benachbarte Verb.: Res. +5
MSID_H_BylethEngage_Magic	Verleiht Verbündeten innerhalb\nvon 2 Feldern einen Wertebonus je\nnach Typ des Anwenders.\n(Dauer: 1 Runde)\nMystische: Mag. +4.
MSID_BylethEngage_Magic_CMD	Unterricht (Mag.)
MSID_H_BylethEngage_Magic_CMD	Benachbarte Verb.: Mag. +4
MSID_H_BylethEngage_Prana	Verleiht Verbündeten innerhalb\nvon 2 Feldern einen Wertebonus je\nnach Typ des Anwenders.\n(Dauer: 1 Runde)\nQi-Adept: Glk. +10.
MSID_BylethEngage_Prana_CMD	Unterricht (Glk.)
MSID_H_BylethEngage_Prana_CMD	Benachbarte Verb.: Glk +10.
MSID_BylethEngageAtk	Tanz der Göttin
MSID_H_BylethEngageAtk	Erlaubt allen benachbarten\nVerbündeten eine weitere Aktion.
MSID_H_BylethEngageAtk_Dragon	Erlaubt allen benachbarten\nVerbündeten eine weitere Aktion.\nDrache: Erhöht die Statuswerte\naller Ziele um +3 für 1 Zug.
MSID_H_BylethEngageAtk_Coop	Erlaubt allen benachbarten\nVerbündeten eine weitere Aktion.\nAssistent: Verleiht den Zielen\nStä. +4 für 1 Zug.
MSID_H_BylethEngageAtk_Horse	Erlaubt allen benachbarten\nVerbündeten eine weitere Aktion.\nBerittene: Verleiht den Zielen\nBeh. +10 für 1 Zug.
MSID_H_BylethEngageAtk_Covert	Erlaubt allen benachbarten\nVerbündeten eine weitere Aktion.\nVerstohlene: Verleiht den Zielen\nGes. +5 für 1 Zug.
MSID_H_BylethEngageAtk_Heavy	Erlaubt allen benachbarten\nVerbündeten eine weitere Aktion.\nGepanzerte: Verleiht den Zielen\nVer. +5 für 1 Zug.
MSID_H_BylethEngageAtk_Fly	Erlaubt allen benachbarten\nVerbündeten eine weitere Aktion.\nFlieger: Verleiht den Zielen\nRes. +5 für 1 Zug.
MSID_H_BylethEngageAtk_Magic	Erlaubt allen benachbarten\nVerbündeten eine weitere Aktion.\nMystische: Verleiht den Zielen\nMag. +4 für 1 Zug.
MSID_H_BylethEngageAtk_Prana	Erlaubt allen benachbarten\nVerbündeten eine weitere Aktion.\nQi-Adept: Verleiht den Zielen\nGlk. +10 für 1 Zug.
MSID_H_BylethEngageAtk_CMD	Benachb. Verb. agieren erneut.
MSID_M014_BylethEngageAtk_DarkSide	Diabolischer Tanz
MSID_H_M014_BylethEngageAtk_DarkSide	Erlaubt Verbündeten innerhalb von\n2 Feldern eine weitere Aktion.
MSID_DragonPulse	Drachenader
MSID_H_DragonPulse	Erlaubt es, bestimmten Feldern einen\nbesonderen Effekt hinzuzufügen.
MSID_H_DragonPulse_CMD	Fügt Areal einen Effekt hinzu.
MSID_H_DragonPulse_Dragon	Erlaubt es, bestimmten Feldern einen\nbesonderen Effekt hinzuzufügen.\nDrache: Jeder der Drachenader-\nEffekte ist wählbar.
MSID_DragonPulse_DefUp	Steinader
MSID_H_DragonPulse_DefUp	Lässt Steinsäulen entstehen, die den\nVer./Res.-Wert erhöhen.
MSID_H_DragonPulse_Coop	Erlaubt es, bestimmten Feldern einen\nbesonderen Effekt hinzuzufügen.\nAssistent: Lässt Steinsäulen entste-\nhen, die den Ver./Res.-Wert erhöhen.
MSID_DragonPulse_AvoDown	Wasserader
MSID_H_DragonPulse_AvoDown	Erschafft Wasser, das den Aw.-Wert\nverringert.
MSID_H_DragonPulse_Horse	Erlaubt es, bestimmten Feldern einen\nbesonderen Effekt hinzuzufügen.\nBerittene: Erschafft Wasser, das den\nAw.-Wert verringert.
MSID_DragonPulse_AvoUp	Nebelader
MSID_H_DragonPulse_AvoUp	Erschafft einen Nebel, der den\nAw.-Wert erhöht.
MSID_H_DragonPulse_Covert	Erlaubt es, bestimmten Feldern einen\nbesonderen Effekt hinzuzufügen.\nVerstohlene: Erschafft einen Nebel,\nder den Aw.-Wert erhöht.
MSID_DragonPulse_NotBreak	Rankenader
MSID_H_DragonPulse_NotBreak	Erschafft Ranken, die gegen den\nEffekt „Bruch“ immunisieren.
MSID_H_DragonPulse_Heavy	Erlaubt es, bestimmten Feldern einen\nbesonderen Effekt hinzuzufügen.\nGepanzerte: Erschafft Ranken, die\nden Effekt „Bruch“ verhindern.
MSID_DragonPulse_Heal	Beistandsader
MSID_H_DragonPulse_Heal	Erschafft einen heilenden Schein,\nder KP wiederherstellt.
MSID_H_DragonPulse_Fly	Erlaubt es, bestimmten Feldern einen\nbesonderen Effekt hinzuzufügen.\nFlieger: Erschafft einen heilenden\nSchein, der KP wiederherstellt.
MSID_DragonPulse_Damage	Flammenader
MSID_H_DragonPulse_Damage	Erschafft Flammen, die Schaden\nzufügen.
MSID_H_DragonPulse_Magic	Erlaubt es, bestimmten Feldern einen\nbesonderen Effekt hinzuzufügen.\nMystische: Erschafft Flammen, die\nSchaden zufügen.
MSID_DragonPulse_Block	Eisader
MSID_H_DragonPulse_Block	Erschafft Eissäulen, die Bewegung\nbehindern.
MSID_H_DragonPulse_Prana	Erlaubt es, bestimmten Feldern einen\nbesonderen Effekt hinzuzufügen.\nQi-Adept: Erschafft Eissäulen, die\nBewegung behindern.
MSID_DragonCurse	Drachenfluch
MSID_H_DragonCurse	Initiiert die Einheit den Kampf,\nerleiden alle Gegner nach dem Kampf\n-4 auf all ihre Statuswerte\n(Verringerung sinkt pro Zug um 1).
MSID_DefenseStyle	Kombi
MSID_H_DefenseStyle	Verhindert Schaden von\ngegnerischen Koop-Schlägen\ngegen diese Einheit.
MSID_PhysicalContact_1	Momente
MSID_H_PhysicalContact_1	Nach Aktion oder Warten der Einheit\nwerden bei benachbarten Verbünde-\nten 5 KP wiederhergestellt und der\nUnterstützungslevel erhöht sich\nein wenig.
MSID_PhysicalContact_2	Momente+
MSID_H_PhysicalContact_2	Nach Aktion oder Warten der Einheit\nwerden bei benachbarten Verbünde-\nten 10 KP wiederhergestellt und der\nUnterstützungslevel erhöht sich\nein wenig.
MSID_KamuiEngage	Furchtbare Aura
MSID_H_KamuiEngage	Initiiert die Einheit den Kampf,\nkönnen sich Ziel und benachbarte\nGegner des Ziels 1 Runde lang nicht\nbewegen.
MSID_H_KamuiEngage_Covert	Initiiert die Einheit den Kampf,\nkönnen sich Ziel und benachbarte\nGegner des Ziels 1 Runde lang nicht\nbewegen. Verstohlene: Fügt dem Ziel\nzudem Aw. -20 zu.
MSID_KamuiEngageAtk	Reißendes Gebrüll
MSID_H_KamuiEngageAtk	Erlaubt einen Angriff über 3 Felder\nin einer Reihe, die Felder werden\ndadurch in Gelände aus Wasser\nverwandelt.
MSID_H_KamuiEngageAtk_Dragon	Erlaubt einen Angriff über 3 Felder\nin einer Reihe, die Felder werden\ndadurch in Gelände aus Wasser\nverwandelt.\nDrache: Reichweite +1.
MSID_H_KamuiEngageAtk_CMD	Angreifen und Gebiet fluten.
MSID_God_Change_CMD	Tag und Nacht
MSID_H_God_Change	Erlaubt für alle Verbündeten den\nWechsel zwischen den Emblemen\nsowie zwischen Luna-Band/Behut-\nsamkeit und Sol-Band/Beherztheit.
MSID_H_God_Change_CMD	Wechsel zwischen Emblemen.
MSID_MoonBracelet_1	Luna-Band
MSID_H_MoonBracelet_1	Initiiert die Einheit den Kampf mit\neinem physischen Angriff, fügt sie\nzusätzlichen Schaden = 20 % des\nVer.-Werts des Gegners zu.
MSID_MoonBracelet_2	Luna-Band+
MSID_H_MoonBracelet_2	Initiiert die Einheit den Kampf mit\neinem physischen Angriff, fügt sie\nzusätzlichen Schaden = 30 % des\nVer.-Werts des Gegners zu.
MSID_SunBracelet_1	Sol-Band
MSID_H_SunBracelet_1	Initiiert die Einheit den Kampf,\nerholen sich ihre KP = 30 % des\nzugefügten Schadens.
MSID_SunBracelet_2	Sol-Band+
MSID_H_SunBracelet_2	Initiiert die Einheit den Kampf,\nerholen sich ihre KP = 50 % des\nzugefügten Schadens.
MSID_SunMoonBracelet_1	Eklipse-Band
MSID_H_SunMoonBracelet_1	Initiiert die Einheit den Kampf,\nerholen sich ihre KP = 30 % des\nzugefügten Schadens. Sie fügt durch\nphysische Angriffe zusätzlichen\nSchaden = 20 % der gegn. Ver. zu.
MSID_SunMoonBracelet_2	Eklipse-Band+
MSID_H_SunMoonBracelet_2	Initiiert die Einheit den Kampf,\nerholen sich ihre KP = 50 % des\nzugefügten Schadens. Sie fügt durch\nphysische Angriffe zusätzlichen\nSchaden = 30 % der gegn. Ver. zu.
MSID_GentleWind_1	Behutsamkeit
MSID_H_GentleWind_1	Die Einheit erleidet -3 Schaden.
MSID_GentleWind_2	Behutsamkeit+
MSID_H_GentleWind_2	Die Einheit erleidet -5 Schaden.
MSID_BraveSky_1	Beherztheit
MSID_H_BraveSky_1	Die Einheit fügt +3 Schaden zu.
MSID_BraveSky_2	Beherztheit+
MSID_H_BraveSky_2	Die Einheit fügt +5 Schaden zu.
MSID_Azure_1	Blaue Himmel
MSID_H_Azure_1	Die Einheit erleidet -3 Schaden und\nfügt +3 Schaden zu.
MSID_Azure_2	Blaue Himmel+
MSID_H_Azure_2	Die Einheit erleidet -5 Schaden und\nfügt +5 Schaden zu.
MSID_EirikEngage	Heilige Zwillinge
MSID_H_EirikEngage	Erlaubt im Bündnis mit Eirika von\nLuna-Band zu Eklipse-Band zu\nwechseln, und von Behutsamkeit zu\nBlaue Himmel. Für alle Verbündeten.
MSID_EirikEngageAtk	Zwillingsschlag
MSID_H_EirikEngageAtk	Erlaubt einen Schwertangriff, gefolgt\nvon einem Lanzenangriff durch\nEphraim auf benachbarte Gegner.\nEffektiv gegen: Verzerrte.
MSID_H_EirikEngageAtk_Dragon	Erlaubt einen Schwertangriff, gefolgt\nvon einem Lanzenangriff durch\nEphraim auf benachbarte Gegner.\nEffektiv gegen: Verzerrte.\nDrache: Fügt Schaden +20 % zu.
MSID_H_EirikEngageAtk_Horse	Erlaubt einen Schwertangriff, gefolgt\nvon einem Lanzenangriff durch\nEphraim auf benachbarte Gegner.\nEffektiv gegen: Verzerrte. – Berittene:\nEphraim fügt Schaden +50 % zu.
MSID_H_EirikEngageAtk_CMD	Ephraim greift an.
MSID_EvilDragonSpecialEffect	Heilige Aura
MSID_H_EvilDragonSpecialEffect	Einheit ist „Effektiv gegen: Dämonen-\ndrachen“. Verb. innerhalb von 2 Fel-\ndern mit „Effektiv gegen: Drachen“\nsind „Effektiv gegen: Dämonen-\ndrachen“.
MSID_GodDragonProtection	Heiliger Schild
MSID_H_GodDragonProtection	Hebt „Effektiv“ gegen diese\nEinheit auf.
MSID_ConnectPerson_1	Bandeschmied
MSID_H_ConnectPerson_1	Verleiht der Einheit und Verbündeten\ninnerhalb von 2 Feldern, die mit\neinem Emblem synchronisiert oder\nverbunden sind, Trf./Aw. +20.
MSID_ConnectPerson_2	Bandeschmied+
MSID_H_ConnectPerson_2	Verleiht der Einheit und Verbündeten\ninnerhalb von 2 Feldern, die mit\neinem Emblem synchronisiert oder\nverbunden sind, Trf./Aw. +30.
MSID_BlessingOfEleos	Segen von Elyos
MSID_H_BlessingOfEleos	Verleiht einen Bonus auf Krit. und\nKrit. Aw. = 2x die Anzahl der\nVerb., die in dieser Runde bereits\neine Aktion ausgeführt haben, wenn\ndie Einheit den Kampf initiiert.
MSID_LueurEngage	Eingespieltheit
MSID_H_LueurEngage	Initiiert die Einheit den Kampf und\nbesiegt sie den Gegner, erhält der\nBündnispartner +4 auf alle Status-\nwerte, während sie verbunden sind.
