MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06マロン\x021\n\x0E\x03\x02\x08\x06マロン\nIhr plant Strategien im Dienste eines Einzelnen.\nWerdet Ihr für sein Glück in den Kampf ziehen?\x0E\x04\x00\x00
MID_BT7_#005	\x0E\x05\x01$\x12E004_Boss\x0EStandBy\nDas Ritual muss abgeschlossen werden.\nDie Macht und die Pracht des Dämonendrachen\nwerden wieder aufblühen.\x0E\x04\x02\x00
MID_BT7_#006	Dafür werde ich mit meinen eigenen Händen\nsorgen!\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01&\x12E004_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E004_Boss\nZelkov! Bist du es wirklich? Ich kann kaum\nglauben, dass mein Lieblingsgetreuer wieder\nzu mir zurückgekommen ist.\x0E\x04\x02\x00
MID_BT8_#002	\x0E\x05\x01\x1C\x12E004_Boss\x06Shy\nWir haben so viel nachzuholen, wenn diese\nSchlacht erst vorbei ist. Ich möchte alles über\ndeine Reisen hören.\x0E\x04\x00\x00
MID_BT8_#003	\x0E\x03\x00\x0E\x08ゼルコバ\x02t\n\x0E\x05\x01\x1C\x08ゼルコバ\x10Surprise\n\x0E\x03\x02\x0A\x08ゼルコバ\nIch glaube, ich war noch nie in meinem Leben\nso dermaßen... verwirrt.\x0E\x04\x02\x00
MID_BT8_#004	\x0E\x05\x01&\x12E004_Boss\x10Surprise\n\x0E\x05\x01\x1A\x08ゼルコバ\x0EStandBy\nSo faszinierend dieses Mysterium auch ist,\nmeine... Loyalität... gehört einer anderen Ivy.\nIch muss ablehnen.\x0E\x04\x00\x00
MID_BT8_#005	\x0E\x05\x01\x1E\x12E004_Boss\x08Pain\n\x0E\x03\x02\x14\x12E004_Boss\nSolch grausame Worte! Egal. Wenn du keine\nSchwäche für mich hast, habe ich keine Ver-\nwendung für dich.\x0E\x04\x02\x00
MID_BT8_#006	Du bist schon einmal für mich gestorben. Du\nkannst dies nochmals tun.\x0E\x04\x00\x00
MID_BT8_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nVielen Dank für Eure Worte. Ihr habt mir die\nSache um einiges... leichter... gemacht.\x0E\x04\x02\x00
MID_BT8_#008	\x0E\x05\x01\x16\x08ゼルコバ\nAngry\nIch werde Euch nun ein Ende bereiten. Und\nich werde dabei nichts... empfinden.\x0E\x04\x00\x00
MID_BT9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06カゲツ\x02t\n\x0E\x05\x01\x14\x06カゲツ\nSmile\n\x0E\x03\x02\x08\x06カゲツ\nAh! Eine andere Prinzessin Ivy. Es ist sehr\nschön, Euch kennenzulernen. Ich hoffe, wir\nwerden Freunde.\x0E\x04\x00\x00
MID_BT9_#002	\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01$\x12E004_Boss\x0EStandBy\n\x0E\x03\x02\x14\x12E004_Boss\nDu bist durchschaubar falsch wie immer,\nKagetsu.\x0E\x04\x00\x00
MID_BT9_#003	\x0E\x05\x01\x1A\x06カゲツ\x10Surprise\n\x0E\x03\x02\x08\x06カゲツ\nWas meint Ihr denn damit? Bin ich in dieser\nWelt wirklich so anders?\x0E\x04\x00\x00
MID_BT9_#004	\x0E\x03\x02\x14\x12E004_Boss\nWas für ein armseliger Wicht du doch warst.\nNicht ein einziges echtes Lächeln hattest du für\nmich übrig, nie.\x0E\x04\x02\x00
MID_BT9_#005	\x0E\x05\x01$\x12E004_Boss\x0ESerious\nEgal, auf welche Weise ich auch deine Zunei-\ngung gewinnen wollte, du hast mich immer\nverabscheut.\x0E\x04\x02\x00
MID_BT9_#006	\x0E\x05\x01\x1C\x12E004_Boss\x06Shy\nNun sag mir, du Hochstapler. Warum sollte\nso jemand sein Leben für seine Königin opfern?\x0E\x04\x00\x00
MID_BT9_#007	\x0E\x05\x01\x18\x06カゲツ\x0EStandBy\n\x0E\x03\x02\x08\x06カゲツ\nVielleicht habt Ihr seine Gefühle missverstanden.\nIch glaube, er hat Euch ganz und gar nicht\nverabscheut.\x0E\x04\x00\x00
MID_BT10_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Boss\x02b\n\x0E\x05\x01&\x12E004_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E004_Boss\nLindon? Nein. Das muss wieder einer der Tricks\nder Solmer sein.\x0E\x04\x02\x00
MID_BT10_#002	\x0E\x05\x01\x1E\x12E004_Boss\x08Pain\nSchade. Wenn du wirklich bei uns wärest,\nhätten wir Lord Sombron zu diesem Zeitpunkt\nschon wieder zum Leben erweckt.\x0E\x04\x00\x00
MID_BT10_#003	\x0E\x03\x00\x0E\x08リンデン\x02t\n\x0E\x05\x01\x12\x08リンデン\x06Sad\n\x0E\x03\x02\x0A\x08リンデン\nPrinzessin Ivy. Leider kann ich nicht für den\nLindon dieser Welt sprechen.\x0E\x04\x02\x00
MID_BT10_#004	\x0E\x05\x01\x16\x08リンデン\nAngry\nDoch ich kann mir nicht vorstellen, dass er Euch\ndabei unterstützt hätte. Verzeiht mir, aber ich\nmuss Euch aufhalten.\x0E\x04\x00\x00
MID_BT11_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nミスティラ\x02t\n\x0E\x05\x01\x18\nミスティラ\nSmile\n\x0E\x03\x02\x0C\nミスティラ\nTagchen! Schön, dich kennenzulernen, Ich!\x0E\x04\x00\x00
MID_BT11_#002	\x0E\x03\x00\x18\x12E004_Hide\x02b\n\x0E\x05\x01 \x12E004_Hide\nAngry\n\x0E\x03\x02\x14\x12E004_Hide\nEine Illusion... Welchen Zweck hat sie?\nSoll sie meine Entschlusskraft schwächen?\x0E\x04\x02\x00
MID_BT11_#003	\x0E\x05\x01\x1E\x12E004_Hide\x08Pain\nNun, das wird nicht funktionieren. So über-\nzeugend dieses Abbild auch sei, ich lasse mich\ndurch Dämonendrachenmagie nicht täuschen.\x0E\x04\x00\x00
MID_BT11_#004	\x0E\x05\x01\x1A\nミスティラ\x0CNormal\n\x0E\x03\x02\x0C\nミスティラ\nHey, ich bin keine Täuschung! Doch ich kann\nverstehen, warum du das denkst. Es ist wirklich\nein Schock, sich selbst gegenüberzustehen.\x0E\x04\x02\x00
MID_BT11_#005	\x0E\x05\x01\x14\nミスティラ\x06Shy\nAuch ich bin überrascht. Ich kann gar nicht\nglauben, wie spießig ich in dieser Welt bin,\nfast wie... eine herkömmliche Regentin.\x0E\x04\x02\x00
MID_BT11_#006	\x0E\x05\x01\x18\nミスティラ\nSmile\nDu musst echt ein wenig lockerer werden. Wie\nwäre es, wenn wir in einem Kampf dafür\nsorgen? Indem wir deine Verspanntheit lockern?\x0E\x04\x00\x00
MID_BT11_#007	\x0E\x05\x01 \x12E004_Hide\nAngry\n\x0E\x03\x02\x14\x12E004_Hide\nWie wäre es, wenn ich dich stattdessen einfach\ntöte?\x0E\x04\x00\x00
MID_BT12_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Hide\x02b\n\x0E\x05\x01\x1E\x12E004_Hide\x08Pain\n\x0E\x03\x02\x14\x12E004_Hide\nDieser Ort stinkt nach Tod. Das muss der Grund\nsein, warum ich Illusionen sehe.\x0E\x04\x02\x00
MID_BT12_#002	Es ist lange her, Fogado... Alles, was ich tun\nmöchte, ist, zu dir zu laufen und dich zu um-\narmen.\x0E\x04\x02\x00
MID_BT12_#003	Was für ein schmachvoller Impuls. Ich bin eine\nKönigin.\x0E\x04\x00\x00
MID_BT12_#004	\x0E\x03\x00\x10\nフォガート\x02t\n\x0E\x05\x01\x14\nフォガート\x06Shy\n\x0E\x03\x02\x0C\nフォガート\nDu bist eine Königin, ja, aber du hast dennoch\nGefühle wie alle anderen auch.\x0E\x04\x02\x00
MID_BT12_#005	Also los, lass die Tränen fließen. Wir können mit\ndem Kampf warten, bis du fertig bist. Was\nmeinst du?\x0E\x04\x00\x00
MID_BT12_#006	\x0E\x05\x01 \x12E004_Hide\nAngry\n\x0E\x03\x02\x14\x12E004_Hide\nNein... Ich muss nicht weinen. Und ich muss\ngarantiert auch nicht von einem Geist getröstet\nwerden.\x0E\x04\x02\x00
MID_BT12_#007	Wenn du wirklich willst, dass ich mich besser\nfühle, verschwinde einfach.\x0E\x04\x00\x00
MID_BT12_#008	\x0E\x05\x01\x14\nフォガート\x06Sad\n\x0E\x03\x02\x0C\nフォガート\nIch wusste, du würdest so etwas sagen...\x0E\x04\x00\x00
MID_BT13_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E004_Hide\x02b\n\x0E\x05\x01&\x12E004_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E004_Hide\nIch glaube es nicht. \x0E\x0A\x00\x10\x06Der\x06Die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin? Haben die\nElusianer Euch wiedererweckt?\x0E\x04\x02\x00
MID_BT13_#002	\x0E\x05\x01 \x12E004_Hide\nAngry\nIn jedem Falle braucht Solm Eure Hilfe. Wir\nmüssen sie aufhalten, sie dürfen den Dämonen-\ndrachen nicht wiedererwecken.\x0E\x04\x02\x00
MID_BT13_#003	Bitte, schließt Euch unserem Kampf wieder an!\x0E\x04\x00\x00
MID_BT13_#004	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nEs tut mir leid... Ich kann mich Eurer Armee\nnicht anschließen, auch nicht Ivys Armee. Ich\nbin hier, um die Armringe an mich zu nehmen.\x0E\x04\x00\x00
MID_BT13_#005	\x0E\x05\x01&\x12E004_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E004_Hide\nWie könnt Ihr so mit mir reden?\x0E\x04\x02\x00
MID_BT13_#006	\x0E\x05\x01\x1E\x12E004_Hide\x08Pain\nSie müssen Euren Geist mit irgendeinem\ndunklen, elusianischen Ritual verdorben haben.\x0E\x04\x02\x00
MID_BT13_#007	In dem Falle werden ich Güte zeigen und Euch\nmit einem einzigen, schmerzlosen Schlag zurück\nin den Schlaf versetzen.\x0E\x04\x00\x00
MID_BT14_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06メリン\x02t\n\x0E\x05\x01\x10\x06メリン\x06Shy\n\x0E\x03\x02\x08\x06メリン\nHallihallo, meine Prinzessin. Ich hatte gehofft,\nunsere Pfade würden sich nicht kreuzen, aber...\nder Krieg ist unbarmherzig.\x0E\x04\x00\x00
MID_BT14_#002	\x0E\x03\x00\x18\x12E004_Hide\x02b\n\x0E\x05\x01&\x12E004_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E004_Hide\nMerrin?! Die Elusianer haben dich also auch\nwiedererweckt?\x0E\x04\x02\x00
MID_BT14_#003	\x0E\x05\x01\x1C\x12E004_Hide\x06Sad\nWas passiert ist, tut mir leid. Es war ungerecht,\ndass du sterben musstet, nachdem ich dich\ngerade zu meiner Ritterin ernannt hatte.\x0E\x04\x02\x00
MID_BT14_#004	\x0E\x05\x01$\x12E004_Hide\x0ESerious\nUnd als ob das nicht grausam genug wäre, bist\ndu nun auch noch eine Verzerrte. Wie furchtbar.\x0E\x04\x00\x00
MID_BT14_#005	\x0E\x05\x01\x1C\x12E004_Hide\x06Sad\n\x0E\x03\x02\x08\x06メリン\nIhr müsst Euch nicht sorgen, meine Prinzessin.\nIch bin sicher, die Merrin dieser Welt schläft\nimmer noch ganz friedlich.\x0E\x04\x02\x00
MID_BT14_#006	Behaglich wie ein fluffiges Pelztierchen im\nWinterschlaf. Das beste Ende für eine Tier-\nfreundin wie mich.\x0E\x04\x00\x00
MID_BT14_#007	\x0E\x03\x02\x14\x12E004_Hide\nMerrin... Ich kann gar nicht glauben, dass du\nselbst im Tod noch solche Scherze machst.\x0E\x04\x02\x00
MID_BT14_#008	\x0E\x05\x01$\x12E004_Hide\x0ESerious\nErinnerst du dich nicht daran, wie sehr du\nTiere gehasst hast?\x0E\x04\x00\x00
MID_BT15_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08パネトネ\x02t\n\x0E\x05\x01\x12\x08パネトネ\x06Sad\n\x0E\x03\x02\x0A\x08パネトネ\nOh, du meine Güte. Wir grausam, dass ich die\nPerson im Kampfe wiedersehen muss, die ich\nam meisten respektiere und bewundere.\x0E\x04\x00\x00
MID_BT15_#002	\x0E\x03\x00\x18\x12E004_Hide\x02b\n\x0E\x05\x01\x1E\x12E004_Hide\x08Pain\n\x0E\x03\x02\x14\x12E004_Hide\nPanette. Die Elusianer haben dich also\nzurückgebracht? Sie wollen, dass ich gegen\nmeine eigene Getreue kämpfe?\x0E\x04\x00\x00
MID_BT15_#003	\x0E\x03\x02\x0A\x08パネトネ\nIch flehe Euch an, Chefin, seid doch nicht so\ntraurig.\x0E\x04\x02\x00
MID_BT15_#004	\x0E\x05\x01\x12\x08パネトネ\x06Shy\nIch weiß was! Wie wäre es, wenn wir gemein-\nsam etwas singen? Vielleicht eine unserer vielen\nOden an das Fleisch, hm?\x0E\x04\x00\x00
MID_BT15_#005	\x0E\x05\x01\x1C\x08パネトネ\x10Surprise\n\x0E\x05\x01\x1C\x12E004_Hide\x06Shy\n\x0E\x03\x02\x14\x12E004_Hide\nHihihi. Panette, nimmst du mich auf den Arm?\nIch bin Vegetarierin. Und du weißt, dass ich\nMusik hasse.\x0E\x04\x02\x00
MID_BT15_#006	\x0E\x05\x01\x12\x08パネトネ\x06Sad\n\x0E\x05\x01$\x12E004_Hide\x0ESerious\nAuch wenn es mich sehr schmerzt, werde ich\ndein irdisches Dasein beenden – du wirst unter\nder Wüstensonne Solms Schlaf finden.\x0E\x04\x02\x00
MID_BT15_#007	\x0E\x05\x01\x1C\x12E004_Hide\x06Sad\nAber dass du ausgerechnet an diesem Ort\nsterben wirst... Du hattest solch eine Angst\nvor Friedhöfen.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE004_エル\x021\n\x0E\x03\x00\x18\x12E004_Boss\x022\n\x0E\x03\x00\x18\x12E004_Hide\x023\n\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x14\x12E004_Hide\nHmpf.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x10\x0EE004_エル\nDie Schlacht ist entschieden. Übergebt uns die\nArmringe.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x14\x12E004_Boss\nNel... Was tut Ihr da?\x0E\x04\x02\x00
MID_ED1_#004	Ich bin auf Eurer Seite. Wir bringen unseren\nHerrn – Euren Vater – zurück ins Leben!\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x10\x0EE004_エル\nIch habe Euch niemals darum gebeten.\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x12\x10M011_モーヴ\nMilady Nel. In der Kathedrale fand in der Tat\nein Ritual statt.\x0E\x04\x00\x00
MID_ED1_#007	Der Priester hat sich unseren Truppen ergeben\nund ich habe den Altar zerstört.\x0E\x04\x02\x00
MID_ED1_#008	\x0E\x03\x02\x10\x0EE004_エル\nAusgezeichnete Arbeit, Mauvier.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x14\x12E004_Boss\nDas Ritual war die letzte Hoffnung für Elusia!\nWie konntet Ihr nur?!\x0E\x04\x02\x00
MID_ED1_#010	Das werde ich Euch niemals verzeihen können.\nMir ist es egal, ob Ihr Sombrons Tochter seid!\x0E\x04\x02\x00
MID_ED1_#011	Soldaten! Wenn noch etwas Kraft in euch ist...\nTötet diese Frau!\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x10\x0EE004_エル\nWir riskieren, dass sie sich neu formieren,\nwenn wir das hier in die Länge ziehen.\x0E\x04\x02\x00
MID_ED1_#013	Dies ist unsere letzte Warnung. Gebt uns die\nArmringe.\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x14\x12E004_Boss\nNiemals!\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x14\x12E004_Hide\nIch werde Euch niemals den solmer Armring\naushändigen. Wenn Ihr ihn haben wollt, müsst\nIhr mich zuerst töten.\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x10\x0EE004_エル\nSchade. Dann soll es so sein.\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x00\x0E\x08リュール\x024\n\x0E\x03\x02\x0A\x08リュール\nNel... Was hast du vor?\x0E\x04\x00\x00
MID_ED1_#018	\x0E\x03\x02\x10\x0EE004_エル\nWendet Eure Augen ab, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche, denn der\nAnblick könnte Euch verstören.\x0E\x04\x00\x00
MID_ED1_#019	\x0E\x03\x02\x0A\x08リュール\nBitte?!\x0E\x04\x00\x00
MID_ED1_#020	\x0E\x03\x02\x10\x0EE004_エル\nRoaaaaaaaaar!\x0E\x04\x00\x00
MID_ED1_#021	\x0E\x03\x02\x14\x12E004_Boss\nAaaaah!\x0E\x04\x00\x00
MID_ED1_#022	\x0E\x03\x02\x14\x12E004_Hide\nIch habe immer gewusst, dass du ein Monster\nbist...\x0E\x04\x02\x00
MID_ED1_#023	Nein! Aaaaah!\x0E\x04\x00\x00
MID_ED1_#024	\x0E\x0B\x00x
MID_ED1_#025	\x0E\x03\x02\x0A\x08リュール\nWie konntest du nur?\x0E\x04\x02\x00
MID_ED1_#026	\x0E\x0B\x01@
MID_ED1_#027	\x0E\x03\x02\x10\x0EE004_エル\nIch hatte Euch gewarnt, Ihr solltet Eure Augen\nabwenden.\x0E\x04\x02\x00
MID_ED1_#028	Wir haben hier alles erledigt. Machen wir uns\nauf den Weg.\x0E\x04\x00\x00
MID_ED1_#029	\x0E\x03\x02\x0A\x08リュール\nWie konnte es nur so weit kommen?\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE004_エル\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x1A\x14E004_敵セネリオ\x023\n\x0E\x06\x000\x14E004_敵セネリオ\x18MPID_Senerio\n\x0E\x03\x00\x18\x12E004_敵カミラ\x024\n\x0E\x06\x00.\x12E004_敵カミラ\x18MPID_Camilla\n\x0E\x03\x02\x10\x0EE004_エル\nSchlaft gut, Emblem Soren. Emblem Camilla.\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x16\x14E004_敵セネリオ\nDiese Welt hat mich nie sehr interessiert.\x0E\x04\x02\x00
MID_ED2_#003	Dennoch wünschte ich, wir müssten diesen\nsinnlosen Krieg nicht führen.\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x14\x12E004_敵カミラ\nMüssen wir uns schon verabschieden? Ich\nhabe noch genug Energie in mir.\x0E\x04\x02\x00
MID_ED2_#005	Nun ja. Aber ich hoffe, wir können uns das\nnächste Mal richtig unterhalten...\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x10\x0EE004_エル\nDie Embleme schlafen wieder und sind in\nSicherheit. Es fehlt nur noch ein Armring.\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x0A\x08リュール\nNel. Unsere Mission war es, die Armringe zu\nnehmen.\x0E\x04\x02\x00
MID_ED2_#008	Wir haben nicht – überhaupt nicht – davon\ngesprochen, Ivy und Timerra zu töten!\x0E\x04\x02\x00
MID_ED2_#009	Die Regentinnen zweier Nationen, tot! Was wird\nnun aus ihren Untertanen?\x0E\x04\x00\x00
MID_ED2_#010	\x0E\x03\x02\x10\x0EE004_エル\nIch habe sie nicht getötet. Es ist unmöglich,\nein Leben zu nehmen, das bereits verloren ist.\x0E\x04\x00\x00
MID_ED2_#011	\x0E\x03\x02\x0A\x08リュール\nWie? Erklär mir das.\x0E\x04\x00\x00
MID_ED2_#012	\x0E\x03\x02\x10\x0EE004_エル\nDas waren keine harmlosen kleinen Menschen.\nDas waren Verzerrte.\x0E\x04\x00\x00
MID_ED2_#013	\x0E\x03\x02\x0A\x08リュール\nWie bitte? Nein...\x0E\x04\x00\x00
MID_ED2_#014	\x0E\x03\x02\x10\x0EE004_エル\nDie Königlichen, mit denen wir in Firene und\nBrodia kämpften, waren es ebenfalls. Und\nauch ihre Soldaten. Alle.\x0E\x04\x00\x00
MID_ED2_#015	\x0E\x03\x02\x0A\x08リュール\nWillst du damit sagen, sie waren alle bereits\ntot?\x0E\x04\x00\x00
MID_ED2_#016	\x0E\x03\x00\x1A\x14E004_グレゴリー\x023\n\x0E\x03\x02\x16\x14E004_グレゴリー\nGibt es denn irgendwo noch Menschen, die\nüberlebt haben? Oder sind wir die... einzigen?\x0E\x04\x00\x00
MID_ED2_#017	\x0E\x03\x00\x1C\x16E004_セレスティア\x024\n\x0E\x03\x02\x18\x16E004_セレスティア\nDie Gemeinen, mit denen ich während meiner\nMission in Firene gesprochen habe... Waren\nsie auch Verzerrte?\x0E\x04\x00\x00
MID_ED2_#018	\x0E\x03\x00\x1A\x14E004_マデリーン\x024\n\x0E\x03\x02\x16\x14E004_マデリーン\nWir fochten einen Krieg aus, ohne Hoffnung,\nihn zu gewinnen.\x0E\x04\x00\x00
MID_ED2_#019	\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x12\x10M011_モーヴ\nWusstet Ihr ebenfalls davon, Mylord Nil?\x0E\x04\x00\x00
MID_ED2_#020	\x0E\x03\x00\x14\x0EE004_イル\x024\n\x0E\x03\x02\x10\x0EE004_イル\nIch hatte einen Verdacht, aber ich war mir nie\nsicher.\x0E\x04\x02\x00
MID_ED2_#021	Sie wirkten fast genauso, wie sie immer waren.\nWer kann so etwas nur getan haben?\x0E\x04\x00\x00
MID_ED2_#022	\x0E\x03\x02\x10\x0EE004_エル\nIch weiß nicht, wann sie gestorben sind. Auch\nnicht, wann sie Verzerrte wurden.\x0E\x04\x02\x00
MID_ED2_#023	Sie schienen ihren eigenen Zustand auch nicht\nzu bemerken.\x0E\x04\x00\x00
MID_ED2_#024	\x0E\x03\x02\x0A\x08リュール\nDu hättest uns das sagen sollen.\x0E\x04\x00\x00
MID_ED2_#025	\x0E\x03\x02\x10\x0EE004_エル\nIch dachte, es wäre das Beste, solch eine\nunschöne Wahrheit zu verbergen.\x0E\x04\x00\x00
MID_ED2_#026	\x0E\x03\x02\x0A\x08リュール\nDu triffst immer für andere die Entscheidungen.\nWieso konntest du das nicht wenigstens mit Nil\nbesprechen? Oder den Vier Winden?\x0E\x04\x00\x00
MID_ED2_#027	\x0E\x03\x02\x10\x0EE004_エル\nIhr habt recht. Ich entschuldige mich.\x0E\x04\x02\x00
MID_ED2_#028	Aber Ihr kommt aus einer anderen Welt und\nwerdet in diese zurückkehren, wenn der Krieg\nvorüber ist.\x0E\x04\x02\x00
MID_ED2_#029	Ich dachte daran, Euch den Anblick Eurer toten\nFreunde und Verbündeten zu ersparen.\x0E\x04\x02\x00
MID_ED2_#030	Und Ihr hättet sie gewiss nicht mit Euren\neigenen Händen töten sollen.\x0E\x04\x00\x00
MID_ED2_#031	\x0E\x03\x02\x0A\x08リュール\nJa... nun...\x0E\x04\x00\x00
MID_ED2_#032	\x0E\x03\x02\x10\x0EE004_エル\nIch habe wirklich daran gedacht, Nil und die\nVier Winde einzuweihen. Ich habe das oft in\nErwägung gezogen.\x0E\x04\x02\x00
MID_ED2_#033	Aber wenn ich es ihnen erzählt hätte, wäre es\nnur eine Frage der Zeit gewesen, bis Ihr dieselbe\nBürde getragen hättet.\x0E\x04\x02\x00
MID_ED2_#034	Ihr seid wie \x0E\x0A\x00\x10\x06die\x06der \x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott dieser Welt. Ihr\nkümmert Euch sehr um Eure Freunde.\x0E\x04\x02\x00
MID_ED2_#035	Solch starke Bande darf man nicht außer Acht\nlassen.\x0E\x04\x00\x00
MID_ED2_#036	\x0E\x03\x02\x0A\x08リュール\nAlso hast du all das getan, um mich zu\nbeschützen?\x0E\x04\x00\x00
MID_ED2_#037	\x0E\x03\x02\x10\x0EE004_エル\nVielleicht habe ich das.\x0E\x04\x02\x00
MID_ED2_#038	So oder so bereue ich meine Entscheidung.\nIch hoffe, Ihr könnt meine Entschuldigung\nannehmen.\x0E\x04\x00\x00
MID_ED2_#039	\x0E\x03\x02\x0A\x08リュール\nNein. Mir tut es leid, dass ich so aufgebracht\nreagiert habe.\x0E\x04\x02\x00
MID_ED2_#040	Sie waren deine Freunde, deine Verbündeten,\nviel mehr als sie es für mich waren. Du musstest\nihren Tod mitansehen.\x0E\x04\x02\x00
MID_ED2_#041	Nicht nur das, du musstest sie eigenhändig\ntöten. Das muss furchtbar für dich gewesen\nsein.\x0E\x04\x02\x00
MID_ED2_#042	Und du hast dies alles durchgestanden, nur um\nmich zu schützen. Ich danke dir.\x0E\x04\x02\x00
MID_ED2_#043	Ich habe nicht erkannt... wie sehr du dich um\nalle kümmerst, Nel.\x0E\x04\x00\x00
MID_ED2_#044	\x0E\x03\x02\x10\x0EE004_エル\nOh.\x0E\x04\x02\x00
MID_ED2_#045	Diese Worte...\x0E\x04\x00\x00
MID_ED2_#046	\x0E\x03\x02\x0A\x08リュール\nHm? Nel, was ist denn?\x0E\x04\x00\x00
MID_ED2_#047	\x0E\x03\x02\x10\x0EE004_エル\nFasst mich nicht an!\x0E\x04\x00\x00
MID_ED2_#048	\x0E\x03\x02\x0A\x08リュール\nHm. Du hasst mich wirklich, nicht wahr?\x0E\x04\x00\x00
MID_ED2_#049	\x0E\x03\x02\x10\x0EE004_エル\n...\x0E\x04\x02\x00
MID_ED2_#050	Ja.\x0E\x04\x02\x00
MID_ED2_#051	Ich hasse es, dass ich Euch jemals zu Gesicht\nbekam. Ich wünschte, irgendjemand anders\nhätte unsere Gebete erhört.\x0E\x04\x00\x00
MID_ED2_#052	\x0E\x03\x02\x10\x0EE004_イル\nNel, bitte. Du übertreibst.\x0E\x04\x00\x00
MID_ED2_#053	\x0E\x03\x00\x1C\x16E004_セレスティア\x023\n\x0E\x03\x02\x18\x16E004_セレスティア\nMylord Nil.\x0E\x04\x00\x00
MID_ED2_#054	\x0E\x03\x02\x10\x0EE004_エル\n\x0E\x0A\x00\x10\x06Die\x06Der \x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott dieser Welt war gütiger als\njeder, den ich jemals gekannt habe.\x0E\x04\x02\x00
MID_ED2_#055	Beschützend, fürsorglich, mutig und stark.\n\x0E\x0A\x00\x0E\x06Sie\x04Er akzeptierte uns trotz unseres Dämonen-\ndrachenblutes.\x0E\x04\x02\x00
MID_ED2_#056	Wir bewunderten gemeinsam die Blumen\nund lachten zusammen, und teilten so viel\nmiteinander.\x0E\x04\x02\x00
MID_ED2_#057	Jedes Lebewohl war schmerzhaft, egal, wie\nschnell wir uns wiedersahen. Und jedes\nWiedersehen gab mir neue Lebenskraft.\x0E\x04\x02\x00
MID_ED2_#058	Ihr sagtet, Ihr würdet nach Hause kommen! An\ndiesem einen Tag! Ich war endlich entschlossen,\nes Euch zu sagen!\x0E\x04\x00\x00
MID_ED2_#059	\x0E\x03\x02\x0A\x08リュール\nNel, es tut mir leid, ich...\x0E\x04\x00\x00
MID_ED2_#060	\x0E\x03\x02\x10\x0EE004_エル\nWieso musstet Ihr weggehen und sterben?!\x0E\x04\x02\x00
MID_ED2_#061	Ich habe Euch geliebt.\x0E\x04\x00\x00
MID_ED2_#062	\x0E\x03\x02\x0A\x08リュール\n...!\x0E\x04\x00\x00
