MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x02\x06\x04グリ\nIn der tiefsten Finsternis der Einsamkeit...\nwürdet Ihr Euch das Licht zu eigen machen?\x0E\x04\x02\x00
MID_BT6_#003	\x0E\x03\x00\x10\nスタルーク\x02t\n\x0E\x05\x01\x16\nスタルーク\x08Pain\n\x0E\x03\x02\x0C\nスタルーク\nErmordung?! Du bist mein Bruder, Diamant.\nIch respektiere und bewundere dich. So etwas\nwürde ich niemals tun!\x0E\x04\x00\x00
MID_BT6_#004	\x0E\x03\x02\x14\x12E003_Boss\nDann leg deine Waffe nieder.\x0E\x04\x00\x00
MID_BT6_#005	\x0E\x05\x01\x14\nスタルーク\x06Sad\n\x0E\x03\x02\x0C\nスタルーク\nIch kann nicht. Du magst mein Bruder sein, aber\ndu bist immer noch der Gegner.\x0E\x04\x02\x00
MID_BT6_#006	\x0E\x05\x01\x16\nスタルーク\x08Pain\nMoment, das wirst du sicher missverstanden\nhaben! Warte eine Sekunde, ich erkläre es dir!\x0E\x04\x02\x00
MID_BT6_#007	Es tut mir leid, ich finde nicht die richtigen\nWorte...\x0E\x04\x00\x00
MID_BT7_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nシトリニカ\x02t\n\x0E\x05\x01\x14\nシトリニカ\x06Sad\n\x0E\x03\x02\x0C\nシトリニカ\nIch bin gar nicht glücklich, dich hier zu treffen.\nNun werden wir kämpfen müssen.\x0E\x04\x00\x00
MID_BT7_#002	\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01&\x12E003_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E003_Boss\nCitrinne! Was machst du denn hier?! Du hast\nAlcryst beschützt, als du...\x0E\x04\x00\x00
MID_BT7_#003	\x0E\x05\x01\x18\nシトリニカ\nRelax\n\x0E\x03\x02\x0C\nシトリニカ\nDas Ich dieser Welt scheint sich heldenhaft in\nden Tod begeben zu haben. Ich wünschte,\nich hätte die Zeit, mehr zu erfahren.\x0E\x04\x02\x00
MID_BT7_#004	\x0E\x05\x01\x18\nシトリニカ\nAngry\nAber diese Version von mir ist dein Feind. Sieh\nmich als Geistererscheinung an, wenn du magst.\x0E\x04\x00\x00
MID_BT7_#005	\x0E\x05\x01\x1C\x12E003_Boss\x06Sad\n\x0E\x03\x02\x14\x12E003_Boss\nSicherlich. Wenn du eine Erscheinung bist, ist\nes sinnlos, mit dir über dein anderes Ich zu\nsprechen.\x0E\x04\x02\x00
MID_BT7_#006	\x0E\x05\x01\x1C\x12E003_Boss\x06Shy\nAber mit dir zu sprechen, weckt Erinnerungen\nan diesen einen Ball. Wir hatten alle so viel\nSpaß...\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01&\x12E003_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E003_Boss\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin? Seid Ihr wieder zu uns zurück-\ngekommen?!\x0E\x04\x00\x00
MID_BT8_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nIch bin nicht die Person, für die Ihr mich haltet.\nBitte, seht in mir \x0E\x0A\x004\x1Aeinen Fremden\x16eine Fremde, wenn wir\ngegeneinander kämpfen.\x0E\x04\x00\x00
MID_BT8_#003	\x0E\x05\x01\x1E\x12E003_Boss\x08Pain\n\x0E\x03\x02\x14\x12E003_Boss\nIch kann nicht gegen Euch kämpfen. Ich möchte\nes nicht riskieren, Euch noch einmal zu ver-\nlieren. Seit Eurem Tod ist hier alles furchtbar.\x0E\x04\x02\x00
MID_BT8_#004	Ich habe immer geglaubt, die Nationen würden\naufhören, sich zu streiten, und alles würde\nwieder seinen gewohnten Gang gehen!\x0E\x04\x02\x00
MID_BT8_#005	Ich flehe Euch an, bitte führt uns noch einmal\nzur Einigkeit.\x0E\x04\x00\x00
MID_BT8_#006	\x0E\x05\x01\x12\x08リュール\x06Sad\n\x0E\x03\x02\x0A\x08リュール\nEs tut mir leid. Nur \x0E\x0A\x00\x10\x06die\x06der \x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott dieser Welt\nkönnte dies tun, aber...\x0E\x04\x02\x00
MID_BT8_#007	\x0E\x05\x01\x16\x08リュール\nAngry\nAber ich könnte es auf mich nehmen, diesen\nKonflikt zu beenden, durch den Kampf, den\nIhr zu vermeiden versucht.\x0E\x04\x02\x00
MID_BT8_#008	Verzeiht mir, dass ich gegen Euch kämpfe!\x0E\x04\x00\x00
MID_BT9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01&\x12E003_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E003_Boss\nAmber? Ist das eine Illusion? Vielleicht verliere\nich gerade den Bezug zur Realität...\x0E\x04\x02\x00
MID_BT9_#002	\x0E\x05\x01\x1C\x12E003_Boss\x06Shy\nEgal, wie sehr ich mich auch bemühe, ich sehe\ndich vor mir stehen. HAHAHAHAHAHA!\x0E\x04\x00\x00
MID_BT9_#003	\x0E\x03\x00\x0E\x08アンバー\x02t\n\x0E\x05\x01\x1C\x08アンバー\x10Surprise\n\x0E\x03\x02\x0A\x08アンバー\nÄhm, Prinz Diamant? Habe ich etwas gemacht,\nwas Ihr lustig findet?\x0E\x04\x00\x00
MID_BT9_#004	\x0E\x03\x02\x14\x12E003_Boss\nIch lache, weil ich nicht weiß, was ich sonst tun\nsoll. Du bist gestorben, weil du mich beschützt\nhast. Und nun soll ich gegen dich kämpfen?\x0E\x04\x02\x00
MID_BT9_#005	\x0E\x05\x01\x12\x08アンバー\x06Sad\n\x0E\x05\x01\x1E\x12E003_Boss\x08Pain\nBist du ein Trugbild? Ein Verzerrter? Das spielt\nkeine Rolle. Wir treffen uns auf dem Schlacht-\nfeld, daher muss ich dich töten.\x0E\x04\x02\x00
MID_BT9_#006	\x0E\x05\x01\x1C\x12E003_Boss\x06Shy\nHast du jetzt Spaß, wie du es immer hattest?\nIch habe das so sehr vermisst.\x0E\x04\x00\x00
MID_BT9_#007	\x0E\x03\x02\x0A\x08アンバー\nMein Ich dieser Welt gibt es also nicht mehr.\x0E\x04\x02\x00
MID_BT9_#008	Prinz Diamant... Verzeiht mir. Ich wollte Euch\nnicht traurig machen.\x0E\x04\x00\x00
MID_BT10_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01\x1C\x12E003_Boss\x06Shy\n\x0E\x03\x02\x14\x12E003_Boss\nJade? Hah. Wieso bist du hier? Das fühlt sich\nan wie eine Szene aus deinen Komödien.\x0E\x04\x02\x00
MID_BT10_#002	Erinnerst du dich? Ein alter Mann, von dem\nman dachte, er sei tot, wird mit einem Riesen-\ngähner wach. Das war ein Meisterwerk.\x0E\x04\x02\x00
MID_BT10_#003	\x0E\x05\x01\x1C\x12E003_Boss\x06Sad\nAls du gestorben warst, habe ich darauf gewar-\ntet, dass du wach wirst. Wir hätten darüber\nlachen können. Aber du bist nicht aufgewacht.\x0E\x04\x00\x00
MID_BT10_#004	\x0E\x03\x00\x0E\x08ジェーデ\x02t\n\x0E\x05\x01\x12\x08ジェーデ\x06Sad\n\x0E\x03\x02\x0A\x08ジェーデ\nPrinz Diamant...\x0E\x04\x00\x00
MID_BT10_#005	\x0E\x05\x01\x1E\x12E003_Boss\x08Pain\n\x0E\x03\x02\x14\x12E003_Boss\nWieso bist du nicht wieder aufgewacht?! Wieso\nbist du damals nicht so vor mir erschienen?!\x0E\x04\x02\x00
MID_BT10_#006	Gerade, als ich dachte, die Wunde würde lang-\nsam anfangen zu heilen, kommst du und er-\ninnerst mich an glücklichere Zeiten.\x0E\x04\x00\x00
MID_BT10_#007	\x0E\x03\x02\x0A\x08ジェーデ\nVerzeiht, wenn ich eine alte Wunde geöffnet\nhabe, aber ich bin nicht die Jade, die Ihr\nkanntet.\x0E\x04\x02\x00
MID_BT10_#008	Ich bin nur eine Fremde mit einem vertrauten\nGesicht – und ich muss Euch besiegen.\x0E\x04\x00\x00
MID_BT11_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01&\x12E003_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E003_Boss\nSaphir! Wieso bist du auf deren Seite? Deine\nLoyalität gehört uns!\x0E\x04\x00\x00
MID_BT11_#002	\x0E\x03\x00\x10\nザフィーア\x02t\n\x0E\x05\x01\x1E\nザフィーア\x10Surprise\n\x0E\x03\x02\x0C\nザフィーア\nPrinz Diamant? Ich bin nicht...\x0E\x04\x00\x00
MID_BT11_#003	\x0E\x03\x02\x14\x12E003_Boss\nAh! Du bist eine Fremde, die einfach nur wie\nsie aussieht, ja?\x0E\x04\x02\x00
MID_BT11_#004	\x0E\x05\x01\x14\nザフィーア\x06Sad\n\x0E\x05\x01\x1E\x12E003_Boss\x08Pain\nIch habe recht. Saphir ist vor langer Zeit schon\ngestorben, nicht wahr?\x0E\x04\x02\x00
MID_BT11_#005	\x0E\x05\x01\x1C\x12E003_Boss\x06Sad\nUnd dennoch... Immer, wenn ich auf dem\nSchlachtfeld stehe, sehe ich sie vor mir.\x0E\x04\x00\x00
MID_BT12_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01&\x12E003_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E003_Hide\nMoment! Du... Du bist ich!\x0E\x04\x00\x00
MID_BT12_#002	\x0E\x03\x00\x10\nスタルーク\x02t\n\x0E\x05\x01\x16\nスタルーク\x08Pain\n\x0E\x03\x02\x0C\nスタルーク\nHngh, es tut mir leid. Ich weiß, unsere Gesichter\nsind gleich, aber ich bin sicher, dass du viel\nfähiger bist als ich.\x0E\x04\x00\x00
MID_BT12_#003	\x0E\x05\x01"\x12E003_Hide\x0CStatus\n\x0E\x03\x02\x14\x12E003_Hide\nSo was von kriecherisch. Bist du eine Illusion?\nDeine Schwächen auf mich zu projizieren,\nwird mich nicht ins Wanken bringen.\x0E\x04\x02\x00
MID_BT12_#004	Ich werde triumphieren, sogar im Kampf gegen\nmich selbst. Du wirst schon sehen.\x0E\x04\x00\x00
MID_BT12_#005	\x0E\x05\x01\x14\nスタルーク\x06Sad\n\x0E\x03\x02\x0C\nスタルーク\nOh. Klasse! Es ist, als ob du ich seist, nur\nvoller Selbstvertrauen.\x0E\x04\x02\x00
MID_BT12_#006	Ich wünschte, ich wäre auch so.\x0E\x04\x00\x00
MID_BT13_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01 \x12E003_Hide\nAngry\n\x0E\x03\x02\x14\x12E003_Hide\nHm? Bruder, ich bin nicht dein Feind. Oder\nversuchst du, mich in den Wirren der Schlacht\nzu beseitigen?\x0E\x04\x02\x00
MID_BT13_#002	\x0E\x05\x01$\x12E003_Hide\x0EStandBy\nSollte dies in deiner Absicht liegen, so nehme\nich die Herausforderung an.\x0E\x04\x00\x00
MID_BT13_#003	\x0E\x03\x00\x12\x0Cディアマンド\x02t\n\x0E\x05\x01\x16\x0Cディアマンド\x06Sad\n\x0E\x03\x02\x0E\x0Cディアマンド\nIch habe den Eindruck, unser Verhältnis in\ndieser Welt ist deutlich weniger herzlich.\x0E\x04\x00\x00
MID_BT14_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01 \x12E003_Hide\nAngry\n\x0E\x03\x02\x14\x12E003_Hide\nDu. Wer bist du wirklich?\x0E\x04\x02\x00
MID_BT14_#002	Das beschäftigt mich schon eine ganze Weile.\nWieso hast du die Gestalt \x0E\x0A\x00\x10\x06des\x06der \x0E\x0A\x00,\x14Wyrmgottes\x14Wyrmgöttin\nangenommen?\x0E\x04\x00\x00
MID_BT14_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1A\x08リュール\x0EStandBy\n\x0E\x03\x02\x0A\x08リュール\nIch habe diese Form nicht angenommen. Würdet\nIhr mir glauben, wenn ich Euch sage, dass ich\naus einer anderen Welt komme?\x0E\x04\x00\x00
MID_BT14_#004	\x0E\x05\x01$\x12E003_Hide\x0EStandBy\n\x0E\x03\x02\x14\x12E003_Hide\nDu willst also diese Posse weiterspielen\nund behaupten, du seist \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x12Göttliche\x12Göttliche.\nDas ist interessant schamlos von dir.\x0E\x04\x02\x00
MID_BT14_#005	\x0E\x05\x01 \x12E003_Hide\nSmile\nBis ich dich enthaupte und deine wahre\nIdentität feststelle, darfst du mich gerne\nweiter unterhalten.\x0E\x04\x00\x00
MID_BT15_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01&\x12E003_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E003_Hide\nIch kann kaum glauben, dich hier zu sehen.\x0E\x04\x02\x00
MID_BT15_#002	\x0E\x05\x01\x1E\x12E003_Hide\x08Pain\nDu bist vor mir erschienen, weil du mich hasst.\nWeil ich dir gesagt habe, ich würde dich be-\nschützen, es aber nicht konnte.\x0E\x04\x00\x00
MID_BT15_#003	\x0E\x03\x00\x0C\x06ラピス\x02t\n\x0E\x05\x01\x1A\x06ラピス\x10Surprise\n\x0E\x03\x02\x08\x06ラピス\nIhr redet Unsinn. Ich könnte Euch niemals\nhassen.\x0E\x04\x02\x00
MID_BT15_#004	\x0E\x05\x01\x14\x06ラピス\nSmile\nWenn mein Ich dieser Welt in der Lage war,\nEuch zu beschützen, bin ich sicher, dass sie\nzufrieden war.\x0E\x04\x02\x00
MID_BT15_#005	Daher seid bitte nicht aufgebracht.\x0E\x04\x00\x00
MID_BT15_#006	\x0E\x05\x01\x1C\x12E003_Hide\x06Sad\n\x0E\x03\x02\x14\x12E003_Hide\nDu bist eine Halluzination. Wenn ich ihr erlaube,\nmeine Sinne zu vernebeln, spiele ich dem\nGegner in die Hände.\x0E\x04\x02\x00
MID_BT15_#007	\x0E\x05\x01$\x12E003_Hide\x0ESerious\nTrotzdem... Wenn du mich nur sehen könntest,\nLapis, wenn ich den Thron besteige.\x0E\x04\x00\x00
MID_BT15_#008	\x0E\x05\x01\x10\x06ラピス\x06Sad\n\x0E\x03\x02\x08\x06ラピス\nWohin Euch Euer Weg auch führt, so wie Ihr\nseid, werdet Ihr stets wundervoll sein.\x0E\x04\x00\x00
MID_BT16_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01\x1E\x12E003_Hide\x08Pain\n\x0E\x03\x02\x14\x12E003_Hide\nCitrinne? Es schmerzt, dich jetzt zu sehen, da\nich weiß, dass ich dich nicht beschützen konnte.\x0E\x04\x02\x00
MID_BT16_#002	Jeder aus deinem Adelshaus ist gestorben. Sie\nwaren für mich wie Familie. Jeder Tod...\x0E\x04\x00\x00
MID_BT16_#003	\x0E\x03\x00\x10\nシトリニカ\x02t\n\x0E\x05\x01\x14\nシトリニカ\x06Sad\n\x0E\x03\x02\x0C\nシトリニカ\nIch hatte das schon halb erwartet, aber... nun\nsind wir hier. Jedes Mal, wenn du mich so\nansiehst, verspüre ich solch eine Trauer.\x0E\x04\x00\x00
MID_BT16_#004	\x0E\x05\x01\x1C\x12E003_Hide\x06Sad\n\x0E\x03\x02\x14\x12E003_Hide\nEgal, wie viele Reichtümer man auch besitzt,\ndas Leben selbst ist unbezahlbar. Und die\nUrsache von so viel Leid.\x0E\x04\x02\x00
MID_BT16_#005	\x0E\x05\x01\x1E\x12E003_Hide\x08Pain\nIch hätte an jenem Tage sterben sollen. Ich\nwollte, dass du lebst. Ich wollte, dass jeder\nlebt!\x0E\x04\x00\x00
MID_BT16_#006	\x0E\x05\x01\x14\nシトリニカ\x06Shy\n\x0E\x03\x02\x0C\nシトリニカ\nDer Alcryst dieser Welt wirkt so selbstbewusst.\nDoch tief im Herzen bist du genauso wie der\nAlcryst, den ich kenne.\x0E\x04\x02\x00
MID_BT16_#007	Ich bin sicher, du hast dein Bestes gegeben. So\nschmerzvoll das auch sein mag, ich bin froh,\ndass ich vor dir gegangen bin.\x0E\x04\x00\x00
MID_BT17_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nザフィーア\x02t\n\x0E\x05\x01\x18\nザフィーア\nRelax\n\x0E\x03\x02\x0C\nザフィーア\nEs ist seltsam, Euch so selbstbewusst zu sehen,\nPrinz Alcryst. Ich könnte mich aber durchaus\ndaran gewöhnen.\x0E\x04\x00\x00
MID_BT17_#002	\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01&\x12E003_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E003_Hide\nIst das ein weiteres Trugbild? Saphir?! Ich\nweiß, dass du gestorben bist, als du Vater\nbeschützen wolltest.\x0E\x04\x00\x00
MID_BT17_#003	\x0E\x05\x01\x1E\nザフィーア\x10Surprise\n\x0E\x03\x02\x0C\nザフィーア\nBin ich das? Nun, wenn ich mich schon verab-\nschieden musste, dann bin ich froh, dass ich das\ntat, als ich König Morion verteidigt habe.\x0E\x04\x02\x00
MID_BT17_#004	\x0E\x05\x01\x18\nザフィーア\nRelax\nIn diesem Sinne, Prinz Alcryst, kommen wir zur\nSache. Zeigt mir, was Ihr draufhabt!\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x18\x12E003_Boss\x021\n\x0E\x03\x00\x18\x12E003_Hide\x022\n\x0E\x03\x00\x14\x0EE003_エル\x023\n\x0E\x03\x00\x14\x0EE003_イル\x024\n\x0E\x03\x02\x14\x12E003_Boss\nEs ist vorbei. Wir ziehen uns zurück.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x14\x12E003_Hide\nDiamant, nein! Wir dürfen uns nicht ergeben!\nNicht, nachdem sie unseren Armring genommen\nhaben!\x0E\x04\x02\x00
MID_ED1_#003	Wir müssen ihn zurückholen! Komm schon!\nRunde zwei!\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x14\x12E003_Boss\nDann hast du einen Plan? Eine Idee, wie sich\ndas Blatt wenden wird? Bitte, ich bin ganz Ohr.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x14\x12E003_Hide\nHrmpf.\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x14\x12E003_Boss\nNel. Nil. Wir werden das Spielfeld verlassen.\x0E\x04\x02\x00
MID_ED1_#007	Wir werden euch nicht länger in die Quere\nkommen. Der Armring ist nun in euren Händen,\nso wie auch das Schicksal Brodias.\x0E\x04\x02\x00
MID_ED1_#008	Bitte... Führt die Welt in den Frieden.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x10\x0EE003_エル\nDies ist ohne Zweifel der Armring der einsamen\nErbin.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x02\x0A\x08リュール\nDamit besitzen wir nun vier Armringe.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x10\x0EE003_エル\nEmblem Veronica lebt in seinem Inneren. Sie\nbesitzt die Macht, Krieger aus anderen Welten\nherbeizurufen.\x0E\x04\x02\x00
MID_ED1_#012	Aber auch sie ist mit Bösem befleckt, wie schon\nFirenes Emblem. Wir können wohl annehmen,\ndass dies für alle Embleme gilt.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x00\x1C\x16E003_敵ヴェロニカ\x022\n\x0E\x06\x004\x16E003_敵ヴェロニカ\x1AMPID_Veronica\n\x0E\x03\x02\x18\x16E003_敵ヴェロニカ\nBin ich nun bei Euch?\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x0A\x08リュール\nJa, Emblem Veronica.\x0E\x04\x02\x00
MID_ED1_#015	Aber Ihr müsst nicht für uns kämpfen. Ihr\nkönnt weiter ruhen.\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x18\x16E003_敵ヴェロニカ\nIch verstehe... Ich bin dankbar für die Atem-\npause. Aber ich bin auch ein wenig einsam.\x0E\x04\x02\x00
MID_ED1_#017	Wenn ich wieder aufwache, hoffe ich, dass Ihr\nan meiner Seite seid, auch ohne einen Kontrakt,\nder uns verbindet.\x0E\x04\x00\x00
MID_ED1_#018	\x0E\x03\x02\x0A\x08リュール\nKeine Sorge. Ihr bleibt während unserer Reise\nbei uns. Und eines Tages werden wir uns\nwiedersehen.\x0E\x04\x00\x00
MID_ED1_#019	\x0E\x03\x02\x10\x0EE003_イル\nIch denke, damit sind wir hier fertig.\x0E\x04\x00\x00
MID_ED1_#020	\x0E\x03\x00\x1A\x14E003_グレゴリー\x022\n\x0E\x03\x02\x16\x14E003_グレゴリー\nIch bin es nicht gewohnt, meine eigenen\nSchlachten zu schlagen, geschweige denn,\ndiese auch noch zu gewinnen.\x0E\x04\x00\x00
MID_ED1_#021	\x0E\x03\x02\x10\x0EE003_エル\nJa. Zu flüchten ist für uns alle eine ganz\nnatürliche Sache, \x0E\x0A\x00\x18\x06vom\x0Evon der \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin mal\nabgesehen.\x0E\x04\x00\x00
MID_ED1_#022	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nDa ist etwas Wahres dran. Jeder von uns ist\nschon vor irgendetwas geflüchtet.\x0E\x04\x00\x00
MID_ED1_#023	\x0E\x03\x02\x0A\x08リュール\nWas meinst du damit?\x0E\x04\x00\x00
MID_ED1_#024	\x0E\x03\x02\x18\x16E003_セレスティア\nWährend des Krieges vor tausend Jahren, als\nSombron mein Dorf niederbrannte, floh ich\nnach Lythos.\x0E\x04\x02\x00
MID_ED1_#025	Andere Magiedrachen konnten mächtige Magie\nwirken, aber meine Magie war nie derart stark.\x0E\x04\x02\x00
MID_ED1_#026	Deshalb konnte Sombron mich auch nicht\naufspüren, während meine Familie und Freunde,\nalles brillante Magier, ausgelöscht wurden.\x0E\x04\x00\x00
MID_ED1_#027	\x0E\x03\x02\x0A\x08リュール\nAh...\x0E\x04\x00\x00
MID_ED1_#028	\x0E\x03\x02\x18\x16E003_セレスティア\nSombron wollte, dass die Magiedrachen sich in\nseine Dienste stellen, aber sie weigerten sich,\nsich ihm zu unterwerfen.\x0E\x04\x02\x00
MID_ED1_#029	Und nun bin ich die Einzige meiner Art.\x0E\x04\x00\x00
MID_ED1_#030	\x0E\x03\x02\x16\x14E003_グレゴリー\nIch lebte in Elusia, als Anhänger von Sombron.\nAber ich konnte einfach nicht so handeln, wie\nes die anderen taten.\x0E\x04\x02\x00
MID_ED1_#031	Der Dämonendrache gierte nach Schmerz und\nBlut, und seine Schüler waren mehr als\nglücklich, ihm das zu geben.\x0E\x04\x02\x00
MID_ED1_#032	Ich konnte mich ihrer Leidenschaft einfach nicht\nanschließen. Also tat ich nur so, als ob. Und als\neiner der Priester das herausfand...\x0E\x04\x02\x00
MID_ED1_#033	Mir blieb nur wegzurennen. Zu rennen – oder\nmein Leben dem Dämonendrachen zu über-\nlassen.\x0E\x04\x00\x00
MID_ED1_#034	\x0E\x03\x02\x18\x16E003_セレスティア\nIch nahm Gregory mit nach Lythos. Nachdem\ner mir in Elusia in einer grausamen Schlacht\nselbstlos zu Hilfe geeilt war.\x0E\x04\x00\x00
MID_ED1_#035	\x0E\x03\x02\x16\x14E003_グレゴリー\nDu sagst das, als wäre ich so eine Art Held. Du\nwarst von Verzerrten umzingelt, also habe ich\ndir geholfen.\x0E\x04\x00\x00
MID_ED1_#036	\x0E\x03\x00\x14\x0EE003_イル\x022\n\x0E\x03\x02\x10\x0EE003_イル\nUnd ich bin, wie Ihr wisst, ein Fehlschlag.\x0E\x04\x02\x00
MID_ED1_#037	Ich lebe nur noch, weil Nel und ich gemeinsam\nvor Sombron geflohen sind.\x0E\x04\x00\x00
MID_ED1_#038	\x0E\x03\x02\x10\x0EE003_エル\nIch habe es schon einmal gesagt und ich sage\nes jetzt noch mal: Du bist kein Fehlschlag, Nil.\x0E\x04\x00\x00
MID_ED1_#039	\x0E\x03\x02\x10\x0EE003_イル\nEs tut mir leid. Ich weiß, es regt dich auf, wenn\nich so rede.\x0E\x04\x02\x00
MID_ED1_#040	Aber Nel ist viel stärker als ich. Sie könnte es\nmit jedem Gegner aufnehmen... wenn es mich\nnicht gäbe.\x0E\x04\x02\x00
MID_ED1_#041	Daher ist sie es wohl auch, die keine Mühen\nhat, sich zu behaupten.\x0E\x04\x00\x00
MID_ED1_#042	\x0E\x03\x02\x10\x0EE003_エル\nNicht ganz. Ich bin genauso oft geflohen wie\nihr alle.\x0E\x04\x00\x00
MID_ED1_#043	\x0E\x03\x02\x10\x0EE003_イル\nDas ist nicht wahr. Ich habe nie gesehen, dass\ndu vor irgendetwas fortgelaufen wärst.\x0E\x04\x00\x00
MID_ED1_#044	\x0E\x03\x02\x10\x0EE003_エル\nIch bin vor meiner Verantwortung fortgelaufen.\x0E\x04\x02\x00
MID_ED1_#045	Ich hätte verhindern müssen, dass die König-\nlichen der vier Nationen ihre Armringe an sich\nnehmen.\x0E\x04\x00\x00
MID_ED1_#046	\x0E\x03\x02\x10\x0EE003_イル\nDu bist nur ihren Wünschen nachgekommen.\nDu sagtest doch sogar, dass dies sei, was \x0E\x0A\x00\x10\x06die\x06der\n\x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott sich wünschen würde.\x0E\x04\x00\x00
MID_ED1_#047	\x0E\x03\x02\x10\x0EE003_エル\nDas sagte ich nur, um meine Angst zu ver-\nschleiern.\x0E\x04\x02\x00
MID_ED1_#048	Ich hatte Angst, dass mein Wunsch abgelehnt\nwürde. Dass ich unsere Verbündeten verlieren\nwürde.\x0E\x04\x02\x00
MID_ED1_#049	Und dass ich gezwungen wäre, im Schloss von\nLythos gegen sie zu kämpfen.\x0E\x04\x00\x00
MID_ED1_#050	\x0E\x03\x02\x10\x0EE003_イル\nIch hatte ja keine Ahnung...\x0E\x04\x00\x00
MID_ED1_#051	\x0E\x03\x02\x10\x0EE003_エル\nIch bin also ebenfalls geflohen, als ich eigentlich\nhätte Stellung beziehen sollen. Ich hätte dies\nalles verhindern können.\x0E\x04\x02\x00
MID_ED1_#052	Dieses Wissen hinderte mich daran, das Land\nLythos zu verlassen, bis \x0E\x0A\x00\x1A\nunser\x0Cunsere \x0E\x0A\x00 \x0CRetter\x10Retterin ange-\nkommen ist.\x0E\x04\x02\x00
MID_ED1_#053	Und vielleicht trage ich deswegen die Schuld\nan dem momentanen Zustand der Welt.\x0E\x04\x00\x00
MID_ED1_#054	\x0E\x03\x02\x10\x0EE003_イル\nAuf keinen Fall. Du hast nichts falsch gemacht.\x0E\x04\x00\x00
MID_ED1_#055	\x0E\x03\x02\x18\x16E003_セレスティア\nGanz meine Meinung. Unser unbekannter\nGegner trägt die Schuld, nicht Ihr.\x0E\x04\x00\x00
MID_ED1_#056	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nIch hätte niemals gedacht, dass Ihr auch\nweggerannt seid, Milady Nel. Ihr wirkt immer so\nstark.\x0E\x04\x02\x00
MID_ED1_#057	Wir mögen eine Ansammlung von Schwächlin-\ngen sein, aber wir leben noch. Das muss doch\nauch etwas zählen.\x0E\x04\x00\x00
