MID_MENU_YES	OK
MID_MENU_REFINE_SHOP_ENGRAVE_CONFIRM_TO_REPLACE	Das Emblem von \x0E\x01\x00\x00 ist bereits auf \x0E\x01\x01\x00 graviert. Stattdessen auf diese Waffe gravieren?
MID_MENU_REFINE_SHOP_ENGRAVE_EMPTY	(Keine Embleme)
MID_MENU_REFINE_SHOP_EXCHANGE_SELECT_TARGET	Welches Mineral erhalten?
MID_MENU_REFINE_SHOP_EXCHANGE_SELECT_SOURCE	Welches Mineral anbieten?
MID_MENU_REFINE_SHOP_EXCHANGE_SELECT_COUNT	Wie viele Exemplare tauschen?
MID_MENU_REFINE_SHOP_EXCHANGE_SOURCE	Angeboten
MID_MENU_REFINE_SHOP_EXCHANGE_GET	Erhalten
MID_MENU_REFINE_SHOP_EXCHANGE_POSSIBLE	Tauschbar
MID_MENU_REFINE_SHOP_EXCHANGE_ADJUSTMENT	Änderung
MID_MENU_REFINE_SHOP_EXCHANGE_IMPOSSIBLE	Nicht genug Platz für Tausch.
MID_MENU_REFINE_SHOP_EXCHANGE_Lack	Nicht genug Mineral.
MID_MENU_REFINE_SHOP_EXCHANGE_01	Diesen Tausch durchführen?
MID_MENU_REFINE_SHOP_EXCHANGE_02	\x0E\x01\x01\x00 \x0E\x01\x00\x00 kann nicht erhalten werden, da du\ndie maximale Kapazität erreicht hast.
MID_MENU_REFINE_SHOP_EXCHANGE_YES	Tausch
MID_MENU_FLEA_MARKET	Flohmarkt
MID_MENU_FLEA_MARKET_NOUNIT	Es ist niemand im Laden, aber du kannst\ntrotzdem einkaufen.
MID_MENU_FORTUNE_TELLING_TITLE	Wahrsager
MID_MENU_FORTUNE_TELLING_HELP	Wähle eine Einheit.
MID_MENU_FORTUNE_TELLING_RESULT0	Besorgt über
MID_MENU_FORTUNE_TELLING_RESULT1	Denkt an
MID_MENU_PROFILE_CARD	Visitenkarte
MID_MENU_PROFILE_CARD_HELP	Sieh dir deine Karte an und\ntausch sie online mit anderen.
MID_RINGLIST_SKILLLIST_TITLE	Band-Effekte
MID_RINGLIST_BONDSRING_NAME	Ring des Bandes
MID_RINGLIST_BONDSRING_NAME_MULTIPLE	Ringe des Bandes
MID_RINGLIST_BONDSRINGLIST_TITLE	Effekte (Ring des Bandes)
MID_MAINMENU_START	Neues Spiel
MID_MAINMENU_CONTINUE	Fortsetzen
MID_MAINMENU_OPTION	Optionen
MID_MAINMENU_SAVEDATA_COPY	Kopieren
MID_MAINMENU_SAVEDATA_DELETE	Löschen
MID_MAINMENU_LANGUAGE_SETTING	Sprache ändern
MID_MAINMENU_LANGUAGE_SETTING_HELP	Ändere die Sprache, in der Spieltexte dargestellt werden.
MID_MAINMENU_LANGUAGE_MESS	Text
MID_MAINMENU_LANGUAGE_VOICE	Stimmen
MID_MAINMENU_LANGUAGE_CONFIRM	Sprache ändern?
MID_MAINMENU_LANGUAGE_CONFIRM_YES	Ändern
MID_MAINMENU_PRIVILEFE_LABEL	© Nintendo / INTELLIGENT SYSTEMS
MID_MAINMENU_GAME_VERSION	Ver. \x0E\x01\x00\x00
MID_GAMESTART_PRESS_ANY_BUTTON	DRÜCKE EINEN KNOPF
MID_GAMESTART_MODE_TITLE	Modus
MID_GAMESTART_PLAYER_NAME_TITLE	Name
MID_GAMESTART_PLAYER_BIRTHDAY_TITLE	Geburtstag
MID_GAMESTART_DIFFICULTY_TITLE	Schwierigkeit
MID_GAMESTART_GROWMODE_TITLE	Entwicklung
MID_GAMESTART_NETWORK_SERVICE_TITLE	Netzwerk
MID_GAMESTART_DIFFICULTY_SELECT_TITLE	Schwierigkeitsgrad
MID_GAMESTART_DIFFICULTY_SELECT_HELP	Wähle einen Schwierigkeitsgrad.
MID_GAMESTART_MODE_SELECT_TITLE	Modus
MID_GAMESTART_MODE_SELECT_HELP	Wähle einen Modus.
MID_GAMESTART_GROWMODE_SELECT_TITLE	Statuswerte
MID_GAMESTART_GROWMODE_SELECT_HELP	Wähle die Art der Entwicklung.
MID_GAMESTART_GROEMODE_LOCKED_BY_LUNATIC	Du musst das Spiel auf „Extrem“ abschließen,\nbevor du auf „Extrem“ den Entwicklungstyp\n„Zufall“ für deine Einheiten wählen kannst.
MID_GAMESTART_NETWORK_SERVICE_ON	Verbunden
MID_GAMESTART_NETWORK_SERVICE_OFF	Nicht verbunden
MID_GAMESTART_PLAYER_GENDER_SELECT_TITLE	Aussehen
MID_GAMESTART_PLAYER_GENDER_SELECT_HELP	Wähle ein Aussehen.
MID_GAMESTART_PLAYER_NAME_INPUT	Gib deinen Namen ein.
MID_GAMESTART_PLAYER_NAME_CHECK	Ist dieser Name in Ordnung? (Nicht anzeigbare\nZeichen werden als \x0E\x01\x00\x00 dargestellt.)
MID_GAMESTART_PLAYER_NAME_CHECK_YES	Ja
MID_GAMESTART_PLAYER_NAME_CHECK_NO	Nein
MID_GAMESTART_PLAYER_BIRTHDAY_INPUT_TITLE	Geburtstag
MID_GAMESTART_PLAYER_BIRTHDAY_INPUT_HELP	Gib deinen Geburtstag ein.
MID_GAMESTART_PLAYER_BIRTHDAY_INPUT_MONTH	Monat
MID_GAMESTART_PLAYER_BIRTHDAY_INPUT_DAY	Tag
MID_GAMESTART_PLAYER_BIRTHDAY_INPUT_MONTH_DAY	\x0E\x01\x01\x00.\x0E\x01\x00\x00.
MID_GAMESTART_NETWORK_SERVICE_SELECT_TITLE	Netzwerk-Einstellungen
MID_GAMESTART_NETWORK_SERVICE_SELECT_HELP	Richte das Online-Spiel ein.
MID_GAMESTART_CONFIRM_FINAL	Spiel beginnen?
MID_GAMESTART_CONFIRM_FINAL_OK	Beginnen
