MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06セピア\x021\n\x0E\x03\x00\x0C\x06マロン\x022\n\x0E\x03\x00\x0A\x04グリ\x023\n\x0E\x03\x00\x0C\x06モーヴ\x024\n\x0E\x03\x02\x08\x06セピア\nWas?\x0E\x04\x02\x00
MID_ED3_#025	Ihr und Lumera wünschtet Euch mehr als alles\nandere, eine Familie zu sein.\x0E\x04\x02\x00
MID_ED3_#026	Das ist alles, was ich weiß.\x0E\x04\x00\x00
MID_ED3_#027	\x0E\x03\x02\x0A\x08リュール\nDas ist genug, Sigurd. Danke.\x0E\x04\x02\x00
MID_ED3_#028	Es tut mir leid. Ich bin \x0E\x0A\x00>\x1Akein Wyrmgott keine Wyrmgöttin.\nIch bin es nie gewesen.\x0E\x04\x00\x00
MID_ED3_#029	\x0E\x03\x02\x0C\nヴァンドレ\nIhr müsst Euch für nichts entschuldigen.\x0E\x04\x00\x00
MID_ED3_#030	\x0E\x03\x02\x0A\x08リュール\nNur \x0E\x0A\x00:\x18ein Wyrmgott\x1Eeine Wyrmgöttin könnte Sombron\nversiegeln, so wie Mutter es getan hat.\x0E\x04\x02\x00
MID_ED3_#031	Welche Chance bleibt uns jetzt noch, diesen\nKrieg zu überleben?\x0E\x04\x02\x00
MID_ED3_#032	Ohne solch eine Macht besteht keine Hoffnung,\nSombron aufzuhalten.\x0E\x04\x00\x00
MID_ED3_#033	\x0E\x03\x01\x0C\nヴァンドレ\n\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x01\x0A\x08シグルド\n\x0E\x03\x00\x0E\x08シグルド\x021\n\x0E\x03\x02\x0A\x08シグルド\nWie kommt Ihr darauf, Ihr würdet nicht über die\nMacht \x0E\x0A\x00D eines Wyrmgottes einer Wyrmgöttin verfügen?\x0E\x04\x00\x00
MID_ED3_#034	\x0E\x03\x02\x0A\x08リュール\n...?\x0E\x04\x00\x00
MID_ED3_#035	\x0E\x03\x02\x0A\x08シグルド\nIhr tragt das Blut des Dämonendrachen in Euch,\nja... Aber Ihr vergesst Eure eigenen Fähigkeiten.\x0E\x04\x02\x00
MID_ED3_#036	Erinnert Euch an Floramühlstadt, als Ihr meinen\nRing zurückerhalten und mich beschworen habt.\x0E\x04\x00\x00
MID_ED3_#037	\x0E\x03\x02\x0A\x08リュール\nAber ich tat es mithilfe einer Anrufung.\x0E\x04\x00\x00
MID_ED3_#038	\x0E\x03\x02\x0A\x08シグルド\nEmbleme, die durch die Macht eines Dämonen-\ndrachen beschworen werden, können nicht\nkommunizieren.\x0E\x04\x00\x00
MID_ED3_#039	\x0E\x03\x02\x0A\x08リュール\n...!\x0E\x04\x00\x00
MID_ED3_#040	\x0E\x03\x02\x0A\x08シグルド\nErinnert Euch an Embleme, die mit der Macht\ndes Dämonendrachen beschworen wurden.\nKonnten sie etwa sprechen?\x0E\x04\x00\x00
MID_ED3_#041	\x0E\x03\x02\x0A\x08リュール\nNein... Als ich nach ihnen rief, antworteten sie\nnicht.\x0E\x04\x00\x00
MID_ED3_#042	\x0E\x03\x00\x10\nヴァンドレ\x024\n\x0E\x03\x02\x0C\nヴァンドレ\nSprecht bitte weiter, Sir Sigurd.\x0E\x04\x00\x00
MID_ED3_#043	\x0E\x03\x02\x0A\x08シグルド\nDie Anrufung eines Dämonendrachen beraubt\nEmbleme ihres freien Willens. Sie haben keine\nandere Wahl, als zu dienen.\x0E\x04\x02\x00
MID_ED3_#044	Bei einem Gebet bleibt ihr freier Wille intakt.\nDas ist ganz im Sinne \x0E\x0A\x00D eines Wyrmgottes einer Wyrmgöttin.\x0E\x04\x02\x00
MID_ED3_#045	Ihr nutzt sowohl Anrufung als auch Gebet.\x0E\x04\x02\x00
MID_ED3_#046	\x0E\x03\x02\x0A\x08リュール\nIhr meint also... ich verfüge doch über die Macht\n\x0E\x0A\x00D eines Wyrmgottes einer Wyrmgöttin.\x0E\x04\x00\x00
MID_ED3_#047	\x0E\x03\x02\x0A\x08シグルド\nSo ist es.\x0E\x04\x02\x00
MID_ED3_#048	Eure Haare und Augen sind der beste Beweis.\nFrüher war beides rot.\x0E\x04\x02\x00
MID_ED3_#049	Das Blau beweist, dass Ihr durch Lumeras Liebe\ndie Macht \x0E\x0A\x00D eines Wyrmgottes einer Wyrmgöttin geerbt habt.\x0E\x04\x02\x00
MID_ED3_#050	Lumera verkürzte ihr Leben, damit Ihr als\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin ihr Erbe antreten konntet.\x0E\x04\x00\x00
MID_ED3_#051	\x0E\x03\x02\x0A\x08リュール\nMutter...\x0E\x04\x00\x00
MID_ED3_#052	\x0E\x03\x02\x0A\x08シグルド\nWir Embleme kämpfen auf eigenen Wunsch an\nEurer Seite.\x0E\x04\x02\x00
MID_ED3_#053	Wir konnten unsere Bindung zu Euch stärken,\nweil Ihr die Macht \x0E\x0A\x00D eines Wyrmgottes einer Wyrmgöttin besitzt.\x0E\x04\x02\x00
MID_ED3_#054	Es ist Eure Bestimmung, Lumeras\nVermächtnis weiterzutragen.\x0E\x04\x02\x00
MID_ED3_#055	Wollt Ihr immer noch gehen, nachdem Ihr das\ngehört habt? Ist das Euer Wunsch,\n\x0E\x06\x03\x00?\x0E\x04\x02\x00
MID_ED3_#056	\x0E\x03\x02\x0A\x08リュール\nNein.\x0E\x04\x02\x00
MID_ED3_#057	Ich möchte bleiben.\x0E\x04\x02\x00
MID_ED3_#058	Ich kann meine Abstammung vom Dämonen-\ndrachen nicht ändern. Das weiß ich.\x0E\x04\x02\x00
MID_ED3_#059	Aber ich werde meinen Weg als \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin\nfortsetzen – wenn Ihr mich lasst.\x0E\x04\x00\x00
MID_ED3_#060	\x0E\x03\x01\x0A\x08シグルド\n\x0E\x03\x01\x0C\nヴァンドレ\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x02\x0E\x0Cアルフレッド\nSelbstverständlich werden wir das!\x0E\x04\x00\x00
MID_ED3_#061	\x0E\x03\x02\x0A\x08リュール\nOh, Alfred...\x0E\x04\x00\x00
MID_ED3_#062	\x0E\x03\x02\x0E\x0Cアルフレッド\nJa, anfangs kamen wir zu Euch, weil wir Eure\nHilfe brauchten. Doch jetzt seid IHR mir wichtig.\x0E\x04\x02\x00
MID_ED3_#063	Ob nun Dämon oder \x0E\x0A\x00\x18\x08Gott\x0CGöttin – wir brauchen\nEuch. Also redet nicht mehr davon, uns zu\nverlassen.\x0E\x04\x00\x00
MID_ED3_#064	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\nOhne Euch hätten wir es nie so weit geschafft.\nIch werde Euch überallhin folgen.\x0E\x04\x02\x00
MID_ED3_#065	Wenn Ihr nur die Hälfte Eurer Macht habt, dann\nsoll es so sein. Wir werden die fehlende Hälfte\nwettmachen.\x0E\x04\x00\x00
MID_ED3_#066	\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x02\x0C\nミスティラ\nFür mich zählt nicht, wie Ihr geboren wurdet,\nsondern was Ihr aus Eurem Leben macht.\x0E\x04\x02\x00
MID_ED3_#067	Wenn Ihr als \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin leben möchtet, dann\nseid Ihr das auch!\x0E\x04\x00\x00
MID_ED3_#068	\x0E\x03\x01\x0C\nミスティラ\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x02\x0A\x08アイビー\nAuch wenn ich hin- und hergerissen bin – die\nAngst, Euch zu verlieren, macht mich\nentschlossen.\x0E\x04\x02\x00
MID_ED3_#069	Denn für mich seid Ihr \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin. Wenn\nIhr geht, würde das nichts an dieser Bindung\nändern.\x0E\x04\x00\x00
MID_ED3_#070	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x00\x0E\x08シグルド\x021\n\x0E\x03\x02\x0A\x08シグルド\nAlle sind sich einig. Schließlich seid Ihr es,\nwas sie verbindet.\x0E\x04\x02\x00
MID_ED3_#071	Ihr seid es und werdet es immer bleiben...\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_ED3_#072	\x0E\x03\x02\x0A\x08リュール\nIch danke Euch allen.\x0E\x04\x02\x00
MID_ED3_#073	Es gibt vieles, was ich nicht weiß. Ich mag in\nder Vergangenheit Entscheidungen getroffen\nhaben, die ich nicht zurücknehmen kann.\x0E\x04\x02\x00
MID_ED3_#074	Aber ich werde diese Reise mit Euch fortsetzen.\x0E\x04\x00\x00
MID_ED3_#075	\x0E\x03\x02\x0A\x08シグルド\nWir Embleme werden Euch folgen. Und zwar\naus freien Stücken.\x0E\x04\x00\x00
MID_ED4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x08\x06モーヴ\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin.\x0E\x04\x00\x00
MID_ED4_#002	\x0E\x03\x02\x0A\x08リュール\nMauvier, du bist es.\x0E\x04\x00\x00
MID_ED4_#003	\x0E\x03\x02\x08\x06モーヴ\nIch habe Euer Gespräch mitbekommen.\nDarüber, dass Ihr Lord Sombrons Kind seid.\x0E\x04\x02\x00
MID_ED4_#004	Wenn das wahr ist, bitte ich Euch inständig,\nMilady Veyle zu helfen.\x0E\x04\x00\x00
MID_ED4_#005	\x0E\x03\x02\x0A\x08リュール\nWas? Du bist nicht hier, um uns aufzuhalten?\x0E\x04\x00\x00
MID_ED4_#006	\x0E\x03\x02\x08\x06モーヴ\nMilady Veyle wurde die ganze Zeit vom Wunsch\nangetrieben, \x0E\x0A\x008\x18ihren Bruder\x1Cihre Schwester zu treffen.\x0E\x04\x02\x00
MID_ED4_#007	Wenn sie Euch sieht, wird sie gerettet.\nDas weiß ich.\x0E\x04\x00\x00
MID_ED4_#008	\x0E\x03\x02\x0A\x08リュール\nIch würde sie gerne unterstützen – so wie meine\nFreunde mich unterstützt haben.\x0E\x04\x02\x00
MID_ED4_#009	Veyle – die echte Veyle – war für uns immer eine\nFreundin. Aber wir wissen nicht, wo sie ist.\x0E\x04\x00\x00
MID_ED4_#010	\x0E\x03\x02\x08\x06モーヴ\nSie ist mit Lord Sombron auf der Reise nach\nLythos.\x0E\x04\x00\x00
MID_ED4_#011	\x0E\x03\x02\x0A\x08リュール\nLythos? Aber warum?!\x0E\x04\x00\x00
MID_ED4_#012	\x0E\x03\x02\x08\x06モーヴ\nIhr werdet mir vertrauen müssen. Ich kann es\nunterwegs erklären.\x0E\x04\x00\x00
MID_ED4_#013	\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\nWas sagt Ihr?\x0E\x04\x00\x00
MID_ED4_#014	\x0E\x03\x02\x0A\x08リュール\nGehen wir mit ihm.\x0E\x04\x00\x00
