MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04不明\x021\n\x0E\x03\x02\x06\x04不明\nWünscht ihr, unschuldig zu bleiben, euch fest\nan die Lehren, denen ihr folgt, zu halten?\x0E\x04\x02\x00
MID_BT16_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide7\x02b\n\x0E\x05\x01\x1E\x14E006_Hide7\x06Shy\n\x0E\x03\x02\x16\x14E006_Hide7\nIch fühle sie. Ich fühle die Wüstensonne auf\nmeinem Gesicht. Endlich, Mama... Ich komme\nheim.\x0E\x04\x00\x00
MID_BT17_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide8\x02b\n\x0E\x05\x01\x1E\x14E006_Hide8\x06Shy\n\x0E\x03\x02\x16\x14E006_Hide8\nIch habe keine Angst. Ich bin bereits zweimal\ngestorben... Was ist da schon ein weiteres Mal?\x0E\x04\x00\x00
MID_BT18_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E006_Hide8\x02b\n\x0E\x05\x01$\x14E006_Hide8\x0CStatus\n\x0E\x03\x02\x16\x14E006_Hide8\nHngh. Ich habe das Gefühl, das wird ein\nendgültiges Ende sein...\x0E\x04\x00\x00
MID_BT25_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide2\x02b\n\x0E\x05\x01"\x14E005_Hide2\nSmile\n\x0E\x03\x02\x16\x14E005_Hide2\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, lange nicht gesehen! Das letzte Mal\ntrafen wir uns bei unserer kleinen Kabbelei auf\nSchloss Lythos.\x0E\x04\x02\x00
MID_BT25_#002	\x0E\x05\x01"\x14E005_Hide2\nRelax\nDiese Figur mit Kapuze? Das war ich. Doch\nich war ziemlich neben der Spur, da Nil mich\ngerade verzerrt hatte, sozusagen.\x0E\x04\x00\x00
MID_BT25_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nIhr wisst, was Nil Euch angetan hat, und wollt\ndennoch für ihn kämpfen? Wieso?\x0E\x04\x00\x00
MID_BT25_#004	\x0E\x03\x02\x16\x14E005_Hide2\nDas ist eine einmalige Gelegenheit! Wie sollte\nich sonst all die Dinge tun, die ich in meinem\nLeben verpasst habe?\x0E\x04\x02\x00
MID_BT25_#005	\x0E\x05\x01"\x14E005_Hide2\nSmile\nEin Verzerrter zu sein, ist gar nicht so schlecht.\nDie eigenen Begierden treten in den Mittelpunkt,\nund nichts versperrt mehr die Sicht darauf.\x0E\x04\x02\x00
MID_BT25_#006	\x0E\x05\x01\x1E\x14E005_Hide2\x06Shy\nKeine Empathie, kein Schamgefühl... Ich kann\nEuch töten, ohne die winzigste Spur von\nGewissenbissen!\x0E\x04\x00\x00
MID_BT19_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x14\x0EE006_エル\x02t\n\x0E\x05\x01\x18\x0EE006_エル\x06Sad\n\x0E\x03\x02\x10\x0EE006_エル\nDeine Gestalt erinnert mich an Sombron.\x0E\x04\x02\x00
MID_BT19_#002	Ich vermute, so muss es sich für dich angefühlt\nhaben, wenn du beobachtet hast, wie ich meine\nGestalt geändert habe.\x0E\x04\x00\x00
MID_BT19_#003	\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01 \x12E005_Boss\nAngry\n\x0E\x03\x02\x14\x12E005_Boss\nErspare mir dein Mitleid und deine Anmaßung.\nDir wurde alles in die Wiege gelegt. Wir sind\nnicht gleich.\x0E\x04\x02\x00
MID_BT19_#004	Du wirst mich niemals verstehen. Selbst wenn\ndu tausend Jahre Zeit hättest, darüber nachzu-\ndenken.\x0E\x04\x00\x00
MID_BT19_#005	\x0E\x03\x02\x10\x0EE006_エル\nUnsere Zeit als Zwillinge war viel kürzer.\x0E\x04\x02\x00
MID_BT19_#006	\x0E\x05\x01 \x0EE006_エル\x0ESerious\nUnd doch reichte mir diese Zeit, um zu\nerkennen, wie gern ich dich habe.\x0E\x04\x02\x00
MID_BT19_#007	\x0E\x05\x01\x1A\x0EE006_エル\x08Pain\nTu es nicht, Nil. Ändere die Dinge nicht wieder\nso zurück, wie sie unter Sombron waren.\x0E\x04\x02\x00
MID_BT19_#008	Bitte. Ich kann den Gedanken, dich zu verlieren,\nnicht ertragen.\x0E\x04\x00\x00
MID_BT20_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01 \x12E005_Boss\nSmile\n\x0E\x03\x02\x14\x12E005_Boss\nMein Wunsch hat sich endlich erfüllt. Ich sollte\nEuch wohl dafür danken, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x02\x00
MID_BT20_#002	\x0E\x05\x01 \x12E005_Boss\nAngry\nDiese Welt wird vergehen – und das ist allein\nEuer Verdienst!\x0E\x04\x00\x00
MID_BT20_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1A\x08リュール\x0ESerious\n\x0E\x03\x02\x0A\x08リュール\nDu hast recht. Das alles passierte, weil ich\nhierhergekommen bin.\x0E\x04\x02\x00
MID_BT20_#004	\x0E\x05\x01 \x12E005_Boss\nSmile\n\x0E\x05\x01\x12\x08リュール\x06Sad\nUnd als ich das Siegel vom letzten Armring\nnahm, kann ich dabei den Untergang dieser\nWelt besiegelt haben.\x0E\x04\x02\x00
MID_BT20_#005	\x0E\x05\x01\x16\x08リュール\nAngry\nAber ich wurde hierhergerufen, um euch zu\nretten. Solange es Hoffnung darauf gibt, werde\nich nicht aufgeben.\x0E\x04\x00\x00
MID_BT20_#006	\x0E\x05\x01 \x12E005_Boss\nAngry\n\x0E\x03\x02\x14\x12E005_Boss\nIch muss nicht gerettet werden. Für mich reicht\nes aus, zu sehen, wie Ihr mit dem Wissen\nsterbt, die Welt zerstört zu haben!\x0E\x04\x00\x00
MID_BT20_#007	\x0E\x05\x01\x1A\x08リュール\x0ESerious\n\x0E\x03\x02\x0A\x08リュール\nIch bin nicht für diese Welt hier. Ich bin für\ndiejenigen hier, die in dieser Welt leben.\x0E\x04\x02\x00
MID_BT20_#008	\x0E\x05\x01\x16\x08リュール\nAngry\nIch bin hier, weil jemand sich wünschte, dich\nzu retten, selbst wenn dies das Ende der Welt\nbedeuten würde.\x0E\x04\x02\x00
MID_BT20_#009	Erkennst du es nicht? Du wirst geliebt!\nWenn ich dich besiegen muss, damit dir das\nklar wird, dann werde ich das tun!\x0E\x04\x00\x00
MID_BT21_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01 \x12E005_Boss\nSmile\n\x0E\x03\x02\x14\x12E005_Boss\nSieh her und erzittere in Angst, Zelestia! Dies\nist die Macht eines wahren Drachen!\x0E\x04\x00\x00
MID_BT21_#002	\x0E\x03\x00\x1C\x16E006_セレスティア\x02t\n\x0E\x05\x01 \x16E006_セレスティア\x06Sad\n\x0E\x03\x02\x18\x16E006_セレスティア\nMylord Nil... Ich, als Drache, muss zugeben,\ndass Eure Gestalt wirklich beeindruckend ist.\x0E\x04\x02\x00
MID_BT21_#003	Doch auch wenn Ihr in dieser Gestalt niemandes\nHilfe benötigt, werdet Ihr Euch bald schon\neinsam fühlen.\x0E\x04\x02\x00
MID_BT21_#004	Niemanden an seiner Seite zu haben, ist nicht\nso befreiend, wie Ihr denken mögt. Noch könnt\nIhr Euch umentscheiden.\x0E\x04\x00\x00
MID_BT21_#005	\x0E\x05\x01"\x12E005_Boss\x0CNormal\n\x0E\x03\x02\x14\x12E005_Boss\nIch empfinde nichts von dem. Vielleicht bist du\nes, die einsam ist – die sich nach ihrem ver-\nlorenen Wind sehnt?\x0E\x04\x02\x00
MID_BT21_#006	\x0E\x05\x01 \x12E005_Boss\nSmile\nIch werde dich mit Freuden zu ihm schicken!\x0E\x04\x00\x00
MID_BT21_#007	\x0E\x05\x01(\x16E006_セレスティア\x0ESerious\n\x0E\x03\x02\x18\x16E006_セレスティア\nMauvier, du Narr. Ich war willens, dort mit dir\nzu sterben. Trotzdem... danke ich dir. Ich werde\ndein Geschenk weise nutzen.\x0E\x04\x02\x00
MID_BT21_#008	\x0E\x05\x01$\x16E006_セレスティア\nAngry\nEs waren deine Taten, die mir den Willen gaben,\nhier zu stehen. Mylord Nil, Ihr werdet\nniemandem mehr etwas nehmen!\x0E\x04\x00\x00
MID_BT22_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01"\x12E005_Boss\x0CNormal\n\x0E\x03\x02\x14\x12E005_Boss\nDu. Es schockiert mich zu sehen, dass du nicht\nin elendiger Angst davonrennst.\x0E\x04\x02\x00
MID_BT22_#002	\x0E\x05\x01 \x12E005_Boss\nSmile\nBedeutet das, dass du mutig genug bist, den\nTod willkommen zu heißen? Ich werde ihn für\ndich schnell und schmerzlos machen.\x0E\x04\x00\x00
MID_BT22_#003	\x0E\x03\x00\x1A\x14E006_グレゴリー\x02t\n\x0E\x05\x01\x1E\x14E006_グレゴリー\x06Shy\n\x0E\x03\x02\x16\x14E006_グレゴリー\nWenn Ihr mich tötet, dann bitte auf schmerz-\nhafte Weise. Es wäre ungerecht, wenn ich\nals Einziger auf leichte Art sterben würde.\x0E\x04\x02\x00
MID_BT22_#004	\x0E\x05\x01 \x14E006_グレゴリー\x08Pain\nEs muss sehr schmerzhaft gewesen sein.\nMauvier muss furchtbare Angst gehabt haben.\nAber ich bin hier, gesund und munter!\x0E\x04\x02\x00
MID_BT22_#005	\x0E\x05\x01"\x14E006_グレゴリー\nAngry\nKönnt Ihr verstehen, wie sehr mich das\nschmerzt?! Könnt Ihr das?! Seid Ihr nicht traurig\ndarüber, dass Euer Ritter gestorben ist?!\x0E\x04\x00\x00
MID_BT22_#006	\x0E\x05\x01 \x12E005_Boss\nRelax\n\x0E\x03\x02\x14\x12E005_Boss\nWärest du wirklich beruhigt, wenn ich mir ein\npaar Tränen abringen würde?\x0E\x04\x00\x00
MID_BT22_#007	\x0E\x03\x02\x16\x14E006_グレゴリー\nOh, ich gebe Euch etwas, das Euch traurig\nmachen wird. Der Mylord Nil, den ich kenne,\nwart ohne Zweifel Ihr.\x0E\x04\x02\x00
MID_BT22_#008	Ich werde Euch niederstrecken. Und ich werde\njede einzelne Erinnerung, die ich an ihn habe,\nmit Euch teilen, bis Ihr weint!\x0E\x04\x02\x00
MID_BT22_#009	Das verspreche ich – als Vize der Vier Winde!\x0E\x04\x00\x00
MID_BT23_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01"\x12E005_Boss\x0CNormal\n\x0E\x03\x02\x14\x12E005_Boss\nMauvier ist also tot. Das bedeutet wohl, dass es\ndich nach Blut dürstet.\x0E\x04\x02\x00
MID_BT23_#002	\x0E\x05\x01 \x12E005_Boss\nSmile\nNur zu, bedien dich an meinem, wenn du das\nschaffst. Bevor ich all dein Blut vergieße.\x0E\x04\x00\x00
MID_BT23_#003	\x0E\x03\x00\x1A\x14E006_マデリーン\x02t\n\x0E\x05\x01 \x14E006_マデリーン\x08Pain\n\x0E\x03\x02\x16\x14E006_マデリーン\nIch hege Euch gegenüber keinen Groll. Und\nich wünsche mir auch nicht, ich könnte das\nGeschehene rückgängig machen.\x0E\x04\x02\x00
MID_BT23_#004	Ich bin eine Ritterin, so wie mein Mentor vor\nmir. Und ich akzeptiere, was immer auch\ngeschieht.\x0E\x04\x00\x00
MID_BT23_#005	\x0E\x05\x01 \x12E005_Boss\nRelax\n\x0E\x03\x02\x14\x12E005_Boss\nWillst du damit sagen, du trägst mir nichts\nnach? Ist das ein mitleiderregender Versuch,\nhumorvoll zu sein?\x0E\x04\x00\x00
MID_BT23_#006	\x0E\x05\x01&\x12E005_Boss\x10Surprise\n\x0E\x03\x02\x16\x14E006_マデリーン\nIhr habt Mauvier nicht getötet. Er gab sein\nLeben, um uns zu beschützen.\x0E\x04\x02\x00
MID_BT23_#007	\x0E\x05\x01"\x14E006_マデリーン\nAngry\n\x0E\x05\x01 \x12E005_Boss\nAngry\nIn Erinnerung an sein Opfer werde ich Eure\nPläne durchkreuzen.\x0E\x04\x02\x00
MID_BT23_#008	Das ist Gerechtigkeit. Und das ist, was er\nwollen würde.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x18\x12E005_Boss\x021\n\x0E\x03\x00\x14\x0EE006_エル\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x00\x1C\x16E006_セレスティア\x024\n\x0E\x03\x02\x0A\x08リュール\nDie Armringe... Wo sind sie?\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x10\x0EE006_エル\nSie lösen sich auf, wenn ihre Pflicht getan ist.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x0A\x08リュール\nDann ist das wohl ein Lebewohl.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x14\x12E005_Boss\nWieso... Wieso?! Selbst mit der Macht der\nEmbleme bin ich Euch nicht gewachsen?!\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x10\x0EE006_エル\nVielleicht erkennst du es jetzt.\x0E\x04\x02\x00
MID_ED1_#006	Der Weg, den Sombron für dich vorgesehen\nhatte, war von Anfang an der falsche.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x14\x12E005_Boss\nWenn ich Vaters Wünsche nicht erfüllen kann...\nDann hat meine Existenz keinen Zweck.\x0E\x04\x02\x00
MID_ED1_#008	Mein ganzes Leben gierte ich danach, wertge-\nschätzt zu werden... nur um zu erkennen, dass\nich wahrlich nutzlos bin.\x0E\x04\x02\x00
MID_ED1_#009	Ich werde niemals so sein wie du.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x10\x0EE006_エル\nDu bist nicht nutzlos. Du bist mein unersetz-\nlicher Zwillingsbruder. Wir sind zwei Hälften\neines Ganzen.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x14\x12E005_Boss\nLächerlich. Ich habe dir bereits gesagt, dass ich\nnicht Nil bin.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x10\x0EE006_エル\nIch weiß.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nDu bist nicht Nil? Was soll das denn bedeuten?\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x18\x16E006_セレスティア\nIch verstehe nicht. Was ist mit dem echten\nNil passiert?\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x14\x12E005_Boss\nEr starb in einer Schlacht vor tausend Jahren,\nkurz nachdem Nel ihm ihren Drachenstein ge-\ngeben hatte.\x0E\x04\x02\x00
MID_ED1_#016	Er wollte nichts anderes als seine Schwester\nstolz machen.\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x02\x0A\x08リュール\nUnd... wer bist du?\x0E\x04\x00\x00
MID_ED1_#018	\x0E\x03\x02\x14\x12E005_Boss\nEin Dämonendrache, dessen Zwilling starb,\nals er noch zu jung war, um sich daran zu\nerinnern.\x0E\x04\x02\x00
MID_ED1_#019	Ich war ein einsames Kind, ohne Fähigkeiten,\nmit denen ich mich von den anderen abheben\nkonnte, und umgeben von Zwillingspärchen.\x0E\x04\x02\x00
MID_ED1_#020	Bis ich Nil traf. Mein Spiegelbild.\x0E\x04\x02\x00
MID_ED1_#021	Die Ähnlichkeit zwischen uns war verblüffend,\nund wir entdeckten, dass wir uns auch in vielen\nanderen Dingen sehr ähnlich waren.\x0E\x04\x02\x00
MID_ED1_#022	Für eine Weile waren wir unzertrennlich. Und\nich war überglücklich, so etwas wie einen\nechten Bruder zu haben.\x0E\x04\x02\x00
MID_ED1_#023	Er war meine andere Hälfte.\x0E\x04\x00\x00
MID_ED1_#024	\x0E\x03\x02\x10\x0EE006_エル\n...\x0E\x04\x00\x00
MID_ED1_#025	\x0E\x03\x02\x14\x12E005_Boss\nZumindest empfand ich das so. Aber für ihn\ngab es niemanden, der Nels Platz einnehmen\nkonnte.\x0E\x04\x02\x00
MID_ED1_#026	Als ich ihn auf dem Schlachtfeld fand, und\ner im Sterben lag, galten seine einzigen Ge-\ndanken ihr.\x0E\x04\x02\x00
MID_ED1_#027	Er gab mir ihren Drachenstein und sagte, er\nwünsche sich, dass Nel niemals trauern müsse.\x0E\x04\x02\x00
MID_ED1_#028	Aus diesem Grund... bat er mich, seinen Platz\neinzunehmen.\x0E\x04\x00\x00
MID_ED1_#029	\x0E\x03\x02\x0A\x08リュール\nUnd so wurdest du Nil.\x0E\x04\x00\x00
MID_ED1_#030	\x0E\x03\x02\x14\x12E005_Boss\nIch stellte es so dar, als wäre ich an dem Tag\ngestorben. In gewisser Weise war ich das ja\nauch.\x0E\x04\x02\x00
MID_ED1_#031	Es gab niemanden, der meinen Tod betrauern\nwürde. Vater würde ihn nicht einmal bemerken.\x0E\x04\x00\x00
MID_ED1_#032	\x0E\x03\x02\x18\x16E006_セレスティア\nIch kann das alles irgendwie gar nicht glauben.\x0E\x04\x00\x00
MID_ED1_#033	\x0E\x03\x02\x14\x12E005_Boss\nGlaube es ruhig. Ich bin ein Schwindler. Ihr alle\nsolltet nicht zögern, mich zu töten.\x0E\x04\x02\x00
MID_ED1_#034	Ich brachte diese Welt an den Rand des Ruins.\nWenn es mir erlaubt wird zu leben, werde ich\nes wieder tun.\x0E\x04\x02\x00
MID_ED1_#035	Das sollte Grund genug sein. Was sagst du dazu,\nNel?\x0E\x04\x00\x00
MID_ED1_#036	\x0E\x03\x02\x10\x0EE006_エル\nIch wusste von Anfang an, dass du nicht Nil\nbist.\x0E\x04\x00\x00
MID_ED1_#037	\x0E\x03\x02\x14\x12E005_Boss\nWas?\x0E\x04\x00\x00
MID_ED1_#038	\x0E\x03\x02\x10\x0EE006_エル\nIch weiß schon seit sehr langer Zeit, dass er\nnicht mehr lebt.\x0E\x04\x02\x00
MID_ED1_#039	Ich habe deinen Schwindel von Anfang an\ndurchschaut. Ich wollte dich einfach nicht damit\nkonfrontieren.\x0E\x04\x02\x00
MID_ED1_#040	Du hast seinen Platz um seinetwillen und um\nmeinetwillen eingenommen. Das war ein Akt\nder Güte.\x0E\x04\x02\x00
MID_ED1_#041	Wir mögen nicht als Zwillinge geboren sein, aber\nich habe dich immer als meine andere Hälfte\nempfunden.\x0E\x04\x00\x00
MID_ED1_#042	\x0E\x03\x02\x14\x12E005_Boss\nDann... bist du närrisch!\x0E\x04\x00\x00
MID_ED1_#043	\x0E\x03\x02\x10\x0EE006_エル\nDu kannst sagen, was du willst – es ist wahr.\x0E\x04\x02\x00
MID_ED1_#044	Du erinnerst dich doch daran, als wir auf dem\nFriedhof von Schloss Lythos waren, um uns zu\nverabschieden.\x0E\x04\x02\x00
MID_ED1_#045	Du magst es nicht gesehen haben, aber ich habe\ndort eine getrocknete Blume niedergelegt. Es\nwar Nils Blume.\x0E\x04\x02\x00
MID_ED1_#046	Ich habe an dem Tag nicht nur \x0E\x0A\x00\x10\x06der\x06dem \x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott\nLebewohl gesagt.\x0E\x04\x00\x00
MID_ED1_#047	\x0E\x03\x02\x0A\x08リュール\nDu hast dich auch von Nil verabschiedet.\x0E\x04\x00\x00
MID_ED1_#048	\x0E\x03\x02\x10\x0EE006_エル\nIch trug die Blume lange Zeit bei mir. Ich ver-\nmute, dass ein Teil von mir nicht in der Lage\nwar, loszulassen.\x0E\x04\x02\x00
MID_ED1_#049	Dennoch habe ich dich sehr lieb gewonnen.\x0E\x04\x02\x00
MID_ED1_#050	Deine Gegenwart bewahrte mich vor Einsamkeit\nund Verzweiflung. Ich war glücklich, dir eine\nSchwester sein zu können.\x0E\x04\x02\x00
MID_ED1_#051	Ich werde unsere gemeinsame Zeit immer in\nEhren halten, selbst wenn du ganz anders\nempfindest.\x0E\x04\x02\x00
MID_ED1_#052	Ohne dich hätte ich über all die Jahre niemals\nweiterkämpfen können.\x0E\x04\x02\x00
MID_ED1_#053	Dir habe ich von allen am meisten vertraut. Ich\nhabe von ganzem Herzen an dich geglaubt.\x0E\x04\x02\x00
MID_ED1_#054	Der einzige Beweis, dass wir keine Zwillinge\nsind, ist, dass ich deine wahren Absichten nicht\nerkennen konnte.\x0E\x04\x00\x00
MID_ED1_#055	\x0E\x03\x02\x14\x12E005_Boss\nVielleicht. Ich muss zugeben, dass ich mich\ndanach sehnte, solche Worte zu hören. Sie\nmachen sich gut als Worte des Abschieds.\x0E\x04\x02\x00
MID_ED1_#056	Bist du bereit?\x0E\x04\x00\x00
MID_ED1_#057	\x0E\x03\x02\x10\x0EE006_エル\nJa.\x0E\x04\x00\x00
MID_ED1_#058	\x0E\x03\x02\x14\x12E005_Boss\nIch danke dir. Für alles.\x0E\x04\x02\x00
MID_ED1_#059	Leb wohl, Nel.\x0E\x04\x00\x00
MID_ED1_#060	\x0E\x03\x02\x10\x0EE006_エル\nLeb wohl.\x0E\x04\x02\x00
MID_ED1_#061	Hngh...\x0E\x04\x00\x00
MID_ED1_#062	\x0E\x03\x02\x14\x12E005_Boss\nHör auf! Was tust du da?!\x0E\x04\x00\x00
MID_ED1_#063	\x0E\x03\x02\x0A\x08リュール\nNel?!\x0E\x04\x00\x00
MID_ED1_#064	\x0E\x03\x02\x10\x0EE006_エル\nEs gibt einen anderen Weg, deinen Schmerz\nzu beenden.\x0E\x04\x02\x00
MID_ED1_#065	Wenn ich fort bin, bist du frei.\x0E\x04\x02\x00
MID_ED1_#066	Ich für meinen Teil sterbe lieber, als noch\njemanden zu verlieren.\x0E\x04\x00\x00
MID_ED1_#067	\x0E\x03\x02\x14\x12E005_Boss\nNel!\x0E\x04\x02\x00
MID_ED1_#068	\x0E\x03\x02\x10\x0EE006_エル\nWenn ich... es nur eher erkannt hätte... Ich hätte\nes verhindern können...\x0E\x04\x02\x00
MID_ED1_#069	Nil wiederzusehen... und auch \x0E\x0A\x00\x1A\nmeine\x0Cmeinen\n\x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott, ist wohl zu viel der Hoffnung...\x0E\x04\x02\x00
MID_ED1_#070	Aber selbst wenn... Ich werde in der Gewissheit\nruhen, dass dir dein Schmerz genommen wurde.\x0E\x04\x00\x00
MID_ED1_#071	\x0E\x03\x02\x14\x12E005_Boss\nWarum tust du das? Ich verdiene dieses Schick-\nsal, nicht du.\x0E\x04\x02\x00
MID_ED1_#072	Du hättest mich töten sollen!\x0E\x04\x00\x00
MID_ED1_#073	\x0E\x03\x02\x10\x0EE006_エル\nIch könnte es nicht... ertragen, den zweiten\nBruder zu verlieren. Denn das bist du für mich,\negal, was auch passiert ist.\x0E\x04\x02\x00
MID_ED1_#074	Bevor ich gehe, wirst du mir deinen echten\nNamen nennen?\x0E\x04\x02\x00
MID_ED1_#075	...\x0E\x04\x00\x00
MID_ED1_#076	\x0E\x03\x02\x18\x16E006_セレスティア\nMilady Nel! Nein! Bitte nicht!\x0E\x04\x00\x00
MID_ED1_#077	\x0E\x03\x02\x0A\x08リュール\nSie ist...\x0E\x04\x00\x00
MID_ED1_#078	\x0E\x03\x00"\x1Cデモ用_竜石なし_ラファール\x021\n\x0E\x06\x00.\x1Cデモ用_竜石なし_ラファール\x0EMPID_Il\n\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nSie ist fort.\x0E\x04\x02\x00
MID_ED1_#079	Keine letzten, vorwurfsvollen Worte. Kein\nBedauern über ihren eigenen Tod.\x0E\x04\x02\x00
MID_ED1_#080	Alles, was sie wollte, war... meinen Namen zu\nkennen.\x0E\x04\x02\x00
MID_ED1_#081	Schluchz.\x0E\x04\x02\x00
MID_ED1_#082	\x0E\x06\x006\x1Cデモ用_竜石なし_ラファール\x16MPID_Rafale\n\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nRafal, Schwester.\x0E\x04\x02\x00
MID_ED1_#083	Mein Name ist Rafal.\x0E\x04\x00\x00
MID_ED1_#084	\x0E\x03\x02\x0A\x08リュール\nRafal...\x0E\x04\x00\x00
MID_ED1_#085	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nWie konnte ich mich nur selbst vergessen?\x0E\x04\x02\x00
MID_ED1_#086	Nil bat mich, mich um seine Schwester zu\nkümmern. Das war sein letzter Wunsch.\x0E\x04\x02\x00
MID_ED1_#087	Aber es war nicht nur sein Wunsch. Es war\nebenso meiner.\x0E\x04\x02\x00
MID_ED1_#088	Alles, was ich wollte – was ich wirklich wollte –\nwar, ihre andere Hälfte zu sein.\x0E\x04\x02\x00
MID_ED1_#089	Wann habe ich diese Gefühle vergessen?\x0E\x04\x02\x00
MID_ED1_#090	Du sagtest, dies wäre das Ende meines\nSchmerzes, Nel... aber das ist es nicht.\x0E\x04\x02\x00
MID_ED1_#091	Wie könnte es das jemals sein?!\x0E\x04\x00\x00
MID_ED1_#092	\x0E\x03\x02\x0A\x08リュール\nIch spüre etwas... Die Scherben des Drachen-\nsteins. Sie besitzen eine seltsame Energie.\x0E\x04\x00\x00
MID_ED1_#093	\x0E\x03\x02\x18\x16E006_セレスティア\nDas ist Sombrons Magie. Kann es sein, dass er\nden Drachenstein mit einer Magie belegt hat?\x0E\x04\x02\x00
MID_ED1_#094	Um die Samen des Hasses in Mylord Nils...\nRafals... Herz zu pflanzen.\x0E\x04\x02\x00
MID_ED1_#095	Drachensteine werden durch den Tod ihrer\nEigentümer zerstört. Durch Milady Nels Tod\nwurde die Magie gebrochen.\x0E\x04\x00\x00
MID_ED1_#096	\x0E\x03\x02\x0A\x08リュール\nSombron sorgte dafür, dass ihr beide euch\nbekämpfen würdet – statt euch gegen ihn zu\nverbünden.\x0E\x04\x00\x00
MID_ED1_#097	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nUnsinn.\x0E\x04\x02\x00
MID_ED1_#098	Willst du damit sagen, dass ein einfacher\nZauberspruch Schuld ist? Dass alles vergeben\nsein sollte?\x0E\x04\x02\x00
MID_ED1_#099	Lächerlich!\x0E\x04\x02\x00
MID_ED1_#100	Ungeachtet Sombrons Einflusses bin ich für\nmein Handeln verantwortlich.\x0E\x04\x02\x00
MID_ED1_#101	Ich habe mich für mein Handeln selbst ent-\nschieden. Es war das, was ich wollte.\x0E\x04\x02\x00
MID_ED1_#102	Ich werde nicht zulassen, dass ein anderer diese\nSchuld auf sich nimmt. Nicht einmal Vater.\x0E\x04\x00\x00
MID_ED1_#103	\x0E\x03\x02\x0A\x08リュール\nOh!\x0E\x04\x00\x00
MID_ED1_#104	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nIch habe nach Macht gestrebt, und sie erhalten.\nSelbst jetzt bereue ich das nicht.\x0E\x04\x02\x00
MID_ED1_#105	Ich wünschte nur, ich hätte das Versprechen,\ndas ich Nil einst gab, halten können.\x0E\x04\x02\x00
MID_ED1_#106	...\x0E\x04\x02\x00
MID_ED1_#107	\x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_ED1_#108	\x0E\x03\x02\x0A\x08リュール\nJa?\x0E\x04\x00\x00
