MID_Hub_ThisTime	Akt. Zeit
MID_Hub_DragonRide_Operation_StickLR	Zielsteuerung
MID_Hub_DragonRide_Operation_StickLR_Push	Ziel zurücksetzen
MID_Hub_DragonRide_Operation_StickLR_Push_Sub	Bewegungssteuerung\nist auf der Seite des\ngedrückten Sticks aktiv.
MID_Hub_DragonRide_Operation_ZLZR	Feuerschlag
MID_Hub_DragonRide_Operation_LR	Zieltempo
MID_Hub_DragonRide_Operation_Gyro0	Neigen:
MID_Hub_DragonRide_Operation_Gyro1	Zielen
MID_Hub_DragonRide_Operation_Suspension	Wyvernreiten beenden
MID_Hub_CafeTerrace_Jukebox	Musiktruhe
MID_Hub_CafeTerrace_H_Jukebox	Ändere die Musik im Somniel.
MID_Hub_CafeTerrace_Board	Pinnwand
MID_Hub_CafeTerrace_Cook	Bestellen
MID_Hub_CafeTerrace_Cook_Choice_Unit	Wähle zwei Tischpartner.
MID_Hub_CafeTerrace_Cook_Choice_Menu	Wähle ein Gericht.
MID_Hub_CafeTerrace_Cook_Choice_Foods	Wähle Zutaten aus.
MID_Hub_CafeTerrace_Cook_Specialty	Experte
MID_Hub_CafeTerrace_Cook_StrongPoint	Erfahren
MID_Hub_CafeTerrace_Cook_Experienced	Geübt
MID_Hub_CafeTerrace_Cook_Challenging	Eifrig
MID_Hub_CafeTerrace_Cook_BasicEffect	Effekte:
MID_Hub_CafeTerrace_Cook_Favorite	Schmeckt wem?
MID_Hub_CafeTerrace_Cook_Favorite_Good	Sehr gut
MID_Hub_CafeTerrace_Cook_Favorite_Normal	Mittel
MID_Hub_CafeTerrace_Cook_Favorite_Bad	Gar nicht
MID_Hub_CafeTerrace_Cook_Chef	Koch vom Dienst
MID_Hub_CafeTerrace_Friend	Tischpartner
MID_Hub_CafeTerrace_CookMenu	Gericht
MID_Hub_CafeTerrace_Cook_CallFriend	Tischpartner
MID_Hub_CafeTerrace_Cook_RelianceStatus	Unterst.
MID_Hub_CafeTerrace_Cook_AddFood	Zutaten hinzufügen
MID_Hub_CafeTerrace_Cook_AddFood_Nothing	Keine
MID_Hub_CafeTerrace_Cook_CanAddFood	Verwendbare Zutaten
MID_Hub_CafeTerrace_Cook_Confirmation	Mit dem Kochen beginnen?
MID_Hub_CafeTerrace_Cook_Everyone	Alle Einheiten erhalten
MID_Hub_CafeTerrace_Cook_Effect_Nothing	Keine Effekte
MID_Hub_CafeTerrace_Cook_Also	Wenn \x0E\x01\x00\x00, zusätzlich
MID_Hub_CafeTerrace_Cook_Workmanship	Rang
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_SS	A++
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_S	A+
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_A	A
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_B	B
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_C	C
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_D	D
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_E	E
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_F	F
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_G	G
MID_Hub_CafeTerrace_Bento_Get	Die Reste wurden zum Mitnehmen verpackt.
MID_Hub_CafeTerrace_Bento_Discard	\x0E\x01\x00\x00 entsorgt.
MID_MENU_NOTICE_BOARD_TITLE	Pinnwand
MID_MENU_NOTICE_BOARD_HELP	Welche Information ansehen?
MID_MENU_NOTICE_BOARD_INVESTMENT	Spenden
MID_MENU_NOTICE_BOARD_INVESTMENT_HELP	An welches Land spenden?
MID_MENU_NOTICE_SOLANEL_INFO	Karte des Somniel
MID_MENU_NOTICE_ACHIEVEMENT	Erfolge
MID_MENU_INVESTMENT_AmountOfMoney	Wie viel möchtest du spenden?
MID_MENU_INVESTMENT_G	\x0E\x01\x00\x00\x0E\x01\x01\x00 G
MID_MENU_INVESTMENT_NEXT_LEVEL	Nächster Level
MID_MENU_INVESTMENT_TOTAL	Bisher gespendet
MID_MENU_INVESTMENT_LEVEL_EFFECT	Levelaufstieg-Effekte
MID_MENU_INVESTMENT_LEVEL_BONUS	Sofortbelohnung
MID_MENU_INVESTMENT_RESULT	Erkundung
MID_MENU_INVESTMENT_LEVEL_EFFECT_MAX	Max. Level erreicht
MID_MENU_INVESTMENT_COMPLETE	GESCHAFFT!
MID_MENU_INVESTMENT_COMPLETE_INFO	Du hast den Maximalbetrag erreicht.
MID_MENU_INVESTMENT_COMPLETE_HELP	\x0E\x08\x02\x04\x02X Inhalt unter „Details“.
MID_MENU_INVESTMENT_GOLD_ENEMY	Gold-Verzerrter
MID_MENU_INVESTMENT_EXP_ENEMY	Silber-Verzerrter
MID_MENU_INVESTMENT_ANIMAL_ENABLE	Aufnehmbar
MID_MENU_NATIONDATA_TITLE	Ressourcen: \x0E\x01\x00\x00
MID_MENU_NATIONDATA_REFINE_ITEM	Minerale
MID_MENU_NATIONDATA_FOOD	Zutaten
MID_MENU_NATIONDATA_ANIMAL	Tiere
MID_MENU_INVESTMENT_BONUS_FILENE_1	Reiche Ernte
MID_MENU_INVESTMENT_BONUS_BRODIA_1	Mineralschätze
MID_MENU_INVESTMENT_BONUS_IRCION_1	Wunderbare Heilung
MID_MENU_INVESTMENT_BONUS_SOLUM_1	Marktwaren
MID_MENU_INVESTMENT_BONUS_2	Nationalkleidung
MID_MENU_INVESTMENT_BONUS_3	Begleiterpaket
MID_MENU_INVESTMENT_BONUS_4	Traditionelle Kleidung
MID_MENU_INVESTMENT_BONUS_Get	\x0E\x01\x00\x00 erhalten.
MID_MENU_INVESTMENT_DIALOG_NEXT_ITEM	Nächst. Level (\x0E\x01\x00\x00)
MID_MENU_SOLANEL_INFO_TITLE	Karte des Somniel
MID_MENU_SOLANEL_INFO_COMMENT	Wähle, wohin du reisen möchtest.
MID_MENU_SOLANEL_INFO_CONFIRM_TEXT	\x0E\x01\x00\x00: An diesen Ort begeben?
MID_MENU_SOLANEL_INFO_CONFIRM_YES	Ja
MID_MENU_ACHIEVEMENT_TITLE	Erfolge
MID_MENU_ACHIEVEMENT_COUNT_TITLE	Geschafft
MID_MENU_ACHIEVEMENT_COUNT_UNIT	Verbünd.
MID_MENU_ACHIEVEMENT_COUNT_BATTLE	Kampf
MID_MENU_ACHIEVEMENT_COUNT_SOLANEL	Somniel
MID_MENU_ACHIEVEMENT_COUNT_SHOP	Laden
MID_MENU_ACHIEVEMENT_COUNT_SYSTEM	System
MID_MENU_ACHIEVEMENT_COUNT_TOTAL	Gesamt
MID_MENU_ACHIEVEMENT_NOW	Gesamt
MID_MENU_ACHIEVEMENT_BONUS	Belohnungen
MID_MENU_ACHIEVEMENT_CLEAR	GESCHAFFT!
MID_MENU_ACHIEVEMENT_COMPLETE	VOLLSTÄNDIG
MID_MENU_ACHIEVEMENT_DIALOG_MESSAGE	Belohnung für [\x0E\x01\x00\x00] abgeholt.
MID_MENU_ACHIEVEMENT_DIALOG_MESSAGE_ALL	Alle Belohnungen für Erfolge abholen?
MID_MENU_ACHIEVEMENT_DIALOG_MESSAGE_ALLGET	Alle Belohnungen für Erfolge abgeholt.
MID_MENU_ACHIEVEMENT_DIALOG_MESSAGE_ALL_YES	Alle abholen
MID_MENU_ACHIEVEMENT_UNIT_HUMAN	 Person(en)
MID_MENU_ACHIEVEMENT_UNIT_ITEM	 Item(s)
MID_MENU_ACHIEVEMENT_UNIT_COUNT	-mal
MID_MENU_ACHIEVEMENT_UNIT_TIME	 Stunde(n)
MID_MENU_ACHIEVEMENT_UNIT_ENEMY	 Gegner
MID_MENU_ACHIEVEMENT_Clear_Nothing	Keine neuen Erfolge.
MID_Hub_AnimalCoop_Nothing	Es sind noch keine Tiere hier...
MID_Hub_AnimalCoop_Choice	Wähle die Tiere, die auf die Weide sollen.
MID_Hub_AnimalCoop_Trade	Tauschen
MID_Hub_AnimalCoop_FreeAnimal	Draußen
MID_Hub_AnimalCoop_InAnimal	Drinnen
MID_Hub_AnimalCoop_Number	Insgesamt
MID_Hub_AnimalCoop_Entrust	Stall
MID_Hub_AnimalCoop_Contact	Betrachten
MID_TUT_HUB_RECORD_HALL_TITLE	Ruhmeshalle
MID_TUT_HUB_RECORD_HALL_0	In der Ruhmeshalle kannst du deine Visitenkarte\nbearbeiten und die Karten anderer Spieler\nansehen.
MID_TUT_HUB_RECORD_HALL_1	Du kannst diese Aktionen auch in der Enzyklo-\npädie vornehmen, aber Fototermine können nur\nin Außenbereichen des Somniel stattfinden.
MID_TUT_HUB_PROFILE_TITLE	Visitenkarte
MID_TUT_HUB_PROFILE_0	Auf deiner Visitenkarte kannst du individuell\ndarstellen, was du in diesem Spiel geleistet hast.
MID_TUT_HUB_PROFILE_1	Mithilfe der Online-Funktionen kannst du deine\nKarte öffentlich machen und mit anderen\nSpielern Visitenkarten austauschen.
MID_TUT_HUB_PROFILE_EDIT_TITLE	Visitenkarte bearbeiten
MID_TUT_HUB_PROFILE_EDIT_0	Wähle „Meine Karte“, um deine Visitenkarte zu\nbearbeiten.
MID_TUT_HUB_PROFILE_EDIT_1	Im fortschreitenden Spielverlauf wirst du\nweitere Individualisierungsoptionen freischalten.
MID_TUT_HUB_PROFILE_PHOTO_TITLE	Fototermin
MID_TUT_HUB_PROFILE_PHOTO_0	Du kannst auf deiner Visitenkarte auch ein Foto\nzeigen.
MID_TUT_HUB_PROFILE_PHOTO_1	Kleide deine Verbündeten ein und positioniere\nsie an einem Ort deiner Wahl im Somniel.
MID_TUT_HUB_PROFILE_PHOTO_2	Wenn alles vorbereitet ist, drücke \x0E\x08\x02\x0A\x08Plus, um den\nFotomodus zu aktivieren, und drücke dann\n\x0E\x08\x02\x04\x02L oder \x0E\x08\x02\x04\x02R, um das Foto aufzunehmen.
MID_TUT_HUB_PROFILE_TRADE_TITLE	Visitenkarten austauschen
MID_TUT_HUB_PROFILE_TRADE_0	Du kannst Visitenkarten mit anderen Spielern\naustauschen, die du in Staffel- und Dimensions-\nprüfungen getroffen hast.
MID_TUT_HUB_PROFILE_TRADE_1	Falls du nicht möchtest, dass andere Spieler\ndeine Karte sehen, kannst du die Privatsphäre-\nEinstellungen der Karte anpassen.
MID_TUT_HUB_PROFILE_TRADE_2	Im Menü kannst du die Karten anderer Spieler\nansehen und löschen.
