MID_TUT_CATEGORY_TITLE_Battle	Kämpfe
MID_TUT_GOD_SIGLUD_3	Die Bündnis-Fähigkeit „Galopp“ erhöht\nBewegung (Bew.) um 5.
MID_TUT_GOD_SIGLUD_4	Der Bündnis-Angriff „Überreiten“ ist ein\nAnsturm auf Gegner in einer Linie und fügt\nallen Gegnern im Weg Schaden zu.
MID_TUT_GOD_CELICA_TITLE	Emblem Celica
MID_TUT_GOD_CELICA_0	Emblem Celica beherrscht mächtige magische\nAngriffe. Sie ist sehr wertvoll im Kampf gegen\nVerzerrte.
MID_TUT_GOD_CELICA_1	Die Synchro-Fähigkeit „Heilige Haltung“ wirft\nvon Verzerrten zugefügten Schaden teilweise\nauf den Angreifer zurück.
MID_TUT_GOD_CELICA_2	Die Bündniswaffe „Seraphim“ fügt verzerrten\nGegnern zusätzlichen Schaden zu.
MID_TUT_GOD_CELICA_3	Die Bündnis-Fähigkeit „Echo“ erlaubt einer\nEinheit den Einsatz zweier einzelner magischer\nAngriffe mit 50 % Schaden.
MID_TUT_GOD_CELICA_4	Der Bündnis-Angriff „Teleport-Ragna“ tele-\nportiert den Anwender in die Nähe eines fernen\nGegners und greift mit mächtiger Magie an.
MID_TUT_GOD_MICAIAH_TITLE	Emblem Micaiah
MID_TUT_GOD_MICAIAH_0	Emblem Micaiahs unumstrittene Stärke ist ihre\nHeilmagie.
MID_TUT_GOD_MICAIAH_1	Die Synchro-Fähigkeit „Geistliche“ erlaubt\neiner Einheit ungeachtet ihrer Klasse den\nEinsatz von Stäben.
MID_TUT_GOD_MICAIAH_2	Die Bündniswaffe „Glanz“ greift an und\nerleuchtet die Umgebung.
MID_TUT_GOD_MICAIAH_3	Die Bündnis-Fähigkeit „Weitung“ vergrößert die\nReichweite und Wirkung von Stäben.
MID_TUT_GOD_MICAIAH_4	Der Bündnis-Angriff „Großes Opfer“ stellt die\nKP aller Verbündeten vollständig wieder her.\nDie KP des Anwenders sinken dafür auf 1.
MID_TUT_GOD_ROY_TITLE	Emblem Roy
MID_TUT_GOD_ROY_0	Emblem Roys ausgewogene offensive und\ndefensive Fähigkeiten machen ihn zu\neinem hervorragenden Frontkämpfer.
MID_TUT_GOD_ROY_1	Die Synchro-Fähigkeit „Durchhalten“ erlaubt\neiner Einheit, die meisten Angriffe mit 1 KP\nzu überleben.
MID_TUT_GOD_ROY_2	Die Bündniswaffe „Lanzenmeister“ ist, anders\nals die meisten Schwerter, stark gegen Lanzen\nund schwach gegen Äxte.
MID_TUT_GOD_ROY_3	Die Bündnis-Fähigkeit „Hinauswachsen“ erhöht\nvorübergehend Level und Werte einer Einheit.
MID_TUT_GOD_ROY_4	Der Bündnis-Angriff „Flammender Löwe“ trifft\nmehrere Felder in Blickrichtung des Anwenders\nund lässt das Gelände in Flammen aufgehen.
MID_TUT_GOD_LEAF_TITLE	Emblem Leif
MID_TUT_GOD_LEAF_0	Emblem Leifs versierter Umgang mit den\nunterschiedlichsten Waffen erlaubt es ihm, sich\nin Schlachten an jede Situation anzupassen.
MID_TUT_GOD_LEAF_1	Die Synchro-Fähigkeit „Waffenschild“ reduziert\nden erlittenen Schaden, wenn der Anwender\nden Waffenvorteil genießt.
MID_TUT_GOD_LEAF_2	Die Bündniswaffe „Meisteraxt“ landet häufig\nkritische Treffer.
MID_TUT_GOD_LEAF_3	Die Bündnis-Fähigkeit „Anpassungsfähig“\nwechselt automatisch zur effektivsten Waffe,\nwenn der Anwender angegriffen wird.
MID_TUT_GOD_LEAF_4	Der Bündnis-Angriff „Vierfachtreffer“ ist ein\nAngriff mit Schwert, Lanze, Axt und Bogen, der\ndie Chance auf Brechen des Gegners erhöht.
MID_TUT_GOD_LIN_TITLE	Emblem Lyn
MID_TUT_GOD_LIN_0	Emblem Lyn ist auf Angriffe spezialisiert, die\nden Gegnern keine Chance zum Kontern lassen.
MID_TUT_GOD_LIN_1	Die Synchro-Fähigkeit „Vehemenz“ gewährt\nbesonders schnellen Einheiten einen\nFolgeangriff, bevor der Gegner kontern kann.
MID_TUT_GOD_LIN_2	Die Bündniswaffe „Meisterbogen“ landet häufig\nkritische Treffer.
MID_TUT_GOD_LIN_3	Die Bündnis-Fähigkeit „Doppelgängerruf“\nerschafft Doppelgänger des Anwenders, die an\nKoop-Schlägen teilnehmen können.
MID_TUT_GOD_LIN_4	Der Bündnis-Angriff „Astrasturm“ feuert fünf\nBogenangriffe aus extremer Entfernung auf\neinen Gegner ab.
MID_TUT_GOD_LUCINA_TITLE	Emblem Lucina
MID_TUT_GOD_LUCINA_0	Emblem Lucinas Stärke ist Teamarbeit.\nIhr volles Potenzial entfaltet sie, wenn sie\nin der Nähe von Verbündeten kämpft.
MID_TUT_GOD_LUCINA_1	Die Synchro-Fähigkeit „Doppelschlag“ befähigt\nden Anwender ungeachtet seines Einheitentyps\nzur Teilnahme an Koop-Schlägen.
MID_TUT_GOD_LUCINA_2	Die Bündniswaffe „Adelsrapier“ fügt berittenen\nund gepanzerten Gegnern zusätzlichen Schaden\nzu.
MID_TUT_GOD_LUCINA_3	Die Bündnis-Fähigkeit „Schildbund“ blockt mit\nhoher Wahrscheinlichkeit Angriffe auf\nbenachbarte Verbündete ab.
MID_TUT_GOD_LUCINA_4	Der Bündnis-Angriff „Alle für einen“ ermutigt\nalle Verbündeten im Umkreis von 2 Feldern\nzur Teilnahme an einem Koop-Schlag.
MID_TUT_GOD_IKE_TITLE	Emblem Ike
MID_TUT_GOD_IKE_0	Emblem Ikes Ausdauervermögen und offensive\nStärke nehmen zu, wenn er Schaden erleidet.
MID_TUT_GOD_IKE_1	Die Synchro-Fähigkeit „Kühnheit“ erhöht\nVerteidigung und Resistenz, wenn die KP\nabnehmen.
MID_TUT_GOD_IKE_2	Die Bündniswaffe „Hammer“ kann Gegnern\nSchmetterschaden und gepanzerten Gegnern\nzusätzlichen Schaden zufügen.
MID_TUT_GOD_IKE_3	Die Bündnis-Fähigkeit „Freund der Laguz“\nhalbiert den erlittenen Schaden. Im Gegenzug\nsinkt Ausweichen (Aw.) des Anwenders auf 0.
MID_TUT_GOD_IKE_4	Der Bündnis-Angriff „Großer Aithir“ stärkt die\nVerteidigung der Einheit für eine Runde, greift\ndann einen Bereich an und stellt KP wieder her.
MID_TUT_GOD_KAMUI_TITLE	Emblem Corrin
MID_TUT_GOD_KAMUI_0	Emblem Corrin kann Gegnerbewegungen\neinschränken und Gelände erschaffen,\num so das Kampfgeschehen zu steuern.
MID_TUT_GOD_KAMUI_1	Die Synchro-Fähigkeit „Drachenader“ fügt dem\nGelände je nach Bündnispartner-Typ Effekte\nhinzu und tilgt Flammen und Miasma.
MID_TUT_GOD_KAMUI_2	Die Bündniswaffe „Doppelkatana“ ist, anders als\ndie meisten Schwerter, stark gegen Lanzen und\nschwach gegen Äxte.
MID_TUT_GOD_KAMUI_3	Die Bündnis-Fähigkeit „Furchtbare Aura“ hindert\nein Ziel und dessen Nachbarn für 1 Zug am\nBewegen, wenn die Einheit den Kampf initiiert.
MID_TUT_GOD_KAMUI_4	Der Bündnis-Angriff „Reißendes Gebrüll“ trifft\nGegner bis 3 Felder in Blickrichtung, tilgt Mia-\nasma und Flammen vom Gelände und flutet es.
MID_TUT_GOD_BYLETH_TITLE	Emblem Byleth
MID_TUT_GOD_BYLETH_0	Emblem Byleths durchdachte Anweisungen\nerhöhen die Werte seiner Verbündeten und\nführen sie zum Sieg.
MID_TUT_GOD_BYLETH_1	Die Synchro-Fähigkeit „Göttlicher Puls“ sorgt\ndafür, dass Angriffe, die ihr Ziel verfehlen\nwürden, manchmal dennoch treffen.
MID_TUT_GOD_BYLETH_2	Emblem Byleths erste Bündniswaffe ist ein\nHeroenrelikt – ein Item, das für jeden\nEinheitentyp anders ist.
MID_TUT_GOD_BYLETH_3	Die Bündnis-Fähigkeit „Unterricht“ gewährt\nVerbündeten in der Umgebung einen\nWertebonus.
MID_TUT_GOD_BYLETH_4	Der Bündnis-Angriff „Tanz der Göttin“ gewährt\nbenachbarten Verbündeten eine weitere Aktion\nund einen Wertebonus.
MID_TUT_GOD_EIRIK_TITLE	Emblem Eirika
MID_TUT_GOD_EIRIK_0	Emblem Eirika kann im Kampf ihren Zwillings-\nbruder Ephraim einwechseln und sich so\nunterschiedlichen Situationen anpassen.
MID_TUT_GOD_EIRIK_1	Die Synchro-Fähigkeit „Luna-Band“ erhöht den\nzugefügten Schaden proportional zum\nVerteidigungswert des Gegners.
MID_TUT_GOD_EIRIK_2	Die Bündniswaffe „Rapier“ fügt berittenen und\ngepanzerten Gegnern zusätzlichen Schaden zu.
MID_TUT_GOD_EIRIK_3	Die Bündnis-Fähigkeit „Heilige Zwillinge“\nerlaubt der Einheit, Eirikas und Ephraims\nFähigkeiten gleichzeitig zu aktivieren.
MID_TUT_GOD_EIRIK_4	Der Bündnis-Angriff „Zwillingsschlag“ trifft mit\nSchwert und Lanze. Er erhöht die Chance auf\n„Bruch“ und fügt Verzerrten Zusatzschaden zu.
MID_TUT_GOD_LUEUR_TITLE	Emblem \x0E\x06\x03\x00
MID_TUT_GOD_LUEUR_0	Emblem \x0E\x06\x03\x00 muss mit keiner Einheit\nsynchronisiert sein, um im Kampf Bündnis+\n(Bündnisstatus für beide Einheiten) zu nutzen.
MID_TUT_GOD_LUEUR_1	Die Synchro-Fähigkeit „Bandeschmied“ erhöht\nTreffer (Trf.) und Ausweichen (Aw.) des Anwen-\nders und synchr. oder verbundener Verbündeter.
MID_TUT_GOD_LUEUR_2	Die Bündniswaffe „Lyrátion“ füllt die Bündnis-\nleiste benachbarter Verb. um 1, wenn der Träger\nden Kampf initiiert und einen Gegner besiegt.
MID_TUT_GOD_LUEUR_3	Die Bündnis-Fähigkeit „Eingespieltheit“ erhöht\ndie Werte des Bündnispartners erheblich, wenn\ner den Kampf initiiert und einen Gegner besiegt.
MID_TUT_GOD_LUEUR_4	Der Bündnis-Angriff „Drachenschlag“ fügt mit\nSchwert und Magie selbst Gegnern mit hoher\nVer. und Res. erheblichen Schaden zu.
MID_TUT_GOD_LUEUR_KL_TITLE	Band von Emblem \x0E\x06\x03\x00
MID_TUT_GOD_LUEUR_KL_0	Der Band-Level von Emblem \x0E\x06\x03\x00 ist\nan den Unterstützungslevel statt an die\nBand-Erfahrung des Verbündeten geknüpft.
MID_TUT_GOD_LUEUR_KL_1	Kein Unterstützungslevel ergibt Band-Level 1,\nC ergibt Band-Level 5, B ergibt Band-Level 10\nund A ergibt Band-Level 20.
MID_TUT_ENGAGE_PLUS_TITLE	Bündnis+
MID_TUT_ENGAGE_PLUS_0	Ist die Bündnisleiste von \x0E\x06\x03\x00 voll,\nwähle „Bündnis+“, um ein Bündnis mit einem\nbenachbarten Verbündeten einzugehen.
MID_TUT_ENGAGE_PLUS_1	Emblem \x0E\x06\x03\x00 geht ein Bündnis mit\ndem Verbündeten ein und \x0E\x06\x03\x00 erhält\nebenfalls den Bündnisstatus.
MID_TUT_ENGAGE_PLUS_2	Der Bündnispartner von Emblem \x0E\x06\x03\x00\nkann den mächtigen Bündnis-Angriff „Bündnis-\nschlag“ nutzen, solange beide benachbart sind.
MID_TUT_BMAP_SORTIE_TITLE	Kampfvorbereitungen
MID_TUT_BMAP_SORTIE_0	Vor Kämpfen kannst du wählen, welche deiner\nEinheiten im Kampf antreten sollen. Außerdem\nkannst du Emblem-Ringe und Items zuweisen.
MID_TUT_BMAP_SORTIE_1	Starte den Kampf mit „Los!“, sobald deine\nVorbereitungen abgeschlossen sind.
MID_TUT_BMAP_UNIT_SELECT_TITLE	Einheitenauswahl
MID_TUT_BMAP_UNIT_SELECT_0	Wähle unter „Einheiten“, welche Verbündeten\ndich in den Kampf begleiten sollen. Mit \x0E\x08\x02\x04\x02A kannst\ndu \x0E\x08\x02\x16\x14IconSortie aktivieren oder deaktivieren.
MID_TUT_BMAP_UNIT_SELECT_1	Verbündete, deren Namen in Grün hervorge-\nhoben sind, können nicht aus der Aufstellung\nentfernt werden.
MID_TUT_BMAP_UNIT_SELECT_2	Auf jeder Karte gelten unterschiedliche Bestim-\nmungen für die maximale Größe deiner Armee.
MID_TUT_BMAP_MAPVERIFICATION_TITLE	Positionen tauschen
MID_TUT_BMAP_MAPVERIFICATION_0	Über den Befehl „Position ändern“ kannst du \ndie Aufstellung deiner Einheiten anpassen.
MID_TUT_BMAP_MAPVERIFICATION_1	Wähle mit \x0E\x08\x02\x04\x02A den Verbündeten, den du versetzen\nmöchtest.
MID_TUT_BMAP_MAPVERIFICATION_2	Wähle dann einen weiteren Verbündeten mit\n\x0E\x08\x02\x04\x02A aus, um ihre Positionen zu tauschen. Manche\nEinheiten können nicht versetzt werden.
MID_TUT_BMAP_MAPVERIFICATION_3	Nutze diese Phase auch, um dir Gelände und\nGegner auf der Karte genau anzusehen.
MID_TUT_BMAP_HERALDICCHOICE_TITLE	Emblem-Ringe
MID_TUT_BMAP_HERALDICCHOICE_0	Unter „Emblem-Ringe“ kannst du Verbündeten\nRinge zuweisen, die es ihnen erlauben, sich im\nKampf mit einem Emblem zu synchronisieren.
MID_TUT_BMAP_HERALDICCHOICE_1	Wähle zuerst einen Verbündeten und dann den\nEmblem-Ring, den er tragen soll.
MID_TUT_BMAP_GETTINGDRESSED_TITLE	Inventar
MID_TUT_BMAP_GETTINGDRESSED_0	Im Inventar kannst du Waffen und Items für\nden Kampf auswählen. Unter „Items verwalten“\nlegst du die Ausrüstung deiner Einheiten fest.
MID_TUT_BMAP_GETTINGDRESSED_1	Über „Items tauschen“ können Einheiten unter-\neinander oder mit dem Vorrat Items tauschen.
MID_TUT_BMAP_GETTINGDRESSED_2	Wenn du deine Einheiten automatisch mit Aus-\nrüstung aus dem Vorrat ausstatten möchtest,\nwähle „Ausrüstung optimieren“.
MID_TUT_BMAP_GETTINGDRESSED_3	Mit „Alle lagern“ sendest du die Ausrüstung\nder entsprechenden Einheit in den Vorrat.
MID_TUT_BMAP_EQUIP_SKILL_TITLE	Fähigkeiten verwalten
MID_TUT_BMAP_EQUIP_SKILL_0	Über die Inventaroption „Fähigkeiten verwalten“\nkannst du die Fähigkeiten deiner Verbündeten\nsehen und geerbte Fähigkeiten ausrüsten.
MID_TUT_BMAP_EQUIP_SKILL_1	Besuche die Ringkammer oder die Arena\nim Somniel, um Fähigkeiten von Emblemen\nan Verbündete zu vererben.
MID_TUT_BMAP_CLASSCHANGE_TITLE	Klassenwechsel
MID_TUT_BMAP_CLASSCHANGE_0	Einheiten ab Level 10 können mithilfe\neines Meistersiegels zu einer erfahrenen\nKlasse wechseln.
MID_TUT_BMAP_CLASSCHANGE_1	Der Wechsel zu einer erfahrenen Klasse erhöht\ndie Werte sowie die Anzahl verwendbarer\nWaffen einer Einheit und macht sie mächtiger.
MID_TUT_BMAP_CLASSCHANGE_2	Durch Verwendung eines Zweitsiegels kannst du\nin eine andere Klasse gleichen Rangs wechseln.
MID_TUT_BMAP_CLASSCHANGE_3	Die Klasse eines Charakters kannst du über das\nInventar wechseln.
MID_TUT_BMAP_APTITUDE_TITLE	Fertigkeiten
MID_TUT_BMAP_APTITUDE_0	Einheiten benötigen Fertigkeiten (Fertgk.),\num in andere Klassen wechseln zu können.
MID_TUT_BMAP_APTITUDE_1	Zu Anfang hat jede Einheit individuelle\nFertigkeiten auf Gebieten, auf denen sie\nbesonders talentiert ist.
MID_TUT_BMAP_APTITUDE_2	Einheiten können sich auch Fertigkeiten von\nEmblemen zu eigen machen. Dadurch können\nsie zu einer beliebigen Klasse wechseln.
MID_TUT_GMAP_BASIC_TITLE	Weltkarte
MID_TUT_GMAP_BASIC_0	Auf der Weltkarte kannst du dein nächstes Ziel\noder das nächste Kapitel auswählen.
MID_TUT_GMAP_BASIC_1	Bewege \x0E\x06\x03\x00 auf den gewünschten\nZielort und drücke \x0E\x08\x02\x04\x02A, um mit der Geschichte\nfortzufahren.
MID_TUT_GMAP_BASIC_2	Im Menü kannst du dein Inventar verwalten\noder zum Somniel zurückkehren.
MID_TUT_GMAP_SIDE_TITLE	Nebenquests
MID_TUT_GMAP_SIDE_0	Nach dem Abschließen bestimmter Kapitel\nerscheinen Nebenquest-Karten auf der Welt-\nkarte.
MID_TUT_GMAP_SIDE_1	Nebenquests sind optional, aber sie lohnen sich.\nVielleicht triffst du sogar neue Verbündete!
MID_TUT_GMAP_ENCOUNT_TITLE	Gefechte
MID_TUT_GMAP_ENCOUNT_0	Manchmal werden Reiseziele, die du bereits\nbesucht hast, von neuen Gegnern oder\nVerzerrten heimgesucht.
MID_TUT_GMAP_ENCOUNT_1	Wenn du zu diesen Reisezielen zurückkehrst,\nkannst du optionale Gefechte bestreiten.
MID_TUT_GMAP_ENCOUNT_2	Durch Abschließen von Gefechten kannst du\nErfahrung und andere Belohnungen wie Gold\noder Items verdienen.
MID_TUT_GMAP_RANKING_TITLE	Ranglisten
MID_TUT_GMAP_RANKING_0	Wenn du mit dem Internet verbunden bist, wird\ndir für jede Karte angezeigt, welche Einheiten\nweltweit am häufigsten eingesetzt wurden.
MID_TUT_GMAP_RANKING_1	Nutze die Statistik als Inspiration, wenn du dir\nunsicher bist, wen du in deiner Armee aufstellen\nsollst.
MID_TUT_KR_KIZUNARESULT_TITLE	Erkunden
MID_TUT_KR_KIZUNARESULT_0	Hast du einen Kampf abgeschlossen, kannst du\ndie Karte frei erkunden und dich mit deinen\nVerbündeten unterhalten.
MID_TUT_KR_KIZUNARESULT_1	Halte die Augen nach Fundstücken auf dem\nBoden offen.
MID_TUT_KR_KIZUNARESULT_2	Wenn du deinen Erkundungsgang beenden\nwillst, begib dich zum Ausgang oder öffne mit\n\x0E\x08\x02\x0A\x08Plus das Menü und wähle dann „Aufbrechen“.
MID_TUT_KR_KIZUNAPIECE_TITLE	Band-Fragmente
MID_TUT_KR_KIZUNAPIECE_0	Auf Erkundungsgängen schenken manche\nVerbündeten dir Fragmente des Bandes, wenn\ndu dich mit ihnen unterhältst.
MID_TUT_KR_KIZUNAPIECE_1	Diese Fragmente kannst du im Somniel zu\nRingen des Bandes weiterverarbeiten oder\nins Training deiner Embleme investieren.
MID_TUT_KR_KIZUNAPIECE_2	Verpasste Fragmente erhältst du automatisch,\nwenn du das Erkunden vorzeitig beendest.
MID_TUT_HUB_BASIC_TITLE	Das Somniel
MID_TUT_HUB_BASIC_0	Das Somniel ist dein Hauptquartier. Hier kannst\ndu dich auf den nächsten Kampf vorbereiten\noder die Bande zu Verbündeten vertiefen.
MID_TUT_HUB_BASIC_1	Parallel zu deinem Spielfortschritt werden\nmehr und mehr Bereiche und Optionen im\nSomniel freigeschaltet.
MID_TUT_HUB_BASIC_2	Wenn du dein Abenteuer fortsetzen möchtest,\nöffne die Weltkarte über das Menü oder begib\ndich zum Ausgang auf dem zentralen Platz.
MID_TUT_HUB_CENTRALLOBBY_OPEN	Das Café ist ab jetzt geöffnet.
MID_TUT_HUB_CENTRALLOBBY_TITLE	Café
MID_TUT_HUB_CENTRALLOBBY_0	Das Café ist ein Gemeinschaftsraum mit\nentspannter Atmosphäre und Zugang zu\nanderen Einrichtungen.
MID_TUT_HUB_CENTRALLOBBY_1	Nutze die Musiktruhe, um die Hintergrundmusik\nim Somniel ändern.
MID_TUT_HUB_CENTRALLOBBY_2	Die Pinnwand ist voller nützlicher Informationen.\nHier kannst du in Elyos investieren oder deine\nErfolge überprüfen.
MID_TUT_HUB_INVESTMENT_TITLE	Spenden
MID_TUT_HUB_INVESTMENT_0	Unterstütze die Länder von Elyos mit Spenden.\nEin Anstieg des Spendenlevels wird mit\nDankesgeschenken belohnt.
MID_TUT_HUB_INVESTMENT_1	In Ländern mit hohen Spendenleveln gibt es\nmehr seltene Gegner, für deren Bezwingen du\nmehr Gold oder Erfahrung bekommst.
MID_TUT_HUB_INVESTMENT_2	Höhere Spendenlevel bringen auch erhöhte\nMaterialfundraten und andere Vorteile mit sich.\nSpende also, wann immer du kannst!
MID_TUT_HUB_INFORMATION_TITLE	Somniel-Karte
MID_TUT_HUB_INFORMATION_0	Auf dieser Karte siehst du nicht nur die\nÖrtlichkeiten des Somniel, sondern auch\ndie Aufenthaltsorte deiner Verbündeten.
MID_TUT_HUB_INFORMATION_1	Wähle einen Zielort, um dich per Schnellreise\nsofort dorthin zu begeben.
MID_TUT_HUB_ACHIEVEMENT_TITLE	Erfolge
MID_TUT_HUB_ACHIEVEMENT_0	Auf dem „Erfolge“-Bildschirm kannst du deine\nErrungenschaften überprüfen und Fragmente\ndes Bandes als Belohnung in Empfang nehmen.
MID_TUT_HUB_ACHIEVEMENT_1	Du erhältst eine Mitteilung, wann immer du\neinen Erfolg erzielt hast und deine wohlver-\ndienten Fragmente des Bandes abholen kannst.
MID_TUT_HUB_MYROOM_TITLE	Mein Zimmer
MID_TUT_HUB_MYROOM_0	Dies ist der heilige Ort, an dem \x0E\x06\x03\x00\ntausend Jahre lang geschlafen hat.
MID_TUT_HUB_MYROOM_1	Wähle „Ausruhen“, um ein Nickerchen zu\nmachen und die Zeit im Somniel vergehen\nzu lassen.
MID_TUT_HUB_MYROOM_2	Vielleicht bekommst du im Schlaf ja einige\ninteressante Dinge zu hören... Kopfhörer\nbieten dabei das beste Hörerlebnis.
MID_TUT_HUB_MYROOM_3	Wähle „Erinnerungen“, um dir vergangene\nUnterstützungsgespräche und Szenen erneut\nanzusehen.
MID_TUT_HUB_MYROOM_4	Du kannst die Schwierigkeit des Spiels unter\n„Schwierigkeit“ verringern. Erhöhen lässt sich\ndie Schwierigkeit auf diese Weise jedoch nicht.
MID_TUT_HUB_WEAPONSHOP_OPEN	Das Arsenal und der Laden haben geöffnet.
MID_TUT_HUB_WEAPONSHOP_TITLE	Arsenal
MID_TUT_HUB_WEAPONSHOP_0	Hier kannst du Waffen kaufen oder verkaufen.
MID_TUT_HUB_WEAPONSHOP_1	Im Verlauf des Spiels treffen neue Waren ein\nund das Arsenal wird sein Sortiment erweitern.
MID_TUT_HUB_ITEMSHOP_TITLE	Laden
MID_TUT_HUB_ITEMSHOP_0	Hier kannst du im Kampf verwendbare Items\nwie Heilmittel und Stäbe kaufen oder verkau-\nfen.
MID_TUT_HUB_ITEMSHOP_1	Im Verlauf des Spiels wird der Laden weitere\nItems ins Sortiment aufnehmen.
MID_TUT_HUB_HERALDICSPACE_OPEN	Du hast nun Zutritt zur Ringkammer.
MID_TUT_HUB_HERALDICSPACE_TITLE	Ringkammer
MID_TUT_HUB_HERALDICSPACE_0	In der Ringkammer kannst du mit Emblemen\nund ihren Ringen interagieren. Hier können\nEmblem-Fähigkeiten vererbt werden.
MID_TUT_HUB_HERALDICSPACE_1	Schmiede neue Ringe aus Fragmenten des\nBandes oder verschmelze bestehende Ringe\ndes Bandes zu einem stärkeren Exemplar.
MID_TUT_HUB_HERALDICSPACE_2	Poliere Ringe nach einem Kampf, um die Bande\nzu den Emblemen zu stärken.
MID_TUT_HUB_INHERITSKILL_TITLE	Fähigkeiten erben
MID_TUT_HUB_INHERITSKILL_0	Bestimmte Fähigkeiten von Emblemen können\nan Verbündete vererbt werden.
MID_TUT_HUB_INHERITSKILL_1	Kämpfen Einheiten mit synchronisierten\nEmblemen oder verwenden sie Ringe des\nBandes, verdienen sie Fähigkeitspunkte (FP).
MID_TUT_HUB_INHERITSKILL_2	Zum Erben von Fähigkeiten werden FP und ein\ngenügend hoher Band-Level benötigt. Rüste\ngeerbte Fähigkeiten im Inventar aus.
MID_TUT_HUB_INHERITSKILL_3	Du kannst nicht zweimal von derselben\nFähigkeit profitieren, versuche also\nÜberschneidungen zu vermeiden.
MID_TUT_HUB_CREATE_RING_TITLE	Ringe des Bandes erstellen
MID_TUT_HUB_CREATE_RING_0	Aus Fragmenten des Bandes können Ringe des\nBandes erstellt werden.
MID_TUT_HUB_CREATE_RING_1	Ringe des Bandes erhöhen die Statuswerte und\nerlauben es Einheiten, FP zu erhalten, allerdings\nin geringerem Maße als Emblem-Ringe.
MID_TUT_HUB_ENGWEAPON_REFINE_OPEN	Du kannst nun die Bündniswaffen deines\nEmblems in der Ringkammer verstärken.
MID_TUT_HUB_ENGWEAPON_REFINE_TITLE	Bündniswaffen
MID_TUT_HUB_ENGWEAPON_REFINE_0	Mit bestimmten Materialien kannst du Bündnis-\nwaffen verbessern. Kristalle erhöhen Werte und\nPein-Bücher fügen Effektivitäten hinzu.
MID_TUT_HUB_ENGWEAPON_REFINE_1	Die Materialien für die Verstärkung von\nBündniswaffen kannst du in Sturmprüfungen\noder Staffelprüfungen verdienen.
MID_TUT_HUB_ENGWEAPON_REFINE_2	Bündniswaffen haben nur beschränkte Kapazitä-\nten für Verstärkungen. Du kannst Bündniswaffen\nnicht über ihre Kapazität hinaus verstärken.
MID_TUT_HUB_ENGWEAPON_REFINE_3	Durchgeführte Verstärkungen können zurückge-\nsetzt werden. Probiere unterschiedliche Effekt-\nkombinationen aus!
MID_TUT_HUB_MASCOT_OPEN	Eine mysteriöse Aura erfüllt die Luft in der\nGrotte.
MID_TUT_HUB_MASCOT_TITLE	\x0E\x06\x05\x00
MID_TUT_HUB_MASCOT_0	Dieses geheimnisvolle Geschöpf wacht seit\nUrzeiten über das Somniel.
MID_TUT_HUB_MASCOT_1	Wenn du dich gut um \x0E\x06\x05\x00 kümmerst,\npassiert vielleicht etwas ganz Wunderbares.
MID_TUT_HUB_MUSCLEEXERCISES_OPEN	Du hast jetzt Zugang zum Krafttraining!
MID_TUT_HUB_MUSCLEEXERCISES_TITLE	Krafttraining
MID_TUT_HUB_MUSCLEEXERCISES_0	Im Krafttraining kannst du aus drei Übungen\nwählen, um die Werte von \x0E\x06\x03\x00\nvorübergehend zu verbessern.
MID_TUT_HUB_MUSCLEEXERCISES_1	Steuerung und trainierte Werte unterscheiden\nsich von Übung zu Übung. Versuche, in allen\nÜbungen ein perfektes Ergebnis zu erzielen!
MID_TUT_HUB_MUSCLEEXERCISES_2	Im späteren Spielverlauf werden für jede Übung\nzusätzliche Schwierigkeitsgrade freigeschaltet.
MID_TUT_HUB_ME_PUSHUPS_TITLE	Liegestütze
MID_TUT_HUB_ME_PUSHUPS_0	Bei dieser Übung ist Timing gefragt. Achte auf\ndie Linie und stoppe sie im richtigen Moment.\nNach drei Fehlversuchen ist Schluss.
MID_TUT_HUB_ME_PUSHUPS_1	Wenn du die angegebene Anzahl Liegestütze\nabsolvierst, hast du die Übung geschafft. Aber\nVorsicht: die Linie wird immer schneller!
MID_TUT_HUB_ME_PUSHUPS_2	Bring dich in Form!
MID_TUT_HUB_ME_SITUP_TITLE	Klappmesser
MID_TUT_HUB_ME_SITUP_0	Drücke den Knopf, so schnell du kannst, um die\nLinie anzuheben. Berührt sie den Boden, endet\ndas Training.
MID_TUT_HUB_ME_SITUP_1	Mit jedem Klappmesser wird es schwerer, die\nLinie anzuheben. Je schneller du sie anhebst,\ndesto besser fällt deine Bewertung aus.
MID_TUT_HUB_ME_SITUP_2	Bring dich in Form!
MID_TUT_HUB_ME_SQUAT_TITLE	Kniebeugen
MID_TUT_HUB_ME_SQUAT_0	Hier geht es um Rhythmusgefühl. Folge den\nAnweisungen mit \x0E\x08\x02\x0E\x0CStickL und \x0E\x08\x02\x0E\x0CStickR. Nach dem dritten\nFehlversuch endet die Übung.
MID_TUT_HUB_ME_SQUAT_1	Richtiges Neigen und Drehen von \x0E\x08\x02\x0E\x0CStickL und \x0E\x08\x02\x0E\x0CStickR\nist der Schlüssel zum Erfolg.
MID_TUT_HUB_ME_SQUAT_2	Bring dich in Form!
MID_TUT_HUB_ARENA_OPEN	Die Türen zur Arena haben sich geöffnet.
MID_TUT_HUB_ARENA_TITLE	Arena
MID_TUT_HUB_ARENA_0	In der Arena kannst du Verbündete trainieren\nlassen, um Erfahrung zu sammeln und ihre\nBand-Level zu erhöhen.
