MAID_LueurWearM	Göttlicher Anzug
MAID_H_Mascot_Wig	Ein Perücke, die \x0E\x06\x03\x00 gut stehen soll. Ob das nun der Fall ist\noder nicht – \x0E\x06\x05\x00 scheint hellauf begeistert zu sein.
MAID_Mascot_Eyebrows	Kühne Brauen
MAID_H_Mascot_Eyebrows	Dramatische Augenbrauen, mit der die Mimik neue Höhen erreicht. Damit\nwird man stets wissen, ob \x0E\x06\x05\x00 überrascht ist.
MAID_Mascot_Butterfly	Flatterfreund
MAID_H_Mascot_Butterfly	Ein Schmetterling landete auf dem Schwanz von \x0E\x06\x05\x00 und\nweigerte sich, diesen wieder zu verlassen. Nun ist er sein festes Zuhause.
MAID_Mascot_Ribbon	Schweifschleife
MAID_H_Mascot_Ribbon	Diese Schleife ist so leicht, dass \x0E\x06\x05\x00 sie gar nicht spürt. Das\nSchutzwesen freut sich jedes Mal, wenn es sie sieht. Luftsprung inklusive!
MAID_Mascot_Bell	Glücksglöckchen
MAID_H_Mascot_Bell	Diese Glocke an einer rot-weißen Kordel klingelt beim Laufen fröhlich vor\nsich hin. Da macht das Herumlaufen noch mehr Spaß.
MAID_Mascot_Feather	Wollflügel
MAID_H_Mascot_Feather	Ein Paar flauschiger, künstlicher Schwingen, die im Wind zu schweben\nscheinen. Achtung! Verleiht keine Flugfähigkeit! Vorsicht an Klippen!
MAID_Mascot_BackAcce	Prachtgewand
MAID_H_Mascot_BackAcce	Formelle Kleidung im Stil \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin, maßgefertigt für das\nSchutzwesen, das sie voller Stolz und auch mit etwas Wehmut trägt.
MAID_Costume_Marth	Marths Stil
MAID_H_Costume_Marth	Basierend auf Marth, dem Emblem der Anfänge. Ein Held unter Helden.
MAID_Costume_Siglud	Sigurds Stil
MAID_H_Costume_Siglud	Basierend auf Sigurd, dem Emblem von Holy War. Ein edler Ritter aus\neiner mächtigen Blutlinie.
MAID_Costume_Celica	Celicas Stil
MAID_H_Costume_Celica	Basierend auf Celica, dem Emblem von Echoes. Die Prinzessin eines\nlebhaften Landes.
MAID_Costume_Micaiah	Micaiahs Stil
MAID_H_Costume_Micaiah	Basierend auf Micaiah, dem Emblem von Dawn. Eine Priesterin mit\ngeheimnisvollen Kräften.
MAID_Costume_Roy	Roys Stil
MAID_H_Costume_Roy	Basierend auf Roy, dem Emblem von Binding. Eine mutiger und\nintelligenter Edelmann.
MAID_Costume_Lin	Lyns Stil
MAID_H_Costume_Lin	Basierend auf Lyn, dem Emblem von Blazing. Eine virtuose\nSchwertkämpferin eines naturverbundenen Nomadenstammes.
MAID_Costume_Ike	Ikes Stil
MAID_H_Costume_Ike	Basierend auf Ike, dem Emblem von Radiance. Ein berühmter Söldner,\nder eine unübertroffene Kampffertigkeit besitzt.
MAID_Costume_Lucina	Lucinas Stil
MAID_H_Costume_Lucina	Basierend auf Lucina, dem Emblem von Awakening. Eine Prinzessin, die\nweiß, dass sich alles ändern kann, und Verzweiflung nicht zulässt.
MAID_Costume_Leaf	Leifs Stil
MAID_H_Costume_Leaf	Basierend auf Leif, dem Emblem von Genealogy. Ein mutiger Prinz,\nin dessen Adern das Blut zweier Heiliger Ritter fließt.
MAID_Costume_Kamui	Corrins Stil
MAID_H_Costume_Kamui	Basierend auf Corrin, dem Emblem von Fates. Eine Adlige, die das Blut\nder Ersten Drachen in sich trägt.
MAID_Costume_Eirik	Eirikas Stil
MAID_H_Costume_Eirik	Basierend auf Eirika, dem Emblem von Sacred. Eine Prinzessin, die für\nden Frieden zu ihrem Schwert greift.
MAID_Costume_Byleth	Byleths Stil
MAID_H_Costume_Byleth	Basierend auf Byleth, dem Emblem der Akademie. Ein Söldner, der zu\neinem Magister wurde.
