MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x02\x06\x04エル\nIn der einen Richtung – 1000 Jahre Trennung.\nIn der anderen Richtung – 100 Jahre Bedauern.\x0E\x04\x02\x00
MID_ED1_#017	\x0E\x03\x02\x12\x10E001_敵チキ\nIch weiß nichts über eine Anrufung...\x0E\x04\x02\x00
MID_ED1_#018	Hngh. Mein Kopf fühlt sich seltsam an. Er tut\nweh.\x0E\x04\x02\x00
MID_ED1_#019	Bitte... ich möchte nicht mehr kämpfen. Ich\nmag es nicht, wenn ich andere verletze.\x0E\x04\x00\x00
MID_ED1_#020	\x0E\x03\x02\x10\x0EE001_エル\nDu musst nichts gegen deinen Willen tun.\nErlaube mir, dich wieder in einen friedlichen\nSchlaf zu versetzen.\x0E\x04\x00\x00
MID_ED1_#021	\x0E\x03\x02\x0A\x08リュール\nDas kannst du?\x0E\x04\x00\x00
MID_ED1_#022	\x0E\x03\x02\x10\x0EE001_エル\nJa, das kann ich. Aber das Beschwören, das du\nerwähnt hast, ist mir fremd.\x0E\x04\x02\x00
MID_ED1_#023	\x0E\x0A\x00\x10\x06Die\x06Der \x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott dieser Welt besaß die Fähigkeit,\nGefallene Embleme zu läutern.\x0E\x04\x02\x00
MID_ED1_#024	Da Ihr das offenbar nicht könnt, schicke ich\nEmblem Tiki zurück in den Schlaf.\x0E\x04\x02\x00
MID_ED1_#025	Wenn sie schläft, wird sie vor denen sicher\nsein, die ihre Macht ausnutzen wollen.\x0E\x04\x02\x00
MID_ED1_#026	Sie wird nicht länger dazu gezwungen sein,\nzu kämpfen.\x0E\x04\x00\x00
MID_ED1_#027	\x0E\x03\x02\x10\x0EE001_イル\nMan könnte auch sagen, wir verwahren ihre\nMacht sicher im Armring.\x0E\x04\x02\x00
MID_ED1_#028	Bedauerlicherweise kann sie uns nicht weiter\nbehilflich sein, da wir unfähig sind, Embleme\naufzuwecken.\x0E\x04\x00\x00
MID_ED1_#029	\x0E\x03\x02\x0A\x08リュール\nDas scheint für den Moment unsere einzige\nOption zu sein. Bitte, tu es.\x0E\x04\x02\x00
MID_ED1_#030	Welche Vorteile es auch hätte, Tiki in wachem\nZustand zu belassen – ich werde sie nicht zum\nKämpfen zwingen.\x0E\x04\x02\x00
MID_ED1_#031	Tiki... Ich hoffe, wir sehen uns eines Tages\nwieder.\x0E\x04\x00\x00
MID_ED1_#032	\x0E\x03\x02\x12\x10E001_敵チキ\nDas wäre schön.\x0E\x04\x02\x00
MID_ED1_#033	Und dann spielen wir ganz viel zusammen, ja?\x0E\x04\x00\x00
MID_ED1_#034	\x0E\x03\x02\x0A\x08リュール\nAuf jeden Fall!\x0E\x04\x00\x00
MID_ED1_#035	\x0E\x03\x02\x10\x0EE001_エル\nLeb wohl, Emblem Tiki. Träum was Schönes.\x0E\x04\x00\x00
MID_ED1_#036	\x0E\x03\x02\x12\x10E001_敵チキ\nNachtinacht...\x0E\x04\x00\x00
MID_ED1_#037	\x0E\x03\x02\x10\x0EE001_エル\nSolange wir sie in sicherer Entfernung vom\nFeind halten, wird sie ruhig schlafen können.\x0E\x04\x00\x00
MID_ED1_#038	\x0E\x03\x02\x0A\x08リュール\nIch danke dir, Nel.\x0E\x04\x00\x00
MID_ED1_#039	\x0E\x03\x02\x10\x0EE001_エル\nFür uns ist es selbstverständlich, unsere\nEmbleme in den Schlaf zu versetzen. So ver-\nhindern wir, dass sie ausgenutzt werden.\x0E\x04\x02\x00
MID_ED1_#040	Emblem Tiki schlief daher, als man ihren Arm-\nring genommen hat. Aber sie war wach, als\nwir sie zurückerhielten.\x0E\x04\x02\x00
MID_ED1_#041	Unser Feind muss also die Fähigkeit besitzen,\nEmbleme zu erwecken.\x0E\x04\x00\x00
MID_ED1_#042	\x0E\x03\x02\x10\x0EE001_イル\nNur Wyrmgötter und Dämonendrachen sind\ndazu in der Lage, Embleme auf diese Weise zu\nbeeinflussen.\x0E\x04\x02\x00
MID_ED1_#043	In dieser Welt gibt es keine Wyrmgötter mehr,\ndaher muss unser Feind ein Dämonendrache\nsein.\x0E\x04\x02\x00
MID_ED1_#044	Mit anderen Worten, es muss eines unserer\nGeschwister sein.\x0E\x04\x00\x00
MID_ED1_#045	\x0E\x03\x02\x0A\x08リュール\nWenn es ein Geschwister von euch ist, habt\nihr dann eine Ahnung, wer es sein könnte?\x0E\x04\x00\x00
MID_ED1_#046	\x0E\x03\x02\x10\x0EE001_イル\nWir haben viele Brüder und Schwestern, aber\nwir kennen nicht alle von ihnen.\x0E\x04\x02\x00
MID_ED1_#047	Viele sind während des letzten Krieges ge-\nstorben. Es ist schwer zu sagen, wer von ihnen\nüberlebt haben mag.\x0E\x04\x00\x00
MID_ED1_#048	\x0E\x03\x02\x10\x0EE001_エル\nDie Macht, Embleme zu beeinflussen, ist selten.\nWäre uns der Schuldige bekannt, würden wir\nuns mit Sicherheit an ihn erinnern.\x0E\x04\x02\x00
MID_ED1_#049	Vielleicht wurde dieses Kind geboren, nachdem\nwir Sombron verlassen hatten. Oder hat diese\nFähigkeit erst spät entwickelt.\x0E\x04\x00\x00
MID_ED1_#050	\x0E\x03\x02\x10\x0EE001_イル\nDrachenkräfte sind unvorhersehbar. Ich selbst\nkann mich weder verwandeln noch kann ich\nEmbleme beeinflussen.\x0E\x04\x02\x00
MID_ED1_#051	Sombron sah in mir einen Fehlschlag. Wäre\nich bei ihm geblieben, wäre ich vermutlich jetzt\ntot.\x0E\x04\x00\x00
MID_ED1_#052	\x0E\x03\x02\x0A\x08リュール\nDas ist furchtbar.\x0E\x04\x00\x00
MID_ED1_#053	\x0E\x03\x02\x10\x0EE001_イル\nIch konnte nur überleben, weil Nel mich\nmitnahm, als sie fortgegangen ist.\x0E\x04\x02\x00
MID_ED1_#054	Hrmpf. Es erzürnt mich, wenn ich daran denke,\ndass eines unserer Geschwister hinter all dem\nstecken könnte.\x0E\x04\x02\x00
MID_ED1_#055	Diese Macht zu besitzen – und sie dann nur für\ndas Böse einzusetzen...\nWas für eine Verschwendung.\x0E\x04\x00\x00
MID_ED1_#056	\x0E\x03\x02\x0A\x08リュール\nNil...\x0E\x04\x00\x00
MID_ED1_#057	\x0E\x03\x02\x10\x0EE001_イル\nHahaha. Verzeiht. Es lag nicht in meiner\nAbsicht, die Atmosphäre zu vergiften.\x0E\x04\x00\x00
MID_ED1_#058	\x0E\x03\x02\x10\x0EE001_エル\nAlso, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Unser Ziel ist es, den Bemüh-\nungen von Sombrons geheimnisvollem Erben ein\nEnde zu setzen.\x0E\x04\x02\x00
MID_ED1_#059	Da wir dafür kämpfen, die Embleme wieder\nin den Schlaf zu schicken, werden sie nicht in\nder Lage sein, uns zu helfen.\x0E\x04\x02\x00
MID_ED1_#060	Mit diesem Wissen liegt die Entscheidung bei\nEuch, ob Ihr uns helfen wollt oder nicht. Was\nsagt Ihr?\x0E\x04\x00\x00
MID_ED1_#061	\x0E\x03\x02\x0A\x08リュール\nJa, ich werde helfen.\x0E\x04\x00\x00
MID_ED1_#062	\x0E\x03\x02\x10\x0EE001_イル\nAusgezeichnet! Es ist so ermutigend, Euch\nan unserer Seite zu wissen. Nicht wahr, Nel?\x0E\x04\x00\x00
MID_ED1_#063	\x0E\x03\x02\x10\x0EE001_エル\nNach dem, was ich in der Schlacht gesehen\nhabe, muss ich zustimmen.\x0E\x04\x02\x00
MID_ED1_#064	Trotzdem fühle ich mich weiterhin unwohl, an\nder Seite dieses toten Drachen kämpfen zu\nmüssen.\x0E\x04\x00\x00
MID_ED1_#065	\x0E\x03\x02\x0A\x08リュール\nAch, du fühlst dich meinetwegen unwohl?\x0E\x04\x00\x00
MID_ED1_#066	\x0E\x03\x02\x10\x0EE001_イル\nBitte, es gibt keinen Grund zum Streiten!\x0E\x04\x02\x00
MID_ED1_#067	Warum gebt Ihr beide Euch nicht die Hand und\nseid von nun an Freunde?\x0E\x04\x00\x00
MID_ED1_#068	\x0E\x03\x02\x10\x0EE001_エル\nAbgelehnt.\x0E\x04\x00\x00
MID_ED1_#069	\x0E\x03\x02\x0A\x08リュール\nDann verzichte ich ebenfalls.\x0E\x04\x00\x00
MID_ED1_#070	\x0E\x03\x02\x10\x0EE001_イル\nHeh... Ihr könntet wenigstens versuchen,\nmiteinander auszukommen...\x0E\x04\x00\x00
MID_ED1_#071	\x0E\x03\x02\x10\x0EE001_エル\nBevor wir das Schloss verlassen, sollten wir\nLebewohl sagen, Nil.\x0E\x04\x00\x00
MID_ED1_#072	\x0E\x03\x02\x10\x0EE001_イル\nOh, sicher.\x0E\x04\x00\x00
MID_ED1_#073	\x0E\x03\x02\x0A\x08リュール\nIch wusste gar nicht, dass noch jemand im\nSchloss ist. Kenne ich die Person?\x0E\x04\x00\x00
MID_ED1_#074	\x0E\x03\x02\x10\x0EE001_エル\nEs steht Euch frei, mitzukommen, um es\nherauszufinden. Aber was Ihr sehen werdet,\nkönnte Euch aufwühlen.\x0E\x04\x00\x00
MID_ED1_#075	\x0E\x03\x02\x0A\x08リュール\nHm...\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE001_エル\x021\n\x0E\x03\x00\x14\x0EE001_イル\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x02\x0A\x08リュール\nDas sieht aus wie eine Art Gedenkstein.\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x10\x0EE001_エル\nDies ist die Ruhestätte \x0E\x0A\x00<\x1Cder Wyrmgöttin\x1Cdes Wyrmgottes.\nEuer Grab.\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x10\x0EE001_エル\nIch hatte Euch gewarnt.\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x10\x0EE001_イル\nWir brauchen nur einen Moment, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Ihr\nkönnt zurückgehen, wenn Ihr möchtet.\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x0A\x08リュール\nAlso eigentlich... Hättet ihr etwas dagegen,\nwenn ich ein paar Worte sage?\x0E\x04\x02\x00
MID_ED2_#007	Ich möchte meinem anderen Selbst, das hier\nmit euch lebte, etwas mitteilen.\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x02\x10\x0EE001_イル\nDas wäre eine wunderbare Geste.\x0E\x04\x00\x00
MID_ED2_#009	\x0E\x03\x02\x0A\x08リュール\nMein eigenes Grab zu besuchen... Nie hätte\nich mir vorstellen können, das einmal zu tun.\x0E\x04\x02\x00
MID_ED2_#010	Ich verstehe, warum Nel sich... in dieser\nSituation unwohl fühlt.\x0E\x04\x00\x00
MID_ED2_#011	\x0E\x03\x02\x10\x0EE001_エル\n...\x0E\x04\x00\x00
MID_ED2_#012	\x0E\x03\x02\x0A\x08リュール\nIch verspreche dir, deine Rolle auszufüllen und,\nso gut ich es vermag, jene zu beschützen, die\ndir wichtig sind.\x0E\x04\x02\x00
MID_ED2_#013	Und damit, Spiegelbild meiner selbst...\nLeb wohl.\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x09\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04イル\x022\n\x0E\x03\x02\x06\x04イル\nSchluchz...\x0E\x04\x02\x00
MID_ED3_#002	Wieso kann ich mich nicht wie du und Vater\nin einen Drachen verwandeln?\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x02\x06\x04エル\nNa, na, ist ja gut. Irgendwann wirst du das\nkönnen.\x0E\x04\x00\x00
MID_ED3_#004	\x0E\x03\x02\x06\x04イル\nIch bin ein Fehlschlag! Ich bin schwach!\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x02\x06\x04エル\nNein, Nil. Du bist stark. Irgendwann wirst du\nganz sicher in der Lage sein, dich zu\nverwandeln.\x0E\x04\x00\x00
MID_ED3_#006	\x0E\x03\x02\x06\x04イル\nWann?\x0E\x04\x00\x00
MID_ED3_#007	\x0E\x03\x02\x06\x04エル\nDas kann nicht mal Vater mit Sicherheit sagen.\x0E\x04\x02\x00
MID_ED3_#008	Aber bis es so weit ist, kannst du diesen hier\nhaben.\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x0B\x00v
MID_ED3_#010	Aber ohne den Stein kannst du dich doch gar\nnicht verwandeln.\x0E\x04\x00\x00
MID_ED3_#011	\x0E\x0B\x01>
MID_ED3_#012	Wir sind zwei Hälften eines Ganzen, Nil. Unsere\nMacht teilen wir uns.\x0E\x04\x00\x00
MID_ED3_#013	\x0E\x03\x02\x06\x04イル\nHmmm.\x0E\x04\x02\x00
MID_ED3_#014	Unsere Macht...\x0E\x04\x00\x00
