MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ルミエル\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08ルミエル\nWir sind da. Innerhalb dieser Mauern sind wir\nsicher.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x00\x0C\x06フラン\x024\n\x0E\x03\x02\x08\x06フラン\nIch kann nicht glauben, dass wir gegen Königin\nLumera kämpfen mussten.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x01\x08\x06フラン\n\x0E\x03\x00\x0C\x06クラン\x024\n\x0E\x03\x02\x08\x06クラン\nUnd ich kann nicht glauben, dass wir gewonnen\nhaben!\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x01\x08\x06クラン\n\x0E\x03\x00\x10\nヴァンドレ\x024\n\x0E\x03\x02\x0C\nヴァンドレ\nAuch wenn Ihr gerade erst erwacht seid, scheint\nEure Macht bereits zu wachsen, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x01\x0C\nヴァンドレ\n\x0E\x03\x02\x0A\x08ルミエル\nIch möchte dir dies hier geben, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x0A\x08リュール\nDas ist das Schwert, das du geführt hast, nicht\nwahr?\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x0A\x08ルミエル\nJa, ein sehr altes Schwert, das nur von\nWyrmgöttern geführt werden kann.\x0E\x04\x02\x00
MID_ED1_#010	Es hat mir viele Jahre gut gedient, aber nun soll\nes dir gehören. Sieh es als Belohnung für deinen\nheutigen Sieg an.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x0A\x08リュール\nIch danke dir. Eines Tages werde ich mich\ndieser Klinge würdig erweisen.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x0A\x08ルミエル\nIch hege keinen Zweifel daran.\x0E\x04\x02\x00
MID_ED1_#013	Bitte nimm auch dies von mir an.\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x0A\x08リュール\nIst das ein weiterer Emblem-Ring?\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x0A\x08ルミエル\nNein, dieser Ring ist nur Schmuck. Weißt du,\nvor deinem langen Schlaf habe ich dir ein Ver-\nsprechen gegeben.\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x0A\x08リュール\nWelches denn?\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x02\x0A\x08ルミエル\nIch versprach, dir zu deinem Geburtstag ein\nGeschenk zu geben, das perfekt zu dir passt.\x0E\x04\x02\x00
MID_ED1_#018	Ich habe im Stillen daran gearbeitet, doch\nkonnte ich es nicht rechtzeitig fertigstellen...\x0E\x04\x02\x00
MID_ED1_#019	Dieser Geburtstag liegt schon lange zurück,\naber ich möchte dir dieses Geschenk nun gerne\ngeben.\x0E\x04\x00\x00
MID_ED1_#020	\x0E\x03\x02\x0A\x08リュール\nEs tut mir leid... Ich kann es nicht annehmen.\x0E\x04\x00\x00
MID_ED1_#021	\x0E\x03\x02\x0A\x08ルミエル\nWarum nicht?\x0E\x04\x00\x00
MID_ED1_#022	\x0E\x03\x02\x0A\x08リュール\nDieser Ring steht für dein Versprechen an mich,\nrichtig? Aber ich kann mich an dieses\nVersprechen nicht erinnern.\x0E\x04\x02\x00
MID_ED1_#023	Es wäre falsch, ihn anzunehmen. Als erhielte ich\nein Geschenk, das für jemand anderen bestimmt\nwar.\x0E\x04\x02\x00
MID_ED1_#024	Bitte biete ihn mir noch einmal an, sobald ich\nmich wieder an alles erinnere.\x0E\x04\x00\x00
MID_ED1_#025	\x0E\x03\x02\x0A\x08ルミエル\nAlles, sagst du.\x0E\x04\x02\x00
MID_ED1_#026	...\x0E\x04\x02\x00
MID_ED1_#027	Hat der Kampf gegen mich irgendwelche\nErinnerungen geweckt, \x0E\x06\x03\x00?\x0E\x04\x00\x00
MID_ED1_#028	\x0E\x03\x02\x0A\x08リュール\nNein. Tut mir leid.\x0E\x04\x00\x00
MID_ED1_#029	\x0E\x03\x02\x0A\x08ルミエル\nDu musst dich nicht entschuldigen. Es ist nicht\nwichtig, woran du dich im Moment erinnerst...\x0E\x04\x02\x00
MID_ED1_#030	Ich hoffe nur, dass du mich eines Tages als\ndeine Mutter ansiehst.\x0E\x04\x02\x00
MID_ED1_#031	So, wie du es vor tausend Jahren getan hast.\x0E\x04\x00\x00
MID_ED1_#032	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_ED1_#033	\x0E\x03\x02\x0A\x08ルミエル\nBitte verzeih. Ich war einfach nur so aufgeregt,\nwieder Zeit mit dir zu verbringen.\x0E\x04\x02\x00
MID_ED1_#034	Ich habe mich wohl zu sehr in Worten verloren,\nnicht wahr?\x0E\x04\x00\x00
MID_ED1_#035	\x0E\x03\x02\x0A\x08リュール\nAch, was. Schon in Ordnung.\x0E\x04\x00\x00
MID_ED1_#036	\x0E\x03\x02\x0A\x08ルミエル\nHahaha, ich wollte dich nicht in Verlegenheit\nbringen. Vielleicht sollten wir für heute Schluss\nmachen, hm?\x0E\x04\x02\x00
MID_ED1_#037	Aber lass uns doch morgen weiterreden.\x0E\x04\x02\x00
MID_ED1_#038	Was sagst du? Versprochen?\x0E\x04\x00\x00
MID_ED1_#039	\x0E\x03\x02\x0A\x08リュール\nHahaha, einverstanden.\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ルミエル\x021\n\x0E\x03\x02\x0A\x08ルミエル\nHahaha.\x0E\x04\x02\x00
MID_ED3_#002	Wie wunderbar, dass mein Kind endlich\naufgewacht ist. Nun wird uns nichts mehr\ntrennen können.\x0E\x04\x02\x00
MID_ED3_#003	Es gibt so viel nachzuholen. So viel, das wir\nzusammen sehen und tun können.\x0E\x04\x02\x00
MID_ED3_#004	Wir können uns stundenlang unterhalten,\nausgiebig spazieren gehen, zusammen speisen,\nund dann...\x0E\x04\x02\x00
MID_ED3_#005	Wenn die Erinnerungen meines Kindes wirklich\nverloren sind, frage ich mich...\x0E\x04\x02\x00
MID_ED3_#006	...\x0E\x04\x02\x00
MID_ED3_#007	Emblem Sigurd.\x0E\x04\x00\x00
MID_ED3_#008	\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nIch bin hier.\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x02\x0A\x08ルミエル\nEs gibt da etwas, das ich mit Euch besprechen\nmöchte.\x0E\x04\x00\x00
MID_ED4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nDer heutige Tag war wirklich ereignisreich.\x0E\x04\x02\x00
MID_ED4_#002	Königin Lumera scheint warmherzig und\nfürsorglich zu sein. Ich bin sicher, sie war eine\nwundervolle Mutter.\x0E\x04\x02\x00
MID_ED4_#003	Wenn ich mich doch nur an jene Tage erinnern\nkönnte.\x0E\x04\x02\x00
MID_ED4_#004	Ich muss glücklich gewesen sein, ihr Kind\nzu sein.\x0E\x04\x00\x00
