MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0C\nスタルーク\nDa wären wir. Schloss Brodia.\x0E\x04\x02\x00
MID_ED2_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nÜberdenkt das bitte noch einmal!\x0E\x04\x00\x00
MID_ED2_#017	\x0E\x03\x02\x0A\x08モリオン\nWer ist hier der Vater und wer der Sohn?\nVersuche du nicht, mich zu beschützen.\x0E\x04\x00\x00
MID_ED2_#018	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_ED2_#019	\x0E\x03\x02\x0A\x08モリオン\nDas passiert in letzter Zeit oft, Sohn.\nWas hat es damit auf sich?\x0E\x04\x02\x00
MID_ED2_#020	Sorgst du dich, dass Brodia diesen Krieg\nverlieren könnte? Oder... seinen König?\x0E\x04\x00\x00
MID_ED2_#021	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x02\x00
MID_ED2_#022	Wir sind noch nicht bereit dafür. Dass Brodia\nseinen König verliert. Oder ich meinen Vater.\x0E\x04\x00\x00
MID_ED2_#023	\x0E\x03\x02\x0C\nスタルーク\nDiamant?\x0E\x04\x00\x00
MID_ED2_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nAls ich jung war, wurde mir beigebracht, dass\nich Brodia nach Eurem Tod anführen würde.\x0E\x04\x02\x00
MID_ED2_#025	Stellt Euch einen Jungen vor, der gezwungen\nwar, den Tod seines Vaters anzunehmen. Der\nan diesen leeren Thron zu denken hatte.\x0E\x04\x02\x00
MID_ED2_#026	Der Dämonendrache ist zurückgekehrt. Wir sind\nim Krieg. Die Zukunft ist ungewiss.\x0E\x04\x02\x00
MID_ED2_#027	Und ich bin nicht bereit.\x0E\x04\x00\x00
MID_ED2_#028	\x0E\x03\x02\x0A\x08モリオン\nEs ist schon gut, Diamant. Wenn ich sterbe,\ndann sterbe ich. Brodia wird fortbestehen.\x0E\x04\x00\x00
MID_ED2_#029	\x0E\x03\x02\x0E\x0Cディアマンド\nAber Vater!\x0E\x04\x00\x00
MID_ED2_#030	\x0E\x03\x02\x0A\x08モリオン\nWas, glaubst du mir nicht? Wenn ich fort bin,\nweiß ich, dass du mit sicherer Hand die\nFührung übernehmen wirst.\x0E\x04\x02\x00
MID_ED2_#031	Auch wenn es mich verletzt, dass du diesen\nTag so bald erwartest.\x0E\x04\x02\x00
MID_ED2_#032	Du denkst, ich werde verlieren, hm? Dass ich\nschwach bin und deinen Schutz benötige?\x0E\x04\x02\x00
MID_ED2_#033	Ach, die Überheblichkeit der Jugend.\x0E\x04\x00\x00
MID_ED2_#034	\x0E\x03\x02\x0E\x0Cディアマンド\nDas habe ich so nicht gemeint.\x0E\x04\x00\x00
MID_ED2_#035	\x0E\x03\x02\x0A\x08モリオン\nKönig Hyacinth erwartet mich auf dem\nSchlachtfeld, seine Armee steht bereit. Was wird\naus Brodia, wenn wir uns jetzt verstecken?\x0E\x04\x02\x00
MID_ED2_#036	Nach all den vielen Jahren, die wir gegen Elusia\nkämpften, offenbaren wir uns nun als Feiglinge?\x0E\x04\x02\x00
MID_ED2_#037	Hör mir zu, Diamant. Ich werde tapfer für\nBrodia kämpfen. Ich habe keine Angst vor dem\nTod.\x0E\x04\x02\x00
MID_ED2_#038	Bekannt zu sein als ein König, der vor dem\nKampf flieht... Dieser Gedanke macht mir viel\nmehr Angst.\x0E\x04\x00\x00
MID_ED2_#039	\x0E\x03\x02\x0E\x0Cディアマンド\nHm...\x0E\x04\x00\x00
MID_ED2_#040	\x0E\x03\x02\x0A\x08モリオン\nWie denkst du darüber, Alcryst?\x0E\x04\x00\x00
MID_ED2_#041	\x0E\x03\x02\x0C\nスタルーク\nIch?\x0E\x04\x00\x00
MID_ED2_#042	\x0E\x03\x02\x0A\x08モリオン\nWenn ich sterbe, und Diamant mit mir, wirst du\nden Thron besteigen müssen.\x0E\x04\x00\x00
MID_ED2_#043	\x0E\x03\x02\x0C\nスタルーク\n...\x0E\x04\x00\x00
MID_ED2_#044	\x0E\x03\x02\x0E\x0Cディアマンド\nVater, sagt so etwas nicht.\x0E\x04\x00\x00
MID_ED2_#045	\x0E\x03\x02\x0C\nスタルーク\nIch...\x0E\x04\x02\x00
MID_ED2_#046	Ich werde es nicht dazu kommen lassen.\nIch werde Diamant bis zum bitteren Ende\nbeschützen.\x0E\x04\x00\x00
MID_ED2_#047	\x0E\x03\x02\x0E\x0Cディアマンド\nAlcryst...\x0E\x04\x00\x00
MID_ED2_#048	\x0E\x03\x02\x0A\x08モリオン\nHahaha, das ist mein Junge! Diamant, du\nkönntest dir von deinem Bruder eine Scheibe\nabschneiden.\x0E\x04\x02\x00
MID_ED2_#049	Furcht hat in meinem Königreich keinen Platz.\x0E\x04\x02\x00
MID_ED2_#050	Wer das Reich der Furcht betritt, verlässt das\nKönigreich Brodia.\x0E\x04\x00\x00
MID_ED2_#051	\x0E\x03\x02\x0E\x0Cディアマンド\n...\x0E\x04\x00\x00
MID_ED2_#052	\x0E\x03\x02\x0A\x08モリオン\nNun dann, auf zur Grenze!\x0E\x04\x00\x00
MID_ED2_#053	\x0E\x03\x02\x0E\x0Cディアマンド\nIch kann Euch von diesem Weg nicht abbringen.\nSo bleibt mir nur, ihn gemeinsam mit Euch zu\nbeschreiten.\x0E\x04\x02\x00
MID_ED2_#054	Kommt, alle miteinander. Zeigen wir Elusia,\nwarum wir das Königreich der Krieger genannt\nwerden.\x0E\x04\x00\x00
MID_ED2_#055	\x0E\x03\x02\x0A\x08モリオン\nHahaha, so ist es richtig! Dies wird nicht das\nletzte Mal sein, dass ich das Schloss sehe.\x0E\x04\x02\x00
MID_ED2_#056	Und wenn ich zurück bin, will ich mich mit\nunseren stärksten Kriegern duellieren. Das\nschließt Euch mit ein, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche!\x0E\x04\x00\x00
MID_ED2_#057	\x0E\x03\x02\x0A\x08リュール\nMich?\x0E\x04\x00\x00
MID_ED2_#058	\x0E\x03\x02\x0A\x08モリオン\nOh ja! Ich möchte sehen, wie Ihr Euch in einen\nmächtigen Drachen verwandelt. Wusch! Graaar!\x0E\x04\x00\x00
MID_ED2_#059	\x0E\x03\x02\x0A\x08リュール\nOh... Ach so.\x0E\x04\x00\x00
MID_ED2_#060	\x0E\x03\x02\x0A\x08モリオン\nWas ist los?\x0E\x04\x00\x00
MID_ED2_#061	\x0E\x03\x02\x0A\x08リュール\nEs ist nichts. Ihr habt recht. Ich könnte mich\nin einen mächtigen Drachen verwandeln.\x0E\x04\x00\x00
MID_ED2_#062	\x0E\x03\x02\x0A\x08モリオン\nHahaha! Ich kann es kaum erwarten!\x0E\x04\x00\x00
MID_ED2_#063	\x0E\x03\x02\x0E\x0Cディアマンド\nIch möchte mich ebenfalls im Kampf mit Euch\nmessen, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Nachdem Vater an der Reihe\nwar.\x0E\x04\x02\x00
MID_ED2_#064	Aber das kommt später. Jetzt ist es Zeit, dass\nwir uns auf die Reise zur Grenze vorbereiten.\x0E\x04\x00\x00
MID_ED2_#065	\x0E\x03\x02\x0A\x08モリオン\nSo ist es.\x0E\x04\x00\x00
MID_ED2_#066	\x0E\x03\x01\x0A\x08モリオン\n\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x01\x0C\nスタルーク\n\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x02\x00
MID_ED2_#067	Dieses Gerede, sich in einen Drachen zu ver-\nwandeln. Mutter konnte das... Kann ich es?\x0E\x04\x02\x00
MID_ED2_#068	Ich habe keine Ahnung, ob ich das kann. Oder\nwie ich das machen soll.\x0E\x04\x02\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x020\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x00& ブロディア兵士_ランスアーマー1\x024\n\x0E\x03\x00\x0E\x08モリオン\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x023\n\x0E\x03\x02\x0A\x08モリオン\nWir werden bald zurück sein. Bis dahin lege ich\nSchloss Brodia in die fähigen Hände der könig-\nlichen Wache.\x0E\x04\x00\x00
MID_ED3_#002	\x0E\x03\x02" ブロディア兵士_ランスアーマー1\nJa, Euer Majestät.\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x02\x0C\nザフィーア\nVerlasst Euch auf uns. Wir haben dieses Schloss\nschon seit vielen Jahren erfolgreich verteidigt,\nnicht wahr?\x0E\x04\x02\x00
MID_ED3_#004	Wir werden jetzt nicht nachlassen, nur weil Ihr\nmal nicht da seid.\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x02\x0A\x08モリオン\nExzellent. Und wenn wir zurückkehren, wird es\nein Festmahl zur Feier des Sieges für euch alle\ngeben!\x0E\x04\x00\x00
MID_ED3_#006	\x0E\x03\x02\x0C\nザフィーア\nEs wird uns eine Freude sein. Bis dahin,\nEuer Majestät.\x0E\x04\x00\x00
MID_ED3_#007	\x0E\x03\x02" ブロディア兵士_ランスアーマー1\nStarker Körper!\x0E\x04\x00\x00
MID_ED3_#008	\x0E\x03\x02\x0A\x08モリオン\nStarkes Herz!\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nAlso los. Zeit zum Aufbruch!\x0E\x04\x00\x00
MID_ED3_#010	\x0E\x03\x02\x0C\nスタルーク\nLos geht's...\x0E\x04\x00\x00
MID_ED3_#011	\x0E\x03\x01\x0A\x08モリオン\n\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x01\x0C\nザフィーア\n\x0E\x03\x01" ブロディア兵士_ランスアーマー1\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\nDie Verabschiedungen kommen offenbar\nzu einem Ende.\x0E\x04\x00\x00
MID_ED3_#012	\x0E\x03\x02\x0A\x08リュール\nJa. Auf zur Grenze.\x0E\x04\x00\x00
