MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06セピア\x021\n\x0E\x03\x02\x08\x06セピア\nSu un campo di battaglia lontano da tutto ciò\nche conosci, riuscirai a mostrare il tuo coraggio?\x0E\x04\x02\x00
MID_BT7_#005	\x0E\x05\x01 \x12E002_Boss\nAngry\nEliminerò ogni traccia di te, non resterà\nneanche il tuo corpo. Ti libererò da ogni catena.\x0E\x04\x00\x00
MID_BT8_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01&\x12E002_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E002_Boss\nBoucheron?! Anche tu sei un'aberrazione?\x0E\x04\x02\x00
MID_BT8_#002	\x0E\x05\x01\x1E\x12E002_Boss\x08Pain\nNon sai cosa avrei dato per vederti ancora\nsul campo di battaglia... ma non così...\x0E\x04\x00\x00
MID_BT8_#003	\x0E\x03\x00\x10\nブシュロン\x02t\n\x0E\x05\x01\x14\nブシュロン\x06Sad\n\x0E\x03\x02\x0C\nブシュロン\nPrincipe Alfred... State dicendo che in questo\nmondo sono...?\x0E\x04\x00\x00
MID_BT8_#004	\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\nSei morto per difendermi. E ora mi vedo\ncostretto a ucciderti con le mie stesse mani?\nNel e Nil, siate maledetti!\x0E\x04\x02\x00
MID_BT8_#005	Sei un'aberrazione, ma spero che le mie parole\nti giungano ugualmente. Sei stato un ottimo\namico.\x0E\x04\x00\x00
MID_BT8_#006	\x0E\x03\x02\x0C\nブシュロン\nSono sicuro che la mia controparte di questo\nmondo sarebbe felice delle vostre parole...\x0E\x04\x00\x00
MID_BT9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Boss\x02b\n\x0E\x05\x01\x1E\x12E002_Boss\x08Pain\n\x0E\x03\x02\x14\x12E002_Boss\nEtie! Prima il Drago Divino, e ora anche tu.\nCome mai continuano ad apparire tutti quelli\na me più cari?\x0E\x04\x02\x00
MID_BT9_#002	\x0E\x05\x01\x1C\x12E002_Boss\x06Sad\nNon riuscivo neanche a guardare la corona\ndi fiori che ti ho offerto. Era troppo doloroso.\x0E\x04\x00\x00
MID_BT9_#003	\x0E\x03\x00\x10\nエーティエ\x02t\n\x0E\x05\x01\x14\nエーティエ\x06Sad\n\x0E\x03\x02\x0C\nエーティエ\nPerdonatemi. Ero la vostra attendente, avrei\ndovuto rimanere a proteggervi fino alla fine.\x0E\x04\x02\x00
MID_BT9_#004	\x0E\x05\x01\x18\nエーティエ\nAngry\nCapisco che per voi non sia facile trovarvi\ndavanti a me. Non perdiamo tempo. Mettiamo\nfine alla battaglia, così potrò lasciarvi in pace.\x0E\x04\x00\x00
MID_BT9_#005	\x0E\x05\x01 \x12E002_Boss\nAngry\n\x0E\x03\x02\x14\x12E002_Boss\nEtie, forte e nobile attendente... Riposa in pace...\x0E\x04\x00\x00
MID_BT10_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08セリーヌ\x02t\n\x0E\x05\x01\x16\x08セリーヌ\nAngry\n\x0E\x03\x02\x0A\x08セリーヌ\nInvadere la Brodia... Che idea senza senso.\nApri gli occhi, Céline!\x0E\x04\x00\x00
MID_BT10_#002	\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01&\x12E002_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E002_Hide\nDi cosa parli? Ma tu... sei me?! Cos'è? Un altro\ntrucco di quei Draghi Maligni?\x0E\x04\x02\x00
MID_BT10_#003	\x0E\x05\x01 \x12E002_Hide\nAngry\nLe tue suppliche non mi tangono. Per il bene\ndel mio popolo, ti farò evaporare come rugiada\nal sole!\x0E\x04\x00\x00
MID_BT10_#004	\x0E\x03\x02\x0A\x08セリーヌ\nL'unica cosa a evaporare saranno i tuoi piani.\nRifletti su quello che stai facendo.\x0E\x04\x02\x00
MID_BT10_#005	La pace non si ottiene con la guerra.\x0E\x04\x00\x00
MID_BT11_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01"\x12E002_Hide\x0CStrike\n\x0E\x03\x02\x14\x12E002_Hide\nHanno creato un'aberrazione somigliante ad\nAlfred? Che bassezza!\x0E\x04\x00\x00
MID_BT12_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01 \x12E002_Hide\nAngry\n\x0E\x03\x02\x14\x12E002_Hide\nNon ho pietà per le aberrazioni, neanche se si\ntratta di te. Anzi, ho sempre voluto affrontarti.\x0E\x04\x00\x00
MID_BT12_#002	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nCome mai vorresti affrontarmi?\x0E\x04\x00\x00
MID_BT12_#003	\x0E\x05\x01\x1C\x12E002_Hide\x06Die\n\x0E\x03\x02\x14\x12E002_Hide\nQuando combattevamo nella stessa armata,\nsarebbe stato impensabile anche solo desiderare\nuna lotta all'ultimo sangue.\x0E\x04\x02\x00
MID_BT12_#004	\x0E\x05\x01 \x12E002_Hide\nSmile\nOra, però, posso soddisfare la mia curiosità su\nchi sia più forte tra di noi. Che gioia! Cadrai\ncome un bel fiore!\x0E\x04\x00\x00
MID_BT13_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01"\x12E002_Hide\x0CStatus\n\x0E\x03\x02\x14\x12E002_Hide\nNon è facile trovarmi di fronte al mio vecchio\nattendente. È come se fossi tornato in vita.\x0E\x04\x00\x00
MID_BT13_#002	\x0E\x03\x00\x0A\x04ルイ\x02t\n\x0E\x05\x01\x0E\x04ルイ\x06Sad\n\x0E\x03\x02\x06\x04ルイ\nContavo di tenermi a distanza e osservarvi da\nlontano, ma in battaglia non è sempre possibile.\x0E\x04\x00\x00
MID_BT13_#003	\x0E\x05\x01\x1C\x12E002_Hide\x06Sad\n\x0E\x03\x02\x14\x12E002_Hide\nRicordi quel tè che mi preparavi sempre? Non\nsono più riuscita a berlo da quando non ci sei.\x0E\x04\x02\x00
MID_BT13_#004	La gioia che provavo all'epoca è solo un ricordo\nsbiadito. Potresti farmela provare ancora una\nvolta, prima di tornare al tuo sonno eterno?\x0E\x04\x00\x00
MID_BT13_#005	\x0E\x03\x02\x06\x04ルイ\nVorrei potervi dire di sì... ma non ne ho il diritto,\nprincipessa Céline...\x0E\x04\x00\x00
MID_BT14_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01&\x12E002_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E002_Hide\nChloé, sei tu? Hai scoperto qualcosa nel giro\ndi ricognizione?\x0E\x04\x00\x00
MID_BT14_#002	\x0E\x03\x00\x0C\x06クロエ\x02t\n\x0E\x05\x01&\x12E002_Hide\x10Surprise\n\x0E\x05\x01\x10\x06クロエ\x06Sad\n\x0E\x03\x02\x08\x06クロエ\nRicognizione... A cosa vi riferite?\x0E\x04\x00\x00
MID_BT14_#003	\x0E\x05\x01$\x12E002_Hide\x0ESerious\n\x0E\x03\x02\x14\x12E002_Hide\nTutto chiaro... la tua risposta parla da sé.\nSei un'aberrazione. Significa che sei morta.\x0E\x04\x02\x00
MID_BT14_#004	\x0E\x05\x01\x1A\x06クロエ\x10Surprise\nChloé non tornerà mai dalla sua spedizione.\nHo continuato a sperare invano che fosse\nancora viva!\x0E\x04\x02\x00
MID_BT14_#005	\x0E\x05\x01\x10\x06クロエ\x06Sad\n\x0E\x05\x01$\x12E002_Hide\x0EStandBy\nApprendere della tua morte dai figli del Drago\nMaligno è ancora più doloroso. Che tragedia\nvederti così!\x0E\x04\x00\x00
MID_BT14_#006	\x0E\x03\x02\x08\x06クロエ\nP-Principessa Céline... Mi dispiace. Ma magari\nc'è ancora speranza...\x0E\x04\x02\x00
MID_BT14_#007	\x0E\x05\x01\x18\x06クロエ\x0ESerious\nNo. Non posso illudervi. La realtà va affrontata.\x0E\x04\x00\x00
MID_BT15_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E002_Hide\x02b\n\x0E\x05\x01\x1E\x12E002_Hide\x08Pain\n\x0E\x03\x02\x14\x12E002_Hide\nEtie... Me lo sentivo che ti avrei trovata qui.\x0E\x04\x00\x00
MID_BT15_#002	\x0E\x03\x00\x10\nエーティエ\x02t\n\x0E\x05\x01\x14\nエーティエ\x06Sad\n\x0E\x03\x02\x0C\nエーティエ\nA essere sincera, avrei preferito non incontrarvi.\x0E\x04\x00\x00
MID_BT15_#003	\x0E\x03\x02\x14\x12E002_Hide\nAnch'io. Perché incontrarti significa che sarò\ncostretta a ucciderti. Mia cara amica...\x0E\x04\x02\x00
MID_BT15_#004	\x0E\x05\x01\x1C\x12E002_Hide\x06Sad\nVorrei bere un tè assieme, un'ultima volta...\nFacciamola finita, prima che cambi idea.\x0E\x04\x00\x00
MID_BT15_#005	\x0E\x05\x01\x1C\nエーティエ\x0EStandBy\n\x0E\x03\x02\x0C\nエーティエ\nGià... Se continuiamo a parlare, potrei\ndimenticare che siete in realtà una sconosciuta.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE002_エル\x022\n\x0E\x03\x00\x1A\x14E002_敵ヘクトル\x023\n\x0E\x06\x00.\x14E002_敵ヘクトル\x16MPID_Hector\n\x0E\x03\x02\x0A\x08リュール\nEccolo. Il bracciale del Generale Audace.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x10\x0EE002_エル\nAl suo interno vi è racchiuso l'emblema Hector,\nun valoroso condottiero che incarna lo spirito\ncombattivo del Firene.\x0E\x04\x02\x00
MID_ED1_#003	Un tempo era ardito e valente, ma ora è\ncorrotto dal male, stando a quanto ci ha riferito\nZelestia.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x0A\x08リュール\nVorrei tanto poterlo evocare e dargli una nuova\nopportunità.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x10\x0EE002_エル\nNon ha senso dispiacersi per qualcosa su cui\nnon abbiamo il controllo. Lo metterò subito\na dormire.\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0A\x08リュール\nRiposati, emblema Hector.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x16\x14E002_敵ヘクトル\nGrazie...\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x10\x0EE002_エル\nAnche questo emblema parla!\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x16\x14E002_敵ヘクトル\nÈ un peccato dovermi addormentare così\npresto, ma non tutti i mali vengono per nuocere.\x0E\x04\x02\x00
MID_ED1_#010	Spero che avremo occasione di lottare\nassieme... un giorno...\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x0A\x08リュール\nNe sono cert\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x00\x18\x12E002_Boss\x024\n\x0E\x03\x02\x14\x12E002_Boss\nHai messo a dormire il generale, vedo.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nRe Alfred, ti prego. Annulla l'invasione.\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x14\x12E002_Boss\nSenza bracciale, non ho altra scelta.\x0E\x04\x02\x00
MID_ED1_#015	Quindi... vieni davvero da un altro mondo, come\nha detto Nil?\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x0A\x08リュール\nSì, proprio così.\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x02\x14\x12E002_Boss\nSuppongo che abbia senso. Il nostro Drago\nDivino non ci avrebbe mai strappato via il\nbracciale con la forza.\x0E\x04\x02\x00
MID_ED1_#018	Si sarebbe alleato con noi... o, se non altro, ci\navrebbe trattati un po' meglio.\x0E\x04\x02\x00
MID_ED1_#019	È evidente che non siete la stessa persona.\x0E\x04\x00\x00
MID_ED1_#020	\x0E\x03\x00\x18\x12E002_Hide\x023\n\x0E\x03\x02\x14\x12E002_Hide\nAlfred...\x0E\x04\x00\x00
MID_ED1_#021	\x0E\x03\x02\x14\x12E002_Boss\nMi fa piacere averti incontrat\x0E\x0A\x00\x08\x02o\x02a, nonostante tutto.\x0E\x04\x02\x00
MID_ED1_#022	Anche se non appartieni a questo mondo, sento\nche il tuo cuore è quello del Drago Divino.\x0E\x04\x02\x00
MID_ED1_#023	Perdonami ancora per prima. Ero davvero\nconvinto che fossi un'aberrazione.\x0E\x04\x00\x00
MID_ED1_#024	\x0E\x03\x02\x14\x12E002_Hide\nDa parte mia, devo delle scuse a Nel e Nil.\x0E\x04\x02\x00
MID_ED1_#025	Vi ho insultati, associandovi a Sombron.\nNon siete da biasimare per le sue azioni.\x0E\x04\x02\x00
MID_ED1_#026	Mi pento di aver perso il contegno in quel modo.\x0E\x04\x00\x00
MID_ED1_#027	\x0E\x03\x02\x10\x0EE002_エル\nScuse accettate.\x0E\x04\x00\x00
MID_ED1_#028	\x0E\x03\x00\x14\x0EE002_イル\x023\n\x0E\x03\x02\x10\x0EE002_イル\nTi capiamo, siamo ancora tutti scossi per la\nperdita del nostro beneamato Drago Divino.\x0E\x04\x00\x00
MID_ED1_#029	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_ED1_#030	\x0E\x03\x02\x14\x12E002_Boss\nEhi, ho avuto un'idea. Perché non ci portate\ncon voi?\x0E\x04\x02\x00
MID_ED1_#031	Qualche muscolo in più può farvi comodo\nper recuperare gli altri bracciali.\x0E\x04\x00\x00
MID_ED1_#032	\x0E\x03\x00\x18\x12E002_Hide\x023\n\x0E\x03\x02\x14\x12E002_Hide\nSì, ottima idea! Potrebbero venire anche i miei\ncavalieri, sono già pronti e schierati.\x0E\x04\x00\x00
MID_ED1_#033	\x0E\x03\x02\x0A\x08リュール\nMa certo. Sarebbe di conforto avere anche voi\nal nostro fianco.\x0E\x04\x00\x00
MID_ED1_#034	\x0E\x03\x02\x10\x0EE002_エル\nAhimè, non è possibile.\x0E\x04\x00\x00
MID_ED1_#035	\x0E\x03\x02\x0A\x08リュール\nEh? Perché mai?\x0E\x04\x00\x00
MID_ED1_#036	\x0E\x03\x02\x10\x0EE002_エル\nÈ fuori questione. Senza contare che la scelta\nnon spetta a te, Drago Divino.\x0E\x04\x02\x00
MID_ED1_#037	Ti abbiamo evocat\x0E\x0A\x00\x08\x02o\x02a per aiutarci, ma questo\nnon è il tuo esercito.\x0E\x04\x02\x00
MID_ED1_#038	Non so quale autorità tu vanti nel tuo mondo,\nma sappi che qui non conta.\x0E\x04\x00\x00
MID_ED1_#039	\x0E\x03\x02\x0A\x08リュール\nD'accordo... Scusatemi.\x0E\x04\x00\x00
MID_ED1_#040	\x0E\x03\x00\x14\x0EE002_イル\x023\n\x0E\x03\x02\x10\x0EE002_イル\nScusaci tu, Drago Divino. Nel è stata brusca,\nma ha ragione.\x0E\x04\x02\x00
MID_ED1_#041	Anch'io mi oppongo. Non voglio che i firenesi\nsi uniscano a noi.\x0E\x04\x00\x00
MID_ED1_#042	\x0E\x03\x02\x14\x12E002_Boss\nCosa volete che vi dica? Devo implorarvi, per\ncaso?\x0E\x04\x02\x00
MID_ED1_#043	Voglio farmi perdonare per il trattamento che\nvi ho riservato prima.\x0E\x04\x02\x00
MID_ED1_#044	Lasciatemi venire con voi, vi proteggerò.\x0E\x04\x00\x00
MID_ED1_#045	\x0E\x03\x02\x10\x0EE002_エル\nIl campo di battaglia non è un luogo adatto a un\nre.\x0E\x04\x02\x00
MID_ED1_#046	Un sovrano deve vegliare sul suo popolo.\x0E\x04\x00\x00
MID_ED1_#047	\x0E\x03\x02\x10\x0EE002_イル\nPensa a cosa succederebbe al tuo regno\nse venissi a mancare.\x0E\x04\x02\x00
MID_ED1_#048	Il Firene rimarrebbe senza una guida, e\nanche senza un erede al trono.\x0E\x04\x00\x00
MID_ED1_#049	\x0E\x03\x02\x14\x12E002_Boss\nLasciate almeno che vengano Céline e i suoi\ncavalieri.\x0E\x04\x00\x00
MID_ED1_#050	\x0E\x03\x02\x10\x0EE002_エル\nLa sorella del re non è meno indispensabile di\nlui. Inoltre, i cavalieri devono difendere il\ncastello.\x0E\x04\x02\x00
MID_ED1_#051	Se la vostra intenzione è farvi perdonare, il\nmodo migliore è dare la priorità ai vostri\ninteressi.\x0E\x04\x00\x00
MID_ED1_#052	\x0E\x03\x02\x14\x12E002_Boss\nD'accordo.\x0E\x04\x00\x00
MID_ED1_#053	\x0E\x03\x00\x18\x12E002_Hide\x024\n\x0E\x03\x02\x14\x12E002_Hide\nSe è quello che vuoi, lo accetteremo. Possiamo\ntenere il nostro bracciale qui in Firene?\x0E\x04\x00\x00
MID_ED1_#054	\x0E\x03\x02\x10\x0EE002_エル\nPerché dovreste?\x0E\x04\x00\x00
MID_ED1_#055	\x0E\x03\x02\x14\x12E002_Hide\nTi prometto che non ne faremo cattivo uso. E\ncome sai, non possiamo risvegliare gli emblemi\ndal loro sonno.\x0E\x04\x02\x00
MID_ED1_#056	Se davvero il nemico vuole riunire i bracciali,\nnon è più saggio tenerli separati?\x0E\x04\x00\x00
MID_ED1_#057	\x0E\x03\x02\x10\x0EE002_エル\nSarebbe logico, se non fosse che il nostro\nnemico con molta probabilità possiede il potere\ndi risvegliare gli emblemi.\x0E\x04\x02\x00
MID_ED1_#058	In questo caso, il sonno degli emblemi diventa\nun dettaglio irrilevante.\x0E\x04\x02\x00
MID_ED1_#059	Se venisse risvegliato, il Generale Audace\npotrebbe scatenare il caos.\x0E\x04\x00\x00
MID_ED1_#060	\x0E\x03\x02\x14\x12E002_Hide\nMmmh...\x0E\x04\x00\x00
MID_ED1_#061	\x0E\x03\x00\x18\x12E002_Boss\x024\n\x0E\x03\x02\x14\x12E002_Boss\nAllora è meglio che gli emblemi restino in mano\nvostra, visto che potete rimetterli a dormire. È la\nscelta più sensata.\x0E\x04\x00\x00
MID_ED1_#062	\x0E\x03\x02\x10\x0EE002_エル\nGrazie per la comprensione.\x0E\x04\x00\x00
MID_ED1_#063	\x0E\x03\x02\x14\x12E002_Boss\nNon c'è altro da discutere, allora. Torneremo\nalla corte e vi lasceremo il bracciale.\x0E\x04\x02\x00
MID_ED1_#064	Mi dispiace cederlo così, ma so che è in buone\nmani.\x0E\x04\x02\x00
MID_ED1_#065	Un'ultima cosa... Drago Divino...\x0E\x04\x00\x00
MID_ED1_#066	\x0E\x03\x02\x0A\x08リュール\nSì?\x0E\x04\x00\x00
MID_ED1_#067	\x0E\x03\x02\x14\x12E002_Boss\nLa parte più difficile è doverti dire addio.\x0E\x04\x02\x00
MID_ED1_#068	Sono contento di averti di nuovo tra di noi.\nPerderti è stato... devastante.\x0E\x04\x00\x00
MID_ED1_#069	\x0E\x03\x02\x0A\x08リュール\nOh. Alfred...\x0E\x04\x02\x00
MID_ED1_#070	Non sono lo stesso Drago Divino del vostro\nmondo, ricordi? Te lo ha già spiegato Nil...\x0E\x04\x00\x00
MID_ED1_#071	\x0E\x03\x02\x14\x12E002_Boss\nAh, è vero! Che sbadato.\x0E\x04\x02\x00
MID_ED1_#072	Le responsabilità del mio nuovo ruolo di\nsovrano devono avermi sovraccaricato di\nfatiche.\x0E\x04\x02\x00
MID_ED1_#073	La sbadataggine non è un tratto consono a un\nre. Se non farò più attenzione, i sudditi\ncominceranno a mormorare.\x0E\x04\x00\x00
MID_ED1_#074	\x0E\x03\x00\x18\x12E002_Hide\x024\n\x0E\x03\x02\x14\x12E002_Hide\nStai tranquillo, Alfred. Ti aiuterò io. Torniamo\nal castello, così potrai riposarti un po', va bene?\x0E\x04\x02\x00
MID_ED1_#075	Io comincerò a stendere qualche piano per\nrestaurare l'economia del Firene senza ricorrere\na guerre o conflitti.\x0E\x04\x02\x00
MID_ED1_#076	E voi... promettete di venirci a trovare, una volta\nche avrete portato a termine la vostra missione.\x0E\x04\x00\x00
MID_ED1_#077	\x0E\x03\x00\x18\x12E002_Boss\x024\n\x0E\x03\x02\x14\x12E002_Boss\nGiusto. Buona fortuna.\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE002_エル\x022\n\x0E\x03\x00\x14\x0EE002_イル\x023\n\x0E\x03\x00\x1C\x16E002_セレスティア\x024\n\x0E\x03\x02\x0A\x08リュール\nCome vi è sembrato Alfred? Si comportava\nin maniera piuttosto strana.\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x10\x0EE002_イル\nForse era spaventato. Mia sorella fa questo\neffetto sulla gente, quando si arrabbia.\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x10\x0EE002_エル\nNon ero arrabbiata.\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x0A\x08リュール\nNil non ha tutti i torti. Hai avuto dei toni un po'\nbruschi.\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x10\x0EE002_エル\nHo solo rifiutato la loro offerta di aiuto per\nprincipio. Non avevi alcun diritto di invitarli a\nunirsi a noi.\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x0A\x08リュール\nTi ho già chiesto scusa per quello, no?\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x18\x16E002_セレスティア\nEhm... lord Nil? Cosa succede tra quest\x0E\x0A\x00\x08\x02i\x02e due?\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x02\x10\x0EE002_イル\nC'è un po' di tensione tra loro, fin dall'inizio,\ne ora sta diventando un problema.\x0E\x04\x02\x00
MID_ED2_#009	Ho provato a farl\x0E\x0A\x00\x08\x02i\x02e andare d'accordo, ma senza\nsuccesso.\x0E\x04\x00\x00
MID_ED2_#010	\x0E\x03\x02\x18\x16E002_セレスティア\nForse è difficile accettare che non è la stessa\npersona che conoscevamo. È stata una\nsorpresa per tutti.\x0E\x04\x02\x00
MID_ED2_#011	In passato, lady Nel era...\x0E\x04\x00\x00
MID_ED2_#012	\x0E\x03\x02\x10\x0EE002_エル\nGuardate che vi sento.\x0E\x04\x00\x00
MID_ED2_#013	\x0E\x03\x02\x18\x16E002_セレスティア\nOps... chiedo scusa.\x0E\x04\x00\x00
MID_ED2_#014	\x0E\x03\x02\x0A\x08リュール\nAlmeno questa volta non c'erano assassini.\x0E\x04\x02\x00
MID_ED2_#015	Non credo che ce l'avrei fatta. È stato già\nabbastanza difficile dover affrontare Alfred\ne Céline.\x0E\x04\x00\x00
MID_ED2_#016	\x0E\x03\x02\x10\x0EE002_イル\nCiò non toglie che potrebbero apparire\nancora. Stiamo in guardia.\x0E\x04\x00\x00
MID_ED2_#017	\x0E\x03\x02\x0A\x08リュール\nCredete che i nostri nemici siano due gemelli?\x0E\x04\x00\x00
MID_ED2_#018	\x0E\x03\x02\x10\x0EE002_イル\nIn che senso?\x0E\x04\x00\x00
MID_ED2_#019	\x0E\x03\x02\x0A\x08リュール\nIn Lythos, Nel ha detto che i Draghi Maligni\nnascono a coppie di gemelli.\x0E\x04\x02\x00
MID_ED2_#020	Era solo un'ipotesi.\x0E\x04\x00\x00
MID_ED2_#021	\x0E\x03\x02\x10\x0EE002_エル\nÈ possibile, in effetti.\x0E\x04\x02\x00
MID_ED2_#022	Tuttavia, quasi tutti i figli del Drago Maligno\nperdono il proprio gemello prima dell'età adulta.\x0E\x04\x02\x00
MID_ED2_#023	Quindi, la tua ipotesi è poco probabile.\x0E\x04\x00\x00
MID_ED2_#024	\x0E\x03\x02\x0A\x08リュール\nAspetta... Hai detto che perdono il proprio\ngemello?\x0E\x04\x00\x00
MID_ED2_#025	\x0E\x03\x02\x18\x16E002_セレスティア\nNon conoscevo questo dettaglio.\x0E\x04\x02\x00
MID_ED2_#026	Lady Nel, lord Nil, voi siete ancora insieme.\x0E\x04\x00\x00
MID_ED2_#027	\x0E\x03\x02\x10\x0EE002_イル\nLa nostra è un'eccezione fortunata, e lo\nsappiamo bene.\x0E\x04\x00\x00
MID_ED2_#028	\x0E\x03\x02\x18\x16E002_セレスティア\nSono contenta che non sia toccato anche a voi.\nSarebbe stato terribile perdere la propria metà.\x0E\x04\x00\x00
MID_ED2_#029	\x0E\x03\x02\x10\x0EE002_イル\nAhah, che gentile.\x0E\x04\x00\x00
MID_ED2_#030	\x0E\x03\x02\x10\x0EE002_エル\nLe speculazioni campate in aria lasciano il\ntempo che trovano. Pensiamo alla prossima\nmissione: recuperare il bracciale della Brodia.\x0E\x04\x00\x00
MID_ED2_#031	\x0E\x03\x02\x0A\x08リュール\nMolto bene. La Brodia del vostro mondo...\nchissà che posto sarà.\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x09\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04イル\x022\n\x0E\x03\x02\x06\x04エル\nOgni giorno che passa, perdiamo qualcuno dei\nnostri fratelli.\x0E\x04\x02\x00
MID_ED3_#002	Le coppie di gemelli come la nostra sono\nsempre più rare.\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x02\x06\x04イル\nLi sento minacciarsi di morte a vicenda.\x0E\x04\x02\x00
MID_ED3_#004	Si accusano di debolezza e deridono i gemelli\nche non si sono ancora ammazzati tra di loro.\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x02\x06\x04エル\nChe brutto.\x0E\x04\x00\x00
MID_ED3_#006	\x0E\x03\x02\x06\x04イル\nIo sarò il prossimo, me lo sento.\x0E\x04\x02\x00
MID_ED3_#007	Uno di questi giorni verranno a cercarmi.\nDebole come sono, sarò una preda facile.\x0E\x04\x00\x00
MID_ED3_#008	\x0E\x03\x02\x06\x04エル\nNon dirlo neanche per scherzo.\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x02\x06\x04イル\nÈ la pura verità.\x0E\x04\x02\x00
MID_ED3_#010	Altri ben più forti di me sono già morti. E loro\nerano più utili di me a nostro padre.\x0E\x04\x02\x00
MID_ED3_#011	Magari non succederà domani, ma è solo\nquestione di tempo.\x0E\x04\x02\x00
MID_ED3_#012	Ho tanta paura.\x0E\x04\x00\x00
MID_ED3_#013	\x0E\x03\x02\x06\x04エル\nNil.\x0E\x04\x02\x00
MID_ED3_#014	Ora ascoltami.\x0E\x04\x02\x00
MID_ED3_#015	Io ti proteggerò a qualunque costo. Te lo giuro.\x0E\x04\x00\x00
