MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nChe strano... Non è da molto che combattiamo\nassieme, eppure sento che ci capiamo.\x0E\x04\x00\x00
MID_GR_Lapis_C_#002	\x0E\x03\x02\x08\x06ラピス\nTutto merito delle lotte contro gli orsi. Sei forte\nanche tu. Contro che orsi ti sei battuto?\x0E\x04\x00\x00
MID_GR_Lapis_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06ラピス\nPer uno forte come te, è facile usurare\nl'equipaggiamento durante l'allenamento.\nDovrei costruire qualcosa di più robusto.\x0E\x04\x00\x00
MID_GR_Lapis_B_#002	\x0E\x03\x02\x08\x06クロム\nSarebbe fantastico. Quelli a cui presto la mia\nforza finiscono sempre col rompere qualche\nmuro. Potresti costruire muri più resistenti.\x0E\x04\x00\x00
MID_GR_Lapis_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06ラピス\nHai due sorelle, vero? Sei diventato così forte\nper proteggerle?\x0E\x04\x00\x00
MID_GR_Lapis_A_#002	\x0E\x03\x02\x08\x06クロム\nSì. Mi allenavo e combattevo una battaglia dopo\nl'altra per proteggere le mie sorelle e i miei\namici.\x0E\x04\x00\x00
MID_GR_Lapis_A_#003	\x0E\x03\x02\x08\x06ラピス\nLa famiglia e gli amici... Forse dovrei allenarmi\nancora di più per proteggere tutti, proprio come\nfacesti tu.\x0E\x04\x00\x00
MID_GR_Lapis_A_#004	\x0E\x03\x02\x08\x06クロム\nPossiedi già forza a sufficienza per sconfiggere\ndegli orsi. Ma, se vuoi, posso allenarti come\nfacevo con i miei Pastori.\x0E\x04\x00\x00
MID_GR_Citrinica_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nLe tue risorse finanziarie sono impressionanti.\nBasterebbero a rimborsare tutti i danni che ho\nfatto alle pareti.\x0E\x04\x00\x00
MID_GR_Citrinica_C_#002	\x0E\x03\x02\x0C\nシトリニカ\nSe la tua preoccupazione sono i muri fragili,\npotrei far costruire muri di diamante.\x0E\x04\x00\x00
MID_GR_Citrinica_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nTempismo perfetto, stavo proprio per iniziare\nl'allenamento. In due è più efficace. Vuoi\npartecipare anche tu?\x0E\x04\x00\x00
MID_GR_Citrinica_B_#002	\x0E\x03\x02\x0C\nシトリニカ\nNe sarei onorata! Vorrei proprio affinare le mie\nabilità.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nシトリニカ\nHo due fratelli maggiori, entrambi molto\nprotettivi nei miei confronti. Tu avevi una\nsorella più giovane. Com'era?\x0E\x04\x00\x00
MID_GR_Citrinica_A_#002	\x0E\x03\x02\x08\x06クロム\nPiuttosto birichina e molto scatenata. Non era\ncomposta come te.\x0E\x04\x00\x00
MID_GR_Citrinica_A_#003	\x0E\x03\x02\x0C\nシトリニカ\nIl tuo sguardo tenero non mi inganna, però.\nSi capisce che tieni molto a lei. Chissà se\nanche i miei fratelli pensano a me...\x0E\x04\x00\x00
MID_GR_Citrinica_A_#004	\x0E\x03\x02\x08\x06クロム\nNon ne dubito. Te lo diranno quando li vedrai.\nNel mentre, ti terrò compagnia io.\x0E\x04\x00\x00
MID_GR_Ivy_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nAmmiro il tuo contegno, Ivy. Sento che imparerò\nmolto da te.\x0E\x04\x00\x00
MID_GR_Ivy_C_#002	\x0E\x03\x02\x0A\x08アイビー\nGrazie, Chrom. La mia prima impressione di te\nsi è dimostrata erronea, per fortuna.\x0E\x04\x00\x00
MID_GR_Ivy_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08アイビー\nDevo essere forte, per il bene dell'Elusia e del\nmio defunto padre.\x0E\x04\x00\x00
MID_GR_Ivy_B_#002	\x0E\x03\x02\x08\x06クロム\nHai avuto lutti in famiglia, vero? So come ci si\nsente. Non metterti fretta, Ivy. Ci vuole tempo\nper superare il dolore.\x0E\x04\x00\x00
MID_GR_Ivy_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08アイビー\nDato che sei così gentile da farmi da spalla,\navrei qualcosa da confidarti. Ho il terrore dei\nfantasmi.\x0E\x04\x00\x00
MID_GR_Ivy_A_#002	\x0E\x03\x02\x08\x06クロム\nFantasmi? Questa proprio non me l'aspettavo.\x0E\x04\x00\x00
MID_GR_Ivy_A_#003	\x0E\x03\x02\x0A\x08アイビー\nEbbene sì. Quindi, nella remota ipotesi che ci\nimbattessimo in uno spirito irrequieto sul campo\ndi battaglia...\x0E\x04\x00\x00
MID_GR_Ivy_A_#004	\x0E\x03\x02\x08\x06クロム\nNon temere, Ivy. Chiunque ti minacci dovrà\nvedersela con me.\x0E\x04\x00\x00
MID_GR_Zelkova_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nTi pregherei di non distrarmi, Chrom. Ho delle\nimportanti *faccende* a cui dedicarmi.\x0E\x04\x00\x00
MID_GR_Zelkova_C_#002	\x0E\x03\x02\x08\x06クロム\nNessun problema. Ne approfitterò per allenarmi\nun po', nel frattempo.\x0E\x04\x00\x00
MID_GR_Zelkova_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nParlami ancora di questi *Pastori* di cui eri a\ncapo. Mi affascina l'argomento.\x0E\x04\x00\x00
MID_GR_Zelkova_B_#002	\x0E\x03\x02\x08\x06クロム\nÈ una lunga storia, ma mi fa piacere\nraccontartela quando hai tempo.\x0E\x04\x00\x00
MID_GR_Zelkova_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nSe posso permettermi... Come riuscisti a\nmantenere l'ottimismo anche dopo una guerra\ncosì *orribile*?\x0E\x04\x00\x00
MID_GR_Zelkova_A_#002	\x0E\x03\x02\x08\x06クロム\nFu il sogno della pace a guidarmi. Lo stesso\nsogno che ora ho per l'Elyos.\x0E\x04\x00\x00
MID_GR_Zelkova_A_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nUn sogno, eh? Davvero *curioso* come\nconcetto. Forse un sogno è proprio ciò che mi\nserve.\x0E\x04\x00\x00
MID_GR_Zelkova_A_#004	\x0E\x03\x02\x08\x06クロム\nSe le cose stanno così, farò il possibile per\naiutarti a trovarne uno.\x0E\x04\x00\x00
MID_GR_Kagetsu_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06カゲツ\nChrom! Sei uno spadaccino dalla tecnica\nimpeccabile e dalle buone maniere. Non mi\nstupisco che il nostro sia un legame forte!\x0E\x04\x00\x00
MID_GR_Kagetsu_C_#002	\x0E\x03\x02\x08\x06クロム\nNon mi ero accorto che il nostro legame fosse\ndiventato così forte, ma ti ringrazio.\x0E\x04\x00\x00
MID_GR_Kagetsu_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06カゲツ\nDimmi qualcosa del tuo gruppo di pastorelli.\nC'era qualche spadaccino alla mia altezza?\x0E\x04\x00\x00
MID_GR_Kagetsu_B_#002	\x0E\x03\x02\x08\x06クロム\nCe n'era uno, sì. Un brav'uomo, ma un po'\ngrezzo. Ti sarebbe piaciuto, secondo me.\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06カゲツ\nLa tua spada è qualcosa di eccezionale, Chrom.\nCome si chiama?\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#002	\x0E\x03\x02\x08\x06クロム\nFalchion. Mi ha accompagnato in numerose\nbattaglie.\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#003	\x0E\x03\x02\x08\x06カゲツ\nMa allora avete un forte legame! Dai, fammi\nvedere cosa riesci a fare con Falchion.\x0E\x04\x00\x00
MID_GR_Kagetsu_A_#004	\x0E\x03\x02\x08\x06クロム\nAvevo proprio voglia di un po' di movimento.\nBada bene, Kagetsu, te la sei cercata tu!\x0E\x04\x00\x00
MID_GR_Hortensia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nCos'è quel segno che hai sulla spalla, Chrom?\nVa di moda nel tuo mondo?\x0E\x04\x00\x00
MID_GR_Hortensia_C_#002	\x0E\x03\x02\x08\x06クロム\nIl marchio degli Eletti è un marchio di sangue.\nForse un po' come il segno sulla tua guancia?\x0E\x04\x00\x00
MID_GR_Hortensia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nMi chiedevi del cuore che ho sulla guancia.\nNon è un marchio, è solo un ornamento che\nmi piace.\x0E\x04\x00\x00
MID_GR_Hortensia_B_#002	\x0E\x03\x02\x08\x06クロム\nAh, davvero? In effetti ti sta bene. Chissà quali\nsimboli sceglierebbero i miei amici...\x0E\x04\x00\x00
MID_GR_Hortensia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cオルテンシア\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cオルテンシア\nNonostante l'aspetto minaccioso, sei simpatico.\nScommetto che eri molto popolare nel tuo\nmondo.\x0E\x04\x00\x00
MID_GR_Hortensia_A_#002	\x0E\x03\x02\x08\x06クロム\nSaresti stata bene nei Pastori. Ci avrebbe fatto\ncomodo il tuo spirito di osservazione.\x0E\x04\x00\x00
MID_GR_Hortensia_A_#003	\x0E\x03\x02\x0E\x0Cオルテンシア\nVediamo... Ti immagino felicemente sposato\ne con un figlio... o magari due.\x0E\x04\x00\x00
MID_GR_Hortensia_A_#004	\x0E\x03\x02\x08\x06クロム\nMa questo non è solo spirito di osservazione.\nAvanti, confessa. Te lo ha detto qualcuno?\x0E\x04\x00\x00
MID_GR_Rosado_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08ロサード\nNon c'è dubbio che tu sia forte, Chrom, ma hai\nanche quel tocco di raffinatezza regale che ti\nrende così carino... \x0E\x04\x00\x00
MID_GR_Rosado_C_#002	\x0E\x03\x02\x08\x06クロム\nDavvero ti sembro carino? Non me lo aveva mai\ndetto nessuno.\x0E\x04\x00\x00
MID_GR_Rosado_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08ロサード\nVorrei rinfrescare un po' i miei studi, ma sto\navendo qualche difficoltà. Mi aiuteresti tu?\x0E\x04\x00\x00
MID_GR_Rosado_B_#002	\x0E\x03\x02\x08\x06クロム\nNon sono mai stato bravo come mia sorella,\nma conosco un paio di cosette. Vediamo un\npo'...\x0E\x04\x00\x00
MID_GR_Rosado_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ロサード\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08ロサード\nChe bella spada. Se la guardo, sento che nulla\nè impossibile.\x0E\x04\x00\x00
MID_GR_Rosado_A_#002	\x0E\x03\x02\x08\x06クロム\nStrano, eh? Eppure succede. Falchion è una\nspada leggendaria, che fu impugnata dallo\nstesso Re Eroico, o così si narra.\x0E\x04\x00\x00
MID_GR_Rosado_A_#003	\x0E\x03\x02\x08\x06クロム\nFu proprio questo senso di speranza che\ntrasmetteva la mia spada a guidarmi attraverso\nla guerra. E ora guiderà te.\x0E\x04\x00\x00
MID_GR_Rosado_A_#004	\x0E\x03\x02\x0A\x08ロサード\nMa questa è la cosa più carina che tu abbia mai\ndetto, Chrom. Grazie davvero!\x0E\x04\x00\x00
MID_GR_Goldmary_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nTi ho visto che non mi staccavi gli occhi di\ndosso, sul campo di battaglia. Mi dispiace se le\nmie incredibili doti ti distraggono.\x0E\x04\x00\x00
MID_GR_Goldmary_C_#002	\x0E\x03\x02\x08\x06クロム\nNon ero distratto, stavo solo pensando che ci\nsarebbero tornate proprio utili tra i Pastori.\x0E\x04\x00\x00
MID_GR_Goldmary_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nSono cresciuta vicino alle terme più famose di\ntutta l'Elusia. Anche nel tuo mondo ci sono i\nbagni termali?\x0E\x04\x00\x00
MID_GR_Goldmary_B_#002	\x0E\x03\x02\x08\x06クロム\nSì, ci sono. Dei mostri chiamati risorti ci\nattaccarono proprio alle terme, una volta.\x0E\x04\x00\x00
MID_GR_Goldmary_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cゴルドマリー\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nPer quanto sia ormai prossima alla perfezione,\nritengo che sia sempre necessario puntare a\nmigliorarsi.\x0E\x04\x00\x00
MID_GR_Goldmary_A_#002	\x0E\x03\x02\x08\x06クロム\nMi sembra un ottimo atteggiamento, Goldmary.\nTi va di allenarti con me e Daraen?\x0E\x04\x00\x00
MID_GR_Goldmary_A_#003	\x0E\x03\x02\x08\x06クロム\nVedrai, ancora qualche allenamento insieme\ne anche tu potrai spaccare i muri.\x0E\x04\x00\x00
MID_GR_Goldmary_A_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSpaccare i muri?! Sarà difficile trovare un modo\nper farlo con eleganza, ma ci proverò.\x0E\x04\x00\x00
MID_GR_Misutira_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nミスティラ\nHo sentito che anche tu guidavi un gruppo di\nguerrieri come il mio! Quante cose abbiamo\nin comune! Ci vorrebbe una canzone.\x0E\x04\x00\x00
MID_GR_Misutira_C_#002	\x0E\x03\x02\x08\x06クロム\nUna canzone? Ehm... grazie. Quando avrai\nfinito di cantare, raccontami del tuo gruppo.\x0E\x04\x00\x00
MID_GR_Misutira_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nミスティラ\nVoi Pastori combattevate i risorti, noi sentinelle\nle aberrazioni... Praticamente la stessa cosa!\x0E\x04\x00\x00
MID_GR_Misutira_B_#002	\x0E\x03\x02\x08\x06クロム\nIn un certo senso. Ma voi avete squadre sparse\nper tutto il Solm, quindi molto più personale a\ndisposizione.\x0E\x04\x00\x00
MID_GR_Misutira_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nミスティラ\nCombattendo assieme alle sentinelle ho appreso\nuna lezione importante. Dovrò essere forte per\nproteggere il mio popolo.\x0E\x04\x00\x00
MID_GR_Misutira_A_#002	\x0E\x03\x02\x08\x06クロム\nComprendo cosa provi. Anche io guidavo\ni Pastori, ma allo stesso tempo sentivo la\nresponsabilità come futuro Eletto.\x0E\x04\x00\x00
MID_GR_Misutira_A_#003	\x0E\x03\x02\x08\x06クロム\nIo e i miei amici combattemmo fino alla fine.\nOra che sono qui voglio donare la mia forza\nalla vostra causa. Conta su di me.\x0E\x04\x00\x00
MID_GR_Misutira_A_#004	\x0E\x03\x02\x0C\nミスティラ\nMi fa piacere avere accanto qualcuno che\ncapisce come mi sento. Penso proprio che\nscriverò una canzone a riguardo!\x0E\x04\x00\x00
MID_GR_Merin_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06メリン\nGrazie a entrambi per l'aiuto. Mi piacerebbe\nsaperne di più sugli animali del vostro mondo.\x0E\x04\x00\x00
MID_GR_Merin_C_#002	\x0E\x03\x02\x08\x06クロム\nAbbiamo pegasi e cavalli, proprio come voi.\nAh, i taguel li avete? Si trasformano in conigli...\x0E\x04\x00\x00
MID_GR_Merin_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06メリン\nQuesti "taguel" di cui mi hai parlato hanno delle\norecchie da coniglio, dicevi? Intrigante!\x0E\x04\x00\x00
MID_GR_Merin_B_#002	\x0E\x03\x02\x08\x06クロム\nC'erano anche dei draghi chiamati manakete.\nE i risorti, ovviamente. Beh, no, quelli non...\x0E\x04\x00\x00
MID_GR_Merin_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06メリン\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06メリン\nHo due fratelli, entrambi cavalieri. Sono\ndiventata cavaliera per seguire le loro orme.\x0E\x04\x00\x00
MID_GR_Merin_A_#002	\x0E\x03\x02\x08\x06メリン\nSo che hai una sorella maggiore. Volevi\nseguire anche tu le sue orme?\x0E\x04\x00\x00
MID_GR_Merin_A_#003	\x0E\x03\x02\x08\x06クロム\nNon esattamente. Però, la volontà di portare\navanti i suoi sogni e il suo spirito gentile è ciò\nche tuttora mi spinge a combattere.\x0E\x04\x00\x00
MID_GR_Merin_A_#004	\x0E\x03\x02\x08\x06クロム\nFarò quanto in mio potere per far avverare\nil suo desiderio di pace anche in questo mondo.\x0E\x04\x00\x00
MID_GR_Panetone_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08パネトネ\nIn quanto nobile, da voi ci si aspetterà un\nlinguaggio elegante, di grazia.\x0E\x04\x00\x00
MID_GR_Panetone_C_#002	\x0E\x03\x02\x08\x06クロム\nSei sicura di quello che dici? Mia sorella non\nparlava così.\x0E\x04\x00\x00
MID_GR_Panetone_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08パネトネ\nNel mio personale impegno di seguire una vita\nesemplare, vorrei domandarvi delucidazioni\nsulle dame del vostro mondo.\x0E\x04\x00\x00
MID_GR_Panetone_B_#002	\x0E\x03\x02\x08\x06クロム\nPotrei parlarti delle mie sorelle, per quanto\nla più giovane fosse piuttosto informale.\x0E\x04\x00\x00
MID_GR_Panetone_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パネトネ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08パネトネ\nOccupo una posizione nelle sentinelle, e al\ncontempo sono un'attendente del capo.\x0E\x04\x00\x00
MID_GR_Panetone_A_#002	\x0E\x03\x02\x0A\x08パネトネ\nAnelo a divenire più forte, acciocché possa\nproteggere adeguatamente la principessa e\nil nostro popolo. Di grazia, mi allenereste?\x0E\x04\x00\x00
MID_GR_Panetone_A_#003	\x0E\x03\x02\x08\x06クロム\nAnch'io ero come te. Volevo diventare più forte\nper le tue stesse ragioni.\x0E\x04\x00\x00
MID_GR_Panetone_A_#004	\x0E\x03\x02\x08\x06クロム\nCombattevo con quell'obiettivo impresso\nnel cuore. Hai tutto il mio appoggio.\x0E\x04\x00\x00
MID_GR_Fogato_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nフォガート\nQuindi anche tu avevi un gruppo di soldati?\nMa è grandioso! Dobbiamo assolutamente\ndiventare amici, io e te!\x0E\x04\x00\x00
MID_GR_Fogato_C_#002	\x0E\x03\x02\x08\x06クロム\nAhah! Per essere un principe, sei alla mano.\nPersino più di me. Sono contento.\x0E\x04\x00\x00
MID_GR_Fogato_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nI tuoi racconti sulle sentinelle mi fanno venire\nnostalgia degli amici che avevo nel mio mondo.\x0E\x04\x00\x00
MID_GR_Fogato_B_#002	\x0E\x03\x02\x0C\nフォガート\nI Pastori, giusto? Non sarebbe fantastico\npotersi riunire tutti insieme a festeggiare?\x0E\x04\x00\x00
MID_GR_Fogato_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nフォガート\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nフォガート\nIl nostro legame sta diventando più forte che\nmai e io mi sto allenando a più non posso per\naiutare Timerra.\x0E\x04\x00\x00
MID_GR_Fogato_A_#002	\x0E\x03\x02\x08\x06クロム\nSei proprio come me... Stai dando tutto te\nstesso per assisterla quando salirà al trono.\x0E\x04\x00\x00
MID_GR_Fogato_A_#003	\x0E\x03\x02\x08\x06クロム\nMia sorella rimase ferita e perse la sua posizione\ndi comando. Non permetterò che vi accada lo\nstesso.\x0E\x04\x00\x00
MID_GR_Fogato_A_#004	\x0E\x03\x02\x0C\nフォガート\nDevi averne passate di cotte e di crude. Mi\ncolpisce che, nonostante tutto, tu riesca ancora\na preoccuparti per gli altri.\x0E\x04\x00\x00
MID_GR_Pandoro_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08パンドロ\nLord Chrom! Ma è divino... sei un emblema\ne un Eletto al contempo! Posso offrirti una\npreghiera?\x0E\x04\x00\x00
MID_GR_Pandoro_C_#002	\x0E\x03\x02\x08\x06クロム\nAh, non ce n'è bisogno. Non otterresti granché\npregandomi.\x0E\x04\x00\x00
MID_GR_Pandoro_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nLa mia sorella minore è una sacerdotessa ed\nè vivace quanto te. Penso che andreste\nd'accordo.\x0E\x04\x00\x00
MID_GR_Pandoro_B_#002	\x0E\x03\x02\x0A\x08パンドロ\nIn quanto tua parente, non può che essere\nuna brava persona. Se fosse qui, terremmo una\nbella festa!\x0E\x04\x00\x00
MID_GR_Pandoro_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08パンドロ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0A\x08パンドロ\nAnche nel tuo mondo c'è un Drago Divino?\nEd è come il nostro?\x0E\x04\x00\x00
MID_GR_Pandoro_A_#002	\x0E\x03\x02\x08\x06クロム\nNon proprio. Più un oggetto di fede, senza\nforma fisica.\x0E\x04\x00\x00
MID_GR_Pandoro_A_#003	\x0E\x03\x02\x08\x06クロム\nA quanto pare, i Draghi Divini dei vari mondi\nnon hanno molto in comune a parte il nome.\x0E\x04\x00\x00
MID_GR_Pandoro_A_#004	\x0E\x03\x02\x0A\x08パンドロ\nGià... Ma allora anche il Drago Maligno deve\nessere diverso. Abbiamo molti argomenti su cui\nconfrontarci!\x0E\x04\x00\x00
MID_GR_Bonet_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x06\x04ボネ\nUhm, con quel blu scuro... saresti meglio come\ndolce che come piatto principale.\x0E\x04\x00\x00
MID_GR_Bonet_C_#002	\x0E\x03\x02\x08\x06クロム\nAh... devo prenderlo come un complimento?\nTi interessa anche la tonalità di Daraen, allora?\x0E\x04\x00\x00
MID_GR_Bonet_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x06\x04ボネ\nDevo assolutamente scoprire se i bracciali degli\nemblemi hanno un gusto diverso dagli anelli.\nTi spiace se do una leccatina?\x0E\x04\x00\x00
MID_GR_Bonet_B_#002	\x0E\x03\x02\x08\x06クロム\nEh? Non farlo! C'è Daraen lì dentro!\nSei proprio un tipo strano.\x0E\x04\x00\x00
MID_GR_Bonet_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x06\x04ボネ\nUn giorno spero di riaprire il ristorante dei miei\ngenitori. Dovrò darmi ancora molto da fare per\nmigliorare.\x0E\x04\x00\x00
MID_GR_Bonet_A_#002	\x0E\x03\x02\x08\x06クロム\nAh, sei un cuoco. Ora capisco perché dai tanta\nimportanza ai sapori e all'aspetto.\x0E\x04\x00\x00
MID_GR_Bonet_A_#003	\x0E\x03\x02\x06\x04ボネ\nSe voglio creare un piatto ispirato all'amicizia\ntra te e Daraen, dovrò assaggiare il bracciale,\nperò. Posso?\x0E\x04\x00\x00
MID_GR_Bonet_A_#004	\x0E\x03\x02\x08\x06クロム\nPerché non ti concentri sulle battaglie,\npiuttosto? Solo così potremo riportare la pace\ne riaprire il ristorante.\x0E\x04\x00\x00
MID_GR_Anna_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06アンナ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06アンナ\nPrego! Sto ancora sistemando la merce.\nDevi avere proprio fretta di fare acquisti\nse sei già lì prima dell'orario di apertura!\x0E\x04\x00\x00
MID_GR_Anna_C_#002	\x0E\x03\x02\x08\x06クロム\nMa tu non sei... Anna? No, non è possibile.\nDevo avere le traveggole.\x0E\x04\x00\x00
