MAID_LueurWearM	Abito divino
MAID_H_Costume_Roy	Basato su Roy, l'emblema del Sigillo. Un nobile valoroso e intelligente.
MAID_Costume_Lin	Stile Lyn
MAID_H_Costume_Lin	Basato su Lyn, l'emblema del Fuoco Devastante. Un'abile spadaccina\nnomade, cresciuta a contatto con la natura.
MAID_Costume_Ike	Stile Ike
MAID_H_Costume_Ike	Basato su Ike, l'emblema della Fiamma. Un famoso capo dei mercenari\ncon impareggiabili abilità in battaglia.
MAID_Costume_Lucina	Stile Lucina
MAID_H_Costume_Lucina	Basato su Lucina, l'emblema del Risveglio. Una principessa sacra che\ncrede nella speranza e non si abbandona mai alla disperazione.
MAID_Costume_Leaf	Stile Leif
MAID_H_Costume_Leaf	Basato su Leif, l'emblema della Genealogia. Un valoroso principe in cui\nscorre il sangue di due crociati.
MAID_Costume_Kamui	Stile Corrin
MAID_H_Costume_Kamui	Basato su Corrin, l'emblema dei Destini. Una principessa in cui scorre\nil sangue dei Primi Draghi.
MAID_Costume_Eirik	Stile Erika
MAID_H_Costume_Eirik	Basato su Erika, l'emblema della Sacralità. Una principessa che combatte\nper la pace.
MAID_Costume_Byleth	Stile Byleth
MAID_H_Costume_Byleth	Basato su Byleth, l'emblema dell'Accademia. Un professore con\nun passato da mercenario.
