MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0A\x08リュール\nNon riesco a credere che al posto di questo\nlago ci fosse una montagna.\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x0A\x08ソンブル\nVolevo esserne certo... Anche se so che\nquell'emblema non esiste più.\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x08\x06セピア\n...?\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x0A\x08ソンブル\nTorno al tempio. \x0E\x0A\x00,\x14Mio figlio\x14Mia figlia ci porterà notizie\nuna volta terminata la battaglia.\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x02\x08\x06セピア\nI vostri figli sono davvero formidabili...\nCosa non darei per avere anche io qualcuno di\ncosì leale...\x0E\x04\x00\x00
MID_ED2_#009	\x0E\x03\x02\x0A\x08ソンブル\nSe hai questa necessità, allora segui il mio\nesempio. Fai dei figli.\x0E\x04\x00\x00
MID_ED2_#010	\x0E\x03\x02\x08\x06セピア\nDei figli... miei?\x0E\x04\x00\x00
MID_ED2_#011	\x0E\x03\x02\x0A\x08ソンブル\nLa famiglia è un sistema efficiente. Sangue in\ncambio di lealtà.\x0E\x04\x02\x00
MID_ED2_#012	I miei figli mi devono la vita... il loro amore e\nla loro assoluta devozione.\x0E\x04\x00\x00
MID_ED2_#013	\x0E\x03\x02\x08\x06セピア\nUna famiglia... non ci avevo mai pensato.\nAllora, vi prego, date dei figli anche a me.\x0E\x04\x00\x00
MID_ED2_#014	\x0E\x03\x02\x0A\x08ソンブル\nVuoi avere dei figli da me?\x0E\x04\x00\x00
MID_ED2_#015	\x0E\x03\x02\x08\x06セピア\nSì. Vi prego, lord Sombron.\x0E\x04\x00\x00
MID_ED2_#016	\x0E\x03\x02\x0A\x08ソンブル\nOra non è il momento. Ma lo terrò in\nconsiderazione per quando questa guerra\nsarà finita e le mie ambizioni soddisfatte.\x0E\x04\x00\x00
MID_ED2_#017	\x0E\x03\x02\x08\x06セピア\nLo capisco, mio signore. Prometto che vi aiuterò\na raggiungere i vostri obiettivi.\x0E\x04\x00\x00
MID_ED2_#018	\x0E\x03\x02\x0A\x08ソンブル\nMi aspetto il massimo da te.\x0E\x04\x00\x00
MID_ED2_#019	\x0E\x03\x01\x0A\x08ソンブル\n\x0E\x03\x02\x08\x06セピア\nDei figli miei... interessante.\x0E\x04\x02\x00
MID_ED2_#020	Chissà cosa si prova ad avere pieno possesso\ndi qualcuno, attraverso l'amore incondizionato?\x0E\x04\x02\x00
MID_ED2_#021	Come mi guardavano i miei genitori? Anche loro\nprovavano questo... amore? Se solo potessi\nviaggiare indietro nel tempo.\x0E\x04\x02\x00
MID_ED2_#022	Un'idea assurda e irrealizzabile...\x0E\x04\x02\x00
MID_ED2_#023	Forse dovrei cercare \x0E\x0A\x00(\x12il figlio\x12la figlia di lord Sombron.\nCome si chiamava \x0E\x0A\x00\x1C\x0Cquesto\x0Cquesta qui?\x0E\x04\x02\x00
MID_ED2_#024	Ma che importa. Tanto li elimina tutti.\nMeglio non affezionarsi.\x0E\x04\x02\x00
MID_ED2_#025	Mi causerebbe solo tristezza.\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x18\x12M024_リュール\x021\n\x0E\x03\x02\x14\x12M024_リュール\n...\x0E\x04\x00\x00
MID_ED3_#002	\x0E\x03\x00\x0E\x08ルミエル\x022\n\x0E\x03\x02\x0A\x08ルミエル\nTi senti bene?! Fatti forza!\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x02\x14\x12M024_リュール\n...\x0E\x04\x00\x00
MID_ED3_#004	\x0E\x03\x02\x0A\x08ルミエル\nOh, grazie al cielo.\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x02\x14\x12M024_リュール\nIo... io...\x0E\x04\x00\x00
MID_ED3_#006	\x0E\x03\x02\x0A\x08ルミエル\nTi ho trovat\x0E\x0A\x00\x08\x02o\x02a qui a terra e temevo che\nfossi mort\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x02\x00
MID_ED3_#007	Ma per fortuna avevi solo perso i sensi.\nChe sollievo.\x0E\x04\x00\x00
MID_ED3_#008	\x0E\x03\x02\x14\x12M024_リュール\nÈ stato... un sogno?\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x02\x0A\x08ルミエル\nUn sogno?\x0E\x04\x00\x00
MID_ED3_#010	\x0E\x03\x02\x14\x12M024_リュール\nHo incontrato una persona con il mio stesso\nviso, ma assomigliava anche a te.\x0E\x04\x02\x00
MID_ED3_#011	I tuoi capelli e i tuoi occhi blu sono così belli.\n\x0E\x0A\x008\x18Quel ragazzo\x1CQuella ragazza con la mia faccia... li aveva\nanche \x0E\x0A\x00\x10\x06lui\x06lei.\x0E\x04\x00\x00
MID_ED3_#012	\x0E\x03\x02\x0A\x08ルミエル\nSembra proprio un bel sogno. Ma, ascolta,\nqui fa freddo. Non vorrei che ti prendessi\nun raffreddore.\x0E\x04\x02\x00
MID_ED3_#013	Forza, ti accompagno in un luogo più protetto e\ncaldo. Pensi di riuscire a stare in piedi?\x0E\x04\x00\x00
MID_ED3_#014	\x0E\x03\x02\x14\x12M024_リュール\nGrazie. È la prima volta che qualcuno mi tratta...\ncon tanta gentilezza.\x0E\x04\x00\x00
MID_ED3_#015	\x0E\x03\x02\x0A\x08ルミエル\nDavvero? Mi dispiace sentirtelo dire.\nCome ti chiami, car\x0E\x0A\x00\x08\x02o\x02a?\x0E\x04\x00\x00
MID_ED3_#016	\x0E\x03\x02\x14\x12M024_リュール\nAh, mi chiamo... \x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_ED3_#017	Mia madre mi disse, prima di morire, che fu\nmio padre a chiamarmi così... e solo una volta.\x0E\x04\x02\x00
MID_ED3_#018	Come ti chiami tu?\x0E\x04\x00\x00
MID_ED3_#019	\x0E\x03\x02\x0A\x08ルミエル\nSono Lumera.\x0E\x04\x00\x00
MID_ED3_#020	\x0E\x03\x02\x14\x12M024_リュール\nConosco questo nome. Lumera è l'ultimo Drago\nDivino ancora in vita.\x0E\x04\x02\x00
MID_ED3_#021	Il nome della nemica di mio padre.\x0E\x04\x00\x00
MID_ED3_#022	\x0E\x03\x02\x0A\x08ルミエル\n...\x0E\x04\x00\x00
MID_ED3_#023	\x0E\x03\x02\x14\x12M024_リュール\nSe sei il Drago Divino, allora devo ucciderti.\x0E\x04\x02\x00
MID_ED3_#024	Altrimenti mio padre mi considererebbe\ndifettos\x0E\x0A\x00\x08\x02o\x02a e per me sarebbe la fine. Ma...\x0E\x04\x02\x00
MID_ED3_#025	Sei stata gentile con me. Non voglio ucciderti.\x0E\x04\x00\x00
MID_ED3_#026	\x0E\x03\x02\x0A\x08ルミエル\n\x0E\x06\x03\x00...\x0E\x04\x00\x00
MID_ED3_#027	\x0E\x03\x02\x14\x12M024_リュール\nSto facendo pensieri che non dovrebbero\npassare per la mia mente. Allora sono davvero\ndifettos\x0E\x0A\x00\x08\x02o\x02a...\x0E\x04\x02\x00
MID_ED3_#028	Difettos\x0E\x0A\x00\x08\x02o\x02a. Difettos\x0E\x0A\x00\x08\x02o\x02a. Difettos\x0E\x0A\x00\x08\x02o\x02a. Difettos\x0E\x0A\x00\x08\x02o\x02a.\nDifettos\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x00\x00
MID_ED3_#029	\x0E\x03\x02\x0A\x08ルミエル\nNon dire così! Non c'è niente di sbagliato in te!\x0E\x04\x00\x00
MID_ED3_#030	\x0E\x03\x02\x14\x12M024_リュール\nMa devo compiere il mio dovere. Se non lo\nfaccio, mio padre mi darà in pasto alle\naberrazioni.\x0E\x04\x02\x00
MID_ED3_#031	È la cosa che mi terrorizza più di tutte...\x0E\x04\x02\x00
MID_ED3_#032	Voglio vivere e vedere l'alba di domani, e del\ngiorno dopo.\x0E\x04\x00\x00
MID_ED3_#033	\x0E\x03\x02\x0A\x08ルミエル\nAllora l'incontro di oggi rimarrà un segreto.\nNon voglio che tu muoia.\x0E\x04\x02\x00
MID_ED3_#034	Ho un'idea. Possiamo incontrarci di nuovo per\nparlare a lungo e amichevolmente tra di noi,\nsenza che nessuno lo venga a sapere.\x0E\x04\x02\x00
MID_ED3_#035	Che ne dici? Promesso?\x0E\x04\x00\x00
MID_ED3_#036	\x0E\x03\x02\x14\x12M024_リュール\n...\x0E\x04\x02\x00
MID_ED3_#037	Va bene.\x0E\x04\x00\x00
MID_ED4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x12\x0Cディアマンド\x023\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x00\x10\nミスティラ\x024\n\x0E\x03\x02\x0A\x08リュール\nSiamo riusciti a tornare.\x0E\x04\x00\x00
MID_ED4_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nAbbiamo davvero incontrato te e Zephia nel\npassato. Se ci penso, devo ammetterlo... mi\nvengono i brividi.\x0E\x04\x00\x00
MID_ED4_#003	\x0E\x03\x02\x0A\x08ヴェイル\nLa barriera si è indebolita. Ha funzionato!\x0E\x04\x02\x00
MID_ED4_#004	Ora non ci resta che infrangere l'ultima\nscheggia.\x0E\x04\x00\x00
MID_ED4_#005	\x0E\x03\x02\x0C\nミスティラ\nSì, facciamola a pezzi! Dove si trova?\x0E\x04\x00\x00
MID_ED4_#006	\x0E\x03\x02\x0A\x08ヴェイル\nUn momento. Vediamo...\x0E\x04\x02\x00
MID_ED4_#007	...\x0E\x04\x00\x00
MID_ED4_#008	\x0E\x03\x02\x0A\x08リュール\nChe succede? Sembri preoccupata.\x0E\x04\x00\x00
MID_ED4_#009	\x0E\x03\x02\x0A\x08ヴェイル\nNon è... niente.\x0E\x04\x00\x00
MID_ED4_#010	\x0E\x03\x02\x0C\nミスティラ\nNon dirmi che dobbiamo partire per qualche\naltro strano viaggio!\x0E\x04\x00\x00
MID_ED4_#011	\x0E\x03\x02\x0A\x08ヴェイル\nNo, si trova qui in Gradlon. Ma...\x0E\x04\x00\x00
MID_ED4_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nSì?\x0E\x04\x00\x00
MID_ED4_#013	\x0E\x03\x02\x0A\x08ヴェイル\nScusate, sono un po' stanca. Vi dispiace se\nrimango sola per un momento?\x0E\x04\x00\x00
MID_ED4_#014	\x0E\x03\x02\x0A\x08リュール\nAbbiamo fatto molto, troppo affidamento sul\ntuo potere per individuare le schegge...\x0E\x04\x02\x00
MID_ED4_#015	Prenditi pure il tempo che ti serve. Possiamo\nritardare la partenza ancora un po'.\x0E\x04\x00\x00
MID_ED4_#016	\x0E\x03\x02\x0A\x08ヴェイル\nGrazie.\x0E\x04\x00\x00
MID_ED4_#017	\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x01\x0C\nミスティラ\n\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x02\x00
MID_ED4_#018	Infrangeremo l'ultima scheggia.\nSo che ce la faremo.\x0E\x04\x02\x00
MID_ED4_#019	Come faccio a dir loro chi la sta proteggendo?\nE il motivo per cui sono in grado di percepire...\nquello che c'è lì.\x0E\x04\x00\x00
