MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x18\x12E005_Boss\x021\n\x0E\x03\x02\x14\x12E005_Boss\nSfiderai il destino, spazzerai via le angosce\ne forgerai legami con i tuoi alleati?\x0E\x04\x02\x00
MID_BT8_#007	\x0E\x05\x01"\x12E005_Boss\x0CNormal\nSono stufo di questi giochetti, Drago Divino.\x0E\x04\x02\x00
MID_BT8_#008	\x0E\x05\x01 \x12E005_Boss\nAngry\nSiccome sei anche \x0E\x0A\x00(\x12il nemico\x12la nemica giurat\x0E\x0A\x00\x08\x02o\x02a di mio\npadre, non mi farò problemi ad annientarti dopo\nche mi sarò preso quello che voglio.\x0E\x04\x00\x00
MID_BT9_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide1\x02b\n\x0E\x05\x01$\x14E005_Hide1\x0CStatus\n\x0E\x03\x02\x16\x14E005_Hide1\nTu saresti... me? Non mettermi i bastoni tra le\nruote.\x0E\x04\x02\x00
MID_BT9_#002	I bracciali mi servono per riportare in vita papà.\x0E\x04\x00\x00
MID_BT9_#003	\x0E\x03\x00\x12\x0Cオルテンシア\x02t\n\x0E\x05\x01\x16\x0Cオルテンシア\x06Sad\n\x0E\x03\x02\x0E\x0Cオルテンシア\nCapisco come ti senti, ci sono passata anch'io.\nMa non posso lasciartelo fare.\x0E\x04\x02\x00
MID_BT9_#004	\x0E\x05\x01\x1A\x0Cオルテンシア\nSmile\nNon abbiamo scelta, sarà una lotta tra bellezze.\nChe vinca la più carina!\x0E\x04\x02\x00
MID_BT9_#005	\x0E\x05\x01\x16\x0Cオルテンシア\x06Shy\nPotresti fartela una risata, però. Se dobbiamo\ncombattere, facciamo almeno in modo di\ndivertirci.\x0E\x04\x00\x00
MID_BT9_#006	\x0E\x03\x02\x16\x14E005_Hide1\nDici che siamo carine, ma ti illudi. Ivy non fa\nche ripetermi che sono l'essere più miserabile\nche ci sia.\x0E\x04\x00\x00
MID_BT10_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide1\x02b\n\x0E\x05\x01(\x14E005_Hide1\x10Surprise\n\x0E\x03\x02\x16\x14E005_Hide1\nIiih! Ivy! Volevo dire... Vostra maestà, mia\nregina...\x0E\x04\x02\x00
MID_BT10_#002	\x0E\x05\x01 \x14E005_Hide1\x08Pain\nSei venuta a giustiziarmi come hai fatto con gli\naltri figli illegittimi di papà?\x0E\x04\x00\x00
MID_BT10_#003	\x0E\x03\x00\x0E\x08アイビー\x02t\n\x0E\x05\x01\x12\x08アイビー\x06Sad\n\x0E\x03\x02\x0A\x08アイビー\nHortensia... Ma come ti tratta la Ivy di questo\nmondo?\x0E\x04\x00\x00
MID_BT10_#004	\x0E\x05\x01\x1E\x14E005_Hide1\x06Sad\n\x0E\x03\x02\x16\x14E005_Hide1\nSei venuta a uccidermi, lo so.\x0E\x04\x02\x00
MID_BT10_#005	\x0E\x05\x01 \x14E005_Hide1\x08Pain\nPerdonami, ma non accetterò la morte senza\nreagire. Mi vedo costretta a combattere.\x0E\x04\x00\x00
MID_BT12_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08ロサード\x02t\n\x0E\x05\x01\x12\x08ロサード\x06Shy\n\x0E\x03\x02\x0A\x08ロサード\nCiao, Hortensia. Anche in questo mondo sei\ncarina... ma noto che ti manca la tua proverbiale\nautostima.\x0E\x04\x00\x00
MID_BT12_#002	\x0E\x03\x00\x1A\x14E005_Hide1\x02b\n\x0E\x05\x01(\x14E005_Hide1\x10Surprise\n\x0E\x03\x02\x16\x14E005_Hide1\nRosado, sei tornato in vita... Non credo ai miei\nocchi, mi sei mancato tantissimo.\x0E\x04\x02\x00
MID_BT12_#003	\x0E\x05\x01\x1E\x14E005_Hide1\x06Sad\nDa quando ho perso i miei attendenti, la\ndisperazione ha preso il sopravvento su di me.\x0E\x04\x02\x00
MID_BT12_#004	Sei rimasto ad affrontare le aberrazioni per\ndarmi l'opportunità di scappare e non ho avuto\nneanche l'occasione di ringraziarti.\x0E\x04\x02\x00
MID_BT12_#005	\x0E\x05\x01\x1C\x08ロサード\x10Surprise\n\x0E\x05\x01&\x14E005_Hide1\x0ESerious\nA dire il vero... avrei preferito morire con te,\nquel giorno.\x0E\x04\x00\x00
MID_BT12_#006	\x0E\x05\x01\x1E\x14E005_Hide1\x06Sad\n\x0E\x05\x01\x12\x08ロサード\x06Sad\n\x0E\x03\x02\x0A\x08ロサード\nDevi avere sofferto molto.\x0E\x04\x02\x00
MID_BT12_#007	Il tuo Rosado ti ha protetta, e non sai quanto\nquesto mi faccia piacere. Purtroppo, lui non\npuò venire qui da te, ora.\x0E\x04\x02\x00
MID_BT12_#008	Al massimo, posso fare in modo di mandarti\nda lui.\x0E\x04\x00\x00
MID_BT13_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide1\x02b\n\x0E\x05\x01(\x14E005_Hide1\x10Surprise\n\x0E\x03\x02\x16\x14E005_Hide1\nGoldmary... Faccio fatica a riconoscerti.\x0E\x04\x00\x00
MID_BT13_#002	\x0E\x03\x00\x12\x0Cゴルドマリー\x02t\n\x0E\x05\x01\x16\x0Cゴルドマリー\x06Sad\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nNon me ne stupisco. La mia eleganza è talmente\nabbagliante, che è impossibile da imprimere\nnella mente.\x0E\x04\x00\x00
MID_BT13_#003	\x0E\x05\x01\x1E\x14E005_Hide1\x06Sad\n\x0E\x03\x02\x16\x14E005_Hide1\nA dire il vero, sono sorpresa che tu abbia anche\nsolo un briciolo di eleganza.\x0E\x04\x02\x00
MID_BT13_#004	Eri sempre così schiva e insicura... Ti mancava\ncarisma.\x0E\x04\x00\x00
MID_BT13_#005	\x0E\x05\x01 \x0Cゴルドマリー\x10Surprise\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nAhah. Dev'esserci un errore.\x0E\x04\x02\x00
MID_BT13_#006	Sicuramente mi state confondendo con\nqualcun'altra.\x0E\x04\x00\x00
MID_BT13_#007	\x0E\x03\x02\x16\x14E005_Hide1\nTutto il nostro gruppo era così. Non volevamo\nattirare l'attenzione su di noi.\x0E\x04\x02\x00
MID_BT13_#008	\x0E\x05\x01\x16\x0Cゴルドマリー\x06Sad\nEra un modo per sopravvivere... o così\ncredevamo.\x0E\x04\x02\x00
MID_BT13_#009	Se fossi stata posata e aggraziata come ti vedo\nora... ti avrei presa a modello.\x0E\x04\x00\x00
MID_BT14_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide1\x02b\n\x0E\x05\x01$\x14E005_Hide1\x0CNormal\n\x0E\x03\x02\x16\x14E005_Hide1\nLindon... Quanto tempo.\x0E\x04\x00\x00
MID_BT14_#002	\x0E\x03\x00\x0E\x08リンデン\x02t\n\x0E\x05\x01\x18\x08リンデン\x0CNormal\n\x0E\x03\x02\x0A\x08リンデン\nLa principessa Hortensia di questo mondo\nsembra una persona seria.\x0E\x04\x02\x00
MID_BT14_#003	\x0E\x05\x01\x12\x08リンデン\x06Sad\nSo che siamo nemici, ma non ci riesco.\nEcco, volete un dolcetto dei miei?\x0E\x04\x02\x00
MID_BT14_#004	\x0E\x05\x01\x16\x08リンデン\nSmile\nMi sono venuti bene, se posso dirmelo da solo.\nSono carini.\x0E\x04\x00\x00
MID_BT14_#005	\x0E\x05\x01$\x14E005_Hide1\x0CStatus\n\x0E\x03\x02\x16\x14E005_Hide1\nNo, grazie. Le cose carine non fanno per me...\x0E\x04\x00\x00
MID_BT15_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide2\x02b\n\x0E\x05\x01"\x14E005_Hide2\nSmile\n\x0E\x03\x02\x16\x14E005_Hide2\nEhi, amico! Lascia che mi presenti. Sono te.\x0E\x04\x00\x00
MID_BT15_#002	\x0E\x03\x00\x10\nフォガート\x02t\n\x0E\x05\x01\x18\nフォガート\nAngry\n\x0E\x03\x02\x0C\nフォガート\nOh... Avrei detto anch'io quelle esatte parole.\nSei proprio me, non c'è che dire.\x0E\x04\x02\x00
MID_BT15_#003	\x0E\x05\x01\x14\nフォガート\x06Shy\nMentirei se dicessi che non è sempre stato il\nmio sogno. Peccato che tu sia un cattivone.\x0E\x04\x00\x00
MID_BT15_#004	\x0E\x05\x01$\x14E005_Hide2\x0CNormal\n\x0E\x03\x02\x16\x14E005_Hide2\nLo so, sono un farabutto. In realtà l'assassino\nincappucciato in Lythos... ero proprio io!\x0E\x04\x02\x00
MID_BT15_#005	\x0E\x05\x01$\x14E005_Hide2\x0CStatus\n\x0E\x05\x01\x1E\nフォガート\x10Surprise\nVisto che sono così cattivo, sai che ti dico? Ti\nucciderò e prenderò il tuo posto nel tuo mondo.\x0E\x04\x02\x00
MID_BT15_#006	\x0E\x05\x01"\x14E005_Hide2\nRelax\n\x0E\x05\x01\x18\nフォガート\nAngry\nMa pensa positivo! L'ultima cosa che vedrai\nsarà il tuo bel faccino.\x0E\x04\x00\x00
MID_BT16_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide2\x02b\n\x0E\x05\x01(\x14E005_Hide2\x10Surprise\n\x0E\x03\x02\x16\x14E005_Hide2\nTimerra? Non dovresti essere qui.\x0E\x04\x00\x00
MID_BT16_#002	\x0E\x03\x00\x10\nミスティラ\x02t\n\x0E\x05\x01\x14\nミスティラ\x06Sad\n\x0E\x03\x02\x0C\nミスティラ\nSì, capisco che la cosa possa confonderti...\x0E\x04\x00\x00
MID_BT16_#003	\x0E\x05\x01\x1E\x14E005_Hide2\x06Sad\n\x0E\x03\x02\x16\x14E005_Hide2\nPuoi dirlo forte. Mi era giunta voce che Nel ti\navesse fagocitata.\x0E\x04\x00\x00
MID_BT16_#004	\x0E\x03\x02\x0C\nミスティラ\nNon ero io, era la tua vera sorella. Io vengo da\nun altro mondo.\x0E\x04\x00\x00
MID_BT16_#005	\x0E\x05\x01"\x14E005_Hide2\nSmile\n\x0E\x03\x02\x16\x14E005_Hide2\nAh! Questo spiega molte cose! Sai, ero un po'\ndispiaciuto che non fosse toccato a me l'onore\ndi eliminarla.\x0E\x04\x02\x00
MID_BT16_#006	\x0E\x05\x01"\x14E005_Hide2\nRelax\nAvrei voluto essere io a ucciderla. Era il mio\nsogno, se vogliamo.\x0E\x04\x02\x00
MID_BT16_#007	Mi sa che dovrò accontentarmi della sua sosia!\x0E\x04\x00\x00
MID_BT18_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide2\x02b\n\x0E\x05\x01"\x14E005_Hide2\nSmile\n\x0E\x03\x02\x16\x14E005_Hide2\nPandreo, amico mio! Ah, che gioia rivederti.\x0E\x04\x02\x00
MID_BT18_#002	Che ne dici se accantoniamo le armi e ci\ngodiamo una festicciola proprio qui? In onore\ndei vecchi tempi.\x0E\x04\x00\x00
MID_BT18_#003	\x0E\x03\x00\x0E\x08パンドロ\x02t\n\x0E\x05\x01\x14\x08パンドロ\x08Pain\n\x0E\x03\x02\x0A\x08パンドロ\nNo, Fogado. Farò in modo che tu possa riposare\nin pace. Vederti così è una tortura.\x0E\x04\x00\x00
MID_BT18_#004	\x0E\x05\x01\x1C\x08パンドロ\x10Surprise\n\x0E\x05\x01\x1E\x14E005_Hide2\x06Shy\n\x0E\x03\x02\x16\x14E005_Hide2\nCome credi che mi senta a vedervi tutti allegri\ne in salute? Mi viene da piangere.\x0E\x04\x02\x00
MID_BT18_#005	\x0E\x05\x01$\x14E005_Hide2\x0CStatus\nIl mio migliore amico Pandreo mi è morto\ndavanti agli occhi... freddato in un attimo.\x0E\x04\x00\x00
MID_BT18_#006	\x0E\x05\x01\x12\x08パンドロ\x06Sad\n\x0E\x03\x02\x0A\x08パンドロ\nMi... dispiace tanto per te, Fogado.\x0E\x04\x00\x00
MID_BT18_#007	\x0E\x05\x01\x1E\x14E005_Hide2\x06Shy\n\x0E\x03\x02\x16\x14E005_Hide2\nBah, sai che ti dico? Non pensiamoci più.\nSo cosa potrebbe tirarmi su il morale.\x0E\x04\x02\x00
MID_BT18_#008	\x0E\x05\x01"\x14E005_Hide2\nRelax\nUna bella freccia dritta dritta nella tua\nbigottissima gola!\x0E\x04\x00\x00
MID_BT19_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1A\x14E005_Hide2\x02b\n\x0E\x05\x01"\x14E005_Hide2\nSmile\n\x0E\x03\x02\x16\x14E005_Hide2\nBunet, sei tu! Che bello vederti. Ne è passato\ndi tempo.\x0E\x04\x00\x00
MID_BT19_#002	\x0E\x03\x00\x0A\x04ボネ\x02t\n\x0E\x05\x01\x0E\x04ボネ\x06Sad\n\x0E\x03\x02\x06\x04ボネ\nFogado... Che amarezza.\x0E\x04\x02\x00
MID_BT19_#003	Se dovessi esprimerla in un piatto, lo troveresti\npiuttosto sgradevole.\x0E\x04\x00\x00
MID_BT19_#004	\x0E\x05\x01\x1E\x14E005_Hide2\x06Shy\n\x0E\x03\x02\x16\x14E005_Hide2\nTi piace cucinare? Che buffo. Il mio Bunet si\nteneva ben lontano dai fornelli, ed era meglio\ncosì, credimi.\x0E\x04\x02\x00
MID_BT19_#005	\x0E\x05\x01"\x14E005_Hide2\nRelax\nCome affettava e grigliava i nemici lui, però, non\nc'era nessuno. Sapeva essere brutale.\x0E\x04\x02\x00
MID_BT19_#006	\x0E\x05\x01\x1E\x14E005_Hide2\x06Sad\nPoi, un giorno, è arrivato il suo turno. L'ho visto\ncoperto del suo stesso sangue.\x0E\x04\x00\x00
MID_BT19_#007	\x0E\x03\x02\x06\x04ボネ\nMi dispiace...\x0E\x04\x00\x00
MID_BT19_#008	\x0E\x05\x01\x1E\x14E005_Hide2\x06Shy\n\x0E\x03\x02\x16\x14E005_Hide2\nEra di un brillante rosso scarlatto... Chissà se\nanche il tuo sangue ha lo stesso colore.\x0E\x04\x02\x00
MID_BT19_#009	\x0E\x05\x01"\x14E005_Hide2\nRelax\nStavo pensando... Che ne dici se lo scopriamo\nsubito? Ti permetterò di assaggiarlo!\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE005_エル\x022\n\x0E\x03\x00\x18\x12E005_敵クロム\x023\n\x0E\x06\x00*\x12E005_敵クロム\x14MPID_Chrom\n\x0E\x03\x00\x18\x12E005_Boss\x024\n\x0E\x03\x02\x0A\x08リュール\nNel, mi hai salvato la vita.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x10\x0EE005_エル\nNon avrei potuto sopportare l'idea di perderti.\x0E\x04\x02\x00
MID_ED1_#003	Lascia che ti chieda scusa per come mi sono\ncomportata con te. Sono stata imperdonabile.\x0E\x04\x02\x00
MID_ED1_#004	Ho peccato di fragilità, ti vedevo come il Drago\nDivino che ho perso. Non riuscivo ad accettarti\nper quello che sei.\x0E\x04\x02\x00
MID_ED1_#005	Ora capisco tutto con chiarezza. Se me lo\npermetterai, spero di cominciare un nuovo\ncapitolo che segni l'inizio della nostra amicizia.\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x0A\x08リュール\nCon piacere.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x10\x0EE005_エル\nTi ringrazio, Drago Divino.\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x0A\x08リュール\nCredi che Nil stia bene?\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x10\x0EE005_エル\nSembra solo privo di sensi. Prendiamoci il\nbracciale, finché possiamo.\x0E\x04\x02\x00
MID_ED1_#010	Il bracciale dell'Eletto. L'unico che era già in\nnostro possesso al castello di Lythos.\x0E\x04\x02\x00
MID_ED1_#011	Non avrei mai immaginato di trovarmi a\ncombattere contro di te, emblema Chrom.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x14\x12E005_敵クロム\nSapevo che avreste trionfato. Anche il futuro più\ncupo nasconde un barlume di speranza.\x0E\x04\x02\x00
MID_ED1_#013	Che il vostro nuovo legame sia fonte di nuove\ngioie. Fatene tesoro.\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x0A\x08リュール\nLo faremo.\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x10\x0EE005_エル\nOra andiamo dai Quattro Venti, presto.\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x14\x12E005_Boss\n...\x0E\x04\x02\x00
MID_ED1_#017	Ahahah...\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x1A\x14E004_グレゴリー\x021\n\x0E\x03\x00\x1A\x14E004_マデリーン\x022\n\x0E\x03\x00\x16\x10M011_モーヴ\x023\n\x0E\x03\x00\x1C\x16E004_セレスティア\x024\n\x0E\x03\x02\x16\x14E004_グレゴリー\nNgh... Sono troppe!\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x16\x14E004_マデリーン\nGià... Non facciamo in tempo a eliminarne una,\nche ne appare un'altra.\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x12\x10M011_モーヴ\nNon potremo resistere ancora a lungo.\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x18\x16E004_セレスティア\nPotremmo nasconderci dietro all'altare, ripararci\nun attimo dai loro attacchi. Seguitemi!\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x1A\x14E004_グレゴリー\x021\n\x0E\x03\x00\x1A\x14E004_マデリーン\x022\n\x0E\x03\x00\x1C\x16E004_セレスティア\x023\n\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x16\x14E004_グレゴリー\nFiù... Finalmente possiamo prendere fiato.\x0E\x04\x00\x00
MID_ED3_#002	\x0E\x03\x02\x16\x14E004_マデリーン\nNon ci conterei troppo, fossi in te. I nemici\nfaranno irruzione da un momento all'altro.\nCosa facciamo ora?\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x02\x18\x16E004_セレスティア\nL'uscita è una sola, ed è bloccata da un sigillo\nche fa apparire un'aberrazione dietro l'altra.\x0E\x04\x00\x00
MID_ED3_#004	\x0E\x03\x02\x16\x14E004_グレゴリー\nState dicendo che... siamo in trappola?\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x02\x12\x10M011_モーヴ\nEsatto. Intrappolati in un tempio pieno di\naberrazioni.\x0E\x04\x00\x00
MID_ED3_#006	\x0E\x03\x02\x18\x16E004_セレスティア\nÈ un miracolo che lady Nel sia riuscita a\nscappare. Avrebbe potuto rimanere anche lei\nbloccata qui con noi.\x0E\x04\x02\x00
MID_ED3_#007	Odio ammetterlo, ma temo che per noi non ci\nsia alcuna via di fuga. Non abbiamo molte\nsperanze di sopravvivere.\x0E\x04\x00\x00
MID_ED3_#008	\x0E\x03\x02\x16\x14E004_マデリーン\n...\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x02\x12\x10M011_モーヴ\nHo un piano.\x0E\x04\x00\x00
MID_ED3_#010	\x0E\x03\x02\x16\x14E004_グレゴリー\nDavvero? Grandioso! Viva il vicecomandante!\x0E\x04\x00\x00
MID_ED3_#011	\x0E\x03\x02\x12\x10M011_モーヴ\nUn piano per eliminare quante più aberrazioni\npossibile, pagando con la vita.\x0E\x04\x00\x00
MID_ED3_#012	\x0E\x03\x02\x16\x14E004_グレゴリー\nCos'hai detto?!\x0E\x04\x00\x00
MID_ED3_#013	\x0E\x03\x02\x18\x16E004_セレスティア\nBene. Ti ascoltiamo.\x0E\x04\x00\x00
MID_ED3_#014	\x0E\x03\x02\x12\x10M011_モーヴ\nSe continuiamo ad attaccarle una alla volta, non\notterremo grandi risultati. Ma se, invece, le\nschiacciassimo tutte assieme?\x0E\x04\x02\x00
MID_ED3_#015	Potremmo dirigerci ai quattro angoli del tempio\ne distruggere le colonne portanti.\x0E\x04\x02\x00
MID_ED3_#016	Il tempio crollerebbe, e con esso sparirebbero\nanche le aberrazioni.\x0E\x04\x00\x00
MID_ED3_#017	\x0E\x03\x02\x18\x16E004_セレスティア\nUhm...\x0E\x04\x00\x00
MID_ED3_#018	\x0E\x03\x02\x12\x10M011_モーヴ\nSe tutto andasse secondo i piani, eviteremmo\nche inseguano lady Nel e il Drago Divino.\x0E\x04\x00\x00
MID_ED3_#019	\x0E\x03\x02\x16\x14E004_グレゴリー\nGiusto per precisare... il tuo piano implica che\nanche noi finiamo spiaccicati?\x0E\x04\x00\x00
MID_ED3_#020	\x0E\x03\x02\x12\x10M011_モーヴ\nSì.\x0E\x04\x00\x00
MID_ED3_#021	\x0E\x03\x02\x18\x16E004_セレスティア\nPiano approvato.\x0E\x04\x02\x00
MID_ED3_#022	Se tutte le strade ci conducono alla morte,\nfacciamo in modo di portare quelle ignobili\ncreature con noi, se non altro.\x0E\x04\x00\x00
MID_ED3_#023	\x0E\x03\x02\x16\x14E004_マデリーン\nSembra l'opzione migliore tra quelle che\nabbiamo. Sono pronta.\x0E\x04\x00\x00
MID_ED3_#024	\x0E\x03\x02\x16\x14E004_グレゴリー\nIo, veramente... E va bene, ci sto.\x0E\x04\x00\x00
MID_ED3_#025	\x0E\x03\x02\x12\x10M011_モーヴ\nSiete tutti sicuri?\x0E\x04\x00\x00
MID_ED3_#026	\x0E\x03\x02\x18\x16E004_セレスティア\nSaremo insieme, no? Almeno non dovremo\naffrontare la fine da soli.\x0E\x04\x00\x00
MID_ED3_#027	\x0E\x03\x02\x16\x14E004_マデリーン\nGregory... Temo che sarà un po' doloroso.\x0E\x04\x00\x00
MID_ED3_#028	\x0E\x03\x02\x16\x14E004_グレゴリー\nSì, lo penso anch'io. Non importa. Cercherò\ndi concentrarmi sul fatto che sarà l'ultimo\ndolore della mia vita. Ce la farò.\x0E\x04\x02\x00
MID_ED3_#029	O meglio, spero di farcela... Sì, dai.\x0E\x04\x00\x00
MID_ED3_#030	\x0E\x03\x02\x12\x10M011_モーヴ\nMadeline, tu sei ancora giovane.\x0E\x04\x02\x00
MID_ED3_#031	Forse potrei cercare di distruggere due colonne\ne lasciarti libera di tentare la fuga.\x0E\x04\x00\x00
MID_ED3_#032	\x0E\x03\x02\x16\x14E004_マデリーン\nPerché dici così? Hai paura che non sia\nall'altezza del compito?\x0E\x04\x00\x00
MID_ED3_#033	\x0E\x03\x02\x12\x10M011_モーヴ\nNo, non fraintendermi...\x0E\x04\x00\x00
MID_ED3_#034	\x0E\x03\x02\x16\x14E004_マデリーン\nNon posso accettare la tua offerta. Voglio\ncondividere lo stesso destino dei miei compagni,\nqualunque esso sia.\x0E\x04\x02\x00
MID_ED3_#035	E poi il tuo piano, per avere successo, richiede\nla distruzione simultanea di tutte e quattro le\ncolonne.\x0E\x04\x00\x00
MID_ED3_#036	\x0E\x03\x02\x12\x10M011_モーヴ\nInsisto. Non compiere un sacrificio solo per\ndiventare un'eroina. I morti non sanno cosa\nfarsene delle lodi.\x0E\x04\x00\x00
MID_ED3_#037	\x0E\x03\x02\x16\x14E004_マデリーン\nLo so. Il mio mentore mi ha insegnato che non\nsono importanti le lodi, ma le imprese che\ncompiamo.\x0E\x04\x02\x00
MID_ED3_#038	E, soprattutto, è importante vivere una vita\nproba, di cui essere orgogliosi.\x0E\x04\x00\x00
MID_ED3_#039	\x0E\x03\x02\x12\x10M011_モーヴ\nNoto con piacere che sei diventata una perfetta\ncavaliera.\x0E\x04\x00\x00
MID_ED3_#040	\x0E\x03\x02\x16\x14E004_マデリーン\nSo di poter affrontare qualsiasi cosa, ora\nche ho sentito le tue parole.\x0E\x04\x00\x00
MID_ED3_#041	\x0E\x03\x00"\x1CE005_異形兵_ベルセルク\x022\n\x0E\x03\x02\x1E\x1CE005_異形兵_ベルセルク\nGrrrrr...\x0E\x04\x00\x00
MID_ED3_#042	\x0E\x03\x02\x16\x14E004_グレゴリー\nCompagni. È giunto il gran momento.\x0E\x04\x00\x00
MID_ED3_#043	\x0E\x03\x02\x18\x16E004_セレスティア\nSono contenta che ci sia stato concesso\nquest'ultimo momento assieme.\x0E\x04\x02\x00
MID_ED3_#044	Vi voglio bene.\x0E\x04\x02\x00
MID_ED3_#045	E ora... distruggiamole tutte!\x0E\x04\x00\x00
MID_ED4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x1C\x16E004_セレスティア\x021\n\x0E\x03\x00\x1A\x14E004_グレゴリー\x022\n\x0E\x03\x00\x1A\x14E004_マデリーン\x023\n\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x18\x16E004_セレスティア\nLady Nel... Le nostre strade si separano qui.\nPerdonateci per non aver tenuto fede al vostro\nultimo ordine.\x0E\x04\x02\x00
MID_ED4_#002	Mi auguro dal profondo del cuore che voi e il\nDrago Divino troverete il modo di salvare lord\nNil... e di vivere una vita felice.\x0E\x04\x02\x00
MID_ED4_#003	Quattro Venti, ascoltatemi! Questa è la nostra\nultima missione!\x0E\x04\x02\x00
MID_ED4_#004	Distruggete le colonne!\x0E\x04\x00\x00
MID_ED4_#005	\x0E\x03\x02\x16\x14E004_グレゴリー\nGaaah!\x0E\x04\x00\x00
MID_ED4_#006	\x0E\x03\x02\x16\x14E004_マデリーン\nYaaah!\x0E\x04\x00\x00
MID_ED4_#007	\x0E\x03\x02\x12\x10M011_モーヴ\nUgh!\x0E\x04\x00\x00
MID_ED5_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE005_エル\x022\n\x0E\x03\x00\x18\x12E005_Boss\x023\n\x0E\x03\x02\x0A\x08リュール\nCos'è stato? Ho sentito un rumore.\x0E\x04\x00\x00
MID_ED5_#002	\x0E\x03\x02\x10\x0EE005_エル\nI Quattro Venti... No...\x0E\x04\x00\x00
MID_ED5_#003	\x0E\x03\x02\x14\x12E005_Boss\nAhahahahah!\x0E\x04\x00\x00
MID_ED5_#004	\x0E\x03\x02\x0A\x08リュール\nNil!\x0E\x04\x00\x00
MID_ED5_#005	\x0E\x03\x02\x14\x12E005_Boss\nLe mie aberrazioni hanno svolto un lavoro\nimpeccabile, chi lo avrebbe mai detto. Il tempio\nè crollato.\x0E\x04\x02\x00
MID_ED5_#006	A meno che i miei sensi non mi ingannino, non\nrestano sopravvissuti tra le macerie.\x0E\x04\x02\x00
MID_ED5_#007	I Quattro Venti non esistono più.\x0E\x04\x00\x00
MID_ED5_#008	\x0E\x03\x02\x10\x0EE005_エル\nNooo!\x0E\x04\x00\x00
MID_ED5_#009	\x0E\x03\x02\x0A\x08リュール\nCome è potuto succedere?\x0E\x04\x00\x00
MID_ED5_#010	\x0E\x03\x02\x10\x0EE005_エル\nCi ha ingannati, e dentro al tempio siamo stati\nattaccati da un gruppo di aberrazioni.\x0E\x04\x02\x00
MID_ED5_#011	I Quattro Venti sono rimasti all'interno, per\npermettermi di scappare e venire da te.\x0E\x04\x00\x00
MID_ED5_#012	\x0E\x03\x02\x0A\x08リュール\nOh, no...\x0E\x04\x00\x00
MID_ED5_#013	\x0E\x03\x02\x14\x12E005_Boss\nPrima hai rifiutato di collaborare, Drago Divino.\nForse ora cambierai idea.\x0E\x04\x00\x00
MID_ED5_#014	\x0E\x03\x02\x10\x0EE005_エル\nArgh!\x0E\x04\x00\x00
MID_ED5_#015	\x0E\x03\x02\x0A\x08リュール\nNel!\x0E\x04\x00\x00
MID_ED5_#016	\x0E\x03\x02\x14\x12E005_Boss\nSe la sua vita vale qualcosa per te, ci vediamo\nsull'isola che un tempo fluttuava tra le nuvole.\x0E\x04\x00\x00
MID_ED5_#017	\x0E\x03\x02\x0A\x08リュール\nNil! Fermati!\x0E\x04\x02\x00
