MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04不明\x021\n\x0E\x03\x02\x06\x04不明\nDesiderate mantenere l'innocenza, tenendo\nfede agli insegnamenti ricevuti?\x0E\x04\x02\x00
MID_BT19_#002	Anche tu avrai avuto la stessa impressione,\nquando mi trasformavo io.\x0E\x04\x00\x00
MID_BT19_#003	\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01 \x12E005_Boss\nAngry\n\x0E\x03\x02\x14\x12E005_Boss\nRisparmiami la pietà e le congetture. Tu hai\nsempre avuto tutto. Non potremmo essere più\ndiversi.\x0E\x04\x02\x00
MID_BT19_#004	Non potrai mai capirmi, neanche vivendo\nmigliaia di anni.\x0E\x04\x00\x00
MID_BT19_#005	\x0E\x03\x02\x10\x0EE006_エル\nIl tempo trascorso come gemelli è stato solo\nun breve intervallo, a confronto.\x0E\x04\x02\x00
MID_BT19_#006	\x0E\x05\x01 \x0EE006_エル\x0ESerious\nEppure mi è bastato per capire quanto tengo\na te.\x0E\x04\x02\x00
MID_BT19_#007	\x0E\x05\x01\x1A\x0EE006_エル\x08Pain\nNon farlo, Nil. Non riportare le cose a\ncom'erano con Sombron.\x0E\x04\x02\x00
MID_BT19_#008	Ti scongiuro. Non sopporto l'idea di perderti.\x0E\x04\x00\x00
MID_BT20_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01 \x12E005_Boss\nSmile\n\x0E\x03\x02\x14\x12E005_Boss\nIl mio sogno si è realizzato, finalmente.\nDovrei ringraziarti, Drago Divino.\x0E\x04\x02\x00
MID_BT20_#002	\x0E\x05\x01 \x12E005_Boss\nAngry\nQuesto mondo cadrà in rovina, tutto per merito\ntuo!\x0E\x04\x00\x00
MID_BT20_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1A\x08リュール\x0ESerious\n\x0E\x03\x02\x0A\x08リュール\nHai ragione. È stato il mio arrivo a scatenare\nquesti eventi.\x0E\x04\x02\x00
MID_BT20_#004	\x0E\x05\x01 \x12E005_Boss\nSmile\n\x0E\x05\x01\x12\x08リュール\x06Sad\nE quando ho rimosso il sigillo dall'ultimo\nbracciale, con molta probabilità ho condannato\nquesto luogo alla distruzione.\x0E\x04\x02\x00
MID_BT20_#005	\x0E\x05\x01\x16\x08リュール\nAngry\nMa sono stat\x0E\x0A\x00\x08\x02o\x02a evocat\x0E\x0A\x00\x08\x02o\x02a qui con l'intento di\nsalvarvi e, finché ci sarà speranza, non mi\narrenderò.\x0E\x04\x00\x00
MID_BT20_#006	\x0E\x05\x01 \x12E005_Boss\nAngry\n\x0E\x03\x02\x14\x12E005_Boss\nNon ho bisogno di essere salvato. Mi basta\nvederti morire, sapendo che hai distrutto\nquesto mondo!\x0E\x04\x00\x00
MID_BT20_#007	\x0E\x05\x01\x1A\x08リュール\x0ESerious\n\x0E\x03\x02\x0A\x08リュール\nNon è per il mondo che sono qui, ma per le\npersone che lo popolano.\x0E\x04\x02\x00
MID_BT20_#008	\x0E\x05\x01\x16\x08リュール\nAngry\nSono qui perché qualcuno ha pregato per la\ntua salvezza, anche se ciò significasse la fine\ndel mondo.\x0E\x04\x02\x00
MID_BT20_#009	Non vedi quante persone ti vogliono bene?\nSe per fartelo capire dovrò sconfiggerti, sono\npront\x0E\x0A\x00\x08\x02o\x02a!\x0E\x04\x00\x00
MID_BT21_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01 \x12E005_Boss\nSmile\n\x0E\x03\x02\x14\x12E005_Boss\nGuarda e trema, Zelestia! Stai per assistere al\npotere di un vero drago!\x0E\x04\x00\x00
MID_BT21_#002	\x0E\x03\x00\x1C\x16E006_セレスティア\x02t\n\x0E\x05\x01 \x16E006_セレスティア\x06Sad\n\x0E\x03\x02\x18\x16E006_セレスティア\nLord Nil... Sono un drago anche io, ma il vostro\naspetto è davvero impressionante.\x0E\x04\x02\x00
MID_BT21_#003	Certo, non avete bisogno dell'aiuto di nessuno,\nma verrà il giorno in cui vi sentirete solo.\x0E\x04\x02\x00
MID_BT21_#004	Non avere nessuno al vostro fianco non vi\ndarà la libertà. Vi prego di rifletterci.\x0E\x04\x00\x00
MID_BT21_#005	\x0E\x05\x01"\x12E005_Boss\x0CNormal\n\x0E\x03\x02\x14\x12E005_Boss\nNon provo nulla del genere. Forse sei tu a\nsentirti sola, senza uno dei tuoi venticelli.\x0E\x04\x02\x00
MID_BT21_#006	\x0E\x05\x01 \x12E005_Boss\nSmile\nNon temere. Ora ti spedirò dritta da lui!\x0E\x04\x00\x00
MID_BT21_#007	\x0E\x05\x01(\x16E006_セレスティア\x0ESerious\n\x0E\x03\x02\x18\x16E006_セレスティア\nMauvier, ero disposta a morire con te.\nMa... ti ringrazio. Farò buon uso del tuo dono.\x0E\x04\x02\x00
MID_BT21_#008	\x0E\x05\x01$\x16E006_セレスティア\nAngry\nDopo tutto quello che hai fatto, ora ho il\ncoraggio di affrontarti. Non ti lascerò portare\nvia nient'altro!\x0E\x04\x00\x00
MID_BT22_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01"\x12E005_Boss\x0CNormal\n\x0E\x03\x02\x14\x12E005_Boss\nMa guarda. Mi stupisce non vederti scappare\nin preda al terrore.\x0E\x04\x02\x00
MID_BT22_#002	\x0E\x05\x01 \x12E005_Boss\nSmile\nDevo dedurne che sei pronto ad accettare la\nmorte con coraggio? Vedrai, farò in modo che\nsia veloce e indolore.\x0E\x04\x00\x00
MID_BT22_#003	\x0E\x03\x00\x1A\x14E006_グレゴリー\x02t\n\x0E\x05\x01\x1E\x14E006_グレゴリー\x06Shy\n\x0E\x03\x02\x16\x14E006_グレゴリー\nSe mi ucciderai, voglio sentire tutto. Non\nsarebbe giusto se io fossi l'unico a morire senza\npatimenti.\x0E\x04\x02\x00
MID_BT22_#004	\x0E\x05\x01 \x14E006_グレゴリー\x08Pain\nMauvier deve avere avuto tanta paura, e non\noso pensare al dolore. Mentre io sono ancora\nqui, sano e salvo!\x0E\x04\x02\x00
MID_BT22_#005	\x0E\x05\x01"\x14E006_グレゴリー\nAngry\nNon ti rendi conto di quanta sofferenza causi\ntutto questo?! Eh?! Non sei triste che uno dei\ntuoi cavalieri sia morto?!\x0E\x04\x00\x00
MID_BT22_#006	\x0E\x05\x01 \x12E005_Boss\nRelax\n\x0E\x03\x02\x14\x12E005_Boss\nSe mi estorcessi qualche lacrimuccia, ti\nsentiresti meglio?\x0E\x04\x00\x00
MID_BT22_#007	\x0E\x03\x02\x16\x14E006_グレゴリー\nOh, ti darò un buon motivo per essere triste.\nIl lord Nil che conoscevo eri proprio tu, in fondo.\x0E\x04\x02\x00
MID_BT22_#008	Ti annienterò. E non ti risparmierò i ricordi che\nho di lui, finché non scoppierai in lacrime!\x0E\x04\x02\x00
MID_BT22_#009	Te lo assicuro, quanto è vero che sono il\nvicecomandante dei Quattro Venti!\x0E\x04\x00\x00
MID_BT23_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E005_Boss\x02b\n\x0E\x06\x00.\x12E005_Boss\x18MPID_Il_E006\n\x0E\x05\x01"\x12E005_Boss\x0CNormal\n\x0E\x03\x02\x14\x12E005_Boss\nMauvier è morto. Immagino che tu sia\nassetata di sangue.\x0E\x04\x02\x00
MID_BT23_#002	\x0E\x05\x01 \x12E005_Boss\nSmile\nCerca pure di prendere il mio, se ci riesci,\nprima che io prosciughi completamente il tuo.\x0E\x04\x00\x00
MID_BT23_#003	\x0E\x03\x00\x1A\x14E006_マデリーン\x02t\n\x0E\x05\x01 \x14E006_マデリーン\x08Pain\n\x0E\x03\x02\x16\x14E006_マデリーン\nNon nutro rancore nei tuoi confronti. Ciò che\nè stato è stato, e non si può tornare indietro.\x0E\x04\x02\x00
MID_BT23_#004	Sono una cavaliera, e cavaliere era il mio\nmentore prima di me. Sono pronta ad accettare\nil mio destino.\x0E\x04\x00\x00
MID_BT23_#005	\x0E\x05\x01 \x12E005_Boss\nRelax\n\x0E\x03\x02\x14\x12E005_Boss\nStai dicendo che non provi alcun risentimento?\nCos'è? Stai cercando pietosamente di fare\ndell'umorismo?\x0E\x04\x00\x00
MID_BT23_#006	\x0E\x05\x01&\x12E005_Boss\x10Surprise\n\x0E\x03\x02\x16\x14E006_マデリーン\nNon sei stato tu a uccidere Mauvier. È stata una\nsua scelta. Lo ha fatto per proteggerci.\x0E\x04\x02\x00
MID_BT23_#007	\x0E\x05\x01"\x14E006_マデリーン\nAngry\n\x0E\x05\x01 \x12E005_Boss\nAngry\nIn onore del suo nobile sacrificio, metterò fine\nai tuoi piani.\x0E\x04\x02\x00
MID_BT23_#008	Questa è la giustizia. E so che è ciò che lui\navrebbe desiderato.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x18\x12E005_Boss\x021\n\x0E\x03\x00\x14\x0EE006_エル\x022\n\x0E\x03\x00\x0E\x08リュール\x023\n\x0E\x03\x00\x1C\x16E006_セレスティア\x024\n\x0E\x03\x02\x0A\x08リュール\nI bracciali... Dove sono finiti?\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x10\x0EE006_エル\nUna volta compiuto il loro dovere, scompaiono.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x0A\x08リュール\nAllora questo è un addio.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x14\x12E005_Boss\nMa perché...? Perché?! Com'è possibile che\nneanche con i bracciali possa battervi?!\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x10\x0EE006_エル\nDovresti averlo capito.\x0E\x04\x02\x00
MID_ED1_#006	Il cammino che Sombron aveva pianificato per\nte non era quello giusto.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x14\x12E005_Boss\nMa se non posso seguire le sue volontà... la mia\nvita non ha uno scopo.\x0E\x04\x02\x00
MID_ED1_#008	Ho trascorso la vita a inseguire l'approvazione\naltrui... solo per scoprire che non valgo davvero\nniente.\x0E\x04\x02\x00
MID_ED1_#009	Non sarò mai come te.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x10\x0EE006_エル\nNon è vero che non vali niente. Sei il mio\ninsostituibile gemello. Siamo due metà di un\nintero.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x14\x12E005_Boss\nSciocchezze. Ti ho già detto che non sono Nil.\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x10\x0EE006_エル\nLo so.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nIn che senso non sei Nil?\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x18\x16E006_セレスティア\nNon capisco. Che ne è del vero Nil?\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x14\x12E005_Boss\nMorì in battaglia un migliaio di anni fa, poco\ndopo aver ricevuto la pietra drago di Nel.\x0E\x04\x02\x00
MID_ED1_#016	Non desiderava altro che rendere orgogliosa sua\nsorella.\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x02\x0A\x08リュール\nMa allora... tu chi sei?\x0E\x04\x00\x00
MID_ED1_#018	\x0E\x03\x02\x14\x12E005_Boss\nUn Drago Maligno che perse il proprio gemello\nda piccolo. Non ricordo neanche che faccia\navesse.\x0E\x04\x02\x00
MID_ED1_#019	Ero solo, senza particolari abilità, circondato\nda coppie di gemelli.\x0E\x04\x02\x00
MID_ED1_#020	Finché non incontrai Nil, che era il mio ritratto.\x0E\x04\x02\x00
MID_ED1_#021	Non ci assomigliavamo solo fisicamente, ma\navevamo anche molto in comune.\x0E\x04\x02\x00
MID_ED1_#022	Per un certo tempo fummo inseparabili. Ero\ncosì contento di avere un fratello vero al mio\nfianco.\x0E\x04\x02\x00
MID_ED1_#023	Era lui la mia metà.\x0E\x04\x00\x00
MID_ED1_#024	\x0E\x03\x02\x10\x0EE006_エル\n...\x0E\x04\x00\x00
MID_ED1_#025	\x0E\x03\x02\x14\x12E005_Boss\nAlmeno, da parte mia era così. Per lui, invece,\nNel era insostituibile.\x0E\x04\x02\x00
MID_ED1_#026	Quando lo trovai sul campo di battaglia in fin\ndi vita, i suoi ultimi pensieri erano rivolti a lei.\x0E\x04\x02\x00
MID_ED1_#027	Mi diede la pietra drago di Nel. Non voleva che\nlei piangesse la sua morte.\x0E\x04\x02\x00
MID_ED1_#028	Per quel motivo... mi chiese di prendere il suo\nposto.\x0E\x04\x00\x00
MID_ED1_#029	\x0E\x03\x02\x0A\x08リュール\nE così diventasti Nil.\x0E\x04\x00\x00
MID_ED1_#030	\x0E\x03\x02\x14\x12E005_Boss\nFeci credere di essere morto io quel giorno.\nIn un certo senso, lo ero.\x0E\x04\x02\x00
MID_ED1_#031	Nessuno avrebbe pianto la mia scomparsa.\nMio padre non se ne sarebbe neanche accorto.\x0E\x04\x00\x00
MID_ED1_#032	\x0E\x03\x02\x18\x16E006_セレスティア\nStento a credere alla vostra storia.\x0E\x04\x00\x00
MID_ED1_#033	\x0E\x03\x02\x14\x12E005_Boss\nE invece devi crederci. Sono un impostore e\ntu dovresti uccidermi senza indugio.\x0E\x04\x02\x00
MID_ED1_#034	Ho portato il mondo sull'orlo della catastrofe.\nSe nessuno mi ferma, lo rifarò.\x0E\x04\x02\x00
MID_ED1_#035	Uccidimi per questo, se proprio ti serve un\nmotivo. E tu cosa mi dici, Nel?\x0E\x04\x00\x00
MID_ED1_#036	\x0E\x03\x02\x10\x0EE006_エル\nHo sempre saputo che non eri Nil.\x0E\x04\x00\x00
MID_ED1_#037	\x0E\x03\x02\x14\x12E005_Boss\nCosa?\x0E\x04\x00\x00
MID_ED1_#038	\x0E\x03\x02\x10\x0EE006_エル\nSapevo che era morto.\x0E\x04\x02\x00
MID_ED1_#039	Ho capito subito il tuo inganno, ma ho scelto\ndi stare al gioco ed evitare l'argomento.\x0E\x04\x02\x00
MID_ED1_#040	Hai preso il suo posto per il mio bene, e per il\nsuo. È stato un atto di gentilezza.\x0E\x04\x02\x00
MID_ED1_#041	Non siamo gemelli, ma ti ho sempre visto come\nla mia metà.\x0E\x04\x00\x00
MID_ED1_#042	\x0E\x03\x02\x14\x12E005_Boss\nE allora... sei una pazza!\x0E\x04\x00\x00
MID_ED1_#043	\x0E\x03\x02\x10\x0EE006_エル\nSei libero di dire ciò che vuoi, ma sappi che lo\npenso davvero.\x0E\x04\x02\x00
MID_ED1_#044	Ricordi quando ci siamo recati al cimitero del\ncastello di Lythos prima di partire?\x0E\x04\x02\x00
MID_ED1_#045	Forse non lo hai notato, ma vi ho lasciato un\nfiore secco. Era di Nil.\x0E\x04\x02\x00
MID_ED1_#046	Non stavo salutando solo il Drago Divino,\nquel giorno.\x0E\x04\x00\x00
MID_ED1_#047	\x0E\x03\x02\x0A\x08リュール\nStavi salutando anche Nil.\x0E\x04\x00\x00
MID_ED1_#048	\x0E\x03\x02\x10\x0EE006_エル\nHo portato quel fiore con me per lungo tempo.\nVi era una parte di me che non riusciva a\nsuperare la sua scomparsa.\x0E\x04\x02\x00
MID_ED1_#049	Ciononostante, mi sono affezionata molto a te.\x0E\x04\x02\x00
MID_ED1_#050	La tua compagnia mi ha salvata dalla solitudine\ne dalla disperazione. Sono contenta di averti\nfatto da sorella.\x0E\x04\x02\x00
MID_ED1_#051	Custodirò per sempre nel cuore il tempo passato\nassieme, anche se tu non provi lo stesso per me.\x0E\x04\x02\x00
MID_ED1_#052	Senza di te, non sarei riuscita a combattere\nper tutto questo tempo.\x0E\x04\x02\x00
MID_ED1_#053	Mi fidavo di te più di chiunque altro, e credevo\nin te con tutto il mio cuore.\x0E\x04\x02\x00
MID_ED1_#054	La sola prova che non siamo veri gemelli è che\nnon sono riuscita a intuire le tue intenzioni.\x0E\x04\x00\x00
MID_ED1_#055	\x0E\x03\x02\x14\x12E005_Boss\nPuò darsi. Ammetto che speravo proprio di\nsentirtelo dire, sono le perfette parole d'addio.\x0E\x04\x02\x00
MID_ED1_#056	Sei pronta?\x0E\x04\x00\x00
MID_ED1_#057	\x0E\x03\x02\x10\x0EE006_エル\nSì.\x0E\x04\x00\x00
MID_ED1_#058	\x0E\x03\x02\x14\x12E005_Boss\nGrazie di tutto.\x0E\x04\x02\x00
MID_ED1_#059	Addio, Nel.\x0E\x04\x00\x00
MID_ED1_#060	\x0E\x03\x02\x10\x0EE006_エル\nAddio.\x0E\x04\x02\x00
MID_ED1_#061	Ngh...\x0E\x04\x00\x00
MID_ED1_#062	\x0E\x03\x02\x14\x12E005_Boss\nFerma! Ma cosa fai?!\x0E\x04\x00\x00
MID_ED1_#063	\x0E\x03\x02\x0A\x08リュール\nNel?!\x0E\x04\x00\x00
MID_ED1_#064	\x0E\x03\x02\x10\x0EE006_エル\nEsiste un altro modo per porre fine alla tua\nsofferenza.\x0E\x04\x02\x00
MID_ED1_#065	Quando non ci sarò più, sarai libero.\x0E\x04\x02\x00
MID_ED1_#066	Io preferisco morire che perdere qualcun altro.\x0E\x04\x00\x00
MID_ED1_#067	\x0E\x03\x02\x14\x12E005_Boss\nNel!\x0E\x04\x02\x00
MID_ED1_#068	\x0E\x03\x02\x10\x0EE006_エル\nVorrei averlo capito prima. Avrei potuto\nevitare tutto questo.\x0E\x04\x02\x00
MID_ED1_#069	Forse ritroverò Nil e il mio Drago Divino, ma\nnon oso sperare tanto...\x0E\x04\x02\x00
MID_ED1_#070	Se anche non fosse... almeno riposerò in\npace, sapendo che non soffri più.\x0E\x04\x00\x00
MID_ED1_#071	\x0E\x03\x02\x14\x12E005_Boss\nPerché lo fai? Sono io a meritare questa fine,\nnon tu.\x0E\x04\x02\x00
MID_ED1_#072	Avresti dovuto uccidermi!\x0E\x04\x00\x00
MID_ED1_#073	\x0E\x03\x02\x10\x0EE006_エル\nNon avrei sopportato il pensiero di perdere un\naltro fratello. Perché è questo che sei per me,\nnonostante tutto.\x0E\x04\x02\x00
MID_ED1_#074	Prima che arrivi la fine... mi diresti il tuo nome?\x0E\x04\x02\x00
MID_ED1_#075	...\x0E\x04\x00\x00
MID_ED1_#076	\x0E\x03\x02\x18\x16E006_セレスティア\nLady Nel! Oh, no!\x0E\x04\x00\x00
MID_ED1_#077	\x0E\x03\x02\x0A\x08リュール\nÈ...\x0E\x04\x00\x00
MID_ED1_#078	\x0E\x03\x00"\x1Cデモ用_竜石なし_ラファール\x021\n\x0E\x06\x00.\x1Cデモ用_竜石なし_ラファール\x0EMPID_Il\n\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nMorta.\x0E\x04\x02\x00
MID_ED1_#079	Senza un'ultima parola di rimprovero.\nSenza rimpianti per la propria morte.\x0E\x04\x02\x00
MID_ED1_#080	Voleva solo... sapere il mio nome...\x0E\x04\x02\x00
MID_ED1_#081	...\x0E\x04\x02\x00
MID_ED1_#082	\x0E\x06\x006\x1Cデモ用_竜石なし_ラファール\x16MPID_Rafale\n\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nRafal, sorella mia.\x0E\x04\x02\x00
MID_ED1_#083	Mi chiamo Rafal.\x0E\x04\x00\x00
MID_ED1_#084	\x0E\x03\x02\x0A\x08リュール\nRafal...\x0E\x04\x00\x00
MID_ED1_#085	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nCome ho potuto dimenticare me stesso?\x0E\x04\x02\x00
MID_ED1_#086	Nil mi chiese di prendermi cura di sua sorella.\nEra il suo ultimo desiderio.\x0E\x04\x02\x00
MID_ED1_#087	Ma non era solo il suo desiderio, era anche\nil mio.\x0E\x04\x02\x00
MID_ED1_#088	L'unica cosa che volevo era essere la sua metà.\x0E\x04\x02\x00
MID_ED1_#089	Come ho fatto a dimenticarmi tutto questo?\x0E\x04\x02\x00
MID_ED1_#090	Hai detto che la mia sofferenza sarebbe finita,\nNel... ma non è così.\x0E\x04\x02\x00
MID_ED1_#091	E come potrebbe?!\x0E\x04\x00\x00
MID_ED1_#092	\x0E\x03\x02\x0A\x08リュール\nPercepisco qualcosa... I pezzi della pietra drago\nemanano una strana energia.\x0E\x04\x00\x00
MID_ED1_#093	\x0E\x03\x02\x18\x16E006_セレスティア\nÈ la magia di Sombron. Che abbia lanciato un\nincantesimo su quella pietra drago?\x0E\x04\x02\x00
MID_ED1_#094	Serviva a seminare l'odio nel cuore di lord Nil...\ndi Rafal.\x0E\x04\x02\x00
MID_ED1_#095	Le pietre drago si distruggono solo quando\nmuore il loro proprietario. Quando lady Nel è\nmorta, l'incantesimo si è finalmente spezzato.\x0E\x04\x00\x00
MID_ED1_#096	\x0E\x03\x02\x0A\x08リュール\nSombron ha fatto in modo che vi metteste l'uno\ncontro l'altra, invece di allearvi contro di lui.\x0E\x04\x00\x00
MID_ED1_#097	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nChe idiozia.\x0E\x04\x02\x00
MID_ED1_#098	Vuol dire che era tutta colpa di un incantesimo?\nChe tutto è perdonato?\x0E\x04\x02\x00
MID_ED1_#099	Non ha senso!\x0E\x04\x02\x00
MID_ED1_#100	A prescindere dall'influenza di Sombron, sono\ncomunque responsabile delle mie azioni.\x0E\x04\x02\x00
MID_ED1_#101	Ho fatto ciò che ho fatto per scelta.\nLo volevo.\x0E\x04\x02\x00
MID_ED1_#102	Non lascerò che nessuno mi sollevi dalle mie\ncolpe... neanche mio padre.\x0E\x04\x00\x00
MID_ED1_#103	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_ED1_#104	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nCercavo il potere, e l'ho ottenuto. Di questo\nnon mi pento.\x0E\x04\x02\x00
MID_ED1_#105	L'unico rimpianto... è non aver mantenuto la\npromessa fatta a Nil.\x0E\x04\x02\x00
MID_ED1_#106	...\x0E\x04\x02\x00
MID_ED1_#107	Drago Divino.\x0E\x04\x00\x00
MID_ED1_#108	\x0E\x03\x02\x0A\x08リュール\nDimmi.\x0E\x04\x00\x00
MID_ED1_#109	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nHo sentito dire che alcuni draghi dall'enorme\npotere sono in grado di trasmettere la loro\nforza vitale agli altri.\x0E\x04\x02\x00
MID_ED1_#110	Pensi che sia vero?\x0E\x04\x00\x00
MID_ED1_#111	\x0E\x03\x02\x0A\x08リュール\nSì... Mia madre lo fece con me, ma ci vollero\nmille anni prima che mi risvegliassi.\x0E\x04\x00\x00
MID_ED1_#112	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nAllora lo farò anch'io. Riporterò in vita Nel,\nnon mi importa quanti secoli ci vorranno.\x0E\x04\x02\x00
MID_ED1_#113	Resterò qui da solo, in un mondo spopolato,\nnell'attesa che riapra gli occhi.\x0E\x04\x02\x00
MID_ED1_#114	Sarà la degna punizione per il male che ho\ncommesso.\x0E\x04\x02\x00
MID_ED1_#115	E forse... se e quando ti sveglierai...\x0E\x04\x02\x00
MID_ED1_#116	... potremo diventare due metà dello stesso\nintero, questa volta per davvero.\x0E\x04\x00\x00
MID_ED1_#117	\x0E\x03\x02\x0A\x08リュール\nLo sarete.\x0E\x04\x02\x00
MID_ED1_#118	Anzi... lo siete già.\x0E\x04\x00\x00
MID_ED1_#119	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nAh...\x0E\x04\x00\x00
MID_ED1_#120	\x0E\x03\x02\x0A\x08リュール\nRafal, quando Nel si sarà svegliata... verrete\na vivere con me in Elyos?\x0E\x04\x00\x00
MID_ED1_#121	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nCome hai detto?\x0E\x04\x00\x00
MID_ED1_#122	\x0E\x03\x02\x0A\x08リュール\nSento che troverete un modo di raggiungerci,\nda qui nel Somniel.\x0E\x04\x02\x00
MID_ED1_#123	Non so come spiegarlo, ma ora percepisco il\nmio mondo. Lo sento... più vicino.\x0E\x04\x00\x00
MID_ED1_#124	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nGià... Sembra che si sia aperto un passaggio\nverso altri mondi, forse a causa dei bracciali.\x0E\x04\x02\x00
MID_ED1_#125	D'altronde desideravo portare a compimento\ni piani di mio padre e la conquista di altri mondi\nne era parte...\x0E\x04\x02\x00
MID_ED1_#126	Comunque, deve essere come dici tu. Credo\nche sia possibile spostarsi da un mondo all'altro\nda qui.\x0E\x04\x00\x00
MID_ED1_#127	\x0E\x03\x02\x0A\x08リュール\nAvrete entrambi la mia protezione. Quando\nsarete pronti, sappiate che vi attendo a braccia\naperte.\x0E\x04\x02\x00
MID_ED1_#128	D'altronde, nessuno può entrare nel Somniel\nsenza la benedizione del Drago Divino.\x0E\x04\x02\x00
MID_ED1_#129	Sapete dove trovarmi. L'invito è aperto e non\nha limiti di tempo.\x0E\x04\x00\x00
MID_ED1_#130	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nQuindi mi vorresti come alleato, nonostante\nabbia cercato di ucciderti poco fa?\x0E\x04\x02\x00
MID_ED1_#131	Se devo rispondere adesso, allora la mia\nrisposta è sicuramente no.\x0E\x04\x02\x00
MID_ED1_#132	Tuttavia, mille anni sono lunghi.\x0E\x04\x02\x00
MID_ED1_#133	Facciamo così. Se per miracolo Nel si svegliasse\ne mi perdonasse...\x0E\x04\x02\x00
MID_ED1_#134	... allora, e solo in quel caso, verrei da te.\x0E\x04\x00\x00
MID_ED1_#135	\x0E\x03\x02\x0A\x08リュール\nÈ più che comprensibile.\x0E\x04\x00\x00
MID_ED1_#136	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nNon ho altro da aggiungere. Ora vai.\x0E\x04\x00\x00
MID_ED1_#137	\x0E\x03\x02\x0A\x08リュール\nCome preferisci. Spero di incontrarvi ancora.\x0E\x04\x00\x00
MID_ED1_#138	\x0E\x03\x02\x18\x16E006_セレスティア\nLord Rafal?\x0E\x04\x00\x00
MID_ED1_#139	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nSì?\x0E\x04\x00\x00
MID_ED1_#140	\x0E\x03\x02\x18\x16E006_セレスティア\nNonostante l'accaduto, sono grata per il tempo\ntrascorso assieme.\x0E\x04\x02\x00
MID_ED1_#141	Mi auguro che ci ritroveremo come alleati,\npresto o tardi.\x0E\x04\x00\x00
MID_ED1_#142	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nTanta gentilezza è solo uno spreco, con me.\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x1C\x16デモ用_神竜王リュール\x021\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\n\x0E\x03\x00\x1C\x16E006_セレスティア\x022\n\x0E\x03\x00\x1A\x14E006_マデリーン\x023\n\x0E\x03\x00\x1A\x14E006_グレゴリー\x024\n\x0E\x03\x02\x18\x16デモ用_神竜王リュール\nEccoci tornati al castello di Lythos.\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x18\x16E006_セレスティア\nSembra passata un'eternità.\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nQuante cose sono accadute da quando ho\nincontrato Nel e Nil.\x0E\x04\x02\x00
