MSID_Hp_5	PS +5
MSID_H_LeafEngageAtk_Covert	L'unità attacca con spada, lancia,\nascia e arco.\nFurtivi: il nemico lascia 1.000 M\ncon probabilità Fort%.
MSID_H_LeafEngageAtk_Prana	L'unità attacca con spada, lancia,\nascia e arco.\nAdepti qi: causa breccia.
MSID_H_LeafEngageAtk_CMD	Lancia un attacco con 4 armi.
MSID_BondPower	Doppio colpo
MSID_H_BondPower	L'unità effettua un attacco\nconcatenato come se fosse\nun'unità di rinforzo.
MSID_DualAssist_1	Doppio aiuto
MSID_H_DualAssist_1	Se l'unità può eseguire attacchi\nconcatenati, li effettuerà quando gli\nalleati attaccano dei nemici che si\ntrovano nel suo raggio di movimento.\nProbabilità: 35%.
MSID_DualAssist_2	Doppio aiuto+
MSID_H_DualAssist_2	Se l'unità può eseguire attacchi\nconcatenati, li effettuerà quando gli\nalleati attaccano dei nemici che si\ntrovano nel suo raggio di movimento.\nProbabilità: 70%.
MSID_DualSupport	Doppio sostegno
MSID_H_DualSupport	Incrementa Scv in rapporto al livello\ndi sostegno con alleati adiacenti.\n(Max +90.)
MSID_LucinaEngage	Legame di scudo
MSID_H_LucinaEngage_CMD	Annulla primo attacco contro\nalleati adiacenti. Prob.: 80%.
MSID_H_LucinaEngage_CMD_Dragon	Annulla primo attacco contro\nalleati adiacenti. Prob.: 90%.
MSID_H_LucinaEngage_CMD_Prana	Annulla primo attacco contro\nalleati adiacenti.
MSID_H_LucinaEngage	Usa il comando per annullare\nil primo attacco contro alleati\nadiacenti fino al prossimo turno.\nProbabilità: 80%.
MSID_H_LucinaEngage_Dragon	Usa il comando per annullare\nil primo attacco contro alleati\nadiacenti fino al prossimo turno.\nProbabilità: 80%.\nDraghi: +10% probabilità.
MSID_H_LucinaEngage_Horse	Usa il comando per annullare\nil primo attacco contro alleati\nadiacenti fino al prossimo turno.\nProbabilità: 80%.\nCavalleria: 100% su alleati a cavallo.
MSID_H_LucinaEngage_Heavy	Usa il comando per annullare\nil primo attacco contro alleati\nadiacenti fino al prossimo turno.\nProbabilità: 80%.\nCorazzati: 100% su alleati corazzati.
MSID_H_LucinaEngage_Fly	Usa il comando per annullare\nil primo attacco contro alleati\nadiacenti fino al prossimo turno.\nProbabilità: 80%.\nVolanti: 100% su alleati volanti.
MSID_H_LucinaEngage_Prana	Usa il comando per annullare\nil primo attacco contro alleati\nadiacenti fino al prossimo turno.\nProbabilità: 80%.\nAdepti qi: probabilità 100%.
MSID_LucinaEngageAtk	Tutti per uno
MSID_H_LucinaEngageAtk	Gli alleati nel raggio di 2 spazi\neffettuano attacchi concatenati\na sostegno dell'unità. Solo spada\ne nemici adiacenti.
MSID_H_LucinaEngageAtk_Dragon	Gli alleati nel raggio di 2 spazi\neffettuano attacchi concatenati\na sostegno dell'unità. Solo spada\ne nemici adiacenti. Draghi: tutti gli\nattacchi concatenati vanno a segno.
MSID_H_LucinaEngageAtk_Coop	Gli alleati nel raggio di 2 spazi\neffettuano attacchi concatenati\na sostegno dell'unità. Solo spada\ne nemici adiacenti.\nRinforzo: raggio +1.
MSID_H_LucinaEngageAtk_CMD	Tutti gli alleati vicini attaccano.
MSID_Pursuit_1	Alacrità
MSID_H_Pursuit_1	Se l'unità inizia lo scontro con un\nvantaggio di 9 o più in Vel, sferra\nl'eventuale secondo colpo\ndell'attacco doppio prima del\ncontrattacco nemico.
MSID_Pursuit_2	Alacrità+
MSID_H_Pursuit_2	Se l'unità inizia lo scontro con un\nvantaggio di 7 o più in Vel, sferra\nl'eventuale secondo colpo\ndell'attacco doppio prima del\ncontrattacco nemico.
MSID_Pursuit_3	Alacrità++
MSID_H_Pursuit_3	Se l'unità inizia lo scontro con un\nvantaggio di 5 o più in Vel, sferra\nl'eventuale secondo colpo\ndell'attacco doppio prima del\ncontrattacco nemico.
MSID_SpeedAbsorption	Suggivelocità
MSID_H_SpeedAbsorption	Ogni volta che l'unità inizia\nlo scontro e sconfigge il nemico,\nottiene Vel +2 (cumulabile) fino alla\nfine della battaglia (max +10).
MSID_LinEngage	Evoca cloni
MSID_H_LinEngage	Usa il comando per creare 4 cloni\nillusori che aiutano l'unità con\nattacchi concatenati.
MSID_H_LinEngage_Dragon	Usa il comando per creare 4 cloni\nillusori che aiutano l'unità con\nattacchi concatenati.\nDraghi: creano 1 clone in più.
MSID_H_LinEngage_Fly	Usa il comando per creare 4 cloni\nillusori che aiutano l'unità con\nattacchi concatenati.\nVolanti: i cloni hanno Scv +10.
MSID_H_LinEngage_CMD	Chiama cloni in soccorso.
MSID_LinEngage_Delete_CMD	Scaccia cloni
MSID_H_LinEngage_Delete_CMD	Elimina i cloni.
MSID_LinEngageAtk	Tempesta astrale
MSID_H_LinEngageAtk	Lancia 5 attacchi con l'arco al 30%\ndel danno e con raggio 10.
MSID_H_LinEngageAtk_Dragon	Lancia 5 attacchi con l'arco al 30%\ndel danno e con raggio 10.\nDraghi: raggio +5.
MSID_H_LinEngageAtk_Covert	Lancia 5 attacchi con l'arco al 30%\ndel danno e con raggio 10.\nFurtivi: raggio +10.
MSID_H_LinEngageAtk_Prana	Lancia 5 attacchi con l'arco al 30%\ndel danno e con raggio 10.\nAdepti qi: infligge breccia.
MSID_H_LinEngageAtk_CMD	Usa l'arco a distanza estrema.
MSID_H_LinEngageAtk_Weak	Lancia 5 attacchi con l'arco al 20%\ndel danno e con raggio 10.
MSID_H_LinEngageAtk_DarkSide_Prana	Lancia 5 attacchi con l'arco al 20%\ndel danno e con raggio 10.\nAdepti qi: infligge breccia.
MSID_Ravage	Demolizione
MSID_H_Ravage	Usa il comando "Demolizione" per\ndemolire un terreno distruttibile in\nun colpo solo.
MSID_PullBack	Spostamento
MSID_H_PullBack	L'unità spinge un alleato adiacente\nsullo spazio adiacente opposto.
MSID_H_PullBack_CMD	Sposta alleato su spazio opposto.
MSID_Anger	Ira
MSID_H_Anger	All'inizio dello scontro, conferisce\nTrpl +1 per ogni PS perso dall'unità\n(max +30).
MSID_BraveGeneral_1	Tempra
MSID_H_BraveGeneral_1	Conferisce Dif e Res +5 quando\ni PS dell'unità sono al 75% o meno.
MSID_BraveGeneral_2	Tempra+
MSID_H_BraveGeneral_2	Conferisce Dif e Res +7 quando\ni PS dell'unità sono al 75% o meno.
MSID_IkeEngage	Àncora
MSID_H_IkeEngage	Diminuisce del 50% il danno subito,\ndall'unità, ma riduce la Scv a 0.
MSID_H_IkeEngage_Dragon	Diminuisce del 50% il danno subito,\nma riduce la Scv a 0.\nDraghi: -10% extra al danno subito.
MSID_IkeEngageAtk	Grande etere
MSID_H_IkeEngageAtk	Dif/Res +5, ma non contrattacca per\n1 turno. Al turno dopo, attacca area\ndi 2 spazi e recupera PS pari al 30%\ndel danno inflitto. Solo spada/ascia.
MSID_H_IkeEngageAtk_Dragon	Dif/Res +5, ma non contrattacca per\n1 turno. Al turno dopo, attacca area\ndi 2 spazi e recupera PS pari al 30%\ndel danno inflitto. Solo spada/ascia.\nDraghi: danno +1 per ogni att. subito.
MSID_H_IkeEngageAtk_Heavy	Dif/Res +5, ma non contrattacca per\n1 turno. Al turno dopo, attacca area\ndi 2 spazi e recupera PS pari al 30%\ndel danno inflitto. Solo spada/ascia.\nCorazzati: extra Dif +5.
MSID_H_IkeEngageAtk_Fly	Dif/Res +5, ma non contrattacca per\n1 turno. Al turno dopo, attacca area\ndi 2 spazi e recupera PS pari al 30%\ndel danno inflitto. Solo spada/ascia.\nVolanti: extra Res +5.
MSID_H_IkeEngageAtk_CMD	Resisti 1 turno e attacca l'area.
MSID_HeavenBeat_1	Battito divino
MSID_H_HeavenBeat_1	Può trasformare un colpo mancato\nin colpo a segno. Probabilità: 30%.\nLa probabilità aumenta con la Fort.
MSID_HeavenBeat_2	Battito divino+
MSID_H_HeavenBeat_2	Può trasformare un colpo mancato\nin colpo a segno. Probabilità: 50%.\nLa probabilità aumenta con la Fort.
MSID_TeacherGuidance	Guida del docente
MSID_H_TeacherGuidance	Conferisce Esp guadagnata ×1,2\nall'unità e agli alleati adiacenti.
MSID_PickUp	Oggetti smarriti
MSID_H_PickUp	Se termina turno o attende accanto\nad alleato può aumentare il sostegno\ncon esso e trovare oggetto caduto.\nProbabilità: Fort%.
MSID_PickUp_Message	Hai trovato un oggetto e l'hai restituito\na \x0E\x01\x00\x00.
MSID_BylethEngage	Istruzione
MSID_H_BylethEngage	Usa il comando per conferire agli\nalleati nel raggio di 2 spazi un bonus\nsui parametri base, basato sul tipo\ndi unità, per 1 turno.
MSID_H_BylethEngage_Dragon	Usa il comando per conferire agli\nalleati nel raggio di 2 spazi un bonus\nsui parametri base, basato sul tipo\ndi unità, per 1 turno.\nDraghi: +3 ai 7 parametri base.
MSID_BylethEngage_Dragon_CMD	Istruzione (tutto)
MSID_H_BylethEngage_Dragon_CMD	Tutti i param. alleati vicini +3.
MSID_H_BylethEngage_Coop	Usa il comando per conferire agli\nalleati nel raggio di 2 spazi un bonus\nsui parametri base, basato sul tipo\ndi unità, per 1 turno.\nRinforzo: Forz +4.
MSID_BylethEngage_Coop_CMD	Istruzione (Forz)
MSID_H_BylethEngage_Coop_CMD	Forz +4 agli alleati vicini.
MSID_H_BylethEngage_Horse	Usa il comando per conferire agli\nalleati nel raggio di 2 spazi un bonus\nsui parametri base, basato sul tipo\ndi unità, per 1 turno.\nCavalleria: Des +10.
MSID_BylethEngage_Horse_CMD	Istruzione (Des)
MSID_H_BylethEngage_Horse_CMD	Des +10 agli alleati vicini.
MSID_H_BylethEngage_Covert	Usa il comando per conferire agli\nalleati nel raggio di 2 spazi un bonus\nsui parametri base, basato sul tipo\ndi unità, per 1 turno.\nFurtivi: Vel +5.
MSID_BylethEngage_Covert_CMD	Istruzione (Vel)
MSID_H_BylethEngage_Covert_CMD	Vel +5 agli alleati vicini.
MSID_H_BylethEngage_Heavy	Usa il comando per conferire agli\nalleati nel raggio di 2 spazi un bonus\nsui parametri base, basato sul tipo\ndi unità, per 1 turno.\nCorazzati: Dif +5.
MSID_BylethEngage_Heavy_CMD	Istruzione (Dif)
MSID_H_BylethEngage_Heavy_CMD	Dif +5 agli alleati vicini.
MSID_H_BylethEngage_Fly	Usa il comando per conferire agli\nalleati nel raggio di 2 spazi un bonus\nsui parametri base, basato sul tipo\ndi unità, per 1 turno.\nVolanti: Res +5.
MSID_BylethEngage_Fly_CMD	Istruzione (Res)
MSID_H_BylethEngage_Fly_CMD	Res +5 agli alleati vicini.
MSID_H_BylethEngage_Magic	Usa il comando per conferire agli\nalleati nel raggio di 2 spazi un bonus\nsui parametri base, basato sul tipo\ndi unità, per 1 turno.\nMistici: Mag +4.
MSID_BylethEngage_Magic_CMD	Istruzione (Mag)
MSID_H_BylethEngage_Magic_CMD	Mag +4 agli alleati vicini.
MSID_H_BylethEngage_Prana	Usa il comando per conferire agli\nalleati nel raggio di 2 spazi un bonus\nsui parametri base, basato sul tipo\ndi unità, per 1 turno.\nAdepti qi: Fort +10.
MSID_BylethEngage_Prana_CMD	Istruzione (Fort)
MSID_H_BylethEngage_Prana_CMD	Fort +10 agli alleati vicini.
MSID_BylethEngageAtk	Danza della Dea
MSID_H_BylethEngageAtk	Conferisce un'ulteriore azione a\ntutti gli alleati adiacenti.
MSID_H_BylethEngageAtk_Dragon	Conferisce un'azione extra agli alleati\nadiacenti.\nDraghi: +3 ai 7 parametri base per\n1 turno.
MSID_H_BylethEngageAtk_Coop	Conferisce un'azione extra agli alleati\nadiacenti.\nRinforzo: Forz +4 per 1 turno agli\nalleati che effettuano l'azione extra.
MSID_H_BylethEngageAtk_Horse	Conferisce un'azione extra agli alleati\nadiacenti.\nCavalleria: Des +10 per 1 turno agli\nalleati che effettuano l'azione extra.
MSID_H_BylethEngageAtk_Covert	Conferisce un'azione extra agli alleati\nadiacenti.\nFurtivi: Vel +5 per 1 turno agli\nalleati che effettuano l'azione extra.
MSID_H_BylethEngageAtk_Heavy	Conferisce un'azione extra agli alleati\nadiacenti.\nCorazzati: Dif +5 per 1 turno agli\nalleati che effettuano l'azione extra.
MSID_H_BylethEngageAtk_Fly	Conferisce un'azione extra agli alleati\nadiacenti.\nVolanti: Res +5 per 1 turno agli\nalleati che effettuano l'azione extra.
MSID_H_BylethEngageAtk_Magic	Conferisce un'azione extra agli alleati\nadiacenti.\nMistici: Mag +4 per 1 turno agli\nalleati che effettuano l'azione extra.
MSID_H_BylethEngageAtk_Prana	Conferisce un'azione extra agli alleati\nadiacenti.\nAdepti qi: Fort +10 per 1 turno agli\nalleati che effettuano l'azione extra.
MSID_H_BylethEngageAtk_CMD	Azione extra per unità adiacenti.
MSID_M014_BylethEngageAtk_DarkSide	Danza maligna
MSID_H_M014_BylethEngageAtk_DarkSide	Conferisce un'altra azione agli alleati\nnel raggio di 2 spazi.
MSID_DragonPulse	Vena del drago
MSID_H_DragonPulse	Conferisce un effetto speciale a certi\nspazi.
MSID_H_DragonPulse_CMD	Conferisci effetti agli spazi.
MSID_H_DragonPulse_Dragon	Usa il comando per conferire un\neffetto speciale a certi spazi.\nDraghi: qualsiasi effetto delle vene\ndel drago.
MSID_DragonPulse_DefUp	Vena di pietra
MSID_H_DragonPulse_DefUp	Crea pilastri di pietra che\nincrementano Dif/Res.
MSID_H_DragonPulse_Coop	Conferisce un effetto speciale a certi\nspazi.\nRinforzo: crea pilastri di pietra\nche incrementano Dif/Res.
MSID_DragonPulse_AvoDown	Vena d'acqua
MSID_H_DragonPulse_AvoDown	Crea acqua che diminuisce la Scv.
MSID_H_DragonPulse_Horse	Conferisce un effetto speciale a certi\nspazi.\nCavalleria: crea acqua che\ndiminuisce la Scv.
MSID_DragonPulse_AvoUp	Vena di nebbia
MSID_H_DragonPulse_AvoUp	Crea nebbia che incrementa la Scv.
MSID_H_DragonPulse_Covert	Conferisce un effetto speciale a certi\nspazi.\nFurtivi: crea nebbia che incrementa\nla Scv.
MSID_DragonPulse_NotBreak	Vena d'edera
MSID_H_DragonPulse_NotBreak	Crea edera che rende immuni\ndall'effetto breccia.
MSID_H_DragonPulse_Heavy	Conferisce un effetto speciale a certi\nspazi.\nCorazzati: crea edera che rende\nimmuni dall'effetto breccia.
MSID_DragonPulse_Heal	Vena d'ausilio
MSID_H_DragonPulse_Heal	Crea un bagliore curativo che\nripristina i PS.
MSID_H_DragonPulse_Fly	Conferisce un effetto speciale a certi\nspazi.\nVolanti: crea un bagliore curativo\nche ripristina i PS.
MSID_DragonPulse_Damage	Vena di fiamma
MSID_H_DragonPulse_Damage	Crea fiamme che infliggono danno.
MSID_H_DragonPulse_Magic	Conferisce un effetto speciale a certi\nspazi.\nMistici: crea fiamme che infliggono\ndanno.
MSID_DragonPulse_Block	Vena di ghiaccio
MSID_H_DragonPulse_Block	Crea pilastri di ghiaccio che\nostacolano il movimento.
MSID_H_DragonPulse_Prana	Conferisce un effetto speciale a certi\nspazi.\nAdepti qi: crea pilastri di ghiaccio\nche ostacolano il movimento.
MSID_DragonCurse	Dracosortilegio
MSID_H_DragonCurse	Se l'unità inizia lo scontro, dopo lo\nscontro infligge -4 a tutti i parametri\nbase del nemico. (Le penalità si\nriducono di 1 ogni turno.)
MSID_DefenseStyle	Duo
MSID_H_DefenseStyle	Annulla il danno inflitto dagli\nattacchi concatenati del nemico\ncontro l'unità.
MSID_PhysicalContact_1	Chiacchierata
MSID_H_PhysicalContact_1	Dopo che l'unità agisce o\nattende, gli alleati adiacenti\nrecuperano 5 PS e il sostegno tra\ndi loro incrementa leggermente.
MSID_PhysicalContact_2	Chiacchierata+
MSID_H_PhysicalContact_2	Dopo che l'unità agisce o\nattende, gli alleati adiacenti\nrecuperano 10 PS e il sostegno tra\ndi loro incrementa leggermente.
MSID_KamuiEngage	Abbatticuore
MSID_H_KamuiEngage	Se l'unità inizia lo scontro, il nemico\ncolpito e tutti i nemici nel raggio di\n1 spazio restano fermi per 1 turno\ndopo lo scontro.
MSID_H_KamuiEngage_Covert	Se l'unità inizia lo scontro, il nemico\nbersaglio e tutti i nemici nel raggio\ndi 1 spazio restano fermi per 1 turno\ndopo lo scontro.\nFurtivi: -20 alla Scv del nemico.
MSID_KamuiEngageAtk	Ruggito torrenziale
MSID_H_KamuiEngageAtk	Attacca con l'acqua 3 spazi in fila\nadiacenti all'unità, trasformandoli\nin acqua.
MSID_H_KamuiEngageAtk_Dragon	Attacca con l'acqua 3 spazi in fila\nadiacenti all'unità, trasformandoli\nin acqua.\nDraghi: raggio +1.
MSID_H_KamuiEngageAtk_CMD	Attacca e inonda un'area.
MSID_God_Change_CMD	Notte e giorno
MSID_H_God_Change	Usa il comando per cambiare\nemblema e passare da Bracciale\nlunare e Brezza leggera a Bracciale\nsolare e Brezza audace per tutti\ngli alleati.
MSID_H_God_Change_CMD	Passa da un emblema all'altro.
MSID_MoonBracelet_1	Bracciale lunare
MSID_H_MoonBracelet_1	Se l'unità inizia lo scontro con un\nattacco fisico, infligge danno extra\npari al 20% della Dif del nemico.
MSID_MoonBracelet_2	Bracciale lunare+
MSID_H_MoonBracelet_2	Se l'unità inizia lo scontro con un\nattacco fisico, infligge danno extra\npari al 30% della Dif del nemico.
MSID_SunBracelet_1	Bracciale solare
MSID_H_SunBracelet_1	Se l'unità inizia lo scontro, recupera\nPS pari al 30% del danno inflitto.
MSID_SunBracelet_2	Bracciale solare+
MSID_H_SunBracelet_2	Se l'unità inizia lo scontro, recupera\nPS pari al 50% del danno inflitto.
MSID_SunMoonBracelet_1	Bracciale eclissi
MSID_H_SunMoonBracelet_1	Se l'unità inizia lo scontro, recupera\nPS pari al 30% del danno inflitto\ne infligge danno extra pari al 20%\ndella Dif del nemico usando un\nattacco fisico.
MSID_SunMoonBracelet_2	Bracciale eclissi+
MSID_H_SunMoonBracelet_2	Se l'unità inizia lo scontro, recupera\nPS pari al 50% del danno inflitto\ne infligge danno extra pari al 30%\ndella Dif del nemico usando un\nattacco fisico.
MSID_GentleWind_1	Brezza leggera
MSID_H_GentleWind_1	Diminuisce i danni subiti di 3.
MSID_GentleWind_2	Brezza leggera+
MSID_H_GentleWind_2	Diminuisce i danni subiti di 5.
MSID_BraveSky_1	Brezza audace
MSID_H_BraveSky_1	Incrementa i danni inflitti di 3.
MSID_BraveSky_2	Brezza audace+
MSID_H_BraveSky_2	Incrementa i danni inflitti di 5.
MSID_Azure_1	Cieli blu
MSID_H_Azure_1	Diminuisce i danni subiti di 3 e\nincrementa i danni inflitti di 3.
MSID_Azure_2	Cieli blu+
MSID_H_Azure_2	Diminuisce i danni subiti di 5 e\nincrementa i danni inflitti di 5.
MSID_EirikEngage	Gemelli sacri
MSID_H_EirikEngage	Durante l'unione con Erika,\ncambia "Bracciale lunare" in\n"Bracciale eclissi" e "Brezza leggera"\nin "Cieli blu" per tutti gli alleati.
MSID_EirikEngageAtk	Colpo gemello
MSID_H_EirikEngageAtk	Sferra attacco con la spada seguito\nda un attacco con lancia da Ephraim.\nSolo nemici adiacenti, efficace\ncontro le aberrazioni.
MSID_H_EirikEngageAtk_Dragon	Sferra attacco con la spada seguito\nda un attacco con lancia da Ephraim.\nSolo nemici adiacenti, efficace\ncontro le aberrazioni.\nDraghi: +20% al danno inflitto.
MSID_H_EirikEngageAtk_Horse	Sferra attacco con la spada seguito\nda un attacco con lancia da Ephraim.\nSolo nemici adiacenti, efficace\ncontro le aberrazioni. Cavalleria:\nEphraim infligge +50% di danno.
MSID_H_EirikEngageAtk_CMD	Ephraim sferra un attacco.
MSID_EvilDragonSpecialEffect	Aura sacra
MSID_H_EvilDragonSpecialEffect	L'unità è efficace contro i Draghi\nMaligni. Gli alleati entro 2 spazi\nche sono efficaci contro i draghi\ndiventano efficaci contro i Draghi\nMaligni.
MSID_GodDragonProtection	Egida sacra
MSID_H_GodDragonProtection	Annulla efficacia contro questa unità.
MSID_ConnectPerson_1	Forgialegame
MSID_H_ConnectPerson_1	L'unità e gli alleati sincronizzati o\nuniti a un emblema entro 2 spazi\nottengono Clp/Scv +20.
MSID_ConnectPerson_2	Forgialegame+
MSID_H_ConnectPerson_2	L'unità e gli alleati sincronizzati o\nuniti a un emblema entro 2 spazi\nottengono Clp/Scv +30.
MSID_BlessingOfEleos	Manna dell'Elyos
MSID_H_BlessingOfEleos	Se inizia lo scontro, l'unità ottiene\nbonus a Trpl ed Elu pari a\n2× numero di alleati che hanno\nagito nel turno.
MSID_LueurEngage	Stesso cuore
MSID_H_LueurEngage	Se l'unità inizia lo scontro e\nsconfigge il nemico, il partner in\nunione ottiene +4 a tutti i parametri\nbase durante l'unione.
MSID_H_LueurEngage_Dragon	Se l'unità inizia lo scontro e\nsconfigge il nemico, il partner in\nunione ottiene +4 a tutti i parametri\nbase durante l'unione.\nDraghi: +1 extra ai 7 parametri base.
MSID_H_LueurEngage_Coop	Se l'unità inizia lo scontro e\nsconfigge il nemico, il partner in\nunione ottiene +4 a tutti i parametri\nbase durante l'unione.\nRinforzo: +2 extra alla Forz.
MSID_H_LueurEngage_Horse	Se l'unità inizia lo scontro e\nsconfigge il nemico, il partner in\nunione ottiene +4 a tutti i parametri\nbase durante l'unione.\nCavalleria: +2 extra alla Des.
MSID_H_LueurEngage_Covert	Se l'unità inizia lo scontro e\nsconfigge il nemico, il partner in\nunione ottiene +4 a tutti i parametri\nbase durante l'unione.\nFurtivi: +2 extra alla Vel.
MSID_H_LueurEngage_Heavy	Se l'unità inizia lo scontro e\nsconfigge il nemico, il partner in\nunione ottiene +4 a tutti i parametri\nbase durante l'unione.\nCorazzati: +2 extra alla Dif.
MSID_H_LueurEngage_Fly	Se l'unità inizia lo scontro e\nsconfigge il nemico, il partner in\nunione ottiene +4 a tutti i parametri\nbase durante l'unione.\nVolanti: +2 extra alla Res.
MSID_H_LueurEngage_Magic	Se l'unità inizia lo scontro e\nsconfigge il nemico, il partner in\nunione ottiene +4 a tutti i parametri\nbase durante l'unione.\nMistici: +2 extra alla Mag.
MSID_H_LueurEngage_Prana	Se l'unità inizia lo scontro e\nsconfigge il nemico, il partner in\nunione ottiene +4 a tutti i parametri\nbase durante l'unione.\nAdepti qi: +2 extra alla Fort.
MSID_LueurEngageAtk	Raggio di drago
MSID_H_LueurEngageAtk	Sferra due attacchi contro un nemico\nadiacente, con la spada e con un\npotente raggio magico.
MSID_H_LueurEngageAtk_Dragon	Sferra due attacchi contro un nemico\nadiacente, con la spada e con un\npotente raggio magico.\nDraghi: +20% al danno inflitto.
MSID_H_LueurEngageAtk_Coop	Sferra due attacchi contro un nemico\nadiacente, con la spada e con un\npotente raggio magico.\nRinforzo: +20% alla Forz dell'attacco\ncon la spada.
MSID_H_LueurEngageAtk_Magic	Sferra due attacchi contro un nemico\nadiacente, con la spada e con un\npotente raggio magico.\nMistici: +20% alla Mag dell'attacco\ncon il raggio magico.
MSID_H_LueurEngageAtk_Prana	Sferra due attacchi contro un nemico\nadiacente, con la spada e con un\npotente raggio magico.\nAdepti qi: infligge breccia al nemico.
MSID_H_LueurEngageAtk_CMD	Combo spada/magia.
MSID_LueurEngageAtk_p	Raggio d'unione
MSID_H_LueurEngageAtk_p	L'unità e il partner in unione sferrano\ndue attacchi di spada su un nemico\nadiacente, seguiti da un raggio\nmagico.
MSID_H_LueurEngageAtk_p_Dragon	L'unità e il partner in unione sferrano\ndue attacchi di spada su un nemico\nadiacente, seguiti da un raggio\nmagico.\nDraghi: +20% al danno inflitto.
MSID_H_LueurEngageAtk_p_Coop	L'unità e il partner in unione sferrano\ndue attacchi di spada su un nemico\nadiacente, seguiti da un raggio\nmagico. Rinforzo: +20% alla Forz\ndell'attacco con la spada.
MSID_H_LueurEngageAtk_p_Magic	L'unità e il partner in unione sferrano\ndue attacchi di spada su un nemico\nadiacente, seguiti da un raggio\nmagico. Mistici: +20% alla Mag\ndell'attacco magico.
MSID_H_LueurEngageAtk_p_Prana	L'unità e il partner in unione sferrano\ndue attacchi di spada su un nemico\nadiacente, seguiti da un raggio\nmagico.\nAdepti qi: infligge breccia al nemico.
MSID_H_LueurEngageAtk_p_CMD	Attacca con partner in unione.
MSID_PrivateSkill_Lueur	Ispirazione divina
MSID_H_PrivateSkill_Lueur	Gli alleati adiacenti infliggono 3\npunti di danno in più e subiscono\n1 punto di danno in meno.
MSID_PrivateSkill_Vandre	Dovere d'alabastro
MSID_H_PrivateSkill_Vandre	Se l'unità è adiacente al Drago\nDivino, Trpl +5 a entrambi durante\nlo scontro.
MSID_PrivateSkill_Clan	Fede verdeggiante
MSID_H_PrivateSkill_Clan	Se l'unità è adiacente al Drago\nDivino, Clp +10 a entrambi durante\nlo scontro.
MSID_PrivateSkill_Fran	Aiuto cremisi
MSID_H_PrivateSkill_Fran	Se l'unità è adiacente al Drago\nDivino, Scv +10 a entrambi durante\nlo scontro.
MSID_PrivateSkill_Alfred	Autosviluppo
MSID_H_PrivateSkill_Alfred	Se l'unità attende senza attaccare\no usare strumenti, ottiene Forz +2\nper 1 turno.
MSID_PrivateSkill_Boucheron	Distruzione lacrimosa
MSID_H_PrivateSkill_Boucheron	Se un alleato aiuta l'unità con un\nattacco concatenato, l'unità infligge\n2 punti di danno in più.
MSID_PrivateSkill_Atie	Energizzante
MSID_H_PrivateSkill_Atie	Se l'unità usa uno strumento\ncurativo, ottiene Forz +2 per\n1 turno.
MSID_PrivateSkill_Celine	Fiore gentile
MSID_H_PrivateSkill_Celine	Gli strumenti curativi usati da alleati\nentro 2 spazi ripristinano 50% di PS\nin più.
MSID_PrivateSkill_Chloe	Fiaba
MSID_H_PrivateSkill_Chloe	Se entro 2 spazi ci sono 2 alleati\nadiacenti maschio e femmina, l'unità\ninfligge 2 punti di danno in più\ndurante lo scontro.
MSID_PrivateSkill_Louis	Ammiratore
MSID_H_PrivateSkill_Louis	Se 2 alleate sono adiacenti nel\nraggio di 2 spazi, il danno subito\ndall'unità diminuisce di 2 durante\nlo scontro.
MSID_PrivateSkill_Diamand	Lotta leale
MSID_H_PrivateSkill_Diamand	Se l'unità inizia lo scontro e\nl'avversario può contrattaccare,\nClp +15 a entrambe le unità.
MSID_PrivateSkill_Umber	Aspirante eroe
MSID_H_PrivateSkill_Umber	Se non ci sono altre unità nel raggio\ndi 1 spazio dall'unità o dal nemico,\nconferisce Clp +20 e infligge Scv -10\ndurante lo scontro.
MSID_PrivateSkill_Jade	Meditazione
MSID_H_PrivateSkill_Jade	Se l'unità attende senza attaccare\no usare strumenti, ottiene Res +2\nper 1 turno.
MSID_PrivateSkill_Staluke	Vi proteggo io!
MSID_H_PrivateSkill_Staluke	Se un alleato nel raggio di 2 spazi\nsubisce un attacco, l'unità ottiene\nForz +3 per 1 turno.
MSID_PrivateSkill_Lapis	Gloria condivisa
MSID_H_PrivateSkill_Lapis	Se c'è un alleato adiacente all'unità,\nl'unità ottiene Clp/Scv +10 e subisce\nTrpl -10.
MSID_PrivateSkill_Citrinica	Generosità
MSID_H_PrivateSkill_Citrinica	Se l'unità usa uno strumento\ncurativo, gli alleati adiacenti\nrecuperano gli stessi PS.
MSID_PrivateSkill_Ivy	Idea fissa
MSID_H_PrivateSkill_Ivy	Se l'unità si scontra nuovamente con\nl'ultimo nemico affrontato, ottiene\nClp +20.
MSID_PrivateSkill_Zelkova	Ora *basta*
MSID_H_PrivateSkill_Zelkova	Se il nemico inizia lo scontro,\nsubisce Clp -10.
MSID_PrivateSkill_Kagetsu	Luce accecante
MSID_H_PrivateSkill_Kagetsu	Se l'unità inizia lo scontro, il nemico\nsubisce Scv -10.
MSID_PrivateSkill_Hortensia	Gran personalità
MSID_H_PrivateSkill_Hortensia	Se l'unità usa un bastone curativo,\nottiene raggio +1.
MSID_PrivateSkill_Rosado	Sorriso smagliante
MSID_H_PrivateSkill_Rosado	Se il nemico è maschio, subisce\nScv -20 durante lo scontro.
MSID_PrivateSkill_Goldmary	Sospiro disarmante
