MID_SYS_EnchantEffect	Effetto incanto
MGID_H_Ring_Hector	Bracciale in cui dorme Hector,\ngiovane eroico ed esuberante,\nche scoppia di fiducia in sé.
MGID_Ring_Senerio	Bracciale dello Stratega
MGID_H_Ring_Senerio	Bracciale in cui dorme Soren,\nstratega di buon senso e contegno,\nsempre vestito di nero.
MGID_Ring_Camilla	Bracciale della Sorella Devota
MGID_H_Ring_Camilla	Bracciale in cui dorme Camilla,\nche vola a cavallo di una viverna\ned emana un'aura affascinante.
MGID_World_Hector	Mondo della Guerriera
MGID_World_Senerio	Mondo dell'Eroe della Fiamma
MGID_World_Camilla	Mondo della Mano del Fato
MID_RELAY_Stamp_Hector_0	Puoi fidarti ancor più di me.
MID_RELAY_Stamp_Senerio_0	Non male...
MID_RELAY_Stamp_Camilla_0	Meriti una punizione...
MID_Hub_Horse	Stalla
MID_Hub_Fruit	Frutteto
MID_Hub_Pool	Piscina
MID_Hub_Refresh	Svago
MID_Hub_Refresh_Help	Scegli due alleati.
MID_Hub_Refresh_Entrust	Consiglio
MID_Hub_Refresh_Entrust_Help	Viene scelto automaticamente\nun personaggio consigliato a cui\nfar guadagnare punti sostegno.
MID_Hub_Refresh_RelianceLv	Sostegno
MID_Hub_Refresh_Place	Struttura
MID_Hub_Refresh_Unit	Alleati da far svagare:
MID_Hub_Refresh_Used	Struttura già usata
MID_Hub_Refresh_Attention	Non puoi usare di nuovo questa struttura\nfino a dopo la prossima battaglia.
MID_Hub_Refresh_Confirmation	Vuoi iniziare l'attività di svago?
MID_Hub_Refresh_Start	Inizia
MID_Hub_Refresh_Result	Salta al risultato
MID_Hub_Refresh_Stop	Annulla
MID_Hub_Refresh_RelianceLvUP	Il sostegno tra \x0E\x01\x00\x00\ne \x0E\x01\x01\x00 è aumentato.
MID_Hub_Refresh_Reliance_Occurrence	Nuova conversazione di sostegno\ntra \x0E\x01\x00\x00 e \x0E\x01\x01\x00.
MID_Hub_Refresh_NoReliance_Occurrence	\x0E\x01\x00\x00 e \x0E\x01\x01\x00\nhanno terminato l'attività di svago\ne si sentono meglio.
PCTMID_Hector	"Puoi fidarti di me."
PCTMID_Senerio	"I fatti sono fatti."
PCTMID_Camilla	"Che tenerezza."
MID_Movie_K15	Emblema Hector
MID_H_Movie_K15	Emblema Hector, evocato dall'interno\ndel bracciale del Generale Audace.
MID_Movie_K16	Emblema Soren
MID_H_Movie_K16	Emblema Soren, evocato dall'interno\ndel bracciale dello Stratega.
MID_Movie_K17	Emblema Camilla
MID_H_Movie_K17	Emblema Camilla, evocata dall'interno\ndel bracciale della Sorella Devota.
MID_MAP_HIS_EngageWait	\x0E\x01\x00\x00 ha usato Acqua cheta.
MID_MAP_HIS_EngageWaitPlus	\x0E\x01\x00\x00 ha usato Acqua cheta+.
MID_MAP_HIS_Enchant	\x0E\x01\x00\x00 ha usato Uso estremo.
MID_MAP_HIS_Enchant_Weapon	\x0E\x01\x00\x00 ha usato Eco d'armi.
