MID_TUT_CATEGORY_TITLE_Battle	Combattimento
MID_TUT_GOD_LIN_1	L'abilità sincro "Alacrità" permette a unità molto\npiù veloci di un nemico di sferrare un attacco\nextra prima che il nemico possa contrattaccare.
MID_TUT_GOD_LIN_2	L'arma unione "Arco letale" mette spesso\na segno dei colpi tripli.
MID_TUT_GOD_LIN_3	L'abilità unione "Evoca cloni" crea copie illusorie\ndell'unità che possono partecipare ad attacchi\nconcatenati.
MID_TUT_GOD_LIN_4	L'attacco unione "Tempesta astrale" infligge\na un nemico cinque colpi a grande distanza\ncon l'arco.
MID_TUT_GOD_LUCINA_TITLE	Emblema Lucina
MID_TUT_GOD_LUCINA_0	Il punto di forza dell'emblema Lucina è la\ncollaborazione. Lucina è ancora più potente\nquando combatte vicino agli alleati.
MID_TUT_GOD_LUCINA_1	L'abilità sincro "Doppio colpo" permette\nall'unità di partecipare ad attacchi concatenati\nindipendentemente dal tipo di unità.
MID_TUT_GOD_LUCINA_2	L'arma unione "Spadino nobile" infligge danni\nextra ai nemici a cavallo e corazzati.
MID_TUT_GOD_LUCINA_3	L'abilità unione "Legame di scudo" garantisce\nagli alleati adiacenti un'elevata probabilità di\nannullare i danni subiti dagli attacchi.
MID_TUT_GOD_LUCINA_4	L'attacco unione "Tutti per uno" ispira tutti gli\nalleati nel raggio di 2 spazi a partecipare a un\nattacco concatenato (il tipo di unità non conta).
MID_TUT_GOD_IKE_TITLE	Emblema Ike
MID_TUT_GOD_IKE_0	La potenza d'attacco e l'energia dell'emblema\nIke aumentano quando subisce danni.
MID_TUT_GOD_IKE_1	L'abilità sincro "Tempra" aumenta difesa\ne resistenza al diminuire dei PS.
MID_TUT_GOD_IKE_2	L'arma unione "Martello" può schiantare\ni nemici e infliggere danni extra agli avversari\ncorazzati.
MID_TUT_GOD_IKE_3	L'abilità unione "Àncora" dimezza i danni subiti\ndall'unità, ma riduce a zero la schivata (Scv).
MID_TUT_GOD_IKE_4	L'attacco unione "Grande etere" rafforza le\ndifese dell'unità per un turno, poi permette di\nattaccare un'area e recuperare PS.
MID_TUT_GOD_KAMUI_TITLE	Emblema Corrin
MID_TUT_GOD_KAMUI_0	L'emblema Corrin può limitare i movimenti dei\nnemici e creare terreni per controllare\nla battaglia.
MID_TUT_GOD_KAMUI_1	L'abilità sincro "Vena del drago" aggiunge effetti\nal terreno, a seconda del tipo di unità che la usa\ned elimina fiamme o miasma dal terreno.
MID_TUT_GOD_KAMUI_2	L'arma unione "Katana doppia", a differenza\ndella maggior parte delle spade, è in vantaggio\ncontro le lance, ma in svantaggio contro le asce.
MID_TUT_GOD_KAMUI_3	L'abilità unione "Abbatticuore" immobilizza un\nbersaglio e i nemici a esso adiacenti per 1 turno,\ndopo che l'unità inizia lo scontro.
MID_TUT_GOD_KAMUI_4	L'attacco unione "Ruggito torrenziale" attacca\ni nemici davanti all'unità nel raggio di 3 spazi\ned elimina fiamme e miasma dal terreno.
MID_TUT_GOD_BYLETH_TITLE	Emblema Byleth
MID_TUT_GOD_BYLETH_0	L'innato talento dell'emblema Byleth per\nl'insegnamento potenzia i parametri degli\nalleati per condurli alla vittoria.
MID_TUT_GOD_BYLETH_1	L'abilità sincro "Battito divino" a volte riesce a\nmandare a segno attacchi che avrebbero\naltrimenti mancato il bersaglio.
MID_TUT_GOD_BYLETH_2	La prima arma unione dell'emblema Byleth è\nuna reliquia degli eroi, diversa per ogni tipo\ndi unità.
MID_TUT_GOD_BYLETH_3	L'abilità unione "Istruzione" conferisce un bonus\nai parametri agli alleati vicini.
MID_TUT_GOD_BYLETH_4	L'attacco unione "Danza della Dea" permette\nagli alleati adiacenti di agire nuovamente\ne ne migliora i parametri.
MID_TUT_GOD_EIRIK_TITLE	Emblema Erika
MID_TUT_GOD_EIRIK_0	L'emblema Erika e suo fratello gemello Ephraim\nsi danno il cambio in base alle necessità durante\nle battaglie.
MID_TUT_GOD_EIRIK_1	L'abilità sincro "Bracciale lunare" incrementa\nil danno inferto in proporzione alla difesa\ndel nemico.
MID_TUT_GOD_EIRIK_2	L'arma unione "Spadino" infligge danni\nextra alle unità a cavallo e corazzate.
MID_TUT_GOD_EIRIK_3	L'abilità unione "Gemelli sacri" permette\nall'unità di evocare le abilità di Erika\ned Ephraim allo stesso tempo.
MID_TUT_GOD_EIRIK_4	L'attacco unione "Colpo gemello" colpisce con\nspada e lancia, aumentando la probabilità di\nbreccia. Danni extra contro le aberrazioni.
MID_TUT_GOD_LUEUR_TITLE	Emblema \x0E\x06\x03\x00
MID_TUT_GOD_LUEUR_0	L'emblema \x0E\x06\x03\x00 può usare Unione+\ndurante la battaglia per unirsi a qualsiasi alleato,\nsenza bisogno di essere in sincro.
MID_TUT_GOD_LUEUR_1	L'abilità sincro "Forgialegame" aumenta colpo\n(Clp) e schivata (Scv) dell'unità e degli alleati\nsincronizzati o uniti nelle vicinanze.
MID_TUT_GOD_LUEUR_2	L'arma unione "Lyrátion" incrementa le barre\ndell'unione degli alleati adiacenti di 1, se chi\nla impugna inizia lo scontro e batte un nemico.
MID_TUT_GOD_LUEUR_3	L'abilità unione "Stesso cuore" migliora di molto\ni parametri dell'unità in unione, se questa\ninizia lo scontro e sconfigge un nemico.
MID_TUT_GOD_LUEUR_4	L'attacco unione "Raggio di drago" scaglia\nun attacco magico e uno con spada, infliggendo\ngrossi danni anche ai nemici con Dif e Res alte.
MID_TUT_GOD_LUEUR_KL_TITLE	Legame dell'emblema \x0E\x06\x03\x00
MID_TUT_GOD_LUEUR_KL_0	A differenza degli altri emblemi, il livello di\nlegame dell'emblema \x0E\x06\x03\x00 dipende\ndal livello di sostegno e non all'Esp di legame.
MID_TUT_GOD_LUEUR_KL_1	L'assenza di livello di sostegno si traduce nel\nlivello di legame 1, con C il livello è 5, con B\nè 10 e con A il livello sale a 20.
MID_TUT_ENGAGE_PLUS_TITLE	Unione+
MID_TUT_ENGAGE_PLUS_0	Quando \x0E\x06\x03\x00 si trova vicino a un\nalleato e la barra dell'unione è piena, scegli\nUnione+ per entrare in stato di unione.
MID_TUT_ENGAGE_PLUS_1	L'emblema \x0E\x06\x03\x00 si unisce all'alleato,\ne anche \x0E\x06\x03\x00 entra in stato di unione.
MID_TUT_ENGAGE_PLUS_2	Se l'emblema \x0E\x06\x03\x00 e l'unità unita\nsono adiacenti, "Raggio di drago" si trasforma\nnel potente attacco "Raggio d'unione".
MID_TUT_BMAP_SORTIE_TITLE	Prepararsi alla battaglia
MID_TUT_BMAP_SORTIE_0	Prima di una battaglia, puoi scegliere gli\nstrumenti, gli emblemi e gli alleati da portare\ncon te.
MID_TUT_BMAP_SORTIE_1	Quando i preparativi sono completati, seleziona\n"Combatti!" per dare il via alla battaglia.
MID_TUT_BMAP_UNIT_SELECT_TITLE	Formazione
MID_TUT_BMAP_UNIT_SELECT_0	Usa "Formazione" per scegliere quali alleati si\nuniranno a te nella battaglia. Usa \x0E\x08\x02\x04\x02A per attivare\no disattivare l'icona \x0E\x08\x02\x16\x14IconSortie.
MID_TUT_BMAP_UNIT_SELECT_1	Gli alleati evidenziati in verde non possono\nessere esclusi.
MID_TUT_BMAP_UNIT_SELECT_2	Ogni battaglia ha un numero prestabilito\ndi alleati che possono combattere con te.
MID_TUT_BMAP_MAPVERIFICATION_TITLE	Scambio di posto
MID_TUT_BMAP_MAPVERIFICATION_0	Usa "Scambia posto" per cambiare le posizioni\ndegli alleati prima dell'inizio della battaglia.
MID_TUT_BMAP_MAPVERIFICATION_1	Scegli l'alleato da spostare con \x0E\x08\x02\x04\x02A.
MID_TUT_BMAP_MAPVERIFICATION_2	Scegli un altro alleato con \x0E\x08\x02\x04\x02A per fare in modo che\nscambino le rispettive posizioni. Alcuni alleati\nnon possono essere spostati.
MID_TUT_BMAP_MAPVERIFICATION_3	Sfrutta questo momento per controllare le\ninformazioni del terreno e i parametri dei nemici\ncon il cursore.
MID_TUT_BMAP_HERALDICCHOICE_TITLE	Anelli\x0E\x01\x09\x00 degli emblemi
MID_TUT_BMAP_HERALDICCHOICE_0	Seleziona "Emblemi" per assegnare gli emblemi\nai tuoi alleati, che così potranno sincronizzarsi\ncon loro in battaglia.
MID_TUT_BMAP_HERALDICCHOICE_1	Per assegnare un emblema a un alleato,\nseleziona prima l'alleato e poi l'anello\x0E\x01\x0A\x00\ndell'emblema.
MID_TUT_BMAP_GETTINGDRESSED_TITLE	Inventario
MID_TUT_BMAP_GETTINGDRESSED_0	Seleziona "Inventario" per scegliere le armi\ne gli oggetti che userai in battaglia.
MID_TUT_BMAP_GETTINGDRESSED_1	Organizza l'equipaggiamento dei tuoi alleati\ntramite "Gestisci strumenti". Puoi scambiare\noggetti con altri alleati o con i rifornimenti.
MID_TUT_BMAP_GETTINGDRESSED_2	Per equipaggiare automaticamente i tuoi\nalleati utilizzando i rifornimenti, seleziona\n"Ottimizza equipaggiamento".
MID_TUT_BMAP_GETTINGDRESSED_3	Selezionando "Invia tutto", puoi riporre nei\nrifornimenti tutti gli oggetti di un alleato.
MID_TUT_BMAP_EQUIP_SKILL_TITLE	Gestire le abilità
MID_TUT_BMAP_EQUIP_SKILL_0	Seleziona "Gestisci abilità" dall'inventario per\nvisualizzare le abilità degli alleati e attivare\nabilità ereditate.
MID_TUT_BMAP_EQUIP_SKILL_1	Gli alleati possono ereditare abilità dagli\nemblemi nella sala degli emblemi e nell'arena\ndel Somniel.
MID_TUT_BMAP_CLASSCHANGE_TITLE	Cambio di classe
MID_TUT_BMAP_CLASSCHANGE_0	A partire dal livello 10, le unità possono usare\nun sigillo supremo per passare a una classe\navanzata.
MID_TUT_BMAP_CLASSCHANGE_1	Il passaggio a una classe avanzata rende le unità\npiù forti, potenzia i parametri e permette di\nusare nuove armi e abilità.
MID_TUT_BMAP_CLASSCHANGE_2	Puoi usare un sigillo speciale per passare\na un'altra classe della stessa categoria.
MID_TUT_BMAP_CLASSCHANGE_3	Puoi cambiare classe dall'inventario.
MID_TUT_BMAP_APTITUDE_TITLE	Talenti
MID_TUT_BMAP_APTITUDE_0	I talenti sono necessari per cambiare la classe\ndi un'unità.
MID_TUT_BMAP_APTITUDE_1	Tutte le unità iniziano con dei talenti innati.\nSono le aree in cui le unità hanno il maggior\npotenziale.
MID_TUT_BMAP_APTITUDE_2	Le unità possono anche acquisire nuovi talenti\ndagli emblemi per passare a qualsiasi altra\nclasse.
MID_TUT_GMAP_BASIC_TITLE	Mappa del mondo
MID_TUT_GMAP_BASIC_0	Usa la mappa del mondo per scegliere una\ndestinazione o iniziare il prossimo capitolo.
MID_TUT_GMAP_BASIC_1	Per continuare con la storia, sposta\n\x0E\x06\x03\x00 sulla tua prossima destinazione\ne premi \x0E\x08\x02\x04\x02A.
MID_TUT_GMAP_BASIC_2	Puoi tornare al Somniel quando vuoi,\nselezionando l'opzione apposita dal menu.
MID_TUT_GMAP_SIDE_TITLE	Appendici
MID_TUT_GMAP_SIDE_0	Mano a mano che progredisci nella storia, sulla\nmappa appariranno dei capitoli speciali chiamati\n"appendici".
MID_TUT_GMAP_SIDE_1	Completare le appendici è facoltativo, ma ti\nfa sbloccare benefici unici e persino incontrare\nnuovi alleati!
MID_TUT_GMAP_ENCOUNT_TITLE	Scaramucce
MID_TUT_GMAP_ENCOUNT_0	È possibile che soldati nemici o aberrazioni\nricompaiano in aree che hai già completato.
MID_TUT_GMAP_ENCOUNT_1	Puoi ritornare in queste aree per combattere\ndelle scaramucce facoltative.
MID_TUT_GMAP_ENCOUNT_2	Completando le scaramucce puoi ottenere\nesperienza e ricompense, come oro e strumenti.
MID_TUT_GMAP_RANKING_TITLE	Classifiche
MID_TUT_GMAP_RANKING_0	Se giochi online, puoi vedere quali unità ed\nemblemi sono stati più utilizzati dai giocatori\nsu una certa mappa.
MID_TUT_GMAP_RANKING_1	Saperlo potrebbe esserti utile nella scelta\ndelle unità da schierare.
MID_TUT_KR_KIZUNARESULT_TITLE	Esplorazione
MID_TUT_KR_KIZUNARESULT_0	Dopo le battaglie, puoi esplorare liberamente\nl'area e dialogare con i tuoi alleati.
MID_TUT_KR_KIZUNARESULT_1	Puoi trovare oggetti da raccogliere\nsparsi per terra.
MID_TUT_KR_KIZUNARESULT_2	Per terminare l'esplorazione, vai verso l'uscita\noppure apri il menu con \x0E\x08\x02\x0A\x08Plus e seleziona "Procedi".
MID_TUT_KR_KIZUNAPIECE_TITLE	Frammenti di legame
MID_TUT_KR_KIZUNAPIECE_0	I tuoi alleati potrebbero donarti frammenti\ndi legame quando dialoghi con loro durante\nl'esplorazione.
MID_TUT_KR_KIZUNAPIECE_1	Usa i frammenti di legame nel Somniel per\ncreare anelli del legame o allenarti con\ngli emblemi.
MID_TUT_KR_KIZUNAPIECE_2	Finita l'esplorazione, otterrai tutti i frammenti di\nlegame che ti sono sfuggiti.
MID_TUT_HUB_BASIC_TITLE	Il Somniel
MID_TUT_HUB_BASIC_0	Il Somniel è la tua base. Approfitta di quest'area\nper prepararti alla battaglia successiva e\ninteragire con gli alleati.
MID_TUT_HUB_BASIC_1	Attività e aree addizionali del Somniel si\nsbloccheranno via via che avanzerai nella\nstoria.
MID_TUT_HUB_BASIC_2	Puoi continuare l'avventura aprendo la mappa\ndel mondo dal menu o usando l'uscita nella\npiazza.
MID_TUT_HUB_CENTRALLOBBY_OPEN	La mensa è aperta.
MID_TUT_HUB_CENTRALLOBBY_TITLE	Mensa
MID_TUT_HUB_CENTRALLOBBY_0	La mensa è un luogo in cui puoi rilassarti\ninsieme agli altri e accedere a svariati servizi.
MID_TUT_HUB_CENTRALLOBBY_1	Puoi utilizzare il gran carillon per cambiare\nla musica di sottofondo del Somniel.
MID_TUT_HUB_CENTRALLOBBY_2	La bacheca fornisce informazioni sul Somniel.\nPuoi usarla per fare donazioni ai regni dell'Elyos\noppure controllare i tuoi trofei.
MID_TUT_HUB_INVESTMENT_TITLE	Donazioni
MID_TUT_HUB_INVESTMENT_0	Se fai salire il livello donazioni dei vari regni con\nil tuo supporto, riceverai in cambio dei regali.
MID_TUT_HUB_INVESTMENT_1	Nei regni con livello donazioni più alto, i nemici\nrari appaiono più spesso nelle scaramucce,\nfacendoti guadagnare più facilmente oro ed Esp.
MID_TUT_HUB_INVESTMENT_2	Aumenta il livello donazioni per avere benefici\ncome la possibilità di trovare più materiali\nesplorando.
MID_TUT_HUB_INFORMATION_TITLE	Mappa del Somniel
MID_TUT_HUB_INFORMATION_0	Consulta la mappa del Somniel per controllare\nla posizione degli alleati o lo stato delle\nstrutture.
MID_TUT_HUB_INFORMATION_1	Scegli un'area per spostarti istantaneamente\nall'interno del Somniel.
MID_TUT_HUB_ACHIEVEMENT_TITLE	Trofei
MID_TUT_HUB_ACHIEVEMENT_0	Rivedi i tuoi traguardi nello schermo "Trofei".\nI tuoi sforzi potrebbero essere ricompensati\ncon frammenti di legame.
MID_TUT_HUB_ACHIEVEMENT_1	Riceverai una notifica ogni volta che ottieni un\ntrofeo. Ricorda di raccogliere i frammenti\ndi legame ben meritati!
MID_TUT_HUB_MYROOM_TITLE	Camera
MID_TUT_HUB_MYROOM_0	La camera in cui \x0E\x06\x03\x00 ha dormito\nper un migliaio di anni.
MID_TUT_HUB_MYROOM_1	Seleziona "Riposa" per fare un pisolino e far\navanzare il tempo quando sei nel Somniel.
MID_TUT_HUB_MYROOM_2	Mentre dormi potresti sentire delle cose molto\ninteressanti. Usa delle cuffie per ascoltare bene.
MID_TUT_HUB_MYROOM_3	Seleziona "Ricorda" per visualizzare le\nconversazioni di sostegno e le scene\navvenute in passato.
MID_TUT_HUB_MYROOM_4	Selezionando "Cambio difficoltà" puoi ridurre\nla difficoltà di gioco, ma non aumentarla.
MID_TUT_HUB_WEAPONSHOP_OPEN	L'armeria e l'emporio sono aperti.
MID_TUT_HUB_WEAPONSHOP_TITLE	Armeria
MID_TUT_HUB_WEAPONSHOP_0	Qui puoi acquistare e vendere armi.
MID_TUT_HUB_WEAPONSHOP_1	L'inventario dell'armeria si arricchirà con\nil prosieguo della storia e l'arrivo di nuovi\noggetti.
MID_TUT_HUB_ITEMSHOP_TITLE	Emporio
MID_TUT_HUB_ITEMSHOP_0	Qui puoi acquistare e vendere gli oggetti usati\nin battaglia, come gli unguenti o i bastoni.
MID_TUT_HUB_ITEMSHOP_1	Col proseguire della storia, l'emporio offrirà\nnuovi oggetti.
MID_TUT_HUB_HERALDICSPACE_OPEN	Ora puoi entrare nella sala degli emblemi.
MID_TUT_HUB_HERALDICSPACE_TITLE	Sala degli emblemi
MID_TUT_HUB_HERALDICSPACE_0	Nella sala degli emblemi puoi interagire\ncon emblemi e relativi anelli\x0E\x01\x0B\x00.\nQui puoi ereditare le abilità degli emblemi.
MID_TUT_HUB_HERALDICSPACE_1	Con i frammenti di legame puoi creare gli anelli\ndel legame o combinarli e potenziare quelli che\nhai già.
MID_TUT_HUB_HERALDICSPACE_2	Puoi anche rafforzare i legami con gli emblemi\nlucidando i loro anelli\x0E\x01\x0B\x00 dopo le battaglie.
MID_TUT_HUB_INHERITSKILL_TITLE	Ereditare le abilità
MID_TUT_HUB_INHERITSKILL_0	Gli alleati possono ereditare alcune abilità dagli\nemblemi usando la funzione "Eredita abilità".
MID_TUT_HUB_INHERITSKILL_1	Per ereditare abilità servono un certo livello di\nlegame e punti abilità (PA), ottenibili usando gli\nanelli del legame e la sincronizzazione.
MID_TUT_HUB_INHERITSKILL_2	Attiva un'abilità ereditata dall'inventario.
MID_TUT_HUB_INHERITSKILL_3	Non puoi beneficiare due volte della stessa\nabilità, quindi cerca di evitare sovrapposizioni.
MID_TUT_HUB_CREATE_RING_TITLE	Creare gli anelli del legame
MID_TUT_HUB_CREATE_RING_0	Puoi creare gli anelli del legame usando\ni frammenti di legame.
MID_TUT_HUB_CREATE_RING_1	Gli anelli del legame migliorano i parametri e\npermettono di ottenere PA, ma non quanto\ngli anelli\x0E\x01\x0B\x00 degli emblemi.
MID_TUT_HUB_ENGWEAPON_REFINE_OPEN	Ora puoi potenziare le armi unione dei tuoi\nemblemi nella sala degli emblemi.
MID_TUT_HUB_ENGWEAPON_REFINE_TITLE	Armi unione
MID_TUT_HUB_ENGWEAPON_REFINE_0	È possibile potenziare le armi unione con alcuni\nmateriali. Puoi incrementare i parametri con\ni cristalli e aggiungere diversi tipi di efficacia.
MID_TUT_HUB_ENGWEAPON_REFINE_1	Puoi ottenere i materiali necessari a potenziare\nle armi unione nelle prove Tempesta o Staffetta.
MID_TUT_HUB_ENGWEAPON_REFINE_2	Ogni arma unione ha un limite al potenziamento.\nNon puoi potenziare ulteriormente un'arma\nquando raggiunge il limite massimo.
MID_TUT_HUB_ENGWEAPON_REFINE_3	Puoi rimuovere i potenziamenti per provare\neffetti nuovi, o incrementare la capacità\ndell'arma aumentando il legame dell'emblema.
MID_TUT_HUB_MASCOT_OPEN	Nella grotta si percepisce una misteriosa aura.
MID_TUT_HUB_MASCOT_TITLE	\x0E\x06\x05\x00
MID_TUT_HUB_MASCOT_0	L'enigmatica creatura \x0E\x06\x05\x00 vigila su\nqueste terre da tempo immemorabile.
MID_TUT_HUB_MASCOT_1	Se ti prenderai cura di \x0E\x06\x05\x00, potrebbe\naccadere qualcosa di meraviglioso.
MID_TUT_HUB_MUSCLEEXERCISES_OPEN	Ora puoi fare ginnastica!
MID_TUT_HUB_MUSCLEEXERCISES_TITLE	Ginnastica
MID_TUT_HUB_MUSCLEEXERCISES_0	Facendo ginnastica è possibile scegliere tra tre\nesercizi per aumentare temporaneamente\ni parametri di \x0E\x06\x03\x00.
MID_TUT_HUB_MUSCLEEXERCISES_1	Ogni esercizio è diverso e ha effetto su un\nparametro diverso. Prova a raggiungere il\npunteggio più alto in tutti e tre!
MID_TUT_HUB_MUSCLEEXERCISES_2	Andando avanti nella storia, sbloccherai nuovi\nlivelli di difficoltà per ciascuno degli esercizi.
MID_TUT_HUB_ME_PUSHUPS_TITLE	Flessioni
MID_TUT_HUB_ME_PUSHUPS_0	Il tempismo è la base delle flessioni. Ferma la\nbarra nella posizione perfetta quando accelera.\nL'attività termina se sbagli tre volte.
MID_TUT_HUB_ME_PUSHUPS_1	Completa l'attività eseguendo il numero di\nflessioni richiesto. Mantieni la concentrazione,\nla velocità della barra aumenterà col tempo!
MID_TUT_HUB_ME_PUSHUPS_2	L'importante è tenersi in forma!
MID_TUT_HUB_ME_SITUP_TITLE	Addominali
MID_TUT_HUB_ME_SITUP_0	Gli addominali richiedono resistenza. Premi\ni pulsanti rapidamente per far salire la barra.\nL'attività termina se la barra tocca il fondo.
MID_TUT_HUB_ME_SITUP_1	Sarà sempre più difficile far salire la barra, ma\npiù velocemente lo farai, maggiore sarà il tuo\npunteggio.
MID_TUT_HUB_ME_SITUP_2	L'importante è tenersi in forma!
MID_TUT_HUB_ME_SQUAT_TITLE	Squat
MID_TUT_HUB_ME_SQUAT_0	Il ritmo è alla base degli squat. Muovi \x0E\x08\x02\x0E\x0CStickL e \x0E\x08\x02\x0E\x0CStickR\nseguendo le istruzioni. L'attività termina se\nsbagli tre volte.
MID_TUT_HUB_ME_SQUAT_1	La chiave del successo è imparare a inclinare e\nruotare \x0E\x08\x02\x0E\x0CStickL e \x0E\x08\x02\x0E\x0CStickR nel modo giusto.
MID_TUT_HUB_ME_SQUAT_2	L'importante è tenersi in forma!
MID_TUT_HUB_ARENA_OPEN	Le porte dell'arena si sono aperte.
MID_TUT_HUB_ARENA_TITLE	Arena
MID_TUT_HUB_ARENA_0	Nell'arena puoi far allenare gli alleati per\nguadagnare esperienza e migliorare i livelli\ndi legame.
MID_TUT_HUB_ARENA_1	Nell'allenamento normale un alleato scelto da te\nsi scontra con un altro. Non costa niente, ma\npuoi farlo un numero limitato di volte.
MID_TUT_HUB_ARENA_2	L'allenamento con gli emblemi migliora il\nlegame tra emblemi e alleati. Puoi farlo tutte le\nvolte che vuoi, ma richiede frammenti di legame.
MID_TUT_HUB_ANIMAL_OPEN	Ora puoi adottare gli animali.
MID_TUT_HUB_ANIMAL_TITLE	Animali
MID_TUT_HUB_ANIMAL_0	Puoi adottare gli animali che incontri durante\nle esplorazioni e portarli con te al Somniel.
MID_TUT_HUB_ANIMAL_1	Dopo averli adottati, puoi lasciare che pascolino\nalla fattoria. A volte potrebbero lasciarti\nqualcosa in regalo, come oggetti e ingredienti.
MID_TUT_HUB_ANIMAL_2	Grazie alle donazioni per i regni che puoi\neffettuare tramite la bacheca, sarà possibile\nadottare più animali.
MID_TUT_HUB_AMIIBO_OPEN	Il gazebo amiibo è aperto.
MID_TUT_HUB_AMIIBO_TITLE	Gazebo amiibo
MID_TUT_HUB_AMIIBO_0	Grazie agli amiibo puoi ricevere oggetti e\nricompense.
MID_TUT_HUB_AMIIBO_1	Otterrai premi speciali leggendo i dati di\nun amiibo di Fire Emblem.
MID_TUT_HUB_DRILLINGSHOP_OPEN	La fucina e la boutique di accessori sono aperte.
MID_TUT_HUB_DRILLINGSHOP_TITLE	Fucina
MID_TUT_HUB_DRILLINGSHOP_0	Scambia materiali e monete per potenziare\nle tue armi nella fucina.
MID_TUT_HUB_DRILLINGSHOP_1	Rendi le tue armi ancora più potenti,\naffinandole e trasformandole.
MID_TUT_HUB_DRILLINGSHOP_2	Modifica un'arma incidendola con il potere di un\nemblema. Ogni emblema può essere associato a\nuna sola arma alla volta.
MID_TUT_HUB_DRILLINGSHOP_3	Puoi anche scambiare i materiali in base\nalle tue necessità.
MID_TUT_HUB_ACCESSORYSHOP_TITLE	Accessori
MID_TUT_HUB_ACCESSORYSHOP_0	Scambia materiali e monete per far confezionare\nvestiti e accessori da indossare quando ti trovi\nnel Somniel.
MID_TUT_HUB_ACCESSORYSHOP_1	La maggior parte degli articoli che crei può\nessere indossata da chiunque.
MID_TUT_HUB_ACCESSORYSHOP_2	Col progredire della storia, sempre più\narticoli saranno disponibili.
MID_TUT_HUB_COOK_OPEN	È ora possibile mangiare in mensa.
MID_TUT_HUB_COOK_TITLE	Mangiare con gli alleati
MID_TUT_HUB_COOK_0	Ordina pasti da mangiare con i tuoi alleati.
MID_TUT_HUB_COOK_1	Se il piatto è preparato bene, gli alleati\nriceveranno un potenziamento dei parametri\nvalido solo nella battaglia successiva.
MID_TUT_HUB_COOK_2	Aumenta il sostegno con i tuoi alleati invitandoli\na mangiare con te.
MID_TUT_HUB_COOK_3	Il cuoco potrebbe anche impacchettarti\ngli avanzi, che potrai usare in battaglia\nper recuperare PS.
MID_TUT_HUB_CAPERIDGE_OPEN	Hai sbloccato la torre delle prove.
MID_TUT_HUB_CAPERIDGE_TITLE	La torre delle prove
MID_TUT_HUB_CAPERIDGE_0	Puoi ottenere ricompense affrontando delle\nprove speciali nella torre delle prove.
MID_TUT_HUB_CAPERIDGE_1	Nelle prove Tempesta dovrai completare più\nbattaglie di fila. Puoi scegliere il livello di\ndifficoltà prima di iniziare.
MID_TUT_HUB_CAPERIDGE_2	Nelle prove Staffetta collaborerai con altri\ngiocatori online, affrontando i nemici a turno.
MID_TUT_HUB_CAPERIDGE_3	Nelle prove Altrotempo potrai sfidare gli\neserciti di altri giocatori online usando mappe\ncreate da te.
MID_TUT_HUB_FISHING_OPEN	Ora puoi pescare!
MID_TUT_HUB_FISHING_TITLE	Pesca
MID_TUT_HUB_FISHING_0	Ora puoi pescare nello stagno. Lancia la lenza\ncon \x0E\x08\x02\x04\x02A. Fai attenzione alle increspature\ndell'acqua causate dai pesci più grandi.
MID_TUT_HUB_FISHING_1	Per catturare il pesce, premi \x0E\x08\x02\x04\x02A quando\nil galleggiante raggiunge il punto più basso.
MID_TUT_HUB_FISHING_2	Se il pesce oppone resistenza, inclina \x0E\x08\x02\x0E\x0CStickL nella\ndirezione opposta alla sua. Il pesce ti sfuggirà\nse non lo tiri su!
MID_TUT_HUB_FISHING_3	Una volta che è vicino a te, premi \x0E\x08\x02\x04\x02A\nripetutamente per ridurre la resistenza\ndel pesce.
MID_TUT_HUB_FISHING_4	Potrai catturarlo quando la resistenza scende\na zero. Usando delle nuove canne da pesca\npuoi prendere pesci più grandi.
MID_TUT_HUB_DRAGONRIDE_OPEN	Ora puoi giocare al Volo in viverna!
MID_TUT_HUB_DRAGONRIDE_TITLE	Volo in viverna
MID_TUT_HUB_DRAGONRIDE_0	In Volo in viverna dovrai volare attraverso un\npercorso e colpire i bersagli fluttuanti che\nincontri.
MID_TUT_HUB_DRAGONRIDE_1	Prova a colpire i bersagli speciali e punta a\nottenere un punteggio alto! Facendo progressi\nnella storia, potrai sbloccare nuovi percorsi.
MID_TUT_HUB_FLEAMARKET_OPEN	Il mercatino è aperto.
MID_TUT_HUB_FLEAMARKET_TITLE	Mercatino
MID_TUT_HUB_FLEAMARKET_0	Il mercatino offre oggetti che potresti non\ntrovare in altri negozi.
MID_TUT_HUB_FLEAMARKET_1	La merce in vendita cambia, quindi dai\nun'occhiata di tanto in tanto.
MID_TUT_HUB_FORTUNE_OPEN	L'indovino ha aperto il suo negozio.
MID_TUT_HUB_FORTUNE_TITLE	Indovino
MID_TUT_HUB_FORTUNE_0	L'indovino Seadall usa le carte per svolgere\nla sua attività.
MID_TUT_HUB_FORTUNE_1	È disponibile solo di sera: visitalo al calar\ndel sole.
MID_TUT_HUB_PROFILE_OPEN	Ora puoi accedere al registro.
MID_TUT_HUB_CAPERIDGE_DETAIL_TITLE	Battaglie nelle prove
MID_TUT_HUB_CAPERIDGE_DETAIL_0	Gli strumenti che usi vengono ripristinati\nal termine di una prova, così come lo stato\ndegli alleati.
MID_TUT_HUB_CAPERIDGE_DETAIL_1	Otterrai dell'esperienza e altre ricompense per\nle battaglie che hai completato al termine della\nprova.
MID_TUT_HUB_CAPERIDGE_DETAIL_2	Dato che i cambiamenti che sperimenta il tuo\nesercito non sono permanenti, non trattenerti\ne gioca senza preoccupazioni!
