MID_MENU_YES	OK
MID_MENU_REFINE_SHOP_EXCHANGE_02	È stata raggiunta la capacità massima.\nImpossibile ottenere \x0E\x01\x00\x00 ×\x0E\x01\x01\x00.
MID_MENU_REFINE_SHOP_EXCHANGE_YES	Scambia
MID_MENU_FLEA_MARKET	Mercatino
MID_MENU_FLEA_MARKET_NOUNIT	Non c'è nessuno al negozio,\nma puoi fare acquisti.
MID_MENU_FORTUNE_TELLING_TITLE	Indovino
MID_MENU_FORTUNE_TELLING_HELP	Scegli a chi leggere il futuro.
MID_MENU_FORTUNE_TELLING_RESULT0	A cosa pensa
MID_MENU_FORTUNE_TELLING_RESULT1	A chi pensa
MID_MENU_PROFILE_CARD	Carta profilo
MID_MENU_PROFILE_CARD_HELP	Vedi la tua carta e scambiala\ncon altri giocatori online.
MID_RINGLIST_SKILLLIST_TITLE	Effetti del legame
MID_RINGLIST_BONDSRING_NAME	Anello del legame
MID_RINGLIST_BONDSRING_NAME_MULTIPLE	Anelli del legame
MID_RINGLIST_BONDSRINGLIST_TITLE	Effetti degli anelli del legame
MID_MAINMENU_START	Nuova partita
MID_MAINMENU_CONTINUE	Continua
MID_MAINMENU_OPTION	Opzioni
MID_MAINMENU_SAVEDATA_COPY	Copia
MID_MAINMENU_SAVEDATA_DELETE	Elimina
MID_MAINMENU_LANGUAGE_SETTING	Cambia lingua
MID_MAINMENU_LANGUAGE_SETTING_HELP	Cambia la lingua del gioco.
MID_MAINMENU_LANGUAGE_MESS	Testo
MID_MAINMENU_LANGUAGE_VOICE	Voce
MID_MAINMENU_LANGUAGE_CONFIRM	Vuoi cambiare la lingua?
MID_MAINMENU_LANGUAGE_CONFIRM_YES	Sì
MID_MAINMENU_PRIVILEFE_LABEL	© Nintendo / INTELLIGENT SYSTEMS
MID_MAINMENU_GAME_VERSION	Ver. \x0E\x01\x00\x00
MID_GAMESTART_PRESS_ANY_BUTTON	PREMI UN PULSANTE
MID_GAMESTART_MODE_TITLE	Modalità
MID_GAMESTART_PLAYER_NAME_TITLE	Nome
MID_GAMESTART_PLAYER_BIRTHDAY_TITLE	Compleanno
MID_GAMESTART_DIFFICULTY_TITLE	Difficoltà
MID_GAMESTART_GROWMODE_TITLE	Crescita
MID_GAMESTART_NETWORK_SERVICE_TITLE	Online
MID_GAMESTART_DIFFICULTY_SELECT_TITLE	Difficoltà
MID_GAMESTART_DIFFICULTY_SELECT_HELP	Scegli un livello di difficoltà.
MID_GAMESTART_MODE_SELECT_TITLE	Modalità
MID_GAMESTART_MODE_SELECT_HELP	Scegli una modalità di gioco.
MID_GAMESTART_GROWMODE_SELECT_TITLE	Crescita parametri
MID_GAMESTART_GROWMODE_SELECT_HELP	Scegli come far crescere i parametri.
MID_GAMESTART_GROEMODE_LOCKED_BY_LUNATIC	Per poter selezionare "Casuale" come tipo di\ncrescita delle tue unità nella difficoltà "Folle",\ndevi prima aver completato il gioco alla\nsuddetta difficoltà.
MID_GAMESTART_NETWORK_SERVICE_ON	Collegati
MID_GAMESTART_NETWORK_SERVICE_OFF	Non collegarti
MID_GAMESTART_PLAYER_GENDER_SELECT_TITLE	Aspetto
MID_GAMESTART_PLAYER_GENDER_SELECT_HELP	Scegli l'aspetto del personaggio.
MID_GAMESTART_PLAYER_NAME_INPUT	Inserisci un nome.
MID_GAMESTART_PLAYER_NAME_CHECK	Ti piace questo nome? (I caratteri non\nsupportati verranno mostrati come \x0E\x01\x00\x00.)
MID_GAMESTART_PLAYER_NAME_CHECK_YES	Sì
MID_GAMESTART_PLAYER_NAME_CHECK_NO	No
MID_GAMESTART_PLAYER_BIRTHDAY_INPUT_TITLE	Data di nascita
MID_GAMESTART_PLAYER_BIRTHDAY_INPUT_HELP	Inserisci la data di nascita.
MID_GAMESTART_PLAYER_BIRTHDAY_INPUT_MONTH	Mese
MID_GAMESTART_PLAYER_BIRTHDAY_INPUT_DAY	Giorno
MID_GAMESTART_PLAYER_BIRTHDAY_INPUT_MONTH_DAY	\x0E\x01\x01\x00/\x0E\x01\x00\x00
MID_GAMESTART_NETWORK_SERVICE_SELECT_TITLE	Impostazioni di rete
MID_GAMESTART_NETWORK_SERVICE_SELECT_HELP	Collegati alla rete per giocare online.
MID_GAMESTART_CONFIRM_FINAL	Vuoi iniziare il gioco?
MID_GAMESTART_CONFIRM_FINAL_OK	Sì
