MID_Hub_ThisTime	Tempo attuale
MID_Hub_CafeTerrace_Cook_Favorite_Good	Ama
MID_Hub_CafeTerrace_Cook_Favorite_Normal	Indifferente
MID_Hub_CafeTerrace_Cook_Favorite_Bad	Non ama
MID_Hub_CafeTerrace_Cook_Chef	Chef
MID_Hub_CafeTerrace_Friend	Commensali
MID_Hub_CafeTerrace_CookMenu	Piatto
MID_Hub_CafeTerrace_Cook_CallFriend	Commensali
MID_Hub_CafeTerrace_Cook_RelianceStatus	Sostegno
MID_Hub_CafeTerrace_Cook_AddFood	Extra
MID_Hub_CafeTerrace_Cook_AddFood_Nothing	-
MID_Hub_CafeTerrace_Cook_CanAddFood	Ingredienti extra aggiungibili
MID_Hub_CafeTerrace_Cook_Confirmation	Vuoi iniziare a cucinare?
MID_Hub_CafeTerrace_Cook_Everyone	Tutte le unità ottengono
MID_Hub_CafeTerrace_Cook_Effect_Nothing	Nessun effetto
MID_Hub_CafeTerrace_Cook_Also	Se \x0E\x01\x00\x00, ottiene anche
MID_Hub_CafeTerrace_Cook_Workmanship	Qualità
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_SS	A++
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_S	A+
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_A	A
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_B	B
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_C	C
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_D	D
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_E	E
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_F	F
MID_Hub_CafeTerrace_Cook_Workmanship_Rank_G	G
MID_Hub_CafeTerrace_Bento_Get	Il cuoco ha impacchettato gli avanzi.
MID_Hub_CafeTerrace_Bento_Discard	Hai buttato via: \x0E\x01\x00\x00.
MID_MENU_NOTICE_BOARD_TITLE	Bacheca
MID_MENU_NOTICE_BOARD_HELP	Scegli la categoria.
MID_MENU_NOTICE_BOARD_INVESTMENT	Donazioni
MID_MENU_NOTICE_BOARD_INVESTMENT_HELP	Seleziona un regno.
MID_MENU_NOTICE_SOLANEL_INFO	Mappa del Somniel
MID_MENU_NOTICE_ACHIEVEMENT	Trofei
MID_MENU_INVESTMENT_AmountOfMoney	Seleziona la cifra da donare.
MID_MENU_INVESTMENT_G	\x0E\x01\x00\x00\x0E\x01\x01\x00 M
MID_MENU_INVESTMENT_NEXT_LEVEL	Al prossimo livello
MID_MENU_INVESTMENT_TOTAL	Totale donato
MID_MENU_INVESTMENT_LEVEL_EFFECT	Effetti nuovo livello
MID_MENU_INVESTMENT_LEVEL_BONUS	Ricompense
MID_MENU_INVESTMENT_RESULT	Esplorazione
MID_MENU_INVESTMENT_LEVEL_EFFECT_MAX	Liv max raggiunto
MID_MENU_INVESTMENT_COMPLETE	FINITO!
MID_MENU_INVESTMENT_COMPLETE_INFO	Hai donato il massimo.
MID_MENU_INVESTMENT_COMPLETE_HELP	\x0E\x08\x02\x04\x02X Guarda i dettagli.
MID_MENU_INVESTMENT_GOLD_ENEMY	Aberrazioni oro
MID_MENU_INVESTMENT_EXP_ENEMY	Aberrazioni argento
MID_MENU_INVESTMENT_ANIMAL_ENABLE	Adottabile
MID_MENU_NATIONDATA_TITLE	Risorse ottenibili (\x0E\x01\x00\x00)
MID_MENU_NATIONDATA_REFINE_ITEM	Minerali
MID_MENU_NATIONDATA_FOOD	Ingredienti
MID_MENU_NATIONDATA_ANIMAL	Animali
MID_MENU_INVESTMENT_BONUS_FILENE_1	Bottino raccolto
MID_MENU_INVESTMENT_BONUS_BRODIA_1	Bottino minerali
MID_MENU_INVESTMENT_BONUS_IRCION_1	Bottino cura
MID_MENU_INVESTMENT_BONUS_SOLUM_1	Bottino mercato
MID_MENU_INVESTMENT_BONUS_2	Bottino costumi nazionali
MID_MENU_INVESTMENT_BONUS_3	Bottino amici
MID_MENU_INVESTMENT_BONUS_4	Bottino costumi locali
MID_MENU_INVESTMENT_BONUS_Get	Hai ricevuto: \x0E\x01\x00\x00.
MID_MENU_INVESTMENT_DIALOG_NEXT_ITEM	Al prossimo livello (\x0E\x01\x00\x00)
MID_MENU_SOLANEL_INFO_TITLE	Mappa del Somniel
MID_MENU_SOLANEL_INFO_COMMENT	Seleziona una destinazione.
MID_MENU_SOLANEL_INFO_CONFIRM_TEXT	Vuoi raggiungere: \x0E\x01\x00\x00?
MID_MENU_SOLANEL_INFO_CONFIRM_YES	Sì
MID_MENU_ACHIEVEMENT_TITLE	Trofei
MID_MENU_ACHIEVEMENT_COUNT_TITLE	Ottenuti
MID_MENU_ACHIEVEMENT_COUNT_UNIT	Alleati
MID_MENU_ACHIEVEMENT_COUNT_BATTLE	Battaglia
MID_MENU_ACHIEVEMENT_COUNT_SOLANEL	Somniel
MID_MENU_ACHIEVEMENT_COUNT_SHOP	Negozi
MID_MENU_ACHIEVEMENT_COUNT_SYSTEM	Sistema
MID_MENU_ACHIEVEMENT_COUNT_TOTAL	Totali
MID_MENU_ACHIEVEMENT_NOW	Attuali:
MID_MENU_ACHIEVEMENT_BONUS	Ricompensa
MID_MENU_ACHIEVEMENT_CLEAR	FATTO!
MID_MENU_ACHIEVEMENT_COMPLETE	FATTO
MID_MENU_ACHIEVEMENT_DIALOG_MESSAGE	Hai accettato la ricompensa per il trofeo:\n\x0E\x01\x00\x00
MID_MENU_ACHIEVEMENT_DIALOG_MESSAGE_ALL	Vuoi accettare tutte le ricompense dei trofei?
MID_MENU_ACHIEVEMENT_DIALOG_MESSAGE_ALLGET	Hai accettato tutte le ricompense dei trofei.
MID_MENU_ACHIEVEMENT_DIALOG_MESSAGE_ALL_YES	Accetta
MID_MENU_ACHIEVEMENT_UNIT_HUMAN	 
MID_MENU_ACHIEVEMENT_UNIT_ITEM	 
MID_MENU_ACHIEVEMENT_UNIT_COUNT	 
MID_MENU_ACHIEVEMENT_UNIT_TIME	 
MID_MENU_ACHIEVEMENT_UNIT_ENEMY	 
MID_MENU_ACHIEVEMENT_Clear_Nothing	Non ci sono nuovi trofei.
MID_Hub_AnimalCoop_Nothing	Non ci sono animali al momento...
MID_Hub_AnimalCoop_Choice	Seleziona gli animali da far uscire.
MID_Hub_AnimalCoop_Trade	Scambia
MID_Hub_AnimalCoop_FreeAnimal	Animali fuori
MID_Hub_AnimalCoop_InAnimal	Nella stalla
MID_Hub_AnimalCoop_Number	Totale
MID_Hub_AnimalCoop_Entrust	Stalla
MID_Hub_AnimalCoop_Contact	Osserva
MID_TUT_HUB_RECORD_HALL_TITLE	Sala del registro
MID_TUT_HUB_RECORD_HALL_0	Nella sala del registro puoi modificare la tua\ncarta profilo e vedere le carte di altri giocatori.
MID_TUT_HUB_RECORD_HALL_1	Puoi effettuare le stesse azioni dal menu\n"Informazioni". (Le foto possono essere\nambientate solo nelle parti esterne del Somniel.)
MID_TUT_HUB_PROFILE_TITLE	Carta profilo
MID_TUT_HUB_PROFILE_0	La carta profilo è uno spazio personalizzabile\nper mostrare a tutti i tuoi progressi nel gioco.
MID_TUT_HUB_PROFILE_1	Con le funzioni online, puoi rendere pubblica\nla tua carta e scambiare le carte con gli altri\ngiocatori.
MID_TUT_HUB_PROFILE_EDIT_TITLE	Modificare la carta profilo
MID_TUT_HUB_PROFILE_EDIT_0	Seleziona "La tua carta" per personalizzare\nla tua carta profilo.
MID_TUT_HUB_PROFILE_EDIT_1	Progredendo nel gioco potrai sbloccare nuove\nopzioni di personalizzazione.
MID_TUT_HUB_PROFILE_PHOTO_TITLE	Foto
MID_TUT_HUB_PROFILE_PHOTO_0	Puoi scattare una foto per abbellire la tua carta.
MID_TUT_HUB_PROFILE_PHOTO_1	Abbiglia i tuoi alleati e falli mettere in posa\nin un luogo a tua scelta del Somniel.
MID_TUT_HUB_PROFILE_PHOTO_2	Quando la scena è pronta, premi \x0E\x08\x02\x0A\x08Plus per\nentrare in modalità foto e poi \x0E\x08\x02\x04\x02L o \x0E\x08\x02\x04\x02R per scattare.
MID_TUT_HUB_PROFILE_TRADE_TITLE	Scambiare carte profilo
MID_TUT_HUB_PROFILE_TRADE_0	Puoi scambiare la carta profilo con i giocatori\nche incontri nelle prove Staffetta e Altrotempo.
MID_TUT_HUB_PROFILE_TRADE_1	Se non vuoi che gli altri giocatori vedano\nla tua carta, puoi cambiarne l'impostazione\ndella privacy.
MID_TUT_HUB_PROFILE_TRADE_2	Puoi visualizzare ed eliminare le carte degli altri\ngiocatori dal menu.
