MID_SYS_EnchantEffect	エンチャント効果
MID_Hub_Refresh	リフレッシュ
MID_Hub_Refresh_Help	仲間を2人選択してください
MID_Hub_Refresh_Entrust	おまかせ
MID_Hub_Refresh_Entrust_Help	支援値を上げられる相手を\n優先的に自動選択します
MID_Hub_Refresh_RelianceLv	支援状況
MID_Hub_Refresh_Place	施設
MID_Hub_Refresh_Unit	リフレッシュさせる仲間
MID_Hub_Refresh_Used	利用済み
MID_Hub_Refresh_Attention	出撃するまでは再度利用できません
MID_Hub_Refresh_Confirmation	リフレッシュを始めますか？
MID_Hub_Refresh_Start	始める
MID_Hub_Refresh_Result	結果だけ見る
MID_Hub_Refresh_Stop	やめる
MID_Hub_Refresh_RelianceLvUP	\x0E\x01\x00\x00と\x0E\x01\x01\x00の\n支援値がアップしました
MID_Hub_Refresh_Reliance_Occurrence	\x0E\x01\x00\x00と\x0E\x01\x01\x00の\n支援会話が発生しました
MID_Hub_Refresh_NoReliance_Occurrence	\x0E\x01\x00\x00と\x0E\x01\x01\x00は\nリフレッシュしました
PCTMID_Hector	少しは俺を頼れよ
PCTMID_Senerio	事実は事実です
PCTMID_Camilla	本当に可愛い子
MID_Movie_K15	紋章士ヘクトル
MID_H_Movie_K15	『熱き猛将の腕輪』より顕現する\n紋章士ヘクトル。
MID_Movie_K16	紋章士セネリオ
MID_H_Movie_K16	『蒼の参謀の腕輪』より顕現する\n紋章士セネリオ。
MID_Movie_K17	紋章士カミラ
MID_H_Movie_K17	『暗き妖艶の腕輪』より顕現する\n紋章士カミラ。
MID_MAP_HIS_EngageWait	\x0E\x01\x00\x00が止水雷轟の構えを使った
MID_MAP_HIS_EngageWaitPlus	\x0E\x01\x00\x00が止水雷轟の構え＋を使った
MID_MAP_HIS_Enchant	\x0E\x01\x00\x00が極限活用を使った
MID_MAP_HIS_Enchant_Weapon	\x0E\x01\x00\x00が武器共鳴を使った
