MID_FRIENDLIST_Vandre_TextD	【初期兵種】パラディン\n【誕生日】11の月26の日\n【備考】第三十二代竜の守り人。\n浮遊島にある離宮ソラネルで\n眠る\x0E\x06\x03\x00の\n世話をしていた。
MID_FRIENDLIST_Rosado_TextC	【好きなもの】\nお洒落、可愛いもの、花、宴会、\n絵画、絵の具、美しい風景、\n自堕落に過ごすこと\n【苦手なもの】\n勉強、難しい本、日焼け、抑圧、\n遊び心のないもの、堅苦しいこと
MID_FRIENDLIST_Rosado_TextB	【趣味】ときめき探し、昼寝\n【特技】絵を描くこと、高速模写\n【来歴】イルシオン王国出身。\n神秘の湖に程近い妖精の村生まれ。\n一人っ子で、かなりの父親似。\n邪竜復活時にはまだ学生であったが\n城に戻るオルテンシアの身を案じ、\nゴルドマリーと共に同行を決めた。
MID_FRIENDLIST_Rosado_TextA	【身長】169cm\n【薬指の指輪サイズ】11号\n【性格】可愛さと美しさを追求し、\n人生を謳歌する楽天家。\n見栄えのする風景を模写しては\n目立つ場所に貼り反応を見ている。\n愛竜を着飾らせるのが好き。\n軍の中で一番、リボン結びの達人。
MID_FRIENDLIST_Rosado_TextS	【パートナーとしての毎日】\n毎日必ずあなたの事を可愛いと褒め\n惜しげもなく甘い言葉をかける。\nあなたを描いた絵が日々上達し、\n仲間たちからは愛を感じると好評。\n約束の指輪は、渡した日の言葉通り\nずっと身に着けて放すことがないが\n指に嵌めるのは二人きりの時だけ。
MID_FRIENDLIST_Goldmary_TextD	【初期兵種】ブレイブヒーロー\n【誕生日】7の月18の日\n【備考】イルシオン王国の王城兵。\n主君オルテンシア王女に付き従い\n朋輩ロサードと共に\n神竜軍と二度の交戦を行うが、\n紺碧海岸で『碧き風空の指輪』を\n携え神竜軍と合流し、麾下に入る。
MID_FRIENDLIST_Goldmary_TextC	【好きなもの】\nお洒落、可愛いもの、掃除、料理、\n花、温泉、褒め言葉、自分自身\n【苦手なもの】\n武器、鍛錬、硬い食べ物、日焼け、\n自分の魅力が通じない人
MID_FRIENDLIST_Goldmary_TextB	【趣味】鏡を見ること、毛繕い\n【特技】お弁当作り、泣き落とし\n【来歴】イルシオン王国出身。\n温泉地にあるペンションの一人娘で\n両親や旅人たちから愛されて育つ。\n邪竜復活時にはまだ学生であったが\n城に戻るオルテンシアの身を案じ、\nロサードと共に同行を決めた。
MID_FRIENDLIST_Goldmary_TextA	【身長】173cm\n【薬指の指輪サイズ】9号\n【性格】内気でオドオドしているが\n控えめに図々しく、発言が大胆。\n自分のことが大好きで、この魅力を\n広めようと多方面にモテたがる。\n手先が器用で家事全般が得意。\n軍の中で一番、泉質に一家言ある。
MID_FRIENDLIST_Goldmary_TextS	【パートナーとしての毎日】\n自分を褒めるのは相変わらずだが\nあなたのことも毎日褒めちぎり、\n仲間の皆に幸せを自慢している。\n戦の前には愛情のこもりまくった\n手作り弁当を持たせようとする。\n約束の指輪は意外と見せびらかさず\n密かに嵌めて微笑んでいるらしい。
MID_FRIENDLIST_Misutira_TextD	【初期兵種】ヴィジランテ\n【誕生日】8の月29の日\n【備考】ソルム王国第一王女。\n臣下にメリン、パネトネがいる。\n『蒼炎の勇者の指輪』を持って\nオアシスで一休みしていたところ、\nやってきた神竜一行と合流。\n共に賊を討伐し、仲間入りする。
MID_FRIENDLIST_Misutira_TextC	【好きなもの】\n肉、音楽、宴会、お洒落、動物、\n野営、放浪、自由、\nみんなで焚き火を囲むこと\n【苦手なもの】\n掃除、御伽噺、細かい作業、\n制約されること、禁止されること
MID_FRIENDLIST_Misutira_TextB	【趣味】歌うこと、野宿、放浪\n【特技】陽動、誘導、火起こし\n【来歴】第一王女として生まれ、\n次期女王としての教育を受けつつも\n自由奔放に育つ。いつも城におらず\n放浪することで国内の状況を把握し\n有事の際に策を講じやすくした。\n国を守るため自警団も務めている。
MID_FRIENDLIST_Misutira_TextA	【身長】159cm\n【薬指の指輪サイズ】10号\n【性格】自由気ままで庶民的。\n誰とでも友好的に接するが探りを\n入れていることも。歌が好きで\nオリジナルの変な歌を突然歌う。\n敵と判断すると容赦をしない。\n軍の中で一番、夜にボンゴを叩く。
MID_FRIENDLIST_Misutira_TextS	【パートナーとしての毎日】\n頻繁に二人きりになる日もあれば、\n何日も別行動の日もある自由な形。\n時間のある時は二人で焚き火をして\n最近あったことを語り合っている。\n約束の指輪はあまり着けないかもと\n言っていたものの、実は金糸の袋に\n入れて毎日大切に持ち歩いている。
MID_FRIENDLIST_Merin_TextD	【初期兵種】ウルフナイト\n【誕生日】9の月24の日\n【備考】ソルム王国の王城騎士。\n主君ミスティラ、朋輩パネトネと\nオアシスで一休みしていたところ、\nやってきた神竜一行と合流。\n共に賊を討伐し、仲間入りする。
MID_FRIENDLIST_Merin_TextC	【好きなもの】\n肉、武器、動物、音楽、\n格好いいもの、珍獣、甘いもの、\nミスティラの唄う歌\n【苦手なもの】\n怪談、強い香りのもの、失敗、\n動物を大切にしない輩
MID_FRIENDLIST_Merin_TextB	【趣味】珍獣の観察と研究\n【特技】動物の名前と生態当て\n【来歴】ソルム王国出身。\n砂の村の村長の娘。兄が二人いるが\nソルムでは女性が家督を継ぐため、\n次期村長となるべく育てられた。\nしかし騎士になる夢が諦めきれず\n家出した先でミスティラと出会う。
MID_FRIENDLIST_Merin_TextA	【身長】173cm\n【薬指の指輪サイズ】11号\n【性格】華やかな雰囲気を持ち、\n日々、格好良さを追求する騎士。\n動物全般、特に珍獣が大好きで\n出会うと我を忘れてはしゃぎ回る。\n格好良くないからと隠したがるが\n軍の中で一番、菓子を弁当にする。
MID_FRIENDLIST_Merin_TextS	【パートナーとしての毎日】\n嬉しいことも悲しいことも全て\n二人で仲良く羊皮紙にしたため、\n神竜図鑑を大切に作り続けている。\nいつか一緒に動物を飼うのが夢。\n約束の指輪は手に取ると顔が綻んで\n格好悪いからと滅多に着けないが、\n頼むと照れながら着けてくれる。
MID_FRIENDLIST_Panetone_TextD	【初期兵種】ベルセルク\n【誕生日】10の月23の日\n【備考】ソルム王国の王城戦士。\nパンドロの妹。\n主君ミスティラ、朋輩メリンと\nオアシスで一休みしていたところ、\nやってきた神竜一行と合流。\n共に賊を討伐し、仲間入りする。
MID_FRIENDLIST_Panetone_TextC	【好きなもの】\n辛いもの、珍味、虫、怪談、武器、\nお化け、廃墟、薄暗い場所、\nミスティラの焼いた肉\n【苦手なもの】\n可愛いもの、料理、花、掃除、\n礼儀作法、教会、神聖そうな場所
MID_FRIENDLIST_Panetone_TextB	【趣味】スリルのある場所の散策\n【特技】喧嘩、近接戦、肉弾戦\n【来歴】ソルム王国出身。\nオアシスの里にある教会の娘。\n両親は聖職者だったが家庭環境が\n劣悪だったため、兄を残して家出。\n荒れて喧嘩を繰り返していたところ\n放浪中だったミスティラと出会う。
MID_FRIENDLIST_Panetone_TextA	【身長】164cm\n【薬指の指輪サイズ】11号\n【性格】丁寧すぎる話し方の淑女。\n身のこなしには品があるものの、\nお化けや虫を好むなど個性的。\nかつて荒れていたことがあり、\n戦闘時はその名残を見せることも。\n軍の中で一番、義理人情に厚い。
MID_FRIENDLIST_Panetone_TextS	【パートナーとしての毎日】\nあなたの前では淑やかにいたいと、\n以前に増して上品に振舞うように。\n心配していたような喧嘩は全くなく\n二人仲睦まじく過ごしている。\n約束の指輪はパネトネお気に入りの\n一見禍々しい黒い箱に入っており、\n戦闘以外では律儀に装着している。
MID_FRIENDLIST_Fogato_TextD	【初期兵種】ヴィジランテ\n【誕生日】2の月14の日\n【備考】ソルム王国第一王子。\n臣下にパンドロ、ボネがいる。\n自警団として異形兵の討伐に\n向かう途中、道に迷う神竜一行に\n声をかけて道案内を申し出た。
MID_FRIENDLIST_Fogato_TextC	【好きなもの】\n肉、宴会、音楽、花、自然、\nトロピカルフルーツ、家族、仲間\n【苦手なもの】\n怪談、御伽噺、芋、釣り、\n泳ぐこと、真意を見破られること
MID_FRIENDLIST_Fogato_TextB	【趣味】お喋り、誰かを口説くこと\n【特技】偵察、身分を隠すこと\n【来歴】第一王子として生まれるが\nソルムは女王制のため姉よりさらに\n自由に育つ。幼少時は王配である\n父と国を放浪。身分を隠し立ち回る\n術を身に着け、今も役立っている。\n現在は国を守るため自警団に所属。
MID_FRIENDLIST_Fogato_TextA	【身長】178cm\n【薬指の指輪サイズ】18号\n【性格】明るく大らかな性格で、\n気に入れば誰でも口説く人たらし。\n宴や楽しいことが大好き。\n軽さと親しみやすさを持つ半面、\n切れ者で相手の腹を探るのが得意。\n軍の中で一番、素直に好きと言う。
MID_FRIENDLIST_Fogato_TextS	【パートナーとしての毎日】\n会う度に大好きだとあなたに言うが\nその意味合いが以前とは変化した。\n愛情表現が非常に情熱的なため、\n見ている仲間たちが照れてしまう。\n約束の指輪は常に身に着けており、\n戦の前に宝石に口付け、二人とも\n無事戻れるよう願掛けをしている。
MID_FRIENDLIST_Pandoro_TextD	【初期兵種】ハイプリースト\n【誕生日】1の月6の日\n【備考】ソルム王国の王城神官。\n朋輩ボネと共に、トゥーラ砂漠に\n現れた異形兵を討伐していたところ\n主君フォガートが合流。\n信仰対象の神竜も加勢に現れ、\n大いに動揺しつつも仲間入り。
MID_FRIENDLIST_Pandoro_TextC	【好きなもの】\n神竜、宴会、音楽、遊び、\n御伽噺、乳製品、歌、\nノリの良い信徒たち\n【苦手なもの】\n運動、鍛錬、激辛、踊り、\n新しいものを否定する人
MID_FRIENDLIST_Pandoro_TextB	【趣味】宴、騒ぐこと\n【特技】歌、徹夜、悩みを聞くこと\n【来歴】ソルム王国出身。\nオアシスの里にある教会の息子。\n両親は聖職者だったが家庭環境が\n劣悪だったため、妹が家出。\n教会を守っていた時にフォガートと\n知り合い、臣下に勧誘される。
MID_FRIENDLIST_Pandoro_TextA	【身長】175cm\n【薬指の指輪サイズ】14号\n【性格】楽しいことが大好き。\n常に新しい宴のことを考えている。\n不真面目だと評価されがちだが\nたいへん信心深く、誠実な聖職者。\n特に神竜には絶対の尊敬を抱く。\n軍の中で一番、声が良く通る。
MID_FRIENDLIST_Pandoro_TextS	【パートナーとしての毎日】\n畏れ多いと遠慮しきりだったが、\n信仰対象に向けたものではない\n優しい笑顔を見せるようになった。\n宴の時のような大げさな表現はせず\n静かにあなたを想っている。\n約束の指輪は自室の小さな祭壇に\n祀るように置き、毎日祈っている。
MID_FRIENDLIST_Bonet_TextD	【初期兵種】グレートナイト\n【誕生日】5の月30の日\n【備考】ソルム王国の王城料理人。\n朋輩パンドロと共にトゥーラ砂漠に\n現れた異形兵を討伐していたところ\n主君フォガートが合流。\nそのまま神竜軍に仲間入りする。
MID_FRIENDLIST_Bonet_TextC	【好きなもの】\n料理、お茶会、香草、花、\n食材全て、おいしそうな物質全て\n【苦手なもの】\n強い香りのもの、日焼け、鍛錬、\n騒がしい場所、眩しい場所、\n濃すぎる味つけのもの
MID_FRIENDLIST_Bonet_TextB	【趣味】味見、ガーデニング\n【特技】食べた料理の完全再現\n【来歴】ソルム王国出身。\n貿易の港町にある食堂の一人息子。\n評判の店だったが賊の襲撃で壊滅。\n数年後に宮廷料理人を決める大会に\n出場し、優勝は逃すもフォガートに\n声をかけられ臣下に勧誘される。
MID_FRIENDLIST_Bonet_TextA	【身長】184cm\n【薬指の指輪サイズ】20号\n【性格】研究熱心でマイペース。\n常に新しい食材を探し求めている。\n美味しそうと感じれば食べ物以外も\n味見をしたがる変わり者。\n味覚以外も、あらゆる感覚が鋭い。\n軍の中で一番、旗章学に詳しい。
MID_FRIENDLIST_Bonet_TextS	【パートナーとしての毎日】\nあなたとの日々から着想を得た\n料理を生み出し幸せを感じている。\n時間がある時は二人で菜園の世話を\nしつつ甘美な会話を味わうことも。\n約束の指輪は銀食器のような小箱に\n花やハーブと共に保管している。\n実は一度、宝石部分の味見をした。
MID_FRIENDLIST_Anna_TextD	【初期兵種】アクスファイター\n【誕生日】6の月8の日\n【備考】見習い行商人。\n高く売れそうなお宝を求めて\n盗賊団の根城に忍び込んだところ、\n神竜軍との交戦が始まり\n宝箱の中に避難。その後見つかり、\n神竜軍に仲間入りする。
MID_FRIENDLIST_Anna_TextC	【好きなもの】\n乳製品、高級品、工作、裁縫、\n料理、お祭り、雪、商売繁盛\n【苦手なもの】\n怪談、虫、激辛、硬い食べ物、\n家族の夢を見た朝
MID_FRIENDLIST_Anna_TextB	【趣味】新商品の企画開発\n【特技】金勘定、薪割り\n【来歴】イルシオン王国出身。\n秘境にある冬祭りの里の生まれ。\n里に住む一族は皆行商人をしており\n同じ顔と名前の姉妹が大勢いる。\n行商の途中に家族とはぐれてしまい\n一人でなんとか生計を立てていた。
MID_FRIENDLIST_Anna_TextA	【身長】142cm\n【薬指の指輪サイズ】3号\n【性格】ちゃっかりとした守銭奴。\n事あるごとに商品を勧めてくるが、\nうまく売れないと半泣きになる。\nお祭り好きで、少しの嬉しい事でも\n特別な日として祝うのが好き。\n軍の中で一番、記念日が多い。
MID_FRIENDLIST_Anna_TextS	【パートナーとしての毎日】\nいつも仲良く新商品の案を出し合い\n次の一獲千金を夢見ている。\nパートナーとなった日のことは、\n誕生日よりも大切な記念日だとして\n毎年二人で祝うことに決めた。\n約束の指輪はサイズが大きいため\n紐を通し首飾りにして着けている。
MID_FRIENDLIST_Jean_TextD	【初期兵種】モンク\n【誕生日】3の月31の日\n【備考】フィレネ王国の平民。\n茶畑の里に異形兵が襲撃した際、\n父親の診療所で戦っていた。\n救援に現れた神竜軍の力を借りて\n異形兵を退けたのち、\n医者の卵として神竜に同行を志願。
MID_FRIENDLIST_Jean_TextC	【好きなもの】\nお茶会、勉強、読書、動物、\n健康そうな人、珍しい薬草、\n故郷の茶葉で淹れるお茶\n【苦手なもの】\n運動、鍛錬、宴会、珍味、\n怪我、病気、自身の技術不足
MID_FRIENDLIST_Jean_TextB	【趣味】図鑑を読むこと\n【特技】薬の調合、お茶の用意\n【来歴】フィレネ王国出身。\n茶畑の里にある診療所の息子。\n父は医者、母は茶葉の加工職人。\n年の離れた姉がおり、彼女もまた\n医者としてフィレネ本土にいる。\nいつか診療所を継ぐことが夢。
MID_FRIENDLIST_Jean_TextA	【身長】140cm\n【薬指の指輪サイズ】4号\n【性格】内気だが心優しい性格。\n夢のために勉強を続ける努力家。\n幼いがお化けの類は全く怖がらず\n怪我や病気の方を恐ろしく感じる。\n特徴的な言葉遣いは、島の方言。\n軍の中で一番、散髪が上手い。
MID_FRIENDLIST_Jean_TextS	【パートナーとしての毎日】\n指輪を受け取った日の言葉通り、\n常にあなたの身を案じ支えている。\n二人で薬草を採りに行くと、一本は\n記念に押し花として医学書に挟む。\n約束の指輪は美しいガラスの瓶に\n入れて保管し、指に嵌められるほど\n立派な青年になる日を待っている。
MID_FRIENDLIST_Yunaka_TextD	【初期兵種】シーフ\n【誕生日】7の月28の日\n【備考】神出鬼没の盗賊。\nフィレネ郊外で出会い、\n『暁の巫女の指輪』を取り返すため\n廃村にて共闘。戦闘後、盗んだのは\n自分であったことを告白し謝罪。\n以降、神竜軍に仲間入りする。
MID_FRIENDLIST_Yunaka_TextC	【好きなもの】\n武器、読書、音楽、鍛錬、毒物、\n暗がりでの任務、見通しの悪い場所\n【苦手なもの】\n御伽噺、宴会、動物、家事、詮索、\n強い香りのもの、顔を見られること
MID_FRIENDLIST_Yunaka_TextB	【趣味】人目のない所で過ごす\n【特技】物真似、武器の手入れ\n【来歴】ブロディア王国出身。\n両親は早くに亡くなったそうだが\nその真偽は不明。\n新しい自分になる事を願い、\n祖国を旅立った。
MID_FRIENDLIST_Yunaka_TextA	【身長】164cm\n【薬指の指輪サイズ】9号\n【性格】活動的で、ノリが良い。\n演技力が優れており、仲間の真似や\n動物の鳴き真似に長けている。\n一人でいる時や戦闘中は、まるで\n別人のような雰囲気になることも。\n軍の中で一番、真贋を見破れる。
MID_FRIENDLIST_Yunaka_TextS	【パートナーとしての毎日】\nあなたには嘘をつく必要がなくなり\n純粋な笑顔を見せるようになった。\n二人きりの時は、昔の話も少しずつ\n思い出にするように教えてくれる。\n約束の指輪は真っ当に稼いだお金で\n奮発して買った金細工の小箱に入れ\n自分の命よりも大切にしている。
MID_FRIENDLIST_Seadas_TextD	【初期兵種】ダンサー\n【誕生日】4の月21の日\n【備考】ソルム王国の踊り手。\n北の城塞で踊りの練習をしていた\nところを異形兵に襲われるが、\n『未来を選びし者の指輪』の声に\n導かれ城塞内に身を隠す。その後\n神竜軍に助けられ仲間入り。
MID_FRIENDLIST_Seadas_TextC	【好きなもの】\n音楽、肉、お洒落、読書、香草、\n星、月、甘いもの、脂もの、\n行ったことのない場所の空想\n【苦手なもの】\n鍛錬、日焼け、早起き、苦いもの、\n我慢、食べ過ぎた翌朝
MID_FRIENDLIST_Seadas_TextB	【趣味】知らない町を眺めること\n【特技】踊り、占い、暴食\n【来歴】ソルム王国出身。\n風光明媚な紺碧海岸の生まれ。\n父は既におらず、占い師だった母も\n早くに亡くなり、隊商に拾われる。\n師匠から踊りを学んで独り立ちし、\n今では名の知れた踊り手となった。
MID_FRIENDLIST_Seadas_TextA	【身長】177cm\n【薬指の指輪サイズ】13号\n【性格】華やかな魅力のある人物。\n神秘的な雰囲気でやや毒舌だが\n気に入った相手には特別優しい。\n見た目には気を遣っているものの、\n食べ物が好きで日々葛藤している。\n軍の中で一番、蜂蜜が好き。
MID_FRIENDLIST_Seadas_TextS	【パートナーとしての毎日】\n星の綺麗な夜には、決まって二人で\n空を見て語らうようになった。\nあなたと一緒だと満たされるからと\n空腹の時によく来て中々帰らない。\n約束の指輪は金糸で刺繍された\nビロードの袋に入れ、特別な踊りを\n見せる時にだけその指に嵌める。
MID_FRIENDLIST_Linden_TextD	【初期兵種】セイジ\n【誕生日】6の月29の日\n【備考】イルシオン王国の王城兵。\nフィレネからイルシオンへと向かう\n神竜一行の船を足止めするべく\n戦闘を仕掛けたが、個人としては\n思うところがあり、説得に応じ\n神竜軍に仲間入りする。
MID_FRIENDLIST_Linden_TextC	【好きなもの】\n散歩、工作、読書、勉強、料理、\n芋、実験、魔道書、興味深い結果\n【苦手なもの】\n武器、掃除、激しい運動、\n実験の失敗、爆発の後片付け
MID_FRIENDLIST_Linden_TextB	【趣味】実験、若者との交流\n【特技】魔法を使っての菓子作り\n【来歴】イルシオン王国出身。\n知識の塔近辺にある村の生まれ。\n若い頃はハイアシンスの兄王の\n臣下を務める優秀な王城兵だった。\n既婚だが妻は逝去しており、\n三人の子供も独り立ちしている。
MID_FRIENDLIST_Linden_TextA	【身長】175cm\n【薬指の指輪サイズ】19号\n【性格】膨大な魔力を持つ賢者。\n知識欲の塊で、いつも本を読んだり\n珍妙な実験を行ったりしている。\n得意料理はサンダーでじっくり\n通電して焼くケーキやクッキー。\n軍の中で一番、静電気を放つ。
MID_FRIENDLIST_Linden_TextS	【パートナーとしての毎日】\n仲の良い親子のように、いつも\n一緒に実験をして笑い合っている。\nあなたを気にかけ世話を焼くことが\nすっかり生きがいになったという。\n約束の指輪は胸元のロケットに\n入れており、あなたが即位する日に\n初めて指に嵌めようと思っている。
MID_FRIENDLIST_Saphir_TextD	【初期兵種】ウォーリアー\n【誕生日】1の月17の日\n【備考】ブロディア王国の王城兵。\nイルシオンに上陸した神竜軍に\nブロディア城の無事を伝えようと、\n単身でジーヴル港に向かう。\n戦の中で神竜軍と無事合流し、\n麾下に入り戦う。
MID_FRIENDLIST_Saphir_TextC	【好きなもの】\n魚、鍛錬、釣り、武器、宴会、\n芋、乳製品、騒がしい夜\n【苦手なもの】\n細かい作業、お洒落、可愛いもの、\n高級品、儚げな見た目の人物、\nイルシオン兵
MID_FRIENDLIST_Saphir_TextB	【趣味】手合わせ\n【特技】魚を捌くこと、水泳\n【来歴】ブロディア王国出身。\n田舎の漁村で生まれ育つ。\n幼少時に、海路より攻め込んできた\nイルシオン兵に襲われ両親を失う。\n以降は傭兵の仕事を転々とし、\n腕を買われ王城兵に成り上がる。
MID_FRIENDLIST_Saphir_TextA	【身長】177cm\n【薬指の指輪サイズ】14号\n【性格】勇猛で、意志が強い人物。\n己が腕を高めたい求道者の性質で、\n鍛錬や強者との手合わせを好む。\nガサツだが面倒見がよく、\n年若い者の相談には率先して乗る。\n軍の中で一番、魚の種類に詳しい。
MID_FRIENDLIST_Saphir_TextS	【パートナーとしての毎日】\n二人で鍛錬や手合わせをする中で\n心を通い合わせ、絆を深めている。\n稀にあなたのために得意の魚料理を\n振舞って親愛を示すことも。\n約束の指輪は、似合わないからと\nあまり身に着けることがないが、\n出陣の際には鎧に忍ばせている。
MID_FRIENDLIST_Veyre_TextD	【初期兵種】邪竜ノ娘\n【誕生日】9の月12の日\n【備考】邪竜ソンブルの娘。\n神竜\x0E\x06\x03\x00の唯一の妹。\nソンブルの策略により敵対したが、\nヴェイルの意志で悪しき己を撃破。\n世界を救う竜となるため、\n神竜側で戦うことを決める。
MID_FRIENDLIST_Veyre_TextC	【好きなもの】\n激辛、散歩、読書、花、遊び、\n蝋燭の明かり、きょうだい\n【苦手なもの】\n高級品、強い香りのもの、悪い夢、\n甘いもの、明るい場所
MID_FRIENDLIST_Veyre_TextB	【趣味】人助け、仲間との交流\n【特技】精巧な異形兵を作ること\n【来歴】グラドロンの地で生を受け\n邪竜の御子たちの末妹として育つ。\n母は優しき心を持つ魔竜族だった。\n千年の時を孤独に過ごし、父親に\n駒として扱われ望まぬ戦を重ねたが\n善良な心を失うことはなかった。
MID_FRIENDLIST_Veyre_TextA	【身長】158cm\n【薬指の指輪サイズ】5号\n【性格】優しく純真。自分よりも\n相手のことを優先するお人好し。\n人の役に立つことを何よりも望み、\n困っている人は放っておけない。\n遠慮がちだが本当は大の遊び好き。\n軍の中で一番、痛みに強い。
MID_FRIENDLIST_Veyre_TextS	【パートナーとしての毎日】\n二人で人助けをしたり激辛料理に\n挑戦したりと仲睦まじく過ごす。\n傍にいない時も心で通じ合うような\n不思議な関係を築いている。\n約束の指輪は一番のお守りとして、\nかつてあなたの竜石を保護していた\n神聖な布に包んで持ち歩いている。
MID_FRIENDLIST_Mauve_TextD	【初期兵種】ロイヤルナイト\n【誕生日】9の月13の日\n【備考】ヴェイルの騎士。\nかつての四狗の一員で神竜軍とは\n敵対関係にあったが、ソンブルや\nセピアの信義に悖る行いに反発。\n同胞の無念を晴らす為、主君である\nヴェイルの為、神竜側に与する。
MID_FRIENDLIST_Mauve_TextC	【好きなもの】\n激辛、鍛錬、工作、武器、肉、花、\n牧歌的な風景、パイ包み\n【苦手なもの】\n遊び、宴会、高級品、おしゃべり、\n隠密行動、道理に反する行い
MID_FRIENDLIST_Mauve_TextB	【趣味】人助け、話を聞くこと\n【特技】不眠不休の見張り\n【来歴】フィレネ王国出身。\n裕福な家の一人息子であったが、\n父を亡くし心を病んだ母に連れられ\nイルシオン王国の邪竜信徒となる。\n隠された神殿でヴェイルと出会い、\n邪竜復活後は四狗として仕える。
MID_FRIENDLIST_Mauve_TextA	【身長】195cm\n【薬指の指輪サイズ】24号\n【性格】朴訥とした武人。\n多くを語らず誤解される事もあるが\n弱きを守る優しい性格。\n真面目に任務を遂行するあまり\n休み方を知らず、娯楽とは無縁。\n軍の中で一番、催眠術が効かない。
MID_FRIENDLIST_Mauve_TextS	【パートナーとしての毎日】\nあなたを独占しようとはしないが\n目の届く場所で守ろうとする。\n二人きりの時は殊更に優しく、\n宝物に触れるように接してくれる。\n約束の指輪は彼の持ち物では珍しい\n繊細な彫刻の小箱に入っており、\n日々几帳面に手入れされている。
MID_FRIENDLIST_Mascot_TextD	【であった日】\x0E\x01\x00\x00の月\x0E\x01\x01\x00の日\n【おおきさ】ふくらんだパンぐらい\n【おもさ】モモ2こぶん\n【びこう】ソラネルのまもりがみ。\nどうくつにある、さいだんにいた。\n\x0E\x06\x03\x00をみると、\nうれしくておいかけてしまう。\nルミエルとはむかしなじみ。
MID_FRIENDLIST_Mascot_TextA	【せいかく】\nおだやかで、いつもごきげん\n【好きなもの】\n\x0E\x06\x03\x00、ちょうちょ、\nやわらかいもの、あたたかいもの、\nはじめて食べるたべもの\n【苦手なもの】\n今までいたひとがいなくなること
