MID_TUT_CATEGORY_TITLE_Battle	戦闘
MID_TUT_GOD_LIN_4	エンゲージ技「流星群」は\n弓による超遠距離からの5連続攻撃で\n一方的に敵を攻撃することができます
MID_TUT_GOD_LUCINA_TITLE	紋章士ルキナ
MID_TUT_GOD_LUCINA_0	紋章士ルキナは、仲間との共闘を得意とし\n味方の近くで戦う時に大きな力を発揮します
MID_TUT_GOD_LUCINA_1	シンクロスキル「デュアルアタック」は\nシンクロ中の味方を、戦闘スタイルに関係なく\n「チェインアタック」ができるようにします
MID_TUT_GOD_LUCINA_2	エンゲージ武器「ノーブルレイピア」は\n騎馬の敵や重装兵に大ダメージを与えられます
MID_TUT_GOD_LUCINA_3	エンゲージスキル「絆盾」は\n隣接する全ての味方が受ける攻撃を\n高確率で無効化します
MID_TUT_GOD_LUCINA_4	エンゲージ技「オールフォーワン」は\n周囲2マスにいる味方が、スタイルに関係なく\n「チェインアタック」に参加してくれます
MID_TUT_GOD_IKE_TITLE	紋章士アイク
MID_TUT_GOD_IKE_0	「紋章士アイク」は、攻撃力・耐久力に優れ\nダメージを受けるほど、大きな力を発揮します
MID_TUT_GOD_IKE_1	シンクロスキル「勇将」は\nHP減少時に守備や魔防が上昇します
MID_TUT_GOD_IKE_2	エンゲージ武器「ハンマー」は\n敵をスマッシュすることができ\n重装兵に大ダメージを与えられます
MID_TUT_GOD_IKE_3	エンゲージスキル「不動」は\n回避を0にする代わりに\n受けるダメージを半減します
MID_TUT_GOD_IKE_4	エンゲージ技「覇克・天空」は\n1ターン守りを固めて敵の攻撃に耐え、\n次のターンに範囲攻撃し、HPを回復します
MID_TUT_GOD_KAMUI_TITLE	紋章士カムイ
MID_TUT_GOD_KAMUI_0	「紋章士カムイ」は、敵の行動や地形効果を制御し\n戦いを有利にコントロールすることができます
MID_TUT_GOD_KAMUI_1	シンクロスキル「竜脈」は、シンクロ中の味方の\nスタイルに応じた、様々な特殊効果を地形に付与し\nその地形の「炎」「瘴気」などの効果を打ち消します
MID_TUT_GOD_KAMUI_2	エンゲージ武器「逆刀」は\n武器の相性が逆転し、槍の敵をブレイクできます\n（斧の敵からブレイクされます）
MID_TUT_GOD_KAMUI_3	エンゲージスキル「呪縛」は\n自分から攻撃した時に、相手と\nその周囲1マスの敵を1ターン移動できなくします
MID_TUT_GOD_KAMUI_4	エンゲージ技「竜穿砲」は、前方に並んだ敵を\n一度に攻撃し、地形に「水たまり」を付与します\n（竜脈同様、「炎」などの効果を打ち消します）
MID_TUT_GOD_BYLETH_TITLE	紋章士ベレト
MID_TUT_GOD_BYLETH_0	「紋章士ベレト」は、複数の味方の能力を上昇させ\n勝利へと導くことができます
MID_TUT_GOD_BYLETH_1	シンクロスキル「天刻の拍動」は\n外れてしまったはずの攻撃が\n一定の確率で命中するようになります
MID_TUT_GOD_BYLETH_2	エンゲージ武器「英雄の遺産」は\nエンゲージ中の味方の戦闘スタイルに応じた\n特殊な武具を使用できます
MID_TUT_GOD_BYLETH_3	エンゲージスキル「指導」は\n周囲の味方の基本能力を上昇させます
MID_TUT_GOD_BYLETH_4	エンゲージ技「計略：女神の舞」は\n隣接する味方全員を再行動させ\n基本能力を上昇させます
MID_TUT_GOD_EIRIK_TITLE	紋章士エイリーク
MID_TUT_GOD_EIRIK_0	「紋章士エイリーク」は、双子の兄のエフラムと交代し\n状況に応じて能力を切り替えながら戦うことができます
MID_TUT_GOD_EIRIK_1	シンクロスキル「月の腕輪」は\n攻撃する敵の守備が高いほど\n与えるダメージが上昇します
MID_TUT_GOD_EIRIK_2	エンゲージ武器「レイピア」は\n騎馬の敵や重装兵に大ダメージを与えられます
MID_TUT_GOD_EIRIK_3	エンゲージスキル「双聖」は\nエイリークのスキルとエフラムのスキルを\n同時に発動することができます
MID_TUT_GOD_EIRIK_4	エンゲージ技「ツインストライク」は\n剣と槍による攻撃でブレイクを取りやすく\n異形の敵に大ダメージを与えられます
MID_TUT_GOD_LUEUR_TITLE	紋章士\x0E\x06\x03\x00
MID_TUT_GOD_LUEUR_0	「紋章士\x0E\x06\x03\x00」はシンクロする必要が無く\n出撃中に「エンゲージ＋」を使うことで\nその場で誰とでもエンゲージができます
MID_TUT_GOD_LUEUR_1	シンクロスキル「絆を繋和ぐもの」は、自分と\n近くにいるシンクロ・エンゲージしている味方の\n命中と回避を上昇させます
MID_TUT_GOD_LUEUR_2	エンゲージ武器「ライラシオン」は\n自分から攻撃して敵を撃破した際、隣接している\nシンクロ中の全味方のエンゲージカウントが増えます
MID_TUT_GOD_LUEUR_3	エンゲージスキル「以心」は\n自分から攻撃して敵を撃破した時\nエンゲージ相手の基本能力を大幅に上昇させます
MID_TUT_GOD_LUEUR_4	エンゲージ技「神竜破」は\n剣とビーム（魔法）の連続攻撃を放ち\n敵の守備や魔防が高くても大ダメージを与えられます
MID_TUT_GOD_LUEUR_KL_TITLE	紋章士\x0E\x06\x03\x00の絆レベル
MID_TUT_GOD_LUEUR_KL_0	紋章士\x0E\x06\x03\x00の「絆レベル」は\n他の紋章士と異なり、絆経験値ではなく\n仲間との支援レベルが上がることで上昇します
MID_TUT_GOD_LUEUR_KL_1	仲間との支援レベルがC未満なら「絆レベル1」\nCなら「絆レベル5」、Bなら「絆レベル10」\nAなら「絆レベル20」になります
MID_TUT_ENGAGE_PLUS_TITLE	エンゲージ＋
MID_TUT_ENGAGE_PLUS_0	\x0E\x06\x03\x00のエンゲージカウントが溜まった状態で\nエンゲージしたい味方に隣接すれば\n「エンゲージ＋」が選択できるようになります
MID_TUT_ENGAGE_PLUS_1	選択した相手が紋章士\x0E\x06\x03\x00との\nエンゲージ状態になると同時に\n\x0E\x06\x03\x00自身もエンゲージ状態になります
MID_TUT_ENGAGE_PLUS_2	エンゲージ相手と隣接した状態では\nエンゲージ技が「絆・神竜破」に変化し\n強力な攻撃を放つことができます
MID_TUT_BMAP_SORTIE_TITLE	出撃準備
MID_TUT_BMAP_SORTIE_0	戦闘を開始する前に、出撃する味方を選んだり\n紋章士の指輪\x0E\x01\x08\x00や、持ち物を選んだりといった\n「出撃準備」を行うことができます
MID_TUT_BMAP_SORTIE_1	準備ができたら「戦闘開始」を選べば\n戦場に出撃します
MID_TUT_BMAP_UNIT_SELECT_TITLE	ユニット編成
MID_TUT_BMAP_UNIT_SELECT_0	「ユニット編成」では、マップに出撃させる\nメンバーを選ぶことができます\n\x0E\x08\x02\x04\x02Aで\x0E\x08\x02\x16\x14IconSortieをオン/オフすることで選びます
MID_TUT_BMAP_UNIT_SELECT_1	「緑色の枠」がついている味方は\nそのマップに出撃することが決まっており\n変更することはできません
MID_TUT_BMAP_UNIT_SELECT_2	出撃可能な味方の数は\n戦闘マップごとに決められています
MID_TUT_BMAP_MAPVERIFICATION_TITLE	配置変更
MID_TUT_BMAP_MAPVERIFICATION_0	「配置変更」では、出撃時の味方の位置を\n入れ替えて変更することができます
MID_TUT_BMAP_MAPVERIFICATION_1	まず、場所を変更したい味方を\x0E\x08\x02\x04\x02Aで選びます
MID_TUT_BMAP_MAPVERIFICATION_2	次に、別の味方を\x0E\x08\x02\x04\x02Aで選ぶと\n二人の位置を入れ替えることができます\n（位置を動かせない味方もいます）
MID_TUT_BMAP_MAPVERIFICATION_3	この時、カーソルを動かすことで\n地形情報や、敵の能力も確認することができます
MID_TUT_BMAP_HERALDICCHOICE_TITLE	紋章士の指輪\x0E\x01\x08\x00
MID_TUT_BMAP_HERALDICCHOICE_0	「紋章士の指輪\x0E\x01\x08\x00」では、\n味方とシンクロする紋章士を決めたり\n変更したりすることができます
MID_TUT_BMAP_HERALDICCHOICE_1	「味方ユニット」→「指輪\x0E\x01\x08\x00」の順番で\n選択して、組み合わせを決定します
MID_TUT_BMAP_GETTINGDRESSED_TITLE	身支度
MID_TUT_BMAP_GETTINGDRESSED_0	「身支度」では、出撃中に使用する武器や\nアイテムを整理することができます
MID_TUT_BMAP_GETTINGDRESSED_1	「持ち物整理」「持ち物交換」では、味方が持つ\n武器や道具を整理したり、輸送隊や他の味方と\n交換したりすることができます
MID_TUT_BMAP_GETTINGDRESSED_2	「おまかせ装備」を選ぶと\n所持しているアイテムの中から\n自動で適した物を選びます
MID_TUT_BMAP_GETTINGDRESSED_3	「すべて預ける」を選ぶと\n持っているアイテムを全て輸送隊に預けます
MID_TUT_BMAP_EQUIP_SKILL_TITLE	スキル着脱
MID_TUT_BMAP_EQUIP_SKILL_0	「身支度」の「スキル着脱」から\n現在習得している「スキル」が確認でき\n「継承スキル」を付け替えることができます
MID_TUT_BMAP_EQUIP_SKILL_1	「継承スキル」はソラネルの「紋章士の間」などで\n紋章士から継承することができます
MID_TUT_BMAP_CLASSCHANGE_TITLE	クラスチェンジ
MID_TUT_BMAP_CLASSCHANGE_0	「マスタープルフ」を持っていると\nレベルが10以上になった味方を\n上級兵種に「クラスチェンジ」できます
MID_TUT_BMAP_CLASSCHANGE_1	上級兵種になると能力が上がったり\n使用可能な武器が増えたりと\nユニットが強化されます
MID_TUT_BMAP_CLASSCHANGE_2	「チェンジプルフ」を持っていると\n同じ職位の、別系統の兵種に\n「クラスチェンジ」することができます
MID_TUT_BMAP_CLASSCHANGE_3	「クラスチェンジ」は「身支度」から\n行うことができます
MID_TUT_BMAP_APTITUDE_TITLE	素質
MID_TUT_BMAP_APTITUDE_0	別の兵種にクラスチェンジするためには\n特定の「素質」が必要になります
MID_TUT_BMAP_APTITUDE_1	最初から持っている素質を「天性素質」といい\nこれを活かせる兵種にクラスチェンジすると\n高い才能が発揮できます
MID_TUT_BMAP_APTITUDE_2	持っていない「素質」は紋章士から\n継承して手に入れることができ\n好きな兵種を目指すことができます
MID_TUT_GMAP_BASIC_TITLE	ワールドマップ
MID_TUT_GMAP_BASIC_0	次の章や、目的地への移動は\n「ワールドマップ」で行います
MID_TUT_GMAP_BASIC_1	行きたい場所へ\x0E\x06\x03\x00を移動させ\n\x0E\x08\x02\x04\x02Aを押すとメニューが開き\nストーリーを進めることができます
MID_TUT_GMAP_BASIC_2	メニューからは身支度を行ったり\nソラネルへ戻ったりすることなどができます
MID_TUT_GMAP_SIDE_TITLE	外伝
MID_TUT_GMAP_SIDE_0	ゲームをプレイしていると、ワールドマップ上に\n「外伝マップ」が出現することがあります
MID_TUT_GMAP_SIDE_1	立ち寄るかどうかは自由ですが\n新たな仲間が加わるなど、良いこともあるので\n訪れてみると良いでしょう
MID_TUT_GMAP_ENCOUNT_TITLE	遭遇戦
MID_TUT_GMAP_ENCOUNT_0	これまで通ったワールドマップ上の場所に\n異形兵や、その国の兵士たちが\n出現することがあります
MID_TUT_GMAP_ENCOUNT_1	その場所へ移動すると「遭遇戦」や\n「訓練」を行うことができます
MID_TUT_GMAP_ENCOUNT_2	通常の戦闘と同じように経験値が得られ\nゴールドやアイテムが手に入ることもあるので\n上手く活用すると良いでしょう
MID_TUT_GMAP_RANKING_TITLE	出撃ランキング
MID_TUT_GMAP_RANKING_0	ネットワークに接続していると、世界中のプレイヤーが\nこのマップで、どのユニットと紋章士を出撃させたかを\nランキング形式で見ることができます
MID_TUT_GMAP_RANKING_1	ユニット編成で出撃する味方を選ぶ際の\n参考にすると良いでしょう
MID_TUT_KR_KIZUNARESULT_TITLE	散策
MID_TUT_KR_KIZUNARESULT_0	戦闘が終了すると「散策」がはじまり\n周囲を歩いて、仲間と会話をすることができます
MID_TUT_KR_KIZUNARESULT_1	時にはアイテムが落ちていることもあります\n探してみると良いでしょう
MID_TUT_KR_KIZUNARESULT_2	散策を終了したい時は出口にアクセスするか\n\x0E\x08\x02\x0A\x08Plusでメニューを開き、「次へ進む」を選択します
MID_TUT_KR_KIZUNAPIECE_TITLE	絆のかけら
MID_TUT_KR_KIZUNAPIECE_0	「散策」で仲間と会話をすると\n「絆のかけら」を貰えることがあります
MID_TUT_KR_KIZUNAPIECE_1	「絆のかけら」はソラネルで\n紋章士と鍛錬をする時や\n絆の指輪を精製する時などに使用します
MID_TUT_KR_KIZUNAPIECE_2	「散策」を終える時に、まだ「絆のかけら」を\nくれる仲間が残っていた場合は\n自動でその分の「絆のかけら」も入手できます
MID_TUT_HUB_BASIC_TITLE	拠点
MID_TUT_HUB_BASIC_0	拠点「ソラネル」では、次の戦いへの準備や\n仲間たちと交流をすることなどができます
MID_TUT_HUB_BASIC_1	最初は出来ることが少ないですが\nストーリーが進むにつれて\n利用できる施設が増えていきます
MID_TUT_HUB_BASIC_2	準備を終えて次の章へ進みたい時は\nエントランスにある出口か、メニューから\n「次へ進む」を選んでください
MID_TUT_HUB_CENTRALLOBBY_OPEN	「カフェテラス」が利用できるようになりました
MID_TUT_HUB_CENTRALLOBBY_TITLE	カフェテラス
MID_TUT_HUB_CENTRALLOBBY_0	「カフェテラス」は\n仲間たちが集う憩いの場で\n様々な設備が集まっています
MID_TUT_HUB_CENTRALLOBBY_1	「サウンドボックス」では\nソラネルに流れている音楽を\n好きなものに変更することができます
MID_TUT_HUB_CENTRALLOBBY_2	「掲示板」では、「拠点情報」が見られます\nまた、各国へ「投資」を行ったり\nこれまでの「実績」を確認したりできます
MID_TUT_HUB_INVESTMENT_TITLE	国への投資
MID_TUT_HUB_INVESTMENT_0	「国への投資」では各国にゴールドを投資できます\n一定額を超えるとレベルが上がり\nレベルに応じた感謝の品を貰えます
MID_TUT_HUB_INVESTMENT_1	また、レベルを上げた国では遭遇戦で\nレアな敵が出現しやすくなり\nゴールドや経験値を得やすくなります
MID_TUT_HUB_INVESTMENT_2	さらに、その国での散策時に見つかる素材が\n増えたりと、良いことが色々と発生するので\n余裕があれば、投資を行ってみましょう
MID_TUT_HUB_INFORMATION_TITLE	拠点情報
MID_TUT_HUB_INFORMATION_0	「拠点情報」では\nソラネル内に居る仲間の場所や\n施設の状況といった、情報を確認できます
MID_TUT_HUB_INFORMATION_1	エリアを選択することで\nその場所に瞬時に移動することもできます
MID_TUT_HUB_ACHIEVEMENT_TITLE	実績
MID_TUT_HUB_ACHIEVEMENT_0	「実績」では、ゲーム内で達成した\n様々な行為に対し、その報酬として\n「絆のかけら」を受け取ることができます
MID_TUT_HUB_ACHIEVEMENT_1	実績を達成すると通知が届きます\n忘れずに受け取りましょう
MID_TUT_HUB_MYROOM_TITLE	マイルーム
MID_TUT_HUB_MYROOM_0	「マイルーム」は\x0E\x06\x03\x00が眠っていた場所で\n「マイベッド」が置いてあります
MID_TUT_HUB_MYROOM_1	「休憩」を選ぶと、ベッドで体を休め\nソラネルの時間を少し進めることができます
MID_TUT_HUB_MYROOM_2	「休憩」をしていると\n何か特別なことが起こるかも…？\n（ヘッドホンの使用をお勧めします）
MID_TUT_HUB_MYROOM_3	「思い出」を選ぶと\nこれまでに見た支援会話やムービーを\nもう一度見ることができます
MID_TUT_HUB_MYROOM_4	「難易度変更」を選ぶと、ゲームの難易度を\n変更することができます\n（ノーマルの場合は変更することができません）
MID_TUT_HUB_WEAPONSHOP_OPEN	「武器屋」と「道具屋」がオープンしました
MID_TUT_HUB_WEAPONSHOP_TITLE	武器屋
MID_TUT_HUB_WEAPONSHOP_0	「武器屋」では、戦闘で使用する武器の\n購入や売却が行えます
MID_TUT_HUB_WEAPONSHOP_1	最初は商品が少ないですが\nストーリーが進むにつれて\n新商品が入荷し、増えていきます
MID_TUT_HUB_ITEMSHOP_TITLE	道具屋
MID_TUT_HUB_ITEMSHOP_0	「道具屋」では「傷薬」や「杖」といった\n戦闘で使用するアイテムの\n購入や売却が行えます
MID_TUT_HUB_ITEMSHOP_1	最初は少しの商品しかありませんが\nストーリーが進むにつれて、\n種類が増えていきます
MID_TUT_HUB_HERALDICSPACE_OPEN	「紋章士の間」に入れるようになりました
MID_TUT_HUB_HERALDICSPACE_TITLE	紋章士の間
MID_TUT_HUB_HERALDICSPACE_0	「紋章士の間」では紋章士関連の様々なことが行えます\n「スキル継承」では\n紋章士が持つスキルを継承することができます
MID_TUT_HUB_HERALDICSPACE_1	「絆の指輪精製」「絆の指輪合成」では\n絆のかけらを使って「絆の指輪」を精製したり\n合成して強化したりすることができます
MID_TUT_HUB_HERALDICSPACE_2	「指輪\x0E\x01\x08\x00磨き」では\n戦闘で汚れてしまった「紋章士の指輪\x0E\x01\x08\x00」を\n磨いて、紋章士との絆を高めることができます
MID_TUT_HUB_INHERITSKILL_TITLE	スキル継承
MID_TUT_HUB_INHERITSKILL_0	「スキル継承」では\n味方のユニットに紋章士の様々なスキルを\n継承させることができます
MID_TUT_HUB_INHERITSKILL_1	「スキル継承」をするためには、紋章士とシンクロしたり\n「絆の指輪」を装備したりして戦うと溜まる「SP」と\n相手との一定以上の「絆レベル」が必要です
MID_TUT_HUB_INHERITSKILL_2	継承したスキルは「身支度」の「スキル着脱」で\n装備することで効果を発揮します
MID_TUT_HUB_INHERITSKILL_3	シンクロ中の紋章士の「シンクロスキル」と\n同じスキルは、装備しても効果が発動しないので\n重複しないように装備すると効果的です
MID_TUT_HUB_CREATE_RING_TITLE	絆の指輪精製
MID_TUT_HUB_CREATE_RING_0	絆のかけらを使うことによって\n「絆の指輪」を精製することができます
MID_TUT_HUB_CREATE_RING_1	指輪として装備することで能力が上昇し\n「紋章士の指輪\x0E\x01\x08\x00」程ではありませんが\n戦闘でＳＰを溜めることができます
MID_TUT_HUB_ENGWEAPON_REFINE_OPEN	「紋章士の間」で「エンゲージ武器強化」ができるようになりました
MID_TUT_HUB_ENGWEAPON_REFINE_TITLE	エンゲージ武器強化
MID_TUT_HUB_ENGWEAPON_REFINE_0	紋章士の「エンゲージ武器」は以下の強化を行えます\n・紋晶石を使った、各種能力アップ\n・特効の書を使った、各種特効の付与
MID_TUT_HUB_ENGWEAPON_REFINE_1	強化に必要な素材は、「試練の離れ」の\n「連戦の試練」や「繋戦の試練」に挑戦することで\n入手することができます
MID_TUT_HUB_ENGWEAPON_REFINE_2	エンゲージ武器にはそれぞれ\n「強化限界値」があり\nその値を超える強化はできません
MID_TUT_HUB_ENGWEAPON_REFINE_3	強化はリセットして、何度でもやり直すことができます\nまた、紋章士が多くの仲間と絆レベルを上げると\n「強化限界値」が上昇し、更なる強化が可能になります
MID_TUT_HUB_MASCOT_OPEN	鍾乳洞に不思議な気配が漂っています
MID_TUT_HUB_MASCOT_TITLE	\x0E\x06\x05\x00
MID_TUT_HUB_MASCOT_0	「\x0E\x06\x05\x00」は大昔からこの地を見守る\nちょっと不思議な生き物です
MID_TUT_HUB_MASCOT_1	大切にお世話をしてあげると\n何か良いことがあるかもしれません
MID_TUT_HUB_MUSCLEEXERCISES_OPEN	「筋肉体操」が遊べるようになった！
MID_TUT_HUB_MUSCLEEXERCISES_TITLE	筋肉体操
MID_TUT_HUB_MUSCLEEXERCISES_0	「筋肉体操」は3種類の運動に挑戦して\n\x0E\x06\x03\x00の基本能力を一時的に\n上げることができるアクティビティです
MID_TUT_HUB_MUSCLEEXERCISES_1	体操の種類によって、操作方法や\n上昇する能力が異なります\n全ての体操で最高評価を狙いましょう！
MID_TUT_HUB_MUSCLEEXERCISES_2	ストーリーを進めると高い難易度が\n解放されるかも？
MID_TUT_HUB_ME_PUSHUPS_TITLE	腕立て伏せ
MID_TUT_HUB_ME_PUSHUPS_0	「腕立て伏せ」は、タイミング勝負！\n加速するバーをベストな位置で止めましょう\n3回失敗してしまうと終了です
MID_TUT_HUB_ME_PUSHUPS_1	バーのスピードはどんどん速くなるので\n集中力を途切れさせないようにしましょう
MID_TUT_HUB_ME_PUSHUPS_2	目指せPerfect Body！
MID_TUT_HUB_ME_SITUP_TITLE	腹筋
MID_TUT_HUB_ME_SITUP_0	「腹筋」は、ボタン連打の体力勝負！\n素早い連打で、バーを一番上まで押し上げましょう\n一番下までバーが下がると終了です
MID_TUT_HUB_ME_SITUP_1	ゲージを素早く溜めるほど高評価が貰えますが\n徐々に難しくなっていきます
MID_TUT_HUB_ME_SITUP_2	目指せPerfect Body！
MID_TUT_HUB_ME_SQUAT_TITLE	スクワット
MID_TUT_HUB_ME_SQUAT_0	「スクワット」は、リズム感勝負！\n流れてくる指示に合わせて、\x0E\x08\x02\x0E\x0CStickL\x0E\x08\x02\x0E\x0CStickRを操作しよう\n3回失敗してしまうと終了です
MID_TUT_HUB_ME_SQUAT_1	「\x0E\x08\x02\x0E\x0CStickL\x0E\x08\x02\x0E\x0CStickRを倒す」\n「\x0E\x08\x02\x0E\x0CStickL\x0E\x08\x02\x0E\x0CStickRを一回転させる」\nこのふたつの操作をマスターしましょう
MID_TUT_HUB_ME_SQUAT_2	目指せPerfect Body！
MID_TUT_HUB_ARENA_OPEN	「鍛錬の間」が利用できるようになりました
MID_TUT_HUB_ARENA_TITLE	鍛錬の間
MID_TUT_HUB_ARENA_0	「鍛錬の間」では、仲間を選んで\n模擬戦を行うことで「経験値」や\n「絆経験値」を得ることができます
MID_TUT_HUB_ARENA_1	「通常鍛錬」は、仲間と行う模擬戦です\n無償ですが回数制限があり、\n相手はランダムで決まります
MID_TUT_HUB_ARENA_2	「特別指名鍛錬」は紋章士と行う模擬戦です\n「絆のかけら」を消費しますが、回数無制限で\n指命した相手と、必ず絆レベルが上げられます
MID_TUT_HUB_ANIMAL_OPEN	「動物の保護」が行えるようになりました
MID_TUT_HUB_ANIMAL_TITLE	動物
MID_TUT_HUB_ANIMAL_0	散策中に出会った「動物」は、大切に保護して\nソラネルへ連れて帰ることができます
MID_TUT_HUB_ANIMAL_1	保護した動物は「動物小屋」で「放牧」を選ぶと\n牧場で触れ合うことができ\n食材などを落とすことがあります
MID_TUT_HUB_ANIMAL_2	カフェテラスの掲示板から\n各国へ投資して飼育方法を教われば\n保護できる動物が増えていきます
MID_TUT_HUB_AMIIBO_OPEN	「amiiboスポット」が解放されました
MID_TUT_HUB_AMIIBO_TITLE	amiiboスポット
MID_TUT_HUB_AMIIBO_0	「amiiboスポット」に\namiiboを読み込ませることで\nアイテムなどの特典が貰えます
MID_TUT_HUB_AMIIBO_1	ファイアーエムブレム関連のamiiboを読み込ませた場合\nスペシャルな特典を貰えることがあります
MID_TUT_HUB_DRILLINGSHOP_OPEN	「錬成屋」と「アクセサリー屋」がオープンしました
MID_TUT_HUB_DRILLINGSHOP_TITLE	錬成屋
MID_TUT_HUB_DRILLINGSHOP_0	「錬成屋」では素材やゴールドと引き換えに\n武器を強化してもらうことができます
MID_TUT_HUB_DRILLINGSHOP_1	「錬成・進化」は武器の性能を向上させたり\nより強い、別の武器を作ったりする事ができます
MID_TUT_HUB_DRILLINGSHOP_2	「紋章刻印」では武器に紋章士の力を付与できます\n紋章士一人につき一回、好きな武器に刻印ができ\n別の武器に付け替えることも可能です
MID_TUT_HUB_DRILLINGSHOP_3	「素材交換」では錬成用の素材を\n別の種類の素材に交換できます
MID_TUT_HUB_ACCESSORYSHOP_TITLE	アクセサリー屋
MID_TUT_HUB_ACCESSORYSHOP_0	「アクセサリー屋」ではソラネルで身につけられる\n「服」や「装飾品」を素材やゴールドと引き換えに\n仕立ててもらうことができます
MID_TUT_HUB_ACCESSORYSHOP_1	一度、仕立ててもらったアクセサリーは\n一部の特別な物を除いて\n誰でも身に着けることができるようになります
MID_TUT_HUB_ACCESSORYSHOP_2	ストーリーを進めていくと\n仕立ててもらうことができる品が\n増えていきます
MID_TUT_HUB_COOK_OPEN	「カフェテラス」で「料理」が可能になりました
MID_TUT_HUB_COOK_TITLE	料理
MID_TUT_HUB_COOK_0	料理当番に「料理」をつくってもらい\n仲間と一緒に食事をすることができます
MID_TUT_HUB_COOK_1	料理が良い出来だった場合\n次の出撃中、仲間全員の能力が強化されます
MID_TUT_HUB_COOK_2	また、誘った仲間同士の\n支援値がアップします
MID_TUT_HUB_COOK_3	更に食事後にアイテム「お弁当」が貰えることがあります\n（出撃中に使うと、HPを回復できます）
MID_TUT_HUB_CAPERIDGE_OPEN	「試練の離れ」が解放されました
MID_TUT_HUB_CAPERIDGE_TITLE	試練の離れ
MID_TUT_HUB_CAPERIDGE_0	「試練の離れ」では\n様々な「試練」に挑戦することができ\n勝利することで報酬を得られます
MID_TUT_HUB_CAPERIDGE_1	「連戦の試練」は連続で\nマップをクリアする試練です\n挑戦時に難易度を選ぶことができます
MID_TUT_HUB_CAPERIDGE_2	「繋戦の試練」はネットワークを使い\n他のプレイヤーと協力して、1つのマップを\nリレーのようにプレイし、勝利を目指します
MID_TUT_HUB_CAPERIDGE_3	「異界の試練」は自分がエディットしたマップで\n他のプレイヤーの軍とネットワークを使った\n対戦プレイを行います
MID_TUT_HUB_FISHING_OPEN	「釣り」が遊べるようになった！
MID_TUT_HUB_FISHING_TITLE	釣り
MID_TUT_HUB_FISHING_0	「釣り」のアクティビティが楽しめます\n\x0E\x08\x02\x04\x02Aで好きな場所に糸を垂らしましょう\n（大きな波紋の下には大物がいるかもしれません）
MID_TUT_HUB_FISHING_1	ウキが完全に沈んだタイミングで\n\x0E\x08\x02\x04\x02Aを押せば魚がヒットします
MID_TUT_HUB_FISHING_2	魚が暴れたら、逆方向に\x0E\x08\x02\x0E\x0CStickLを倒しましょう\nうまく引き寄せないと、魚に逃げられてしまいます
MID_TUT_HUB_FISHING_3	手前まで引き寄せられたら、チャンスです\n\x0E\x08\x02\x04\x02A連打で魚の体力を減らします
MID_TUT_HUB_FISHING_4	魚の体力を0にすると、釣り上げ成功です！\n新しい釣り竿を入手すれば、より大物が釣れるかも？
MID_TUT_HUB_DRAGONRIDE_OPEN	「ドラゴンシューター」が遊べるようになった！
MID_TUT_HUB_DRAGONRIDE_TITLE	ドラゴンシューター
MID_TUT_HUB_DRAGONRIDE_0	「ドラゴンシューター」は\nドラゴンに乗り、浮かぶ的を破壊して\n高得点を狙うアクティビティです
MID_TUT_HUB_DRAGONRIDE_1	特別な的を利用して、ベストスコアを目指しましょう！\n（ストーリーが進むと、新たな難易度が解放されます）
MID_TUT_HUB_FLEAMARKET_OPEN	「蚤の市」がオープンしました
MID_TUT_HUB_FLEAMARKET_TITLE	蚤の市
MID_TUT_HUB_FLEAMARKET_0	「蚤の市」では普通のお店では売っていない\n珍しい商品を購入することができます
MID_TUT_HUB_FLEAMARKET_1	品揃えが変わることもあるので\n時々覗いてみると良いでしょう
MID_TUT_HUB_FORTUNE_OPEN	「占い小屋」がオープンしました
MID_TUT_HUB_FORTUNE_TITLE	占い小屋
MID_TUT_HUB_FORTUNE_0	「占い小屋」ではセアダスが\nカードを使って運勢を占ってくれます
MID_TUT_HUB_FORTUNE_1	夜の間だけ利用することができます\n利用したい時は日が沈んでから訪れましょう
MID_TUT_HUB_PROFILE_OPEN	「活動記録の館」を利用可能になりました
MID_TUT_HUB_CAPERIDGE_DETAIL_TITLE	試練中の出撃
MID_TUT_HUB_CAPERIDGE_DETAIL_0	それぞれの「試練」で味方が出撃している間に\n起きた「状態の変化」や「消費したアイテム」\n「倒れた仲間」などはプレイ後にすべて元に戻ります
MID_TUT_HUB_CAPERIDGE_DETAIL_1	プレイ後に、報酬として貰ったアイテムや\n経験値は受け取ることができます
MID_TUT_HUB_CAPERIDGE_DETAIL_2	アイテムの使用を惜しんだりせず\nクリアをして、報酬を貰う事を目指して\nプレイを楽しんでください
MID_TUT_CHALLENGE_TITLE	連戦の試練
MID_TUT_CHALLENGE_0	「連戦の試練」は、連続でマップをプレイして\nクリアを目指す試練です
MID_TUT_CHALLENGE_1	決められた数のマップを全てクリアすると\n報酬として素材が貰え\n出撃した味方に経験値が与えられます
MID_TUT_CHALLENGE_2	連戦マップを選ぶ時に難易度を設定することができ\n高い難易度にすると、クリア後に\n貰える報酬が、より良い物になります
MID_TUT_RELAY_TITLE	繋戦の試練
MID_TUT_RELAY_0	「繋戦の試練」は、一つのマップを一定のターンで\n他のプレイヤーとリレーのように交替しながら\nクリアを目指す試練です
MID_TUT_RELAY_1	「新しく始める」を選ぶと、チケットを支払って\n「繋戦の試練」を開始します
