MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x02\x06\x04グリ\nIn the deepest darkness of solitude, would you\ndesire to make the light your own?\x0E\x04\x02\x00
MID_BT10_#003	\x0E\x05\x01\x1C\x12E003_Boss\x06Sad\nWhen you died, I waited for you to wake. We\ncould have laughed together. But you didn't.\x0E\x04\x00\x00
MID_BT10_#004	\x0E\x03\x00\x0E\x08ジェーデ\x02t\n\x0E\x05\x01\x12\x08ジェーデ\x06Sad\n\x0E\x03\x02\x0A\x08ジェーデ\nPrince Diamant...\x0E\x04\x00\x00
MID_BT10_#005	\x0E\x05\x01\x1E\x12E003_Boss\x08Pain\n\x0E\x03\x02\x14\x12E003_Boss\nWhy didn't you wake up?! Why didn't you\nappear before me right then?!\x0E\x04\x02\x00
MID_BT10_#006	Just when I thought the wound was healing, you\ncome to remind me of those happier times.\x0E\x04\x00\x00
MID_BT10_#007	\x0E\x03\x02\x0A\x08ジェーデ\nForgive me for opening up an old wound, but I\nam not the Jade you knew.\x0E\x04\x02\x00
MID_BT10_#008	I am only a stranger with a familiar face, and I\nmust defeat you.\x0E\x04\x00\x00
MID_BT11_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Boss\x02b\n\x0E\x05\x01&\x12E003_Boss\x10Surprise\n\x0E\x03\x02\x14\x12E003_Boss\nSaphir! What are you doing on their side? Your\nallegiance is with us!\x0E\x04\x00\x00
MID_BT11_#002	\x0E\x03\x00\x10\nザフィーア\x02t\n\x0E\x05\x01\x1E\nザフィーア\x10Surprise\n\x0E\x03\x02\x0C\nザフィーア\nPrince Diamant? I'm not...\x0E\x04\x00\x00
MID_BT11_#003	\x0E\x03\x02\x14\x12E003_Boss\nAh! You are merely a stranger who looks like\nher, yes?\x0E\x04\x02\x00
MID_BT11_#004	\x0E\x05\x01\x14\nザフィーア\x06Sad\n\x0E\x05\x01\x1E\x12E003_Boss\x08Pain\nThat's right. Saphir died long ago, didn't she?\x0E\x04\x02\x00
MID_BT11_#005	\x0E\x05\x01\x1C\x12E003_Boss\x06Sad\nAnd yet, whenever I stand on the battlefield,\nI still imagine her there.\x0E\x04\x00\x00
MID_BT12_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01&\x12E003_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E003_Hide\nHold on! You... You're me!\x0E\x04\x00\x00
MID_BT12_#002	\x0E\x03\x00\x10\nスタルーク\x02t\n\x0E\x05\x01\x16\nスタルーク\x08Pain\n\x0E\x03\x02\x0C\nスタルーク\nUgh, I'm sorry. I know our faces are the same,\nbut I'm sure you're much more accomplished.\x0E\x04\x00\x00
MID_BT12_#003	\x0E\x05\x01"\x12E003_Hide\x0CStatus\n\x0E\x03\x02\x14\x12E003_Hide\nHow servile. Are you an illusion? Projecting\nyour weakness upon me won't make me falter.\x0E\x04\x02\x00
MID_BT12_#004	I will triumph, even against myself. You'll see.\x0E\x04\x00\x00
MID_BT12_#005	\x0E\x05\x01\x14\nスタルーク\x06Sad\n\x0E\x03\x02\x0C\nスタルーク\nWow. How cool! It's like you're me yet so full\nof confidence.\x0E\x04\x02\x00
MID_BT12_#006	I wish I was like that too.\x0E\x04\x00\x00
MID_BT13_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01 \x12E003_Hide\nAngry\n\x0E\x03\x02\x14\x12E003_Hide\nHuh? Brother, I'm not the enemy. Or are you\ntrying to get rid of me in the confusion of battle.\x0E\x04\x02\x00
MID_BT13_#002	\x0E\x05\x01$\x12E003_Hide\x0EStandBy\nIf that is your aim, I will accept your challenge.\x0E\x04\x00\x00
MID_BT13_#003	\x0E\x03\x00\x12\x0Cディアマンド\x02t\n\x0E\x05\x01\x16\x0Cディアマンド\x06Sad\n\x0E\x03\x02\x0E\x0Cディアマンド\nI get the impression our relationship is much\nless cordial in this world.\x0E\x04\x00\x00
MID_BT14_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01 \x12E003_Hide\nAngry\n\x0E\x03\x02\x14\x12E003_Hide\nYou. Who are you really?\x0E\x04\x02\x00
MID_BT14_#002	It's been bothering me for a while. Why have\nyou assumed the form of the Divine Dragon?\x0E\x04\x00\x00
MID_BT14_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1A\x08リュール\x0EStandBy\n\x0E\x03\x02\x0A\x08リュール\nI haven't assumed this form. Would you believe\nme if I said I came from another world?\x0E\x04\x00\x00
MID_BT14_#004	\x0E\x05\x01$\x12E003_Hide\x0EStandBy\n\x0E\x03\x02\x14\x12E003_Hide\nSo, you'll continue this farce, pretending to be\nthe Divine One. How intriguingly brazen of you.\x0E\x04\x02\x00
MID_BT14_#005	\x0E\x05\x01 \x12E003_Hide\nSmile\nUntil I behead you and ascertain your true\nidentity, you may go on entertaining me.\x0E\x04\x00\x00
MID_BT15_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01&\x12E003_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E003_Hide\nI can hardly believe I'm seeing you here.\x0E\x04\x02\x00
MID_BT15_#002	\x0E\x05\x01\x1E\x12E003_Hide\x08Pain\nYou must have appeared because you hate me.\nFor saying I would protect you, when I couldn't.\x0E\x04\x00\x00
MID_BT15_#003	\x0E\x03\x00\x0C\x06ラピス\x02t\n\x0E\x05\x01\x1A\x06ラピス\x10Surprise\n\x0E\x03\x02\x08\x06ラピス\nYou're talking nonsense. I could never hate you.\x0E\x04\x02\x00
MID_BT15_#004	\x0E\x05\x01\x14\x06ラピス\nSmile\nIf the "me" of this world managed to keep you\nsafe, then I'm sure she was satisfied.\x0E\x04\x02\x00
MID_BT15_#005	So please, don't be upset.\x0E\x04\x00\x00
MID_BT15_#006	\x0E\x05\x01\x1C\x12E003_Hide\x06Sad\n\x0E\x03\x02\x14\x12E003_Hide\nYou're a hallucination. If I allow this to dull my\nwits, I'll only be playing into enemy hands.\x0E\x04\x02\x00
MID_BT15_#007	\x0E\x05\x01$\x12E003_Hide\x0ESerious\nAnd yet... If only you could have seen me, Lapis,\nascended to the throne.\x0E\x04\x00\x00
MID_BT15_#008	\x0E\x05\x01\x10\x06ラピス\x06Sad\n\x0E\x03\x02\x08\x06ラピス\nNo matter where you end up, you will always be\nwonderful just the way you are.\x0E\x04\x00\x00
MID_BT16_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01\x1E\x12E003_Hide\x08Pain\n\x0E\x03\x02\x14\x12E003_Hide\nCitrinne? It hurts to see you now, knowing I\nfailed to keep you safe.\x0E\x04\x02\x00
MID_BT16_#002	Everyone in your noble house died too. They\nwere like family. Each death...\x0E\x04\x00\x00
MID_BT16_#003	\x0E\x03\x00\x10\nシトリニカ\x02t\n\x0E\x05\x01\x14\nシトリニカ\x06Sad\n\x0E\x03\x02\x0C\nシトリニカ\nI half expected it, but...here we are. I feel such\nsorrow every time you look at me that way.\x0E\x04\x00\x00
MID_BT16_#004	\x0E\x05\x01\x1C\x12E003_Hide\x06Sad\n\x0E\x03\x02\x14\x12E003_Hide\nNo matter your wealth, life itself remains\nirreplaceable. The cause of so much suffering.\x0E\x04\x02\x00
MID_BT16_#005	\x0E\x05\x01\x1E\x12E003_Hide\x08Pain\nI should have died that day. I wanted you to\nlive. I wanted everyone to live!\x0E\x04\x00\x00
MID_BT16_#006	\x0E\x05\x01\x14\nシトリニカ\x06Shy\n\x0E\x03\x02\x0C\nシトリニカ\nThe Alcryst of this world looks so confident,\nyet at heart, you're just like the one I know.\x0E\x04\x02\x00
MID_BT16_#007	I'm sure you did your best. As painful as it was,\nI'm glad that I was the one to go first.\x0E\x04\x00\x00
MID_BT17_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nザフィーア\x02t\n\x0E\x05\x01\x18\nザフィーア\nRelax\n\x0E\x03\x02\x0C\nザフィーア\nIt's weird seeing you so confident, Prince\nAlcryst. I could get used to it though.\x0E\x04\x00\x00
MID_BT17_#002	\x0E\x03\x00\x18\x12E003_Hide\x02b\n\x0E\x05\x01&\x12E003_Hide\x10Surprise\n\x0E\x03\x02\x14\x12E003_Hide\nIs this another illusion? Saphir?! I know you\ndied protecting Father.\x0E\x04\x00\x00
MID_BT17_#003	\x0E\x05\x01\x1E\nザフィーア\x10Surprise\n\x0E\x03\x02\x0C\nザフィーア\nDid I? Huh. Well, if I had to go, I'm glad I went\ndown defending King Morion.\x0E\x04\x02\x00
MID_BT17_#004	\x0E\x05\x01\x18\nザフィーア\nRelax\nOn that note, Prince Alcryst, let's get down to\nbusiness. Give me all you've got!\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x18\x12E003_Boss\x021\n\x0E\x03\x00\x18\x12E003_Hide\x022\n\x0E\x03\x00\x14\x0EE003_エル\x023\n\x0E\x03\x00\x14\x0EE003_イル\x024\n\x0E\x03\x02\x14\x12E003_Boss\nIt is over. We withdraw.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x14\x12E003_Hide\nDiamant, no! We can't surrender! Not after\nthey took our bracelet!\x0E\x04\x02\x00
MID_ED1_#003	We must get it back! Come on! Round two!\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x14\x12E003_Boss\nYou have a plan, then? An idea that will turn\nthe tide? Please, share it.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x14\x12E003_Hide\nArgh...\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x14\x12E003_Boss\nNel, Nil, we are removing ourselves from the\ngame board.\x0E\x04\x02\x00
MID_ED1_#007	We won't interfere any longer. The bracelet is\nin your hands, as is Brodia's fate.\x0E\x04\x02\x00
MID_ED1_#008	Please... Guide the world to peace.\x0E\x04\x00\x00
MID_ED1_#009	\x0E\x03\x02\x10\x0EE003_エル\nThis is the Bracelet of the Lonely Heir, without\na doubt.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x02\x0A\x08リュール\nWith this, we now have four bracelets.\x0E\x04\x00\x00
MID_ED1_#011	\x0E\x03\x02\x10\x0EE003_エル\nEmblem Veronica dwells within. She has the\npower to call upon soldiers from other worlds.\x0E\x04\x02\x00
MID_ED1_#012	But she is tainted by evil, the same as Firene's\nEmblem. We should assume they all will be.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x00\x1C\x16E003_敵ヴェロニカ\x022\n\x0E\x06\x004\x16E003_敵ヴェロニカ\x1AMPID_Veronica\n\x0E\x03\x02\x18\x16E003_敵ヴェロニカ\nAm I...with you now?\x0E\x04\x00\x00
MID_ED1_#014	\x0E\x03\x02\x0A\x08リュール\nYes, Emblem Veronica.\x0E\x04\x02\x00
MID_ED1_#015	But we won't make you fight for us. You can\nrest for now.\x0E\x04\x00\x00
MID_ED1_#016	\x0E\x03\x02\x18\x16E003_敵ヴェロニカ\nI see... I am grateful for the reprieve. But I am\nalso a bit lonely.\x0E\x04\x02\x00
MID_ED1_#017	When I awaken, I hope you will be at my side,\neven without a contract binding us together.\x0E\x04\x00\x00
MID_ED1_#018	\x0E\x03\x02\x0A\x08リュール\nDon't worry. You'll remain with us during our\njourney. And someday, we will see you again.\x0E\x04\x00\x00
MID_ED1_#019	\x0E\x03\x02\x10\x0EE003_イル\nI suppose that settles things here.\x0E\x04\x00\x00
MID_ED1_#020	\x0E\x03\x00\x1A\x14E003_グレゴリー\x022\n\x0E\x03\x02\x16\x14E003_グレゴリー\nI'm not used to fighting my own battles,\nlet alone winning them.\x0E\x04\x00\x00
MID_ED1_#021	\x0E\x03\x02\x10\x0EE003_エル\nYes. Fleeing comes more naturally to us all,\nthe Divine Dragon excluded.\x0E\x04\x00\x00
MID_ED1_#022	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nThere may be some truth to that. Each of us has\nrun away from one thing or another.\x0E\x04\x00\x00
MID_ED1_#023	\x0E\x03\x02\x0A\x08リュール\nWhat do you mean?\x0E\x04\x00\x00
MID_ED1_#024	\x0E\x03\x02\x18\x16E003_セレスティア\nDuring the war a thousand years ago, when\nSombron burned my village, I fled to Lythos.\x0E\x04\x02\x00
MID_ED1_#025	Other Mage Dragons possessed powerful magic,\nbut mine has never been that strong.\x0E\x04\x02\x00
MID_ED1_#026	That's why Sombron couldn't find me while my\nfamily and friends, all brilliant mages, perished.\x0E\x04\x00\x00
MID_ED1_#027	\x0E\x03\x02\x0A\x08リュール\nAh...\x0E\x04\x00\x00
MID_ED1_#028	\x0E\x03\x02\x18\x16E003_セレスティア\nSombron planned to force the Mage Dragons to\nfight for him, but we refused to submit.\x0E\x04\x02\x00
MID_ED1_#029	And now, I'm the last of my kind.\x0E\x04\x00\x00
MID_ED1_#030	\x0E\x03\x02\x16\x14E003_グレゴリー\nI used to live in Elusia as a follower of Sombron.\nBut I couldn't act like the others.\x0E\x04\x02\x00
MID_ED1_#031	The Fell Dragon craved pain and blood, and his\ndisciples were only happy to oblige.\x0E\x04\x02\x00
MID_ED1_#032	I just couldn't join their fervor. So I faked it.\nAnd when a priest found out...\x0E\x04\x02\x00
MID_ED1_#033	I had no choice but to run. Run, or give up my\nlife to the Fell Dragon.\x0E\x04\x00\x00
MID_ED1_#034	\x0E\x03\x02\x18\x16E003_セレスティア\nI welcomed Gregory into Lythos. He selflessly\nrushed to my aid in a vicious battle in Elusia.\x0E\x04\x00\x00
MID_ED1_#035	\x0E\x03\x02\x16\x14E003_グレゴリー\nYou say it like I'm some kind of hero. You were\nsurrounded by the Corrupted, so I went to help.\x0E\x04\x00\x00
MID_ED1_#036	\x0E\x03\x00\x14\x0EE003_イル\x022\n\x0E\x03\x02\x10\x0EE003_イル\nAnd I, as you know, am a failure.\x0E\x04\x02\x00
MID_ED1_#037	I am only alive because Nel and I fled from\nSombron together.\x0E\x04\x00\x00
MID_ED1_#038	\x0E\x03\x02\x10\x0EE003_エル\nI have said it before, and I will say it again.\nYou are not a failure, Nil.\x0E\x04\x00\x00
MID_ED1_#039	\x0E\x03\x02\x10\x0EE003_イル\nI'm sorry. I know it upsets you when I speak\nthat way.\x0E\x04\x02\x00
MID_ED1_#040	But Nel is much stronger than I am. She could\nface any opponent...if not for me.\x0E\x04\x02\x00
MID_ED1_#041	So I suppose she is also one who is comfortable\ntaking a stand.\x0E\x04\x00\x00
MID_ED1_#042	\x0E\x03\x02\x10\x0EE003_エル\nNo. I have done as much fleeing as the rest\nof you.\x0E\x04\x00\x00
MID_ED1_#043	\x0E\x03\x02\x10\x0EE003_イル\nThat's not true. I've never seen you run away\nfrom anything.\x0E\x04\x00\x00
MID_ED1_#044	\x0E\x03\x02\x10\x0EE003_エル\nI fled my responsibility.\x0E\x04\x02\x00
MID_ED1_#045	I should have stopped the royals of the four\nnations from taking their respective bracelets.\x0E\x04\x00\x00
MID_ED1_#046	\x0E\x03\x02\x10\x0EE003_イル\nYou were only respecting their wishes. You even\nsaid that's what the Divine Dragon would want.\x0E\x04\x00\x00
MID_ED1_#047	\x0E\x03\x02\x10\x0EE003_エル\nI said that to mask my fear.\x0E\x04\x02\x00
MID_ED1_#048	I was afraid that my plea would be rejected.\nThat I would lose our allies.\x0E\x04\x02\x00
MID_ED1_#049	And that I would be forced to fight them in\nLythos Castle.\x0E\x04\x00\x00
MID_ED1_#050	\x0E\x03\x02\x10\x0EE003_イル\nI had no idea...\x0E\x04\x00\x00
MID_ED1_#051	\x0E\x03\x02\x10\x0EE003_エル\nSo I, too, have fled when I should have made a\nstand. I could have stopped all of this.\x0E\x04\x02\x00
MID_ED1_#052	That knowledge prevented me from leaving the\nland of Lythos until our savior arrived.\x0E\x04\x02\x00
MID_ED1_#053	And because of that, I am perhaps to blame\nfor the current state of the world.\x0E\x04\x00\x00
MID_ED1_#054	\x0E\x03\x02\x10\x0EE003_イル\nAbsolutely not. You have done nothing wrong.\x0E\x04\x00\x00
MID_ED1_#055	\x0E\x03\x02\x18\x16E003_セレスティア\nI agree. Our unknown opponent should carry\nthe blame, not you.\x0E\x04\x00\x00
MID_ED1_#056	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nI never would've thought you were running\naway too, Lady Nel. You always seem so strong.\x0E\x04\x02\x00
MID_ED1_#057	We may be a collection of weaklings, but we're\nstill alive. That has to count for something.\x0E\x04\x00\x00
MID_ED1_#058	\x0E\x03\x02\x10\x0EE003_エル\nThe Divine Dragon was strong. And the\nDivine Dragon died.\x0E\x04\x00\x00
MID_ED1_#059	\x0E\x03\x02\x0A\x08リュール\nNel...\x0E\x04\x00\x00
MID_ED1_#060	\x0E\x03\x02\x10\x0EE003_イル\nAll right, that's enough doom and gloom!\nWe're making this Divine Dragon worry!\x0E\x04\x02\x00
MID_ED1_#061	Things are different now. Each of us has proven\nwe can handle ourselves in battle.\x0E\x04\x02\x00
MID_ED1_#062	That is in no small part thanks to you.\nYour guidance has been a blessing.\x0E\x04\x00\x00
MID_ED1_#063	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nIt's true.\x0E\x04\x00\x00
MID_ED1_#064	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nYeah, you've been a big help.\x0E\x04\x00\x00
MID_ED1_#065	\x0E\x03\x02\x10\x0EE003_エル\nI am also grateful for your assistance.\x0E\x04\x02\x00
MID_ED1_#066	Such as it has been thus far.\x0E\x04\x00\x00
MID_ED1_#067	\x0E\x03\x02\x0A\x08リュール\nHa... I should have guessed a qualifier\nwas coming.\x0E\x04\x02\x00
MID_ED1_#068	But I know you mean well, so thank you.\nAnd I'm glad to be of help.\x0E\x04\x00\x00
MID_ED1_#069	\x0E\x03\x02\x10\x0EE003_イル\nWell, there is still much to be done. Let us keep\nup our momentum.\x0E\x04\x00\x00
MID_ED1_#070	\x0E\x03\x02\x0A\x08リュール\nWhere are we going next?\x0E\x04\x00\x00
MID_ED1_#071	\x0E\x03\x02\x10\x0EE003_エル\nTo the kingdom of knowledge, in the west.\nThe kingdom of Elusia.\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x09\x00\n\x0E\x03\x00\x1E\x18デモ用_邪竜のきょうだい\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nHey look, it's Nel. The pride of the brood.\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nNot only can she transform, but she can also\nput Emblems to sleep. Isn't that right, Nel?\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nMust be rough for you, though, having that\nfailure for a twin.\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x06\x04エル\nAre you talking about Nil?\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nOh, is that this failure's name?\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nI don't usually bother to remember them.\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nDon't you worry about his weakness rubbing\noff on you?\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nWe could just get rid of him. Wouldn't be\na problem.\x0E\x04\x00\x00
MID_ED2_#009	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nAll he's doing is holding you back.\x0E\x04\x00\x00
MID_ED2_#010	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nWouldn't you agree, Nel?\x0E\x04\x00\x00
MID_ED2_#011	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nWhat do you say?\x0E\x04\x00\x00
MID_ED2_#012	\x0E\x03\x02\x06\x04エル\n...\x0E\x04\x02\x00
MID_ED2_#013	You must not be serious.\x0E\x04\x00\x00
MID_ED2_#014	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nWhat?\x0E\x04\x00\x00
MID_ED2_#015	\x0E\x03\x02\x06\x04エル\nI said surely you must not be serious.\x0E\x04\x02\x00
MID_ED2_#016	If you truly intended to kill my brother, I would\nhave to...\x0E\x04\x02\x00
MID_ED2_#017	I would have to...\x0E\x04\x02\x00
MID_ED2_#018	...\x0E\x04\x02\x00
MID_ED2_#019	What... What happened?\x0E\x04\x02\x00
MID_ED2_#020	Was all of this...my doing?\x0E\x04\x02\x00
MID_ED2_#021	What have I done?\x0E\x04\x00\x00
MID_ED2_#022	\x0E\x03\x00\x0E\x08ソンブル\x021\n\x0E\x03\x02\x0A\x08ソンブル\nCulled the weak.\x0E\x04\x00\x00
MID_ED2_#023	\x0E\x03\x02\x06\x04エル\n...\x0E\x04\x02\x00
MID_ED2_#024	Father, forgive me. I did not intend to...\x0E\x04\x00\x00
MID_ED2_#025	\x0E\x03\x02\x0A\x08ソンブル\nThere is nothing to forgive.\x0E\x04\x02\x00
MID_ED2_#026	Please, continue. I did not mean to interrupt\nthe killing.\x0E\x04\x02\x00
MID_ED2_#027	I believe you will make a suitable heir.\x0E\x04\x00\x00
MID_ED2_#028	\x0E\x03\x02\x06\x04エル\nI...\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE003_エル\x021\n\x0E\x03\x00\x18\x12E003_Boss\x022\n\x0E\x03\x00\x18\x12E003_Hide\x023\n\x0E\x03\x02\x14\x12E003_Hide\nYou!\x0E\x04\x00\x00
MID_ED3_#002	\x0E\x03\x02\x14\x12E003_Boss\nI told you Brodia would avoid conflict. What\nmore do you need?\x0E\x04\x02\x00
MID_ED3_#003	And why did the guards let you in?\x0E\x04\x00\x00
MID_ED3_#004	\x0E\x03\x02\x10\x0EE003_エル\nI killed them.\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x02\x14\x12E003_Boss\n...\x0E\x04\x00\x00
MID_ED3_#006	\x0E\x03\x02\x10\x0EE003_エル\nEntrusting your safety to them was a grievous\nlapse in judgment.\x0E\x04\x02\x00
MID_ED3_#007	Now, I would like to know whether the attack\non Lythos Castle was your doing. Answer.\x0E\x04\x00\x00
MID_ED3_#008	\x0E\x03\x02\x14\x12E003_Boss\nWhat are you talking about? An attack\non Lythos?\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x02\x14\x12E003_Hide\nWhich country would dare start hostilities?\nFirene? No... Elusia, surely.\x0E\x04\x00\x00
MID_ED3_#010	\x0E\x03\x02\x10\x0EE003_エル\nYou truly seem to know nothing of the matter.\nSo be it.\x0E\x04\x02\x00
MID_ED3_#011	I have no further use for you.\x0E\x04\x00\x00
MID_ED3_#012	\x0E\x03\x02\x14\x12E003_Hide\n...\x0E\x04\x00\x00
MID_ED3_#013	\x0E\x03\x02\x14\x12E003_Boss\nAlcryst... Alcryst! You monster! You filthy snake!\x0E\x04\x00\x00
MID_ED3_#014	\x0E\x03\x02\x14\x12E003_Boss\nUgh!\x0E\x04\x02\x00
MID_ED3_#015	I don't understand... We gave you what\nyou wanted...\x0E\x04\x02\x00
MID_ED3_#016	You had no reason...to do this...\x0E\x04\x00\x00
MID_ED3_#017	\x0E\x03\x02\x10\x0EE003_エル\nIn fact I do have a reason, King Diamant.\x0E\x04\x02\x00
MID_ED3_#018	I would not ordinarily come for you by stealth,\nbut I could not ignore this opportunity.\x0E\x04\x02\x00
MID_ED3_#019	Now, I must return before dawn. It would not do\nfor the others to become suspicious.\x0E\x04\x02\x00
MID_ED3_#020	...\x0E\x04\x02\x00
MID_ED3_#021	King Alfred and Princess Céline hardly put up a\nfight either...\x0E\x04\x00\x00
